1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 4550.373),(2 11643.857),(3 15988.832),(4 17132.793),(5 17121.318),(6 17294.184),(7 17829.377),(8 18124.932),(9 18604.586),(10 19215.014),(11 19759.563),(12 19753.008),(13 19516.473),(14 19335.623),(15 19366.105),(16 19394.078),(17 19664.875),(18 19978.406),(19 19864.379),(20 19612.135),(21 19247.873),(22 19300.139),(23 19872.986),(24 20297.1),(25 20376.422),(26 20354.627),(27 20389.738),(28 20582.688),(29 20742.715),(30 21006.252),(31 21462.355),(32 21825.936),(33 21763.39),(34 21552.883),(35 21511.133),(36 21708.346),(37 21905.354),(38 21883.049),(39 21508.555),(40 21175.146),(41 20824.05),(42 20656.705),(43 20262.09),(44 20051.604),(45 20050.658),(46 20122.684),(47 20155.94),(48 20351.35),(49 20876.531),(50 21320.79),(51 21758.645),(52 21974.596),(53 21942.19),(54 21763.03),(55 21271.28),(56 20809.846),(57 20483.557),(58 20541.967),(59 20726.234),(60 20968.367),(61 20962.95),(62 20681.977),(63 20583.926),(64 20559.555),(65 20506.02),(66 20628.584),(67 20718.09),(68 20877.75),(69 20908.438),(70 20603.09),(71 20083.193),(72 19960.86),(73 20083.492),(74 20137.213),(75 20066.5),(76 19832.057),(77 19757.74),(78 19839.932),(79 19853.15),
(1 4536.4536),(2 11810.47),(3 16606.752),(4 18023.56),(5 18208.719),(6 18343.125),(7 18237.41),(8 18023.691),(9 17997.375),(10 18646.518),(11 19538.72),(12 20095.498),(13 20077.72),(14 19722.9),(15 19603.465),(16 19726.154),(17 20040.162),(18 20045.94),(19 19608.191),(20 19122.754),(21 19156.178),(22 19712.469),(23 20462.928),(24 20908.84),(25 20932.848),(26 20707.006),(27 20457.455),(28 20281.354),(29 20358.9),(30 20532.816),(31 20471.521),(32 20242.723),(33 20129.727),(34 20138.53),(35 20092.258),(36 19954.082),(37 19907.582),(38 19762.998),(39 19626.94),(40 19824.8),(41 19988.475),(42 20095.238),(43 20216.793),(44 20072.236),(45 19674.87),(46 19286.746),(47 19104.785),(48 19301.123),(49 19580.133),(50 19986.67),(51 20504.094),(52 20958.438),(53 21122.568),(54 21034.424),(55 20673.04),(56 20565.76),(57 20813.398),(58 21101.635),(59 21140.66),(60 21056.021),(61 21034.412),(62 20870.252),(63 20823.877),(64 20525.184),(65 20296.707),(66 20328.754),(67 20255.105),(68 20291.332),(69 20355.318),(70 20226.03),(71 20040.39),(72 20022.97),(73 20108.447),(74 20115.465),(75 20087.295),(76 20017.326),(77 19917.06),(78 19526.912),(79 19037.361),
(1 4418.057),(2 11482.72),(3 15924.234),(4 17459.148),(5 17680.273),(6 17644.748),(7 17749.322),(8 17806.559),(9 17672.598),(10 18068.246),(11 18824.459),(12 18974.002),(13 18791.592),(14 18617.33),(15 18457.928),(16 18398.72),(17 18477.715),(18 18466.107),(19 18014.332),(20 17679.602),(21 18100.54),(22 18925.047),(23 19462.805),(24 19799.63),(25 20101.95),(26 20327.746),(27 20263.242),(28 20086.691),(29 20257.139),(30 20753.041),(31 20974.885),(32 20750.785),(33 20377.01),(34 19888.951),(35 19629.025),(36 19722.355),(37 19964.322),(38 19958.432),(39 19847.71),(40 19870.188),(41 20200.541),(42 20378.607),(43 20060.71),(44 19755.654),(45 19568.064),(46 19474.242),(47 19444.22),(48 19484.229),(49 19457.535),(50 19443.584),(51 19481.705),(52 19528.691),(53 19509.371),(54 19529.865),(55 19349.273),(56 19056.68),(57 19034.418),(58 19467.545),(59 19793.482),(60 19893.26),(61 19770.564),(62 19551.201),(63 19599.588),(64 19836.42),(65 20205.242),(66 20525.68),(67 20528.965),(68 20658.531),(69 20668.016),(70 20412.215),(71 20081.367),(72 20170.234),(73 20157.586),(74 20262.357),(75 20290.188),(76 19875.451),(77 19599.557),(78 19533.635),(79 19579.428),
(1 4418.092),(2 11427.356),(3 15635.693),(4 16781.748),(5 16759.916),(6 16935.14),(7 16867.314),(8 16694.828),(9 16392.902),(10 16913.113),(11 17830.781),(12 18426.162),(13 18148.666),(14 17619.613),(15 17353.988),(16 17494.607),(17 17656.092),(18 17775.53),(19 17777.727),(20 17767.123),(21 18171.348),(22 18719.57),(23 19014.988),(24 19096.063),(25 19065.273),(26 19233.475),(27 19373.523),(28 19490.588),(29 19633.732),(30 19828.994),(31 19899.227),(32 19733.086),(33 19510.656),(34 19288.238),(35 19237.223),(36 19403.307),(37 19520.332),(38 19513.818),(39 19456.475),(40 19329.17),(41 19304.936),(42 19115.092),(43 18760.307),(44 18787.568),(45 19057.832),(46 19179.443),(47 18983.5),(48 18805.012),(49 18672.387),(50 18768.836),(51 18870.393),(52 18815.814),(53 18805.27),(54 18848.572),(55 18595.014),(56 18425.98),(57 18418.93),(58 18612.986),(59 18819.064),(60 18667.72),(61 18433.508),(62 18294.7),(63 18593.547),(64 18854.348),(65 18902.543),(66 18924.785),(67 18705.047),(68 18478.238),(69 18254.973),(70 18366.172),(71 18748.326),(72 19098.447),(73 19222.383),(74 19344.66),(75 19384.05),(76 19334.04),(77 19133.379),(78 19002.203),(79 18849.633),
(1 4242.6914),(2 10941.996),(3 15042.568),(4 16088.866),(5 15942.483),(6 15946.107),(7 16295.933),(8 16604.443),(9 16887.756),(10 17534.758),(11 18111.62),(12 18268.521),(13 18152.492),(14 17990.613),(15 18170.58),(16 18412.9),(17 18345.738),(18 18235.68),(19 17959.193),(20 17875.807),(21 18015.42),(22 18307.486),(23 18307.166),(24 18319.227),(25 18442.621),(26 18400.135),(27 18566.82),(28 18840.502),(29 19074.436),(30 19365.598),(31 19191.023),(32 18806.207),(33 18505.508),(34 18515.475),(35 18850.86),(36 19033.36),(37 18915.203),(38 18808.19),(39 18810.227),(40 18946.145),(41 18804.703),(42 18504.232),(43 18265.152),(44 18207.13),(45 18255.066),(46 18195.346),(47 18194.951),(48 18435.791),(49 18856.443),(50 19110.56),(51 19253.387),(52 19268.355),(53 19089.688),(54 18807.016),(55 18515.516),(56 18331.613),(57 18168.291),(58 18132.547),(59 18193.93),(60 18086.662),(61 17942.371),(62 17852.59),(63 17671.996),(64 17374.373),(65 17297.143),(66 17545.01),(67 17723.756),(68 17756.023),(69 17878.133),(70 18180.43),(71 18368.2),(72 18313.83),(73 18183.252),(74 18228.955),(75 18187.635),(76 17977.385),(77 17954.959),(78 18127.572),(79 18229.758),
(1 4135.2803),(2 10585.964),(3 14678.505),(4 15915.471),(5 15920.3),(6 15938.001),(7 15836.492),(8 15877.725),(9 16128.34),(10 16716.152),(11 17267.666),(12 17505.29),(13 17383.053),(14 17050.89),(15 16921.283),(16 17193.924),(17 17616.408),(18 17797.074),(19 17555.639),(20 17328.727),(21 17426.941),(22 17875.611),(23 18181.428),(24 18066.014),(25 17804.791),(26 17708.854),(27 17790.895),(28 18237.355),(29 18630.113),(30 18858.58),(31 18587.783),(32 18473.746),(33 18579.018),(34 18571.137),(35 18492.797),(36 18332.918),(37 18027.326),(38 17942.9),(39 18066.637),(40 18077.346),(41 18047.252),(42 17888.035),(43 17865.992),(44 18240.1),(45 18540.393),(46 18187.215),(47 17859.953),(48 17841.412),(49 18111.629),(50 18724.992),(51 18928.4),(52 18851.305),(53 18503.414),(54 18217.863),(55 17897.799),(56 18013.777),(57 18103.71),(58 17921.926),(59 17661.416),(60 17496.719),(61 17608.5),(62 17834.01),(63 17904.71),(64 17946.545),(65 17999.58),(66 18114.83),(67 18242.9),(68 18385.39),(69 18322.504),(70 18290.895),(71 18295.094),(72 18130.031),(73 18085.174),(74 18108.656),(75 17946.457),(76 17745.744),(77 17697.348),(78 17801.111),(79 17839.816),
(1 4040.227),(2 10322.761),(3 14257.983),(4 15257.75),(5 15183.391),(6 15159.715),(7 15079.932),(8 15037.814),(9 15077.294),(10 15636.403),(11 16148.874),(12 16288.523),(13 16353.579),(14 16138.616),(15 15969.312),(16 16208.835),(17 16622.865),(18 16743.332),(19 16572.71),(20 16622.156),(21 16902.977),(22 17084.283),(23 16948.764),(24 16703.73),(25 16577.03),(26 16665.37),(27 17198.738),(28 17676.348),(29 17788.992),(30 17935.21),(31 17756.139),(32 17713.617),(33 17572.557),(34 17490.771),(35 17397.303),(36 17224.686),(37 17252.258),(38 17236.533),(39 17181.033),(40 17031.594),(41 16819.283),(42 16623.059),(43 16606.781),(44 16889.52),(45 17195.707),(46 17334.992),(47 17236.16),(48 17082.684),(49 17053.62),(50 17320.502),(51 17461.096),(52 17441.365),(53 17410.83),(54 17514.842),(55 17334.666),(56 17053.574),(57 16902.088),(58 16708.871),(59 16726.666),(60 16885.545),(61 16947.793),(62 16902.385),(63 16806.094),(64 16995.807),(65 17169.988),(66 17224.4),(67 16986.756),(68 16738.14),(69 16745.342),(70 17005.287),(71 17232.451),(72 17244.246),(73 17294.932),(74 17094.281),(75 16777.502),(76 16651.191),(77 16843.11),(78 17256.457),(79 17445.201),
(1 4059.5676),(2 10213.439),(3 13858.849),(4 14917.324),(5 14815.585),(6 14670.316),(7 14879.305),(8 14982.717),(9 15166.76),(10 15756.75),(11 16272.683),(12 16207.777),(13 15829.11),(14 15510.325),(15 15643.713),(16 16056.705),(17 16303.638),(18 16333.776),(19 16095.155),(20 16038.389),(21 16330.622),(22 16528.412),(23 16580.486),(24 16761.473),(25 16739.035),(26 16503.635),(27 16683.816),(28 17140.838),(29 17275.492),(30 17378.186),(31 17117.951),(32 16931.47),(33 16900.715),(34 16954.734),(35 16997.488),(36 16974.53),(37 16931.074),(38 17044.967),(39 16919.049),(40 16810.387),(41 16653.21),(42 16381.228),(43 16333.888),(44 16585.822),(45 16557.82),(46 16278.747),(47 16219.639),(48 16473.266),(49 16781.992),(50 17179.385),(51 17165.516),(52 17200.11),(53 17286.947),(54 17322.363),(55 17205.89),(56 17170.182),(57 17089.723),(58 17308.428),(59 17631.795),(60 17715.791),(61 17640.41),(62 17418.893),(63 17382.35),(64 17531.008),(65 17580.56),(66 17618.223),(67 17506.766),(68 17387.604),(69 17213.584),(70 17249.299),(71 17415.996),(72 17434.736),(73 17461.955),(74 17207.086),(75 16886.668),(76 16744.521),(77 16874.21),(78 17141.383),(79 17249.65),
(1 3969.2334),(2 9957.089),(3 13677.214),(4 14871.122),(5 14866.992),(6 14854.454),(7 14987.12),(8 15099.751),(9 15350.672),(10 15971.273),(11 16375.151),(12 16464.287),(13 16269.012),(14 16135.753),(15 16233.029),(16 16146.214),(17 15941.081),(18 15839.559),(19 15726.6455),(20 15873.053),(21 16156.395),(22 16288.198),(23 16284.303),(24 16286.458),(25 16147.554),(26 15910.362),(27 15875.997),(28 16108.637),(29 16405.361),(30 16457.012),(31 15998.95),(32 15408.708),(33 15301.535),(34 15691.68),(35 15999.327),(36 16068.348),(37 16041.299),(38 15930.2705),(39 15898.4795),(40 15995.757),(41 16019.514),(42 16106.24),(43 16294.668),(44 16332.876),(45 16212.843),(46 16274.635),(47 16345.849),(48 16375.922),(49 16583.826),(50 16943.447),(51 17136.494),(52 17305.129),(53 17361.945),(54 17350.408),(55 17147.85),(56 16951.156),(57 16730.576),(58 16776.266),(59 17205.963),(60 17333.871),(61 17267.383),(62 16984.832),(63 16674.932),(64 16449.43),(65 16310.473),(66 16388.146),(67 16316.122),(68 16309.584),(69 16238.041),(70 16274.267),(71 16422.11),(72 16695.316),(73 16722.113),(74 16487.354),(75 16410.525),(76 16250.165),(77 16302.631),(78 16455.941),(79 16715.912),
(1 3813.999),(2 9576.358),(3 12990.884),(4 13708.138),(5 13571.459),(6 13517.807),(7 13763.115),(8 13900.054),(9 14099.308),(10 14495.251),(11 14783.905),(12 14780.526),(13 14554.34),(14 14210.716),(15 14330.905),(16 14626.919),(17 14733.265),(18 14565.174),(19 14417.267),(20 14706.922),(21 15129.684),(22 15303.746),(23 15238.291),(24 15345.893),(25 15439.081),(26 15361.877),(27 15489.897),(28 15616.692),(29 15641.136),(30 15689.788),(31 15402.53),(32 15178.811),(33 15203.701),(34 15327.705),(35 15444.615),(36 15570.686),(37 15571.728),(38 15578.1875),(39 15646.566),(40 15815.34),(41 15824.977),(42 15720.086),(43 15681.869),(44 15794.078),(45 15754.606),(46 15602.535),(47 15517.408),(48 15708.851),(49 15844.827),(50 15872.136),(51 15780.997),(52 15798.999),(53 15884.957),(54 16148.234),(55 16161.146),(56 16049.743),(57 15959.245),(58 15800.149),(59 15710.151),(60 15732.292),(61 15961.1875),(62 16075.288),(63 15984.516),(64 15890.5625),(65 15797.783),(66 15841.039),(67 15743.82),(68 15909.665),(69 15934.818),(70 15647.128),(71 15472.981),(72 15433.037),(73 15471.369),(74 15372.007),(75 15302.846),(76 15342.941),(77 15559.519),(78 15745.568),(79 15628.295),
(1 3727.7102),(2 9156.271),(3 12168.468),(4 12816.29),(5 12678.292),(6 12718.942),(7 13175.577),(8 13705.763),(9 13972.363),(10 14185.454),(11 14240.492),(12 14000.964),(13 14017.222),(14 13926.969),(15 13901.012),(16 14188.243),(17 14234.433),(18 14055.331),(19 13932.071),(20 14094.097),(21 14394.327),(22 14444.175),(23 14330.937),(24 14269.044),(25 14251.868),(26 14232.378),(27 14395.673),(28 14746.856),(29 14788.718),(30 14737.453),(31 14785.621),(32 14942.078),(33 15055.864),(34 14985.992),(35 14661.734),(36 14288.133),(37 14139.266),(38 14215.708),(39 14375.13),(40 14458.058),(41 14492.445),(42 14483.612),(43 14475.82),(44 14622.488),(45 14633.417),(46 14564.767),(47 14530.083),(48 14552.073),(49 14596.547),(50 14577.965),(51 14657.18),(52 14895.151),(53 15142.454),(54 15246.175),(55 15009.578),(56 14858.5),(57 14917.144),(58 15041.484),(59 15071.453),(60 15151.046),(61 15352.582),(62 15308.5625),(63 15208.007),(64 15120.03),(65 14931.239),(66 15018.194),(67 15254.46),(68 15350.454),(69 15208.516),(70 15236.144),(71 15393.156),(72 15412.202),(73 15470.293),(74 15354.414),(75 15340.503),(76 15356.066),(77 15482.738),(78 15598.091),(79 15679.944),
(1 3642.7139),(2 9074.562),(3 12299.259),(4 13173.762),(5 13181.316),(6 13077.902),(7 13153.811),(8 13356.055),(9 13675.251),(10 14257.818),(11 14503.238),(12 14171.664),(13 13754.078),(14 13594.205),(15 13850.048),(16 14029.063),(17 14135.921),(18 14120.952),(19 14199.611),(20 14354.079),(21 14357.817),(22 14475.762),(23 14572.183),(24 14599.896),(25 14555.1),(26 14402.848),(27 14404.395),(28 14785.981),(29 15068.216),(30 15080.788),(31 14860.332),(32 14722.55),(33 14837.958),(34 14912.964),(35 14788.958),(36 14683.926),(37 14778.634),(38 14825.73),(39 14735.632),(40 14504.939),(41 14431.378),(42 14523.175),(43 14568.336),(44 14495.604),(45 14350.339),(46 14455.463),(47 14585.186),(48 14746.869),(49 14734.277),(50 14684.661),(51 14583.1875),(52 14665.489),(53 14864.952),(54 14897.343),(55 14796.516),(56 14706.973),(57 14513.811),(58 14295.78),(59 14327.41),(60 14477.063),(61 14572.754),(62 14550.441),(63 14620.314),(64 14716.508),(65 14763.736),(66 14934.519),(67 14821.159),(68 14694.509),(69 14660.489),(70 14669.074),(71 14739.048),(72 14804.471),(73 14708.698),(74 14664.963),(75 14705.71),(76 14524.968),(77 14431.034),(78 14523.172),(79 14654.403),
(1 3588.7073),(2 8747.149),(3 11708.38),(4 12192.692),(5 12067.286),(6 12145.597),(7 12471.453),(8 12768.836),(9 13025.059),(10 13210.914),(11 13089.912),(12 12802.162),(13 12660.414),(14 12800.484),(15 13245.391),(16 13512.735),(17 13520.501),(18 13531.211),(19 13707.226),(20 13716.254),(21 13630.171),(22 13782.6455),(23 14059.472),(24 14083.195),(25 14067.429),(26 14178.866),(27 14557.258),(28 14888.444),(29 15070.434),(30 14961.086),(31 14703.283),(32 14570.0625),(33 14811.888),(34 14920.551),(35 14864.689),(36 14674.797),(37 14632.179),(38 14832.647),(39 14949.622),(40 14900.963),(41 14874.323),(42 15025.913),(43 15172.385),(44 15374.601),(45 15186.388),(46 15086.7705),(47 14916.54),(48 14609.97),(49 14354.7),(50 14185.953),(51 14151.832),(52 14473.004),(53 14794.965),(54 14657.111),(55 14237.278),(56 14125.033),(57 14167.874),(58 14357.269),(59 14376.853),(60 14300.647),(61 14225.667),(62 13985.304),(63 13986.552),(64 14121.103),(65 14141.714),(66 14352.051),(67 14363.061),(68 14257.963),(69 14259.964),(70 14424.631),(71 14682.944),(72 14588.213),(73 14400.158),(74 14094.097),(75 13891.903),(76 13713.508),(77 13536.077),(78 13554.445),(79 13710.268),
(1 3455.7676),(2 8260.126),(3 10922.274),(4 11631.007),(5 11615.6455),(6 11683.306),(7 11688.634),(8 11564.437),(9 11899.391),(10 12363.107),(11 12635.791),(12 12579.317),(13 12549.471),(14 12594.31),(15 12615.703),(16 12641.42),(17 12738.704),(18 12978.792),(19 13185.363),(20 13187.474),(21 13023.079),(22 12748.301),(23 12644.662),(24 12752.172),(25 13003.091),(26 13307.571),(27 13580.604),(28 13714.416),(29 13673.021),(30 13456.087),(31 13156.121),(32 13172.628),(33 13460.058),(34 13658.425),(35 13618.68),(36 13438.984),(37 13598.45),(38 13842.172),(39 14021.725),(40 14035.337),(41 14024.137),(42 13934.534),(43 13780.912),(44 13731.629),(45 13884.678),(46 14087.884),(47 14083.191),(48 13896.275),(49 13746.554),(50 13835.51),(51 13935.904),(52 14066.368),(53 14115.586),(54 13938.087),(55 13778.453),(56 13746.037),(57 13765.2705),(58 13852.995),(59 13962.565),(60 14013.08),(61 14096.304),(62 13953.863),(63 13805.694),(64 13775.999),(65 13901.566),(66 14078.459),(67 14085.982),(68 14056.24),(69 13959.657),(70 14000.109),(71 14097.184),(72 14023.339),(73 14004.284),(74 14025.059),(75 14088.775),(76 14086.6),(77 13986.874),(78 13958.438),(79 13953.376),
(1 3370.9883),(2 8182.1436),(3 10711.986),(4 11327.636),(5 11419.25),(6 11808.099),(7 12192.413),(8 12330.949),(9 12500.611),(10 12816.162),(11 12893.343),(12 12662.537),(13 12370.98),(14 12383.498),(15 12624.468),(16 12788.9795),(17 12621.531),(18 12665.843),(19 12988.338),(20 13085.974),(21 13133.41),(22 13310.797),(23 13471.555),(24 13450.844),(25 13497.31),(26 13596.942),(27 13758.371),(28 14001.552),(29 13952.577),(30 13739.156),(31 13677.752),(32 13975.868),(33 14352.286),(34 14530.226),(35 14308.173),(36 14079.5),(37 13872.267),(38 13697.479),(39 13790.42),(40 13797.252),(41 13666.956),(42 13652.78),(43 13494.798),(44 13408.582),(45 13467.791),(46 13645.392),(47 13624.531),(48 13712.999),(49 13591.517),(50 13527.127),(51 13608.781),(52 13714.988),(53 13678.894),(54 13627.955),(55 13494.988),(56 13436.906),(57 13342.216),(58 13492.367),(59 13540.401),(60 13405.0205),(61 13254.466),(62 13056.057),(63 13028.378),(64 13106.36),(65 13201.495),(66 13338.362),(67 13288.93),(68 13280.602),(69 13315.452),(70 13540.119),(71 13753.606),(72 13694.812),(73 13512.073),(74 13434.664),(75 13457.966),(76 13450.153),(77 13384.159),(78 13475.417),(79 13655.7705),
(1 3339.1436),(2 8068.149),(3 10488.175),(4 10950.305),(5 11114.979),(6 11352.893),(7 11336.152),(8 11140.906),(9 11196.968),(10 11639.237),(11 11930.118),(12 11778.163),(13 11555.799),(14 11702.21),(15 12207.072),(16 12584.843),(17 12543.514),(18 12292.493),(19 12215.327),(20 12118.254),(21 11928.648),(22 11985.43),(23 12157.909),(24 12185.082),(25 12175.3),(26 12235.554),(27 12609.083),(28 12791.167),(29 12670.369),(30 12648.18),(31 12456.428),(32 12507.181),(33 12658.013),(34 12662.561),(35 12508.479),(36 12502.517),(37 12627.159),(38 12695.671),(39 12863.634),(40 12929.909),(41 12887.982),(42 12797.678),(43 12704.458),(44 12838.578),(45 13005.459),(46 13193.616),(47 13111.436),(48 13062.938),(49 13012.725),(50 12946.188),(51 13056.004),(52 13103.242),(53 12953.197),(54 12871.037),(55 12688.559),(56 12625.622),(57 12694.09),(58 12899.402),(59 13016.085),(60 13013.71),(61 12931.217),(62 12717.16),(63 12573.743),(64 12606.941),(65 12513.927),(66 12488.775),(67 12455.524),(68 12502.491),(69 12568.963),(70 12559.432),(71 12471.808),(72 12465.716),(73 12662.325),(74 12835.589),(75 12773.353),(76 12640.341),(77 12596.894),(78 12495.946),(79 12404.055),
(1 3335.2498),(2 7994.1367),(3 10396.845),(4 10703.487),(5 10601.085),(6 10681.256),(7 10834.197),(8 11070.349),(9 11372.008),(10 11620.161),(11 11677.638),(12 11437.3545),(13 11283.2705),(14 11473.673),(15 11711.099),(16 11803.143),(17 11635.372),(18 11567.194),(19 11808.315),(20 12004.832),(21 12089.599),(22 11920.114),(23 11897.862),(24 11906.694),(25 12054.113),(26 12159.461),(27 12379.199),(28 12510.348),(29 12437.786),(30 12423.038),(31 12249.434),(32 12383.946),(33 12499.066),(34 12621.684),(35 12789.383),(36 12857.207),(37 12809.616),(38 12676.189),(39 12633.228),(40 12769.851),(41 12900.884),(42 12961.923),(43 12940.428),(44 13091.317),(45 13121.363),(46 13110.972),(47 12997.194),(48 12846.093),(49 12509.531),(50 12429.536),(51 12605.622),(52 12789.858),(53 12878.806),(54 12983.929),(55 12931.303),(56 12977.787),(57 13024.114),(58 13012.838),(59 12860.949),(60 12901.072),(61 12933.047),(62 12841.689),(63 12738.431),(64 12768.503),(65 12749.414),(66 12742.049),(67 12752.857),(68 12735.593),(69 12738.216),(70 12883.593),(71 12906.505),(72 12929.936),(73 13040.339),(74 13167.572),(75 13040.165),(76 12936.901),(77 12859.739),(78 12902.556),(79 12867.656),
(1 3319.9656),(2 8056.6987),(3 10723.794),(4 11347.315),(5 11302.92),(6 11355.45),(7 11495.129),(8 11529.322),(9 11642.807),(10 11958.981),(11 12336.513),(12 12472.772),(13 12372.901),(14 12372.418),(15 12367.079),(16 12650.529),(17 12811.537),(18 12865.556),(19 12905.238),(20 12691.982),(21 12438.728),(22 12336.607),(23 12393.284),(24 12550.087),(25 12625.265),(26 12867.448),(27 12846.614),(28 12825.594),(29 12657.731),(30 12494.621),(31 12381.724),(32 12629.021),(33 12913.062),(34 12957.005),(35 12862.099),(36 12885.427),(37 12824.763),(38 12840.069),(39 12970.792),(40 13042.296),(41 12885.25),(42 12766.404),(43 12678.857),(44 12718.739),(45 13024.406),(46 13351.512),(47 13054.741),(48 12786.855),(49 12634.273),(50 12621.925),(51 12521.061),(52 12283.795),(53 12118.779),(54 11994.435),(55 11867.6),(56 12083.648),(57 12370.259),(58 12503.455),(59 12407.604),(60 12232.549),(61 12169.38),(62 12423.291),(63 13029.196),(64 13295.69),(65 13158.553),(66 12892.614),(67 12829.715),(68 12838.895),(69 12861.803),(70 12819.614),(71 12719.154),(72 12825.265),(73 13088.395),(74 13063.811),(75 12805.323),(76 12720.387),(77 12801.967),(78 12867.292),(79 13033.386),
