1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27742.58),(2 108503.31),(3 238090.5),(4 417909.72),(5 654143.6),(6 933961.06),(7 1236663.8),(8 1672556.1),(9 2071839.5),(10 2481679),(11 2928319.8),(12 3403570),(13 3940222.8),(14 4600473),(15 5313613.5),(16 6007566),(17 6737585.5),(18 7541174.5),(19 8457761),(20 9413096),(21 10466233),(22 11621948),(23 12937103),(24 14300423),(25 15762029),(26 17299254),(27 18972854),(28 20809134),(29 22785830),(30 24729146),(31 26861944),(32 29182782),(33 31473968),(34 33819836),(35 36431410),(36 39217870),(37 42198996),(38 46021812),(39 49430772),(40 52757680),(41 56178316),(42 59664416),(43 63454640),(44 67098772),(45 71101570),(46 75354090),(47 79922920),(48 84723030),(49 89612310),(50 94282550),(51 99135810),(52 104035384),(53 108738616),(54 113917180),(55 119473610),(56 124881560),(57 130116936),(58 135507540),(59 140582480),(60 145529260),(61 150309520),(62 155419410),(63 160619660),(64 165854900),(65 171045520),(66 176194880),(67 181381940),(68 186356140),(69 190642260),(70 195147220),(71 199749550),(72 204177220),(73 208588210),(74 212902060),(75 217195340),(76 220783060),(77 224534380),(78 228345710),(79 231824940),
(1 27948.309),(2 104275.22),(3 223743.88),(4 384193.94),(5 577625.3),(6 783708.1),(7 985236.9),(8 1185104.8),(9 1377718.6),(10 1551966.4),(11 1700321.8),(12 1856142.6),(13 2016984.4),(14 2173118),(15 2325367.3),(16 2492004.3),(17 2662744),(18 2856876.5),(19 3037964.3),(20 3214356.5),(21 3400763.3),(22 3608163.3),(23 3795394.5),(24 3960468),(25 4111624.8),(26 4278211),(27 4470025),(28 4665803),(29 4872645),(30 5098811),(31 5341055.5),(32 5588833),(33 5859931.5),(34 6136313),(35 6474286.5),(36 6787709),(37 7131117),(38 7527063),(39 7805769.5),(40 8035862.5),(41 8245464),(42 8421835),(43 8609020),(44 8753390),(45 8924449),(46 9107594),(47 9333229),(48 9565784),(49 9775422),(50 10005076),(51 10226487),(52 10430666),(53 10588471),(54 10711296),(55 10835869),(56 10942626),(57 11065538),(58 11233551),(59 11357442),(60 11456940),(61 11531845),(62 11643235),(63 11759164),(64 11914415),(65 12068071),(66 12223466),(67 12349810),(68 12525938),(69 12632044),(70 12769259),(71 12915406),(72 13029655),(73 13144975),(74 13293390),(75 13478458),(76 13671173),(77 13885685),(78 14107269),(79 14349202),
(1 40032.91),(2 149074.2),(3 315492.53),(4 526005),(5 773449.94),(6 1029365.5),(7 1295517.9),(8 1556952.6),(9 1825977.6),(10 2078552.1),(11 2303851.8),(12 2530284.8),(13 2736557.5),(14 2944653.3),(15 3155816.8),(16 3363404.8),(17 3562786.8),(18 3782993.3),(19 3980371.8),(20 4182250),(21 4387271.5),(22 4612823.5),(23 4845507.5),(24 5053923.5),(25 5215766.5),(26 5354598.5),(27 5492691.5),(28 5594376),(29 5680412),(30 5752058),(31 5821130.5),(32 5895099.5),(33 5945560),(34 6007212.5),(35 6081489.5),(36 6146311.5),(37 6205668),(38 6263856),(39 6282530.5),(40 6308447.5),(41 6337764.5),(42 6362294),(43 6407078.5),(44 6445042.5),(45 6518764),(46 6610809.5),(47 6743141.5),(48 6940811.5),(49 7189618),(50 7507746),(51 7856250.5),(52 8189421.5),(53 8471227),(54 8744151),(55 8997955),(56 9261616),(57 9523800),(58 9806731),(59 10019195),(60 10161297),(61 10226887),(62 10272868),(63 10300585),(64 10297669),(65 10243402),(66 10223030),(67 10244633),(68 10320129),(69 10333660),(70 10385002),(71 10411007),(72 10406193),(73 10430547),(74 10503889),(75 10587449),(76 10697852),(77 10850365),(78 10999895),(79 11143525),
(1 48156.004),(2 180373.61),(3 378638.1),(4 632417.94),(5 926492.56),(6 1229324.6),(7 1539371.1),(8 1841669.9),(9 2133974.3),(10 2398311),(11 2644575.5),(12 2886816),(13 3106384),(14 3313715.5),(15 3501724.3),(16 3694733),(17 3895543.5),(18 4120964.5),(19 4357241),(20 4590335),(21 4833396.5),(22 5113731.5),(23 5438161),(24 5753017),(25 6026094),(26 6279289.5),(27 6518897.5),(28 6750373),(29 6952001),(30 7133846),(31 7305061.5),(32 7477331.5),(33 7586962.5),(34 7685756.5),(35 7786283.5),(36 7900627.5),(37 8016944),(38 8111801),(39 8218219.5),(40 8343115.5),(41 8476962),(42 8591432),(43 8719151),(44 8850023),(45 9006307),(46 9190597),(47 9414996),(48 9706185),(49 10007264),(50 10294567),(51 10608132),(52 10902750),(53 11181732),(54 11456586),(55 11711165),(56 11948777),(57 12135348),(58 12273961),(59 12370619),(60 12413438),(61 12403018),(62 12363684),(63 12315775),(64 12244313),(65 12137814),(66 12052056),(67 11980118),(68 11925538),(69 11839977),(70 11753428),(71 11682408),(72 11620577),(73 11601434),(74 11623036),(75 11723840),(76 11849709),(77 11953284),(78 12059750),(79 12172649),
(1 56688.75),(2 210134.06),(3 441341.5),(4 737448),(5 1085834.5),(6 1449166.9),(7 1802727.3),(8 2140659),(9 2459050.3),(10 2744296.3),(11 3001958.3),(12 3248748.3),(13 3468923.8),(14 3685587.8),(15 3908640),(16 4133633.5),(17 4359098),(18 4612544),(19 4868300.5),(20 5093040.5),(21 5322219.5),(22 5554972.5),(23 5781879.5),(24 5961560.5),(25 6085443),(26 6172756.5),(27 6236228.5),(28 6288394),(29 6328809.5),(30 6344757),(31 6317404.5),(32 6256659),(33 6134819.5),(34 5990602),(35 5841064.5),(36 5681081.5),(37 5505805),(38 5333425.5),(39 5188966.5),(40 5062133),(41 4966487.5),(42 4868574),(43 4806878.5),(44 4785556.5),(45 4808197.5),(46 4885421),(47 5004723),(48 5178813),(49 5372426.5),(50 5558628.5),(51 5784154),(52 6035529),(53 6286659),(54 6565498),(55 6835875),(56 7109466),(57 7369342),(58 7608686.5),(59 7825672.5),(60 8007882),(61 8146220.5),(62 8210904.5),(63 8268921.5),(64 8331533),(65 8381491),(66 8413607),(67 8447265),(68 8508777),(69 8523601),(70 8535597),(71 8601671),(72 8677198),(73 8809160),(74 8993667),(75 9228352),(76 9477228),(77 9743773),(78 10031788),(79 10309058),
(1 76677.69),(2 285664.4),(3 609192.7),(4 1035297.4),(5 1555399.3),(6 2132184.8),(7 2716441.3),(8 3300858.3),(9 3852287.5),(10 4356650.5),(11 4812437.5),(12 5213993.5),(13 5527069.5),(14 5788273.5),(15 6049241),(16 6305984.5),(17 6546441),(18 6783283),(19 6955275),(20 7062275),(21 7129835),(22 7182854.5),(23 7223551),(24 7240410.5),(25 7217365),(26 7154033.5),(27 7065765.5),(28 6942521),(29 6796318.5),(30 6624053.5),(31 6419566.5),(32 6194017),(33 5920313),(34 5620375.5),(35 5309617),(36 5022621.5),(37 4755181),(38 4575607.5),(39 4479206.5),(40 4455868),(41 4473945),(42 4533975),(43 4636697.5),(44 4765141),(45 4924084.5),(46 5068990),(47 5243882),(48 5449751),(49 5680048),(50 5908232),(51 6175244),(52 6496799),(53 6820963),(54 7142186.5),(55 7433354.5),(56 7742010.5),(57 8043779),(58 8336899),(59 8582997),(60 8752542),(61 8823792),(62 8799890),(63 8753266),(64 8730018),(65 8722929),(66 8724117),(67 8735640),(68 8790552),(69 8861594),(70 8978255),(71 9125629),(72 9300886),(73 9512646),(74 9738090),(75 10015058),(76 10267107),(77 10453556),(78 10610285),(79 10728198),
(1 100728.26),(2 385644.38),(3 826626.9),(4 1387983.8),(5 2036557.8),(6 2744646.8),(7 3463920.5),(8 4181121.3),(9 4834383),(10 5415657),(11 5910602.5),(12 6325949.5),(13 6641461.5),(14 6876741.5),(15 7047874),(16 7205605),(17 7326817),(18 7404635),(19 7439089),(20 7397272.5),(21 7307131),(22 7205412.5),(23 7096444.5),(24 6983447.5),(25 6824303.5),(26 6654843.5),(27 6491227.5),(28 6314727.5),(29 6144521),(30 6006627),(31 5882925),(32 5745507),(33 5596061.5),(34 5421034.5),(35 5238324.5),(36 5108204.5),(37 5039298),(38 5031289.5),(39 5095100.5),(40 5215348.5),(41 5318245),(42 5424552),(43 5517941.5),(44 5601279.5),(45 5688744.5),(46 5769841),(47 5872512.5),(48 5966365),(49 6047464.5),(50 6113403.5),(51 6188999.5),(52 6291305),(53 6409597.5),(54 6511950),(55 6575570.5),(56 6617410.5),(57 6650389),(58 6680348.5),(59 6719602),(60 6705330.5),(61 6615600),(62 6506725),(63 6404984.5),(64 6343373.5),(65 6313789),(66 6312597.5),(67 6356299.5),(68 6409504.5),(69 6455984.5),(70 6541619.5),(71 6639162.5),(72 6740726),(73 6869213),(74 7006707.5),(75 7172056),(76 7334712.5),(77 7430165),(78 7453024.5),(79 7415665),
(1 117375.98),(2 450119.38),(3 961922.44),(4 1591852.5),(5 2267829.5),(6 2984813.8),(7 3704823.3),(8 4380751),(9 4960528.5),(10 5409448),(11 5719739.5),(12 5934047),(13 6042187.5),(14 6101096.5),(15 6138286),(16 6168262.5),(17 6189711),(18 6199122),(19 6204565),(20 6185674),(21 6179776),(22 6190927),(23 6229941.5),(24 6301615),(25 6340025),(26 6357621),(27 6332462),(28 6263548.5),(29 6151792.5),(30 6057847.5),(31 5974705.5),(32 5897475),(33 5803859.5),(34 5701380.5),(35 5593524.5),(36 5507163.5),(37 5444243),(38 5413853.5),(39 5429712),(40 5439869),(41 5429486),(42 5403643.5),(43 5370673),(44 5336373),(45 5284496.5),(46 5228279.5),(47 5174530.5),(48 5120258),(49 5060373),(50 5003981),(51 4964431),(52 4958417),(53 4979659.5),(54 5019077),(55 5072404.5),(56 5103339.5),(57 5114202),(58 5138320),(59 5176069.5),(60 5210813.5),(61 5225457),(62 5189810),(63 5146609),(64 5133002.5),(65 5164336),(66 5211187.5),(67 5271470.5),(68 5326511),(69 5346625.5),(70 5388592.5),(71 5422620.5),(72 5457037),(73 5512206),(74 5580676.5),(75 5661646),(76 5729085.5),(77 5750782),(78 5733338.5),(79 5700106),
(1 125047.1),(2 478412.2),(3 1011934.56),(4 1650661),(5 2321854.8),(6 2998435.8),(7 3646799.5),(8 4210011.5),(9 4666271.5),(10 4977687.5),(11 5162031),(12 5249202.5),(13 5245727),(14 5172552.5),(15 5066647.5),(16 4981547.5),(17 4900385),(18 4827913.5),(19 4802936.5),(20 4832186.5),(21 4904654),(22 5016885.5),(23 5157586),(24 5321428),(25 5499836),(26 5656012.5),(27 5747163.5),(28 5759433.5),(29 5719533.5),(30 5639538),(31 5530600),(32 5399806),(33 5261208),(34 5116443.5),(35 4967114.5),(36 4815288.5),(37 4678250.5),(38 4580252),(39 4524806.5),(40 4484069.5),(41 4443950.5),(42 4409530.5),(43 4395112),(44 4403318),(45 4421538),(46 4431052.5),(47 4425124),(48 4418356.5),(49 4425885),(50 4463217.5),(51 4528912),(52 4624221),(53 4699336.5),(54 4773976.5),(55 4849078.5),(56 4903135),(57 4950584.5),(58 4994146.5),(59 5021587),(60 5044287),(61 5027052),(62 4971977),(63 4957261),(64 4985924.5),(65 5044344.5),(66 5098386.5),(67 5139470),(68 5191879),(69 5228560),(70 5273044),(71 5325016),(72 5363442),(73 5352503.5),(74 5313380.5),(75 5277330),(76 5276364.5),(77 5289484.5),(78 5288604.5),(79 5327272.5),
(1 125625.89),(2 472112.66),(3 995615.1),(4 1623987.5),(5 2284202),(6 2926328.5),(7 3519755),(8 3998644),(9 4354928),(10 4581936),(11 4687490),(12 4710153),(13 4682807),(14 4643332.5),(15 4584938),(16 4537049),(17 4489811),(18 4459660),(19 4499351),(20 4574546.5),(21 4667317.5),(22 4775335),(23 4886025.5),(24 4966913),(25 5033423.5),(26 5094720),(27 5106308.5),(28 5039858),(29 4948606.5),(30 4846410),(31 4726882.5),(32 4577125.5),(33 4430492),(34 4286311),(35 4170201),(36 4068905.8),(37 3961719),(38 3869208),(39 3805310.3),(40 3765547.5),(41 3731686.8),(42 3729162.3),(43 3770936.5),(44 3840629.8),(45 3921447.5),(46 4006802.8),(47 4089545),(48 4182159),(49 4302428.5),(50 4434209.5),(51 4580741),(52 4780890),(53 4966704),(54 5150199),(55 5317129),(56 5428915.5),(57 5513150),(58 5577726),(59 5616918.5),(60 5644564.5),(61 5656224),(62 5593398.5),(63 5527488),(64 5484948),(65 5471621),(66 5458033.5),(67 5455370),(68 5455230),(69 5460150),(70 5464981),(71 5461636.5),(72 5455162),(73 5425375),(74 5412473.5),(75 5451330.5),(76 5500045),(77 5532449),(78 5550231),(79 5616019),
(1 133961.53),(2 498417.6),(3 1038084.7),(4 1686207.3),(5 2381320.3),(6 3064223.8),(7 3680683.3),(8 4159849.5),(9 4512016),(10 4724701),(11 4795186),(12 4737824.5),(13 4603599),(14 4445816),(15 4246392),(16 4057532.3),(17 3892180.5),(18 3747896.5),(19 3639674),(20 3583306.3),(21 3580384),(22 3631880.3),(23 3712722),(24 3804139.8),(25 3884506.8),(26 3935777.5),(27 3924034.3),(28 3835810),(29 3725326),(30 3603270.8),(31 3468846.3),(32 3324683.5),(33 3198103),(34 3109345.3),(35 3071690),(36 3082518.8),(37 3130113.5),(38 3221816),(39 3317564),(40 3407152.5),(41 3495704.5),(42 3604252.8),(43 3720475.8),(44 3826577),(45 3913336.5),(46 3967722),(47 3989518.5),(48 4003866.3),(49 4021845.8),(50 4050418.8),(51 4105151),(52 4178344.5),(53 4226523.5),(54 4272557),(55 4310789),(56 4323908.5),(57 4315935),(58 4320016),(59 4334639),(60 4337231),(61 4312024.5),(62 4256460),(63 4200519.5),(64 4175592.5),(65 4159914.3),(66 4171976.5),(67 4203344.5),(68 4261152),(69 4305606.5),(70 4377953),(71 4457937.5),(72 4525562),(73 4577446),(74 4645934.5),(75 4720758.5),(76 4733690.5),(77 4696339.5),(78 4659604),(79 4659141.5),
