1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11318.243),(2 26004.072),(3 44472.793),(4 66381.79),(5 83993.61),(6 104241.23),(7 110052.51),(8 119084.71),(9 133296.25),(10 154832.25),(11 182932.25),(12 202344.63),(13 229645.95),(14 257340.05),(15 285033.47),(16 333954.44),(17 371033.75),(18 423139.1),(19 460662.25),(20 500269.9),(21 549736.3),(22 586024.75),(23 630790.56),(24 673712.8),(25 721991),(26 764532.7),(27 803794.3),(28 858210),(29 897865.94),(30 948474.2),(31 985412.5),(32 1016980.56),(33 1059672),(34 1095673.5),(35 1140570.5),(36 1167289),(37 1190530.6),(38 1235026.8),(39 1268781.1),(40 1302742.5),(41 1323851.6),(42 1365496),(43 1397022.4),(44 1442685),(45 1503936.5),(46 1563686.5),(47 1633374.1),(48 1674221.9),(49 1732480.4),(50 1804350.1),(51 1874795.6),(52 1955462),(53 2016612),(54 2107194.8),(55 2175397),(56 2247765.8),(57 2338388.3),(58 2407371.8),(59 2504090.8),(60 2581645.5),(61 2655582.3),(62 2738020.5),(63 2785559),(64 2873742),(65 2939448),(66 3020762),(67 3083396),(68 3147998),(69 3241521),(70 3310084.8),(71 3406582.3),(72 3472531.3),(73 3532798.8),(74 3601309),(75 3625804),(76 3694026.8),(77 3738297.3),(78 3805349.3),(79 3858499.3),
(1 7859.0146),(2 23191.871),(3 42044.457),(4 62528.363),(5 83013.586),(6 103039.15),(7 117108.02),(8 131596.73),(9 149863.13),(10 171821.67),(11 200629.88),(12 226402.75),(13 250940.45),(14 271076.5),(15 290170.72),(16 321326.25),(17 349472.7),(18 389527.2),(19 417661.56),(20 451204.5),(21 481088),(22 510933.34),(23 550025),(24 593474.6),(25 634102.3),(26 664074.4),(27 700992.06),(28 736210.3),(29 780710.1),(30 824556.6),(31 861195.1),(32 896714.6),(33 936789.6),(34 978997),(35 1026800.9),(36 1068770),(37 1102886),(38 1156628.8),(39 1207115.6),(40 1239761.6),(41 1270131.5),(42 1304334.4),(43 1333560.4),(44 1369813.8),(45 1400507.4),(46 1433971),(47 1468458.8),(48 1501929.8),(49 1537671.3),(50 1577004.8),(51 1633705.8),(52 1675656.4),(53 1724581.3),(54 1786900.8),(55 1831923),(56 1886389.6),(57 1948677.6),(58 2010986),(59 2081241.3),(60 2152895.5),(61 2209422.5),(62 2266002),(63 2322371.5),(64 2387536.5),(65 2466631.3),(66 2544534.3),(67 2615485.5),(68 2697388.3),(69 2790298.5),(70 2880590),(71 2970997.8),(72 3048798.5),(73 3120439.3),(74 3201256.3),(75 3266401),(76 3355275.5),(77 3432220.5),(78 3520117.5),(79 3595812),
(1 6287.781),(2 19091.787),(3 35414.324),(4 53304.668),(5 72669.91),(6 92247.02),(7 109483.46),(8 127025.68),(9 149403.28),(10 176890.3),(11 210411.48),(12 244872.5),(13 275586.25),(14 308472.84),(15 335631.22),(16 369250.47),(17 401544.4),(18 439258.88),(19 472139.47),(20 504449.16),(21 536550.06),(22 563509.06),(23 593703.9),(24 619842.5),(25 646735.56),(26 673124.06),(27 696673.56),(28 721432.8),(29 749603.56),(30 775907),(31 796523.7),(32 814941.8),(33 836886.5),(34 860580.5),(35 882001.94),(36 908133.7),(37 928879.3),(38 951311.7),(39 969577.7),(40 980251.2),(41 994868.2),(42 1005237.56),(43 1016118.7),(44 1031828.7),(45 1051683),(46 1078586),(47 1100508.9),(48 1116612.5),(49 1130804.9),(50 1139067.1),(51 1157112.5),(52 1175956.5),(53 1208570),(54 1243240.6),(55 1264640.6),(56 1299868.6),(57 1329913.4),(58 1362483.6),(59 1399167.9),(60 1444240.5),(61 1478212),(62 1511507.1),(63 1556114.6),(64 1604208.4),(65 1661834.5),(66 1718603),(67 1765897.4),(68 1819705.4),(69 1875032.6),(70 1936260.1),(71 1984935.4),(72 2030408),(73 2073466),(74 2108918.3),(75 2153370.5),(76 2199447.5),(77 2248811.8),(78 2290978.3),(79 2328693.3),
(1 6830.264),(2 20423.229),(3 38750.223),(4 63921.625),(5 92397.52),(6 122685.086),(7 148697.44),(8 175179.58),(9 208994.11),(10 253983.61),(11 305997.63),(12 360998),(13 413348.38),(14 477428),(15 534267.7),(16 606524.06),(17 673030.6),(18 753127.9),(19 823955.25),(20 903741),(21 991097.25),(22 1074267.5),(23 1155482.9),(24 1231058),(25 1304839.8),(26 1373562.3),(27 1440912.5),(28 1513965.4),(29 1594065.1),(30 1672690.8),(31 1734723.1),(32 1795472.3),(33 1862080.6),(34 1927970.6),(35 1983018.9),(36 2046056.9),(37 2096291.1),(38 2156217.3),(39 2215783),(40 2261234.3),(41 2316681.5),(42 2370673),(43 2417041.3),(44 2472574.8),(45 2529849),(46 2600817.3),(47 2672739.5),(48 2724137),(49 2773913),(50 2815976.8),(51 2859991.5),(52 2904728),(53 2951690.8),(54 3008105.3),(55 3049248),(56 3093768),(57 3139889.3),(58 3193823),(59 3248491.5),(60 3315809.3),(61 3364499.3),(62 3409616.5),(63 3464790.3),(64 3516241.3),(65 3556706),(66 3604956.5),(67 3636189),(68 3661791),(69 3700600.8),(70 3736107),(71 3765175),(72 3796046.3),(73 3824571.5),(74 3868243),(75 3927446.3),(76 3971553),(77 4011729),(78 4064819.5),(79 4105601.8),
(1 8072.7583),(2 24270.445),(3 46095.496),(4 74454.87),(5 103327.875),(6 132299.25),(7 159604.56),(8 189323.81),(9 222375.39),(10 263645.63),(11 312995.97),(12 362897.88),(13 411712.9),(14 467160.53),(15 519675.88),(16 582353.94),(17 638437.8),(18 703744.06),(19 759950.56),(20 829636.06),(21 903176.4),(22 981395.6),(23 1056315.5),(24 1131773.6),(25 1200965.5),(26 1266870.8),(27 1332486),(28 1399257.5),(29 1468246.5),(30 1534993.9),(31 1591961.3),(32 1647768.4),(33 1706982.5),(34 1769998.4),(35 1828296.4),(36 1892975.3),(37 1944037.9),(38 2014676),(39 2085285.5),(40 2147180),(41 2213403),(42 2285754.5),(43 2342162.3),(44 2415651),(45 2487435),(46 2561352.8),(47 2634873.5),(48 2692913.8),(49 2755063),(50 2813271),(51 2872936.3),(52 2936666.3),(53 2995772.8),(54 3066724.8),(55 3125714.5),(56 3192154.3),(57 3257131.3),(58 3323979),(59 3393457.8),(60 3473948.3),(61 3533787.8),(62 3599330.3),(63 3660177),(64 3730015),(65 3787808.8),(66 3851709),(67 3899589.8),(68 3944108.3),(69 3990079),(70 4036856.3),(71 4075660),(72 4109998.5),(73 4145633.8),(74 4187194.3),(75 4236208.5),(76 4284601.5),(77 4328966.5),(78 4378649),(79 4422356.5),
(1 8375.405),(2 25536.236),(3 50962.945),(4 85052.25),(5 119376.27),(6 151011.06),(7 181629.66),(8 214365.67),(9 246625.53),(10 287086.75),(11 336227.1),(12 389871.47),(13 438129.3),(14 496228.6),(15 552803.5),(16 615654),(17 671890.5),(18 731794.6),(19 783099.1),(20 856934.5),(21 937764.3),(22 1032931.4),(23 1126416.9),(24 1202434.3),(25 1270053.3),(26 1337543),(27 1405128.6),(28 1468276.9),(29 1544099.4),(30 1611339.4),(31 1675242.8),(32 1727971.3),(33 1783520.8),(34 1849411.6),(35 1898285.3),(36 1949849.6),(37 1990084),(38 2032180.8),(39 2075182.4),(40 2110784),(41 2146308),(42 2194377.3),(43 2215162.8),(44 2246250.3),(45 2274479),(46 2289508.5),(47 2296188.8),(48 2293241),(49 2303091.3),(50 2303927.5),(51 2308430.5),(52 2303164),(53 2296244),(54 2290393.3),(55 2286668.3),(56 2281690.8),(57 2272146.5),(58 2258387.5),(59 2241383.5),(60 2227658),(61 2212336.5),(62 2207547.3),(63 2201389.3),(64 2192435.5),(65 2187230.5),(66 2182644.5),(67 2173922),(68 2169165.5),(69 2162180.5),(70 2159130),(71 2154854.3),(72 2145894.8),(73 2146101.3),(74 2143284),(75 2143356),(76 2148522.8),(77 2160159.8),(78 2168119.5),(79 2180166.3),
(1 8552.985),(2 26613.06),(3 53423.168),(4 87158.3),(5 123490.695),(6 162578.42),(7 199517.48),(8 241450.17),(9 285672.44),(10 338847.34),(11 396978.28),(12 464281.78),(13 520992.44),(14 587877.5),(15 652406.44),(16 720346.06),(17 788962.6),(18 856924.94),(19 910204.3),(20 981162.06),(21 1050647.9),(22 1128409.3),(23 1209054.1),(24 1280109.8),(25 1334638.5),(26 1395842.3),(27 1456724.8),(28 1512977.5),(29 1573071.1),(30 1631301.5),(31 1677537.9),(32 1726294.8),(33 1770910.9),(34 1821366.6),(35 1859017.5),(36 1907690.1),(37 1941346.1),(38 1970676.6),(39 2001369.3),(40 2032865.5),(41 2059070.8),(42 2087853.3),(43 2102862.5),(44 2113197.3),(45 2123285),(46 2129181.5),(47 2120097.8),(48 2105168.8),(49 2098729.8),(50 2079876.9),(51 2064383.3),(52 2035795.5),(53 2014349.3),(54 1998597.8),(55 1983092.1),(56 1974043.5),(57 1963284),(58 1955850.5),(59 1946419.1),(60 1944001.3),(61 1937438.1),(62 1930630),(63 1926190.3),(64 1915719.5),(65 1901503.9),(66 1884275.1),(67 1873209.4),(68 1868514.8),(69 1866567.8),(70 1867695.1),(71 1864508.6),(72 1866554.1),(73 1871364.9),(74 1878371.3),(75 1891660.1),(76 1914527.1),(77 1937452.8),(78 1956337.1),(79 1971409.4),
(1 10379.889),(2 32253.16),(3 64622.043),(4 109479.734),(5 161690.17),(6 217936.56),(7 273529.78),(8 337446.6),(9 408939.84),(10 491433.4),(11 579719.4),(12 673594.44),(13 758252.56),(14 857361.6),(15 958132.8),(16 1059791.3),(17 1162580.3),(18 1260582.6),(19 1337861.3),(20 1425871.5),(21 1497285.6),(22 1577724.3),(23 1655937.9),(24 1728656.9),(25 1780685.4),(26 1832324.5),(27 1885578.9),(28 1932512.8),(29 1968026.3),(30 2003321.3),(31 2025945.1),(32 2042826.4),(33 2052117.8),(34 2063605.4),(35 2070900.5),(36 2077281.8),(37 2080892.1),(38 2091524),(39 2103607.8),(40 2110181.3),(41 2120078.3),(42 2122808.8),(43 2128509.3),(44 2124308.8),(45 2120822.5),(46 2119894.8),(47 2122809),(48 2126285.8),(49 2128742.8),(50 2131647.5),(51 2144897),(52 2157538.5),(53 2175285.3),(54 2209675.8),(55 2236206.5),(56 2278684.3),(57 2332705.5),(58 2392255),(59 2448522.5),(60 2507664),(61 2559559),(62 2617080),(63 2672870.3),(64 2732356.3),(65 2793313),(66 2849576),(67 2902496.8),(68 2958537.5),(69 3000065.8),(70 3041023.5),(71 3071955.8),(72 3092663.5),(73 3110649.5),(74 3124346.5),(75 3127537),(76 3126703.3),(77 3127709.8),(78 3108992),(79 3091465),
(1 13626.631),(2 45067.8),(3 93062.9),(4 165998.47),(5 254285.44),(6 353138.9),(7 451737.34),(8 568892.8),(9 695460.25),(10 836141.9),(11 989917.44),(12 1153426),(13 1300823.8),(14 1463557.6),(15 1623998.3),(16 1774614.5),(17 1927618.1),(18 2073005.1),(19 2193420),(20 2313296.5),(21 2405404.3),(22 2494113.5),(23 2564850.3),(24 2630669.3),(25 2667871.8),(26 2688357.3),(27 2708844.8),(28 2722926),(29 2726217),(30 2737335),(31 2727514),(32 2717926.5),(33 2689886.5),(34 2666114),(35 2642368.8),(36 2624889.8),(37 2605060.3),(38 2594485.3),(39 2598616.3),(40 2596288),(41 2609012.5),(42 2610235),(43 2618317.3),(44 2622568.8),(45 2629435),(46 2634650.3),(47 2640190.5),(48 2642018.5),(49 2648401.5),(50 2646904.8),(51 2645178),(52 2653195.3),(53 2663483.5),(54 2677647.5),(55 2686717.8),(56 2713181.5),(57 2741326.5),(58 2771035.8),(59 2796388.8),(60 2825677.3),(61 2845750.3),(62 2871159.5),(63 2897953.5),(64 2921497.5),(65 2949034.3),(66 2967068.8),(67 2971732.5),(68 2985312.8),(69 2977774),(70 2952514),(71 2920489.5),(72 2881381),(73 2841552.8),(74 2792841.5),(75 2742040.3),(76 2679704),(77 2621812.3),(78 2540700.8),(79 2472663),
(1 9105.602),(2 28335.486),(3 57037.297),(4 97453.14),(5 143402.17),(6 191216.83),(7 239557.17),(8 297417.63),(9 359616.38),(10 430871.38),(11 505212.78),(12 585885.25),(13 657509.1),(14 739442.8),(15 820894.9),(16 909857.5),(17 996720.25),(18 1078522.9),(19 1147512.3),(20 1220699.5),(21 1283036.5),(22 1342655.1),(23 1395987.5),(24 1440976.1),(25 1476154),(26 1505911.8),(27 1539974),(28 1578360.6),(29 1614297),(30 1645719.4),(31 1669745.4),(32 1694879.1),(33 1710510.5),(34 1726938.3),(35 1736655.5),(36 1742571.5),(37 1745885.5),(38 1750388.6),(39 1759015),(40 1765897.5),(41 1780018.6),(42 1787778.6),(43 1801951.6),(44 1819160),(45 1843781.4),(46 1874183.8),(47 1907625.8),(48 1945556.5),(49 1970629.5),(50 2009467.1),(51 2045904.9),(52 2089025.1),(53 2131576.3),(54 2157593),(55 2185164.3),(56 2214020.8),(57 2232420),(58 2243042.3),(59 2247221.8),(60 2249910.3),(61 2256092.3),(62 2254050.5),(63 2248603.5),(64 2242514.5),(65 2237323),(66 2226408),(67 2208839.5),(68 2186358.8),(69 2149899.3),(70 2104955.5),(71 2056020.3),(72 1999232.9),(73 1945319.5),(74 1889845.4),(75 1839373.1),(76 1785803.8),(77 1739230.5),(78 1692180.8),(79 1654799.5),
(1 9662.16),(2 30108.498),(3 59911.094),(4 100150.13),(5 146166.77),(6 196116.33),(7 245428.03),(8 303753.22),(9 366544.84),(10 438361.38),(11 507770),(12 579566.56),(13 639371.56),(14 697216.1),(15 749353.2),(16 798986.94),(17 838684.3),(18 872002.25),(19 896526.2),(20 918470.56),(21 935049.44),(22 947203.8),(23 957811.75),(24 965488.56),(25 964792.5),(26 969022.8),(27 976938.2),(28 990026.8),(29 1005048.25),(30 1023930.56),(31 1041342.94),(32 1061178.4),(33 1076359.3),(34 1092197.9),(35 1110786.6),(36 1128160.5),(37 1144681.5),(38 1160483.3),(39 1176009.5),(40 1195957.6),(41 1215441.6),(42 1233772),(43 1248898.1),(44 1265317),(45 1283053.9),(46 1308335.5),(47 1336070.1),(48 1363270.8),(49 1389138.6),(50 1429148.5),(51 1473283.8),(52 1513440),(53 1553329.4),(54 1587671.8),(55 1624093),(56 1662130.8),(57 1697327.9),(58 1726919.4),(59 1754344.5),(60 1782756.1),(61 1805152.5),(62 1828382.1),(63 1840687.8),(64 1852816.3),(65 1855999.5),(66 1858924.3),(67 1858948.3),(68 1859265.4),(69 1857376.5),(70 1850687),(71 1833500.4),(72 1809685.8),(73 1788096.3),(74 1763948.9),(75 1737553.3),(76 1706544.1),(77 1673609.1),(78 1635950.5),(79 1597130.4),
