1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 106478.49),(2 377899.9),(3 804687),(4 1396136.9),(5 2112030.8),(6 2963478.8),(7 3938670.8),(8 5013668),(9 6117737.5),(10 7273166.5),(11 8483147),(12 9767647),(13 11123201),(14 12580329),(15 14328632),(16 16126892),(17 18048850),(18 20146202),(19 22387046),(20 24863394),(21 27638638),(22 30502486),(23 33709250),(24 37022540),(25 40255840),(26 43617804),(27 46784292),(28 50210900),(29 53753732),(30 57278692),(31 61072750),(32 65094484),(33 69401590),(34 73796456),(35 78414904),(36 83270350),(37 88294344),(38 93496990),(39 98730744),(40 103801280),(41 108730824),(42 113420030),(43 117974250),(44 122281630),(45 126310530),(46 130282730),(47 134039900),(48 138108290),(49 142027780),(50 145568030),(51 149479360),(52 153200130),(53 156597840),(54 160160960),(55 163159840),(56 165954510),(57 168324820),(58 170684590),(59 172697580),(60 174312720),(61 175593420),(62 176609600),(63 177287890),(64 177776480),(65 178122190),(66 178398600),(67 178690580),(68 179256830),(69 179134900),(70 179102480),(71 179466700),(72 179815040),(73 179921090),(74 180672180),(75 181345330),(76 182264780),(77 183219020),(78 184517250),(79 185826740),
(1 127815.15),(2 483227),(3 1056867.9),(4 1869898.8),(5 2882200),(6 4103568.8),(7 5439192),(8 6889026.5),(9 8455104),(10 10122638),(11 11892245),(12 13682032),(13 15636374),(14 17715916),(15 19952906),(16 22239270),(17 24609984),(18 27057972),(19 29671414),(20 32403882),(21 35328980),(22 38291084),(23 41429824),(24 44766490),(25 48204308),(26 51787720),(27 55457730),(28 59409704),(29 63556384),(30 67748650),(31 72126160),(32 76533720),(33 81230140),(34 86064500),(35 91067610),(36 96435580),(37 102153440),(38 107912180),(39 114181950),(40 120417470),(41 126783180),(42 132922350),(43 139030430),(44 144795300),(45 150361500),(46 155685150),(47 160752080),(48 165775580),(49 170502100),(50 174508590),(51 178553340),(52 182289400),(53 185644820),(54 189144620),(55 192082050),(56 194398750),(57 196149760),(58 197767860),(59 198972580),(60 199579740),(61 199773680),(62 199446160),(63 198376580),(64 196767220),(65 194658220),(66 192204110),(67 189522420),(68 186670480),(69 183833440),(70 180858880),(71 178105980),(72 175245700),(73 172286050),(74 169245220),(75 165930500),(76 162516060),(77 158614050),(78 155217500),(79 151655140),
(1 209382.14),(2 794851.25),(3 1731421.6),(4 3008464.8),(5 4566893.5),(6 6428064),(7 8546270),(8 10884733),(9 13465163),(10 16201851),(11 19144322),(12 22263504),(13 25409342),(14 28622720),(15 31699814),(16 34828140),(17 37852770),(18 40893716),(19 43898064),(20 46845228),(21 49734460),(22 52505612),(23 55228096),(24 57787988),(25 60107284),(26 62216670),(27 64072284),(28 65704990),(29 67142200),(30 68407096),(31 69576104),(32 70637020),(33 71736900),(34 73009640),(35 74355816),(36 75929520),(37 77559110),(38 79177096),(39 80943750),(40 82725336),(41 84421340),(42 86012840),(43 87571896),(44 88935140),(45 90386456),(46 91905980),(47 93527656),(48 95285850),(49 97113736),(50 99018170),(51 100969660),(52 102985496),(53 104977180),(54 107107140),(55 109356680),(56 111384600),(57 113285976),(58 115351064),(59 117418456),(60 119451110),(61 121577860),(62 123787880),(63 125946500),(64 127913980),(65 129691940),(66 131356776),(67 132812950),(68 134330450),(69 135950620),(70 137194940),(71 138396300),(72 139289400),(73 140164020),(74 140769520),(75 141267730),(76 141643820),(77 141328370),(78 141563500),(79 141363090),
(1 271688.88),(2 1053360.3),(3 2321334.5),(4 4078778.8),(5 6289145.5),(6 8919945),(7 11974307),(8 15270738),(9 18941192),(10 22855736),(11 27061532),(12 31499196),(13 36022044),(14 40753068),(15 45631900),(16 50658770),(17 55598508),(18 60656910),(19 65774508),(20 70889230),(21 76120810),(22 81306970),(23 86537800),(24 91819030),(25 96881064),(26 101824400),(27 106309580),(28 110323096),(29 114020616),(30 117300520),(31 120518940),(32 123561430),(33 126533690),(34 129509090),(35 132334220),(36 135016220),(37 137585040),(38 140081400),(39 142515740),(40 144649500),(41 146619620),(42 148396350),(43 149964430),(44 151292100),(45 152447710),(46 153598400),(47 154662740),(48 155671490),(49 156698260),(50 157506780),(51 158430990),(52 159071040),(53 159271860),(54 159428940),(55 159208960),(56 158496060),(57 157602220),(58 156962190),(59 156242320),(60 155494510),(61 154606190),(62 153447760),(63 152170640),(64 150813180),(65 149404240),(66 148045970),(67 146788720),(68 145367920),(69 143489740),(70 141510620),(71 139778930),(72 137916530),(73 135729760),(74 133785250),(75 131828664),(76 129877470),(77 129074984),(78 127293496),(79 126000184),
(1 289815.84),(2 1124686),(3 2480948),(4 4345143.5),(5 6680915),(6 9439753),(7 12577065),(8 15994621),(9 19701320),(10 23534272),(11 27507636),(12 31606598),(13 35668720),(14 39804300),(15 44024116),(16 48303316),(17 52518940),(18 56769292),(19 60958310),(20 65109660),(21 69256470),(22 73217740),(23 77158840),(24 80958560),(25 84442040),(26 87655340),(27 90535260),(28 92984320),(29 95108140),(30 96878070),(31 98597350),(32 100257560),(33 101874920),(34 103511940),(35 105111144),(36 106627256),(37 108158200),(38 109675240),(39 111061830),(40 112248480),(41 113296710),(42 114193016),(43 114916480),(44 115448090),(45 115742560),(46 115900170),(47 116050376),(48 116093110),(49 116136330),(50 115917336),(51 115813660),(52 115621000),(53 115238880),(54 114966430),(55 114548680),(56 114118300),(57 113789770),(58 113619150),(59 113487020),(60 113305090),(61 113058350),(62 112597470),(63 112143710),(64 111691270),(65 111209704),(66 110742620),(67 110390250),(68 110003920),(69 109203704),(70 108631250),(71 108107940),(72 107569896),(73 106948050),(74 106392216),(75 105610850),(76 104530184),(77 104457610),(78 103309240),(79 102522984),
(1 310326.6),(2 1197185.4),(3 2616830.8),(4 4575473),(5 6955765),(6 9710848),(7 12817110),(8 16166422),(9 19711930),(10 23369332),(11 27159700),(12 31074410),(13 34950716),(14 38741310),(15 42321140),(16 45787212),(17 48961868),(18 51949068),(19 54639896),(20 57069684),(21 59263732),(22 61159544),(23 62715852),(24 63996330),(25 64969332),(26 65864640),(27 66584090),(28 67097100),(29 67469510),(30 67602930),(31 67733144),(32 67883700),(33 67999810),(34 68128350),(35 68363380),(36 68677360),(37 69058650),(38 69578400),(39 70257000),(40 70886350),(41 71556504),(42 72329304),(43 73112480),(44 73998136),(45 74931240),(46 75974210),(47 77147150),(48 78421810),(49 79771750),(50 80937970),(51 82181110),(52 83255670),(53 84129970),(54 85094810),(55 85876270),(56 86603120),(57 87203580),(58 87896190),(59 88561270),(60 89243150),(61 89726720),(62 90132630),(63 90561690),(64 91034780),(65 91698560),(66 92556360),(67 93590350),(68 94722300),(69 95824690),(70 96967340),(71 98181490),(72 99235900),(73 100073000),(74 100881330),(75 101352940),(76 101720050),(77 102313896),(78 102421250),(79 102429100),
(1 288921.06),(2 1108230.9),(3 2434000),(4 4266432.5),(5 6536366),(6 9196671),(7 12247665),(8 15522235),(9 19060252),(10 22746666),(11 26540162),(12 30421272),(13 34206452),(14 37902024),(15 41379224),(16 44726630),(17 47728420),(18 50593148),(19 53158650),(20 55462812),(21 57502292),(22 59352164),(23 60952950),(24 62251730),(25 63223910),(26 64176196),(27 64908268),(28 65273516),(29 65468956),(30 65428420),(31 65186924),(32 64842308),(33 64377464),(34 63828216),(35 63223004),(36 62618520),(37 62018856),(38 61438012),(39 60883850),(40 60324910),(41 59763410),(42 59274344),(43 58732090),(44 58308516),(45 58049556),(46 57915732),(47 57902052),(48 57971070),(49 58085190),(50 58245430),(51 58472988),(52 58712270),(53 58917744),(54 59257800),(55 59559176),(56 59934244),(57 60318210),(58 60733852),(59 61207336),(60 61655350),(61 62064100),(62 62339092),(63 62559492),(64 62827560),(65 63100652),(66 63424690),(67 63778640),(68 64121750),(69 64409476),(70 64895364),(71 65546296),(72 66166236),(73 66707384),(74 67334580),(75 67796620),(76 68156470),(77 68825656),(78 69199480),(79 69675170),
(1 264327.47),(2 1007925.4),(3 2189784.8),(4 3777957.5),(5 5693823),(6 7852106.5),(7 10244746),(8 12778044),(9 15460761),(10 18131506),(11 20783918),(12 23398376),(13 25817396),(14 28059012),(15 30167270),(16 32091372),(17 33814136),(18 35304868),(19 36559180),(20 37492240),(21 38136330),(22 38584170),(23 38851336),(24 38922904),(25 38809600),(26 38608640),(27 38414710),(28 38204972),(29 38006884),(30 37856164),(31 37632116),(32 37462610),(33 37334844),(34 37288276),(35 37371084),(36 37532004),(37 37872116),(38 38356400),(39 38931116),(40 39650584),(41 40441370),(42 41339264),(43 42322772),(44 43355750),(45 44452710),(46 45624090),(47 46910524),(48 48262732),(49 49653452),(50 51093708),(51 52594756),(52 53918820),(53 55128220),(54 56269500),(55 57163996),(56 57930830),(57 58408090),(58 58776452),(59 58928052),(60 58979824),(61 58844944),(62 58531590),(63 58147970),(64 57608710),(65 56964270),(66 56309400),(67 55576144),(68 54806604),(69 53755084),(70 52700696),(71 51652556),(72 50491076),(73 49291336),(74 48169704),(75 47061224),(76 45913972),(77 44930268),(78 43873320),(79 42895720),
(1 242082.34),(2 933289.06),(3 2029579.5),(4 3468380.8),(5 5209058),(6 7158462),(7 9318178),(8 11597854),(9 13965688),(10 16329005),(11 18715534),(12 21088060),(13 23242544),(14 25259512),(15 27097532),(16 28753736),(17 30124024),(18 31243754),(19 32081784),(20 32723370),(21 33220360),(22 33514646),(23 33660300),(24 33628620),(25 33452668),(26 33230128),(27 32950502),(28 32595294),(29 32277994),(30 31848176),(31 31417374),(32 31001136),(33 30613698),(34 30263056),(35 29907632),(36 29612038),(37 29394598),(38 29245008),(39 29141320),(40 29011630),(41 28933034),(42 28882872),(43 28918250),(44 29018126),(45 29206312),(46 29445880),(47 29765616),(48 30071344),(49 30416900),(50 30867500),(51 31441506),(52 32079638),(53 32810496),(54 33720960),(55 34685052),(56 35685536),(57 36628010),(58 37520230),(59 38357496),(60 39181296),(61 40012256),(62 40813350),(63 41619224),(64 42303736),(65 42966316),(66 43546996),(67 44008270),(68 44237680),(69 44365380),(70 44408344),(71 44355570),(72 44245664),(73 44017836),(74 43817450),(75 43487196),(76 42944584),(77 42413780),(78 41800772),(79 41210436),
(1 252085.64),(2 945844.3),(3 2013304),(4 3405055.8),(5 4994143),(6 6717371.5),(7 8568404),(8 10496756),(9 12499080),(10 14439643),(11 16359573),(12 18258962),(13 19954592),(14 21458076),(15 22775538),(16 23954136),(17 24871102),(18 25574226),(19 26036282),(20 26258728),(21 26232164),(22 26034958),(23 25685140),(24 25221202),(25 24749166),(26 24360408),(27 24006532),(28 23722172),(29 23547406),(30 23481510),(31 23497806),(32 23572608),(33 23720704),(34 23887544),(35 24106152),(36 24304568),(37 24516054),(38 24703682),(39 24810208),(40 24826922),(41 24775800),(42 24691784),(43 24681610),(44 24684766),(45 24751836),(46 24842912),(47 24971034),(48 25120434),(49 25324416),(50 25579668),(51 25979592),(52 26424042),(53 26903752),(54 27476790),(55 28053348),(56 28544536),(57 29031480),(58 29584440),(59 30155400),(60 30827800),(61 31673610),(62 32592100),(63 33485842),(64 34337356),(65 35028996),(66 35567188),(67 35978424),(68 36314164),(69 36489604),(70 36529148),(71 36464836),(72 36306610),(73 36005090),(74 35665610),(75 35213804),(76 34567716),(77 33915336),(78 33132672),(79 32314904),
(1 244015.23),(2 925732.94),(3 1991343.8),(4 3376922),(5 4949750.5),(6 6609376.5),(7 8241825),(8 9781889),(9 11207192),(10 12494820),(11 13685406),(12 14803138),(13 15687757),(14 16443496),(15 17073178),(16 17590036),(17 17960740),(18 18248704),(19 18422192),(20 18521878),(21 18554798),(22 18529314),(23 18517412),(24 18434180),(25 18338434),(26 18350350),(27 18428676),(28 18676458),(29 19030010),(30 19468648),(31 19953276),(32 20453400),(33 20973926),(34 21560524),(35 22172830),(36 22855728),(37 23501718),(38 24115876),(39 24618670),(40 25006926),(41 25252858),(42 25384276),(43 25452872),(44 25377166),(45 25308402),(46 25234382),(47 25150944),(48 25080828),(49 24990510),(50 24860656),(51 24750128),(52 24614690),(53 24449796),(54 24332824),(55 24128332),(56 23871910),(57 23517186),(58 23150644),(59 22717978),(60 22349320),(61 22098020),(62 21903510),(63 21768432),(64 21714800),(65 21719600),(66 21780372),(67 21884898),(68 22067376),(69 22282312),(70 22575828),(71 23028138),(72 23568678),(73 24123004),(74 24690478),(75 25099598),(76 25318380),(77 25669146),(78 25647148),(79 25585518),
