1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 43498.684),(2 98664.79),(3 113802.56),(4 119653.1),(5 121704.74),(6 129280.91),(7 143433.48),(8 143051.52),(9 135169.88),(10 133836.02),(11 136095.98),(12 140451.88),(13 141233.53),(14 135911.72),(15 131970.72),(16 134054.9),(17 134797.78),(18 133162.63),(19 133209.55),(20 134400.52),(21 136240.67),(22 136032.9),(23 136594.06),(24 142810.4),(25 147486),(26 146800.25),(27 145397.38),(28 146087.48),(29 146915.52),(30 143648.39),(31 138997.97),(32 137577.42),(33 140407.92),(34 144036.23),(35 147087.17),(36 149771.08),(37 151541.8),(38 151393.4),(39 149834.1),(40 148650.56),(41 150444.02),(42 153597.78),(43 156239.38),(44 157300.56),(45 160202.45),(46 166605.02),(47 169293.6),(48 166900.92),(49 169931.23),(50 175545.78),(51 172907.64),(52 166488.86),(53 164858.5),(54 167732.11),(55 172349.33),(56 173908.56),(57 170934.2),(58 167504.78),(59 165593.9),(60 167919.89),(61 170297.69),(62 170406.2),(63 169526.88),(64 168414.45),(65 168963.52),(66 172009.08),(67 170766.92),(68 169329.34),(69 168844.75),(70 164513.58),(71 164438),(72 168465.86),(73 168188.86),(74 164178.34),(75 164934.56),(76 165204.63),(77 165310.78),(78 164209.69),(79 159201.16),
(1 44393.07),(2 98457.586),(3 110522.11),(4 111673.7),(5 111645.38),(6 121473.27),(7 134075.34),(8 132788.38),(9 131328.3),(10 133536.36),(11 137182.52),(12 140993.42),(13 140908.73),(14 138349.9),(15 135075.95),(16 132674.81),(17 130240.14),(18 132501.83),(19 138052.95),(20 138664.23),(21 135698.02),(22 135721.23),(23 141262.72),(24 150554.9),(25 155774.69),(26 155354.47),(27 156563.47),(28 158405.55),(29 160248.63),(30 160942.73),(31 160382.94),(32 157801.45),(33 153775.11),(34 151459.7),(35 152533.64),(36 154199.61),(37 155619.08),(38 155295.25),(39 151570.64),(40 150071.97),(41 153609.47),(42 157629.81),(43 158445.84),(44 157849.47),(45 160955.36),(46 164986.13),(47 163954.45),(48 164910.52),(49 169617.02),(50 172692),(51 175747.78),(52 173494.05),(53 167648.83),(54 166875.64),(55 171512.3),(56 171945.55),(57 168134.36),(58 165430.5),(59 168541.75),(60 171091.39),(61 165078.67),(62 160175.64),(63 162807.78),(64 165911.48),(65 170125.33),(66 171861.53),(67 165539.42),(68 160368.5),(69 161932.28),(70 164083.63),(71 165736.77),(72 165849.1),(73 161505.4),(74 163503.9),(75 167001.36),(76 164925.28),(77 164219.84),(78 164805.13),(79 162783.95),
(1 40016.375),(2 89167.45),(3 103271.23),(4 106240.41),(5 102892.54),(6 108561.22),(7 119612.58),(8 118423.54),(9 114467.086),(10 114660.22),(11 116261.484),(12 117027.05),(13 116141.62),(14 115252.96),(15 118017.62),(16 121403.305),(17 120219.23),(18 119374.414),(19 121693.195),(20 124235.14),(21 126527.59),(22 130338.86),(23 133887.67),(24 136742.78),(25 137592.06),(26 135457.75),(27 134470.83),(28 137002),(29 137879.17),(30 135032.5),(31 133142.48),(32 132051.25),(33 133020.5),(34 135134.52),(35 136601.56),(36 137728.61),(37 139138.34),(38 140125.08),(39 140576.7),(40 142102.84),(41 143708.97),(42 146775.7),(43 151799.34),(44 154552.84),(45 155376.11),(46 155268.98),(47 155412.03),(48 156338.77),(49 158008.63),(50 161147.1),(51 162238.52),(52 159801.66),(53 159528.31),(54 160859.7),(55 161030.72),(56 161798.39),(57 162200.6),(58 161451.98),(59 160360.63),(60 160141.66),(61 162673.17),(62 164178.45),(63 161723.67),(64 159899.06),(65 161408.4),(66 159977.34),(67 155045.23),(68 152976.55),(69 153917.34),(70 154994.86),(71 154680.11),(72 152025.27),(73 149818.02),(74 153616.45),(75 153954.84),(76 150892.33),(77 152650.94),(78 151923.88),(79 148232.77),
(1 42518.99),(2 93686.73),(3 106597.055),(4 108214.21),(5 106422),(6 114766.85),(7 125712.62),(8 126083.17),(9 126567.52),(10 127491.02),(11 128396.016),(12 128712.4),(13 124369.164),(14 120625.875),(15 122640.85),(16 125773.37),(17 126500.55),(18 124122.93),(19 123962.21),(20 125879.914),(21 128894.64),(22 131997.86),(23 135931.7),(24 138647.06),(25 138058.5),(26 137428.89),(27 139759.5),(28 143489.69),(29 145447.34),(30 146265.27),(31 144592.78),(32 140291.63),(33 137143.16),(34 135186.14),(35 134642.55),(36 134377.31),(37 133380.25),(38 132610.11),(39 133611.58),(40 136423.66),(41 139168.33),(42 139582.67),(43 139582.52),(44 141933.27),(45 145684.2),(46 147880.34),(47 149461.52),(48 147724.53),(49 143343.6),(50 145890.5),(51 151272.05),(52 151684.73),(53 153333.94),(54 153201.66),(55 149815.88),(56 148146.11),(57 147569.27),(58 149489.28),(59 152019.61),(60 152412.94),(61 150992.52),(62 148233.05),(63 149888.98),(64 153101.02),(65 152099.56),(66 147478.63),(67 142378.27),(68 144208.73),(69 145260.45),(70 143996.98),(71 148678.06),(72 149031.23),(73 147603.8),(74 148098.88),(75 146207.77),(76 147888.73),(77 152447.89),(78 151143.27),(79 151775.9),
(1 40169.28),(2 86161.86),(3 97137.44),(4 97729.555),(5 94551.05),(6 101505.04),(7 108404.86),(8 107535.1),(9 110576.75),(10 114492.66),(11 116241.8),(12 114826.695),(13 110695.516),(14 110464.71),(15 114367.05),(16 119535.86),(17 121464.35),(18 118273.95),(19 114261.99),(20 115844.805),(21 121122.234),(22 125279.04),(23 128718.81),(24 130717.94),(25 130575.555),(26 131770.97),(27 133977.94),(28 135041.08),(29 136476.84),(30 136517.38),(31 133638.81),(32 131942.8),(33 131612.64),(34 131672.4),(35 133394.47),(36 134836.34),(37 136267.97),(38 139331.23),(39 140656.69),(40 139671.33),(41 138953.8),(42 139476.39),(43 142359.42),(44 145211.5),(45 144743.44),(46 143688.97),(47 142724.92),(48 142107.4),(49 141310.45),(50 141084.6),(51 144685.92),(52 147219.89),(53 144726.6),(54 141525.78),(55 140462.16),(56 141329.22),(57 141127.64),(58 139099.13),(59 140020.98),(60 144476.3),(61 144404.31),(62 141555.95),(63 139292.89),(64 141110.8),(65 145006.83),(66 143564.86),(67 140684.33),(68 139555.64),(69 139544.69),(70 144384.27),(71 149012.38),(72 149769.06),(73 148565.83),(74 146224.45),(75 146271.13),(76 149902.47),(77 150377.98),(78 150244.5),(79 151828.97),
(1 38725.313),(2 84070.016),(3 97753.61),(4 99783.664),(5 98010.86),(6 105582.055),(7 111032.88),(8 109077.195),(9 109253.77),(10 109292.78),(11 110260.484),(12 109442.94),(13 105624.4),(14 105922.74),(15 110366.086),(16 117569.4),(17 121347.82),(18 120004.65),(19 117568.71),(20 118739.875),(21 121729.2),(22 123367.36),(23 125127.445),(24 125180.414),(25 124467.12),(26 126664.54),(27 129090.945),(28 128408.49),(29 128449.086),(30 127922.49),(31 125699.61),(32 125089.44),(33 127139.83),(34 129651.83),(35 132245.52),(36 134842.22),(37 137135.45),(38 139859.19),(39 142551.92),(40 142944.9),(41 141259.17),(42 142095.78),(43 144964.81),(44 142649.36),(45 141254.13),(46 143243.34),(47 142663.5),(48 139764.5),(49 140254.44),(50 141455.84),(51 141812.61),(52 143449),(53 144265.06),(54 140462.05),(55 136579.1),(56 136554.2),(57 137987.5),(58 137239.45),(59 136930.11),(60 140088.3),(61 141998.98),(62 139034.08),(63 135459.19),(64 136782.1),(65 138712.6),(66 139531.17),(67 136008.42),(68 130945.68),(69 133127.13),(70 138182.13),(71 138190.84),(72 134692.63),(73 135414.98),(74 135431.9),(75 133537.02),(76 138539.3),(77 141588.14),(78 141514.89),(79 140862.38),
(1 41913.03),(2 90169.76),(3 99288.63),(4 94538.336),(5 92642.76),(6 102736.91),(7 107049.69),(8 105111.14),(9 105337.086),(10 109660.914),(11 113654.69),(12 110077.664),(13 105760.26),(14 107613.69),(15 112282.31),(16 117148.61),(17 114347.55),(18 108900.56),(19 109829.66),(20 113082.484),(21 116618.86),(22 120089.78),(23 120231.97),(24 119702.76),(25 121138.31),(26 122422.266),(27 124513.266),(28 123409.14),(29 121594.19),(30 119926),(31 117930.15),(32 117570.89),(33 120965.945),(34 124762.664),(35 124723.836),(36 123815.86),(37 124752.26),(38 129152.36),(39 131708.78),(40 129700.29),(41 129180.445),(42 131241.36),(43 131929.66),(44 132060.63),(45 134876.23),(46 138397.97),(47 138422.33),(48 137902.56),(49 140741.83),(50 145543.22),(51 143712.84),(52 139581.66),(53 139981.86),(54 137744.47),(55 135796.97),(56 139085.38),(57 139239.53),(58 135461.3),(59 136646.98),(60 141013.89),(61 140934.14),(62 136598.11),(63 134962.92),(64 135321.44),(65 135980.22),(66 134296.47),(67 134463.06),(68 137687.03),(69 137480.25),(70 137712.83),(71 137161.61),(72 135209.28),(73 134787.52),(74 133341.36),(75 135801.64),(76 139777.77),(77 137646.36),(78 136824.92),(79 134884.42),
(1 38444.6),(2 81599.125),(3 91207.516),(4 88309.92),(5 86451.625),(6 93540.336),(7 96402.75),(8 97053.62),(9 98530.13),(10 100787.36),(11 102296.945),(12 100737.75),(13 99063.07),(14 100650.2),(15 104074.82),(16 108261.06),(17 109126.69),(18 109381.34),(19 109627.61),(20 108642.87),(21 111100.53),(22 115145.19),(23 114370.92),(24 114568.766),(25 118472.07),(26 120635.664),(27 119401.445),(28 116200.55),(29 115417.56),(30 114612.02),(31 112082.98),(32 111640.38),(33 114234.71),(34 116266.65),(35 115739.96),(36 113503.6),(37 114594.805),(38 119409.875),(39 120035.47),(40 117215.38),(41 116883.37),(42 118713.36),(43 119340.984),(44 117811.24),(45 119184.81),(46 121847.234),(47 121560.91),(48 121585.61),(49 123740.19),(50 125230.98),(51 125698.72),(52 125863.8),(53 124976.64),(54 123620.234),(55 125199.28),(56 130854.91),(57 128768.91),(58 124230.46),(59 126351.35),(60 129316.63),(61 127115.85),(62 124816.41),(63 126890),(64 128077.4),(65 125428.484),(66 123173.14),(67 123282.19),(68 125168.88),(69 126017.92),(70 126017.62),(71 123451.055),(72 122211.945),(73 124660.52),(74 127131.266),(75 127820.805),(76 127135.06),(77 124854.75),(78 122293.81),(79 123491.43),
(1 36854.887),(2 75507.09),(3 84952.24),(4 82107.09),(5 80308.19),(6 90767.59),(7 92731.9),(8 92233.695),(9 95003.56),(10 97984.234),(11 98935.68),(12 95323.87),(13 93474.086),(14 95112.15),(15 97567.695),(16 98916.516),(17 99194.47),(18 99418.73),(19 97165.516),(20 96649.95),(21 100656.11),(22 104216.86),(23 105384.52),(24 106226.15),(25 108167.266),(26 109841.44),(27 108845.125),(28 106979.6),(29 105322.266),(30 103357.27),(31 103135.45),(32 104062.74),(33 105070.99),(34 105269.4),(35 104221.08),(36 104994.914),(37 109466.67),(38 111862.875),(39 110736.305),(40 111384.55),(41 113600.66),(42 113707.45),(43 113109.83),(44 113998.53),(45 115252.88),(46 118047.27),(47 117870.92),(48 115582.305),(49 115996),(50 118022.2),(51 119240.25),(52 117277.234),(53 117311.01),(54 119428.03),(55 121579.664),(56 121996.11),(57 118739.17),(58 117819.3),(59 120539.64),(60 121886.8),(61 122030.89),(62 121059.82),(63 120536.01),(64 118836.22),(65 116533.97),(66 118893.32),(67 120930.71),(68 121660.14),(69 120914.305),(70 118766.45),(71 116744.05),(72 116220.86),(73 117658.8),(74 120667.27),(75 122686.875),(76 120953.04),(77 118019.78),(78 118060.305),(79 119675.67),
(1 36303.58),(2 74284.86),(3 83989.984),(4 80111.32),(5 79917.445),(6 90663.836),(7 91755.59),(8 91384.54),(9 93521.28),(10 97179.17),(11 96608.58),(12 91896.73),(13 89793.41),(14 92673.11),(15 96935.6),(16 97422.766),(17 95951.24),(18 96661.69),(19 95737.695),(20 97496.22),(21 100594.914),(22 101786.43),(23 102430.25),(24 103055.91),(25 105078.74),(26 105179.24),(27 101129),(28 99095.67),(29 100112.1),(30 100933.47),(31 102451.66),(32 104564.77),(33 105619.16),(34 106282),(35 105646.71),(36 106285.59),(37 109828.85),(38 112532.13),(39 113154.3),(40 114886.59),(41 115550.57),(42 112974.055),(43 109959.27),(44 109316.7),(45 112510.99),(46 118039),(47 118654.54),(48 115118.836),(49 114191.555),(50 117267.805),(51 120461.266),(52 118192.76),(53 116402.02),(54 118211.945),(55 121166.65),(56 121623.78),(57 120732.05),(58 120957.95),(59 122376.6),(60 123422.71),(61 122513.13),(62 120724.85),(63 120939.86),(64 120907.12),(65 120270.14),(66 122278.164),(67 124247.234),(68 121588.484),(69 119259.28),(70 118731.805),(71 119066.234),(72 120998.33),(73 120977.17),(74 119483.81),(75 120016.68),(76 119338.53),(77 120112.016),(78 119476.58),(79 122143.38),
(1 36480.63),(2 74956.34),(3 83645.945),(4 79870.39),(5 81603.55),(6 90384.57),(7 90707.23),(8 91481.65),(9 96733.86),(10 101183.734),(11 97721.164),(12 90795.85),(13 88764.74),(14 92215.984),(15 95128.12),(16 95079.07),(17 94129.05),(18 94674.09),(19 95235.055),(20 96164.1),(21 97763.93),(22 100800.625),(23 103779.29),(24 105172.87),(25 105942.266),(26 105843.32),(27 103894.02),(28 103669.766),(29 106329.555),(30 106498.27),(31 105414.57),(32 107701.984),(33 109024.875),(34 106070.07),(35 103949.086),(36 107616.5),(37 110014.17),(38 109209.91),(39 108898.43),(40 110090.41),(41 111605.73),(42 112480.95),(43 112426.414),(44 111678.82),(45 111217.43),(46 111223.414),(47 111740.5),(48 110438.77),(49 108685.414),(50 110443.08),(51 111016.53),(52 109223.766),(53 109274.43),(54 110594.2),(55 110817.68),(56 112478.47),(57 112933.49),(58 110898.75),(59 111842.48),(60 115415.875),(61 116782.266),(62 114433.445),(63 110480.555),(64 109343.5),(65 111539.59),(66 113980.03),(67 111914.95),(68 109358.97),(69 109785.15),(70 109364.52),(71 111471.086),(72 111696.26),(73 108927.43),(74 110093.68),(75 113203.516),(76 115166.12),(77 113437.63),(78 112748.53),(79 113868.1),
(1 32991.31),(2 65687.16),(3 71855.52),(4 68659.6),(5 71133.34),(6 79820),(7 79239.01),(8 79900.38),(9 84880.32),(10 89360.18),(11 87852.234),(12 85770.945),(13 86492.59),(14 87185.85),(15 88354.06),(16 89639.63),(17 89528.26),(18 87396.91),(19 87927.86),(20 89349.766),(21 90854.82),(22 93112.31),(23 94833.42),(24 95708.34),(25 96082.76),(26 94334.52),(27 92360.34),(28 92517.125),(29 93305.2),(30 92503.1),(31 92674.61),(32 95608.8),(33 96667.48),(34 93424.84),(35 92877.94),(36 95099.16),(37 95584.55),(38 94739.47),(39 96069.28),(40 100215.016),(41 100926.49),(42 99106.67),(43 99580.016),(44 101885.14),(45 102499.516),(46 100937.58),(47 101288.664),(48 99460.99),(49 97637.984),(50 99403.59),(51 101397.62),(52 98895.28),(53 97247.67),(54 96556.78),(55 97859.945),(56 101510.69),(57 101383.43),(58 99535.51),(59 98668.48),(60 100136.06),(61 100188.836),(62 98811.2),(63 98182.6),(64 97488.3),(65 98781.45),(66 100910.41),(67 100571.01),(68 98625.6),(69 97113.484),(70 97498.46),(71 99230.55),(72 98166.44),(73 95676.45),(74 97353.18),(75 101514.37),(76 100332.99),(77 97317.17),(78 97786.87),(79 97575.74),
(1 32450.74),(2 65364.332),(3 72687.54),(4 69861.73),(5 74295.29),(6 79986.4),(7 78174.16),(8 79557.72),(9 83837.1),(10 86476.08),(11 82951.4),(12 80693.04),(13 81154.72),(14 82681.8),(15 84765.36),(16 85420.85),(17 84610.125),(18 83650.53),(19 84914.71),(20 85860.64),(21 85996.16),(22 87741.66),(23 89463.29),(24 90460.22),(25 92353.59),(26 93644.78),(27 92378.695),(28 90024.36),(29 88489.625),(30 88669.36),(31 90738.07),(32 91770.266),(33 91012.91),(34 90661.266),(35 92767.75),(36 94529.44),(37 93735.58),(38 92788.37),(39 93454.586),(40 92912.39),(41 93115.72),(42 93839.92),(43 95155.61),(44 96118.54),(45 95763.01),(46 94713.125),(47 95689.55),(48 96156.016),(49 95416.875),(50 96006.25),(51 97177.21),(52 97635.875),(53 96791.37),(54 95963.12),(55 97219.49),(56 101515.375),(57 102335.76),(58 98901.53),(59 98509.69),(60 101530.61),(61 101513.07),(62 98851.086),(63 99543.63),(64 100962.17),(65 101654.9),(66 101444.11),(67 100440.93),(68 97989.53),(69 99658.71),(70 103161.45),(71 102130.57),(72 99957.99),(73 99037.35),(74 101943.766),(75 103436.95),(76 104593.27),(77 103692.4),(78 102863.41),(79 101958.52),
(1 31129.41),(2 60878.82),(3 67318.27),(4 65395.07),(5 69315.11),(6 74307.2),(7 75022.484),(8 78349.21),(9 82247.055),(10 85118.34),(11 82128.445),(12 78712.24),(13 78217.6),(14 79920.82),(15 80605.12),(16 80957.92),(17 79982.92),(18 79059.75),(19 79723.914),(20 82290.414),(21 85289.22),(22 87297.84),(23 88121.76),(24 89092.91),(25 89398.54),(26 88839.734),(27 89044.984),(28 89494.01),(29 87989.87),(30 87853),(31 90017.086),(32 90739.62),(33 89597.93),(34 88526.33),(35 90886.836),(36 93652.68),(37 94163.516),(38 95235.01),(39 96522.445),(40 96895.24),(41 97758),(42 98827.71),(43 100970.65),(44 100270.336),(45 97600.48),(46 97228.12),(47 100502.37),(48 103175.08),(49 101996.164),(50 100099.414),(51 100338.85),(52 100288.42),(53 100452.266),(54 102509.55),(55 100709.15),(56 99955.336),(57 100584.6),(58 98779.61),(59 99721.586),(60 99472.38),(61 96685.016),(62 97598.03),(63 99425.32),(64 96997.4),(65 95340.58),(66 95698.82),(67 93903.164),(68 93050.85),(69 94888.95),(70 96879.53),(71 96329.836),(72 93446.7),(73 95681.85),(74 95846.7),(75 95156.445),(76 96107.77),(77 97376.13),(78 97598.67),(79 94557.58),
(1 28585.475),(2 56695.754),(3 64827.473),(4 62389.535),(5 66303.086),(6 70856.195),(7 70868.836),(8 72504.71),(9 75226.95),(10 77903.96),(11 75051.61),(12 73058.125),(13 73987.92),(14 76300.28),(15 77231.77),(16 78774.69),(17 79330.45),(18 80733.18),(19 83252.695),(20 84800.32),(21 86150.266),(22 86167.52),(23 86048.22),(24 86671.766),(25 86294.766),(26 86293.516),(27 86215.81),(28 86504.586),(29 87710.77),(30 88837.336),(31 89865.54),(32 90525.086),(33 88937.805),(34 88218.18),(35 90715.86),(36 91521.47),(37 90546.54),(38 90994.49),(39 92227.734),(40 92003.81),(41 90211.24),(42 91278.27),(43 94544.24),(44 94317.21),(45 90882.36),(46 88384.75),(47 90159.79),(48 93192.445),(49 93055.734),(50 89951.055),(51 88373.89),(52 88554.8),(53 92110.52),(54 94397.26),(55 93282.52),(56 91291.69),(57 90843.81),(58 91245.83),(59 92773.82),(60 93957.15),(61 92240.82),(62 91240.03),(63 93014.64),(64 93056.266),(65 90943.195),(66 90840.41),(67 89489.73),(68 89164.98),(69 89357.56),(70 89791.02),(71 90837.32),(72 89762.37),(73 88217.6),(74 90369.63),(75 90386.695),(76 88322.1),(77 88994.79),(78 88443.914),(79 88915.766),
(1 28173.916),(2 54984.066),(3 61660.14),(4 57597.816),(5 62488.41),(6 68443.49),(7 70620.734),(8 71504.914),(9 73408.14),(10 75668.23),(11 74030.09),(12 73181.53),(13 74246.31),(14 76368.734),(15 77774.9),(16 78972.17),(17 78603.95),(18 80361.85),(19 82995.47),(20 84327.6),(21 85116.68),(22 85654.32),(23 86174.28),(24 87924.5),(25 87200.28),(26 86772.64),(27 86254.336),(28 84899.26),(29 83671.75),(30 84245.2),(31 85432.58),(32 84016.72),(33 81471.695),(34 83660.42),(35 87197.586),(36 87755.13),(37 87532.03),(38 87958.7),(39 87441.68),(40 86107.74),(41 84942.59),(42 87183.74),(43 88203.33),(44 84914.53),(45 84259.695),(46 86181.375),(47 86742.5),(48 87537.836),(49 87494.516),(50 85705.64),(51 85604.234),(52 86221.26),(53 89090.81),(54 91652.24),(55 91436.91),(56 89245.086),(57 89783.92),(58 91024.64),(59 90419.984),(60 89751.305),(61 90585.95),(62 90849.65),(63 88958.64),(64 85826.836),(65 84799.56),(66 87009.47),(67 86993.016),(68 87813.516),(69 88846.5),(70 88273.78),(71 89707.555),(72 90327.31),(73 91383.586),(74 92556.625),(75 92496.56),(76 93073.86),(77 92509.5),(78 90725.86),(79 91645.51),
(1 29609.81),(2 57548.234),(3 62741.867),(4 57370.113),(5 62242.56),(6 65362.504),(7 67233.4),(8 70116.21),(9 72790.93),(10 74101.89),(11 72871.36),(12 72138.73),(13 72170.27),(14 74021.36),(15 77697.66),(16 79593.12),(17 79856.64),(18 80940.68),(19 82232.79),(20 83079.02),(21 83543.4),(22 83413.85),(23 82755.47),(24 81568.66),(25 80932.336),(26 82044.31),(27 81493.81),(28 80489.63),(29 80506.43),(30 81997.664),(31 82836.23),(32 80796.445),(33 78725.92),(34 81086.69),(35 82333.95),(36 81774.76),(37 83764.48),(38 84323.43),(39 83292.81),(40 82209.93),(41 83388.055),(42 86084.57),(43 86313.97),(44 84910.8),(45 83909.4),(46 85989.58),(47 86972.25),(48 85982.56),(49 85146.125),(50 85639.29),(51 86026.41),(52 87715.31),(53 88477.93),(54 89504.17),(55 87398.78),(56 87226.086),(57 91269.42),(58 91077.06),(59 89317.89),(60 90842.57),(61 91432.09),(62 89974.16),(63 89294.28),(64 87649.234),(65 88335.94),(66 89417.65),(67 88370.39),(68 87525.7),(69 86676.41),(70 89907.266),(71 88763.29),(72 86733.3),(73 89581.83),(74 89458.4),(75 87687.805),(76 86269.836),(77 86810.35),(78 87577.664),(79 89845),
(1 29104.283),(2 55036.008),(3 58269.523),(4 55013.66),(5 63164.62),(6 65072.81),(7 63760.605),(8 66568.96),(9 72457.32),(10 73506.58),(11 70844.29),(12 70409.23),(13 70673.625),(14 71543.69),(15 75355.91),(16 76302.61),(17 74784.01),(18 74326.36),(19 75795.74),(20 77690.9),(21 78470.164),(22 78645.9),(23 79259.086),(24 78875.61),(25 77124.31),(26 75614.664),(27 77162.195),(28 77662.445),(29 77864.69),(30 79410.945),(31 79559.06),(32 78068.875),(33 78384.5),(34 80755.734),(35 82002.1),(36 80228.49),(37 79619.766),(38 80230.76),(39 80310.586),(40 78591.664),(41 79643.79),(42 81675.74),(43 83063.914),(44 81947.29),(45 80345.76),(46 80982.414),(47 81293.91),(48 81214.22),(49 81406.72),(50 82899.28),(51 83624.76),(52 82906.55),(53 83362.69),(54 84147.45),(55 82804.53),(56 83958.04),(57 84905.14),(58 82762.25),(59 82314.3),(60 83767.01),(61 84379.27),(62 85055.42),(63 83123.2),(64 81572.55),(65 83778.81),(66 84437.125),(67 84016.195),(68 83880.6),(69 85748.34),(70 86831.555),(71 86065.336),(72 84087.75),(73 84397.586),(74 84228.28),(75 83382.29),(76 84232.77),(77 83207.97),(78 84564.65),(79 86330.61),
(1 27868.406),(2 51799.598),(3 53967.66),(4 51533.066),(5 60324.01),(6 62017.543),(7 60441.645),(8 62363.28),(9 68419.195),(10 68938.13),(11 65476.52),(12 64007.453),(13 66629.07),(14 68552.09),(15 70039.305),(16 73215.53),(17 75630.85),(18 73623.89),(19 73690.125),(20 75123.836),(21 74949.29),(22 75130.65),(23 75175.836),(24 74464.914),(25 74807.43),(26 74971.266),(27 75799.83),(28 75116.72),(29 74702.32),(30 74895.555),(31 74781.55),(32 73454.516),(33 72981.73),(34 73893),(35 74749.48),(36 74282.53),(37 74666.84),(38 76444.33),(39 74785.586),(40 73861.79),(41 75765.61),(42 76545.04),(43 75976.26),(44 74900.33),(45 76353.02),(46 75874.22),(47 76740.74),(48 77795.445),(49 76225.23),(50 75478.484),(51 77225.17),(52 78318.78),(53 78175.86),(54 78838.36),(55 78550.39),(56 79301.71),(57 79543.11),(58 78499.62),(59 81075.63),(60 81225.23),(61 79999.29),(62 81302.34),(63 79942.05),(64 78777.38),(65 79835.8),(66 80714.49),(67 79940.56),(68 78749.95),(69 78838.85),(70 80744.18),(71 81211.67),(72 81976.19),(73 81319.76),(74 80530.82),(75 82880.78),(76 81424.58),(77 81877.54),(78 84435.766),(79 85029.805),
