1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 663078.44),(2 1602178.6),(3 2694339.8),(4 3852235.8),(5 4754532.5),(6 4970345.5),(7 5159975.5),(8 5231249.5),(9 5196501.5),(10 5107903),(11 5086398.5),(12 5454230.5),(13 5965649.5),(14 6717994.5),(15 7878249.5),(16 9113421),(17 10068348),(18 10888941),(19 11512120),(20 11894093),(21 11952296),(22 12372125),(23 12834436),(24 13524633),(25 14339904),(26 15269632),(27 16430761),(28 17821526),(29 19366390),(30 21122482),(31 22587632),(32 24177362),(33 25596794),(34 26735682),(35 28006406),(36 29589878),(37 30807352),(38 31830696),(39 32700656),(40 33741530),(41 34593900),(42 35685772),(43 36522610),(44 36630508),(45 37207544),(46 37669244),(47 38361940),(48 38776348),(49 38945148),(50 38593704),(51 38157812),(52 37577490),(53 36893532),(54 35833124),(55 34563740),(56 33223454),(57 32077306),(58 31223658),(59 30840822),(60 32647066),(61 33498934),(62 31814728),(63 30841136),(64 30495238),(65 29988024),(66 29544514),(67 28928546),(68 28105522),(69 27482694),(70 27244840),(71 27148016),(72 27545466),(73 28026670),(74 28451350),(75 28936328),(76 29335702),(77 29864030),(78 30401272),(79 30894344),
(1 28397.115),(2 49873.492),(3 64934.97),(4 74582.9),(5 81063.38),(6 84625.14),(7 88931.6),(8 91538.89),(9 93828.445),(10 94283.51),(11 95739.516),(12 97180.27),(13 100812.9),(14 104709.87),(15 108256.5),(16 111473.86),(17 114564.625),(18 116699.69),(19 119323.34),(20 119825.2),(21 120703.07),(22 121408.58),(23 122011.58),(24 122779.516),(25 123143.83),(26 124114.77),(27 127128.08),(28 128903.54),(29 130579.92),(30 132273.88),(31 133174.17),(32 134032.42),(33 133917.14),(34 133750.72),(35 133517.61),(36 134546.56),(37 135624.66),(38 135949.39),(39 138452.75),(40 140802.16),(41 141322.02),(42 142398.3),(43 144080.33),(44 144769.63),(45 145727.28),(46 146165.08),(47 148012.48),(48 145963.8),(49 146465.78),(50 145199.72),(51 145249.48),(52 145139.66),(53 143753.69),(54 144833.95),(55 145057.47),(56 143261.33),(57 141810.03),(58 139613.19),(59 138336.69),(60 136365.56),(61 134457.98),(62 133400.97),(63 132206.28),(64 130570.17),(65 128824.97),(66 127306.33),(67 126169.46),(68 123638.76),(69 121470.14),(70 120292.02),(71 119202.02),(72 117079.305),(73 115031.125),(74 113607.58),(75 112997.86),(76 110974.586),(77 110722.06),(78 109568.98),(79 109627.9),
(1 28284.012),(2 49682.355),(3 64901.88),(4 76400.086),(5 84436.1),(6 88860.69),(7 92101.26),(8 93580.41),(9 94486.9),(10 93586.89),(11 93915.86),(12 93659.76),(13 97181.22),(14 102428.88),(15 106728.93),(16 109756.47),(17 112367.95),(18 112842.72),(19 112428),(20 113344.02),(21 113692.64),(22 114630.84),(23 115140.31),(24 116859.16),(25 119065.484),(26 120676.11),(27 122024.89),(28 123221.5),(29 125655.914),(30 127675.016),(31 128667.22),(32 129068.74),(33 129180.85),(34 129140.35),(35 130594.82),(36 132643.97),(37 134117.92),(38 133705.08),(39 134943.33),(40 138430.55),(41 138956.13),(42 139834.14),(43 141461.75),(44 142062.1),(45 142673.7),(46 142684.61),(47 142735.84),(48 142003.1),(49 140768.33),(50 139459.67),(51 138496.61),(52 138188.36),(53 137073.06),(54 136277.16),(55 134765.52),(56 132919.06),(57 131285.33),(58 130090.19),(59 128312.1),(60 127010.2),(61 125668.305),(62 123703.96),(63 121142.74),(64 119337.55),(65 117595.96),(66 116271.195),(67 116117.17),(68 115742.66),(69 114775.15),(70 113969.46),(71 112723.81),(72 111566.41),(73 110419.67),(74 109736.83),(75 108316.05),(76 106937.914),(77 106724.62),(78 106973.42),(79 108525.56),
(1 27734.87),(2 48966.926),(3 63419.027),(4 73001.05),(5 79918.97),(6 84462.17),(7 86925.266),(8 88560.97),(9 89339.5),(10 88781.33),(11 88266.86),(12 89583.38),(13 91554.07),(14 96102.29),(15 99234.65),(16 101673.81),(17 103398.44),(18 106313.73),(19 108264.9),(20 110718.16),(21 111209.65),(22 113267.266),(23 114164.31),(24 113508.7),(25 113262.08),(26 113354.445),(27 115032.08),(28 116389.766),(29 119361.3),(30 122002.1),(31 124199.414),(32 126563.45),(33 127498.17),(34 128363.79),(35 128129.18),(36 128321.57),(37 130347.805),(38 131183.3),(39 132725.1),(40 131959.38),(41 132290.17),(42 133889.98),(43 135747.06),(44 135241.86),(45 134954.8),(46 134685.23),(47 134111.33),(48 134581.58),(49 134451),(50 133415.3),(51 132773.17),(52 131250.53),(53 130182.484),(54 130114.51),(55 129349.49),(56 128057.36),(57 127263.24),(58 126772.35),(59 125950.21),(60 124398.195),(61 121276.82),(62 119494.27),(63 118031.14),(64 116021.24),(65 115499.62),(66 114652.836),(67 114167.3),(68 112813.46),(69 112067.71),(70 110257.3),(71 109569.305),(72 108917.766),(73 108018.25),(74 108345.53),(75 108414.3),(76 108687.75),(77 109035.09),(78 109390.6),(79 109767.1),
(1 25910.496),(2 44916.11),(3 58889.78),(4 68435.44),(5 74791.67),(6 77424.75),(7 80204.53),(8 81910.04),(9 82642.75),(10 82223.39),(11 82435.28),(12 84344.27),(13 86695.23),(14 91071),(15 94849.44),(16 96443.12),(17 99584.91),(18 101831.54),(19 104519.36),(20 105361.71),(21 106229.13),(22 107742.33),(23 108488.84),(24 109875.04),(25 111382.15),(26 113372.625),(27 115181.44),(28 116173.69),(29 118655.805),(30 119854.56),(31 119958.87),(32 121711.375),(33 123131.95),(34 123994.46),(35 124340.17),(36 125420.44),(37 125265.07),(38 124187.33),(39 125018.625),(40 126739.38),(41 126591.06),(42 127083.56),(43 127338.6),(44 126627.984),(45 125569.27),(46 125592.95),(47 125375.53),(48 125010.88),(49 124846.11),(50 125262.84),(51 125074.984),(52 123469.41),(53 122409.78),(54 122110.35),(55 121294.56),(56 119937.36),(57 119797.484),(58 117951.64),(59 117088.75),(60 116246),(61 114404.41),(62 112472.22),(63 110779.96),(64 109046.96),(65 107739.59),(66 105520.12),(67 104257.664),(68 102471.31),(69 101604.46),(70 101689.98),(71 100522.875),(72 100373.18),(73 99816.52),(74 98756.84),(75 97392.75),(76 95791.75),(77 96152.33),(78 95943.62),(79 96130.164),
(1 25693.268),(2 44685.47),(3 57579.305),(4 65325.24),(5 72058.02),(6 76705.164),(7 80576.59),(8 82715.766),(9 83470.64),(10 84806.31),(11 85277.8),(12 86113.08),(13 87722.62),(14 91202.89),(15 94423.81),(16 96774.37),(17 99337.164),(18 101164.336),(19 102555.71),(20 102518.4),(21 104726.87),(22 106986.375),(23 107638.414),(24 108992.28),(25 109710.32),(26 111205.13),(27 111886.555),(28 112169.82),(29 113745.65),(30 114931.8),(31 116824.58),(32 118784.31),(33 119588.83),(34 119638.3),(35 120430.375),(36 119971.125),(37 121073.24),(38 119905.805),(39 119844.77),(40 119820.75),(41 120159.35),(42 120441.91),(43 120227.34),(44 120565.29),(45 119689.82),(46 119603.72),(47 120550.02),(48 120134.32),(49 119326.71),(50 118795.19),(51 118712.99),(52 117697.7),(53 116443.17),(54 115195.305),(55 114399.664),(56 113036.61),(57 112463.23),(58 111498.46),(59 111368.24),(60 110028.875),(61 108805.87),(62 107832.97),(63 107361.96),(64 105927.54),(65 104446.86),(66 103641.64),(67 102859.664),(68 102153.586),(69 101419.02),(70 100931.086),(71 101142.65),(72 101249.625),(73 100321.19),(74 99536.836),(75 100002.93),(76 99515.4),(77 99174.43),(78 98575.41),(79 99253.65),
(1 24006.063),(2 42016.76),(3 54518.31),(4 62817.17),(5 68449.81),(6 71833.695),(7 75902.38),(8 77380.2),(9 77940.94),(10 77348.52),(11 77270.87),(12 77764.33),(13 78444.14),(14 80707.336),(15 83723.97),(16 85987.21),(17 88563.336),(18 91038.04),(19 94266.49),(20 96049.95),(21 95564.72),(22 96397.48),(23 97927.92),(24 98955.28),(25 100634.18),(26 102355.375),(27 103883.18),(28 106044.12),(29 107696.83),(30 108259.67),(31 109773.82),(32 110248.64),(33 111807.336),(34 112786.74),(35 113714.72),(36 113964.46),(37 114790.87),(38 114617.18),(39 114333.98),(40 114360.64),(41 115109.516),(42 115284.46),(43 117055.86),(44 116984.62),(45 116650.766),(46 116486.43),(47 117361.38),(48 117200.21),(49 116913.445),(50 115795.03),(51 115203.766),(52 113933.47),(53 113113.61),(54 112003.75),(55 111453.95),(56 110812.92),(57 109739.65),(58 109359.29),(59 109518.96),(60 107895.42),(61 105292.555),(62 103030.92),(63 101804.664),(64 100667.17),(65 98338.74),(66 97271.56),(67 95947.32),(68 94085.26),(69 93124.01),(70 92661.28),(71 92158.875),(72 91760),(73 91419.57),(74 90794.97),(75 89394.805),(76 88842.94),(77 88479.96),(78 88545.82),(79 89198.37),
(1 24322.613),(2 41930.785),(3 53860.742),(4 64172.8),(5 69660.55),(6 73302.95),(7 75692.195),(8 77406.125),(9 78665.26),(10 79410.234),(11 80219.32),(12 81310.836),(13 83895.59),(14 86122.34),(15 88817.57),(16 90251.17),(17 91877.66),(18 93824.87),(19 95635.445),(20 97550.2),(21 97479.71),(22 96588.81),(23 96329.234),(24 96904.15),(25 98136.555),(26 99731.02),(27 102015.93),(28 102834.21),(29 104794.81),(30 105413.94),(31 106534.28),(32 107458.27),(33 108061.6),(34 109739.47),(35 108866.47),(36 109405.38),(37 109734.164),(38 110323.555),(39 111894.59),(40 112306.37),(41 113925.53),(42 115575.58),(43 116304.7),(44 116199.41),(45 114705.75),(46 113645.336),(47 114303.516),(48 114515.086),(49 115133.78),(50 114969.73),(51 113949.19),(52 113921.02),(53 112384.75),(54 110778.36),(55 109287.336),(56 107182.57),(57 106832.484),(58 106726.37),(59 106280.64),(60 105990.31),(61 104613.15),(62 103282.25),(63 101528.73),(64 99695.76),(65 98387.72),(66 96852.28),(67 95825.375),(68 94549.234),(69 93000.875),(70 92629.15),(71 92110.59),(72 91650.11),(73 90874.52),(74 89954.484),(75 89807.46),(76 89033.016),(77 88862.95),(78 89041.83),(79 89054.555),
(1 23622.125),(2 41341.12),(3 53441.266),(4 61630.61),(5 68218.7),(6 71754.89),(7 74900.555),(8 75709.445),(9 77013.13),(10 77624.86),(11 78319.04),(12 80683.51),(13 82376.086),(14 85893.89),(15 87958.19),(16 89212.38),(17 91182.72),(18 93050.984),(19 94853.55),(20 95200.82),(21 95261.72),(22 96390.85),(23 96400.35),(24 97247.05),(25 98379.01),(26 98682.75),(27 100576.75),(28 101498.44),(29 103223.87),(30 104930.08),(31 106489.586),(32 107662.59),(33 109094.7),(34 109832.45),(35 108843.17),(36 109037.08),(37 109766.984),(38 110089.38),(39 110886.375),(40 111146.64),(41 111488.83),(42 111929.08),(43 112015.055),(44 112711.59),(45 113414.08),(46 113449.92),(47 114348.18),(48 112693.38),(49 112113.59),(50 111489.92),(51 111065.79),(52 111170.73),(53 110733.234),(54 110487.695),(55 109931.44),(56 108674.805),(57 106935.01),(58 105790.59),(59 104995.49),(60 103580.766),(61 102559.56),(62 101417.01),(63 99633.414),(64 98452.914),(65 97327.37),(66 96291.33),(67 94893.35),(68 93036.43),(69 92215.7),(70 91838.234),(71 91759.625),(72 90760.64),(73 89596.27),(74 88827.79),(75 88045.31),(76 87530.89),(77 87883.35),(78 87744.91),(79 87698.48),
(1 22761.59),(2 40252.766),(3 52644.293),(4 60651),(5 66159.59),(6 69276.99),(7 71717.875),(8 72320.15),(9 73593.17),(10 73970.1),(11 74053.38),(12 75372.53),(13 77203.48),(14 79909.1),(15 82875.85),(16 83943.31),(17 85403.92),(18 86643.98),(19 88355.97),(20 88691.78),(21 88819.59),(22 89114.734),(23 89451.51),(24 89944.15),(25 90219.13),(26 91488.17),(27 92852.38),(28 93652.71),(29 94453.56),(30 95730.414),(31 97349.74),(32 99923.64),(33 100262.48),(34 100367.99),(35 100010.9),(36 100614),(37 102341.43),(38 102462),(39 104119.53),(40 104571.98),(41 105310.09),(42 106532.63),(43 107438.734),(44 108019.945),(45 107659.51),(46 107843.03),(47 107559.08),(48 105537.03),(49 105564.42),(50 104258.8),(51 103469.5),(52 102957.266),(53 102672.97),(54 102032.43),(55 101329.9),(56 100418.164),(57 98886.82),(58 97714.49),(59 95843.71),(60 94904.83),(61 94433.03),(62 93598.52),(63 93041.86),(64 91812.21),(65 90440.85),(66 89324.59),(67 88826.266),(68 88079.625),(69 87046.02),(70 86885.625),(71 87025.16),(72 86246.06),(73 85822.86),(74 84991.74),(75 84685.586),(76 84061.06),(77 84540.5),(78 84892.1),(79 85777.5),
(1 22126.563),(2 38835.117),(3 50971.703),(4 59863.41),(5 66100.55),(6 68487.234),(7 70353.695),(8 71610.48),(9 72209.17),(10 72613.31),(11 72785.74),(12 74971.34),(13 76891.24),(14 79091.76),(15 80481.125),(16 82283.695),(17 84550.91),(18 86949.71),(19 89295.99),(20 90623.73),(21 90921.5),(22 91963.54),(23 93092.016),(24 94993.46),(25 97194.69),(26 99059.375),(27 100963.96),(28 101446.93),(29 102695.28),(30 103136.98),(31 103835.13),(32 104430.32),(33 104928.09),(34 106219.48),(35 106788.71),(36 107396.93),(37 108601.734),(38 108598.484),(39 110254.28),(40 111200.94),(41 112328.516),(42 113272.805),(43 114091.15),(44 113864.72),(45 112357.45),(46 111308.305),(47 110386.61),(48 109770.94),(49 109928.37),(50 109181.61),(51 108128.56),(52 107037.33),(53 105814.54),(54 104636.05),(55 104278.94),(56 102881.91),(57 102469.48),(58 100308.84),(59 99402.64),(60 98236.83),(61 96731.55),(62 95329.625),(63 94243.35),(64 93562.336),(65 92133.45),(66 91076.09),(67 90223.234),(68 89178.664),(69 88239),(70 87848.36),(71 87219.85),(72 87003.44),(73 86266.96),(74 85260.73),(75 85238.055),(76 84400.36),(77 84093.695),(78 84352.125),(79 85411.59),
(1 20955.418),(2 37257.563),(3 48594.688),(4 56392.594),(5 61082.223),(6 63738.285),(7 65530.07),(8 66967.41),(9 66781.18),(10 66683.39),(11 66531.59),(12 67550.42),(13 69382.71),(14 72432.28),(15 74774.4),(16 76989.38),(17 79518.52),(18 80294.375),(19 82085.42),(20 84035.46),(21 85098.05),(22 86045.61),(23 86911.58),(24 87197.91),(25 88160.6),(26 89495.625),(27 91879.47),(28 92658.94),(29 94225.98),(30 96075.18),(31 97080.57),(32 97861.734),(33 99069.9),(34 100073.13),(35 101292.64),(36 101700.914),(37 101867.66),(38 102283.31),(39 101980.39),(40 101713.35),(41 101721.33),(42 101628.97),(43 101905.73),(44 101995.53),(45 101348.8),(46 100995.695),(47 101956.18),(48 101976.3),(49 102064.54),(50 101362.945),(51 100475.12),(52 100523.29),(53 99513.805),(54 98828.97),(55 98029.04),(56 96700.766),(57 95508.984),(58 94365.234),(59 93234.16),(60 92281.73),(61 91247.375),(62 90219.46),(63 89802.914),(64 89397.266),(65 88463.71),(66 87686.14),(67 87196.23),(68 85637.54),(69 84239.31),(70 83332.69),(71 82207.11),(72 81374.695),(73 80280.74),(74 79439.02),(75 78781.03),(76 78278.2),(77 78328.94),(78 78273.836),(79 78205.445),
(1 20783.5),(2 36679.664),(3 47437.535),(4 55560.813),(5 61435.09),(6 64639.336),(7 66259.88),(8 67742.37),(9 68665.5),(10 69156.27),(11 69475.79),(12 70299.03),(13 70680.42),(14 73228.35),(15 76673.62),(16 77954.83),(17 80262.914),(18 82321.44),(19 84058.94),(20 84151.95),(21 84695.96),(22 85284.26),(23 85355.5),(24 85865.82),(25 86572.24),(26 87702.18),(27 88388.49),(28 88435.35),(29 89413.84),(30 90677.96),(31 92037.695),(32 93911.6),(33 94287.8),(34 95029.195),(35 94530.23),(36 94485.234),(37 95428.19),(38 95491.03),(39 94923.914),(40 96056.14),(41 96869.61),(42 97218.25),(43 98374),(44 99312.33),(45 98838.97),(46 98684.42),(47 97913.59),(48 96760.59),(49 96659.55),(50 96875.695),(51 95759.54),(52 95627.305),(53 95620.45),(54 94832.61),(55 94451.49),(56 93453.59),(57 93030.82),(58 92665.5),(59 92477.43),(60 91734.914),(61 90946.91),(62 90432.5),(63 89544.14),(64 88315.97),(65 87095.89),(66 85709.914),(67 84658.16),(68 83467.3),(69 83080.305),(70 82956.25),(71 82654.12),(72 82797.984),(73 82137.234),(74 81976.38),(75 81779.984),(76 81416.5),(77 81366.5),(78 80949.984),(79 81180.03),
(1 20282.004),(2 35576.31),(3 46261.008),(4 53636.957),(5 57839.91),(6 59739.03),(7 61794.285),(8 63363.55),(9 64782.297),(10 64970.508),(11 65836.79),(12 66667.45),(13 68600.87),(14 70391.46),(15 74267.266),(16 76799.695),(17 78214.695),(18 79205.18),(19 80016.18),(20 80251.84),(21 80171.4),(22 80337.16),(23 80927.58),(24 81656.54),(25 83149.36),(26 84732.94),(27 86170.99),(28 86581.94),(29 86913.77),(30 88878.61),(31 89184.945),(32 89686.234),(33 90267.28),(34 91734.02),(35 92160.05),(36 92559.53),(37 92770.72),(38 93118.87),(39 93384.914),(40 93121.875),(41 93135.59),(42 93508.27),(43 93732.68),(44 94112.79),(45 93599.5),(46 93237.14),(47 93842.484),(48 92896.55),(49 93595.7),(50 92595.805),(51 92409.57),(52 92527.94),(53 91683.16),(54 91087.41),(55 90091.87),(56 88465.78),(57 87458.59),(58 87093.33),(59 86434.3),(60 85586.58),(61 84553.29),(62 84186.03),(63 82539.65),(64 81298.29),(65 79656.03),(66 78198.04),(67 77171.35),(68 76767.17),(69 76342.23),(70 76125.82),(71 75713.4),(72 75610.43),(73 75177.08),(74 74923.63),(75 74570.86),(76 74157.4),(77 73935.914),(78 73734.26),(79 73417.21),
(1 19132.23),(2 33860.074),(3 43506.637),(4 51305.637),(5 55692.863),(6 58093.22),(7 60168.504),(8 62012.082),(9 62088.367),(10 62725.4),(11 63315.953),(12 65011.21),(13 67677.86),(14 70201.664),(15 73209.33),(16 73847.73),(17 74747.5),(18 74489.71),(19 75399.5),(20 76381.73),(21 76888.69),(22 77899.47),(23 78921.63),(24 80044.49),(25 80250),(26 80792.36),(27 82254.2),(28 82415.945),(29 83919.164),(30 84963.12),(31 86063.54),(32 86974.555),(33 87407.51),(34 88216.24),(35 88982.734),(36 89507.39),(37 90299.75),(38 90835.31),(39 92084.13),(40 92745.76),(41 92743.445),(42 93039.63),(43 92757.3),(44 92981.516),(45 91434.164),(46 90411.69),(47 90281.516),(48 88887.555),(49 87832.414),(50 86506.12),(51 85506.586),(52 85457.4),(53 84546.836),(54 84443.58),(55 84160.055),(56 83142.25),(57 82550.51),(58 81093.445),(59 79776.734),(60 78695.15),(61 77584.24),(62 76795.484),(63 76537.625),(64 76345.73),(65 75366.01),(66 74107.516),(67 73712.3),(68 73444.22),(69 73655.88),(70 74107.2),(71 74123.92),(72 74160.62),(73 73954.77),(74 73592.9),(75 73287.164),(76 73040.945),(77 73174.75),(78 73449.63),(79 73754.99),
(1 18847.71),(2 32580.115),(3 42216.223),(4 49551.79),(5 54513.473),(6 57927.53),(7 60102.445),(8 61845.9),(9 62799.098),(10 63273.38),(11 64148.777),(12 65286.207),(13 66799.65),(14 67769.24),(15 69725.305),(16 71482.945),(17 72841.98),(18 74199.12),(19 75521.44),(20 76834.336),(21 77222.53),(22 78994.625),(23 80117.98),(24 80816.05),(25 80918.47),(26 81854.69),(27 83106.06),(28 84135.66),(29 85197.66),(30 86407.9),(31 87189.84),(32 88380.914),(33 88429.305),(34 89154.98),(35 90187.41),(36 91390.31),(37 92058.086),(38 91825.805),(39 92028.195),(40 92051.67),(41 92258.734),(42 92394.22),(43 92838.31),(44 93016.5),(45 92967.46),(46 93041.34),(47 92656.37),(48 92186.98),(49 92361.44),(50 92291.9),(51 92063.14),(52 92615.56),(53 91945.23),(54 90520.87),(55 89270.24),(56 87605.16),(57 86764.28),(58 85580.91),(59 84496.586),(60 83408.32),(61 81927.62),(62 80446.59),(63 79500.62),(64 79096.99),(65 78175.37),(66 77220.18),(67 76420.74),(68 75528.734),(69 75217.14),(70 74915.305),(71 74900.23),(72 74833.625),(73 74617.95),(74 73721.83),(75 73565.93),(76 73449.016),(77 73340.48),(78 72732.164),(79 72892.92),
(1 18389.592),(2 31271.125),(3 39762.813),(4 46026.027),(5 50413.066),(6 52451.03),(7 54665.977),(8 56285.96),(9 57716.45),(10 58896.09),(11 59951.85),(12 60473.695),(13 62772.85),(14 64596.105),(15 66399.734),(16 68000.05),(17 69243.41),(18 70408.234),(19 71208.53),(20 72453.01),(21 72569.6),(22 72996.63),(23 74253.87),(24 74809.64),(25 75969.46),(26 77094.766),(27 78620.805),(28 78240.26),(29 78799.586),(30 80506.84),(31 81603.24),(32 82052.33),(33 81987.086),(34 82631.67),(35 82361.734),(36 83138.87),(37 83752.34),(38 84233.04),(39 85195.8),(40 85961.93),(41 86969.17),(42 87577.46),(43 87490.125),(44 87762.85),(45 86857.68),(46 87159.19),(47 86791.914),(48 86130.96),(49 85239.31),(50 84393.1),(51 84153.97),(52 84719.71),(53 84454.94),(54 83875.914),(55 83453.01),(56 82411.805),(57 81655.23),(58 80830.555),(59 80377.234),(60 79090.05),(61 78185.484),(62 77593.51),(63 77053.56),(64 75807.01),(65 75039.31),(66 73741.29),(67 71976.63),(68 71062),(69 70737.41),(70 69909.35),(71 69494.97),(72 68689.016),(73 67853.97),(74 66964.555),(75 67056.16),(76 66466.336),(77 66074.2),(78 65776.05),(79 66017.09),
(1 17888.479),(2 31257.137),(3 40304.867),(4 46913.71),(5 50822.45),(6 53792.434),(7 56005.246),(8 56744.59),(9 57584.285),(10 58290.047),(11 59260.37),(12 60037.363),(13 61810.766),(14 63805.203),(15 67009.55),(16 68704.56),(17 70287.27),(18 70782.57),(19 70986.1),(20 71509.02),(21 71239.836),(22 71471.95),(23 71842.99),(24 73011.13),(25 73495.4),(26 74849.27),(27 75325.74),(28 76316.62),(29 77115.23),(30 77824.92),(31 77741.195),(32 78734.8),(33 78879.09),(34 80164.61),(35 81246.41),(36 81990.14),(37 82918.664),(38 82985.09),(39 83190.79),(40 83170.68),(41 82989.92),(42 83558.89),(43 84290.38),(44 85047.47),(45 84703.72),(46 84757.805),(47 84752.13),(48 83908.19),(49 84055.72),(50 83498.65),(51 82660),(52 81979.85),(53 81057.61),(54 79964.016),(55 79298.25),(56 78366.45),(57 78180.875),(58 77641.32),(59 77010.38),(60 75618.625),(61 74759.336),(62 74361.25),(63 73958.23),(64 73672.11),(65 72970.805),(66 72331.09),(67 71562.46),(68 70827.47),(69 70681.69),(70 70289.67),(71 69566.87),(72 68948.51),(73 68509.15),(74 67985.72),(75 67338.69),(76 67024.72),(77 67190.26),(78 66758.02),(79 67079.55),
(1 17739.467),(2 30556.352),(3 39655.168),(4 45638.504),(5 49668.246),(6 51986.066),(7 53983.066),(8 55269.406),(9 56393.523),(10 56809.43),(11 57250.76),(12 58378.457),(13 59007.816),(14 60302.582),(15 62608.816),(16 64307.168),(17 66289.945),(18 67262.88),(19 68433.62),(20 69751.25),(21 71104.47),(22 71238.086),(23 71608.65),(24 72284.2),(25 72504.32),(26 72646.38),(27 73191.46),(28 73788.555),(29 74320.27),(30 76184.42),(31 76722.43),(32 78199.016),(33 77376.016),(34 77766.08),(35 77223.11),(36 77372.2),(37 78153.89),(38 78382.5),(39 80204.42),(40 79780.04),(41 79998.41),(42 80637.95),(43 81522.73),(44 82635.42),(45 82009.13),(46 82378.81),(47 83041.695),(48 82717.8),(49 81895.93),(50 81184.84),(51 80331.445),(52 80173.76),(53 79581.836),(54 78929.305),(55 78533.055),(56 78354.53),(57 77694.94),(58 77071.87),(59 76643.08),(60 76470.72),(61 76533.62),(62 76221.18),(63 75601.09),(64 74605.14),(65 73753.46),(66 72516.7),(67 71163.81),(68 70086.82),(69 69327.39),(70 68766.695),(71 68650.94),(72 68080.61),(73 67877.29),(74 67657.15),(75 66743.84),(76 66456.15),(77 66407.29),(78 66355.45),(79 66329.32),
