q, (a, b, c)
97.5, (-273286.5313567828, 7.302968521038648, 252464.0153461126)
98.5, (-260960.58708676187, 7.14884572190147, 238199.59781991944)
99.5, (-230377.1276755858, 9.168551075741773, 230606.60718224075)
100.5, (-259603.1785732831, 8.524421362213848, 244363.02396427523)
101.5, (-250445.9362978005, 7.919299666781646, 235598.3546369412)
102.5, (-224794.78636529946, 6.663422430334553, 206864.17304004144)
103.5, (-226057.38204171014, 7.15335489160296, 211445.77061630672)
104.5, (-220838.5478640201, 6.848619812660511, 203885.79955397692)
105.5, (-217623.3677848499, 7.073548554497631, 201000.98446963786)
106.5, (-199919.36240657052, 8.378517948813894, 196211.09979715844)
107.5, (-205684.57503360882, 7.024400188289418, 186863.6941695966)
108.5, (-197128.23287384538, 8.334309275722742, 189531.5561758127)
109.5, (-176472.3834464469, 7.521531694405455, 173004.50357759956)
110.5, (-202331.8869134506, 7.131189882754842, 185990.90823896465)
111.5, (-172003.47721531603, 7.790145093129321, 166999.24887083433)
112.5, (-164561.88888173885, 8.277384578395562, 162583.3473324255)
113.5, (-150316.91563961556, 8.921239735734009, 157777.65793402752)
114.5, (-165947.18372305983, 6.653527407264204, 153736.0616310778)
115.5, (-154973.1914665572, 7.799093487225584, 151949.06047702892)
116.5, (-154850.01329332168, 7.546835161970161, 148763.29478184428)
117.5, (-155332.57603587353, 7.714860310970492, 149040.70191522493)
118.5, (-162828.859240409, 6.327563481783335, 147835.43895485654)
119.5, (-141492.7917574821, 7.450654263826461, 138777.90024307065)
120.5, (-152067.5457997633, 7.130314991756267, 142920.49399669693)
121.5, (-142941.61546592502, 6.832728186145024, 135376.56077018683)
122.5, (-151363.34798720136, 6.861902035490659, 141336.37427736793)
123.5, (-121272.93038243116, 7.047434776516326, 120523.84285158059)
124.5, (-126464.37991642146, 8.026329242759276, 127386.24242244114)
125.5, (-116154.05190902048, 8.376270067597261, 120842.08179358463)
126.5, (-114952.27579200169, 7.169323413578043, 114708.46576197512)
127.5, (-125960.06825545534, 6.599700926468708, 120174.99339729546)
128.5, (-120367.44156611284, 5.931803310884132, 112671.70062364767)
129.5, (-113790.05211792601, 7.18386171030667, 112059.7671379886)
130.5, (-115003.11793408034, 7.056403845755204, 112173.22025361465)
131.5, (-108584.47120332449, 6.81982475826523, 106954.76543524534)
132.5, (-101449.92674348556, 7.075145883074592, 102011.9124585583)
133.5, (-103556.45821254246, 6.177399125552512, 99067.47699087122)
134.5, (-100878.47610134466, 6.168926226866323, 96470.7824540852)
135.5, (-88472.01175940594, 7.316110019441391, 91386.27589995823)
136.5, (-96744.868714891, 6.248362874871592, 93301.61530315467)
137.5, (-89290.11204684689, 6.779162718684649, 89080.83082756276)
138.5, (-85684.10271492906, 8.322128054657028, 90396.59684730864)
139.5, (-82620.38668339081, 7.319127101098957, 86673.78059677302)
140.5, (-80707.59942610297, 5.311470779154476, 77811.60794404049)
141.5, (-79635.15047568703, 5.631383081233237, 77849.10967741079)
142.5, (-75632.02234066265, 6.158846338384971, 76524.9916036494)
143.5, (-75558.84867618825, 5.543118158903344, 73680.36058073324)
144.5, (-69794.33393084613, 5.600175700949496, 69501.2297753071)
145.5, (-77132.71830313209, 5.760252359703346, 73968.10403128443)
146.5, (-74537.65076871979, 5.501502740311659, 71499.01195200885)
147.5, (-69096.51131640386, 6.597801163279581, 70607.2158263071)
148.5, (-64869.10500693618, 5.975764454698323, 66161.94737151169)
149.5, (-66201.88033500202, 5.41434674947443, 64965.78636982771)
150.5, (-64716.63088014327, 5.899400037144738, 65248.96323867728)
151.5, (-62258.66502075616, 5.631858208742983, 61985.83400808009)
152.5, (-56600.721867504646, 6.331115706977769, 59464.03363118639)
153.5, (-60558.75905036665, 6.005672007563525, 60988.133929710755)
154.5, (-55141.94470674097, 6.395783801089011, 58599.01215569977)
155.5, (-56050.83482423531, 5.234076524522331, 56278.28632075057)
156.5, (-56754.21667001143, 5.299248474996019, 57001.203144665444)
157.5, (-57964.772353555505, 5.543924991360252, 57195.42074044306)
158.5, (-50494.31220950707, 5.710340133648807, 52289.46860006574)
159.5, (-48973.52952997365, 5.509280726370737, 50389.66933677265)
160.5, (-46531.90615084043, 5.96587910123896, 49837.759664354766)
161.5, (-47408.420100755706, 5.710752567508001, 49078.52522428242)
162.5, (-45558.23903877804, 5.939619016440418, 47907.346215278514)
163.5, (-47884.510465631756, 5.247914920798881, 48491.70323303959)
164.5, (-48294.43521071429, 5.051417809515887, 47136.16652814992)
165.5, (-43766.47329781837, 7.119349101785941, 47956.79691220115)
166.5, (-43677.143797484045, 6.546602600174739, 46739.93991375214)
167.5, (-40087.99899068163, 6.565767689891181, 44041.52485969624)
168.5, (-39531.477765849006, 6.4551494310107245, 43373.86179714376)
169.5, (-36061.9758073283, 7.671479158310197, 41795.04905600465)
170.5, (-35341.03911057653, 6.546092007555017, 40753.276030300025)
171.5, (-36950.52839825184, 7.217639066860953, 42440.25771568339)
172.5, (-34034.861352130996, 6.443053884117544, 38807.11132723504)
173.5, (-36542.708997433, 5.313724736139984, 38352.39242907086)
174.5, (-33182.226697295744, 6.006851044315359, 36935.97938197705)
175.5, (-30097.140315782377, 6.437783165924332, 35280.164086444485)
176.5, (-35157.188565985256, 5.930569864621602, 37586.1576755822)
177.5, (-31129.3904833113, 6.804274481146616, 36030.4105767553)
178.5, (-34939.37115663094, 5.906290335648586, 36822.57581737028)
179.5, (-33190.89008327984, 5.677068091859046, 35282.195945166546)
180.5, (-32263.556384083422, 5.148537655708896, 33950.2771063688)
181.5, (-30569.19696787449, 5.3398898194306845, 32630.233804422816)
182.5, (-28956.64219345253, 6.443827358823669, 32995.3976213534)
183.5, (-26189.820281363292, 7.019455699598456, 30903.427329706046)
184.5, (-26700.028978707873, 5.970875056854284, 30430.704266640583)
185.5, (-26337.65502339209, 6.291726912064077, 30513.34649065933)
186.5, (-28147.245162334017, 5.280277890642441, 30061.21139575883)
187.5, (-24098.96290531823, 7.0719186483113985, 29011.871424749323)
188.5, (-23852.633324265164, 6.060976069263088, 27337.85124971675)
189.5, (-23088.113897791576, 5.339346641101258, 26017.52828366207)
190.5, (-23639.01840598797, 5.83535587926698, 26833.882186926043)
191.5, (-23312.417663585933, 5.233926962185317, 25900.331043407223)
192.5, (-23079.458154806816, 6.582881937457554, 26785.747395915252)
193.5, (-23598.619458717938, 6.752918816009401, 26865.97807476999)
194.5, (-22302.770734396658, 6.3209766611169105, 25822.973413911805)
195.5, (-20117.02107457619, 6.462462333178864, 24566.609285536048)
196.5, (-20969.487065999558, 6.063488350422566, 24009.98993663519)
197.5, (-20869.605317994665, 5.573473939638136, 23324.859910212504)
198.5, (-22389.640096014155, 5.721317922396668, 24518.434232012387)
199.5, (-17673.78508602736, 6.917728687937929, 22018.93449639896)
200.5, (-20179.35430581502, 5.1793775222766705, 22079.932197694347)
201.5, (-20883.786598401828, 5.565033807108812, 22863.045573548276)
202.5, (-20275.249874488407, 5.225661795904178, 22011.13672528226)
203.5, (-18706.74243718136, 5.22180344185941, 20755.072364145464)
204.5, (-17158.598170189514, 5.750671757348084, 20135.629429510973)
205.5, (-16626.044346894767, 5.941663490985347, 19799.41361425339)
206.5, (-16628.698914320074, 6.185722553863083, 19832.30273789325)
207.5, (-15977.86667344726, 5.242203223299232, 18364.72875833549)
208.5, (-14559.445459917655, 5.839207133441844, 17971.0747298107)
209.5, (-15613.35651091022, 4.495628916323382, 17301.807043915866)
210.5, (-14406.621678100966, 5.2271194908781835, 16923.71083554962)
211.5, (-12745.170359204163, 5.765865980716191, 16143.600370492484)
212.5, (-12802.413116353668, 6.213160198237886, 16367.544583617038)
213.5, (-12767.39712998389, 6.654599503825642, 16538.672467655488)
214.5, (-13816.996572890956, 6.416148296248668, 17049.25735118063)
215.5, (-12703.82788557391, 5.418823995318066, 15408.5011737149)
216.5, (-13191.980637803075, 5.134617776860979, 15495.03191199877)
217.5, (-13473.215728862822, 5.257284592535987, 15596.286802770293)
218.5, (-13042.791228369819, 5.009589755060243, 15154.97814329246)
219.5, (-11480.804249376954, 6.0287613742778134, 14427.949102817058)
220.5, (-11201.175289348284, 5.339732200681643, 13930.76642495291)
221.5, (-9441.4267730701, 6.509791080499444, 13149.552324285833)
222.5, (-9224.543535140627, 6.231580326107693, 12743.04874343669)
223.5, (-11002.686295252048, 4.336964530519409, 12923.691043347948)
224.5, (-9941.050971495662, 4.571307439532236, 12087.583051186808)
225.5, (-9517.422366748233, 5.724033883625327, 12440.052715414962)
226.5, (-9302.457554781022, 6.063901910830147, 12468.75562956904)
227.5, (-9989.997917333296, 5.452138878486444, 12343.68462915336)
228.5, (-9384.136510818296, 5.57015543693175, 11893.60093341381)
229.5, (-8365.68143101072, 5.975498402180833, 11313.2551974991)
230.5, (-9310.969914519928, 5.047609982791261, 11358.285026847867)
231.5, (-8331.642394514201, 5.237448335184797, 10742.696824197426)
232.5, (-8636.188814557774, 5.068631256734809, 10794.578752303381)
233.5, (-8386.38726810004, 5.073158504648165, 10616.206207505527)
234.5, (-7916.1806858171, 5.175719696317321, 10183.970315229208)
235.5, (-7857.922652052811, 5.391041719142163, 10183.262001170915)
236.5, (-6870.693278160605, 6.30761484550416, 9735.756486830318)
237.5, (-7175.871103921568, 5.5517433230994, 9547.098603890661)
238.5, (-6840.179397911485, 5.953341314287916, 9335.791193153724)
239.5, (-6945.665776496588, 5.267473107561226, 8999.407268630157)
240.5, (-6705.349353755896, 5.895240070165695, 9137.874129978018)
241.5, (-6806.779214826909, 5.609547684257035, 9035.01515601617)
242.5, (-7048.8169537739395, 5.337337256051378, 8974.673920425143)
243.5, (-6805.807927900501, 6.047650468545627, 8920.68109664401)
244.5, (-6393.6427837330375, 6.52596381945077, 8801.781072844467)
245.5, (-6080.35931139269, 6.740724777044616, 8535.567185580896)
246.5, (-6139.845336633948, 5.83033196018649, 8264.94689588488)
247.5, (-6162.269477414904, 6.022230828128706, 8281.079687789244)
248.5, (-6380.339962526398, 5.377298431212632, 8238.057808482241)
249.5, (-6017.989847033807, 5.238262574691608, 7733.368036576436)
250.5, (-5848.319503711999, 5.8677184011282835, 7890.790705283611)
251.5, (-5203.418315296595, 7.720216862821831, 7675.854516591578)
252.5, (-5235.541537417702, 6.698527573503893, 7444.156891520701)
253.5, (-5396.316485649543, 6.045267328459707, 7352.079449353982)
254.5, (-4915.469494555087, 6.885915565117378, 7073.14829439906)
255.5, (-4580.895514772841, 7.618209567707663, 6896.261824323973)
256.5, (-4914.347799802923, 6.215478219550312, 6775.297767792155)
257.5, (-4877.850546750364, 7.139496818347173, 7002.920289488252)
258.5, (-4928.877673550463, 5.556890970114494, 6593.165778486399)
259.5, (-4796.994497585214, 5.887920538965293, 6470.866815630183)
260.5, (-4699.14781947653, 6.472617094335297, 6511.855515920905)
261.5, (-4176.903460665202, 7.351578152976001, 6272.738789103053)
262.5, (-4611.933469387325, 5.951882465267134, 6278.112497120118)
263.5, (-4066.785493592623, 6.618783823454569, 5892.887925717613)
264.5, (-4379.718559043318, 6.158820324619998, 6014.3719850059415)
265.5, (-4207.944439024119, 6.622696620247661, 6002.0692211071455)
266.5, (-3819.4614173811206, 6.815853341870416, 5702.051374055153)
267.5, (-3833.8229199111797, 6.657244075456334, 5557.223924025642)
268.5, (-3618.159022956905, 6.085193195307215, 5217.50265879377)
269.5, (-3800.6547175866567, 5.550026285986118, 5215.109035836616)
270.5, (-3796.3910222178147, 5.420572015889213, 5189.555173660159)
271.5, (-3380.3388366084196, 6.73406043417289, 5013.477771972398)
272.5, (-3622.0502840113286, 5.066890579919432, 4896.888013375235)
273.5, (-3218.708236353288, 7.006515500112713, 4953.999770532583)
274.5, (-3321.521016546418, 5.798093673926115, 4742.087307450082)
275.5, (-2845.445426977854, 8.326202937270862, 4700.291353262591)
276.5, (-2855.7653683931103, 9.305196429629476, 4827.730456961211)
277.5, (-3115.1965730111374, 6.501195917124505, 4641.591957957055)
278.5, (-2908.7889717997878, 7.664600880639655, 4533.770756374842)
279.5, (-2665.7414996648226, 7.628626133636655, 4315.531300255005)
