1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 89999.77),(2 318714.34),(3 694942.94),(4 1229575.6),(5 1966623.5),(6 2858056.3),(7 3771234.3),(8 4861438.5),(9 5711519.5),(10 6332729.5),(11 6901637.5),(12 7498044),(13 8050966),(14 8602082),(15 9080249),(16 9468343),(17 9771508),(18 9997533),(19 10137418),(20 10200583),(21 10223540),(22 10222596),(23 10104161),(24 9887936),(25 9595249),(26 9197142),(27 8708156),(28 8210344),(29 7694090),(30 7284924),(31 7109457.5),(32 7112519.5),(33 7243059.5),(34 7401990),(35 7541044.5),(36 7590625.5),(37 7551508.5),(38 7484956),(39 7523153.5),(40 7636939.5),(41 7671006),(42 7741054.5),(43 7773138),(44 7846892),(45 7941062.5),(46 8075242.5),(47 8215442),(48 8300030.5),(49 8343364),(50 8337509.5),(51 8288578.5),(52 8143821.5),(53 7994109.5),(54 7840309.5),(55 7707284),(56 7637187.5),(57 7585378),(58 7689804.5),(59 7687518),(60 7718530.5),(61 7800645.5),(62 7894870),(63 8061000),(64 8227594.5),(65 8463573),(66 8670268),(67 8908825),(68 9130643),(69 9474868),(70 9813838),(71 10204337),(72 10609227),(73 11030526),(74 11398059),(75 11778051),(76 12064244),(77 12309977),(78 12663581),(79 12883611),
(1 56890.574),(2 204444.8),(3 438264.44),(4 751368.4),(5 1162342.8),(6 1668024.6),(7 2184280),(8 2754557.5),(9 3249797.3),(10 3677422.5),(11 4038925.3),(12 4323917.5),(13 4544183.5),(14 4751797),(15 4930344.5),(16 5035711),(17 5127598),(18 5177111),(19 5194766),(20 5177552),(21 5166809),(22 5154156),(23 5179239),(24 5229428.5),(25 5270978.5),(26 5298170.5),(27 5354335),(28 5428840.5),(29 5538926.5),(30 5661477.5),(31 5834188),(32 6085728.5),(33 6380073.5),(34 6719790.5),(35 7091279),(36 7389767),(37 7672021.5),(38 7933977),(39 8219203),(40 8517139),(41 8871064),(42 9268266),(43 9611709),(44 9979422),(45 10377827),(46 10867136),(47 11393987),(48 11920866),(49 12418046),(50 12935480),(51 13454381),(52 13894461),(53 14450118),(54 14957541),(55 15432214),(56 15951206),(57 16418195),(58 16919504),(59 17348982),(60 17805820),(61 18309592),(62 18822186),(63 19351910),(64 19973748),(65 20637556),(66 21262012),(67 21900228),(68 22548636),(69 23199960),(70 23877916),(71 24541388),(72 25122748),(73 25747776),(74 26279296),(75 26706412),(76 26991286),(77 27178566),(78 27378218),(79 27553728),
(1 66443.95),(2 231784.42),(3 482572.38),(4 793370.3),(5 1143269.5),(6 1544820.6),(7 1953785.1),(8 2388631.8),(9 2787780.3),(10 3178167.8),(11 3543662),(12 3859680.3),(13 4167185),(14 4485822.5),(15 4808068.5),(16 5114606.5),(17 5408029),(18 5693762),(19 5945121.5),(20 6105693.5),(21 6210728),(22 6277448.5),(23 6379494.5),(24 6418654.5),(25 6458934.5),(26 6512783.5),(27 6582686.5),(28 6665494.5),(29 6748408),(30 6859258),(31 6984673.5),(32 7143190.5),(33 7385372),(34 7632876.5),(35 7932406.5),(36 8194786),(37 8422064),(38 8633680),(39 8888780),(40 9097525),(41 9439906),(42 9764452),(43 10140687),(44 10488569),(45 10885325),(46 11330549),(47 11768632),(48 12214028),(49 12596011),(50 13062580),(51 13605112),(52 14137391),(53 14820448),(54 15486285),(55 16189936),(56 16961150),(57 17700706),(58 18465378),(59 19249166),(60 19999594),(61 20773006),(62 21534502),(63 22287240),(64 23022070),(65 23726618),(66 24367322),(67 24940010),(68 25543622),(69 26068442),(70 26599584),(71 27162150),(72 27632272),(73 28166458),(74 28569690),(75 28777184),(76 28872408),(77 28822358),(78 28725376),(79 28619718),
(1 84515.58),(2 318074.13),(3 703233.25),(4 1210257.5),(5 1806576.5),(6 2502440),(7 3271111),(8 4077972),(9 4857075.5),(10 5586449),(11 6267778.5),(12 6809082),(13 7261990),(14 7660190),(15 7958252.5),(16 8232506),(17 8457290),(18 8663424),(19 8832628),(20 8941657),(21 9062987),(22 9186181),(23 9306135),(24 9376720),(25 9371289),(26 9354916),(27 9320532),(28 9266098),(29 9163722),(30 9056238),(31 8997787),(32 8905204),(33 8840584),(34 8784074),(35 8755701),(36 8720326),(37 8656196),(38 8609204),(39 8567918),(40 8538375),(41 8567767),(42 8589945),(43 8631237),(44 8670680),(45 8726875),(46 8846781),(47 8997353),(48 9207866),(49 9424374),(50 9683310),(51 9979719),(52 10222007),(53 10497218),(54 10756015),(55 11015452),(56 11268940),(57 11504919),(58 11743441),(59 11987516),(60 12237273),(61 12482878),(62 12766356),(63 13113740),(64 13471438),(65 13835121),(66 14148123),(67 14511301),(68 14929067),(69 15301739),(70 15738907),(71 16148460),(72 16514626),(73 16950968),(74 17317142),(75 17676434),(76 18037166),(77 18308732),(78 18592402),(79 18912344),
(1 67604.22),(2 248893.23),(3 539132.4),(4 921671.06),(5 1385724.9),(6 1926462.5),(7 2539995.3),(8 3195477),(9 3835404.3),(10 4439748.5),(11 5005494),(12 5479099),(13 5891835.5),(14 6260203.5),(15 6585129.5),(16 6912139.5),(17 7203432.5),(18 7508344.5),(19 7817384.5),(20 8118390),(21 8426876),(22 8736571),(23 9059891),(24 9312471),(25 9481076),(26 9598505),(27 9644983),(28 9623990),(29 9561409),(30 9447228),(31 9348973),(32 9200851),(33 9044719),(34 8891281),(35 8770582),(36 8645188),(37 8510666),(38 8478679),(39 8487553),(40 8521951),(41 8641272),(42 8773375),(43 8913448),(44 9024220),(45 9076977),(46 9174568),(47 9281203),(48 9463356),(49 9686548),(50 9930695),(51 10215062),(52 10445021),(53 10740792),(54 11041350),(55 11333127),(56 11641322),(57 11912719),(58 12169991),(59 12426979),(60 12660710),(61 12908649),(62 13134403),(63 13366007),(64 13562688),(65 13763904),(66 13952297),(67 14108294),(68 14247468),(69 14356343),(70 14478156),(71 14562665),(72 14577868),(73 14617724),(74 14609679),(75 14555383),(76 14513823),(77 14444364),(78 14400912),(79 14387913),
(1 74766.73),(2 262571.4),(3 561351.6),(4 946622.7),(5 1407888.8),(6 1942782.3),(7 2514642.8),(8 3118421),(9 3690508),(10 4255651),(11 4785698),(12 5236143.5),(13 5620029.5),(14 5944380.5),(15 6198837),(16 6449584),(17 6663489),(18 6907129.5),(19 7130192),(20 7329912),(21 7540900),(22 7782793.5),(23 8074297),(24 8352681),(25 8637846),(26 8873858),(27 9086635),(28 9265645),(29 9388931),(30 9505765),(31 9646376),(32 9818684),(33 10066931),(34 10327218),(35 10557554),(36 10780359),(37 10987214),(38 11219504),(39 11429635),(40 11637329),(41 11845120),(42 12022653),(43 12200968),(44 12291070),(45 12359228),(46 12347511),(47 12342301),(48 12337060),(49 12348357),(50 12350920),(51 12319563),(52 12240428),(53 12166737),(54 12024882),(55 11836598),(56 11646582),(57 11443454),(58 11219142),(59 10961339),(60 10720862),(61 10517549),(62 10375039),(63 10305270),(64 10247650),(65 10294197),(66 10397931),(67 10581466),(68 10840843),(69 11097073),(70 11410705),(71 11700118),(72 11994578),(73 12262965),(74 12496916),(75 12759069),(76 13046727),(77 13326809),(78 13636126),(79 13959723),
(1 76097.55),(2 288397.7),(3 628165.2),(4 1075079.9),(5 1586044.5),(6 2169800),(7 2777861.3),(8 3384159.5),(9 3956948.3),(10 4510553.5),(11 5029360.5),(12 5512111),(13 5993651.5),(14 6440854),(15 6861935.5),(16 7242424.5),(17 7516229.5),(18 7751000.5),(19 7904496.5),(20 8034956.5),(21 8132097),(22 8221380.5),(23 8299267.5),(24 8319661.5),(25 8317631.5),(26 8254490),(27 8154603),(28 8017575.5),(29 7865806),(30 7740832.5),(31 7619432),(32 7557887.5),(33 7535884.5),(34 7570039),(35 7648066.5),(36 7729210.5),(37 7818755),(38 7963600.5),(39 8115261),(40 8281021.5),(41 8464180),(42 8666150),(43 8910599),(44 9153607),(45 9378258),(46 9588681),(47 9773217),(48 9961591),(49 10172319),(50 10373563),(51 10561871),(52 10701708),(53 10867180),(54 10987903),(55 11078842),(56 11158156),(57 11203239),(58 11201490),(59 11187974),(60 11196375),(61 11242543),(62 11327545),(63 11463308),(64 11593226),(65 11755643),(66 11941915),(67 12126875),(68 12378219),(69 12573857),(70 12791665),(71 12969446),(72 13096028),(73 13230079),(74 13326148),(75 13444914),(76 13533612),(77 13605150),(78 13731985),(79 13904850),
(1 82566.266),(2 300092.16),(3 649238.6),(4 1096603.8),(5 1624697.1),(6 2222107.8),(7 2849667.8),(8 3510890.8),(9 4133849.3),(10 4748438.5),(11 5320640),(12 5837386),(13 6324905.5),(14 6734402),(15 7096530),(16 7387670.5),(17 7571903),(18 7689839.5),(19 7710273),(20 7688267.5),(21 7632599),(22 7546622.5),(23 7453605.5),(24 7350482),(25 7253177),(26 7147395.5),(27 7048194.5),(28 6961125.5),(29 6870358.5),(30 6816840.5),(31 6775374),(32 6786093.5),(33 6844829),(34 6940788.5),(35 7087624),(36 7226101.5),(37 7389741.5),(38 7567185),(39 7749144.5),(40 7930500.5),(41 8098958.5),(42 8274566),(43 8456865),(44 8623189),(45 8755013),(46 8855841),(47 8900292),(48 8891705),(49 8863994),(50 8809841),(51 8730430),(52 8634924),(53 8568314),(54 8521450),(55 8469093),(56 8444722),(57 8409131),(58 8380135.5),(59 8380162.5),(60 8432060),(61 8560807),(62 8730323),(63 8945558),(64 9168879),(65 9398401),(66 9640278),(67 9871292),(68 10094630),(69 10318577),(70 10526537),(71 10693706),(72 10842260),(73 10934492),(74 10982031),(75 10966347),(76 10920368),(77 10855102),(78 10762276),(79 10682320),
(1 82270.484),(2 298708.28),(3 645264.44),(4 1109199.3),(5 1657558.6),(6 2288624.5),(7 2947906.5),(8 3628219),(9 4278052),(10 4921892),(11 5527470),(12 6034169.5),(13 6479608.5),(14 6836087.5),(15 7110093),(16 7290062.5),(17 7364380),(18 7390484),(19 7378897.5),(20 7369861.5),(21 7381316.5),(22 7381496.5),(23 7432409.5),(24 7517230),(25 7628497.5),(26 7779523.5),(27 7980387),(28 8239294),(29 8535332),(30 8906342),(31 9308796),(32 9714027),(33 10120006),(34 10510123),(35 10869538),(36 11185154),(37 11495869),(38 11855918),(39 12205336),(40 12511582),(41 12810412),(42 13057291),(43 13259140),(44 13405960),(45 13511199),(46 13584847),(47 13605410),(48 13563676),(49 13468801),(50 13376847),(51 13257931),(52 13143529),(53 13048628),(54 12967112),(55 12893227),(56 12852075),(57 12836627),(58 12820109),(59 12813963),(60 12896817),(61 12999865),(62 13098091),(63 13220307),(64 13311514),(65 13344401),(66 13340201),(67 13307288),(68 13287036),(69 13303503),(70 13366844),(71 13507163),(72 13667531),(73 13845050),(74 13981867),(75 14084840),(76 14193368),(77 14294439),(78 14376710),(79 14475938),
(1 85622.41),(2 319595.53),(3 692957.4),(4 1181584.9),(5 1775832.3),(6 2461901),(7 3183337.3),(8 3902126.3),(9 4567404.5),(10 5175463),(11 5733470.5),(12 6189563.5),(13 6544898),(14 6776794.5),(15 6910883),(16 6947404.5),(17 6899026),(18 6801187),(19 6680921),(20 6579850),(21 6487558),(22 6404682.5),(23 6369874),(24 6367074.5),(25 6371620.5),(26 6417214.5),(27 6475112),(28 6568485),(29 6646192),(30 6747454),(31 6887271),(32 7017776),(33 7156698),(34 7303172),(35 7469250.5),(36 7643531.5),(37 7804165.5),(38 7973652.5),(39 8134238),(40 8293954),(41 8452875),(42 8608312),(43 8788963),(44 8982908),(45 9197102),(46 9407744),(47 9605860),(48 9770620),(49 9917996),(50 10077995),(51 10219543),(52 10324828),(53 10437958),(54 10513013),(55 10573685),(56 10636844),(57 10720964),(58 10865788),(59 11040366),(60 11268300),(61 11488748),(62 11702980),(63 11939001),(64 12128603),(65 12306452),(66 12421436),(67 12539076),(68 12683273),(69 12807519),(70 12963538),(71 13089980),(72 13233668),(73 13434914),(74 13605662),(75 13783225),(76 13967166),(77 14116332),(78 14280033),(79 14442541),
(1 68096.3),(2 244707.64),(3 511728.28),(4 846981.56),(5 1232480.5),(6 1643134.1),(7 2026115),(8 2394459.3),(9 2712970.8),(10 3003754.3),(11 3276182.3),(12 3498191.5),(13 3704801.3),(14 3887369),(15 4050596.3),(16 4182299.3),(17 4267914),(18 4347522.5),(19 4410488.5),(20 4475347),(21 4550351),(22 4633104),(23 4719390),(24 4802097),(25 4899017.5),(26 5003840),(27 5109225),(28 5208860),(29 5293924),(30 5381537),(31 5491603),(32 5587807.5),(33 5672737.5),(34 5759208.5),(35 5863252.5),(36 5968211),(37 6069457),(38 6199455),(39 6344784),(40 6522124.5),(41 6733672.5),(42 6961061),(43 7213446),(44 7491819.5),(45 7771624.5),(46 8045768.5),(47 8276489.5),(48 8519648),(49 8751610),(50 8999009),(51 9261935),(52 9503568),(53 9737822),(54 9959561),(55 10178952),(56 10393210),(57 10602279),(58 10795212),(59 10990221),(60 11198264),(61 11383317),(62 11540809),(63 11727151),(64 11882909),(65 12057579),(66 12214695),(67 12386932),(68 12589986),(69 12763270),(70 12989054),(71 13209971),(72 13431673),(73 13685046),(74 13883061),(75 14080154),(76 14279957),(77 14422035),(78 14566872),(79 14693446),
(1 66541.31),(2 240722.95),(3 510565.22),(4 855770),(5 1258718.3),(6 1706282.8),(7 2163241.5),(8 2633782),(9 3066824.3),(10 3498622),(11 3905090),(12 4270005.5),(13 4597799),(14 4900258),(15 5162800.5),(16 5375836),(17 5539840),(18 5690772.5),(19 5831712),(20 5988510),(21 6173374.5),(22 6375022),(23 6626211),(24 6867389),(25 7102465.5),(26 7315093.5),(27 7474073),(28 7619609),(29 7703934.5),(30 7772953),(31 7825742),(32 7869733.5),(33 7929644.5),(34 7985483),(35 8025024.5),(36 8064367.5),(37 8093384.5),(38 8142340),(39 8190814),(40 8225568),(41 8241882.5),(42 8233545),(43 8197711.5),(44 8128781),(45 8033833.5),(46 7920062),(47 7789031),(48 7670230.5),(49 7548349),(50 7482147),(51 7463399),(52 7474362.5),(53 7507977.5),(54 7545315),(55 7576353.5),(56 7620768),(57 7657825.5),(58 7686334),(59 7693890),(60 7691278.5),(61 7670633.5),(62 7633623.5),(63 7616345.5),(64 7592586.5),(65 7587058),(66 7578696.5),(67 7573160.5),(68 7572747),(69 7560654),(70 7576201),(71 7589710),(72 7607953.5),(73 7659915),(74 7703975.5),(75 7759031),(76 7821420),(77 7862577.5),(78 7906270.5),(79 7952320),
