(1 172840.89),(2 513936.6),(3 1059575.9),(4 1834201.4),(5 2545836),(6 2993763.5),(7 3290036.5),(8 3813899.8),(9 4277450.5),(10 4614527.5),(11 4931393.5),(12 5223939),(13 5616468.5),(14 5928249.5),(15 6159059),(16 6348625.5),(17 6529702.5),(18 6934473.5),(19 7109444),(20 7033626.5),(21 6983511),(22 6917461),(23 6800136.5),(24 6588910),(25 6439538),(26 6514174.5),(27 6490862),(28 6558953.5),(29 6816751.5),(30 7000733),(31 7173041.5),(32 7186160.5),(33 6975721.5),(34 6747756),(35 6337888),(36 6028117),(37 6073431.5),(38 6103360.5),(39 6273071.5),(40 6455371),(41 6798845),(42 6963468),(43 7087953.5),(44 7279344),(45 7563392),(46 7563933),(47 7490635),(48 7573401.5),(49 7681982),(50 7618368),(51 7433472.5),(52 7318220.5),(53 7352976),(54 7215954),(55 7216949),
(1 180601.92),(2 514507.75),(3 984245),(4 1808579.6),(5 2651605.8),(6 2971592),(7 3085274.8),(8 3591205.3),(9 4172165.3),(10 4427164.5),(11 4605122),(12 4689505),(13 4538007.5),(14 4629198),(15 4895745),(16 5089968.5),(17 5081500.5),(18 5205440),(19 4982080),(20 4788516.5),(21 4859955),(22 5000155.5),(23 4958899.5),(24 4480422),(25 4173750.8),(26 4331506.5),(27 4378314),(28 4263334.5),(29 4422321.5),(30 4465450.5),(31 4554539.5),(32 4650602.5),(33 4491008.5),(34 4164495),(35 4121699),(36 4068720.3),(37 4072780),(38 4216132.5),(39 4324280.5),(40 4580057.5),(41 4883942.5),(42 5040901.5),(43 5256394.5),(44 5534176.5),(45 5610140),(46 5479949.5),(47 5334436.5),(48 5452216),(49 5721358.5),(50 6086722.5),(51 6397966),(52 6558872),(53 6556632),(54 6458177.5),(55 6456340),
(1 159985.7),(2 434179.75),(3 927290.94),(4 1463601),(5 1963925.9),(6 2379130.3),(7 2734036.3),(8 3394556.8),(9 3803914.3),(10 3998720.3),(11 3999639),(12 4351490.5),(13 4224604),(14 4341071.5),(15 4595074.5),(16 4800390),(17 4973593.5),(18 5157205.5),(19 5137473.5),(20 5305920.5),(21 5394922),(22 4929146),(23 4570781),(24 4382439.5),(25 4354160),(26 4491720.5),(27 4543352),(28 4817229.5),(29 5113882),(30 5031898.5),(31 5151602),(32 5265289.5),(33 5411804),(34 5635827),(35 5674393.5),(36 5281587.5),(37 5164457.5),(38 5046296.5),(39 5215454),(40 5294358),(41 5317208.5),(42 5419118.5),(43 5634582),(44 5840548),(45 5940171.5),(46 6013737.5),(47 5923502.5),(48 5831615.5),(49 5629086.5),(50 5575229),(51 5437772),(52 5244442),(53 5072125),(54 4904252.5),(55 4903270),
(1 186949.08),(2 536284.6),(3 1001632.06),(4 1459052.1),(5 1720249.1),(6 2023177.5),(7 2325858),(8 2621404.5),(9 2507220.8),(10 2579986),(11 2676961),(12 2829318.8),(13 2860586.5),(14 2940925.5),(15 3172157.8),(16 3275744.3),(17 3323570.5),(18 3574135.8),(19 4048451.8),(20 4328712.5),(21 4437489),(22 4483308),(23 4429028.5),(24 4332470.5),(25 4266026),(26 4136962.3),(27 3842360.8),(28 3793521.5),(29 3808396.8),(30 3614726),(31 3449470.5),(32 3205405.5),(33 3079010.5),(34 2900764.5),(35 2905192),(36 3145176.3),(37 3336559.3),(38 3414766.5),(39 3423008.3),(40 3449677),(41 3422550.8),(42 3337993.5),(43 3358692.8),(44 3228420.3),(45 3041053),(46 2941775),(47 2928427.8),(48 2944118),(49 2947118.8),(50 2973309),(51 3122453),(52 3092526.8),(53 3150594.5),(54 3238082.3),(55 3236367.3),
(1 141049.19),(2 307549.9),(3 553969.7),(4 872625.94),(5 1322543.1),(6 1554257.9),(7 1846617),(8 2024502.5),(9 2174337.5),(10 2173370.5),(11 2110294.3),(12 2203031.5),(13 2209175.5),(14 2433215),(15 2800246.8),(16 2846052.5),(17 2949594),(18 2806632.5),(19 2750849),(20 2781692.8),(21 2708501.3),(22 2576354.3),(23 2395114.3),(24 2531674.3),(25 2689793.8),(26 2828976.3),(27 2822379.8),(28 3095320),(29 3238614.3),(30 3123323.5),(31 3034826.8),(32 3045245.8),(33 3111200.5),(34 3085054.8),(35 2970058),(36 2798897.3),(37 2961216),(38 3172057.5),(39 3368139),(40 3412731.3),(41 3428652.8),(42 3372134.8),(43 3309444.3),(44 3294067.5),(45 3427319.8),(46 3514405.8),(47 3348251.5),(48 3298368.3),(49 3303692.5),(50 3238622.8),(51 3185157),(52 3186828.5),(53 3191273.3),(54 3136986.3),(55 3136321.8),
(1 173768.44),(2 341270.8),(3 612010.3),(4 930739.1),(5 1344385.8),(6 1647653.1),(7 1958702.3),(8 2432380),(9 2608645),(10 2764151),(11 3019989),(12 3244658.8),(13 3205701.3),(14 3130778.5),(15 3063216.5),(16 3020495),(17 2917902.3),(18 2696792),(19 2532723.8),(20 2452198.5),(21 2549038.8),(22 2618212.3),(23 2636170.5),(24 2613518.5),(25 2827556.8),(26 2761875.3),(27 2572941.8),(28 2313339.3),(29 2190413.8),(30 2108977.5),(31 2155811.8),(32 2083018.1),(33 1954203.1),(34 1912021.8),(35 2088304),(36 2248269.3),(37 2435801),(38 2560410.8),(39 2600494.8),(40 2687466.8),(41 2848296.5),(42 2965715.3),(43 2996191),(44 2938914.8),(45 2972088.8),(46 3033848),(47 3305175),(48 3217041.3),(49 3178905),(50 3173075.8),(51 3202007),(52 3181548.8),(53 3057739.8),(54 2937275),(55 2935514.8),
(1 137943.9),(2 389551.44),(3 709460.1),(4 997012.9),(5 1238055),(6 1335010.1),(7 1384507),(8 1477762.6),(9 1450596),(10 1379307.4),(11 1409928.6),(12 1461967.3),(13 1615132.1),(14 1684413.9),(15 1838588.9),(16 1951929.9),(17 1969846.1),(18 1936074.3),(19 1878393.5),(20 2065111.3),(21 2160449),(22 2166755.5),(23 2271132.5),(24 2129843),(25 2209386.3),(26 2243875.3),(27 2129981),(28 2075153.3),(29 1961483.5),(30 1745519),(31 1674168.5),(32 1691787.3),(33 1759008.3),(34 1910611.1),(35 2138190.8),(36 2186774.3),(37 2274481.5),(38 2202540.3),(39 2098121.5),(40 2124969.8),(41 2152942),(42 2140368.8),(43 2175530),(44 2272355),(45 2431594.5),(46 2560608.5),(47 2696439),(48 2710987.5),(49 2717535.5),(50 2662252.8),(51 2528169.5),(52 2438772.5),(53 2340617.5),(54 2393530.3),(55 2392449),
(1 166906.53),(2 305647.75),(3 524127.8),(4 809201.4),(5 1063164.8),(6 1143435.1),(7 1278484.5),(8 1336736.5),(9 1637073.5),(10 1649948.5),(11 1714740.1),(12 1818555.5),(13 1835352.5),(14 1770455.3),(15 1752806.1),(16 1783464.1),(17 1667800.3),(18 1627810),(19 1767022.4),(20 1918850.1),(21 2104102),(22 2103908),(23 2075467.4),(24 1875817.8),(25 1774869.9),(26 1694530.8),(27 1871476.4),(28 1910192.6),(29 1900693.9),(30 1896984.4),(31 1983618.5),(32 2079078),(33 1960787.1),(34 1838659),(35 1887775.3),(36 1984418.3),(37 2100576.3),(38 2112732),(39 2186395.8),(40 2165078.3),(41 2051642.1),(42 1970879.1),(43 1936280.4),(44 2062952.5),(45 2103095),(46 2086340.1),(47 2121613),(48 1996695.8),(49 1871718.4),(50 1848626.9),(51 1981247.1),(52 2009218.4),(53 2089051.1),(54 2201413.3),(55 2202767.8),
(1 182090.28),(2 440419.13),(3 817470.2),(4 955476.5),(5 1066201),(6 1079261.1),(7 1236758.4),(8 1319717.4),(9 1314556.6),(10 1336269.8),(11 1341692.5),(12 1409435.8),(13 1427858),(14 1613950.3),(15 1532763.1),(16 1494064.4),(17 1578809),(18 1714364.5),(19 1709258.3),(20 1736737.5),(21 1614157.8),(22 1590339.1),(23 1663173.8),(24 1580704.6),(25 1567428.9),(26 1607062.3),(27 1709945),(28 1767541.5),(29 1782861.8),(30 1770457.3),(31 1796900.6),(32 1800188),(33 1933151.9),(34 2001355.6),(35 2287571.8),(36 2419005.8),(37 2573525.3),(38 2409934.8),(39 2259976.8),(40 2085501.3),(41 2081945.3),(42 2005117.3),(43 2017453),(44 1899871.6),(45 1708366.4),(46 1608668.8),(47 1659956.3),(48 1720746),(49 1712702.1),(50 1773451.3),(51 1809947),(52 1908655.5),(53 1819038.3),(54 1620722.4),(55 1619819.9),
(1 133715.38),(2 431360.9),(3 753696.3),(4 878985.56),(5 960741.94),(6 1087296.4),(7 1160529.6),(8 1205957.8),(9 1058453),(10 1010203.56),(11 959702.8),(12 990754.6),(13 1004102.7),(14 1118650.6),(15 1119422.5),(16 1135743.4),(17 1136181),(18 1158689),(19 1095916.1),(20 1019315.25),(21 966064.2),(22 1023236.1),(23 1110749.8),(24 1146309.3),(25 1145707.8),(26 1097261),(27 1202714.3),(28 1247915.4),(29 1221429.9),(30 1228143.6),(31 1287675),(32 1250163.3),(33 1219125.1),(34 1228015.9),(35 1175124.8),(36 1159994.4),(37 1217432.1),(38 1348473.3),(39 1346441.9),(40 1321197.3),(41 1380780.4),(42 1484106.8),(43 1529993.9),(44 1415794.4),(45 1300354.1),(46 1231901),(47 1322598.8),(48 1314566.8),(49 1305736.3),(50 1349987.9),(51 1358109.5),(52 1322383.8),(53 1339681.3),(54 1306778.8),(55 1306147.6),
