1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2731.1494),(2 3440.8481),(3 5318.268),(4 5015.7896),(5 6093.5205),(6 5723.691),(7 6781.973),(8 6432.859),(9 7367.1216),(10 6928.9937),(11 7665.325),(12 7155.8604),(13 7930.9316),(14 7331.025),(15 8020.648),(16 7294.0664),(17 8037.4395),(18 7359.207),(19 8095.39),(20 7377.145),(21 8074.891),(22 7328.684),(23 8020.5176),(24 7301.053),(25 8150.618),(26 7572.641),(27 8524.586),(28 8116.291),(29 9029.156),(30 8843.335),(31 9944.822),(32 9640.245),(33 10782.954),(34 10691.997),(35 11906.33),(36 11724.804),(37 13028.758),(38 12806.812),(39 14100.301),(40 13848.956),(41 15012.541),(42 14872.513),(43 16075.737),(44 16009.519),(45 17367.73),(46 17326.33),(47 18567.164),(48 18554.975),(49 19773.709),(50 19626.9),(51 20864.373),(52 20754.54),(53 21940.47),(54 21660.021),(55 22632.8),(56 22340.602),(57 23435.363),(58 23000.355),(59 24132.646),(60 23703.326),(61 24756.201),(62 24447.682),(63 25628.375),(64 25167.344),(65 26202.207),(66 25787.076),(67 26640.723),(68 26103.498),(69 27022.387),(70 26468.088),(71 27337.543),(72 26730.732),(73 27639.434),(74 27008.385),(75 27855.168),(76 27331.88),(77 28252.887),(78 27580.633),(79 28336.086),
(1 2721.4038),(2 3270.7537),(3 5134.9946),(4 4812.1177),(5 5959.552),(6 5654.1187),(7 6693.1377),(8 6279.3013),(9 7286.0586),(10 6751.98),(11 7559.8086),(12 7018.5776),(13 7858.5054),(14 7219.0786),(15 8025.1943),(16 7288.8115),(17 8114.854),(18 7437.8774),(19 8173.3936),(20 7491.672),(21 8244.186),(22 7508.406),(23 8250.243),(24 7571.076),(25 8391.286),(26 7811.8403),(27 8730.282),(28 8226.335),(29 9274.627),(30 8934.767),(31 10102.438),(32 9835.897),(33 11103.948),(34 10906.711),(35 12145.359),(36 11900.881),(37 13186.498),(38 12952.54),(39 14224.164),(40 14003.547),(41 15363.628),(42 15279.069),(43 16688.852),(44 16627.266),(45 18099.51),(46 18066.592),(47 19508.943),(48 19335.693),(49 20617.299),(50 20409.314),(51 21739.604),(52 21506.45),(53 22731.912),(54 22433.705),(55 23574.574),(56 23343.03),(57 24535.29),(58 24199.188),(59 25298.818),(60 24971.744),(61 26062.854),(62 25716.428),(63 26922.445),(64 26510.346),(65 27554.857),(66 27111.938),(67 28127.898),(68 27704.52),(69 28679.52),(70 28214.988),(71 29058.826),(72 28437.063),(73 29477.309),(74 29004.002),(75 29942.682),(76 29313.088),(77 30122.023),(78 29551.656),(79 30413.777),
(1 2641.6228),(2 3263.7808),(3 5048.3286),(4 4760.147),(5 5838.2144),(6 5471.3555),(7 6521.8403),(8 6113.108),(9 7226.183),(10 6755.2847),(11 7593.528),(12 6995.008),(13 7798.6543),(14 7177.553),(15 7998.972),(16 7252.0435),(17 8040.1787),(18 7331.004),(19 8076.8867),(20 7372.265),(21 8116.7056),(22 7479.089),(23 8193.69),(24 7409.2344),(25 8228.42),(26 7741.4565),(27 8714.818),(28 8321.058),(29 9309.4375),(30 9034.689),(31 10178.25),(32 10018.329),(33 11266.073),(34 11135.94),(35 12338.394),(36 12110.7),(37 13296.883),(38 13219.058),(39 14595.279),(40 14465.448),(41 15908.603),(42 15901.309),(43 17270.758),(44 17246.031),(45 18741.299),(46 18791.434),(47 20263.854),(48 20189.867),(49 21452.602),(50 21304.24),(51 22590.615),(52 22334.258),(53 23519.125),(54 23236.844),(55 24292.947),(56 23994.143),(57 25112.96),(58 24908.912),(59 26028.738),(60 25708.607),(61 26851.006),(62 26646.594),(63 27695.262),(64 27340.172),(65 28370.055),(66 27935.115),(67 28847.596),(68 28365.234),(69 29342.04),(70 28979.998),(71 29938.367),(72 29416.844),(73 30413.545),(74 29910.795),(75 30808.863),(76 30194.475),(77 31042.22),(78 30441.838),(79 31269.555),
(1 2478.8765),(2 3200.8767),(3 4839.7817),(4 4631.9556),(5 5709.8237),(6 5457.161),(7 6450.9214),(8 6140.122),(9 7086.7124),(10 6624.311),(11 7333.081),(12 6872.8545),(13 7645.279),(14 7104.765),(15 7780.083),(16 7128.8936),(17 7824.015),(18 7227.4067),(19 7965.1475),(20 7361.6006),(21 8014.697),(22 7331.5874),(23 7957.8174),(24 7227.42),(25 7964.002),(26 7403.6216),(27 8310.994),(28 7798.739),(29 8693.327),(30 8394.346),(31 9508.501),(32 9269.39),(33 10443.591),(34 10277.516),(35 11381.48),(36 11117.058),(37 12207.741),(38 12082.276),(39 13255.692),(40 13139.131),(41 14446.033),(42 14373.63),(43 15690.345),(44 15705.956),(45 17058.164),(46 17053.252),(47 18285.426),(48 18268.664),(49 19450.12),(50 19304.143),(51 20543.893),(52 20166.145),(53 21270.396),(54 20971.281),(55 22017.756),(56 21690.982),(57 22689.684),(58 22363.486),(59 23434.59),(60 23239.764),(61 24312.314),(62 24146.729),(63 25061.148),(64 24783.332),(65 25620.828),(66 25247.617),(67 26142.787),(68 25757.506),(69 26599.967),(70 26211.758),(71 27103.87),(72 26632.938),(73 27379.701),(74 26835.326),(75 27584.555),(76 27020.797),(77 27655.37),(78 27056.227),(79 27770.432),
(1 2488.766),(2 3153.1692),(3 4845.056),(4 4642.019),(5 5639.871),(6 5263.24),(7 6182.3184),(8 5802.466),(9 6847.112),(10 6423.3),(11 7119.4106),(12 6555.344),(13 7416.7417),(14 6841.658),(15 7594.8584),(16 6849.644),(17 7654.6157),(18 7006.1406),(19 7857.6055),(20 7227.1113),(21 7900.426),(22 7131.1934),(23 7846.083),(24 7142.1616),(25 7970.904),(26 7435.7783),(27 8344.493),(28 7871.857),(29 8790.571),(30 8495.117),(31 9555.494),(32 9260.759),(33 10372.389),(34 9927.125),(35 11151.751),(36 10805.673),(37 11942.609),(38 11691.697),(39 12966.536),(40 12820.22),(41 14096.463),(42 13971.363),(43 15179.659),(44 15115.249),(45 16432.752),(46 16326.854),(47 17560.285),(48 17499.268),(49 18690.031),(50 18506.861),(51 19651.225),(52 19366.867),(53 20408.318),(54 19954.945),(55 20991.404),(56 20611.479),(57 21588.488),(58 21167.643),(59 22153.885),(60 21907.217),(61 22777.26),(62 22284.523),(63 23153.383),(64 22777.467),(65 23666.342),(66 23307.322),(67 24253.207),(68 23861.225),(69 24668.154),(70 24170.887),(71 24901.016),(72 24354.691),(73 25175.656),(74 24479.225),(75 25165.822),(76 24585.223),(77 25346.58),(78 24801.99),(79 25652.047),
(1 2427.3987),(2 3105.1614),(3 4702.6206),(4 4467.089),(5 5447.803),(6 5135.4185),(7 6079.656),(8 5668.3955),(9 6648.44),(10 6176.4985),(11 6881.8926),(12 6325.534),(13 7184.4805),(14 6761.938),(15 7514.789),(16 6847.915),(17 7545.8247),(18 6907.8877),(19 7652.208),(20 7035.767),(21 7786.325),(22 7124.1133),(23 7791.14),(24 7095.2217),(25 7793.158),(26 7286.624),(27 8199.896),(28 7785.8037),(29 8686.811),(30 8398.957),(31 9458.532),(32 9225.502),(33 10163.081),(34 10000.596),(35 11032.914),(36 10758.726),(37 11761.364),(38 11538.466),(39 12715.442),(40 12646.317),(41 13833.114),(42 13610.749),(43 14631.903),(44 14563.959),(45 15767.546),(46 15793.189),(47 16984.2),(48 16940.414),(49 17983.324),(50 17809.928),(51 18740.62),(52 18604.572),(53 19436.813),(54 19216.18),(55 20098.64),(56 19910.143),(57 20697.232),(58 20482.875),(59 21282.21),(60 20964.45),(61 21830.314),(62 21558.746),(63 22489.217),(64 22337.432),(65 23293.406),(66 23056.824),(67 23811.566),(68 23443.242),(69 24260.309),(70 23865.41),(71 24568.143),(72 24231.303),(73 24946.814),(74 24485.336),(75 25240.588),(76 24983.434),(77 25703.605),(78 25311.67),(79 25857.84),
(1 2515.0376),(2 3016.2607),(3 4690.994),(4 4330.2505),(5 5296.9497),(6 4926.5176),(7 5924.193),(8 5532.2754),(9 6486.299),(10 5971.9136),(11 6773.2476),(12 6305.6006),(13 7160.6484),(14 6661.6895),(15 7344.152),(16 6766.2305),(17 7424.137),(18 6761.375),(19 7469.0454),(20 6837.155),(21 7568.841),(22 6914.522),(23 7593.545),(24 6962.209),(25 7700.7876),(26 7293.2197),(27 8225.386),(28 7895.8696),(29 8796.45),(30 8578.87),(31 9698.051),(32 9450.222),(33 10417.889),(34 10254.275),(35 11221.234),(36 11048.96),(37 12108.84),(38 11945.836),(39 13192.179),(40 13239.334),(41 14420.878),(42 14422.266),(43 15530.623),(44 15506.358),(45 16750.047),(46 16862.146),(47 18079.852),(48 18175.7),(49 19279.713),(50 19204.063),(51 20261.723),(52 20203.896),(53 21132.111),(54 21009.646),(55 21970.074),(56 21718.543),(57 22599.748),(58 22381.457),(59 23247.24),(60 23074.959),(61 24002.27),(62 23767.639),(63 24647.588),(64 24364.53),(65 25247.584),(66 25022.314),(67 25766.354),(68 25463.037),(69 26299.31),(70 25861.34),(71 26768.04),(72 26361.236),(73 27108.06),(74 26744.344),(75 27656.781),(76 27329.828),(77 28140.344),(78 27839.607),(79 28567.168),
(1 2461.1733),(2 3030.1382),(3 4658.043),(4 4412.057),(5 5458.2725),(6 5144.8193),(7 6143.5923),(8 5794.964),(9 6717.124),(10 6113.899),(11 6788.2886),(12 6217.6675),(13 7010.9927),(14 6471.7456),(15 7195.7754),(16 6604.0063),(17 7295.4517),(18 6679.0757),(19 7310.6074),(20 6768.365),(21 7463.526),(22 6924.8267),(23 7593.086),(24 7035.6406),(25 7708.8706),(26 7270.756),(27 8262.481),(28 7890.7744),(29 8801.156),(30 8516.778),(31 9649.474),(32 9514.309),(33 10581.168),(34 10439.212),(35 11545.547),(36 11423.621),(37 12456.549),(38 12411.085),(39 13560.144),(40 13569.452),(41 14813.994),(42 14776.889),(43 15907.346),(44 15930.003),(45 17226.768),(46 17335.205),(47 18438.947),(48 18479.783),(49 19659.2),(50 19754.906),(51 20817.738),(52 20797.148),(53 21846.986),(54 21749.926),(55 22621.799),(56 22426.809),(57 23465.063),(58 23373.625),(59 24336.68),(60 24166.121),(61 25113.96),(62 24928.535),(63 25830.852),(64 25522.525),(65 26427.494),(66 26091.855),(67 27028.295),(68 26793.617),(69 27774.203),(70 27427.186),(71 28265.393),(72 27927.182),(73 28766.984),(74 28345.602),(75 29220.197),(76 28724.246),(77 29525.875),(78 29053.295),(79 29615.572),
(1 2367.6404),(2 2907.2883),(3 4459.6245),(4 4163.578),(5 5174.966),(6 4811.6206),(7 5812.4155),(8 5402.8774),(9 6251.7305),(10 5732.4873),(11 6404.679),(12 5942.6064),(13 6730.6445),(14 6284.095),(15 7024.342),(16 6420.9375),(17 7113.992),(18 6512.716),(19 7166.8765),(20 6583.6265),(21 7231.5063),(22 6634.327),(23 7210.3984),(24 6604.5454),(25 7227.16),(26 6696.3896),(27 7552.049),(28 7226.716),(29 8073.678),(30 7787.8823),(31 8881.201),(32 8647.132),(33 9600.905),(34 9328.88),(35 10380.652),(36 10050.803),(37 11030.077),(38 10842.271),(39 11953.604),(40 11818.36),(41 12978.148),(42 12761.611),(43 13859.396),(44 13783.071),(45 14999.684),(46 14815.42),(47 15932.569),(48 15736.107),(49 16847.508),(50 16613.936),(51 17634.217),(52 17331.12),(53 18369.19),(54 18058.582),(55 18966.145),(56 18619.69),(57 19588.908),(58 19191.914),(59 20251.5),(60 19874.63),(61 20845.783),(62 20446.865),(63 21356.6),(64 20890.25),(65 21793.81),(66 21397.578),(67 22321.064),(68 21819.494),(69 22791.64),(70 22270.824),(71 23067.047),(72 22654.004),(73 23548.275),(74 23104.271),(75 24071.648),(76 23532.69),(77 24262.037),(78 23650.166),(79 24353.396),
(1 2366.9849),(2 2825.7202),(3 4422.5127),(4 4121.0195),(5 5229.309),(6 4848.3774),(7 5866.2124),(8 5449.1494),(9 6342.2886),(10 5716.079),(11 6413.095),(12 5850.0176),(13 6641.551),(14 6117.718),(15 6891.9985),(16 6371.058),(17 7035.161),(18 6415.763),(19 7103.0386),(20 6522.4043),(21 7139.4683),(22 6507.4907),(23 7178.7456),(24 6581.1606),(25 7343.3564),(26 6855.1016),(27 7759.5503),(28 7256.331),(29 8077.0635),(30 7657.393),(31 8724.259),(32 8466.388),(33 9478.675),(34 9161.9),(35 10264.984),(36 9963.078),(37 11009.94),(38 10785.151),(39 11952.475),(40 11698.018),(41 12940.984),(42 12693.935),(43 13880.322),(44 13653.256),(45 14924.299),(46 14792.527),(47 15933.371),(48 15784.737),(49 17008.72),(50 16769.205),(51 17903.795),(52 17632.594),(53 18640.857),(54 18284.566),(55 19295.932),(56 18956.049),(57 19910.803),(58 19637.182),(59 20589.822),(60 20253.498),(61 21242.924),(62 20891.186),(63 21868.574),(64 21488.227),(65 22513.346),(66 22067.252),(67 22905.14),(68 22316.496),(69 23067.387),(70 22496.666),(71 23314.861),(72 22686.482),(73 23481.547),(74 22857.139),(75 23588.113),(76 23024.957),(77 23877.533),(78 23209.719),(79 23934),
(1 2271.318),(2 2742.653),(3 4201.725),(4 3884.5134),(5 4885.7036),(6 4510.216),(7 5444.2686),(8 5047.0337),(9 5873.138),(10 5338.1045),(11 6072.845),(12 5535.2866),(13 6351.0513),(14 5850.219),(15 6575.636),(16 6018.4624),(17 6674.262),(18 6063.901),(19 6690.775),(20 6146.672),(21 6894.044),(22 6356.1294),(23 7018.606),(24 6403.3345),(25 7170.9985),(26 6710.4106),(27 7634.9785),(28 7182.642),(29 7930.8975),(30 7577.8813),(31 8649.01),(32 8342.306),(33 9310.11),(34 9053.56),(35 10101.943),(36 9794.296),(37 10922.459),(38 10784.004),(39 12008.023),(40 11859.931),(41 12956.558),(42 12710.562),(43 13768.203),(44 13605.397),(45 14772.011),(46 14592.063),(47 15703.397),(48 15455.972),(49 16538.373),(50 16202.954),(51 17396.273),(52 17185.58),(53 18187.592),(54 17719.256),(55 18707.813),(56 18393.27),(57 19342.375),(58 19016.576),(59 19980.068),(60 19730.89),(61 20761.65),(62 20365.508),(63 21255.115),(64 20916.846),(65 21820.361),(66 21499.36),(67 22399.92),(68 21989.129),(69 22826.285),(70 22354.42),(71 23327.096),(72 22865.744),(73 23637.975),(74 23029.756),(75 23751.344),(76 23134.195),(77 23961.875),(78 23333.797),(79 24041.354),
(1 2211.649),(2 2723.3655),(3 4144.589),(4 3914.0862),(5 4934.6885),(6 4547.802),(7 5455.4897),(8 5080.505),(9 5999.367),(10 5463.1484),(11 6194.124),(12 5662.5654),(13 6486.1846),(14 5991.799),(15 6698.8364),(16 6060.768),(17 6753.3286),(18 6160.669),(19 6791.515),(20 6213.3135),(21 6849.708),(22 6254.249),(23 6912.464),(24 6303.406),(25 7013.089),(26 6556.3975),(27 7447.5645),(28 7005.5386),(29 7768.4365),(30 7454.8535),(31 8459.169),(32 8229.319),(33 9199.03),(34 8920.662),(35 9918.261),(36 9563.186),(37 10565.245),(38 10385.249),(39 11516),(40 11299.505),(41 12349.989),(42 12149.676),(43 13282.131),(44 13177.605),(45 14278.403),(46 14120.355),(47 15164.137),(48 14995.736),(49 15962.796),(50 15681.776),(51 16877.012),(52 16636.08),(53 17554.014),(54 17200.453),(55 18182.973),(56 17889.16),(57 18889.875),(58 18528.068),(59 19492.795),(60 19207.066),(61 20208.969),(62 19869.71),(63 20826.42),(64 20445.115),(65 21256.123),(66 20840.734),(67 21725.773),(68 21414.33),(69 22330.627),(70 21968.33),(71 22889.6),(72 22393.834),(73 23105.986),(74 22554.734),(75 23273.467),(76 22758.598),(77 23581.195),(78 23089.117),(79 23822.77),
(1 2121.3965),(2 2566.4705),(3 3944.3684),(4 3728.5266),(5 4722.9746),(6 4407.294),(7 5297.581),(8 4963.709),(9 5796.4893),(10 5243.268),(11 5959.116),(12 5438.346),(13 6203.1147),(14 5722.8047),(15 6443.0386),(16 5868.3286),(17 6536.964),(18 5929.549),(19 6619.2925),(20 6013.51),(21 6740.757),(22 6155.9097),(23 6779.6177),(24 6159.651),(25 6943.6084),(26 6423.5693),(27 7396.542),(28 6998.5405),(29 7746.9683),(30 7335.4985),(31 8399.651),(32 8124.749),(33 9014.393),(34 8703.803),(35 9628.926),(36 9350.131),(37 10349.29),(38 10172.484),(39 11291.565),(40 11108.164),(41 12218.586),(42 12038.301),(43 13070.113),(44 13034.968),(45 14165.055),(46 14096.437),(47 15170.606),(48 14971.475),(49 15947.506),(50 15647.091),(51 16803.16),(52 16657.74),(53 17583.744),(54 17331.203),(55 18319.08),(56 18062.795),(57 18882.813),(58 18526.363),(59 19435.195),(60 19194.568),(61 20187.018),(62 19924.703),(63 20859.537),(64 20476.102),(65 21216.615),(66 20877.271),(67 21663.121),(68 21400.303),(69 22232.234),(70 21980.385),(71 22922.979),(72 22549.29),(73 23121.18),(74 22661.408),(75 23403.982),(76 22875.861),(77 23462.79),(78 22985.127),(79 23801.543),
(1 2135.7056),(2 2626.1096),(3 3971.4832),(4 3732.868),(5 4699.5166),(6 4396.3647),(7 5248.036),(8 4909.9995),(9 5737.5913),(10 5207.2324),(11 5938.9116),(12 5341.226),(13 6144.709),(14 5657.862),(15 6374.106),(16 5804.2085),(17 6541.594),(18 5945.3354),(19 6604.0854),(20 5968.9697),(21 6646.338),(22 6070.926),(23 6755.3677),(24 6123.1597),(25 6944.8),(26 6474.1973),(27 7402.6885),(28 7011.187),(29 7820.2),(30 7616.705),(31 8670.746),(32 8440.045),(33 9532.15),(34 9314.9375),(35 10402.381),(36 10137.738),(37 11129.522),(38 10992.7295),(39 12149.706),(40 12003.377),(41 13136.822),(42 12881.898),(43 14018.592),(44 13976.655),(45 15232.959),(46 15237.554),(47 16345.027),(48 16157.7295),(49 17150.553),(50 16924.916),(51 18057.908),(52 17851.39),(53 18818.867),(54 18519.371),(55 19442.227),(56 19152.178),(57 20073.938),(58 19967.572),(59 21026.156),(60 20742.146),(61 21740.375),(62 21458.133),(63 22399.672),(64 22068.047),(65 22927.17),(66 22646.47),(67 23508.188),(68 23221.486),(69 24069.71),(70 23850.111),(71 24792.016),(72 24385.186),(73 25149.408),(74 24756.96),(75 25551.072),(76 25182.83),(77 25872.773),(78 25401.266),(79 26022.908),
(1 2105.1394),(2 2539.1387),(3 3881.4592),(4 3612.158),(5 4546.0146),(6 4211.557),(7 5130.0615),(8 4756.76),(9 5564.161),(10 4989.8506),(11 5707.3447),(12 5161.775),(13 5934.778),(14 5397.42),(15 6108.4165),(16 5492.131),(17 6162.5815),(18 5511.2573),(19 6158.7563),(20 5546.147),(21 6239.3545),(22 5637.5186),(23 6384.891),(24 5746.957),(25 6516.1025),(26 6013.6865),(27 6897.507),(28 6411.9287),(29 7186.945),(30 6929.0264),(31 8024.941),(32 7778.2773),(33 8802.872),(34 8597.851),(35 9584.694),(36 9314.51),(37 10407.195),(38 10245.008),(39 11309.45),(40 11207.412),(41 12253.491),(42 12115.49),(43 13138.836),(44 13055.758),(45 14191.94),(46 14139.227),(47 15175.289),(48 15029.071),(49 16018.863),(50 15832.139),(51 16974.254),(52 16778.02),(53 17539.342),(54 17249.281),(55 18173.555),(56 17965.65),(57 18893.232),(58 18776.715),(59 19761.215),(60 19485.072),(61 20342.684),(62 19967.717),(63 20801.516),(64 20449.184),(65 21284.799),(66 20945.088),(67 21716.457),(68 21425.516),(69 22294.9),(70 21983.803),(71 22825.213),(72 22407.785),(73 23090.506),(74 22739.102),(75 23609.273),(76 23086.984),(77 23708.854),(78 23314.47),(79 23924.828),
(1 2071.9697),(2 2464.3557),(3 3777.8596),(4 3470.5474),(5 4382.9487),(6 4050.2676),(7 4899.6924),(8 4485.0283),(9 5323.7886),(10 4811.024),(11 5559.6626),(12 5032.0854),(13 5763.107),(14 5248.996),(15 5979.3057),(16 5363.3086),(17 6028.815),(18 5405.16),(19 5982.5938),(20 5415.994),(21 6093.0977),(22 5538.633),(23 6170.7793),(24 5603.812),(25 6269.0405),(26 5808.102),(27 6638.19),(28 6306.116),(29 7057.5215),(30 6828.0947),(31 7821.605),(32 7547.3623),(33 8524.271),(34 8373.03),(35 9331.888),(36 9127.6875),(37 10090.516),(38 9951.134),(39 10983.532),(40 10850.172),(41 11970.198),(42 11836.469),(43 12943.924),(44 12918.787),(45 13966.3545),(46 13956.923),(47 14961.417),(48 14825.118),(49 15863.082),(50 15805.003),(51 16897.55),(52 16666.186),(53 17528.002),(54 17345.068),(55 18187.465),(56 17849.912),(57 18674.078),(58 18564.424),(59 19488.465),(60 19322.7),(61 20114.484),(62 19721.129),(63 20555.234),(64 20197.416),(65 21018.445),(66 20777.303),(67 21552.588),(68 21258.445),(69 22005.654),(70 21603.902),(71 22377.832),(72 21921.535),(73 22688.77),(74 22319.576),(75 23032.455),(76 22642.621),(77 23406.863),(78 22988.682),(79 23513.973),
(1 2021.6813),(2 2360.474),(3 3698.9695),(4 3418.5813),(5 4313.9014),(6 3981.3137),(7 4854.07),(8 4494.6924),(9 5347.146),(10 4846.8384),(11 5604.445),(12 5046.5957),(13 5801.6763),(14 5275.4355),(15 5948.5337),(16 5371.806),(17 6021.891),(18 5395.9873),(19 5943.3857),(20 5364.4473),(21 6039.3423),(22 5461.8623),(23 6090.3633),(24 5532.4277),(25 6232.0083),(26 5815.067),(27 6669.9385),(28 6325.7437),(29 7103.033),(30 6903.523),(31 7856.0215),(32 7599.3066),(33 8507.822),(34 8350.69),(35 9252.391),(36 9045.316),(37 10134.751),(38 10053.015),(39 11105.013),(40 10978.558),(41 12047.4),(42 11863.252),(43 12892.0625),(44 12828.771),(45 13911.17),(46 13864.396),(47 14875.864),(48 14671.945),(49 15746.962),(50 15619.504),(51 16575.23),(52 16322.645),(53 17224.283),(54 17009.078),(55 17870.041),(56 17625.385),(57 18347.168),(58 18140.467),(59 19006.13),(60 18702.695),(61 19491.121),(62 19152.4),(63 19935.193),(64 19602.516),(65 20382.408),(66 20098.016),(67 20886.324),(68 20473.664),(69 21312.75),(70 20939.238),(71 21800.396),(72 21431.012),(73 22164.795),(74 21715.922),(75 22438.87),(76 21950.502),(77 22574.064),(78 22070.283),(79 22673.791),
(1 1992.9082),(2 2362.9448),(3 3624.1663),(4 3399.4268),(5 4276.2964),(6 3919.2307),(7 4789.681),(8 4466.6094),(9 5303.1533),(10 4840.5347),(11 5554.5566),(12 5089.7114),(13 5818.7397),(14 5316.654),(15 5882.4004),(16 5324.808),(17 5945.4966),(18 5368.0225),(19 5887.166),(20 5306.528),(21 5905.449),(22 5445.0435),(23 6009.9365),(24 5483.3325),(25 6114.787),(26 5707.088),(27 6458.727),(28 6118.6357),(29 6904.2593),(30 6664.276),(31 7601.4927),(32 7360.606),(33 8364.732),(34 8234.9375),(35 9252.631),(36 9044.354),(37 10099.567),(38 10052.936),(39 11134.278),(40 11050.086),(41 12070.268),(42 11939.31),(43 13024.603),(44 12970.132),(45 14107.173),(46 14095.899),(47 15202.903),(48 15074.224),(49 16138.875),(50 16054.276),(51 17055.291),(52 16763.73),(53 17728.938),(54 17418.807),(55 18240.938),(56 17855.672),(57 18671.508),(58 18338.994),(59 19224.943),(60 18877.893),(61 19665.771),(62 19313.877),(63 20136.758),(64 19740.809),(65 20571.31),(66 20233.15),(67 20991.242),(68 20588.56),(69 21457.996),(70 21080.893),(71 21852.605),(72 21443.408),(73 22213.89),(74 21693.342),(75 22387.316),(76 21832.586),(77 22528.164),(78 22035.55),(79 22673.293),
