1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 24041.38),(2 43302.73),(3 48615.78),(4 47991.688),(5 49950.727),(6 50034.57),(7 49316.355),(8 49004.035),(9 50910.2),(10 53660.152),(11 53720.2),(12 53889.855),(13 53773.047),(14 53625.063),(15 55593.57),(16 56074.26),(17 55315.133),(18 55216.84),(19 56765.016),(20 57761.543),(21 57621.95),(22 58265.336),(23 58827.516),(24 59410.84),(25 60864.434),(26 61364.348),(27 61567.418),(28 64090.293),(29 66713.89),(30 65578.055),(31 65988.875),(32 68581.53),(33 70346.99),(34 70179.56),(35 72539.836),(36 75056.01),(37 76887.29),(38 77352.96),(39 78097.78),(40 78371.16),(41 80386.24),(42 81380.414),(43 81110.586),(44 82236.336),(45 82032.305),(46 83635.09),(47 83811.58),(48 82381.85),(49 79130.04),(50 79071.55),(51 80402.48),(52 79837.82),(53 79727.35),(54 79942.19),(55 79463.375),(56 76575.61),(57 74439.56),(58 74108.48),(59 74042.07),(60 72971.5),(61 71218.61),(62 71738.52),(63 71945.83),(64 71602.71),(65 72182.35),(66 71879.34),(67 71642.055),(68 72740.11),(69 71694.54),(70 71369.86),(71 71433.99),(72 71734.414),(73 72349.76),(74 71535.234),(75 71912.77),(76 72185.26),(77 71273.72),(78 72053.03),(79 73306.24),
(1 22445.664),(2 39981.813),(3 44849.49),(4 45102.813),(5 47000.063),(6 47312.84),(7 46934.31),(8 47385.38),(9 49622.242),(10 50350.715),(11 50268.195),(12 51838.64),(13 52430.117),(14 52113.664),(15 52894.676),(16 53953.344),(17 54359.55),(18 53872.273),(19 54532.793),(20 54671.598),(21 54192.63),(22 55289.273),(23 56653.336),(24 57802.58),(25 58322.797),(26 57941.285),(27 59134.793),(28 62229.816),(29 63906.46),(30 63670.188),(31 63697.75),(32 64549.367),(33 65713.06),(34 66895.73),(35 69258.44),(36 71382),(37 72152.37),(38 72718.88),(39 74251.21),(40 75293.42),(41 76051.52),(42 77156.664),(43 76988.62),(44 77576.79),(45 77416.68),(46 78888.59),(47 78650.086),(48 77731.81),(49 75512.37),(50 75374.43),(51 75620.734),(52 74495.586),(53 75014.81),(54 75987.33),(55 75019.766),(56 72839.8),(57 72312.55),(58 72933.26),(59 71424.336),(60 69307.484),(61 68456.02),(62 69769.35),(63 69656.78),(64 70454.59),(65 70446.34),(66 69498.914),(67 69356.43),(68 70194.84),(69 70159.11),(70 70133.31),(71 70889.72),(72 70328.61),(73 70751.625),(74 71099.03),(75 71956.016),(76 73611.69),(77 73010.59),(78 72607.43),(79 72177.55),
(1 22992.197),(2 40746.152),(3 45923.066),(4 45641.188),(5 46703.516),(6 46399.6),(7 45926.91),(8 46023.83),(9 48140.67),(10 49215.664),(11 49324.152),(12 50094.75),(13 50785.207),(14 50493.105),(15 50526.23),(16 50456.617),(17 51226.61),(18 52632.14),(19 52343.77),(20 52362.9),(21 51543.188),(22 53801.527),(23 55294.586),(24 56269.457),(25 58364.055),(26 58917.715),(27 59692.63),(28 61484.953),(29 62725.945),(30 62780.45),(31 63896.887),(32 65418.797),(33 67252.28),(34 68458.82),(35 70821.74),(36 71753.34),(37 70729.93),(38 71588.15),(39 74267.53),(40 75648.625),(41 77023.71),(42 77421.305),(43 74671.59),(44 75570.19),(45 76367.8),(46 77874.44),(47 76146.32),(48 74497.84),(49 73814.79),(50 73878.766),(51 73656.64),(52 72647.16),(53 73233.97),(54 72605.375),(55 72212.766),(56 71240.305),(57 70944.664),(58 70603.56),(59 69330.94),(60 68477.81),(61 67702.84),(62 68456.18),(63 67645.98),(64 68544.164),(65 68693.07),(66 68563.82),(67 67337.79),(68 67048.45),(69 67960.74),(70 67737.86),(71 67057.94),(72 67123.74),(73 67737.234),(74 67924.055),(75 68106.375),(76 68022.51),(77 67061.49),(78 67842.67),(79 68996.45),
(1 23112.035),(2 40550.332),(3 45195.49),(4 44765.29),(5 45516.94),(6 44867.676),(7 44776.17),(8 45875.082),(9 48511.953),(10 48819.17),(11 48863.15),(12 49024.35),(13 47772.637),(14 47565.82),(15 49378.082),(16 49516.793),(17 49368.266),(18 49460.918),(19 50185.746),(20 51834.22),(21 52525.902),(22 53792.254),(23 54303.133),(24 55050.887),(25 56594.16),(26 57900.77),(27 58041.168),(28 58512.54),(29 60700.973),(30 62557.62),(31 64357.84),(32 64192.914),(33 65237.668),(34 67249.7),(35 68987.73),(36 69243.664),(37 68771.88),(38 70071.12),(39 72245.75),(40 72867.96),(41 74229.38),(42 75021.914),(43 73140.39),(44 72853.64),(45 73894.39),(46 75991.17),(47 74894.64),(48 72940.52),(49 73004.695),(50 73067.27),(51 72916.79),(52 72500.26),(53 73279.625),(54 72076.734),(55 69896.56),(56 67778.12),(57 68840.29),(58 69250.164),(59 69048.78),(60 68687.42),(61 67493.68),(62 67830.08),(63 67982.18),(64 68418.64),(65 67559.805),(66 67181.13),(67 66317.664),(68 65682.88),(69 66065.98),(70 66216.12),(71 65138.73),(72 64653.668),(73 66023.336),(74 66070.016),(75 66607.336),(76 68551.68),(77 69404.695),(78 70751.36),(79 70369.12),
(1 23814.133),(2 42626.23),(3 46736.555),(4 44718.387),(5 44755.953),(6 43987.105),(7 43834.68),(8 45268.56),(9 48441.914),(10 49555.15),(11 48194.305),(12 47609.33),(13 47177.496),(14 47440.066),(15 49216.92),(16 49818.582),(17 49417.88),(18 49001.125),(19 48766.73),(20 50407.816),(21 51742.508),(22 52519.406),(23 53411.91),(24 54536.594),(25 56911.656),(26 57924.137),(27 57871.547),(28 59084.38),(29 60341.875),(30 60963.027),(31 62568.59),(32 64432.926),(33 66089.29),(34 67198.95),(35 67926.16),(36 68630.89),(37 69101.56),(38 70969.33),(39 73001.47),(40 73113.34),(41 74510.586),(42 77577.164),(43 77670.5),(44 78273.65),(45 77495.2),(46 77820.18),(47 77289.305),(48 76642.266),(49 75772.03),(50 76418.08),(51 76791.516),(52 76437.266),(53 75276.195),(54 72514.87),(55 70752.68),(56 70892.625),(57 72365.336),(58 71863.266),(59 70484.87),(60 70123.51),(61 70085.71),(62 69746.16),(63 68592.94),(64 68894.65),(65 69092.47),(66 69117.914),(67 68962.734),(68 68262.445),(69 67899.6),(70 67742.46),(71 66266.03),(72 65171.56),(73 66525.055),(74 67769.71),(75 68756.58),(76 69929.79),(77 69963.6),(78 70227.195),(79 69584.72),
(1 22990.502),(2 41469.465),(3 46667.4),(4 45981.58),(5 45078.254),(6 43897.09),(7 44264.75),(8 46052.01),(9 47560.64),(10 47549.227),(11 47133.324),(12 47176.785),(13 47192.813),(14 46897.45),(15 48660.336),(16 49330.383),(17 49203.082),(18 49039.813),(19 48679.88),(20 50351.645),(21 50904.01),(22 52472.387),(23 53806.2),(24 54320.973),(25 56042.746),(26 56765.176),(27 57122.03),(28 57579.543),(29 59548.477),(30 61817.402),(31 63721.004),(32 64201.625),(33 65741.22),(34 67564.49),(35 68574.15),(36 68504.586),(37 69073.47),(38 70357.65),(39 72171.68),(40 72595.83),(41 73795.914),(42 74633.61),(43 74287.09),(44 75153.734),(45 74454.484),(46 73971.516),(47 74185.125),(48 74571.875),(49 73403.25),(50 71995.61),(51 71745.06),(52 71820.836),(53 70515.39),(54 68036.58),(55 67826.31),(56 67310.5),(57 67569.875),(58 66782.266),(59 66947.28),(60 65595.05),(61 63328.97),(62 63556.813),(63 63473.164),(64 64301.176),(65 64082.28),(66 63743.297),(67 62367.36),(68 61707.23),(69 62022.637),(70 63357.734),(71 63731.734),(72 62093.938),(73 63030.773),(74 65070.824),(75 65760.59),(76 64993.223),(77 65178.707),(78 65496.39),(79 66352.22),
(1 22898.502),(2 41307.69),(3 45894.715),(4 45135.734),(5 44466.56),(6 42512.664),(7 42060.164),(8 44174.242),(9 45930.934),(10 46555.625),(11 46132.086),(12 45961.23),(13 44992.758),(14 45302.742),(15 47275.195),(16 46529.414),(17 46166.36),(18 47010.613),(19 47677.54),(20 48077.355),(21 48108.973),(22 49906.055),(23 51631.09),(24 51801.055),(25 52788.145),(26 52601.1),(27 53124.938),(28 53551.742),(29 54062.58),(30 56206.58),(31 58795.86),(32 59710.324),(33 60648.137),(34 61563.668),(35 60982.68),(36 60910.754),(37 61689.64),(38 62278.4),(39 63621.824),(40 63644.395),(41 63756.445),(42 64094.848),(43 64777.19),(44 67303.38),(45 67445.07),(46 66225.445),(47 65009.406),(48 66648.98),(49 66722.73),(50 65844.95),(51 65200.9),(52 63397.707),(53 61843.805),(54 61569.684),(55 62222.945),(56 61668.105),(57 61350.684),(58 61200.887),(59 60733.074),(60 59356.438),(61 58896.258),(62 59392.047),(63 59227.41),(64 59808.68),(65 59502.414),(66 58030.977),(67 58549.797),(68 59335.086),(69 58604.523),(70 58527.375),(71 58804.465),(72 56720.41),(73 57037.69),(74 58669.797),(75 59682.383),(76 59878.69),(77 60093.848),(78 60794.973),(79 61824.9),
(1 21431.797),(2 38041.457),(3 43199.5),(4 42571.582),(5 42604.17),(6 41686.1),(7 41010.36),(8 42711.77),(9 44978.168),(10 45051.22),(11 45140.176),(12 45165.508),(13 44018.133),(14 43776.668),(15 44885.895),(16 45448.945),(17 46092.523),(18 46461.22),(19 46907.223),(20 47608.082),(21 46440.67),(22 45967.938),(23 46455.14),(24 48054.23),(25 50710.297),(26 51319.652),(27 52284.81),(28 52532.18),(29 53194.53),(30 54547.063),(31 56768.324),(32 57585.543),(33 58513.418),(34 59523.34),(35 59269.414),(36 59620.133),(37 61953.77),(38 62914.508),(39 63127.82),(40 62824.492),(41 64101.53),(42 63966.62),(43 64700.207),(44 67023.85),(45 67122.19),(46 65650.24),(47 64526.56),(48 64915.4),(49 65133.598),(50 64539.855),(51 65207.29),(52 64153.094),(53 62420.906),(54 61714.152),(55 62033.65),(56 61902.05),(57 62543.207),(58 61703.547),(59 60300.3),(60 59664.1),(61 59590.91),(62 59348.96),(63 58175.465),(64 57683.426),(65 57425.12),(66 56661.805),(67 57006.004),(68 57584.727),(69 58209.33),(70 58741.33),(71 58507.535),(72 56940.664),(73 56844.543),(74 58632.207),(75 60046.402),(76 61756.855),(77 61508.01),(78 61342.563),(79 62241.418),
(1 21798.887),(2 38236),(3 42341.477),(4 41313.34),(5 40925.87),(6 40134.953),(7 41141.926),(8 43552.094),(9 45216.793),(10 44462.58),(11 43201.4),(12 43246.17),(13 42544.348),(14 41998.344),(15 44726.094),(16 46389.996),(17 46524.348),(18 46094.22),(19 46794.914),(20 47416.6),(21 47491.164),(22 47797.07),(23 48673.547),(24 51040.176),(25 52750.492),(26 51752.36),(27 51872.07),(28 51530.434),(29 53008.54),(30 53257.094),(31 55813.715),(32 56878.285),(33 56902.836),(34 57042.793),(35 57858.21),(36 58794.074),(37 60629.332),(38 60618.035),(39 60156.133),(40 59989.15),(41 60446.434),(42 60103.477),(43 60482.34),(44 62947.637),(45 63064.504),(46 63389.625),(47 62857.195),(48 61569.227),(49 62019.64),(50 61747.402),(51 62307.6),(52 61298.19),(53 60193.03),(54 60509.715),(55 60972.715),(56 59970.766),(57 59690.883),(58 58436.332),(59 57569.625),(60 58281.766),(61 59258.496),(62 59123.27),(63 58248.85),(64 57250.64),(65 56527.926),(66 55971.383),(67 55692.016),(68 56267.418),(69 57617.6),(70 57902.746),(71 57412.02),(72 56166.746),(73 56218.492),(74 56973.28),(75 57897.883),(76 59292.938),(77 59358.063),(78 59018.07),(79 59954.684),
(1 22666.234),(2 39133.65),(3 42624.98),(4 41142.32),(5 40815.766),(6 41012.21),(7 41684.86),(8 42849.586),(9 43280.766),(10 42927.82),(11 42823.867),(12 43883.094),(13 43528.258),(14 42454.51),(15 43866.008),(16 44181.742),(17 45247.883),(18 46231.688),(19 46812.082),(20 48471.895),(21 49060.49),(22 49391.22),(23 48851.258),(24 50029.04),(25 51922.547),(26 52592.656),(27 53648.023),(28 53847.914),(29 55016.797),(30 55759.125),(31 58268.492),(32 59839.93),(33 60364.492),(34 59477.633),(35 60715.703),(36 62741.703),(37 63656.36),(38 63329.023),(39 64466.195),(40 66002.32),(41 66021.57),(42 65196.082),(43 65858.37),(44 68520.836),(45 68687.29),(46 67290.336),(47 65613.48),(48 64935.613),(49 66398.734),(50 66299.836),(51 65286.34),(52 63958.305),(53 64883.77),(54 64349.53),(55 63623.63),(56 62107.676),(57 61644.19),(58 61510.113),(59 61126.277),(60 61646.574),(61 61883.82),(62 62180.195),(63 61756.4),(64 60626.66),(65 59262.086),(66 58570.273),(67 59166.383),(68 59722.754),(69 58838.785),(70 59442.47),(71 59878.477),(72 58494.523),(73 58630),(74 59767.906),(75 61491.04),(76 61382.367),(77 59853.49),(78 59410.914),(79 60234.137),
(1 21239.328),(2 36575.957),(3 40841.05),(4 39933.734),(5 38782.477),(6 38403.375),(7 38789.254),(8 39799.92),(9 40852.605),(10 40308.1),(11 40151.176),(12 41068.117),(13 40772.695),(14 40134.105),(15 42065.137),(16 43038.355),(17 42938.742),(18 42713.418),(19 43457.375),(20 45865.965),(21 46023.543),(22 46491.96),(23 47133.33),(24 46715.11),(25 47113.92),(26 47817.605),(27 50251.242),(28 51605.11),(29 52889.54),(30 53186.97),(31 54569.758),(32 55584.125),(33 56977.09),(34 57302.56),(35 57861.383),(36 58380.164),(37 59057.785),(38 59524.746),(39 61200.43),(40 62119.348),(41 62555.336),(42 61634.145),(43 62217.93),(44 64507.434),(45 64327.85),(46 64560.55),(47 63810.867),(48 63315.38),(49 64225.59),(50 64802.3),(51 62902.56),(52 62096.91),(53 62970.625),(54 62411.33),(55 61756.07),(56 59702.32),(57 58756.117),(58 59155.27),(59 59765.2),(60 60078.617),(61 59984.402),(62 60262.117),(63 59296.99),(64 58192.703),(65 56999.94),(66 56364.664),(67 56555.297),(68 57324.785),(69 57449.67),(70 56834.32),(71 56409.7),(72 55802.883),(73 56260.16),(74 56936.027),(75 56952.484),(76 56649.3),(77 56259.645),(78 56984.258),(79 57938.473),
(1 20798.992),(2 35187.914),(3 38524.465),(4 39196.27),(5 38653.223),(6 38331.516),(7 39733.707),(8 40489.44),(9 40634.027),(10 39847.53),(11 39745.793),(12 40439.316),(13 39770.664),(14 39484.188),(15 41446.723),(16 41721.973),(17 40715.945),(18 39866.37),(19 41059.387),(20 43122.152),(21 44122.855),(22 44347.27),(23 44040.113),(24 44025.152),(25 44827.902),(26 45574.547),(27 47077.758),(28 47061.066),(29 48830.293),(30 49653.773),(31 50734.145),(32 51348.703),(33 52887.35),(34 53927.293),(35 54885.703),(36 55034.844),(37 56367.766),(38 57089.773),(39 58450.63),(40 58818.836),(41 58445.06),(42 58136.777),(43 58975.87),(44 59607.55),(45 58845.86),(46 59309),(47 59769.11),(48 59200.2),(49 58301.836),(50 59043.098),(51 57971.59),(52 57730.758),(53 58007.074),(54 57807.54),(55 57214.207),(56 55108.844),(57 54484.2),(58 55379.156),(59 55835.363),(60 55631.54),(61 55266.68),(62 54384.14),(63 53819.395),(64 53932.96),(65 53320.875),(66 52922.45),(67 52810.934),(68 53261.715),(69 53866.293),(70 53182.67),(71 52276.043),(72 52783.293),(73 54034.984),(74 54293.152),(75 53503.875),(76 53305.61),(77 53762.746),(78 54119.906),(79 53788.53),
(1 19839.777),(2 32654.24),(3 35773.89),(4 36415.676),(5 35580.03),(6 35194.82),(7 36612.035),(8 37748.918),(9 37997.41),(10 37539.168),(11 37323.883),(12 38313.055),(13 38091.066),(14 38760.56),(15 39790.754),(16 38136.195),(17 37424.246),(18 37861.367),(19 39869.496),(20 41421.285),(21 41611.348),(22 42366.61),(23 42374.87),(24 42092.14),(25 42993.066),(26 45074.605),(27 46820.863),(28 47144.11),(29 48570.258),(30 49778.074),(31 51441.875),(32 51804.18),(33 53318.35),(34 54448.457),(35 56112.297),(36 56575.98),(37 58205.434),(38 59419.52),(39 60277.98),(40 60729.74),(41 60728.31),(42 61404.72),(43 61208.395),(44 61404.902),(45 62341.656),(46 62977.88),(47 61867.77),(48 61546.69),(49 61407.387),(50 61415.613),(51 59916.29),(52 59719.57),(53 60449.41),(54 59729.75),(55 59037.758),(56 57846.65),(57 57991.54),(58 58009.688),(59 57684.027),(60 57888.082),(61 57135.06),(62 56235.082),(63 55473.695),(64 56531.99),(65 56838.133),(66 56931.36),(67 55771.645),(68 55466.664),(69 56376.344),(70 56481.918),(71 55337.227),(72 54726.543),(73 56142.85),(74 56433.09),(75 56248.67),(76 55614.56),(77 55736.082),(78 56265.813),(79 56713.957),
(1 19684.12),(2 32714.297),(3 35921.81),(4 36433.727),(5 34040.45),(6 33258.066),(7 35401.137),(8 36461.297),(9 37359.953),(10 36993.137),(11 35964.887),(12 36846.977),(13 36382.5),(14 37838.156),(15 39299.258),(16 38272.895),(17 37328.75),(18 37001.652),(19 38893.76),(20 40463.74),(21 41072.324),(22 41887.598),(23 41754.035),(24 42348.613),(25 42800.86),(26 43176.145),(27 44914.473),(28 46443.785),(29 47503.184),(30 48419.02),(31 50507.95),(32 51118.94),(33 51737.7),(34 51907.625),(35 53665.824),(36 55430.168),(37 56472.496),(38 57054.402),(39 57315.23),(40 57431.16),(41 57958.184),(42 59189.953),(43 59182.137),(44 59755.457),(45 60075.8),(46 61542.094),(47 60499.535),(48 59322.66),(49 59448.19),(50 58554.316),(51 57466.887),(52 57225.24),(53 57121.395),(54 56189.137),(55 55878.715),(56 55049.113),(57 54738.25),(58 54097.457),(59 54245.996),(60 53989.094),(61 53985.137),(62 53636.99),(63 52145.426),(64 52624.22),(65 53130.293),(66 54168.813),(67 53144.844),(68 52967.3),(69 52616.64),(70 53167.87),(71 53011.184),(72 52762.535),(73 54019.574),(74 54135.297),(75 54376.69),(76 54482.8),(77 54438.01),(78 55315.203),(79 56097.83),
(1 19173.828),(2 31598.477),(3 33955.523),(4 34735.355),(5 34422.438),(6 33588.1),(7 34451.89),(8 34582.55),(9 35107.094),(10 35138.965),(11 35084.406),(12 35807.242),(13 35615.496),(14 36612.875),(15 37385.824),(16 36205.52),(17 36171.473),(18 36709.293),(19 37393.563),(20 38041.586),(21 39111.63),(22 39904.832),(23 40113.797),(24 41254.36),(25 41959.2),(26 42363.63),(27 44210.69),(28 45750.953),(29 46266.43),(30 47994.24),(31 50033.21),(32 50792.285),(33 51242.617),(34 51711.28),(35 53044.73),(36 54873.64),(37 56542.93),(38 56655.598),(39 56980.51),(40 57180.52),(41 57815.383),(42 59017.297),(43 58832.387),(44 59627.43),(45 59135.79),(46 59217.477),(47 58261.2),(48 58165.375),(49 57663.93),(50 57336.598),(51 56513.547),(52 55561.375),(53 54733.555),(54 54767.016),(55 55687.207),(56 54535.004),(57 52668.31),(58 52707.63),(59 52890.93),(60 52279.69),(61 51539.957),(62 51398.996),(63 50397.08),(64 50964.527),(65 51841.195),(66 52669.414),(67 52119.973),(68 51304.945),(69 50425.29),(70 51055.152),(71 52150.773),(72 51464.71),(73 51856.164),(74 51804.94),(75 52620.242),(76 53390.617),(77 53206.02),(78 53877.473),(79 54018.727),
(1 19589.777),(2 32492.295),(3 34985.53),(4 34812.777),(5 34365.22),(6 33173.234),(7 34592.305),(8 35940.51),(9 35820.62),(10 34501.94),(11 34814.95),(12 35302.637),(13 35564.766),(14 36828.48),(15 37957.117),(16 37155.426),(17 37148.31),(18 37104.52),(19 37564.17),(20 38669.332),(21 39254.85),(22 39979.332),(23 39492.84),(24 40643.2),(25 42185.344),(26 43172.785),(27 44510.57),(28 45722.375),(29 46932.75),(30 48302.03),(31 50227.86),(32 50927.508),(33 51394.504),(34 51953.465),(35 53424.41),(36 54818.47),(37 55170.55),(38 54826.344),(39 56635.367),(40 57412.273),(41 57497.453),(42 58907.117),(43 59235.57),(44 59505.797),(45 58578.83),(46 58661.97),(47 57863.32),(48 57600.32),(49 56029.957),(50 55585.754),(51 55714.06),(52 55026.133),(53 54482.395),(54 54827.344),(55 55408.35),(56 53564.453),(57 52348.26),(58 52411),(59 52538.098),(60 52016.047),(61 51698.336),(62 52513.316),(63 52020.49),(64 51769.395),(65 51097.387),(66 51053.53),(67 51199.727),(68 51642.99),(69 51186.563),(70 50899.844),(71 51422.656),(72 51117.42),(73 51648.29),(74 52117.867),(75 52506.48),(76 52710.973),(77 52301.305),(78 53062.2),(79 53716.96),
(1 19826.271),(2 32326.135),(3 34696.18),(4 34067.395),(5 33708.574),(6 32645.73),(7 33829.29),(8 35188.07),(9 34801.88),(10 34451.33),(11 35179.152),(12 35716.945),(13 36205.395),(14 36675.523),(15 37275.605),(16 35840.35),(17 36200.625),(18 37469.72),(19 37149.727),(20 37890.453),(21 38938.31),(22 39768.293),(23 40174.71),(24 40402.51),(25 41433.945),(26 42736.01),(27 44006.168),(28 44865.785),(29 46001.285),(30 48231.695),(31 48720.51),(32 48183.895),(33 49035.65),(34 49631.12),(35 50934.516),(36 52680.22),(37 53716.168),(38 54038.668),(39 55571.82),(40 55405.535),(41 55512.656),(42 56136.566),(43 55976.01),(44 57257.297),(45 56475.79),(46 56380.168),(47 56844.18),(48 56692.152),(49 56236.18),(50 55255.15),(51 54749.402),(52 53900.71),(53 53421.406),(54 53043.816),(55 52768.13),(56 52055.285),(57 51518.45),(58 51501.01),(59 51491.336),(60 51128.555),(61 50719.867),(62 50879.668),(63 51844.77),(64 52401.156),(65 51175.063),(66 50500.04),(67 50153.95),(68 50142.664),(69 49887.703),(70 50687.914),(71 51654.88),(72 51579.465),(73 51912.7),(74 51489.01),(75 51775.582),(76 52509.336),(77 52551.67),(78 52644.57),(79 52905.363),
(1 19061.22),(2 29998.637),(3 31447.855),(4 31844.738),(5 31311.863),(6 30136.613),(7 31990.986),(8 32566.941),(9 31644.93),(10 31683.713),(11 32711.162),(12 33287.94),(13 34019.11),(14 34907.18),(15 35478.92),(16 34218.38),(17 35036.14),(18 36264.39),(19 35901.145),(20 37035.56),(21 38043.21),(22 39429.79),(23 40559.367),(24 40624.09),(25 40624.58),(26 41317.402),(27 42815),(28 43676.91),(29 45494.594),(30 46678.57),(31 47152.16),(32 47903.137),(33 49420.85),(34 49473.324),(35 50513.15),(36 52544.39),(37 52839.844),(38 53242.824),(39 54089.055),(40 54220.727),(41 54803.53),(42 54814.72),(43 55664.516),(44 56869.78),(45 56188.98),(46 56106.09),(47 55622.14),(48 55273.484),(49 55260.566),(50 55071.293),(51 54549.016),(52 54404.863),(53 54774.58),(54 52825.387),(55 52763.55),(56 52259.863),(57 51674.92),(58 51341.33),(59 51060.496),(60 50061.42),(61 49142.28),(62 49375.457),(63 49947.32),(64 51012.008),(65 50540.992),(66 48972.824),(67 48026.098),(68 47847.09),(69 47608.266),(70 48114.063),(71 49166.363),(72 48054.51),(73 48258.613),(74 47987.92),(75 47858.04),(76 47945.574),(77 48088.86),(78 48649.16),(79 48949.24),
