1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 49470.547),(2 144475.8),(3 329417.97),(4 547652.94),(5 850134.25),(6 1157364.9),(7 1529665.6),(8 1892741),(9 2298644.8),(10 2665569),(11 3057845),(12 3374225.3),(13 3703409),(14 3990851.8),(15 4231795.5),(16 4451103.5),(17 4641723.5),(18 4808268.5),(19 4934020),(20 5041214.5),(21 5103789.5),(22 5146846.5),(23 5136983.5),(24 5105131),(25 5059790),(26 5014530.5),(27 4959732),(28 4899461.5),(29 4836817.5),(30 4777541.5),(31 4725573.5),(32 4705926.5),(33 4669383.5),(34 4674815.5),(35 4703534),(36 4773485.5),(37 4823805.5),(38 4902385.5),(39 5040376.5),(40 5182915.5),(41 5359357.5),(42 5494160.5),(43 5654634.5),(44 5790400),(45 5899238.5),(46 5950761.5),(47 5948384.5),(48 5899662.5),(49 5822810.5),(50 5715938.5),(51 5570357),(52 5426082.5),(53 5307277.5),(54 5173536.5),(55 5089050),(56 5033502),(57 5030702),(58 5022341.5),(59 5092028.5),(60 5165068.5),(61 5306651.5),(62 5413814.5),(63 5531692.5),(64 5639314.5),(65 5737485.5),(66 5800784),(67 5900372),(68 6004298),(69 6118827.5),(70 6253872),(71 6376897.5),(72 6507584),(73 6632100),(74 6743661.5),(75 6844048.5),(76 6937148),(77 7008367.5),(78 7070805.5),(79 7136726.5),
(1 21585.227),(2 77817.82),(3 167316.6),(4 290139.16),(5 435007.7),(6 604870.06),(7 790742.4),(8 998810.3),(9 1220196.9),(10 1453395.1),(11 1669443.6),(12 1871425.3),(13 2052728.8),(14 2237469.3),(15 2407957.3),(16 2577556.3),(17 2747145.3),(18 2904419),(19 3055814.5),(20 3191054.8),(21 3315365.3),(22 3415889.5),(23 3507964),(24 3578724.8),(25 3647768.8),(26 3735341.5),(27 3827506),(28 3915734.5),(29 4009509.5),(30 4110698.8),(31 4196697),(32 4294574.5),(33 4396864.5),(34 4500163),(35 4617889),(36 4735157),(37 4836846),(38 4964745),(39 5130820.5),(40 5314397.5),(41 5530351),(42 5743001.5),(43 5957009),(44 6175853),(45 6359568),(46 6496231.5),(47 6582801),(48 6615795),(49 6610389),(50 6590357),(51 6537208),(52 6501644),(53 6456415.5),(54 6436040),(55 6432603.5),(56 6461145),(57 6498260.5),(58 6552969),(59 6633432),(60 6685436.5),(61 6804045),(62 6911946.5),(63 7032795),(64 7148872),(65 7270373.5),(66 7391670.5),(67 7560685.5),(68 7736822.5),(69 7934878.5),(70 8143720),(71 8345876),(72 8558923),(73 8781992),(74 9007838),(75 9220093),(76 9430411),(77 9627980),(78 9809120),(79 9993619),
(1 22470.62),(2 83766.03),(3 186479.08),(4 332110.63),(5 508792.66),(6 722757.25),(7 970827.2),(8 1255971.6),(9 1581156),(10 1932205),(11 2278349.3),(12 2610751.8),(13 2916175.3),(14 3227912),(15 3531553.3),(16 3823123),(17 4129253.3),(18 4405461.5),(19 4685162),(20 4941682.5),(21 5185937.5),(22 5398687),(23 5616246),(24 5816612),(25 6019306.5),(26 6243016.5),(27 6461738),(28 6662128),(29 6859426),(30 7056257.5),(31 7226344.5),(32 7386840),(33 7541694.5),(34 7690508.5),(35 7832532),(36 7966317.5),(37 8074032),(38 8204720.5),(39 8345821.5),(40 8489931),(41 8662534),(42 8857741),(43 9066235),(44 9277469),(45 9490421),(46 9690586),(47 9893437),(48 10068019),(49 10226301),(50 10361583),(51 10513933),(52 10664561),(53 10804388),(54 10974904),(55 11152485),(56 11325955),(57 11482547),(58 11648192),(59 11801045),(60 11952859),(61 12086893),(62 12216416),(63 12354873),(64 12474977),(65 12623496),(66 12779165),(67 12965576),(68 13159128),(69 13367445),(70 13612731),(71 13882420),(72 14190751),(73 14533579),(74 14894757),(75 15267059),(76 15677088),(77 16116549),(78 16585213),(79 17093746),
(1 33036.516),(2 127687.555),(3 280422.53),(4 487345),(5 745660.7),(6 1047395.44),(7 1386531.5),(8 1761133.8),(9 2162153),(10 2585836.5),(11 3009521.8),(12 3423803.5),(13 3803025.8),(14 4182074.3),(15 4552882),(16 4891698.5),(17 5211498),(18 5494540),(19 5740547.5),(20 5954534.5),(21 6138349.5),(22 6304539),(23 6443041.5),(24 6550697.5),(25 6643430.5),(26 6713673),(27 6775722),(28 6811165.5),(29 6831602),(30 6842005.5),(31 6850026.5),(32 6851845.5),(33 6875745),(34 6906282.5),(35 6961719),(36 7036369.5),(37 7105466.5),(38 7202635.5),(39 7306176),(40 7421568.5),(41 7583722),(42 7749697),(43 7937728),(44 8112364.5),(45 8270139.5),(46 8409814),(47 8561288),(48 8728639),(49 8886504),(50 9052413),(51 9190524),(52 9332674),(53 9467332),(54 9603577),(55 9751124),(56 9879330),(57 9996866),(58 10110620),(59 10205854),(60 10305986),(61 10383296),(62 10436267),(63 10495836),(64 10545669),(65 10630281),(66 10742844),(67 10881090),(68 11036153),(69 11207600),(70 11388964),(71 11562748),(72 11731032),(73 11903220),(74 12073461),(75 12243285),(76 12417026),(77 12585476),(78 12747721),(79 12926898),
(1 28725.31),(2 108570.8),(3 239786.11),(4 413851),(5 630335),(6 883174.8),(7 1172944.6),(8 1501908.8),(9 1857294.8),(10 2235428.8),(11 2627693.5),(12 3020201.3),(13 3372000.8),(14 3766260.3),(15 4149977),(16 4522094),(17 4889870),(18 5227555.5),(19 5536464),(20 5805331.5),(21 6046528),(22 6270881.5),(23 6469499),(24 6634080),(25 6781766),(26 6892774),(27 6983147.5),(28 7048333),(29 7102662.5),(30 7131928.5),(31 7176244.5),(32 7205697.5),(33 7251722),(34 7319069),(35 7404699.5),(36 7511073.5),(37 7606755),(38 7763917),(39 7933107),(40 8143536),(41 8387680.5),(42 8646145),(43 8930060),(44 9221887),(45 9532096),(46 9862525),(47 10224502),(48 10578935),(49 10921619),(50 11251199),(51 11534568),(52 11798189),(53 12026137),(54 12231668),(55 12419828),(56 12587907),(57 12745078),(58 12881210),(59 12982775),(60 13085408),(61 13137072),(62 13159232),(63 13183055),(64 13212479),(65 13250657),(66 13302935),(67 13358028),(68 13416189),(69 13486868),(70 13564137),(71 13669553),(72 13783884),(73 13918618),(74 14097062),(75 14293239),(76 14489706),(77 14713799),(78 14968221),(79 15250993),
(1 25099.525),(2 95925.555),(3 212705.6),(4 371375.66),(5 564246.5),(6 796956.3),(7 1058397.3),(8 1345370.4),(9 1649031.4),(10 1972595.3),(11 2314046),(12 2669082.8),(13 2975507.8),(14 3338347.8),(15 3715432.8),(16 4086787.3),(17 4494502.5),(18 4872844.5),(19 5242314.5),(20 5571509),(21 5890785),(22 6190728),(23 6472912),(24 6727458.5),(25 6968264),(26 7166790.5),(27 7354205),(28 7520947),(29 7649243),(30 7761674.5),(31 7855075),(32 7931377.5),(33 7983787),(34 8034478.5),(35 8074906.5),(36 8117989),(37 8147894.5),(38 8195313),(39 8258749),(40 8352454.5),(41 8482730),(42 8649765),(43 8876901),(44 9139088),(45 9467045),(46 9840946),(47 10265843),(48 10714206),(49 11183317),(50 11646062),(51 12118310),(52 12597457),(53 13059724),(54 13547398),(55 14028691),(56 14506294),(57 14999390),(58 15470262),(59 15928477),(60 16332259),(61 16702136),(62 17038820),(63 17348836),(64 17636522),(65 17851222),(66 18057396),(67 18199830),(68 18326464),(69 18404370),(70 18476154),(71 18538822),(72 18617654),(73 18680116),(74 18775174),(75 18875614),(76 19018944),(77 19174184),(78 19348486),(79 19565488),
(1 25401.732),(2 94710.7),(3 204881.31),(4 345490.38),(5 513484.38),(6 701324.94),(7 899268.06),(8 1109326.1),(9 1328793.3),(10 1558255.9),(11 1780096.1),(12 2006209.8),(13 2208063),(14 2428084.3),(15 2647231.8),(16 2860748),(17 3078729.3),(18 3284496),(19 3481234.8),(20 3653545),(21 3802405),(22 3931945),(23 4052597.8),(24 4152690.5),(25 4259788.5),(26 4349821),(27 4438833),(28 4508948.5),(29 4565217),(30 4615245),(31 4659942),(32 4705052),(33 4751187),(34 4789323.5),(35 4837770),(36 4891005),(37 4952194.5),(38 5036888),(39 5150723.5),(40 5285669),(41 5451427.5),(42 5644285),(43 5883551),(44 6143485),(45 6440497),(46 6775774),(47 7133434),(48 7521257),(49 7935851.5),(50 8333207),(51 8722991),(52 9121516),(53 9519744),(54 9932094),(55 10340011),(56 10764306),(57 11180630),(58 11594155),(59 12001330),(60 12376228),(61 12737419),(62 13075663),(63 13393567),(64 13687648),(65 13954971),(66 14213424),(67 14418373),(68 14605906),(69 14760971),(70 14890953),(71 15023735),(72 15175334),(73 15321493),(74 15491738),(75 15652390),(76 15822810),(77 16007244),(78 16213273),(79 16446816),
(1 29520.426),(2 111386.17),(3 243208.94),(4 414712.7),(5 621668.94),(6 857654.1),(7 1112998.6),(8 1378718.5),(9 1656205.6),(10 1939913.1),(11 2223658.8),(12 2503799.3),(13 2749568.5),(14 3022464.3),(15 3286603.5),(16 3549968),(17 3813245.8),(18 4058628.5),(19 4281878.5),(20 4478551.5),(21 4653122.5),(22 4806285),(23 4945877),(24 5065675.5),(25 5189626.5),(26 5296951.5),(27 5405139),(28 5508299),(29 5607415),(30 5703146),(31 5792062.5),(32 5887883.5),(33 5988085.5),(34 6091565),(35 6201823),(36 6325111.5),(37 6414102.5),(38 6536835),(39 6673531.5),(40 6828020.5),(41 7005799.5),(42 7196669),(43 7426476.5),(44 7664228.5),(45 7921931.5),(46 8182535),(47 8459309),(48 8742028),(49 9046620),(50 9347971),(51 9636650),(52 9941813),(53 10252443),(54 10553943),(55 10852313),(56 11167615),(57 11488507),(58 11818986),(59 12150954),(60 12448589),(61 12777508),(62 13082238),(63 13381052),(64 13638785),(65 13870726),(66 14080911),(67 14259985),(68 14432444),(69 14583273),(70 14700987),(71 14816667),(72 14917950),(73 15028235),(74 15149673),(75 15282610),(76 15387936),(77 15508678),(78 15638266),(79 15769566),
(1 31241.275),(2 119573.76),(3 263844.63),(4 453392.88),(5 687255.06),(6 955385.3),(7 1252085.5),(8 1577127.4),(9 1920738.9),(10 2283477),(11 2656641.5),(12 3029375.8),(13 3374415.5),(14 3738727.5),(15 4100140.3),(16 4450211.5),(17 4790887.5),(18 5110811.5),(19 5406130),(20 5676482),(21 5930745.5),(22 6171674),(23 6388694.5),(24 6600701.5),(25 6807895.5),(26 7026597),(27 7242855.5),(28 7460135.5),(29 7676769),(30 7895090),(31 8121092),(32 8358718),(33 8599398),(34 8855627),(35 9126010),(36 9416785),(37 9685125),(38 9997824),(39 10322394),(40 10666371),(41 11012523),(42 11355522),(43 11712280),(44 12054577),(45 12397294),(46 12725144),(47 13035773),(48 13326030),(49 13602030),(50 13879712),(51 14135756),(52 14385037),(53 14619144),(54 14843670),(55 15068839),(56 15290996),(57 15504057),(58 15733874),(59 15956681),(60 16128984),(61 16330097),(62 16519317),(63 16718912),(64 16890032),(65 17053852),(66 17181814),(67 17309088),(68 17434584),(69 17555278),(70 17670346),(71 17790286),(72 17893330),(73 18019946),(74 18125572),(75 18253290),(76 18355400),(77 18466216),(78 18565196),(79 18650330),
(1 27298.97),(2 104112.09),(3 225856.14),(4 388336.16),(5 587091.7),(6 815967.94),(7 1065481.3),(8 1330250.3),(9 1607776.6),(10 1901930.5),(11 2210431.3),(12 2529141.8),(13 2809469.3),(14 3135003),(15 3463748),(16 3799913.8),(17 4133106.8),(18 4463824),(19 4789486),(20 5104683.5),(21 5413340.5),(22 5688450.5),(23 5938858.5),(24 6180527),(25 6388550),(26 6574000),(27 6744783.5),(28 6898292),(29 7049018),(30 7190769),(31 7330293.5),(32 7461706),(33 7590817),(34 7724524.5),(35 7861065),(36 7992050.5),(37 8092943),(38 8219649),(39 8355806),(40 8492948),(41 8625408),(42 8737618),(43 8861013),(44 8978802),(45 9097467),(46 9216368),(47 9350000),(48 9496505),(49 9665460),(50 9857388),(51 10064822),(52 10297995),(53 10547262),(54 10807371),(55 11084249),(56 11361178),(57 11639373),(58 11945294),(59 12250683),(60 12523184),(61 12833060),(62 13132331),(63 13433209),(64 13714304),(65 13993001),(66 14254336),(67 14513735),(68 14766819),(69 15005652),(70 15216782),(71 15411182),(72 15599616),(73 15794516),(74 15957280),(75 16116901),(76 16267369),(77 16415804),(78 16562708),(79 16702882),
(1 36582.844),(2 138332.13),(3 302904.28),(4 522185.25),(5 795467.1),(6 1113163.5),(7 1462683.6),(8 1838936.1),(9 2243726.3),(10 2676550.5),(11 3132159),(12 3595671.8),(13 4003828.8),(14 4463093.5),(15 4913452),(16 5356765),(17 5786782),(18 6196661.5),(19 6577211),(20 6936945),(21 7263367.5),(22 7543852),(23 7792531),(24 8006382),(25 8194225),(26 8343381.5),(27 8449546),(28 8522187),(29 8578298),(30 8602208),(31 8610620),(32 8591430),(33 8545689),(34 8490525),(35 8404100),(36 8305764.5),(37 8196724),(38 8070846),(39 7943490),(40 7815613.5),(41 7693638),(42 7583143.5),(43 7473632.5),(44 7382509),(45 7300270),(46 7235566),(47 7191124),(48 7183477.5),(49 7210075.5),(50 7268485),(51 7363202.5),(52 7495580),(53 7646658.5),(54 7822562),(55 8022310.5),(56 8239939),(57 8463716),(58 8692385),(59 8925323),(60 9157205),(61 9404828),(62 9658059),(63 9903763),(64 10159272),(65 10426616),(66 10697102),(67 10966519),(68 11228454),(69 11473869),(70 11692759),(71 11893623),(72 12069032),(73 12237094),(74 12364185),(75 12478479),(76 12567832),(77 12653448),(78 12738933),(79 12847832),
(1 29188.152),(2 108952.67),(3 237453.89),(4 406096.1),(5 616163.6),(6 857222.25),(7 1124802),(8 1415713.9),(9 1736718.4),(10 2071806.1),(11 2414335.8),(12 2770196.5),(13 3059910.3),(14 3392721.8),(15 3717653.5),(16 4037752.8),(17 4353009),(18 4652117),(19 4954936.5),(20 5252284),(21 5541040.5),(22 5810372),(23 6073491),(24 6331050.5),(25 6573449.5),(26 6785850.5),(27 6985078.5),(28 7152626),(29 7308949),(30 7432576),(31 7529362),(32 7601623.5),(33 7659294.5),(34 7711742.5),(35 7755767.5),(36 7793797.5),(37 7812063.5),(38 7854768.5),(39 7912415.5),(40 7979292),(41 8063873.5),(42 8159191),(43 8252025),(44 8359758),(45 8486923),(46 8618076),(47 8774638),(48 8958257),(49 9163442),(50 9396711),(51 9652028),(52 9927896),(53 10201124),(54 10476173),(55 10753929),(56 11032047),(57 11301301),(58 11552634),(59 11763395),(60 11960487),(61 12123133),(62 12257319),(63 12372575),(64 12477994),(65 12569341),(66 12630019),(67 12679627),(68 12712132),(69 12738980),(70 12748892),(71 12750908),(72 12754735),(73 12743271),(74 12708982),(75 12675007),(76 12637252),(77 12595142),(78 12529305),(79 12474681),
