1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 955162.5),(2 3034941.3),(3 5397896.5),(4 7492440),(5 9510604),(6 11478205),(7 13412725),(8 15755212),(9 18651786),(10 21898224),(11 25187232),(12 28175520),(13 31028950),(14 34167020),(15 37430052),(16 40223684),(17 43631070),(18 47325380),(19 50520156),(20 53647036),(21 55941332),(22 57420724),(23 58405772),(24 59564976),(25 60812540),(26 62050660),(27 62936160),(28 63746612),(29 64236244),(30 65365296),(31 66211410),(32 67376870),(33 68274570),(34 69564824),(35 69763770),(36 70352310),(37 70135200),(38 69629240),(39 69223040),(40 69536730),(41 70205976),(42 71032330),(43 72027816),(44 72363080),(45 73247090),(46 73611000),(47 74557080),(48 74425784),(49 73762130),(50 73045930),(51 73155720),(52 72704376),(53 71193000),(54 68826930),(55 66036172),(56 63665156),(57 61626656),(58 60117028),(59 58931468),(60 58195084),(61 57907630),(62 59292096),(63 60937330),(64 62474052),(65 63357360),(66 64013212),(67 64603188),(68 65508676),(69 66912260),(70 68692380),(71 70001576),(72 70827670),(73 71751020),(74 73676730),(75 76068136),(76 78310350),(77 80135070),(78 82177050),(79 83993210),
(1 991766.7),(2 3157838),(3 5526727),(4 7760206.5),(5 9990823),(6 11980066),(7 13665424),(8 15049947),(9 16823012),(10 19322910),(11 22049958),(12 24847468),(13 27642490),(14 30958122),(15 34944760),(16 38868788),(17 42963068),(18 47136104),(19 50801690),(20 54591000),(21 58450504),(22 62027610),(23 66066228),(24 69829910),(25 73902170),(26 78021310),(27 82227144),(28 85578060),(29 87808750),(30 88888690),(31 89580690),(32 89966720),(33 89804860),(34 89474180),(35 88456140),(36 86929090),(37 85129440),(38 82792696),(39 80196100),(40 77535570),(41 75090260),(42 72647310),(43 70648800),(44 68681360),(45 67223016),(46 65946348),(47 64723276),(48 63491110),(49 62486376),(50 61567732),(51 61411190),(52 60835092),(53 60149836),(54 58640256),(55 56910260),(56 55293812),(57 54233816),(58 53538668),(59 53966310),(60 54245250),(61 54303510),(62 54364990),(63 54174540),(64 53913664),(65 53271096),(66 52381452),(67 51412840),(68 50961844),(69 51060236),(70 51276680),(71 51209590),(72 51134584),(73 51824548),(74 52973976),(75 54198132),(76 55350744),(77 56435136),(78 57399064),(79 58453416),
(1 1739922.1),(2 5819243.5),(3 10691815),(4 15426897),(5 19965592),(6 24137320),(7 27702310),(8 30877194),(9 34314148),(10 37834860),(11 40367940),(12 42478164),(13 43353108),(14 43976136),(15 44378680),(16 44627184),(17 44985890),(18 45153440),(19 45315070),(20 45573550),(21 45822748),(22 46274292),(23 47001876),(24 48815252),(25 51448068),(26 54463244),(27 56818676),(28 58390240),(29 59191200),(30 59158756),(31 58432268),(32 57362148),(33 56083060),(34 55204948),(35 54802416),(36 53800244),(37 52695468),(38 51364930),(39 50309824),(40 48859508),(41 47340864),(42 46033284),(43 44880788),(44 43747812),(45 42708164),(46 41570020),(47 40078380),(48 38839764),(49 37838716),(50 37184460),(51 36981620),(52 37115172),(53 37694412),(54 37813148),(55 37226668),(56 36439156),(57 36074320),(58 35933650),(59 36420428),(60 37592644),(61 38896892),(62 40302188),(63 41493970),(64 42472532),(65 42985660),(66 43036484),(67 42970252),(68 43161476),(69 42853372),(70 42258228),(71 41770852),(72 41955756),(73 42880036),(74 44467684),(75 46172780),(76 47796480),(77 49390356),(78 50368180),(79 50858260),
(1 3194174.5),(2 11446534),(3 22423376),(4 33736540),(5 43791772),(6 51656510),(7 56879612),(8 59407824),(9 59297764),(10 57474290),(11 54649470),(12 51299396),(13 47720450),(14 44300276),(15 41180068),(16 39036068),(17 37487956),(18 36080890),(19 35257336),(20 35120944),(21 35947224),(22 38074036),(23 41216520),(24 45460196),(25 50570396),(26 55155830),(27 57680910),(28 57961456),(29 55969850),(30 51952304),(31 46843790),(32 42108144),(33 39200896),(34 39002396),(35 40159124),(36 43429668),(37 47689376),(38 52003612),(39 55066360),(40 56414336),(41 55917236),(42 53527120),(43 49822292),(44 45357896),(45 41396116),(46 37992156),(47 34982350),(48 33305814),(49 32785276),(50 33264252),(51 34292010),(52 35401936),(53 36505960),(54 37223264),(55 38083816),(56 39630436),(57 41201550),(58 42464016),(59 44431036),(60 46609548),(61 48542172),(62 49714156),(63 50146548),(64 49566784),(65 48252332),(66 46119052),(67 43569572),(68 41349104),(69 39142640),(70 37232350),(71 36525424),(72 36682900),(73 37746480),(74 39033550),(75 40192236),(76 40943212),(77 41333770),(78 41617456),(79 41720084),
(1 2712001),(2 9280960),(3 17239400),(4 24301964),(5 29274568),(6 32270240),(7 33222174),(8 32532480),(9 30708704),(10 28522028),(11 27120594),(12 26068322),(13 25723572),(14 25894808),(15 25995776),(16 25933742),(17 25306664),(18 23880936),(19 22571922),(20 21911610),(21 22099826),(22 23211982),(23 24890516),(24 27352408),(25 30045190),(26 32132666),(27 32778004),(28 32146234),(29 30538388),(30 28588172),(31 26909998),(32 26182976),(33 27126560),(34 29724916),(35 32158040),(36 35323428),(37 37514460),(38 38913956),(39 39111600),(40 38673360),(41 37511544),(42 35743464),(43 33616320),(44 31580450),(45 30033350),(46 29088588),(47 28611288),(48 28611800),(49 28954126),(50 29629410),(51 30139368),(52 30558188),(53 30874338),(54 31000826),(55 30939074),(56 31130062),(57 31234504),(58 31313954),(59 32105772),(60 33700892),(61 34898404),(62 35757976),(63 36639740),(64 37189468),(65 37527540),(66 37373148),(67 37106440),(68 36916744),(69 36721652),(70 36306052),(71 36243664),(72 36429160),(73 37037310),(74 37816536),(75 38543708),(76 39045824),(77 39370948),(78 39720756),(79 40084560),
(1 3889129.5),(2 13519269),(3 25214624),(4 35643916),(5 43043380),(6 46875212),(7 47527496),(8 45612108),(9 41985770),(10 37373616),(11 32757670),(12 28950838),(13 26335652),(14 25536314),(15 25832576),(16 26419772),(17 27365724),(18 28297332),(19 29723968),(20 31423206),(21 33535334),(22 36434700),(23 39334612),(24 41864756),(25 43505816),(26 43916556),(27 43039460),(28 40621210),(29 37506900),(30 33814380),(31 30789622),(32 29228276),(33 29533744),(34 31536742),(35 34301948),(36 37708212),(37 40920696),(38 43640600),(39 45194508),(40 45755310),(41 45074790),(42 43232790),(43 40798536),(44 38568372),(45 36883116),(46 35820790),(47 35390730),(48 35985104),(49 37584416),(50 39890530),(51 41746650),(52 42640172),(53 41939496),(54 40246580),(55 38240360),(56 35776132),(57 33902410),(58 32459814),(59 31748202),(60 31164598),(61 29739866),(62 28062732),(63 26708176),(64 26098422),(65 26478860),(66 27891322),(67 29991168),(68 32406742),(69 34680428),(70 36754036),(71 38087508),(72 38751830),(73 38695496),(74 38407744),(75 37636964),(76 35968876),(77 34040724),(78 32272250),(79 30885536),
(1 3537791.8),(2 11999920),(3 21626708),(4 29440046),(5 34963140),(6 38711940),(7 40846230),(8 41378830),(9 40461308),(10 38573224),(11 36527460),(12 35172924),(13 34793084),(14 34942176),(15 34965210),(16 34242544),(17 32933252),(18 31570206),(19 30676874),(20 29636822),(21 28768082),(22 28799860),(23 29402578),(24 30481032),(25 32305110),(26 34844436),(27 37466920),(28 39071824),(29 39265970),(30 37306230),(31 33841800),(32 30191570),(33 27645954),(34 27232392),(35 28157216),(36 30502610),(37 33664910),(38 36694350),(39 39083056),(40 41289304),(41 43079004),(42 43965880),(43 43452464),(44 42091630),(45 40373080),(46 38000184),(47 34954000),(48 32159660),(49 30505000),(50 30041378),(51 30638262),(52 31597596),(53 32616544),(54 33611644),(55 34710970),(56 35574616),(57 36315452),(58 36333170),(59 36150160),(60 35536220),(61 34092296),(62 31637656),(63 28989848),(64 26748978),(65 25283200),(66 24851562),(67 25085238),(68 26066478),(69 27588780),(70 29081756),(71 30438084),(72 31515916),(73 32102498),(74 32120898),(75 31781246),(76 31405330),(77 31040822),(78 30701888),(79 30859790),
(1 3657339),(2 11856461),(3 20219626),(4 26188284),(5 30365818),(6 33376964),(7 35283496),(8 35500164),(9 33863244),(10 31713362),(11 30770484),(12 31088226),(13 32613084),(14 34348670),(15 35496464),(16 35387604),(17 34509510),(18 32764968),(19 30648888),(20 28854954),(21 28380034),(22 29069894),(23 30358746),(24 31653418),(25 32518014),(26 32684552),(27 32423782),(28 31777324),(29 30472696),(30 28380876),(31 26072234),(32 24157128),(33 23301724),(34 23867742),(35 24659160),(36 26042112),(37 27115992),(38 27275048),(39 26865352),(40 26490360),(41 26453844),(42 26093884),(43 24853700),(44 23303328),(45 22203896),(46 21850054),(47 22084964),(48 22477978),(49 22507114),(50 22248366),(51 22389654),(52 22917354),(53 23716344),(54 24737124),(55 25607794),(56 26487878),(57 26924808),(58 26643656),(59 25774742),(60 24433438),(61 22885486),(62 21825038),(63 21333674),(64 21496780),(65 22419586),(66 23879082),(67 25096392),(68 25844424),(69 26152904),(70 25956702),(71 25771956),(72 25528682),(73 25063780),(74 24919334),(75 25257000),(76 26034078),(77 27056300),(78 28412604),(79 29831934),
(1 3666133.8),(2 11258875),(3 17695654),(4 21511288),(5 23301008),(6 23604212),(7 22987558),(8 22217570),(9 21351940),(10 20869188),(11 21096494),(12 22034074),(13 23729760),(14 25438576),(15 26565480),(16 27050998),(17 27049824),(18 26331050),(19 25236274),(20 24375210),(21 24118866),(22 24045706),(23 23624926),(24 23773118),(25 24170064),(26 24472618),(27 24470696),(28 24133200),(29 23855544),(30 23757422),(31 23349608),(32 22738608),(33 22313200),(34 22372606),(35 23048308),(36 23354614),(37 23204136),(38 22651224),(39 22614184),(40 22570188),(41 22099632),(42 21421726),(43 20500910),(44 19311496),(45 18337748),(46 18218486),(47 19022620),(48 19940488),(49 20139154),(50 19974068),(51 19929470),(52 19680624),(53 19008330),(54 18687576),(55 18711356),(56 18750638),(57 18872148),(58 19430180),(59 20083000),(60 20621182),(61 20644006),(62 20396818),(63 20225650),(64 20420138),(65 20682228),(66 20613044),(67 20034880),(68 19521306),(69 19466244),(70 19889446),(71 20606562),(72 21184244),(73 21567494),(74 22088542),(75 22512126),(76 22539568),(77 22566900),(78 22597916),(79 22168592),
(1 3141157.3),(2 8976094),(3 13211406),(4 15313177),(5 16479180),(6 17021558),(7 17225388),(8 17679832),(9 18081386),(10 18183864),(11 17867836),(12 17683030),(13 18260024),(14 19127636),(15 20314506),(16 21693052),(17 22395934),(18 21338904),(19 19361342),(20 17570812),(21 16915168),(22 17181846),(23 18033392),(24 19096804),(25 20017842),(26 20622962),(27 21053710),(28 21017238),(29 20482002),(30 19859060),(31 19066702),(32 18278816),(33 17804564),(34 17819016),(35 18321380),(36 18593834),(37 18574088),(38 18339246),(39 17963480),(40 16902254),(41 15435209),(42 14849862),(43 15397543),(44 16463655),(45 17862942),(46 19417560),(47 20444470),(48 20623446),(49 20191934),(50 19235410),(51 18077824),(52 16899862),(53 16112165),(54 16018917),(55 16193422),(56 16471122),(57 17189080),(58 18224498),(59 19249304),(60 19838312),(61 19541962),(62 18494760),(63 17200056),(64 16027989),(65 15262818),(66 14780574),(67 14565763),(68 15050251),(69 16086016),(70 17119608),(71 17805952),(72 17928262),(73 17677152),(74 17458382),(75 17059206),(76 16516752),(77 16040260),(78 15706855),(79 15247346),
(1 3606410),(2 10322508),(3 14953828),(4 16840018),(5 17210808),(6 16656019),(7 15651612),(8 15220386),(9 15600073),(10 15890150),(11 15111312),(12 14185043),(13 13898379),(14 14439452),(15 15688567),(16 17163276),(17 17982336),(18 17693456),(19 16511108),(20 15213854),(21 14630607),(22 14719896),(23 15073412),(24 15295666),(25 15510998),(26 16001528),(27 16253576),(28 15626899),(29 14622280),(30 14106311),(31 14106989),(32 14083206),(33 14088548),(34 14419185),(35 14762526),(36 15557752),(37 16056853),(38 16442150),(39 16600653),(40 16520218),(41 16342737),(42 16565865),(43 17088778),(44 17108378),(45 16997936),(46 17365566),(47 17610320),(48 17595360),(49 17462476),(50 17403682),(51 17209376),(52 16938534),(53 16519541),(54 15982643),(55 15430323),(56 14863147),(57 14635517),(58 14532075),(59 14424137),(60 14440037),(61 14401160),(62 14195069),(63 13994480),(64 14010360),(65 14377186),(66 14588996),(67 14336234),(68 14109254),(69 14144651),(70 14250972),(71 14148493),(72 13700908),(73 13163180),(74 12833020),(75 12626009),(76 12404629),(77 12162538),(78 12075380),(79 12036267),
