1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.0006556034),(2 2.7740328),(3 5.1532855),(4 5.974241),(5 5.9752564),(6 6.005999),(7 6.3200426),(8 6.501233),(9 6.504519),(10 6.2310424),(11 6.4645677),(12 6.6176114),(13 6.619074),(14 6.355747),(15 6.686736),(16 7.0662274),(17 7.0768595),(18 6.816451),(19 6.733209),(20 6.8569446),(21 6.857633),(22 6.709047),(23 6.6681185),(24 6.910954),(25 6.91271),(26 6.958519),(27 6.9891534),(28 7.1908226),(29 7.1892247),(30 6.771668),(31 6.8038483),(32 7.318246),(33 7.3178387),(34 7.010972),(35 7.0528903),(36 7.4300423),(37 7.4297113),(38 7.24719),(39 7.1096463),(40 7.2863827),(41 7.2886677),(42 7.0255337),(43 7.046246),(44 7.2866936),(45 7.2865314),(46 7.010931),
(1 0.00061135454),(2 2.3602066),(3 4.2155037),(4 4.9038396),(5 4.906683),(6 5.056405),(7 5.249685),(8 5.444628),(9 5.4452925),(10 5.1917896),(11 5.2388353),(12 5.430695),(13 5.4304423),(14 5.400569),(15 5.544509),(16 5.8189707),(17 5.823809),(18 5.552156),(19 5.56272),(20 5.6839485),(21 5.6816936),(22 5.5292354),(23 5.5490727),(24 5.827769),(25 5.823793),(26 5.6968083),(27 5.7207885),(28 5.9700294),(29 5.9695616),(30 5.6897383),(31 5.572307),(32 5.881216),(33 5.8797646),(34 5.720144),(35 5.758858),(36 6.085462),(37 6.0834723),(38 5.7771735),(39 5.9040337),(40 6.114427),(41 6.113422),(42 5.899384),(43 5.7744856),(44 6.037396),(45 6.034184),(46 5.79277),
(1 0.00052746886),(2 1.8573145),(3 3.2625456),(4 3.8449473),(5 3.8466222),(6 3.8153546),(7 3.9920082),(8 4.195849),(9 4.194223),(10 3.9484594),(11 4.0831866),(12 4.2504005),(13 4.2478166),(14 4.1240206),(15 4.0862894),(16 4.4202566),(17 4.422991),(18 4.2887034),(19 4.272675),(20 4.4474072),(21 4.4441385),(22 4.3032413),(23 4.1704297),(24 4.4126844),(25 4.410728),(26 4.421357),(27 4.4013915),(28 4.5703483),(29 4.5709186),(30 4.3159566),(31 4.3478084),(32 4.6101394),(33 4.612781),(34 4.354427),(35 4.409447),(36 4.7052803),(37 4.703261),(38 4.570004),(39 4.523679),(40 4.659791),(41 4.660842),(42 4.4016366),(43 4.3617706),(44 4.5990148),(45 4.596523),(46 4.447101),
(1 0.00045041784),(2 1.5661542),(3 2.7406635),(4 3.1629944),(5 3.165189),(6 3.205702),(7 3.2244878),(8 3.4169447),(9 3.419392),(10 3.1958861),(11 3.240917),(12 3.3507302),(13 3.3492515),(14 3.2670336),(15 3.2638755),(16 3.489324),(17 3.492455),(18 3.4270658),(19 3.396422),(20 3.501072),(21 3.4991353),(22 3.4480839),(23 3.3678741),(24 3.5925949),(25 3.592673),(26 3.4870324),(27 3.634892),(28 3.7216785),(29 3.722328),(30 3.535231),(31 3.4443796),(32 3.6596358),(33 3.6590497),(34 3.5465615),(35 3.6586933),(36 3.8397357),(37 3.8384883),(38 3.655915),(39 3.664341),(40 3.7949483),(41 3.7966795),(42 3.637476),(43 3.5475912),(44 3.7380998),(45 3.7373838),(46 3.5748193),
(1 0.00041595424),(2 1.3175114),(3 2.3339314),(4 2.6289985),(5 2.6280048),(6 2.6370614),(7 2.723856),(8 2.8476436),(9 2.850045),(10 2.6425183),(11 2.697173),(12 2.8303463),(13 2.826738),(14 2.7646422),(15 2.7536967),(16 2.958712),(17 2.958943),(18 2.9626858),(19 2.851925),(20 2.9415762),(21 2.9393837),(22 2.857597),(23 2.864092),(24 2.9742942),(25 2.974129),(26 2.8935337),(27 2.9240282),(28 3.1002946),(29 3.1003637),(30 2.897469),(31 2.869087),(32 3.0884268),(33 3.0886774),(34 2.952582),(35 2.9540653),(36 3.1787486),(37 3.1760352),(38 2.962769),(39 2.9617162),(40 3.1763859),(41 3.1777186),(42 3.0497444),(43 2.9157968),(44 3.0546367),(45 3.0508661),(46 2.927534),
(1 0.00040955056),(2 1.1752439),(3 2.1035519),(4 2.4241972),(5 2.422699),(6 2.4107172),(7 2.4473526),(8 2.6359282),(9 2.638504),(10 2.463016),(11 2.492337),(12 2.5971508),(13 2.5958965),(14 2.5093997),(15 2.4731514),(16 2.675024),(17 2.6733212),(18 2.610772),(19 2.5856586),(20 2.6969206),(21 2.6965892),(22 2.6106083),(23 2.569052),(24 2.7133937),(25 2.7105489),(26 2.6622674),(27 2.687591),(28 2.7996695),(29 2.800269),(30 2.6431246),(31 2.6203122),(32 2.849413),(33 2.8480616),(34 2.687693),(35 2.7602627),(36 2.9081597),(37 2.9065611),(38 2.7807472),(39 2.7708294),(40 2.8984253),(41 2.8973663),(42 2.7772038),(43 2.6425986),(44 2.7628903),(45 2.7589512),(46 2.639428),
(1 0.00038009352),(2 0.99168193),(3 1.7461506),(4 1.9480762),(5 1.9475309),(6 1.9722393),(7 2.016295),(8 2.128376),(9 2.1300862),(10 1.996271),(11 2.0042713),(12 2.087847),(13 2.088415),(14 2.0736797),(15 2.0320506),(16 2.2010272),(17 2.1999764),(18 2.144941),(19 2.12597),(20 2.1463864),(21 2.14552),(22 2.06838),(23 2.1422641),(24 2.2367966),(25 2.2358708),(26 2.166284),(27 2.1512902),(28 2.2970188),(29 2.2976208),(30 2.1654186),(31 2.1495936),(32 2.294705),(33 2.293695),(34 2.1909807),(35 2.2453454),(36 2.3836162),(37 2.3800173),(38 2.2608995),(39 2.2239757),(40 2.325286),(41 2.3251066),(42 2.263958),(43 2.1726265),(44 2.3119638),(45 2.3101993),(46 2.2029352),
(1 0.00035460314),(2 0.8527845),(3 1.4625907),(4 1.6347831),(5 1.6342622),(6 1.6575139),(7 1.6767154),(8 1.7453123),(9 1.7464765),(10 1.6621307),(11 1.6634346),(12 1.7487273),(13 1.750654),(14 1.7001778),(15 1.708582),(16 1.9031487),(17 1.9018335),(18 1.8345623),(19 1.7505748),(20 1.8336909),(21 1.8322896),(22 1.7570348),(23 1.7647904),(24 1.8263893),(25 1.8249148),(26 1.7785141),(27 1.8073151),(28 1.9181621),(29 1.9189767),(30 1.7838212),(31 1.7940757),(32 1.9077247),(33 1.9063646),(34 1.8039236),(35 1.859877),(36 1.920261),(37 1.9197997),(38 1.8232962),(39 1.8256114),(40 1.9179257),(41 1.9166306),(42 1.860984),(43 1.7939198),(44 1.8779199),(45 1.8760073),(46 1.797144),
(1 0.00033608178),(2 0.70409447),(3 1.2330512),(4 1.3797939),(5 1.3788042),(6 1.3703088),(7 1.3837746),(8 1.4412471),(9 1.4431164),(10 1.3996857),(11 1.3915113),(12 1.4682971),(13 1.4673791),(14 1.4331492),(15 1.405351),(16 1.5138223),(17 1.5140944),(18 1.4582809),(19 1.4498017),(20 1.497073),(21 1.4967349),(22 1.4486052),(23 1.4553051),(24 1.5250129),(25 1.5239892),(26 1.4939873),(27 1.5083803),(28 1.5736386),(29 1.5741413),(30 1.4745463),(31 1.4955442),(32 1.5742908),(33 1.5734327),(34 1.5277497),(35 1.5564924),(36 1.6188883),(37 1.6184055),(38 1.5553269),(39 1.5461682),(40 1.6287032),(41 1.6288735),(42 1.5658144),(43 1.5030488),(44 1.5700445),(45 1.5687417),(46 1.5030276),
(1 0.0003460329),(2 0.679786),(3 1.1172858),(4 1.255088),(5 1.254933),(6 1.2531341),(7 1.3065292),(8 1.3302197),(9 1.3300283),(10 1.2897193),(11 1.2812178),(12 1.3522633),(13 1.3514352),(14 1.2802519),(15 1.2944239),(16 1.3931797),(17 1.3917648),(18 1.3460084),(19 1.3139164),(20 1.3950834),(21 1.3939456),(22 1.3310202),(23 1.3262962),(24 1.3869673),(25 1.3856167),(26 1.3376435),(27 1.3655671),(28 1.432514),(29 1.4329965),(30 1.3465562),(31 1.3437574),(32 1.4142046),(33 1.4139038),(34 1.3608491),(35 1.4213583),(36 1.462816),(37 1.4620235),(38 1.3928124),(39 1.392083),(40 1.4388493),(41 1.4375443),(42 1.4016422),(43 1.3532494),(44 1.4201453),(45 1.4179337),(46 1.3650424),
