1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00015275979),(2 0.2507667),(3 0.4673911),(4 0.5129166),(5 0.5128008),(6 0.525266),(7 0.5501181),(8 0.5716685),(9 0.5715178),(10 0.5484887),(11 0.54633343),(12 0.5719763),(13 0.5714038),(14 0.5600107),(15 0.59464264),(16 0.65116656),(17 0.6504636),(18 0.6361178),(19 0.61715543),(20 0.6270781),(21 0.6265215),(22 0.6016083),(23 0.6003901),(24 0.6379347),(25 0.63781214),(26 0.62848634),(27 0.634922),(28 0.6718803),(29 0.67194426),(30 0.6438411),(31 0.6327612),(32 0.66206986),(33 0.66172934),(34 0.63839155),(35 0.6587739),(36 0.6893312),(37 0.68917453),(38 0.6693223),(39 0.6412769),(40 0.6650986),(41 0.66487306),(42 0.6433369),(43 0.633569),(44 0.6477892),(45 0.64694583),(46 0.63428915),
(1 0.00015673775),(2 0.22452171),(3 0.3986192),(4 0.44258738),(5 0.44237205),(6 0.45482025),(7 0.46351364),(8 0.4884647),(9 0.48838642),(10 0.46360505),(11 0.46877328),(12 0.49111536),(13 0.49132654),(14 0.49177316),(15 0.5099613),(16 0.55080485),(17 0.5500659),(18 0.5577154),(19 0.54068387),(20 0.55234414),(21 0.5522253),(22 0.53017056),(23 0.52163535),(24 0.54754823),(25 0.54742193),(26 0.53724843),(27 0.5426959),(28 0.5776293),(29 0.5776256),(30 0.5591951),(31 0.5497861),(32 0.5764966),(33 0.5760453),(34 0.5509763),(35 0.5722529),(36 0.5981815),(37 0.5982929),(38 0.574917),(39 0.5562297),(40 0.5771172),(41 0.576779),(42 0.56106806),(43 0.53977185),(44 0.5488359),(45 0.548599),(46 0.53489894),
(1 0.00013995229),(2 0.17193931),(3 0.30103192),(4 0.3370581),(5 0.33683103),(6 0.3529889),(7 0.35350022),(8 0.37252155),(9 0.37222782),(10 0.3547619),(11 0.36472443),(12 0.38366458),(13 0.38361657),(14 0.38231185),(15 0.39463708),(16 0.43354785),(17 0.43294263),(18 0.43439242),(19 0.42042002),(20 0.43445644),(21 0.43421072),(22 0.41350928),(23 0.40521666),(24 0.4308612),(25 0.43072653),(26 0.42228413),(27 0.43128827),(28 0.45509043),(29 0.4551188),(30 0.438785),(31 0.43757728),(32 0.44814107),(33 0.44784078),(34 0.4311711),(35 0.45347768),(36 0.469775),(37 0.46937793),(38 0.45682415),(39 0.43606836),(40 0.45245105),(41 0.45223665),(42 0.44297168),(43 0.4319461),(44 0.43703884),(45 0.43680373),(46 0.42875072),
(1 0.00012612405),(2 0.1341995),(3 0.22732595),(4 0.2580288),(5 0.25791743),(6 0.27015594),(7 0.2729457),(8 0.28828526),(9 0.2878898),(10 0.28082946),(11 0.28366423),(12 0.29655015),(13 0.29649574),(14 0.2985865),(15 0.30989432),(16 0.33873975),(17 0.33840713),(18 0.33398804),(19 0.325352),(20 0.33490995),(21 0.3346283),(22 0.31834465),(23 0.31605077),(24 0.33615577),(25 0.33615118),(26 0.32811254),(27 0.33517382),(28 0.3555301),(29 0.3556719),(30 0.3480046),(31 0.34191507),(32 0.3571868),(33 0.3568596),(34 0.33878547),(35 0.35909876),(36 0.36681524),(37 0.36629462),(38 0.35564843),(39 0.34566557),(40 0.36303458),(41 0.3628047),(42 0.35214713),(43 0.33633932),(44 0.3421113),(45 0.34192955),(46 0.33564767),
(1 0.00011239402),(2 0.10960345),(3 0.18247293),(4 0.213696),(5 0.2135446),(6 0.22025917),(7 0.21971858),(8 0.23306525),(9 0.23281589),(10 0.22789237),(11 0.2311617),(12 0.24307199),(13 0.24303897),(14 0.24385938),(15 0.26080382),(16 0.28033346),(17 0.2805147),(18 0.2828629),(19 0.27249646),(20 0.27926454),(21 0.27917477),(22 0.26417416),(23 0.26213655),(24 0.27537572),(25 0.27523935),(26 0.27471828),(27 0.2805768),(28 0.29328352),(29 0.29324442),(30 0.28946704),(31 0.2836961),(32 0.2903363),(33 0.29013202),(34 0.2810725),(35 0.29974928),(36 0.30626643),(37 0.3061179),(38 0.29295972),(39 0.286857),(40 0.29628426),(41 0.29613784),(42 0.28761092),(43 0.27918246),(44 0.2799277),(45 0.2796859),(46 0.2742663),
(1 0.000101604805),(2 0.09086858),(3 0.15298095),(4 0.1803004),(5 0.1801498),(6 0.18835893),(7 0.18591736),(8 0.19777548),(9 0.19720662),(10 0.19170082),(11 0.19727647),(12 0.20554155),(13 0.20559356),(14 0.20511796),(15 0.22059712),(16 0.23799247),(17 0.23789634),(18 0.23784587),(19 0.23521419),(20 0.23862408),(21 0.2384955),(22 0.22897258),(23 0.2236235),(24 0.23966892),(25 0.23939878),(26 0.23621336),(27 0.24090144),(28 0.2507322),(29 0.2505918),(30 0.24629338),(31 0.24423188),(32 0.2508034),(33 0.2506302),(34 0.24006766),(35 0.255356),(36 0.25993195),(37 0.25987035),(38 0.24812755),(39 0.24441384),(40 0.25528783),(41 0.2552913),(42 0.24814378),(43 0.24166054),(44 0.24328099),(45 0.24329033),(46 0.23795727),
(1 0.000102130216),(2 0.07832941),(3 0.13060378),(4 0.15286916),(5 0.15257366),(6 0.16077095),(7 0.1606458),(8 0.1697892),(9 0.1695639),(10 0.16723256),(11 0.17460805),(12 0.17758955),(13 0.17760792),(14 0.17709509),(15 0.19114567),(16 0.20846833),(17 0.20820458),(18 0.21051683),(19 0.20296918),(20 0.20660116),(21 0.20638661),(22 0.19778137),(23 0.19346742),(24 0.20715311),(25 0.20699643),(26 0.20429295),(27 0.20935532),(28 0.2177003),(29 0.21759926),(30 0.21419388),(31 0.21168636),(32 0.2171257),(33 0.21685724),(34 0.20954536),(35 0.22101404),(36 0.2291235),(37 0.22900246),(38 0.21986768),(39 0.21162884),(40 0.22315732),(41 0.22293627),(42 0.21644622),(43 0.20992021),(44 0.20913929),(45 0.2089817),(46 0.20721023),
(1 0.00010493693),(2 0.06639805),(3 0.114392914),(4 0.13344131),(5 0.13323994),(6 0.1385085),(7 0.1428994),(8 0.14942376),(9 0.14906505),(10 0.1451243),(11 0.1504106),(12 0.15435894),(13 0.15416376),(14 0.1562929),(15 0.16734606),(16 0.18356028),(17 0.1833415),(18 0.18729876),(19 0.18003021),(20 0.18008442),(21 0.17981301),(22 0.17358305),(23 0.17064264),(24 0.18184872),(25 0.18172245),(26 0.17966372),(27 0.18420835),(28 0.1922122),(29 0.19214974),(30 0.1889756),(31 0.18647334),(32 0.19282319),(33 0.192689),(34 0.18614365),(35 0.19610073),(36 0.2003534),(37 0.20013541),(38 0.1947907),(39 0.18754366),(40 0.19722487),(41 0.19688241),(42 0.19209456),(43 0.18469958),(44 0.18326035),(45 0.18303223),(46 0.18315941),
(1 0.00009823986),(2 0.057676345),(3 0.09881064),(4 0.11753447),(5 0.11740726),(6 0.122044496),(7 0.12592858),(8 0.13105603),(9 0.13090168),(10 0.12877595),(11 0.13214804),(12 0.13625501),(13 0.13607341),(14 0.13862106),(15 0.14959614),(16 0.16429926),(17 0.16413257),(18 0.16771984),(19 0.16035978),(20 0.16256271),(21 0.16242394),(22 0.15386534),(23 0.15340832),(24 0.16222888),(25 0.162122),(26 0.15990812),(27 0.16654077),(28 0.17449345),(29 0.17453472),(30 0.17014581),(31 0.16732912),(32 0.17092532),(33 0.1708236),(34 0.16630363),(35 0.17496634),(36 0.17891815),(37 0.1787578),(38 0.17301376),(39 0.16736369),(40 0.17227347),(41 0.17226997),(42 0.16920713),(43 0.1616307),(44 0.16111098),(45 0.1609544),(46 0.1617063),
(1 0.00009007252),(2 0.05094741),(3 0.08661504),(4 0.10334666),(5 0.10330758),(6 0.108871795),(7 0.111307524),(8 0.11744427),(9 0.117235646),(10 0.11211386),(11 0.11862858),(12 0.12179161),(13 0.12166048),(14 0.12316893),(15 0.13367234),(16 0.14600131),(17 0.14593281),(18 0.14876872),(19 0.14350677),(20 0.14457957),(21 0.14448404),(22 0.13790718),(23 0.13761027),(24 0.14422393),(25 0.14407286),(26 0.14152664),(27 0.14838088),(28 0.15473206),(29 0.15485409),(30 0.15391086),(31 0.15085562),(32 0.15535477),(33 0.15514903),(34 0.15071832),(35 0.15873885),(36 0.16228017),(37 0.16224486),(38 0.1570111),(39 0.15329543),(40 0.15702468),(41 0.15696663),(42 0.15368113),(43 0.1485347),(44 0.14509684),(45 0.14487627),(46 0.14567459),
