1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 220822.58),(2 801335.7),(3 1733058.4),(4 3036929.8),(5 4763243.5),(6 6957096.5),(7 9610703),(8 12863971),(9 16888876),(10 21707730),(11 27242646),(12 33458570),(13 40691076),(14 48663310),(15 57407310),(16 66765684),(17 77736350),(18 88541940),(19 99722310),(20 111372290),(21 123460904),(22 135612160),(23 147994960),(24 160462780),(25 172916460),(26 185672700),(27 198251060),(28 210081580),(29 221539660),(30 232496000),(31 242517460),(32 251065580),(33 259017730),(34 267291000),(35 273258100),(36 278418080),(37 282875800),(38 285790460),(39 288096260),(40 289531740),(41 290290020),(42 290265380),(43 290093150),(44 289214240),(45 288914600),(46 287292160),(47 285317980),(48 282889060),(49 281889820),(50 279469100),(51 276753440),(52 273776450),(53 270891230),(54 268003570),(55 265020540),(56 262360620),(57 259161810),(58 255884110),(59 251949520),(60 247744900),(61 243392340),(62 239521420),(63 236094420),(64 233043020),(65 230049730),(66 227174700),(67 226362500),(68 225080050),(69 224573680),(70 224283980),(71 224738050),(72 225658320),(73 227616140),(74 229736510),(75 232374350),(76 235300240),(77 238318420),(78 241943550),(79 245518930),
(1 400658.9),(2 1510890.4),(3 3290346),(4 5709350),(5 8659619),(6 12131774),(7 15988256),(8 20209646),(9 24641700),(10 29219782),(11 33900250),(12 38543160),(13 43260744),(14 47985708),(15 52648704),(16 57255930),(17 62030950),(18 66701772),(19 71366120),(20 76092820),(21 80791370),(22 85544910),(23 90454870),(24 95464210),(25 100319176),(26 105189150),(27 109862700),(28 114265740),(29 118364330),(30 122080744),(31 125287960),(32 128000150),(33 130255530),(34 131785240),(35 132875030),(36 132867816),(37 132320150),(38 130779900),(39 128555660),(40 126124980),(41 123583540),(42 120808270),(43 117970024),(44 114939900),(45 111999700),(46 108818860),(47 105708840),(48 102723150),(49 100675290),(50 98301784),(51 96190990),(52 94391220),(53 92987550),(54 91874320),(55 91251110),(56 90485920),(57 89959180),(58 89368930),(59 88639210),(60 87949460),(61 87466930),(62 86956400),(63 86436824),(64 85963310),(65 85726620),(66 85568080),(67 86070910),(68 86576770),(69 87467710),(70 88544400),(71 90168020),(72 92202840),(73 94769970),(74 97407540),(75 100360040),(76 103536696),(77 106998380),(78 110686160),(79 114574440),
(1 359483.63),(2 1373039.9),(3 3044240.3),(4 5339263.5),(5 8190981.5),(6 11546519),(7 15201645),(8 19098406),(9 22959946),(10 26693952),(11 30273690),(12 33544022),(13 36485308),(14 39130748),(15 41477844),(16 43503220),(17 45343710),(18 46944896),(19 48197556),(20 49050560),(21 49474724),(22 49466130),(23 49115788),(24 48367250),(25 47163310),(26 45664830),(27 43954084),(28 42051776),(29 40126516),(30 38285184),(31 36680844),(32 35354216),(33 34394564),(34 33625340),(35 33492650),(36 33255862),(37 33702584),(38 33870076),(39 34100110),(40 34590340),(41 35222016),(42 35938092),(43 36805164),(44 37735270),(45 38756880),(46 39843344),(47 40931520),(48 42086508),(49 44314760),(50 45853228),(51 47478784),(52 49083884),(53 50773390),(54 52493716),(55 54400110),(56 55944244),(57 57428430),(58 58402940),(59 58842544),(60 58980012),(61 59058572),(62 59040384),(63 59084524),(64 59138350),(65 59013668),(66 58835184),(67 59028244),(68 59110988),(69 59304404),(70 59395900),(71 59780850),(72 60355056),(73 61142900),(74 61924908),(75 62843904),(76 63801790),(77 64961012),(78 66195892),(79 67453304),
(1 405110),(2 1566288.6),(3 3430088.5),(4 5823114.5),(5 8583954),(6 11463193),(7 14250183),(8 16700972),(9 18620348),(10 19900136),(11 20624292),(12 20799016),(13 20505816),(14 19980252),(15 19421572),(16 18915250),(17 18605050),(18 18679382),(19 19031058),(20 19584942),(21 20274060),(22 20913390),(23 21436936),(24 21684188),(25 21507240),(26 21079488),(27 20336434),(28 19426586),(29 18583592),(30 17884784),(31 17478336),(32 17432256),(33 17687046),(34 18218030),(35 18703702),(36 19286878),(37 19895592),(38 20302268),(39 20549064),(40 20697014),(41 20702760),(42 20635704),(43 20403798),(44 20135370),(45 19939282),(46 19847172),(47 19849558),(48 19937000),(49 20417302),(50 20795592),(51 21254314),(52 21761696),(53 22356420),(54 23005792),(55 23746086),(56 24418504),(57 25037582),(58 25508882),(59 25918360),(60 26343978),(61 26912958),(62 27621458),(63 28339032),(64 29146306),(65 29871424),(66 30440242),(67 30927396),(68 31214378),(69 31411652),(70 31508494),(71 31586034),(72 31658140),(73 31852188),(74 31961198),(75 32209084),(76 32544732),(77 33145102),(78 34005980),(79 35210030),
(1 278895.75),(2 1045961.2),(3 2200568.5),(4 3592876.3),(5 5050578.5),(6 6454354),(7 7710327.5),(8 8727121),(9 9526021),(10 10138143),(11 10622823),(12 11029593),(13 11404035),(14 11812922),(15 12228791),(16 12632682),(17 13003471),(18 13323465),(19 13586513),(20 13735817),(21 13788419),(22 13735612),(23 13661249),(24 13538467),(25 13365491),(26 13226778),(27 13124451),(28 13007380),(29 12926415),(30 12903133),(31 12898095),(32 12973466),(33 13101382),(34 13267348),(35 13174916),(36 13102848),(37 12856218),(38 12624503),(39 12341696),(40 12044561),(41 11730684),(42 11469709),(43 11185199),(44 10946335),(45 10833436),(46 10824796),(47 10894650),(48 11031587),(49 11136010),(50 11341642),(51 11547562),(52 11811261),(53 12107328),(54 12419046),(55 12689361),(56 12940445),(57 13102790),(58 13191860),(59 13266570),(60 13424230),(61 13725050),(62 14065859),(63 14307053),(64 14488719),(65 14547370),(66 14462961),(67 14281580),(68 14028745),(69 13798589),(70 13763705),(71 13906487),(72 14228717),(73 14715281),(74 15194503),(75 15651124),(76 16011436),(77 16343209),(78 16690179),(79 17219624),
(1 251747.84),(2 923765.8),(3 1889410),(4 2976459.3),(5 4088483.3),(6 5148695),(7 6169004),(8 7176037),(9 8227480),(10 9318385),(11 10377734),(12 11354402),(13 12176922),(14 12914885),(15 13553234),(16 14153102),(17 14792672),(18 15424115),(19 16017190),(20 16458515),(21 16715792),(22 16825190),(23 16857662),(24 16882340),(25 16987354),(26 17123262),(27 17303260),(28 17405474),(29 17376998),(30 17253484),(31 17033228),(32 16803012),(33 16546534),(34 16357626),(35 16059858),(36 15774594),(37 15419680),(38 14997654),(39 14506334),(40 14004909),(41 13537846),(42 13193906),(43 12952099),(44 12788193),(45 12695251),(46 12612866),(47 12549556),(48 12501174),(49 12574040),(50 12564455),(51 12624600),(52 12825187),(53 13124493),(54 13479072),(55 13894184),(56 14280445),(57 14597219),(58 14748806),(59 14733997),(60 14686126),(61 14611646),(62 14453882),(63 14220597),(64 13998094),(65 13718080),(66 13406502),(67 13097251),(68 12784771),(69 12480529),(70 12271112),(71 12292098),(72 12413440),(73 12660120),(74 12838542),(75 12937825),(76 12905515),(77 12774213),(78 12694582),(79 12801890),
(1 360380.3),(2 1257337.3),(3 2403051),(4 3505194.8),(5 4356054.5),(6 4934541.5),(7 5369943),(8 5904302),(9 6677694),(10 7738558),(11 8929406),(12 10026815),(13 10869671),(14 11481019),(15 11944254),(16 12461669),(17 13146160),(18 14058879),(19 15075808),(20 15915057),(21 16426673),(22 16590527),(23 16556713),(24 16528463),(25 16667874),(26 17007240),(27 17410392),(28 17684780),(29 17705628),(30 17506952),(31 17090998),(32 16696186),(33 16466049),(34 16512757),(35 16602585),(36 16790488),(37 16871138),(38 16862290),(39 16658460),(40 16359838),(41 16170111),(42 16201940),(43 16450249),(44 16866730),(45 17309514),(46 17786898),(47 18184756),(48 18508924),(49 18697148),(50 18868004),(51 19040664),(52 19266252),(53 19537228),(54 19782576),(55 19936572),(56 20126058),(57 20243812),(58 20258470),(59 20173622),(60 20130560),(61 20108028),(62 19938594),(63 19630930),(64 19335220),(65 19097298),(66 19023906),(67 18998204),(68 18918158),(69 18718024),(70 18555036),(71 18619096),(72 18933746),(73 19607002),(74 20460096),(75 21294948),(76 21938084),(77 22190584),(78 22069088),(79 21741090),
(1 339476.34),(2 1161878.4),(3 2198220.8),(4 3142974.3),(5 3849649.3),(6 4309489.5),(7 4682163),(8 5155748.5),(9 5788119.5),(10 6623704.5),(11 7534537.5),(12 8386804.5),(13 9129003),(14 9829875),(15 10508507),(16 11258731),(17 12044691),(18 12950925),(19 13826301),(20 14579255),(21 15162587),(22 15610947),(23 16034640),(24 16482185),(25 16975720),(26 17495612),(27 18024068),(28 18469864),(29 18751198),(30 18972828),(31 19213664),(32 19466770),(33 19824078),(34 20346760),(35 20938572),(36 21428256),(37 21808070),(38 22083930),(39 22203672),(40 22236394),(41 22324706),(42 22501914),(43 22731754),(44 23046248),(45 23379514),(46 23781888),(47 24233062),(48 24651584),(49 24963736),(50 25111476),(51 25119808),(52 25031812),(53 24879614),(54 24756670),(55 24692596),(56 24727308),(57 24794978),(58 24823992),(59 24828794),(60 24860992),(61 24888872),(62 24678580),(63 24341942),(64 24020722),(65 23789804),(66 23953674),(67 24424906),(68 24972842),(69 25311044),(70 25409822),(71 25400950),(72 25413108),(73 25641368),(74 26113558),(75 26699602),(76 27262426),(77 27676620),(78 27861882),(79 27922484),
(1 299789),(2 1010604.4),(3 1866884.8),(4 2630054.3),(5 3195750),(6 3591765.3),(7 3868417.5),(8 4116983.5),(9 4377758),(10 4774573),(11 5335868),(12 6023148),(13 6767516),(14 7523926.5),(15 8204022.5),(16 8861073),(17 9510731),(18 10206482),(19 10890563),(20 11561594),(21 12205311),(22 12868562),(23 13530307),(24 14169105),(25 14792102),(26 15445948),(27 16133058),(28 16828194),(29 17497534),(30 18137240),(31 18690836),(32 19228158),(33 19769298),(34 20351128),(35 20901990),(36 21450672),(37 21968918),(38 22429286),(39 22829572),(40 23221820),(41 23638854),(42 24183962),(43 24799472),(44 25528944),(45 26268758),(46 26900404),(47 27308102),(48 27441468),(49 27379118),(50 27037720),(51 26667760),(52 26424300),(53 26433534),(54 26705732),(55 27242060),(56 27802594),(57 28070718),(58 27960714),(59 27489826),(60 26829934),(61 26175206),(62 25663696),(63 25414864),(64 25469916),(65 25826830),(66 26383178),(67 26951562),(68 27189098),(69 26947254),(70 26352344),(71 25750100),(72 25440542),(73 25534724),(74 25906556),(75 26401094),(76 26824236),(77 27073002),(78 27071648),(79 26823354),
(1 314326.38),(2 1002380.44),(3 1717997.5),(4 2260738.8),(5 2634253),(6 2922963.3),(7 3179015.8),(8 3432383),(9 3727146.5),(10 4108328),(11 4578274),(12 5105758.5),(13 5658606),(14 6241520),(15 6801299.5),(16 7353074),(17 7868714),(18 8339567),(19 8772274),(20 9196444),(21 9683655),(22 10280972),(23 10893207),(24 11434831),(25 11948038),(26 12492948),(27 13144663),(28 13873587),(29 14551403),(30 15051422),(31 15408254),(32 15817877),(33 16310898),(34 16778732),(35 17106734),(36 17414568),(37 17755832),(38 18117600),(39 18519032),(40 18949576),(41 19392936),(42 19889824),(43 20461198),(44 21085926),(45 21683256),(46 22072792),(47 22189190),(48 22146286),(49 22086244),(50 22062850),(51 22214974),(52 22473726),(53 22839028),(54 23228290),(55 23643324),(56 23911510),(57 23937746),(58 23668362),(59 23268886),(60 22933684),(61 22777970),(62 22792266),(63 22872040),(64 22987504),(65 23179474),(66 23332616),(67 23376972),(68 23241870),(69 23024490),(70 22898134),(71 23110156),(72 23560672),(73 23902550),(74 23811734),(75 23367224),(76 22853192),(77 22575496),(78 22579640),(79 22659734),
(1 357606.75),(2 1114334.1),(3 1810028),(4 2177441.5),(5 2327624.5),(6 2498591.3),(7 2830371.8),(8 3274467.3),(9 3608229.8),(10 3792730.3),(11 3972675.8),(12 4334670.5),(13 4823162),(14 5244948),(15 5460756),(16 5571275.5),(17 5836132.5),(18 6336419),(19 6929506),(20 7393916.5),(21 7674724),(22 7946040.5),(23 8380525),(24 8931903),(25 9441726),(26 9740381),(27 9966626),(28 10321670),(29 10866386),(30 11395416),(31 11856781),(32 12236072),(33 12601689),(34 12969237),(35 13457602),(36 13917526),(37 14306624),(38 14596971),(39 14832594),(40 15131503),(41 15421417),(42 15709861),(43 15996866),(44 16268922),(45 16617020),(46 16865942),(47 17003632),(48 17031180),(49 17009600),(50 17047792),(51 17279490),(52 17672108),(53 18108060),(54 18476770),(55 18618716),(56 18585518),(57 18458288),(58 18270826),(59 18142152),(60 18169308),(61 18369266),(62 18671126),(63 18987018),(64 19209166),(65 19302278),(66 19406714),(67 19707710),(68 20146870),(69 20546908),(70 20719600),(71 20773554),(72 20964950),(73 21299026),(74 21673238),(75 21775088),(76 21527258),(77 21268920),(78 21403928),(79 21940896),
