1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 46714.957),(2 114251.836),(3 199384.73),(4 318182.66),(5 466806.63),(6 652942.7),(7 841309.8),(8 1036700.94),(9 1219535.5),(10 1437482.4),(11 1655314.9),(12 1897286),(13 2176108),(14 2461061.8),(15 2699810.3),(16 2928520),(17 3153160.8),(18 3406146.3),(19 3629545.3),(20 3808414.8),(21 3932581.3),(22 4103912.8),(23 4251152.5),(24 4406837.5),(25 4548916.5),(26 4679009.5),(27 4797302),(28 4867660.5),(29 4987616.5),(30 5083549),(31 5170109.5),(32 5199386),(33 5214339.5),(34 5248790.5),(35 5278898.5),(36 5329928.5),(37 5321013.5),(38 5310822.5),(39 5314045.5),(40 5309500.5),(41 5342195),(42 5343401.5),(43 5391136),(44 5435704.5),(45 5447772.5),(46 5548066),(47 5689756),(48 5884553.5),(49 6105378.5),(50 6344329.5),(51 6510668),(52 6830450.5),(53 7188584),(54 7544190.5),(55 7944158),(56 8411941),(57 8755816),(58 9238342),(59 9760978),(60 10410416),(61 11014132),(62 11610821),(63 12124420),(64 12811557),(65 13574223),(66 14376065),(67 15215832),(68 16087245),(69 16832504),(70 17768286),(71 18653146),(72 19666870),(73 20623750),(74 21613146),(75 22446406),(76 23499654),(77 24636214),(78 25783034),(79 26929674),
(1 61792.77),(2 203290.1),(3 400500.9),(4 665413.94),(5 992621.6),(6 1387696),(7 1842136),(8 2327702.5),(9 2799410.5),(10 3310106.5),(11 3840647.3),(12 4424127),(13 5017377),(14 5604643),(15 6119104.5),(16 6674228),(17 7209773.5),(18 7747785.5),(19 8259243),(20 8704200),(21 9043212),(22 9381178),(23 9725750),(24 10075670),(25 10395121),(26 10694890),(27 10899883),(28 11147687),(29 11406595),(30 11628638),(31 11825524),(32 12025507),(33 12102235),(34 12249018),(35 12449426),(36 12629080),(37 12809054),(38 13004269),(39 13152498),(40 13389404),(41 13656435),(42 13971760),(43 14347208),(44 14777899),(45 15139730),(46 15609546),(47 16155754),(48 16722563),(49 17256604),(50 17830046),(51 18411482),(52 19052716),(53 19737566),(54 20472704),(55 21209978),(56 22015924),(57 22696740),(58 23462662),(59 24144198),(60 24924762),(61 25605700),(62 26315624),(63 26919782),(64 27536956),(65 28088282),(66 28698864),(67 29210246),(68 29700372),(69 30165894),(70 30692404),(71 31123084),(72 31637210),(73 32074624),(74 32641098),(75 33052224),(76 33434164),(77 33768856),(78 34193350),(79 34539748),
(1 105532.18),(2 373354.1),(3 734493),(4 1269759.4),(5 1942957.6),(6 2799336),(7 3813208),(8 4952504.5),(9 6035936),(10 7326582.5),(11 8755302),(12 10292924),(13 11930559),(14 13646361),(15 15153103),(16 16842922),(17 18543610),(18 20306734),(19 22086904),(20 23806250),(21 25254330),(22 26858806),(23 28380010),(24 29907686),(25 31296608),(26 32608906),(27 33614620),(28 34652324),(29 35663508),(30 36522924),(31 37272980),(32 37847492),(33 38173760),(34 38464644),(35 38745564),(36 38879920),(37 38874296),(38 38760480),(39 38583644),(40 38354604),(41 38023780),(42 37593304),(43 37101748),(44 36428708),(45 35933596),(46 35309132),(47 34672668),(48 34023550),(49 33337720),(50 32637062),(51 32135504),(52 31588262),(53 31046186),(54 30488570),(55 30019632),(56 29512842),(57 29181474),(58 28794074),(59 28350518),(60 27981462),(61 27680960),(62 27433784),(63 27315440),(64 27232328),(65 27244992),(66 27260394),(67 27367832),(68 27586818),(69 27828454),(70 28186896),(71 28507472),(72 28943514),(73 29449374),(74 30030192),(75 30539792),(76 31115072),(77 31821400),(78 32574944),(79 33354800),
(1 125448.766),(2 445425),(3 877997.1),(4 1515377.5),(5 2314269),(6 3323465.8),(7 4502635),(8 5808704),(9 7024826.5),(10 8438444),(11 9912791),(12 11514736),(13 13147288),(14 14845692),(15 16261808),(16 17755744),(17 19231004),(18 20717500),(19 22135064),(20 23392446),(21 24339950),(22 25321212),(23 26200512),(24 26976896),(25 27616818),(26 28119364),(27 28397090),(28 28567848),(29 28672528),(30 28608928),(31 28403652),(32 28067716),(33 27697774),(34 27235018),(35 26728202),(36 26166378),(37 25532146),(38 24978564),(39 24381314),(40 23782628),(41 23219752),(42 22634344),(43 22075892),(44 21431524),(45 20927088),(46 20418740),(47 19902792),(48 19384050),(49 18919100),(50 18514670),(51 18246170),(52 18010952),(53 17796536),(54 17629290),(55 17583206),(56 17570442),(57 17646084),(58 17782130),(59 17962808),(60 18269484),(61 18660464),(62 19176198),(63 19584530),(64 20190420),(65 20945424),(66 21788692),(67 22766948),(68 23848902),(69 24703720),(70 25888966),(71 27218292),(72 28513512),(73 29877496),(74 31296072),(75 32436842),(76 33717330),(77 35062052),(78 36274804),(79 37402756),
(1 96256.9),(2 331806.63),(3 654048.5),(4 1107596.1),(5 1665898.5),(6 2364776.5),(7 3167598.5),(8 4037316),(9 4833494.5),(10 5761247.5),(11 6709217.5),(12 7752843.5),(13 8820845),(14 9916377),(15 10797261),(16 11779731),(17 12757620),(18 13738188),(19 14698125),(20 15629171),(21 16345510),(22 17173812),(23 17950402),(24 18733326),(25 19458568),(26 20162004),(27 20715906),(28 21263074),(29 21785714),(30 22228240),(31 22607604),(32 22870642),(33 23127850),(34 23319622),(35 23444738),(36 23510176),(37 23463780),(38 23363924),(39 23302686),(40 23089710),(41 22828498),(42 22521166),(43 22151422),(44 21731910),(45 21435128),(46 21035604),(47 20597922),(48 20202494),(49 19817830),(50 19469300),(51 19172552),(52 18884178),(53 18675570),(54 18498768),(55 18383938),(56 18318166),(57 18270996),(58 18296294),(59 18353504),(60 18499656),(61 18693928),(62 18926254),(63 19142478),(64 19392286),(65 19681242),(66 19963252),(67 20240482),(68 20471934),(69 20669426),(70 20869422),(71 21091810),(72 21299016),(73 21484218),(74 21641326),(75 21697246),(76 21814702),(77 21943280),(78 22074496),(79 22201260),
(1 108720.4),(2 391423.56),(3 746510.5),(4 1266319),(5 1902638.4),(6 2696235.3),(7 3599203.3),(8 4548483),(9 5360033.5),(10 6339612.5),(11 7361473.5),(12 8469978),(13 9587470),(14 10763125),(15 11714321),(16 12826656),(17 13987331),(18 15088426),(19 16162003),(20 17198776),(21 18073244),(22 18993374),(23 19778028),(24 20518346),(25 21125228),(26 21630620),(27 22030948),(28 22315760),(29 22506412),(30 22601564),(31 22574148),(32 22438412),(33 22297892),(34 21985300),(35 21563792),(36 21087574),(37 20561590),(38 20004524),(39 19525054),(40 18962230),(41 18448570),(42 17897908),(43 17424382),(44 16978060),(45 16596355),(46 16278590),(47 15979410),(48 15752941),(49 15622286),(50 15532403),(51 15498022),(52 15553381),(53 15717728),(54 15909930),(55 16184410),(56 16563504),(57 16972794),(58 17385124),(59 17927986),(60 18535322),(61 19229948),(62 19884500),(63 20520876),(64 21217510),(65 21901814),(66 22635624),(67 23361392),(68 24003344),(69 24548800),(70 25087312),(71 25558308),(72 25981260),(73 26322108),(74 26558484),(75 26750088),(76 26873830),(77 26954684),(78 26964938),(79 26909078),
(1 152314.28),(2 545662.8),(3 1065984.8),(4 1843915.1),(5 2824753.5),(6 4051919),(7 5494693),(8 7074022),(9 8502640),(10 10195110),(11 11947836),(12 13838319),(13 15712101),(14 17659388),(15 19244008),(16 20946788),(17 22630472),(18 24310020),(19 25904692),(20 27375148),(21 28508620),(22 29672990),(23 30734978),(24 31680008),(25 32423968),(26 33040920),(27 33543788),(28 33870776),(29 34102396),(30 34236616),(31 34225910),(32 34083750),(33 33926868),(34 33673420),(35 33356702),(36 32985492),(37 32522752),(38 32028032),(39 31539054),(40 30931732),(41 30315966),(42 29645090),(43 28959040),(44 28188312),(45 27566452),(46 26908356),(47 26230892),(48 25572174),(49 24970292),(50 24440298),(51 24041218),(52 23648448),(53 23345816),(54 23100402),(55 22964012),(56 22940936),(57 22949096),(58 23065088),(59 23237022),(60 23446914),(61 23661462),(62 23881390),(63 24072908),(64 24260622),(65 24435158),(66 24572330),(67 24660440),(68 24677492),(69 24683640),(70 24617942),(71 24535052),(72 24419358),(73 24306840),(74 24125622),(75 23949716),(76 23739196),(77 23489794),(78 23207230),(79 22868690),
(1 143626.61),(2 495472.8),(3 977010.25),(4 1636999.5),(5 2422396.3),(6 3381976.5),(7 4462994),(8 5593443.5),(9 6636477.5),(10 7770065.5),(11 8920977),(12 10102534),(13 11264921),(14 12426387),(15 13351785),(16 14324847),(17 15226146),(18 16119637),(19 16931334),(20 17632270),(21 18075622),(22 18553314),(23 18994360),(24 19347646),(25 19620844),(26 19782596),(27 19805256),(28 19781398),(29 19716928),(30 19539688),(31 19293468),(32 18950102),(33 18649032),(34 18278176),(35 17889862),(36 17442586),(37 17005170),(38 16579439),(39 16266690),(40 15924476),(41 15626773),(42 15359071),(43 15184051),(44 15058925),(45 15021231),(46 15016800),(47 15094998),(48 15240900),(49 15406002),(50 15627780),(51 15873450),(52 16111786),(53 16377115),(54 16611818),(55 16864692),(56 17078112),(57 17337516),(58 17504512),(59 17642598),(60 17765558),(61 17907656),(62 18017496),(63 18097736),(64 18161004),(65 18232108),(66 18267054),(67 18283286),(68 18265216),(69 18181550),(70 18092036),(71 17984344),(72 17856714),(73 17716866),(74 17561208),(75 17424032),(76 17307752),(77 17232086),(78 17178648),(79 17165468),
(1 131048.65),(2 466427.6),(3 897883.5),(4 1534933.1),(5 2313741.5),(6 3259447.5),(7 4313793.5),(8 5409220.5),(9 6362144),(10 7433696),(11 8500698),(12 9555656),(13 10533678),(14 11410396),(15 12101944),(16 12763245),(17 13304343),(18 13798245),(19 14171128),(20 14470861),(21 14651660),(22 14810786),(23 14954413),(24 15090044),(25 15225143),(26 15330042),(27 15356186),(28 15403404),(29 15440305),(30 15472129),(31 15447400),(32 15369379),(33 15272804),(34 15188548),(35 15129560),(36 15034143),(37 14944338),(38 14838725),(39 14772312),(40 14643597),(41 14501852),(42 14304851),(43 14131830),(44 13917474),(45 13805856),(46 13644239),(47 13520032),(48 13406258),(49 13290391),(50 13198797),(51 13164248),(52 13148058),(53 13163616),(54 13236353),(55 13350011),(56 13471031),(57 13607017),(58 13765071),(59 13915345),(60 14100356),(61 14273488),(62 14445626),(63 14637221),(64 14854253),(65 15119657),(66 15346323),(67 15591430),(68 15835354),(69 16036597),(70 16233835),(71 16396877),(72 16560322),(73 16688316),(74 16781998),(75 16813722),(76 16808892),(77 16775669),(78 16703853),(79 16599979),
(1 158597.14),(2 552445.1),(3 1071563.6),(4 1806729),(5 2691991),(6 3753424),(7 4913747.5),(8 6081467),(9 7048031),(10 8102588.5),(11 9087153),(12 10015644),(13 10813355),(14 11486313),(15 11970916),(16 12443251),(17 12834556),(18 13180797),(19 13482452),(20 13776100),(21 13994903),(22 14259982),(23 14562895),(24 14860384),(25 15158476),(26 15416428),(27 15659324),(28 15860876),(29 16010468),(30 16157584),(31 16223524),(32 16252416),(33 16262980),(34 16218948),(35 16171065),(36 16148802),(37 16106311),(38 16065724),(39 16003508),(40 15905163),(41 15790620),(42 15621879),(43 15406674),(44 15135993),(45 14884772),(46 14570506),(47 14224694),(48 13837498),(49 13411721),(50 13000364),(51 12675155),(52 12358265),(53 12087436),(54 11906161),(55 11805135),(56 11782636),(57 11785117),(58 11909089),(59 12077119),(60 12302791),(61 12554721),(62 12815501),(63 13084133),(64 13357180),(65 13658872),(66 13959900),(67 14275130),(68 14584573),(69 14872403),(70 15179842),(71 15476032),(72 15790793),(73 16087433),(74 16387879),(75 16613980),(76 16812138),(77 16960868),(78 17084786),(79 17165860),
(1 158306.89),(2 556865),(3 1077876.9),(4 1804221.3),(5 2657856.8),(6 3667304),(7 4732415.5),(8 5789261.5),(9 6675319.5),(10 7623930.5),(11 8525274),(12 9354018),(13 10081287),(14 10705169),(15 11157104),(16 11570042),(17 11895311),(18 12126326),(19 12291525),(20 12384096),(21 12491179),(22 12549592),(23 12579854),(24 12591573),(25 12599663),(26 12603603),(27 12601152),(28 12570257),(29 12520691),(30 12449352),(31 12345919),(32 12191287),(33 12013983),(34 11772264),(35 11509493),(36 11263343),(37 10982735),(38 10718698),(39 10446174),(40 10232186),(41 10061003),(42 9929387),(43 9855834),(44 9844894),(45 9871378),(46 9965082),(47 10068894),(48 10225461),(49 10385419),(50 10531269),(51 10708343),(52 10870752),(53 11020107),(54 11141061),(55 11240222),(56 11307640),(57 11329471),(58 11346305),(59 11349769),(60 11353779),(61 11351680),(62 11366046),(63 11326852),(64 11335220),(65 11362328),(66 11386789),(67 11392194),(68 11394545),(69 11431772),(70 11456346),(71 11506182),(72 11615076),(73 11735987),(74 11878572),(75 12035507),(76 12181591),(77 12351429),(78 12529559),(79 12749715),
