1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 40363.566),(2 128721.875),(3 252718.89),(4 417628.1),(5 605863.9),(6 822122.8),(7 1057045.4),(8 1349765.5),(9 1642635.6),(10 1967791.6),(11 2370488.3),(12 2840264.8),(13 3371777.8),(14 3920175.3),(15 4549475.5),(16 5261298.5),(17 6011192.5),(18 6663953.5),(19 7419502.5),(20 8279903.5),(21 9112765),(22 9930693),(23 10817876),(24 11732568),(25 12781713),(26 14008407),(27 15358212),(28 16917914),(29 18427740),(30 20092166),(31 21882714),(32 23630104),(33 25258778),(34 26789230),(35 28300710),(36 29865558),(37 31302760),(38 32725146),(39 34171892),(40 35582160),(41 37088732),(42 38663604),(43 40380548),(44 42193560),(45 43864812),(46 45382420),(47 46906460),(48 48235964),(49 49187156),(50 49778670),(51 50136660),(52 50278708),(53 50309812),(54 50232108),(55 50104110),(56 50025452),(57 49870690),(58 49923572),(59 50050750),(60 50315404),(61 50684148),(62 51078988),(63 51519616),(64 51834144),(65 51981572),(66 52180340),(67 52512332),(68 52877436),(69 53007490),(70 53440644),(71 54332720),(72 55599236),(73 56888820),(74 58094292),(75 59362220),(76 60640084),(77 61677696),(78 62690420),(79 63596796),
(1 49134.71),(2 181973.81),(3 382917.2),(4 654677.44),(5 994820),(6 1411651.6),(7 1891088.8),(8 2463026),(9 3083151.3),(10 3772484),(11 4515575),(12 5297329.5),(13 6109960),(14 6957758.5),(15 7855024),(16 8848239),(17 9866407),(18 10845693),(19 11904356),(20 13056158),(21 14223539),(22 15441629),(23 16758083),(24 18114804),(25 19563728),(26 21163000),(27 22871254),(28 24721094),(29 26613186),(30 28634044),(31 30791024),(32 33038278),(33 35224344),(34 37456456),(35 39773850),(36 42169550),(37 44547624),(38 46912892),(39 49312576),(40 51694764),(41 54094536),(42 56609484),(43 59262804),(44 61947092),(45 64566810),(46 67041804),(47 69458190),(48 71708020),(49 73585750),(50 75144430),(51 76417220),(52 77435360),(53 78361750),(54 79137900),(55 79805770),(56 80456536),(57 81020820),(58 81725170),(59 82504950),(60 83313550),(61 84284010),(62 85248810),(63 86241700),(64 87089300),(65 87780400),(66 88390420),(67 89049940),(68 89738150),(69 90346940),(70 91199640),(71 92388760),(72 93833940),(73 95369940),(74 96982824),(75 98769370),(76 100524870),(77 102081160),(78 103710430),(79 105384420),
(1 61440.207),(2 234076.55),(3 500285.25),(4 858908.2),(5 1301940.1),(6 1818320.6),(7 2384072.3),(8 3026994.3),(9 3754063.3),(10 4568173.5),(11 5413302),(12 6321170),(13 7254608),(14 8221762),(15 9239575),(16 10332843),(17 11424177),(18 12483240),(19 13601043),(20 14809045),(21 16079560),(22 17400514),(23 18841382),(24 20231520),(25 21686898),(26 23299456),(27 25016474),(28 26853480),(29 28728446),(30 30660728),(31 32705920),(32 34880724),(33 37105256),(34 39477540),(35 41932300),(36 44467860),(37 46984404),(38 49489490),(39 52025716),(40 54583230),(41 57053772),(42 59662156),(43 62376176),(44 65198924),(45 67959900),(46 70594190),(47 73193240),(48 75668480),(49 77850080),(50 79836800),(51 81644136),(52 83196320),(53 84479176),(54 85678810),(55 86782970),(56 87854810),(57 88902616),(58 90151810),(59 91419050),(60 92600360),(61 93947400),(62 95250536),(63 96546710),(64 97747624),(65 98854950),(66 99823656),(67 100781290),(68 101731016),(69 102633210),(70 103538856),(71 104428290),(72 105345270),(73 106421416),(74 107648060),(75 108867550),(76 110127544),(77 111369340),(78 112905930),(79 114509670),
(1 56165.258),(2 206561.19),(3 441642.34),(4 754863.9),(5 1129860.6),(6 1557650.3),(7 2014060.3),(8 2523989.8),(9 3076516),(10 3702941.5),(11 4346556.5),(12 5055041),(13 5810618.5),(14 6601916.5),(15 7432159),(16 8319178),(17 9221680),(18 10148460),(19 11092615),(20 12051787),(21 13064982),(22 14134891),(23 15269854),(24 16390196),(25 17493296),(26 18627698),(27 19758506),(28 20978414),(29 22166828),(30 23353448),(31 24540348),(32 25668886),(33 26732872),(34 27808872),(35 28859532),(36 29897720),(37 30850702),(38 31814806),(39 32766286),(40 33760696),(41 34795436),(42 35798052),(43 36738510),(44 37659540),(45 38539910),(46 39368904),(47 40200228),(48 41021520),(49 41817984),(50 42614170),(51 43442068),(52 44253944),(53 45110228),(54 46060900),(55 47127230),(56 48290492),(57 49482384),(58 50791824),(59 52132628),(60 53423188),(61 54804004),(62 56056596),(63 57369452),(64 58734350),(65 60088092),(66 61394260),(67 62667920),(68 63964324),(69 65192120),(70 66390380),(71 67637330),(72 68879864),(73 70130130),(74 71310296),(75 72334424),(76 73267330),(77 74054920),(78 74803090),(79 75473140),
(1 58949.66),(2 217972.95),(3 464907.88),(4 802547.2),(5 1220541.1),(6 1694542.1),(7 2206006.5),(8 2779423.3),(9 3392692.3),(10 4058592.8),(11 4750932.5),(12 5489919.5),(13 6245198.5),(14 7035883),(15 7822107.5),(16 8612871),(17 9436722),(18 10318519),(19 11203289),(20 12134772),(21 13142145),(22 14211907),(23 15327520),(24 16430026),(25 17477504),(26 18491084),(27 19483770),(28 20515490),(29 21563602),(30 22612060),(31 23662056),(32 24710164),(33 25720866),(34 26712210),(35 27701908),(36 28680588),(37 29635328),(38 30623960),(39 31577894),(40 32532596),(41 33540006),(42 34482430),(43 35334320),(44 36066820),(45 36741316),(46 37346740),(47 37921584),(48 38463204),(49 38962290),(50 39440336),(51 39924864),(52 40419532),(53 40907252),(54 41386636),(55 41898970),(56 42388580),(57 42829924),(58 43252944),(59 43611064),(60 43901980),(61 44157210),(62 44271670),(63 44361820),(64 44478436),(65 44624360),(66 44763110),(67 44912510),(68 45065816),(69 45195104),(70 45304816),(71 45477828),(72 45636496),(73 45741600),(74 45751564),(75 45657980),(76 45502820),(77 45242300),(78 44990230),(79 44724320),
(1 56695.813),(2 212585.9),(3 460585.7),(4 801939.2),(5 1226274.3),(6 1717782),(7 2289574.5),(8 2915574.3),(9 3619432),(10 4382857),(11 5187234.5),(12 6022749.5),(13 6906495),(14 7839289.5),(15 8807213),(16 9817674),(17 10883854),(18 11959878),(19 13085834),(20 14310813),(21 15577062),(22 16893518),(23 18262614),(24 19718640),(25 21213354),(26 22776836),(27 24382788),(28 26045292),(29 27650492),(30 29225312),(31 30778490),(32 32255972),(33 33613840),(34 34833280),(35 35970660),(36 37047070),(37 38029028),(38 38961676),(39 39823756),(40 40635770),(41 41504956),(42 42275916),(43 43032180),(44 43834496),(45 44606456),(46 45410544),(47 46244344),(48 47054616),(49 47823080),(50 48631736),(51 49526150),(52 50457950),(53 51380176),(54 52363556),(55 53353830),(56 54344724),(57 55325890),(58 56345250),(59 57341480),(60 58250370),(61 59170050),(62 59934132),(63 60593944),(64 61099924),(65 61551148),(66 61815850),(67 62007210),(68 61999540),(69 61784660),(70 61408588),(71 60999348),(72 60435788),(73 59640588),(74 58667530),(75 57587336),(76 56402070),(77 55061856),(78 53699370),(79 52272504),
(1 59511.227),(2 222520),(3 470445.8),(4 804660.75),(5 1215999.3),(6 1685741.3),(7 2223675.8),(8 2823111.8),(9 3484835),(10 4202053),(11 4950148.5),(12 5720709.5),(13 6491704.5),(14 7291901),(15 8119795.5),(16 8958786),(17 9813617),(18 10654283),(19 11506559),(20 12335510),(21 13132469),(22 13915778),(23 14715562),(24 15472315),(25 16224213),(26 16953180),(27 17666084),(28 18367794),(29 19000780),(30 19590936),(31 20111306),(32 20588740),(33 21014910),(34 21436452),(35 21859996),(36 22314186),(37 22780898),(38 23275020),(39 23759352),(40 24264036),(41 24767830),(42 25330578),(43 25920150),(44 26486882),(45 27060788),(46 27595980),(47 28192660),(48 28797942),(49 29342442),(50 29868064),(51 30385686),(52 30923726),(53 31483036),(54 32023670),(55 32571516),(56 33096894),(57 33598650),(58 34083588),(59 34546310),(60 34895224),(61 35240996),(62 35506004),(63 35717680),(64 35909490),(65 36085508),(66 36251164),(67 36365640),(68 36504960),(69 36576016),(70 36655790),(71 36762588),(72 36904124),(73 37076916),(74 37239196),(75 37410704),(76 37501824),(77 37551564),(78 37651370),(79 37723290),
(1 60994.34),(2 225629.45),(3 471878.47),(4 795625.3),(5 1174709.4),(6 1590512.1),(7 2062054.1),(8 2572551),(9 3125544.3),(10 3709883.8),(11 4325882.5),(12 4961145.5),(13 5594579.5),(14 6214769.5),(15 6831616),(16 7466722),(17 8102269),(18 8728252),(19 9357724),(20 9968384),(21 10543084),(22 11102158),(23 11690785),(24 12242315),(25 12778628),(26 13281468),(27 13731041),(28 14181977),(29 14617515),(30 15066614),(31 15520845),(32 15988105),(33 16456812),(34 16966158),(35 17507106),(36 18079660),(37 18689244),(38 19355766),(39 20016964),(40 20689544),(41 21372580),(42 22061334),(43 22730774),(44 23326852),(45 23891708),(46 24404872),(47 24947400),(48 25469576),(49 25998756),(50 26546696),(51 27101000),(52 27645070),(53 28196576),(54 28774678),(55 29389806),(56 29981678),(57 30564312),(58 31081762),(59 31575640),(60 32004762),(61 32434474),(62 32831110),(63 33201966),(64 33504266),(65 33754684),(66 33976052),(67 34219576),(68 34485824),(69 34650200),(70 34800620),(71 34895784),(72 34945830),(73 35022188),(74 35119836),(75 35209412),(76 35183310),(77 35066820),(78 34963908),(79 34834812),
(1 63214.39),(2 238038),(3 510002.94),(4 876994),(5 1323190.6),(6 1850083.5),(7 2457715),(8 3151885.8),(9 3928065.5),(10 4765366),(11 5633095.5),(12 6525839),(13 7456948),(14 8392634),(15 9330224),(16 10313674),(17 11280794),(18 12256252),(19 13243449),(20 14189116),(21 15113851),(22 16017638),(23 16926254),(24 17865238),(25 18810470),(26 19728914),(27 20586342),(28 21382482),(29 22100056),(30 22826720),(31 23487796),(32 24090172),(33 24661556),(34 25253822),(35 25834460),(36 26433776),(37 27019642),(38 27634414),(39 28230006),(40 28785678),(41 29310732),(42 29769152),(43 30160376),(44 30458884),(45 30637040),(46 30724118),(47 30708768),(48 30613170),(49 30480826),(50 30331116),(51 30136532),(52 29910830),(53 29651108),(54 29401282),(55 29141114),(56 28866594),(57 28547204),(58 28180604),(59 27770996),(60 27316694),(61 26849000),(62 26378226),(63 25879638),(64 25358042),(65 24835392),(66 24324600),(67 23849262),(68 23415720),(69 22978964),(70 22552482),(71 22166904),(72 21829646),(73 21541678),(74 21301168),(75 21114846),(76 20981718),(77 20862080),(78 20790520),(79 20752648),
(1 56269.42),(2 208865.03),(3 453282.28),(4 788818.06),(5 1208333.9),(6 1709448.5),(7 2285105),(8 2925114.3),(9 3622053.5),(10 4367234.5),(11 5125394),(12 5898048),(13 6706299),(14 7527610),(15 8376691.5),(16 9239212),(17 10107851),(18 10974873),(19 11837604),(20 12659703),(21 13470096),(22 14272567),(23 15087266),(24 15878521),(25 16699461),(26 17503942),(27 18245580),(28 18972274),(29 19629198),(30 20267166),(31 20848760),(32 21383068),(33 21863050),(34 22334038),(35 22762582),(36 23155342),(37 23479414),(38 23759062),(39 23960238),(40 24081804),(41 24166314),(42 24188520),(43 24174046),(44 24074894),(45 23903676),(46 23668138),(47 23377234),(48 23085198),(49 22805226),(50 22573802),(51 22425264),(52 22339062),(53 22315438),(54 22364042),(55 22483738),(56 22651602),(57 22819202),(58 22987644),(59 23175466),(60 23355530),(61 23590462),(62 23841972),(63 24076958),(64 24277540),(65 24457504),(66 24661124),(67 24881814),(68 25097356),(69 25272242),(70 25421586),(71 25558162),(72 25641392),(73 25652480),(74 25666446),(75 25666872),(76 25643898),(77 25550296),(78 25471350),(79 25373606),
(1 61722.516),(2 231540.8),(3 499997.88),(4 857658.1),(5 1293145.6),(6 1815853.9),(7 2404308),(8 3049517.8),(9 3738051),(10 4469635.5),(11 5229392.5),(12 5996758.5),(13 6767725.5),(14 7552873.5),(15 8343284.5),(16 9143328),(17 9955565),(18 10756360),(19 11523543),(20 12246598),(21 12916443),(22 13539400),(23 14138253),(24 14724661),(25 15271923),(26 15768090),(27 16213884),(28 16655857),(29 17026662),(30 17368860),(31 17712032),(32 17992688),(33 18229960),(34 18436560),(35 18629976),(36 18788518),(37 18913562),(38 19039668),(39 19158520),(40 19267058),(41 19413836),(42 19586312),(43 19815726),(44 20000650),(45 20136418),(46 20250846),(47 20397052),(48 20546466),(49 20690288),(50 20819682),(51 20995178),(52 21187326),(53 21369878),(54 21517048),(55 21698402),(56 21899216),(57 22105258),(58 22288580),(59 22448128),(60 22564794),(61 22677664),(62 22753548),(63 22811088),(64 22837384),(65 22854974),(66 22866518),(67 22879398),(68 22892388),(69 22865488),(70 22823342),(71 22778828),(72 22701048),(73 22598718),(74 22507792),(75 22431814),(76 22320740),(77 22196994),(78 22082658),(79 21964336),
