1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 12460.925),(2 38594.375),(3 82836.55),(4 138076.17),(5 189849.02),(6 252605.31),(7 310120.4),(8 355564),(9 376147.9),(10 395388.22),(11 403362.6),(12 417132.97),(13 439134),(14 474438.34),(15 530296.2),(16 596251.8),(17 672465.5),(18 730589.56),(19 793560.56),(20 850071),(21 924077.25),(22 987805.44),(23 1052460.4),(24 1110100),(25 1177595),(26 1265560),(27 1355511.6),(28 1450391.4),(29 1565004),(30 1696886),(31 1826081.4),(32 1977145.5),(33 2115855.8),(34 2246458.3),(35 2381271.5),(36 2513809),(37 2636530),(38 2774607.3),(39 2925511.8),(40 3062229),(41 3209854),(42 3369591),(43 3568228.8),(44 3799613.3),(45 4066123.3),(46 4347657),(47 4686498),(48 4996378.5),(49 5303637.5),(50 5606036),(51 5881550.5),(52 6137165.5),(53 6391484),(54 6636868),(55 6897182.5),(56 7142656),(57 7433048),(58 7748334.5),(59 8071314),(60 8394453),(61 8787516),(62 9184239),(63 9587505),(64 9971857),(65 10313417),(66 10616116),(67 10887907),(68 11103641),(69 11322101),(70 11504429),(71 11661707),(72 11804987),(73 11970392),(74 12144545),(75 12316685),(76 12500624),(77 12682687),(78 12866611),(79 13055405),
(1 13659.596),(2 45805.863),(3 97163.63),(4 163985.08),(5 240972.8),(6 331977.47),(7 432229.25),(8 533082.94),(9 623037.2),(10 708260.5),(11 792904.6),(12 871741.6),(13 958306.6),(14 1043420.8),(15 1134603.1),(16 1225863.3),(17 1330393.9),(18 1427724.8),(19 1544220.1),(20 1660517.4),(21 1785082),(22 1908808.8),(23 2035424),(24 2157146),(25 2281461),(26 2409337.8),(27 2553936),(28 2713829.5),(29 2891601.5),(30 3066341.5),(31 3244213.5),(32 3423208),(33 3591932),(34 3762737.3),(35 3963722.5),(36 4175289.3),(37 4402892),(38 4647697),(39 4914322.5),(40 5149835),(41 5414231),(42 5688123),(43 6016449),(44 6381083),(45 6779313.5),(46 7212656),(47 7724006.5),(48 8209393.5),(49 8682202),(50 9145981),(51 9598904),(52 10015952),(53 10415258),(54 10802898),(55 11224731),(56 11628227),(57 12034079),(58 12429836),(59 12820621),(60 13180370),(61 13590080),(62 13973400),(63 14336789),(64 14659578),(65 14979757),(66 15232541),(67 15470445),(68 15679085),(69 15885203),(70 16043253),(71 16149237),(72 16245734),(73 16341810),(74 16451146),(75 16574139),(76 16691518),(77 16797428),(78 16853104),(79 16914884),
(1 20837.625),(2 76524.48),(3 166792.14),(4 289310.88),(5 429102.4),(6 588868.2),(7 758143.75),(8 937504.7),(9 1106265.1),(10 1253888.9),(11 1399505.5),(12 1537029.9),(13 1683717.6),(14 1825854.1),(15 1960074.4),(16 2088777.1),(17 2225089.3),(18 2369120.8),(19 2528993.8),(20 2702041.3),(21 2884837.3),(22 3054882.3),(23 3221740),(24 3364298.8),(25 3497494),(26 3632001.3),(27 3782334.8),(28 3956429.3),(29 4139275.3),(30 4317301.5),(31 4493220),(32 4677579),(33 4851417.5),(34 5021318.5),(35 5201359.5),(36 5387822.5),(37 5592462),(38 5828349.5),(39 6087288),(40 6331562),(41 6604453.5),(42 6901101.5),(43 7236982.5),(44 7609782.5),(45 8003999.5),(46 8424316),(47 8891496),(48 9333084),(49 9748017),(50 10147905),(51 10530539),(52 10900917),(53 11247905),(54 11554212),(55 11893944),(56 12235368),(57 12583705),(58 12904740),(59 13195420),(60 13433176),(61 13672608),(62 13881095),(63 14044701),(64 14158067),(65 14292029),(66 14387663),(67 14475101),(68 14574168),(69 14672229),(70 14790919),(71 14886191),(72 15007627),(73 15150205),(74 15295627),(75 15484089),(76 15687213),(77 15895573),(78 16040136),(79 16172955),
(1 18992.875),(2 70684.28),(3 155522.42),(4 263763.72),(5 390279),(6 541372.1),(7 705626.75),(8 886128.44),(9 1063075.9),(10 1230445.8),(11 1395906.6),(12 1559797.1),(13 1735177.5),(14 1923654.9),(15 2116750),(16 2312637.5),(17 2517029.8),(18 2736470.3),(19 2979361.8),(20 3232502.3),(21 3497645.8),(22 3753946.3),(23 4020944),(24 4254858.5),(25 4497226),(26 4740605.5),(27 4990685.5),(28 5262897),(29 5529040),(30 5765399.5),(31 5974300.5),(32 6176721),(33 6400194),(34 6612945),(35 6827270.5),(36 7032915.5),(37 7243103),(38 7462746.5),(39 7694082),(40 7855719),(41 8024200),(42 8201818),(43 8411778),(44 8623740),(45 8835495),(46 9057370),(47 9296527),(48 9502017),(49 9697644),(50 9906908),(51 10140936),(52 10381776),(53 10635467),(54 10885318),(55 11168532),(56 11462203),(57 11763428),(58 12070619),(59 12362578),(60 12598183),(61 12848802),(62 13105105),(63 13358569),(64 13603353),(65 13880892),(66 14131905),(67 14407955),(68 14699159),(69 15053321),(70 15448238),(71 15835598),(72 16230270),(73 16647154),(74 17089656),(75 17552954),(76 18013766),(77 18469384),(78 18850936),(79 19189830),
(1 20267.117),(2 73999.62),(3 158831.16),(4 266389.56),(5 393927.8),(6 543763.4),(7 711671.56),(8 908966.2),(9 1122578.1),(10 1345243.1),(11 1583023.6),(12 1839725.3),(13 2120189.8),(14 2425449.8),(15 2755972.8),(16 3089336),(17 3436524.8),(18 3807367.3),(19 4194790.5),(20 4583712),(21 4973387.5),(22 5358920),(23 5765783),(24 6151079.5),(25 6555281.5),(26 6959018),(27 7379019.5),(28 7816598),(29 8244707.5),(30 8620190),(31 8970788),(32 9291402),(33 9595852),(34 9858001),(35 10108196),(36 10319153),(37 10505249),(38 10674559),(39 10821265),(40 10900204),(41 10957409),(42 11011540),(43 11080624),(44 11145580),(45 11199069),(46 11245965),(47 11283412),(48 11292703),(49 11282185),(50 11289263),(51 11314014),(52 11340743),(53 11372682),(54 11412994),(55 11478839),(56 11546281),(57 11602314),(58 11643701),(59 11663642),(60 11657497),(61 11663998),(62 11684297),(63 11692728),(64 11718650),(65 11768899),(66 11812308),(67 11893279),(68 11991639),(69 12146841),(70 12363072),(71 12573306),(72 12831569),(73 13128288),(74 13464881),(75 13819901),(76 14204605),(77 14580948),(78 14929312),(79 15238346),
(1 20096.342),(2 72955.266),(3 155805),(4 261277.66),(5 383244.9),(6 522635.34),(7 672779.1),(8 842766.5),(9 1025086.8),(10 1214251),(11 1418256.6),(12 1631904.8),(13 1854929),(14 2102114.5),(15 2374338.8),(16 2655799.3),(17 2949412.5),(18 3260512.5),(19 3583819.3),(20 3909630),(21 4241794),(22 4572545.5),(23 4905435),(24 5228823.5),(25 5572107.5),(26 5919871),(27 6287220),(28 6668700),(29 7044069),(30 7388008),(31 7715325),(32 8025624),(33 8317064),(34 8590221),(35 8857120),(36 9103136),(37 9332306),(38 9554090),(39 9781446),(40 9984262),(41 10180032),(42 10364957),(43 10561310),(44 10757930),(45 10967561),(46 11152955),(47 11334432),(48 11473008),(49 11579779),(50 11655125),(51 11739714),(52 11830864),(53 11925747),(54 12016095),(55 12103930),(56 12156890),(57 12185738),(58 12166365),(59 12110329),(60 12007068),(61 11879518),(62 11739719),(63 11570619),(64 11387848),(65 11224787),(66 11029048),(67 10862941),(68 10713944),(69 10591062),(70 10502200),(71 10432010),(72 10384032),(73 10353650),(74 10337011),(75 10342488),(76 10370782),(77 10407027),(78 10456707),(79 10503890),
(1 16914.926),(2 60775.234),(3 128169.49),(4 210442.56),(5 303395.22),(6 406654.78),(7 514037.2),(8 624980.4),(9 737794.75),(10 848887.7),(11 969315.06),(12 1090259.3),(13 1217596.9),(14 1353030.5),(15 1491178.8),(16 1631282.5),(17 1781685.4),(18 1941213.5),(19 2111465.3),(20 2296456.5),(21 2488192.3),(22 2683480),(23 2874098.8),(24 3065661.3),(25 3268132.5),(26 3475926.3),(27 3699510.3),(28 3935153.8),(29 4170496),(30 4388864.5),(31 4593061.5),(32 4778540),(33 4959829.5),(34 5145730),(35 5347202),(36 5561865),(37 5764455.5),(38 5963763),(39 6154445),(40 6335858),(41 6501720.5),(42 6642414),(43 6778395.5),(44 6905207),(45 7041034.5),(46 7156442.5),(47 7255140.5),(48 7309762.5),(49 7339885),(50 7346631.5),(51 7342930.5),(52 7332449),(53 7327193),(54 7323066.5),(55 7302591.5),(56 7270946),(57 7223550),(58 7152999.5),(59 7059753),(60 6939593),(61 6801759.5),(62 6665175),(63 6530530),(64 6399370.5),(65 6289688),(66 6156704),(67 6049336.5),(68 5944272.5),(69 5849250.5),(70 5760026.5),(71 5682891),(72 5605972.5),(73 5539693.5),(74 5480579.5),(75 5431454),(76 5385903.5),(77 5352030),(78 5321408.5),(79 5303641),
(1 18826.566),(2 67760.09),(3 144054.92),(4 245167.23),(5 364687.1),(6 504579.16),(7 656488.4),(8 821386.25),(9 989179.9),(10 1164563.8),(11 1366351.9),(12 1593386.1),(13 1841598.8),(14 2104882.8),(15 2382455.5),(16 2661284.3),(17 2966113.3),(18 3292488),(19 3642685.8),(20 4008946.3),(21 4379801.5),(22 4747903),(23 5107131),(24 5459505.5),(25 5814511),(26 6165999.5),(27 6522862),(28 6874463),(29 7201283),(30 7494014),(31 7771877.5),(32 8019464.5),(33 8245060.5),(34 8457585),(35 8668031),(36 8863919),(37 9032995),(38 9178644),(39 9298705),(40 9391868),(41 9457203),(42 9486076),(43 9503537),(44 9504972),(45 9489361),(46 9445197),(47 9373340),(48 9272462),(49 9148134),(50 9012019),(51 8868832),(52 8718178),(53 8575617),(54 8444105),(55 8309393.5),(56 8171095.5),(57 8023540.5),(58 7864798),(59 7701393),(60 7543891),(61 7406595.5),(62 7277095),(63 7161059.5),(64 7067652.5),(65 7016411.5),(66 6959621.5),(67 6920237),(68 6897274.5),(69 6883730),(70 6868160),(71 6866099.5),(72 6866244.5),(73 6881306.5),(74 6879959),(75 6882685.5),(76 6866537.5),(77 6830833),(78 6780411),(79 6741647.5),
(1 19762.248),(2 72297.414),(3 152422.06),(4 259518.1),(5 385874.03),(6 528775.9),(7 679428.56),(8 837513.4),(9 995140.25),(10 1159307.3),(11 1337914.1),(12 1523890.1),(13 1728472.3),(14 1939560.8),(15 2159833.5),(16 2391762.5),(17 2638228.5),(18 2898541.3),(19 3183275),(20 3476313.8),(21 3775405.3),(22 4065500.8),(23 4342979),(24 4591322),(25 4841396.5),(26 5081183),(27 5323092),(28 5563331),(29 5774633.5),(30 5952039.5),(31 6110552),(32 6247363),(33 6373319.5),(34 6484462),(35 6592072.5),(36 6677053),(37 6736211),(38 6785027),(39 6811344),(40 6820447),(41 6827595.5),(42 6810029),(43 6787772),(44 6758858.5),(45 6728938.5),(46 6703907),(47 6667786),(48 6614349.5),(49 6557894.5),(50 6507508),(51 6469685.5),(52 6438869.5),(53 6418786),(54 6423296.5),(55 6442170),(56 6458120.5),(57 6481725),(58 6499286),(59 6521135),(60 6535836),(61 6556866.5),(62 6596713.5),(63 6638955.5),(64 6693218.5),(65 6771575),(66 6832933.5),(67 6891093),(68 6961722),(69 7035072.5),(70 7090865),(71 7146762.5),(72 7201375.5),(73 7255835.5),(74 7290260.5),(75 7309485.5),(76 7313901.5),(77 7304081),(78 7278900),(79 7258754),
(1 21441.566),(2 79424),(3 167629.5),(4 281729.38),(5 414290.88),(6 560721.2),(7 716157.75),(8 881105.5),(9 1051512.1),(10 1227913.8),(11 1411358.9),(12 1601222.1),(13 1796149),(14 1986388.9),(15 2180184.5),(16 2377812.3),(17 2581722.8),(18 2789832.5),(19 3000421.8),(20 3215107.5),(21 3420278),(22 3615495.3),(23 3793435.5),(24 3933921.8),(25 4075189.3),(26 4207680.5),(27 4341271.5),(28 4485626.5),(29 4624251),(30 4745078),(31 4858472),(32 4960988.5),(33 5051599),(34 5148428.5),(35 5241420.5),(36 5311441),(37 5379161.5),(38 5449204.5),(39 5512190),(40 5557299.5),(41 5599225),(42 5609405.5),(43 5598774),(44 5574334),(45 5540779.5),(46 5498172.5),(47 5439638),(48 5367902),(49 5289142.5),(50 5216678.5),(51 5154906.5),(52 5098286.5),(53 5057461.5),(54 5034545),(55 5024716.5),(56 5013432.5),(57 5016206),(58 5016079),(59 5015640.5),(60 4999346),(61 4985040.5),(62 4975958),(63 4969219),(64 4965169.5),(65 4962561),(66 4955405.5),(67 4951979.5),(68 4954048),(69 4946582.5),(70 4922688),(71 4888066),(72 4844566),(73 4802554.5),(74 4754963),(75 4709310),(76 4660792),(77 4610273),(78 4561220.5),(79 4524182),
(1 27221.93),(2 100227.81),(3 211454.63),(4 354908.13),(5 523025.4),(6 710154.3),(7 913542.9),(8 1132869.8),(9 1365779),(10 1612318.1),(11 1865592.8),(12 2121594),(13 2370778.8),(14 2611910.5),(15 2845231.5),(16 3073715.3),(17 3295594.8),(18 3502878),(19 3696401.5),(20 3865420.3),(21 4012007.5),(22 4123224),(23 4202884.5),(24 4246576.5),(25 4276333.5),(26 4287694.5),(27 4304531),(28 4326094),(29 4343201.5),(30 4334363.5),(31 4321868),(32 4295396),(33 4236587),(34 4157105),(35 4075111.5),(36 3967280),(37 3884613.8),(38 3806802.3),(39 3727461.3),(40 3651706.3),(41 3594644.8),(42 3515127.5),(43 3433980.3),(44 3361200.5),(45 3296761.5),(46 3232410),(47 3177980.8),(48 3132137.8),(49 3102084.8),(50 3089735.8),(51 3099610),(52 3124980),(53 3169170),(54 3243632.3),(55 3337016),(56 3435135.3),(57 3558903),(58 3690346),(59 3836134),(60 3981735.5),(61 4134594),(62 4292728.5),(63 4458448.5),(64 4621855.5),(65 4777754.5),(66 4929002.5),(67 5061832.5),(68 5193759),(69 5317828),(70 5427885),(71 5527651),(72 5612879),(73 5676858.5),(74 5729991.5),(75 5774934),(76 5787252.5),(77 5803807.5),(78 5804443.5),(79 5801037),
