1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,
(1 0.0012170747),(2 1.8335377),(3 3.4344213),(4 3.8596478),(5 3.859401),(6 4.3658996),(7 4.3329935),(8 4.1560354),(9 4.1565824),(10 4.3111525),(11 4.487603),(12 4.830947),(13 4.828377),(14 5.239311),(15 5.0984154),(16 4.8612843),(17 4.858906),(18 5.0160613),(19 5.149651),(20 5.0621605),(21 5.059201),(22 5.088686),(23 5.737408),(24 5.642899),(25 5.6427984),(26 5.523549),(27 5.252908),(28 5.054854),(29 5.056125),(30 4.7887783),(31 4.9121118),(32 4.7567906),(33 4.7573204),(34 4.614852),(35 4.6491594),(36 4.6800146),(37 4.6818686),(38 4.748912),(39 5.1338534),(40 5.3809342),(41 5.3804135),(42 5.440544),(43 5.670443),(44 5.677279),(45 5.678288),
(1 0.0010365347),(2 1.3968365),(3 3.0309412),(4 3.3233955),(5 3.3210309),(6 3.6444738),(7 3.479855),(8 3.2777152),(9 3.2748826),(10 3.402717),(11 3.6925573),(12 4.0496855),(13 4.0486445),(14 4.2236056),(15 3.9114332),(16 3.7540507),(17 3.7511425),(18 3.965868),(19 4.037324),(20 4.001101),(21 3.9997053),(22 4.017417),(23 4.4992223),(24 4.6060953),(25 4.6043634),(26 4.4348936),(27 4.2418094),(28 4.0346694),(29 4.0304337),(30 3.8076549),(31 3.7882466),(32 3.796127),(33 3.7972405),(34 3.6375391),(35 3.6200192),(36 3.769552),(37 3.7686884),(38 3.698733),(39 4.096726),(40 4.1728153),(41 4.1733613),(42 4.3219004),(43 4.5664835),(44 4.2704625),(45 4.2698503),
(1 0.0009196044),(2 1.0449582),(3 2.3510334),(4 2.6487055),(5 2.6488304),(6 2.8108523),(7 2.5181327),(8 2.4697251),(9 2.4690669),(10 2.5890725),(11 2.9089024),(12 3.1271007),(13 3.1255136),(14 3.1882446),(15 2.9727516),(16 2.9963849),(17 2.9946306),(18 3.2016852),(19 3.10658),(20 3.1704679),(21 3.1695282),(22 3.1557832),(23 3.5728378),(24 3.6132102),(25 3.6146786),(26 3.4595773),(27 3.302445),(28 3.1232631),(29 3.1220841),(30 3.0438964),(31 3.058473),(32 3.0356207),(33 3.0363452),(34 2.945368),(35 2.919974),(36 2.9862761),(37 2.9849687),(38 2.8898215),(39 3.2164404),(40 3.2635539),(41 3.2639773),(42 3.3808055),(43 3.4930356),(44 3.3955894),(45 3.3947525),
(1 0.0007994521),(2 0.80021113),(3 1.807725),(4 2.0483143),(5 2.0486004),(6 2.1500256),(7 2.0314565),(8 2.048609),(9 2.0482025),(10 2.2026653),(11 2.38682),(12 2.5435627),(13 2.5408869),(14 2.5862477),(15 2.4459522),(16 2.4873004),(17 2.4862437),(18 2.5772898),(19 2.5479703),(20 2.593051),(21 2.592466),(22 2.6208382),(23 2.9070442),(24 2.865589),(25 2.86439),(26 2.802628),(27 2.7539957),(28 2.6056173),(29 2.6028297),(30 2.526937),(31 2.4943318),(32 2.4777513),(33 2.4784908),(34 2.3940578),(35 2.4345596),(36 2.4381843),(37 2.4371462),(38 2.391659),(39 2.5015929),(40 2.5526888),(41 2.5543025),(42 2.6631303),(43 2.7871222),(44 2.724002),(45 2.7246945),
(1 0.0008076668),(2 0.7227759),(3 1.4713554),(4 1.6936984),(5 1.6940333),(6 1.7680304),(7 1.7606524),(8 1.7416205),(9 1.7413038),(10 1.8462718),(11 1.9861335),(12 2.1060693),(13 2.1046088),(14 2.210266),(15 2.151469),(16 2.1801028),(17 2.1796222),(18 2.2399268),(19 2.1674912),(20 2.190399),(21 2.1900108),(22 2.2286155),(23 2.4567556),(24 2.4625022),(25 2.4606164),(26 2.4042625),(27 2.302712),(28 2.1904593),(29 2.187057),(30 2.0837538),(31 2.1142836),(32 2.102739),(33 2.1026852),(34 2.036005),(35 2.0480485),(36 2.0702858),(37 2.0695684),(38 2.0211208),(39 2.1224375),(40 2.207569),(41 2.2065547),(42 2.2503183),(43 2.3365867),(44 2.3195531),(45 2.3196561),
(1 0.0008047309),(2 0.6155151),(3 1.2278244),(4 1.3873777),(5 1.3873478),(6 1.4900199),(7 1.4693552),(8 1.4609183),(9 1.4595385),(10 1.5221517),(11 1.6543237),(12 1.7796601),(13 1.7799288),(14 1.838188),(15 1.8412175),(16 1.8506793),(17 1.8488206),(18 1.9400032),(19 1.8502814),(20 1.8413906),(21 1.8405976),(22 1.8877084),(23 2.0855985),(24 2.0957475),(25 2.0953543),(26 1.9888358),(27 1.889052),(28 1.826657),(29 1.8248922),(30 1.7442362),(31 1.8157696),(32 1.7723123),(33 1.7731577),(34 1.7121904),(35 1.7189965),(36 1.7255805),(37 1.7252848),(38 1.7215976),(39 1.7935435),(40 1.8583736),(41 1.859533),(42 1.9219913),(43 1.9772044),(44 1.9862952),(45 1.9873997),
(1 0.0007516608),(2 0.5330406),(3 1.0430516),(4 1.1358725),(5 1.1365484),(6 1.2497156),(7 1.2535646),(8 1.2761928),(9 1.2751876),(10 1.3000556),(11 1.435324),(12 1.509954),(13 1.5080646),(14 1.5823252),(15 1.5656334),(16 1.5919428),(17 1.5904385),(18 1.6962544),(19 1.6227624),(20 1.6415616),(21 1.6414968),(22 1.635936),(23 1.7468969),(24 1.7615638),(25 1.7606678),(26 1.6749766),(27 1.6346794),(28 1.5479984),(29 1.5456234),(30 1.5022569),(31 1.5249119),(32 1.5014666),(33 1.5020586),(34 1.4541942),(35 1.47552),(36 1.4769999),(37 1.4769018),(38 1.4587699),(39 1.5381379),(40 1.5765889),(41 1.5764319),(42 1.6233263),(43 1.6940747),(44 1.7011805),(45 1.7011524),
(1 0.0007026228),(2 0.44853157),(3 0.86984557),(4 0.91000015),(5 0.9098014),(6 0.9863444),(7 1.0122782),(8 1.0207021),(9 1.0205721),(10 1.0625539),(11 1.1055009),(12 1.1984886),(13 1.1961739),(14 1.2767138),(15 1.2829567),(16 1.289012),(17 1.2880076),(18 1.3768437),(19 1.3569936),(20 1.3548328),(21 1.3541965),(22 1.3553104),(23 1.462407),(24 1.4689958),(25 1.4692532),(26 1.4179583),(27 1.3363712),(28 1.2740401),(29 1.2720464),(30 1.2352084),(31 1.2643789),(32 1.2345049),(33 1.234291),(34 1.1976041),(35 1.2267152),(36 1.2638639),(37 1.2640778),(38 1.2305758),(39 1.3246083),(40 1.3490893),(41 1.3494307),(42 1.3792052),(43 1.4586184),(44 1.4378059),(45 1.4378154),
(1 0.00065320113),(2 0.41214782),(3 0.71882164),(4 0.7570224),(5 0.75777775),(6 0.8637578),(7 0.8430237),(8 0.8814152),(9 0.88075083),(10 0.8900343),(11 0.93736404),(12 1.0028875),(13 1.001675),(14 1.0554059),(15 1.072424),(16 1.0904205),(17 1.0897508),(18 1.1922705),(19 1.1561792),(20 1.1577332),(21 1.1571201),(22 1.1997468),(23 1.3172696),(24 1.3094712),(25 1.3090309),(26 1.2226839),(27 1.1528404),(28 1.1260003),(29 1.1254061),(30 1.1130583),(31 1.13194),(32 1.0887588),(33 1.089189),(34 1.0420889),(35 1.0542239),(36 1.0868714),(37 1.0863361),(38 1.0324764),(39 1.1139517),(40 1.1463112),(41 1.1459231),(42 1.1683215),(43 1.2071328),(44 1.1846493),(45 1.1846457),
(1 0.0007008742),(2 0.37402356),(3 0.659385),(4 0.71659046),(5 0.7165656),(6 0.7687489),(7 0.7696184),(8 0.81221926),(9 0.81134605),(10 0.8302945),(11 0.86686414),(12 0.92608273),(13 0.92383164),(14 0.9833105),(15 0.98360574),(16 1.0094798),(17 1.0081769),(18 1.0845401),(19 1.0384513),(20 1.0599906),(21 1.0589788),(22 1.0682822),(23 1.1829114),(24 1.1365733),(25 1.1361687),(26 1.115019),(27 1.0530173),(28 1.0250835),(29 1.0245878),(30 1.000876),(31 1.0391427),(32 1.0079896),(33 1.0085378),(34 0.96775),(35 0.9935122),(36 0.99870765),(37 0.99874264),(38 0.9426692),(39 1.0096107),(40 1.0349747),(41 1.035001),(42 1.0657749),(43 1.0838803),(44 1.0564549),(45 1.0563103),
