1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00096908235),(2 15.766838),(3 36.49748),(4 42.157207),(5 42.175068),(6 47.766953),(7 54.809353),(8 60.155357),(9 60.162895),(10 70.18396),(11 70.0803),(12 79.57214),(13 79.57526),(14 80.66507),(15 88.35524),(16 93.149086),(17 93.17487),(18 96.747574),(19 93.86127),(20 108.24695),(21 108.256874),(22 113.73378),(23 113.43398),(24 113.05353),(25 113.05356),(26 110.46975),(27 107.95545),(28 106.939255),(29 106.94503),(30 108.596565),(31 104.50212),(32 106.02388),(33 105.98941),(34 100.35912),(35 97.8738),(36 98.62677),(37 98.626236),(38 99.90166),(39 103.03076),(40 102.79359),(41 102.79403),(42 105.10906),(43 109.98397),(44 107.39186),(45 107.397675),
(1 0.0012009906),(2 5.6301003),(3 15.50986),(4 17.60085),(5 17.612278),(6 20.467619),(7 23.456858),(8 24.781605),(9 24.796547),(10 27.321697),(11 28.163792),(12 29.749401),(13 29.753977),(14 31.125523),(15 33.059994),(16 34.491257),(17 34.50446),(18 35.15527),(19 36.530334),(20 38.972652),(21 38.9905),(22 41.70588),(23 41.641056),(24 41.67092),(25 41.669575),(26 40.68741),(27 39.610157),(28 38.60695),(29 38.604374),(30 38.532997),(31 37.116478),(32 37.874638),(33 37.869507),(34 38.612007),(35 36.523544),(36 37.74696),(37 37.747593),(38 38.748188),(39 40.54929),(40 40.73607),(41 40.730484),(42 41.798668),(43 43.286575),(44 43.62326),(45 43.62168),
(1 0.0010256253),(2 3.2675629),(3 8.6657915),(4 9.994542),(5 9.996318),(6 11.553672),(7 12.76345),(8 13.191594),(9 13.204843),(10 13.89861),(11 14.820576),(12 15.437204),(13 15.442114),(14 15.500823),(15 16.493893),(16 16.811878),(17 16.819202),(18 17.279366),(19 17.922632),(20 18.893599),(21 18.898779),(22 19.484283),(23 19.723116),(24 20.13608),(25 20.1388),(26 20.194002),(27 19.45484),(28 19.067324),(29 19.074488),(30 18.953058),(31 17.856388),(32 18.442743),(33 18.444216),(34 18.375088),(35 17.413662),(36 18.136244),(37 18.14021),(38 18.582443),(39 19.601309),(40 19.750294),(41 19.75408),(42 20.422338),(43 21.192574),(44 21.300968),(45 21.298355),
(1 0.0011811943),(2 2.5099342),(3 6.066581),(4 7.0832915),(5 7.083658),(6 8.092156),(7 8.710052),(8 9.100875),(9 9.103407),(10 9.643681),(11 9.653164),(12 9.811001),(13 9.815),(14 9.835266),(15 10.44044),(16 10.661313),(17 10.661539),(18 11.03136),(19 11.651365),(20 11.635848),(21 11.63202),(22 11.997898),(23 12.466363),(24 12.798635),(25 12.795268),(26 12.821336),(27 12.5901),(28 12.10952),(29 12.107774),(30 11.444999),(31 10.866683),(32 11.147639),(33 11.150882),(34 11.0721445),(35 10.466692),(36 11.163428),(37 11.16516),(38 11.388773),(39 12.355181),(40 12.316276),(41 12.317915),(42 12.7962055),(43 13.225769),(44 13.272903),(45 13.2696905),
(1 0.001119567),(2 2.1308033),(3 4.5902104),(4 5.445852),(5 5.449106),(6 5.9697223),(7 6.4680777),(8 6.701102),(9 6.7052007),(10 6.9247217),(11 6.8901024),(12 6.873806),(13 6.8741817),(14 7.092479),(15 7.434675),(16 7.504465),(17 7.504319),(18 7.694751),(19 7.8721366),(20 7.917743),(21 7.9166794),(22 8.305977),(23 8.5712385),(24 8.835932),(25 8.837258),(26 8.81709),(27 8.542569),(28 8.026597),(29 8.020093),(30 7.6200647),(31 7.400065),(32 7.484441),(33 7.4853244),(34 7.5508237),(35 7.2711287),(36 7.661324),(37 7.6609554),(38 7.8336616),(39 8.285042),(40 8.216474),(41 8.220621),(42 8.482289),(43 8.756666),(44 8.821896),(45 8.8202095),
(1 0.0007592128),(2 1.7646741),(3 2.960756),(4 3.3260238),(5 3.3274302),(6 3.7052894),(7 3.8678656),(8 3.7438524),(9 3.7448654),(10 4.041723),(11 4.0187774),(12 4.1571865),(13 4.1584854),(14 4.402927),(15 4.447118),(16 4.4354734),(17 4.435595),(18 4.4987564),(19 4.588069),(20 4.5760093),(21 4.575809),(22 4.855122),(23 4.8840837),(24 5.1114936),(25 5.1119184),(26 5.0572667),(27 4.8460217),(28 4.5946765),(29 4.5927296),(30 4.501019),(31 4.40441),(32 4.530367),(33 4.530375),(34 4.4720964),(35 4.337606),(36 4.433166),(37 4.4316087),(38 4.5411158),(39 4.865616),(40 4.8845215),(41 4.886961),(42 5.0871787),(43 5.236018),(44 5.252413),(45 5.252147),
(1 0.00077265425),(2 1.4128114),(3 2.5475764),(4 2.5004628),(5 2.5008965),(6 2.9694266),(7 2.9928527),(8 2.9497268),(9 2.948808),(10 3.1692717),(11 3.248495),(12 3.4611747),(13 3.459993),(14 3.5750377),(15 3.4535127),(16 3.4483986),(17 3.4466162),(18 3.4337213),(19 3.47865),(20 3.586149),(21 3.5850801),(22 3.6869135),(23 3.8053434),(24 4.0210676),(25 4.021713),(26 3.8862832),(27 3.7506962),(28 3.5491226),(29 3.5453737),(30 3.4634185),(31 3.357859),(32 3.442292),(33 3.4412978),(34 3.4290087),(35 3.2693336),(36 3.4233286),(37 3.4246967),(38 3.497187),(39 3.7797647),(40 3.8190877),(41 3.818544),(42 3.9099576),(43 3.9975162),(44 3.988378),(45 3.9879115),
(1 0.00066445343),(2 0.84270424),(3 1.7813277),(4 1.9061352),(5 1.9061754),(6 2.09611),(7 2.073118),(8 2.0731237),(9 2.0727987),(10 2.2023377),(11 2.3423424),(12 2.523578),(13 2.5227783),(14 2.52759),(15 2.34255),(16 2.3662083),(17 2.3657992),(18 2.456574),(19 2.4685278),(20 2.5343685),(21 2.5339975),(22 2.6415806),(23 2.6855538),(24 2.8213747),(25 2.8205483),(26 2.7724252),(27 2.7089212),(28 2.5227768),(29 2.5184696),(30 2.4109724),(31 2.3400927),(32 2.4189749),(33 2.418824),(34 2.3758204),(35 2.249684),(36 2.3966799),(37 2.3954659),(38 2.4752553),(39 2.7015667),(40 2.642271),(41 2.6432786),(42 2.7238724),(43 2.7756507),(44 2.731204),(45 2.7309287),
(1 0.00058117334),(2 0.59421575),(3 1.2449037),(4 1.3451233),(5 1.3456626),(6 1.4995254),(7 1.4906623),(8 1.4816803),(9 1.481032),(10 1.6525499),(11 1.7075605),(12 1.8283806),(13 1.8266636),(14 1.8328315),(15 1.7643899),(16 1.8180501),(17 1.8179678),(18 1.8591497),(19 1.8738221),(20 1.8917497),(21 1.8916419),(22 1.9460113),(23 1.976516),(24 2.101622),(25 2.101703),(26 2.0860956),(27 2.0164297),(28 1.8747807),(29 1.8720855),(30 1.8179606),(31 1.7594763),(32 1.8021961),(33 1.8021175),(34 1.792389),(35 1.7094792),(36 1.7992309),(37 1.7990923),(38 1.8397586),(39 1.9270114),(40 1.899289),(41 1.899087),(42 1.9848661),(43 1.9914105),(44 2.005554),(45 2.0054255),
(1 0.0005268209),(2 0.44962817),(3 0.9289265),(4 0.977001),(5 0.9768507),(6 1.0612732),(7 1.0857532),(8 1.1126785),(9 1.1123123),(10 1.2094059),(11 1.2629728),(12 1.347333),(13 1.3460066),(14 1.3605661),(15 1.3501676),(16 1.386436),(17 1.385476),(18 1.4091467),(19 1.3886552),(20 1.4459956),(21 1.4455831),(22 1.4981738),(23 1.4876915),(24 1.5616686),(25 1.5614014),(26 1.5564821),(27 1.5008646),(28 1.4332991),(29 1.431664),(30 1.3998833),(31 1.3559438),(32 1.3869461),(33 1.3861632),(34 1.3840609),(35 1.3006061),(36 1.3718687),(37 1.3714461),(38 1.4008585),(39 1.4539917),(40 1.4438703),(41 1.4430934),(42 1.4973109),(43 1.485806),(44 1.5014235),(45 1.5015161),
