1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,
(1 0.0016948328),(2 2.8427305),(3 6.148102),(4 6.873088),(5 6.8724413),(6 7.8276114),(7 8.066181),(8 8.391377),(9 8.394031),(10 8.448755),(11 8.20913),(12 8.196936),(13 8.196984),(14 8.391833),(15 8.944539),(16 8.962583),(17 8.961396),(18 8.957387),(19 8.965808),(20 9.118168),(21 9.116615),(22 9.434238),(23 9.785896),(24 9.855298),(25 9.859676),(26 9.896006),(27 9.693343),(28 9.384991),(29 9.377379),(30 8.81351),(31 8.45115),(32 8.426492),(33 8.435423),(34 8.125526),(35 8.261903),(36 8.472598),(37 8.4736595),(38 8.777083),(39 8.901749),(40 9.122745),(41 9.122388),(42 9.645342),(43 10.002531),(44 10.133214),(45 10.133131),
(1 0.0015102142),(2 2.4734569),(3 5.0893307),(4 5.7285223),(5 5.728849),(6 6.441858),(7 6.8851156),(8 6.754613),(9 6.7545724),(10 6.9504814),(11 6.5135255),(12 6.8310905),(13 6.8272543),(14 7.1205316),(15 7.195515),(16 7.012629),(17 7.0071173),(18 7.1618223),(19 7.4133897),(20 7.360213),(21 7.35746),(22 7.7361517),(23 7.920702),(24 8.252273),(25 8.254854),(26 8.046181),(27 7.76106),(28 7.6184645),(29 7.6122956),(30 7.072298),(31 6.8007703),(32 6.7979217),(33 6.7991037),(34 6.764254),(35 6.7861915),(36 6.917749),(37 6.9172916),(38 7.1942225),(39 7.3381724),(40 7.5141454),(41 7.514058),(42 8.048007),(43 8.186763),(44 8.412801),(45 8.411228),
(1 0.0013719419),(2 2.152572),(3 4.4248767),(4 4.8449783),(5 4.8451204),(6 5.4165645),(7 5.4733706),(8 5.370708),(9 5.3704777),(10 5.593165),(11 5.4488354),(12 5.673952),(13 5.6708694),(14 5.868985),(15 6.031886),(16 5.9282923),(17 5.9274783),(18 6.0074015),(19 6.002329),(20 6.0155272),(21 6.015653),(22 6.1057553),(23 6.365778),(24 6.396934),(25 6.394811),(26 6.379421),(27 6.2072115),(28 6.004584),(29 6.0004053),(30 5.7712975),(31 5.6505413),(32 5.6760287),(33 5.677028),(34 5.504205),(35 5.5803523),(36 5.7091603),(37 5.7104154),(38 5.9842696),(39 6.038477),(40 6.147244),(41 6.1475387),(42 6.4571238),(43 6.703371),(44 6.7731867),(45 6.7731442),
(1 0.0012020192),(2 1.8808987),(3 3.780426),(4 4.1501184),(5 4.1508956),(6 4.5695696),(7 4.614795),(8 4.4920263),(9 4.488115),(10 4.6034837),(11 4.603756),(12 4.8272552),(13 4.8262887),(14 4.934085),(15 4.9695635),(16 4.7999015),(17 4.7958913),(18 4.862051),(19 4.949611),(20 4.934259),(21 4.9300227),(22 5.1035466),(23 5.278734),(24 5.467779),(25 5.4680853),(26 5.2856784),(27 5.288123),(28 5.096941),(29 5.091718),(30 4.893874),(31 4.718826),(32 4.779085),(33 4.7792706),(34 4.573123),(35 4.643061),(36 4.764402),(37 4.766034),(38 4.9468365),(39 5.019099),(40 5.1296506),(41 5.1295896),(42 5.3559833),(43 5.5679193),(44 5.5036983),(45 5.50284),
(1 0.0011618264),(2 1.6472286),(3 3.2898488),(4 3.7210867),(5 3.7206118),(6 4.1403227),(7 3.9481077),(8 3.8097003),(9 3.8100886),(10 3.9740772),(11 3.8784764),(12 4.0821776),(13 4.080756),(14 4.1564693),(15 4.1911325),(16 4.0588784),(17 4.053351),(18 4.0072584),(19 4.0401254),(20 4.2427177),(21 4.240373),(22 4.2919273),(23 4.6009016),(24 4.6022305),(25 4.6017923),(26 4.616098),(27 4.4685097),(28 4.416692),(29 4.4122252),(30 4.1612864),(31 4.0413003),(32 4.0083766),(33 4.005689),(34 3.8439648),(35 3.8945138),(36 3.9355228),(37 3.9340072),(38 4.1259155),(39 4.320207),(40 4.34081),(41 4.3395777),(42 4.578539),(43 4.6604967),(44 4.6892185),(45 4.6886086),
(1 0.0011512907),(2 1.4449028),(3 3.1305408),(4 3.4456615),(5 3.4451473),(6 3.7468534),(7 3.536116),(8 3.4105043),(9 3.407968),(10 3.5565355),(11 3.633208),(12 3.7597904),(13 3.759212),(14 3.8437078),(15 3.8745866),(16 3.807682),(17 3.8055215),(18 3.762421),(19 3.7095788),(20 3.8191037),(21 3.8171823),(22 3.9583254),(23 4.111141),(24 4.2254977),(25 4.223713),(26 4.2170196),(27 4.1111083),(28 3.976256),(29 3.9719152),(30 3.7941756),(31 3.7054656),(32 3.7179964),(33 3.7194533),(34 3.5409417),(35 3.5412192),(36 3.6924999),(37 3.6906083),(38 3.8063622),(39 3.921144),(40 3.9058812),(41 3.9070158),(42 4.119988),(43 4.1995363),(44 4.085659),(45 4.0856657),
(1 0.0010600089),(2 1.2673074),(3 2.6800966),(4 2.9357455),(5 2.93633),(6 3.2322712),(7 2.9626317),(8 2.8847916),(9 2.8836777),(10 3.0477405),(11 3.0343406),(12 3.1813657),(13 3.178835),(14 3.2351768),(15 3.2207582),(16 3.1373565),(17 3.1349041),(18 3.090177),(19 3.0302222),(20 3.1459002),(21 3.1445067),(22 3.2451022),(23 3.4567122),(24 3.4923084),(25 3.4931726),(26 3.5199208),(27 3.5096939),(28 3.4136882),(29 3.409793),(30 3.1755562),(31 3.1298144),(32 3.1463337),(33 3.1468992),(34 2.9455414),(35 3.0090303),(36 3.0577264),(37 3.0557961),(38 3.1247337),(39 3.2878098),(40 3.3249671),(41 3.326603),(42 3.508461),(43 3.5392118),(44 3.4894605),(45 3.4893467),
(1 0.00097553973),(2 1.0595214),(3 2.246104),(4 2.4627542),(5 2.4621685),(6 2.6228921),(7 2.4320307),(8 2.3833885),(9 2.3824086),(10 2.556133),(11 2.6136322),(12 2.7464364),(13 2.74546),(14 2.8081565),(15 2.7597427),(16 2.745103),(17 2.7431219),(18 2.721555),(19 2.6566062),(20 2.7227983),(21 2.7228203),(22 2.8651373),(23 2.9732664),(24 2.9666069),(25 2.9676158),(26 3.0590432),(27 3.0322416),(28 2.9629545),(29 2.9574473),(30 2.7817974),(31 2.7175996),(32 2.7453065),(33 2.7447107),(34 2.590934),(35 2.612612),(36 2.6221313),(37 2.6228302),(38 2.686307),(39 2.7450562),(40 2.7877526),(41 2.7879887),(42 2.9491286),(43 2.9707568),(44 3.000047),(45 3.0004709),
(1 0.0009154602),(2 0.89108235),(3 1.8548746),(4 2.0081952),(5 2.0074434),(6 2.1278508),(7 1.9867853),(8 1.9879518),(9 1.9861856),(10 2.0828857),(11 2.1373491),(12 2.244764),(13 2.2427201),(14 2.252023),(15 2.217931),(16 2.1833992),(17 2.1810002),(18 2.1598964),(19 2.1130984),(20 2.1741226),(21 2.1715884),(22 2.315036),(23 2.3720322),(24 2.4231462),(25 2.422975),(26 2.4337902),(27 2.3870382),(28 2.3605936),(29 2.3590612),(30 2.2055328),(31 2.1491375),(32 2.1662812),(33 2.1666994),(34 2.0360477),(35 2.0883284),(36 2.074557),(37 2.0737665),(38 2.1624699),(39 2.2103462),(40 2.2442424),(41 2.243896),(42 2.3994458),(43 2.4010928),(44 2.4257593),(45 2.4257052),
(1 0.00093552796),(2 0.8171587),(3 1.6969917),(4 1.7832459),(5 1.7826289),(6 1.9344549),(7 1.8502475),(8 1.8664083),(9 1.8644483),(10 1.9132124),(11 1.9591769),(12 2.0476928),(13 2.0452483),(14 2.1249244),(15 2.134309),(16 2.0870323),(17 2.0855057),(18 2.0708861),(19 2.011112),(20 2.0628235),(21 2.0617008),(22 2.1976602),(23 2.266063),(24 2.2780967),(25 2.2774372),(26 2.2633588),(27 2.2599204),(28 2.2215445),(29 2.2194946),(30 2.0881574),(31 2.0316186),(32 2.029389),(33 2.0289557),(34 1.9276841),(35 1.9454525),(36 1.953621),(37 1.9534197),(38 2.0437768),(39 2.0334334),(40 2.094062),(41 2.0931141),(42 2.2030668),(43 2.1920006),(44 2.2352393),(45 2.2354846),
(1 0.00083779445),(2 0.6717923),(3 1.3260442),(4 1.3920207),(5 1.3910185),(6 1.5260862),(7 1.4605391),(8 1.462596),(9 1.4627589),(10 1.5261897),(11 1.5625957),(12 1.5961219),(13 1.5938331),(14 1.590568),(15 1.636714),(16 1.603729),(17 1.6021132),(18 1.6189884),(19 1.581155),(20 1.6233759),(21 1.6213781),(22 1.751092),(23 1.7397842),(24 1.7818176),(25 1.7818257),(26 1.7630281),(27 1.7308927),(28 1.7144758),(29 1.7120175),(30 1.6194317),(31 1.5927062),(32 1.60039),(33 1.5999609),(34 1.4991642),(35 1.5190502),(36 1.5233095),(37 1.5232811),(38 1.5867461),(39 1.5767471),(40 1.605582),(41 1.6067926),(42 1.714626),(43 1.7197664),(44 1.765165),(45 1.7656494),
(1 0.00078882487),(2 0.5846162),(3 1.113158),(4 1.1728605),(5 1.1719193),(6 1.3199381),(7 1.2713653),(8 1.2708957),(9 1.2699437),(10 1.318343),(11 1.3285658),(12 1.352743),(13 1.3521348),(14 1.3961214),(15 1.428894),(16 1.4097638),(17 1.408616),(18 1.4129083),(19 1.3777475),(20 1.431691),(21 1.4309471),(22 1.5240449),(23 1.4984081),(24 1.5309914),(25 1.5305196),(26 1.5421622),(27 1.505235),(28 1.4937056),(29 1.4908798),(30 1.4166402),(31 1.3869972),(32 1.3827802),(33 1.3818626),(34 1.318824),(35 1.366051),(36 1.3764076),(37 1.3768051),(38 1.3928205),(39 1.3799875),(40 1.395814),(41 1.3958429),(42 1.4905217),(43 1.5004816),(44 1.5405201),(45 1.5400099),
