1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 263718.25),(2 843255.5),(3 1548225.9),(4 2328221.3),(5 3082780),(6 3943138),(7 4981248.5),(8 6218138.5),(9 7756110.5),(10 9405816),(11 11199601),(12 12994785),(13 15032133),(14 17110224),(15 18948854),(16 20609588),(17 22369978),(18 24086360),(19 26011686),(20 27945906),(21 29894102),(22 32096186),(23 34133628),(24 35975052),(25 37814744),(26 39548990),(27 41022220),(28 42243140),(29 43123172),(30 43711100),(31 44334404),(32 44671148),(33 44856276),(34 44806668),(35 44449736),(36 44061892),(37 43334680),(38 42382196),(39 41381924),(40 40457010),(41 39720256),(42 39151936),(43 38583616),(44 38267468),(45 37395060),(46 36542780),(47 35172188),(48 33721276),(49 32582520),(50 31595424),(51 30798682),(52 30247818),(53 29500216),(54 29146678),(55 29378730),(56 29779782),(57 30078382),(58 30382954),(59 30890378),(60 31381664),(61 32156976),(62 32831602),(63 33907684),(64 35277124),(65 36592720),(66 38173284),(67 39894224),(68 41176910),(69 42278540),(70 43501028),(71 44609710),(72 45645504),(73 46583456),(74 47239948),(75 47898796),(76 48336292),(77 48598420),(78 48491936),(79 48073204),
(1 359463.44),(2 1211610.4),(3 2323263.5),(4 3489198.5),(5 4639301.5),(6 5900203),(7 7336836),(8 8976662),(9 10728458),(10 12582254),(11 14492560),(12 16458141),(13 18504020),(14 20442374),(15 22315404),(16 24037674),(17 25668980),(18 27083232),(19 28372320),(20 29613524),(21 30751110),(22 32016512),(23 33304026),(24 34591976),(25 35797224),(26 36954370),(27 37848760),(28 38174344),(29 38438744),(30 38464810),(31 38473604),(32 38462616),(33 38299756),(34 38173110),(35 38145668),(36 38089724),(37 38033380),(38 37780764),(39 37329616),(40 37014470),(41 36821030),(42 36717624),(43 36487144),(44 36159724),(45 35600250),(46 35119230),(47 34394460),(48 33640904),(49 33254732),(50 33029914),(51 32974804),(52 33146036),(53 33186196),(54 33455712),(55 33909740),(56 34399790),(57 34962828),(58 35612092),(59 36439010),(60 37492430),(61 38638904),(62 39687908),(63 41007784),(64 42421084),(65 43712940),(66 45000730),(67 46236880),(68 46943384),(69 47353256),(70 47534896),(71 47629560),(72 47682284),(73 47517470),(74 47153510),(75 46637944),(76 45756880),(77 44962430),(78 43786868),(79 42574444),
(1 485080.47),(2 1714406.6),(3 3501914),(4 5596818.5),(5 7607189.5),(6 9999425),(7 12656720),(8 15611440),(9 18722224),(10 21848692),(11 25152594),(12 28603178),(13 32036510),(14 35255324),(15 38337268),(16 41191410),(17 43752692),(18 45964476),(19 47833616),(20 49564900),(21 51221070),(22 52726880),(23 54011984),(24 55131820),(25 56109972),(26 56923630),(27 57116496),(28 57194270),(29 57159870),(30 56818784),(31 56516428),(32 55979932),(33 55282796),(34 54735564),(35 54266164),(36 53676212),(37 53202370),(38 52708884),(39 52199220),(40 51834068),(41 51456044),(42 51119980),(43 50556236),(44 49837440),(45 48924692),(46 47983790),(47 47047250),(48 46169268),(49 45392604),(50 44642240),(51 43858396),(52 43249508),(53 42847540),(54 42586532),(55 42514196),(56 42666972),(57 42836620),(58 42798172),(59 42666388),(60 42673556),(61 42762624),(62 42742868),(63 42848756),(64 42986650),(65 43157476),(66 43501852),(67 43936976),(68 44115090),(69 43949220),(70 43574372),(71 43097564),(72 42823980),(73 42728736),(74 42710736),(75 42580724),(76 42214700),(77 41752260),(78 41255580),(79 40652400),
(1 428004.88),(2 1515925.5),(3 3034538.8),(4 4755883.5),(5 6343588.5),(6 8129842),(7 10084953),(8 12236158),(9 14462844),(10 16693810),(11 19016392),(12 21338152),(13 23563864),(14 25557992),(15 27459626),(16 29155704),(17 30682236),(18 32140424),(19 33499648),(20 34705664),(21 35746350),(22 36751772),(23 37591870),(24 38106450),(25 38405744),(26 38531804),(27 38341530),(28 37965830),(29 37620052),(30 37049004),(31 36538430),(32 36001770),(33 35570880),(34 35351776),(35 35224356),(36 34892430),(37 34442580),(38 33939370),(39 33547512),(40 33256074),(41 33007256),(42 32602766),(43 32068232),(44 31289618),(45 30368470),(46 29336092),(47 28287880),(48 27145060),(49 25983588),(50 24873784),(51 23852540),(52 22927066),(53 22210606),(54 21657878),(55 21266168),(56 20998670),(57 20938006),(58 20866808),(59 20839424),(60 20958652),(61 21241066),(62 21468890),(63 21713218),(64 21820868),(65 21804680),(66 21722830),(67 21609812),(68 21559578),(69 21607214),(70 21710902),(71 21938678),(72 22099324),(73 22116440),(74 22106276),(75 22093604),(76 21948412),(77 21747930),(78 21557752),(79 21568290),
(1 356102.4),(2 1206765.4),(3 2306647.8),(4 3481700.8),(5 4506796.5),(6 5660224),(7 6911487.5),(8 8204010),(9 9398756),(10 10504691),(11 11613975),(12 12659869),(13 13581783),(14 14363648),(15 14930525),(16 15138255),(17 15332204),(18 15569402),(19 15876017),(20 16106303),(21 16201017),(22 16177716),(23 16067060),(24 15889455),(25 15732660),(26 15582865),(27 15417095),(28 15141633),(29 14868992),(30 14766694),(31 14769196),(32 14971113),(33 15385747),(34 16005158),(35 16721530),(36 17296156),(37 17854650),(38 18232444),(39 18509482),(40 18727022),(41 18781368),(42 18672692),(43 18405016),(44 18075648),(45 17715806),(46 17434878),(47 17206870),(48 17050938),(49 17000182),(50 17040690),(51 17012986),(52 17034734),(53 16944780),(54 16902152),(55 16844844),(56 16761001),(57 16722435),(58 16683780),(59 16702189),(60 16822006),(61 17056856),(62 17341640),(63 17607486),(64 17811892),(65 17974110),(66 18067860),(67 18130984),(68 18240526),(69 18456788),(70 18850492),(71 19242728),(72 19427168),(73 19375400),(74 19285824),(75 19238818),(76 19172844),(77 18987784),(78 18924130),(79 18940390),
(1 467894.94),(2 1561317.3),(3 2906230.8),(4 4340935),(5 5647197.5),(6 7095525),(7 8528528),(8 9812007),(9 10879333),(10 11841082),(11 12839570),(12 13742842),(13 14525491),(14 15195942),(15 15620363),(16 15778933),(17 15909370),(18 16089390),(19 16372477),(20 16618563),(21 16677083),(22 16611680),(23 16431373),(24 16124128),(25 15672150),(26 15263034),(27 14952829),(28 14596941),(29 14291053),(30 14075373),(31 14038584),(32 14305245),(33 14776806),(34 15175808),(35 15443186),(36 15639366),(37 15823578),(38 15857683),(39 15837715),(40 15734902),(41 15529421),(42 15235136),(43 14909427),(44 14679877),(45 14547523),(46 14494186),(47 14682435),(48 15142128),(49 15872570),(50 16765635),(51 17569220),(52 18363158),(53 18865404),(54 19001548),(55 18811306),(56 18417478),(57 18083290),(58 17841928),(59 17659260),(60 17536956),(61 17541456),(62 17669294),(63 17680982),(64 17619324),(65 17523852),(66 17416944),(67 17321040),(68 17243526),(69 17249456),(70 17356884),(71 17544036),(72 17808028),(73 18245698),(74 18864980),(75 19656154),(76 20613706),(77 21385990),(78 22169660),(79 22775500),
(1 609425.75),(2 2065706),(3 3853257.8),(4 5692362),(5 7367075.5),(6 9069814),(7 10632613),(8 11957522),(9 12994559),(10 13820050),(11 14530021),(12 15086587),(13 15466228),(14 15778258),(15 16094860),(16 16305113),(17 16413487),(18 16441211),(19 16454241),(20 16439317),(21 16326295),(22 16352322),(23 16353945),(24 16357535),(25 16430830),(26 16717684),(27 17061590),(28 17230462),(29 17473916),(30 17468208),(31 17323468),(32 17150248),(33 16901594),(34 16576277),(35 16141498),(36 15610303),(37 15087095),(38 14641575),(39 14342597),(40 14129157),(41 13989077),(42 13881631),(43 13778692),(44 13728407),(45 13804581),(46 13903685),(47 14009040),(48 14265228),(49 14634800),(50 15095104),(51 15522603),(52 15923119),(53 16164229),(54 16074500),(55 15755969),(56 15457940),(57 15288048),(58 15278462),(59 15467127),(60 15848830),(61 16404658),(62 17097556),(63 17906882),(64 18742776),(65 19615490),(66 20529188),(67 21349058),(68 22020460),(69 22564226),(70 23018628),(71 23288448),(72 23521054),(73 23864776),(74 24323476),(75 24727884),(76 25082442),(77 25176022),(78 25004894),(79 24513164),
(1 870952.7),(2 2980522.3),(3 5572725.5),(4 8216450),(5 10510240),(6 12663388),(7 14490641),(8 15783311),(9 16484081),(10 16688309),(11 16615749),(12 16373727),(13 16023358),(14 15663878),(15 15459191),(16 15594148),(17 15892050),(18 16353363),(19 16936240),(20 17567664),(21 18298434),(22 19101632),(23 19710834),(24 20021074),(25 20041658),(26 19886908),(27 19630604),(28 19171474),(29 18704338),(30 18184814),(31 17707590),(32 17478860),(33 17553854),(34 17909148),(35 18472370),(36 19074312),(37 19546202),(38 19991904),(39 20286520),(40 20416348),(41 20400140),(42 20181034),(43 19754518),(44 19293578),(45 18874898),(46 18476264),(47 18162130),(48 18080928),(49 18293676),(50 18716834),(51 19176158),(52 19416342),(53 19407160),(54 18909380),(55 18052228),(56 17126806),(57 16211883),(58 15427014),(59 14935878),(60 14956729),(61 15380726),(62 15980848),(63 16581314),(64 17126232),(65 17597180),(66 17880530),(67 17988668),(68 18025078),(69 18070488),(70 18195124),(71 18417126),(72 18697048),(73 19010676),(74 19451180),(75 20043702),(76 20657220),(77 20846656),(78 20943724),(79 20703458),
(1 1069393.6),(2 3680816.3),(3 6891076.5),(4 10130193),(5 12841179),(6 15330852),(7 17016056),(8 17746708),(9 17750702),(10 17204728),(11 16440808),(12 15636166),(13 14885715),(14 14207859),(15 13648436),(16 13393440),(17 13379702),(18 13442920),(19 13481596),(20 13450407),(21 13352992),(22 13175396),(23 12907778),(24 12685530),(25 12501384),(26 12275080),(27 12118936),(28 11931055),(29 11835447),(30 11615799),(31 11449935),(32 11478840),(33 11749336),(34 12360235),(35 13396836),(36 14794026),(37 16365944),(38 17855170),(39 19027712),(40 19723648),(41 19925696),(42 19595728),(43 18856652),(44 17777790),(45 16545344),(46 15399829),(47 14581579),(48 14113720),(49 14051469),(50 14343642),(51 14957297),(52 15595603),(53 16153197),(54 16326419),(55 16178199),(56 15808128),(57 15176742),(58 14468065),(59 13850172),(60 13517060),(61 13461980),(62 13571614),(63 13808560),(64 14142083),(65 14627343),(66 15264994),(67 15872894),(68 16360386),(69 16648678),(70 16726989),(71 16617698),(72 16335066),(73 15899226),(74 15429500),(75 15038779),(76 14712834),(77 14528009),(78 14401622),(79 14402402),
(1 1000303.3),(2 3243395),(3 5667489),(4 7843526),(5 9644716),(6 11288468),(7 12379096),(8 12998700),(9 13327372),(10 13367471),(11 13143932),(12 12784594),(13 12508908),(14 12448357),(15 12617458),(16 12853080),(17 13075829),(18 13134716),(19 13154011),(20 13152668),(21 13019140),(22 12757282),(23 12381637),(24 11997799),(25 11716501),(26 11504498),(27 11526685),(28 11689001),(29 12199124),(30 12583849),(31 12955184),(32 13268248),(33 13428908),(34 13569015),(35 13802449),(36 14141689),(37 14516508),(38 14831364),(39 15051684),(40 15290537),(41 15413824),(42 15486329),(43 15529010),(44 15490379),(45 15294642),(46 15003678),(47 14742715),(48 14592107),(49 14580907),(50 14628488),(51 14804810),(52 15028985),(53 15337700),(54 15713716),(55 16044300),(56 16161045),(57 16093924),(58 16046571),(59 16040887),(60 16010713),(61 16006997),(62 16142343),(63 16362498),(64 16675275),(65 17084350),(66 17407366),(67 17543000),(68 17642056),(69 17715034),(70 17830204),(71 17931708),(72 17912072),(73 17674032),(74 17144224),(75 16354059),(76 15348167),(77 14480501),(78 13452339),(79 12613328),
(1 980489.2),(2 3090914.3),(3 5255327),(4 7157945),(5 8681213),(6 9821218),(7 10384544),(8 10639822),(9 10781847),(10 10860220),(11 10981409),(12 11130904),(13 11309173),(14 11558248),(15 11889747),(16 12157129),(17 12349783),(18 12384501),(19 12192412),(20 11726481),(21 11042052),(22 10370375),(23 9859179),(24 9580580),(25 9600551),(26 9922850),(27 10506253),(28 11222294),(29 11967596),(30 12643044),(31 13239850),(32 13648916),(33 13614570),(34 13178243),(35 12641281),(36 12206926),(37 11816933),(38 11508323),(39 11319229),(40 11244798),(41 11141736),(42 11083112),(43 11171153),(44 11310547),(45 11280008),(46 11092486),(47 10956767),(48 11023627),(49 11251019),(50 11539136),(51 11844440),(52 12165698),(53 12492527),(54 12912093),(55 13309094),(56 13426776),(57 13371561),(58 13162970),(59 12933839),(60 12744489),(61 12631105),(62 12582247),(63 12542934),(64 12530519),(65 12635880),(66 12806283),(67 12934839),(68 13141007),(69 13438069),(70 13782258),(71 13943511),(72 13773378),(73 13340952),(74 12633096),(75 11805622),(76 10993752),(77 10553193),(78 10318990),(79 10537447),
