1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11376.867),(2 28079.172),(3 56472),(4 85299.68),(5 116210.01),(6 139714.64),(7 167494.48),(8 191225.92),(9 218667.75),(10 240342.42),(11 266153.4),(12 281354.1),(13 298776.4),(14 306820.1),(15 320425.75),(16 329667.34),(17 340800.34),(18 350834.97),(19 362642.34),(20 375368.6),(21 389878.9),(22 413684.16),(23 436875.53),(24 462768.4),(25 499585.28),(26 537118.2),(27 580913.2),(28 631932.94),(29 687568.2),(30 744389.44),(31 806020.94),(32 884477.5),(33 968706.3),(34 1055008.1),(35 1138207.6),(36 1223337.3),(37 1307221.5),(38 1391570),(39 1465005.5),(40 1531325.9),(41 1596453.1),(42 1655114.5),(43 1704234),(44 1741203.1),(45 1767597.6),(46 1784713.6),(47 1801920),(48 1817938),(49 1837209),(50 1844270.1),(51 1863112.4),(52 1871863.6),(53 1881275),(54 1872287.1),(55 1856789.9),(56 1842739),(57 1824072.5),(58 1810652.5),(59 1784267),(60 1765340.5),(61 1755196.6),(62 1758525.4),(63 1764823.6),(64 1769914),(65 1785064),(66 1791060),(67 1799189.6),(68 1808847.1),(69 1816664),(70 1828674.9),(71 1845216.4),(72 1854117.4),(73 1890347),(74 1918453.4),(75 1959969),(76 2009025.4),(77 2075282.6),(78 2136037.3),(79 2184034.8),
(1 8761.896),(2 26448.7),(3 54675.387),(4 85793.9),(5 120326.92),(6 155467.33),(7 194862.8),(8 236596.3),(9 282071.7),(10 330294.3),(11 377277.28),(12 425845.16),(13 479037.5),(14 532442.4),(15 593271),(16 649985.4),(17 710380),(18 768841.3),(19 827899.1),(20 884548.5),(21 944586.2),(22 1008706.4),(23 1070983.4),(24 1134779.3),(25 1209111.3),(26 1279728.8),(27 1367889.4),(28 1465190.1),(29 1569523.6),(30 1672087.5),(31 1780891.6),(32 1900723.3),(33 2023246),(34 2150725),(35 2257605.5),(36 2370162.5),(37 2475505.5),(38 2595358.8),(39 2708361.3),(40 2803967.3),(41 2914381.5),(42 3016160.5),(43 3113175.8),(44 3193634.3),(45 3274342.5),(46 3352340.5),(47 3416929.3),(48 3475712.5),(49 3520007.3),(50 3548620),(51 3573363.3),(52 3588130.5),(53 3591958.5),(54 3591644.5),(55 3602379.3),(56 3624346),(57 3651580.8),(58 3690396.8),(59 3739316.5),(60 3796066),(61 3884845.5),(62 3998510.5),(63 4112358.8),(64 4237244.5),(65 4377993),(66 4517970.5),(67 4684457.5),(68 4867786.5),(69 5057851),(70 5247726.5),(71 5447977.5),(72 5649255),(73 5861574),(74 6078500.5),(75 6326979),(76 6603931.5),(77 6925734.5),(78 7238941.5),(79 7536447),
(1 7799.334),(2 24079.35),(3 51605.3),(4 83608.34),(5 121776.625),(6 164552.06),(7 210003.44),(8 253460.88),(9 298709.97),(10 348196.84),(11 397706.9),(12 451589.34),(13 506256.47),(14 568506),(15 628572.1),(16 694344.75),(17 763985.7),(18 837537.44),(19 913345.8),(20 986700.3),(21 1066854.4),(22 1153722.6),(23 1244627.5),(24 1330924),(25 1424629),(26 1512818),(27 1609706.5),(28 1713460.6),(29 1813955.4),(30 1921692.6),(31 2030332.5),(32 2143831.8),(33 2255801.8),(34 2367355),(35 2465033.3),(36 2560180.8),(37 2652236.3),(38 2751628.3),(39 2850903.3),(40 2947803),(41 3059100.8),(42 3177976),(43 3296193.3),(44 3404185.8),(45 3511475.3),(46 3623784.3),(47 3755121),(48 3874701.8),(49 3976993),(50 4067778.8),(51 4158380.3),(52 4245145.5),(53 4322802),(54 4404195.5),(55 4485363.5),(56 4575429.5),(57 4674942.5),(58 4782011),(59 4900943.5),(60 5019055.5),(61 5154485),(62 5299719.5),(63 5450698.5),(64 5590911),(65 5745816),(66 5898486.5),(67 6085137.5),(68 6265574.5),(69 6440823.5),(70 6611149.5),(71 6803281.5),(72 6996905.5),(73 7184729.5),(74 7363745.5),(75 7558866.5),(76 7779472),(77 8037205.5),(78 8293918.5),(79 8545317),
(1 7392.308),(2 24855.184),(3 53473.453),(4 86666.12),(5 126998.234),(6 170800.64),(7 217550.94),(8 267791.56),(9 324772.5),(10 384111.72),(11 449099.56),(12 518037.78),(13 591247),(14 667723.9),(15 742506.75),(16 822767.25),(17 900866.94),(18 980674.7),(19 1059188.4),(20 1138420.9),(21 1225135.4),(22 1311431.8),(23 1408182),(24 1501202.6),(25 1600415.8),(26 1703024.3),(27 1813556.9),(28 1924675.5),(29 2037356.9),(30 2147384.8),(31 2261595),(32 2368424),(33 2482228.3),(34 2594320),(35 2715528),(36 2828018),(37 2943147.5),(38 3060429.8),(39 3183053.8),(40 3295653),(41 3410422),(42 3527777.3),(43 3646338.3),(44 3753078.3),(45 3861179.5),(46 3967063),(47 4078354.8),(48 4184810.8),(49 4288279),(50 4394663.5),(51 4503439),(52 4601416.5),(53 4695517),(54 4772816),(55 4855031),(56 4922533.5),(57 4984316.5),(58 5047249),(59 5114939.5),(60 5175810),(61 5236404.5),(62 5296747.5),(63 5346700),(64 5378810),(65 5406779.5),(66 5443981.5),(67 5494925),(68 5540119),(69 5574624),(70 5606438.5),(71 5623164.5),(72 5641030),(73 5653513),(74 5667568),(75 5685845.5),(76 5708633),(77 5740090),(78 5778070),(79 5824891.5),
(1 8486.456),(2 29542.162),(3 62942.387),(4 102349.48),(5 149289),(6 200272.23),(7 255070.23),(8 310548.38),(9 368845.28),(10 429929.72),(11 498305),(12 568072.25),(13 642579.2),(14 720984.44),(15 806251.6),(16 892782.94),(17 985253.6),(18 1082902.4),(19 1186151.9),(20 1293606.8),(21 1410080.9),(22 1536313.6),(23 1679442.9),(24 1834535.6),(25 1996471.9),(26 2165301.8),(27 2355117),(28 2545398.3),(29 2748510.3),(30 2953697.5),(31 3171113.5),(32 3390091.8),(33 3622304),(34 3861043),(35 4117400),(36 4371234),(37 4632870),(38 4899019.5),(39 5194604),(40 5473222),(41 5760014),(42 6047354),(43 6337360),(44 6604701),(45 6872484.5),(46 7132688.5),(47 7402363.5),(48 7666702.5),(49 7915064.5),(50 8159832),(51 8412770),(52 8635065),(53 8857866),(54 9063851),(55 9266323),(56 9447804),(57 9635309),(58 9821192),(59 9989937),(60 10149504),(61 10301250),(62 10431044),(63 10538488),(64 10596842),(65 10642858),(66 10679095),(67 10709822),(68 10716471),(69 10717965),(70 10710624),(71 10692800),(72 10661652),(73 10623809),(74 10572248),(75 10501434),(76 10430493),(77 10372772),(78 10292154),(79 10203513),
(1 13893.068),(2 50219.586),(3 106921.75),(4 178978.63),(5 262552.47),(6 356286.56),(7 457783.3),(8 560306.9),(9 666085.8),(10 780181.6),(11 905853.2),(12 1034595.8),(13 1169895.6),(14 1308070.8),(15 1457417.9),(16 1603258.8),(17 1758032),(18 1921078.3),(19 2095162.8),(20 2279003.5),(21 2472231.3),(22 2668987.5),(23 2890336.8),(24 3126826.5),(25 3371278),(26 3612587.3),(27 3878108),(28 4141566),(29 4421077),(30 4704174.5),(31 5001913.5),(32 5301002.5),(33 5607961),(34 5915983),(35 6235090.5),(36 6544403),(37 6856477),(38 7155594.5),(39 7474787),(40 7787590.5),(41 8101376),(42 8407603),(43 8711604),(44 8989888),(45 9251798),(46 9497430),(47 9736397),(48 9955222),(49 10152382),(50 10313294),(51 10480951),(52 10614906),(53 10744508),(54 10853834),(55 10935816),(56 10987450),(57 11010688),(58 11008067),(59 10975742),(60 10924053),(61 10856314),(62 10762075),(63 10638055),(64 10478388),(65 10301623),(66 10111406),(67 9904043),(68 9685973),(69 9475130),(70 9265863),(71 9066920),(72 8860662),(73 8644200),(74 8429446),(75 8200118.5),(76 7991129),(77 7793699),(78 7590875),(79 7405704),
(1 9536.401),(2 32961.62),(3 68384.78),(4 113376.71),(5 165507.48),(6 224971.23),(7 289703.3),(8 355178.94),(9 424850.8),(10 499937.3),(11 577817.94),(12 657638.94),(13 743717.3),(14 836128),(15 930804.6),(16 1024200.1),(17 1125760.5),(18 1228034.3),(19 1340045.8),(20 1453116.5),(21 1573613.4),(22 1693958.5),(23 1825914.9),(24 1963613.1),(25 2108245.8),(26 2257593.8),(27 2411581),(28 2563068.8),(29 2729098.8),(30 2893758.3),(31 3063415.8),(32 3236434.5),(33 3417412.3),(34 3593259.8),(35 3774520.5),(36 3951368.3),(37 4133169.3),(38 4299605.5),(39 4473569),(40 4650491),(41 4825424),(42 4996189),(43 5156805),(44 5306277),(45 5440000.5),(46 5568693.5),(47 5681901),(48 5790676.5),(49 5884128),(50 5953125),(51 6020295.5),(52 6079746),(53 6137135.5),(54 6197832.5),(55 6254096.5),(56 6297562),(57 6326864),(58 6350228.5),(59 6374749.5),(60 6399314),(61 6424091.5),(62 6447907),(63 6466087),(64 6474903),(65 6483787),(66 6494128.5),(67 6496645.5),(68 6496471.5),(69 6492464),(70 6506785),(71 6523147.5),(72 6536462),(73 6546567.5),(74 6549077.5),(75 6557563.5),(76 6570661.5),(77 6578368.5),(78 6580530),(79 6587567.5),
(1 9737.736),(2 34627.46),(3 72506.414),(4 119169.03),(5 174828.11),(6 237398.8),(7 307580),(8 382401.72),(9 461280.3),(10 543146.06),(11 627124.2),(12 713121),(13 801529),(14 891172.44),(15 979348.4),(16 1070593.5),(17 1165034.5),(18 1259483.8),(19 1357175.5),(20 1462699.3),(21 1569349.9),(22 1676542.1),(23 1785853.1),(24 1892096.1),(25 2000757.4),(26 2115013.8),(27 2233389.5),(28 2343646.5),(29 2457812.3),(30 2560602.5),(31 2670483.8),(32 2777118.3),(33 2888416.8),(34 2997290.8),(35 3118270.8),(36 3241684.3),(37 3367578.3),(38 3480109.3),(39 3601770.8),(40 3722351.8),(41 3845214.5),(42 3976083.8),(43 4114289.5),(44 4246872.5),(45 4381612.5),(46 4516241),(47 4658271.5),(48 4790859),(49 4925729.5),(50 5056526),(51 5193621.5),(52 5321591.5),(53 5447528.5),(54 5565303),(55 5690701.5),(56 5799847.5),(57 5907060.5),(58 6007148.5),(59 6109161.5),(60 6209647),(61 6306606),(62 6400872.5),(63 6488878),(64 6547557),(65 6593896.5),(66 6621614.5),(67 6636829),(68 6638214.5),(69 6635073.5),(70 6622656),(71 6599275.5),(72 6569269.5),(73 6528772.5),(74 6489231),(75 6451531.5),(76 6424146),(77 6385528),(78 6343985.5),(79 6297945.5),
(1 11600.377),(2 42205.375),(3 89216.7),(4 148499.53),(5 217484.89),(6 292609.1),(7 375295.38),(8 463727.78),(9 557027.1),(10 658409.94),(11 764856.5),(12 870627.3),(13 979962.06),(14 1093261.4),(15 1209526.3),(16 1326210.1),(17 1446057.9),(18 1567233.8),(19 1690977.9),(20 1811687),(21 1936791.5),(22 2056489),(23 2180280),(24 2292133.8),(25 2407060.5),(26 2515728),(27 2630518.3),(28 2746048.3),(29 2856828.3),(30 2961144.8),(31 3064212),(32 3160482.5),(33 3250664.8),(34 3328502.8),(35 3395415.5),(36 3452822.3),(37 3510483.5),(38 3551922),(39 3594674.3),(40 3629465.8),(41 3658122),(42 3684384.5),(43 3707353.8),(44 3730257.3),(45 3760068.5),(46 3781228.8),(47 3804441.5),(48 3836323),(49 3868538),(50 3900057),(51 3935351.5),(52 3966308.8),(53 3994944.5),(54 4032483.8),(55 4074020.3),(56 4120936),(57 4173552.5),(58 4224566.5),(59 4284357),(60 4340482),(61 4404002),(62 4463852),(63 4526422),(64 4592800.5),(65 4655123),(66 4719619),(67 4783175),(68 4838086.5),(69 4883873.5),(70 4921860),(71 4963672.5),(72 4988208),(73 5005559.5),(74 5018866),(75 5034830.5),(76 5058491),(77 5080892),(78 5092967),(79 5100007.5),
(1 12271.911),(2 44949.97),(3 96406.984),(4 162111.92),(5 240889.86),(6 329489.66),(7 428376),(8 534893.44),(9 649698.1),(10 771469.56),(11 897008.56),(12 1023590.3),(13 1151413.8),(14 1280541.5),(15 1411502.5),(16 1539517.3),(17 1663898),(18 1785417.4),(19 1902679.8),(20 2006051.5),(21 2107109.5),(22 2198812),(23 2283990.3),(24 2363688),(25 2441099.8),(26 2505299.8),(27 2573409),(28 2635264.3),(29 2692018.3),(30 2740706.8),(31 2785777),(32 2827905.5),(33 2869250.3),(34 2902846),(35 2939848.8),(36 2964354.5),(37 2993019.8),(38 3017543.8),(39 3039123.3),(40 3065562.8),(41 3098207.5),(42 3131063.8),(43 3173852.5),(44 3221238.8),(45 3271934.3),(46 3318600),(47 3367813.8),(48 3421000.5),(49 3477621.3),(50 3532696.8),(51 3590081),(52 3644241.3),(53 3701009.8),(54 3754418.3),(55 3812397.3),(56 3872179.5),(57 3931042.3),(58 3983964.5),(59 4034505.3),(60 4068450.3),(61 4089414.8),(62 4089726.3),(63 4074495),(64 4044974.8),(65 4009104),(66 3969146.8),(67 3929897),(68 3889450.3),(69 3854865),(70 3819849),(71 3800199),(72 3778977.3),(73 3758529.8),(74 3749084.5),(75 3755407),(76 3767152),(77 3790298.3),(78 3812233.8),(79 3842550.3),
(1 12826.131),(2 45878.477),(3 95841.8),(4 159597.77),(5 235532.42),(6 320224.5),(7 413984.22),(8 513966.06),(9 617906.25),(10 725349.2),(11 836119.06),(12 946863.44),(13 1059141.6),(14 1174089.5),(15 1287692.3),(16 1400161.8),(17 1509815.9),(18 1615044.9),(19 1720190.6),(20 1820031.8),(21 1915740.9),(22 2004213.6),(23 2089865.9),(24 2166930.5),(25 2249084),(26 2314793.3),(27 2386938.3),(28 2457706.8),(29 2521320),(30 2570807.5),(31 2610674.8),(32 2645253.8),(33 2678788),(34 2711772),(35 2742031.8),(36 2762000),(37 2781611.8),(38 2787962),(39 2790838),(40 2795234),(41 2794541.5),(42 2783125.5),(43 2775379.8),(44 2761204.8),(45 2746978.8),(46 2733303),(47 2719815),(48 2708949.8),(49 2700310),(50 2699685.3),(51 2688134),(52 2685336.8),(53 2682450.3),(54 2678204),(55 2680599.8),(56 2685721.5),(57 2698638),(58 2713176.8),(59 2728679),(60 2754975.5),(61 2772965.3),(62 2801179.8),(63 2822685.3),(64 2842862.8),(65 2860997.8),(66 2887539.8),(67 2920901.5),(68 2955835.8),(69 2985617.8),(70 3013006.5),(71 3038915.5),(72 3056826.3),(73 3068468.3),(74 3071865.5),(75 3070254),(76 3061918.5),(77 3048226),(78 3028724.8),(79 2997959.5),
