1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,
(1 0.00094688946),(2 2.6357803),(3 10.538467),(4 14.048956),(5 14.069186),(6 16.664307),(7 21.357355),(8 25.353416),(9 25.41684),(10 26.635956),(11 30.599838),(12 31.854855),(13 31.841133),(14 34.25016),(15 37.42721),(16 38.703323),(17 38.71076),(18 39.31299),(19 38.253654),(20 40.922153),(21 40.961365),(22 42.195747),(23 45.4868),(24 46.20805),(25 46.22841),(26 47.432915),(27 48.084938),(28 49.713184),(29 49.698063),(30 49.845795),(31 48.566547),(32 48.225975),(33 48.207893),(34 47.924896),(35 48.772392),(36 48.54473),(37 48.529137),(38 49.05456),(39 48.232647),(40 49.21223),(41 49.24247),(42 48.363323),(43 48.896496),(44 50.52977),(45 50.52407),(46 51.906677),(47 50.484158),(48 49.69112),(49 49.726086),(50 49.696262),
(1 0.000988923),(2 2.3168528),(3 10.44148),(4 15.0343275),(5 15.020342),(6 18.161821),(7 20.611973),(8 23.66009),(9 23.66302),(10 24.510796),(11 26.331146),(12 28.142693),(13 28.21083),(14 28.970774),(15 32.14223),(16 32.05387),(17 32.045513),(18 32.181908),(19 34.754234),(20 37.60221),(21 37.635918),(22 37.82293),(23 40.530155),(24 41.80918),(25 41.8235),(26 43.060986),(27 43.06797),(28 42.49082),(29 42.49608),(30 42.087418),(31 41.19923),(32 42.414097),(33 42.41439),(34 40.992565),(35 41.82975),(36 41.692097),(37 41.702946),(38 42.03031),(39 38.48566),(40 39.572536),(41 39.583096),(42 40.51498),(43 39.36519),(44 39.99129),(45 40.019882),(46 40.550686),(47 40.19506),(48 41.98647),(49 41.986393),(50 41.97762),
(1 0.00089514325),(2 2.0158076),(3 8.910155),(4 12.663085),(5 12.688925),(6 15.695002),(7 18.51932),(8 20.729656),(9 20.753637),(10 22.231613),(11 23.40156),(12 25.074686),(13 25.114956),(14 25.959585),(15 28.226454),(16 28.219654),(17 28.226519),(18 29.447039),(19 31.333986),(20 34.421032),(21 34.46357),(22 34.516666),(23 33.761158),(24 34.557693),(25 34.57352),(26 35.09568),(27 35.6137),(28 35.564884),(29 35.595104),(30 35.55435),(31 35.120216),(32 35.678173),(33 35.785164),(34 36.013123),(35 37.64967),(36 38.15871),(37 38.13206),(38 38.520813),(39 37.977093),(40 38.765785),(41 38.786568),(42 39.028465),(43 39.575993),(44 39.73789),(45 39.707783),(46 40.24874),(47 39.20563),(48 40.010586),(49 40.012493),(50 40.012436),
(1 0.0008651982),(2 2.0172203),(3 7.5018344),(4 10.649153),(5 10.67419),(6 12.654385),(7 15.975113),(8 17.777588),(9 17.798359),(10 19.496872),(11 21.674242),(12 24.509974),(13 24.55386),(14 25.206266),(15 27.621967),(16 28.228264),(17 28.199293),(18 30.160685),(19 31.548077),(20 33.481163),(21 33.49187),(22 34.13328),(23 34.77806),(24 35.252316),(25 35.279064),(26 36.035122),(27 34.76366),(28 33.94732),(29 33.90905),(30 34.242203),(31 32.844906),(32 33.150013),(33 33.165047),(34 32.816795),(35 33.734253),(36 33.193436),(37 33.155983),(38 34.313488),(39 35.40214),(40 36.216175),(41 36.188957),(42 36.291718),(43 37.327644),(44 38.195473),(45 38.156322),(46 37.025135),(47 35.73205),(48 36.510967),(49 36.500294),(50 36.511856),
(1 0.00096203166),(2 1.7261872),(3 7.405329),(4 11.398348),(5 11.390015),(6 13.246569),(7 16.74643),(8 18.956432),(9 18.962677),(10 20.73358),(11 21.858885),(12 23.862133),(13 23.845493),(14 23.848755),(15 26.009523),(16 26.116238),(17 26.112183),(18 27.43454),(19 28.872944),(20 30.685757),(21 30.67233),(22 31.41892),(23 31.605028),(24 32.744606),(25 32.754074),(26 33.460728),(27 33.124954),(28 31.677616),(29 31.68189),(30 31.476448),(31 32.23169),(32 32.023766),(33 32.025692),(34 31.884932),(35 32.828274),(36 33.9702),(37 33.93068),(38 33.969536),(39 33.70467),(40 35.264484),(41 35.27003),(42 34.53178),(43 34.204556),(44 35.311306),(45 35.313538),(46 35.402462),(47 35.705925),(48 35.74696),(49 35.75918),(50 35.75857),
(1 0.0008946682),(2 1.915252),(3 7.7666254),(4 11.7543),(5 11.773053),(6 13.791512),(7 17.819086),(8 19.427177),(9 19.457037),(10 21.091225),(11 21.927488),(12 23.307997),(13 23.34101),(14 24.58816),(15 26.033358),(16 26.2856),(17 26.302319),(18 26.596758),(19 26.510895),(20 28.9782),(21 28.978598),(22 29.435236),(23 30.696875),(24 30.838814),(25 30.82145),(26 30.341738),(27 30.52569),(28 30.755972),(29 30.757338),(30 30.785818),(31 30.837524),(32 30.552326),(33 30.551306),(34 30.536415),(35 30.83376),(36 30.60396),(37 30.653034),(38 31.316534),(39 32.195213),(40 33.97987),(41 33.98899),(42 33.590927),(43 33.142223),(44 33.663784),(45 33.701775),(46 33.246254),(47 33.639122),(48 33.97564),(49 33.983486),(50 33.977547),
(1 0.000935642),(2 1.8839248),(3 7.172392),(4 10.938846),(5 10.945333),(6 13.475307),(7 16.593113),(8 17.722376),(9 17.742853),(10 18.764528),(11 20.82342),(12 22.403767),(13 22.412874),(14 23.16704),(15 24.175694),(16 24.519466),(17 24.495157),(18 26.100449),(19 27.80132),(20 30.157537),(21 30.152376),(22 30.03871),(23 29.932354),(24 30.217834),(25 30.216032),(26 31.002274),(27 31.103687),(28 30.308825),(29 30.301016),(30 30.690073),(31 31.451893),(32 31.235231),(33 31.294476),(34 31.154375),(35 31.761003),(36 32.375996),(37 32.383694),(38 32.57989),(39 32.640915),(40 32.78953),(41 32.748928),(42 32.284046),(43 31.375769),(44 31.478691),(45 31.485182),(46 32.015324),(47 32.351925),(48 32.671665),(49 32.658813),(50 32.67242),
(1 0.000941063),(2 1.6881706),(3 6.701253),(4 9.818945),(5 9.812238),(6 11.4707575),(7 13.235315),(8 14.552975),(9 14.566136),(10 15.621632),(11 18.410604),(12 20.11926),(13 20.08808),(14 20.83283),(15 22.158792),(16 22.020645),(17 22.027826),(18 22.632963),(19 23.956617),(20 26.438238),(21 26.466309),(22 26.921988),(23 26.64689),(24 27.153837),(25 27.16254),(26 27.177889),(27 27.754097),(28 27.183397),(29 27.177078),(30 27.481604),(31 26.961859),(32 27.100718),(33 27.126352),(34 26.484406),(35 25.703032),(36 25.90902),(37 25.906885),(38 26.02305),(39 27.630358),(40 28.22742),(41 28.187624),(42 28.73618),(43 27.861572),(44 28.798582),(45 28.795206),(46 29.335571),(47 30.483648),(48 30.007938),(49 30.00911),(50 30.013472),
(1 0.000850433),(2 1.5497055),(3 5.580701),(4 7.673563),(5 7.7017984),(6 9.3970175),(7 11.728386),(8 13.108073),(9 13.137714),(10 14.077342),(11 15.785887),(12 17.443832),(13 17.465311),(14 17.407976),(15 19.311834),(16 19.053736),(17 19.061659),(18 19.455103),(19 20.025124),(20 22.209057),(21 22.18837),(22 22.338377),(23 23.334393),(24 23.775528),(25 23.77563),(26 23.704144),(27 22.664616),(28 22.688124),(29 22.695581),(30 23.8745),(31 23.06948),(32 23.026176),(33 23.056349),(34 23.102764),(35 23.07082),(36 24.24682),(37 24.269087),(38 23.986288),(39 23.700668),(40 23.769596),(41 23.780624),(42 23.47697),(43 23.602818),(44 24.361956),(45 24.380173),(46 24.668568),(47 24.271137),(48 24.112862),(49 24.140741),(50 24.118107),
(1 0.0009912631),(2 1.548103),(3 5.61049),(4 8.223525),(5 8.239285),(6 9.9532795),(7 12.68766),(8 14.580055),(9 14.613992),(10 15.965286),(11 17.483612),(12 19.481398),(13 19.507675),(14 20.138132),(15 22.064537),(16 22.433027),(17 22.437511),(18 23.458614),(19 23.672283),(20 25.623062),(21 25.598269),(22 25.70005),(23 26.660755),(24 26.107388),(25 26.112438),(26 26.496265),(27 26.361538),(28 26.829105),(29 26.835062),(30 27.47294),(31 27.43932),(32 27.496359),(33 27.514648),(34 26.67857),(35 26.077625),(36 26.263235),(37 26.313707),(38 25.51106),(39 25.907581),(40 26.159384),(41 26.185974),(42 25.952692),(43 26.026272),(44 26.635363),(45 26.604544),(46 26.940422),(47 27.826643),(48 28.1936),(49 28.181498),(50 28.188305),
