(1 0.0015817976),(2 9.330072),(3 31.300417),(4 44.05266),(5 44.074764),(6 52.029167),(7 72.462494),(8 80.24499),(9 80.215805),(10 80.73563),(11 86.47235),(12 88.19005),(13 88.385284),(14 93.46964),(15 110.34157),(16 114.194496),(17 114.19265),(18 116.92171),(19 132.56943),(20 155.5097),(21 155.5172),(22 158.12778),(23 163.1894),(24 169.3196),(25 169.48071),(26 176.077),(27 182.99059),(28 183.82112),(29 183.94942),(30 186.5254),(31 186.0622),(32 188.36473),(33 188.40295),(34 191.80008),(35 201.58507),(36 210.51431),(37 210.28506),(38 215.76883),(39 210.34648),(40 211.66486),(41 211.65598),(42 217.22148),(43 206.9253),(44 211.87784),(45 211.80832),(46 222.31523),(47 223.31451),(48 227.04532),(49 227.13887),(50 227.07198),
(1 0.0020522848),(2 8.111804),(3 32.347767),(4 45.370712),(5 45.452244),(6 53.030224),(7 65.451294),(8 73.94091),(9 73.87183),(10 76.71554),(11 88.767136),(12 98.6342),(13 98.50787),(14 101.363205),(15 112.0411),(16 118.24946),(17 118.22766),(18 121.92962),(19 116.723366),(20 131.3615),(21 131.36134),(22 140.04247),(23 136.91383),(24 136.34943),(25 136.45335),(26 140.9104),(27 142.7839),(28 148.14386),(29 148.1223),(30 145.03995),(31 146.34055),(32 147.38405),(33 147.59123),(34 150.56923),(35 155.55656),(36 156.10002),(37 155.994),(38 156.01778),(39 157.02066),(40 155.59395),(41 155.54233),(42 156.89746),(43 154.6586),(44 160.44312),(45 160.61942),(46 163.22069),(47 169.65685),(48 164.86586),(49 164.95638),(50 164.86261),
(1 0.0016457875),(2 7.7100716),(3 28.395746),(4 36.28886),(5 36.244217),(6 41.371784),(7 58.72463),(8 68.81003),(9 68.78914),(10 73.598885),(11 88.97318),(12 98.07907),(13 98.1476),(14 102.93816),(15 110.5622),(16 111.829094),(17 111.90749),(18 117.299034),(19 114.95053),(20 122.83298),(21 122.72117),(22 120.43899),(23 128.22298),(24 132.15233),(25 132.24193),(26 138.27675),(27 144.52016),(28 142.3561),(29 142.2521),(30 145.29547),(31 144.888),(32 142.77652),(33 142.82445),(34 145.54128),(35 143.81161),(36 143.24554),(37 143.15915),(38 146.88452),(39 149.09106),(40 147.67354),(41 147.60664),(42 144.01274),(43 144.96924),(44 141.34612),(45 141.27971),(46 139.91833),(47 145.50328),(48 144.60762),(49 144.55936),(50 144.57172),
(1 0.0017158448),(2 6.1028986),(3 31.66825),(4 42.070026),(5 42.185223),(6 46.115486),(7 62.63246),(8 69.86517),(9 69.85877),(10 71.548065),(11 79.1865),(12 84.862434),(13 84.892624),(14 86.752266),(15 97.53644),(16 96.83287),(17 96.76689),(18 101.85216),(19 111.62887),(20 115.364265),(21 115.44904),(22 116.46706),(23 122.87551),(24 123.04609),(25 123.07262),(26 127.507614),(27 130.6792),(28 130.21902),(29 130.25647),(30 131.59329),(31 129.221),(32 126.53242),(33 126.5817),(34 121.31851),(35 114.41849),(36 122.70356),(37 122.761505),(38 130.55435),(39 128.3609),(40 125.542915),(41 125.45263),(42 120.33762),(43 127.32113),(44 129.2479),(45 129.22923),(46 130.55566),(47 147.71077),(48 145.2975),(49 145.33806),(50 145.25723),
(1 0.0017002727),(2 7.704804),(3 25.183773),(4 34.66733),(5 34.669613),(6 39.346878),(7 47.528126),(8 55.07154),(9 55.1752),(10 57.85879),(11 69.67762),(12 74.07872),(13 74.086205),(14 79.9049),(15 88.11829),(16 88.25174),(17 88.27207),(18 92.29232),(19 92.5763),(20 95.76938),(21 95.808014),(22 100.12751),(23 104.85018),(24 109.23612),(25 109.21888),(26 110.93592),(27 111.135735),(28 111.635414),(29 111.6597),(30 107.41658),(31 105.19526),(32 109.069115),(33 109.30181),(34 110.75071),(35 111.08207),(36 108.445274),(37 108.55362),(38 109.451),(39 111.42794),(40 112.69471),(41 112.76497),(42 113.437965),(43 114.82306),(44 118.11111),(45 118.11912),(46 125.27159),(47 131.77075),(48 134.0518),(49 134.11218),(50 134.08078),
(1 0.0018879134),(2 7.288996),(3 30.962002),(4 43.076607),(5 43.171337),(6 52.24702),(7 61.770103),(8 71.05447),(9 71.10075),(10 75.307785),(11 84.89255),(12 91.313156),(13 91.289665),(14 92.920006),(15 107.84671),(16 103.856636),(17 103.9121),(18 107.340225),(19 98.03967),(20 101.74281),(21 101.71133),(22 105.70343),(23 101.58229),(24 106.96423),(25 107.031395),(26 117.647644),(27 117.98867),(28 120.76099),(29 120.747055),(30 125.28566),(31 116.07836),(32 114.519936),(33 114.2778),(34 113.1356),(35 117.8841),(36 111.13603),(37 111.0664),(38 109.75414),(39 112.40429),(40 112.843636),(41 112.90221),(42 114.34299),(43 117.52342),(44 120.45344),(45 120.661896),(46 119.54129),(47 123.36208),(48 123.55569),(49 123.60614),(50 123.59718),
(1 0.0016645056),(2 6.5191164),(3 25.62404),(4 38.5707),(5 38.64071),(6 44.916283),(7 55.635),(8 62.674763),(9 62.678925),(10 62.87237),(11 70.84775),(12 80.41205),(13 80.45089),(14 84.52006),(15 96.16612),(16 96.62547),(17 96.69086),(18 99.42051),(19 99.63966),(20 101.976326),(21 101.87547),(22 100.54435),(23 110.03534),(24 110.065994),(25 110.143715),(26 107.24663),(27 103.183304),(28 109.64085),(29 109.62074),(30 113.02982),(31 109.967606),(32 108.95933),(33 108.72267),(34 105.72825),(35 112.524864),(36 108.916374),(37 108.92482),(38 105.86709),(39 108.91206),(40 110.01548),(41 110.17634),(42 109.863945),(43 106.812126),(44 107.55278),(45 107.60749),(46 106.411674),(47 106.80146),(48 107.70076),(49 107.70297),(50 107.7017),
(1 0.001698852),(2 6.369092),(3 24.901522),(4 37.022675),(5 37.05685),(6 43.999104),(7 51.90272),(8 58.20522),(9 58.30997),(10 60.944096),(11 69.91451),(12 77.39042),(13 77.362),(14 81.58851),(15 87.20924),(16 84.908745),(17 84.91117),(18 87.71499),(19 88.83669),(20 94.44892),(21 94.35746),(22 92.794876),(23 100.58507),(24 101.01183),(25 101.14405),(26 105.1451),(27 116.22937),(28 115.72753),(29 115.86147),(30 118.36029),(31 114.13956),(32 109.28219),(33 109.31203),(34 102.45441),(35 115.50813),(36 116.93549),(37 116.884834),(38 122.257355),(39 122.44766),(40 122.28118),(41 122.26625),(42 119.62572),(43 115.15533),(44 119.53957),(45 119.491936),(46 121.41191),(47 126.444916),(48 129.65836),(49 129.78725),(50 129.69354),
(1 0.0016407629),(2 5.8848147),(3 22.880957),(4 30.205542),(5 30.23649),(6 37.040333),(7 43.447792),(8 49.48474),(9 49.519108),(10 52.82869),(11 58.973812),(12 62.822357),(13 62.714836),(14 66.01907),(15 72.550026),(16 71.13639),(17 71.10183),(18 74.41751),(19 72.391495),(20 78.40044),(21 78.42744),(22 82.34321),(23 83.84024),(24 86.23329),(25 86.219505),(26 89.15797),(27 90.465454),(28 91.90295),(29 91.88946),(30 92.226685),(31 90.18191),(32 87.58775),(33 87.61657),(34 84.59262),(35 87.72884),(36 86.56609),(37 86.53376),(38 88.51586),(39 87.02022),(40 87.277054),(41 87.39614),(42 86.37822),(43 89.920425),(44 93.08392),(45 93.07549),(46 93.65479),(47 92.667404),(48 91.40352),(49 91.42082),(50 91.411545),
(1 0.0019624855),(2 6.242078),(3 23.877665),(4 32.940693),(5 32.91945),(6 38.86644),(7 49.81405),(8 56.435028),(9 56.52494),(10 60.301697),(11 67.229904),(12 72.78422),(13 72.86731),(14 77.272446),(15 87.759674),(16 88.171135),(17 88.13106),(18 86.1098),(19 86.464485),(20 96.36109),(21 96.39615),(22 96.807625),(23 103.27357),(24 104.74285),(25 104.67966),(26 107.04165),(27 110.0506),(28 111.47789),(29 111.47561),(30 108.79743),(31 104.849266),(32 105.58899),(33 105.61611),(34 103.87245),(35 103.3671),(36 100.70797),(37 100.72357),(38 103.62861),(39 102.014404),(40 98.439026),(41 98.57976),(42 97.78578),(43 99.69805),(44 99.93952),(45 99.75098),(46 99.46008),(47 101.32553),(48 107.72729),(49 107.768776),(50 107.71135),
