1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,
(1 0.0002217055),(2 1.1663693),(3 4.1928215),(4 5.988249),(5 5.9900527),(6 7.17417),(7 10.2332735),(8 10.711892),(9 10.715771),(10 10.899033),(11 12.973694),(12 14.344039),(13 14.346704),(14 15.087332),(15 16.205036),(16 16.714708),(17 16.714989),(18 17.686192),(19 18.825264),(20 20.245405),(21 20.237455),(22 20.797476),(23 21.646196),(24 22.190464),(25 22.185114),(26 22.760666),(27 23.057058),(28 23.68201),(29 23.686329),(30 23.867126),(31 24.743383),(32 25.68674),(33 25.722336),(34 25.958094),(35 27.346075),(36 27.377083),(37 27.389935),(38 28.235264),(39 29.741255),(40 30.538498),(41 30.533821),(42 30.645103),(43 32.231823),(44 33.5082),(45 33.51937),(46 33.810394),(47 35.541256),(48 34.636177),(49 34.629818),(50 34.634933),
(1 0.0002928498),(2 1.4774076),(3 5.68284),(4 7.812937),(5 7.8156652),(6 9.032791),(7 12.264789),(8 13.326827),(9 13.333976),(10 13.38044),(11 15.371922),(12 16.665861),(13 16.668999),(14 17.470377),(15 19.014679),(16 19.269547),(17 19.270859),(18 20.047064),(19 20.869738),(20 22.324314),(21 22.326994),(22 22.92467),(23 23.670612),(24 24.1375),(25 24.144184),(26 24.594913),(27 25.159094),(28 25.847647),(29 25.85406),(30 26.107775),(31 25.996704),(32 26.288883),(33 26.276417),(34 26.085787),(35 26.245419),(36 26.220509),(37 26.221756),(38 27.274504),(39 27.784742),(40 28.064371),(41 28.069887),(42 27.8245),(43 28.122643),(44 29.242598),(45 29.24074),(46 29.468958),(47 31.531202),(48 31.450235),(49 31.452274),(50 31.450922),
(1 0.00028965462),(2 1.0996544),(3 4.2913256),(4 5.9385147),(5 5.944451),(6 7.1009045),(7 8.989254),(8 10.196004),(9 10.197221),(10 10.646522),(11 11.948509),(12 12.84826),(13 12.853338),(14 13.26614),(15 14.552332),(16 14.774642),(17 14.774028),(18 15.285259),(19 15.438076),(20 16.597445),(21 16.600693),(22 16.908607),(23 17.481533),(24 17.913252),(25 17.916636),(26 18.260256),(27 18.524261),(28 18.789206),(29 18.790182),(30 19.0339),(31 19.091473),(32 19.28917),(33 19.30625),(34 19.214813),(35 19.764807),(36 19.773129),(37 19.771513),(38 20.049498),(39 20.281082),(40 20.376547),(41 20.376219),(42 20.396961),(43 20.502165),(44 20.955645),(45 20.9578),(46 21.034094),(47 22.03068),(48 22.07166),(49 22.07282),(50 22.071022),
(1 0.00036278984),(2 0.96235836),(3 3.6638334),(4 5.310573),(5 5.3162537),(6 6.314722),(7 7.934877),(8 8.932272),(9 8.94031),(10 9.503748),(11 10.520205),(12 11.473189),(13 11.482019),(14 11.839888),(15 12.840924),(16 12.8336735),(17 12.832625),(18 13.374637),(19 13.553272),(20 14.530953),(21 14.531878),(22 14.625123),(23 15.132918),(24 15.347139),(25 15.350086),(26 15.504955),(27 15.824515),(28 15.812524),(29 15.818289),(30 15.956267),(31 15.870707),(32 15.829004),(33 15.832399),(34 15.589663),(35 16.061205),(36 15.9744215),(37 15.97379),(38 16.064936),(39 16.136015),(40 16.213314),(41 16.214254),(42 16.045029),(43 16.022217),(44 16.266905),(45 16.268162),(46 16.422121),(47 16.618298),(48 16.76618),(49 16.77253),(50 16.76767),
(1 0.0003713472),(2 0.8102231),(3 3.0228355),(4 4.4759035),(5 4.481653),(6 5.329529),(7 6.6811824),(8 7.5739093),(9 7.5823445),(10 7.9836082),(11 8.759675),(12 9.513659),(13 9.517442),(14 9.639296),(15 10.347613),(16 10.425306),(17 10.427377),(18 10.777538),(19 11.177359),(20 12.14486),(21 12.148904),(22 12.257497),(23 12.528202),(24 12.7863455),(25 12.789225),(26 12.860294),(27 12.741483),(28 12.677475),(29 12.681285),(30 12.897692),(31 12.901939),(32 12.868427),(33 12.882458),(34 12.740735),(35 13.054581),(36 13.022126),(37 13.026856),(38 13.123458),(39 13.119533),(40 13.424615),(41 13.426724),(42 13.319719),(43 13.186402),(44 13.413594),(45 13.410163),(46 13.397867),(47 13.438967),(48 13.587168),(49 13.588814),(50 13.587617),
(1 0.0002900788),(2 0.53344244),(3 1.9374096),(4 2.8360357),(5 2.840004),(6 3.3613157),(7 4.174281),(8 4.6770196),(9 4.6832705),(10 4.9549303),(11 5.4394),(12 5.883504),(13 5.887191),(14 6.004281),(15 6.4179835),(16 6.4095945),(17 6.409382),(18 6.639819),(19 6.8365884),(20 7.5225663),(21 7.5229807),(22 7.6135583),(23 7.762246),(24 7.9279346),(25 7.9275074),(26 7.975351),(27 7.9337835),(28 7.8543897),(29 7.855396),(30 7.913449),(31 8.038544),(32 7.987704),(33 7.998475),(34 7.861475),(35 7.922635),(36 7.9799128),(37 7.9811583),(38 7.9962997),(39 8.041311),(40 8.19158),(41 8.188996),(42 8.076825),(43 8.1128235),(44 8.301681),(45 8.300812),(46 8.391923),(47 8.462973),(48 8.596495),(49 8.598872),(50 8.597125),
(1 0.00032702083),(2 0.49657047),(3 1.7879907),(4 2.566576),(5 2.5702164),(6 3.0420368),(7 3.760223),(8 4.2556834),(9 4.262518),(10 4.483582),(11 4.878843),(12 5.2818766),(13 5.284685),(14 5.3755927),(15 5.7196093),(16 5.7560196),(17 5.7559896),(18 5.998344),(19 6.1143384),(20 6.6498513),(21 6.649358),(22 6.7141967),(23 6.9050326),(24 7.0185943),(25 7.024031),(26 7.064795),(27 7.1103206),(28 7.109009),(29 7.1088433),(30 7.185347),(31 7.201158),(32 7.133729),(33 7.1393995),(34 7.030683),(35 7.0930176),(36 7.143065),(37 7.1435075),(38 7.082743),(39 7.1569066),(40 7.2108955),(41 7.2122364),(42 7.123888),(43 7.142767),(44 7.2795258),(45 7.2816753),(46 7.322216),(47 7.491291),(48 7.519672),(49 7.519218),(50 7.520177),
(1 0.0003367065),(2 0.4130161),(3 1.4605505),(4 2.1406002),(5 2.1431146),(6 2.491939),(7 2.9946506),(8 3.3875601),(9 3.3937542),(10 3.566064),(11 3.9273875),(12 4.223249),(13 4.229366),(14 4.2343),(15 4.6023827),(16 4.5860834),(17 4.587799),(18 4.7463446),(19 4.878588),(20 5.380548),(21 5.3815722),(22 5.4447994),(23 5.5451956),(24 5.666243),(25 5.669343),(26 5.677049),(27 5.69569),(28 5.715192),(29 5.7150326),(30 5.781648),(31 5.906672),(32 5.9062),(33 5.9153934),(34 5.839079),(35 5.856633),(36 5.9076242),(37 5.9076543),(38 5.8334446),(39 5.85514),(40 5.936923),(41 5.936104),(42 5.90931),(43 5.9335613),(44 6.0075564),(45 6.0054708),(46 6.000278),(47 6.10145),(48 6.132343),(49 6.13139),(50 6.132049),
(1 0.00031384276),(2 0.35869694),(3 1.1722747),(4 1.710184),(5 1.711833),(6 1.9804684),(7 2.405261),(8 2.733859),(9 2.7409232),(10 2.8587837),(11 3.0579088),(12 3.2634082),(13 3.2690585),(14 3.269177),(15 3.6204875),(16 3.6369796),(17 3.6357744),(18 3.8011358),(19 3.9366302),(20 4.40464),(21 4.406442),(22 4.433492),(23 4.492649),(24 4.5963206),(25 4.59635),(26 4.5661983),(27 4.5939183),(28 4.5787826),(29 4.578188),(30 4.569714),(31 4.6380467),(32 4.632195),(33 4.6389523),(34 4.5735316),(35 4.6280103),(36 4.6656885),(37 4.6645293),(38 4.567394),(39 4.611186),(40 4.6871),(41 4.6869493),(42 4.652554),(43 4.656695),(44 4.7336116),(45 4.7331343),(46 4.7189465),(47 4.756955),(48 4.774155),(49 4.7742176),(50 4.7741838),
(1 0.00029869506),(2 0.28776774),(3 0.9343889),(4 1.3809794),(5 1.3824077),(6 1.6057874),(7 1.9315653),(8 2.1955342),(9 2.2004054),(10 2.28522),(11 2.465352),(12 2.6334605),(13 2.6355793),(14 2.6326795),(15 2.9403543),(16 2.9637177),(17 2.9632409),(18 3.0742342),(19 3.1667204),(20 3.568004),(21 3.5682805),(22 3.5922089),(23 3.6292496),(24 3.6947515),(25 3.6928167),(26 3.664928),(27 3.6985314),(28 3.689943),(29 3.6893814),(30 3.698875),(31 3.7775488),(32 3.7859292),(33 3.7880418),(34 3.7261412),(35 3.7974095),(36 3.8298364),(37 3.828316),(38 3.7328367),(39 3.803681),(40 3.8789563),(41 3.8779716),(42 3.8444042),(43 3.845778),(44 3.8770654),(45 3.8759913),(46 3.857554),(47 3.89065),(48 3.9096334),(49 3.9106104),(50 3.9096718),
(1 0.00025289695),(2 0.21274997),(3 0.6561119),(4 0.9901166),(5 0.9904605),(6 1.1370548),(7 1.3973451),(8 1.5965306),(9 1.6018348),(10 1.6828865),(11 1.7991577),(12 1.9166609),(13 1.9184629),(14 1.910659),(15 2.1273403),(16 2.1217985),(17 2.1216843),(18 2.1738274),(19 2.2287943),(20 2.5339816),(21 2.5339916),(22 2.5492911),(23 2.6323028),(24 2.680033),(25 2.6796775),(26 2.6386611),(27 2.656339),(28 2.6656878),(29 2.6636665),(30 2.6826086),(31 2.7460651),(32 2.7476122),(33 2.7520423),(34 2.7129383),(35 2.720434),(36 2.740021),(37 2.7378817),(38 2.6734984),(39 2.7124863),(40 2.7677467),(41 2.7680643),(42 2.7449367),(43 2.7355156),(44 2.7530525),(45 2.753574),(46 2.7551467),(47 2.7941136),(48 2.810867),(49 2.8106575),(50 2.8108408),
