1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,
(1 0.00028751063),(2 0.10906325),(3 0.3044689),(4 0.47319782),(5 0.47338334),(6 0.5348616),(7 0.6495199),(8 0.7184529),(9 0.7209696),(10 0.7525778),(11 0.8218573),(12 0.87435657),(13 0.87573636),(14 0.87635905),(15 0.98917717),(16 0.97695845),(17 0.9772236),(18 1.0038311),(19 1.0126947),(20 1.1992177),(21 1.1993076),(22 1.1941925),(23 1.2039094),(24 1.2407819),(25 1.2385505),(26 1.2303647),(27 1.239247),(28 1.248013),(29 1.2470083),(30 1.2498146),(31 1.2935259),(32 1.2923937),(33 1.2953193),(34 1.2723862),(35 1.2687007),(36 1.2699282),(37 1.2690543),(38 1.2154119),(39 1.234828),(40 1.2688724),(41 1.2662667),(42 1.2549827),(43 1.2670962),(44 1.27146),(45 1.2708455),(46 1.2605771),(47 1.2670281),(48 1.279313),(49 1.2792363),(50 1.279311),
(1 0.00026645733),(2 0.08717934),(3 0.23838529),(4 0.3761855),(5 0.37618577),(6 0.42778212),(7 0.5187021),(8 0.5727093),(9 0.57456714),(10 0.6007398),(11 0.6642985),(12 0.7074593),(13 0.7081544),(14 0.692211),(15 0.77931684),(16 0.7745352),(17 0.7745229),(18 0.79313105),(19 0.79164004),(20 0.94493175),(21 0.9439423),(22 0.94760823),(23 0.96279824),(24 0.9897376),(25 0.98811716),(26 0.9711634),(27 0.9776099),(28 0.9876994),(29 0.9870354),(30 0.98110527),(31 1.0185205),(32 1.022512),(33 1.0236155),(34 1.0077562),(35 0.9998232),(36 1.020186),(37 1.0181278),(38 0.9655584),(39 0.98071885),(40 1.0047576),(41 1.0031468),(42 0.9837423),(43 0.9808715),(44 0.97756946),(45 0.9779379),(46 0.9754833),(47 1.0129179),(48 1.0253919),(49 1.0253111),(50 1.0253618),
(1 0.00023394733),(2 0.065654926),(3 0.18412302),(4 0.2891835),(5 0.2893642),(6 0.32990378),(7 0.38940427),(8 0.42923224),(9 0.43049797),(10 0.44685113),(11 0.4959114),(12 0.52174246),(13 0.52196103),(14 0.5146873),(15 0.5708994),(16 0.5638512),(17 0.5638695),(18 0.5755062),(19 0.5781278),(20 0.7064936),(21 0.7052906),(22 0.7078536),(23 0.7160836),(24 0.7452205),(25 0.7438307),(26 0.7290873),(27 0.7403409),(28 0.7468356),(29 0.7464511),(30 0.74385536),(31 0.768961),(32 0.77789617),(33 0.77806157),(34 0.7645725),(35 0.75577646),(36 0.7641212),(37 0.76255506),(38 0.7274585),(39 0.73087996),(40 0.7466807),(41 0.745283),(42 0.73291534),(43 0.74111074),(44 0.7392405),(45 0.73857504),(46 0.73716825),(47 0.75869465),(48 0.75695646),(49 0.75672096),(50 0.75676787),
(1 0.00021027804),(2 0.050096806),(3 0.14197285),(4 0.22594571),(5 0.22611311),(6 0.25705191),(7 0.30623898),(8 0.3318066),(9 0.33299464),(10 0.3473192),(11 0.3831567),(12 0.41068685),(13 0.4114976),(14 0.40327546),(15 0.44228303),(16 0.43593922),(17 0.4359409),(18 0.44197908),(19 0.44515112),(20 0.5429388),(21 0.5425057),(22 0.5455273),(23 0.55808455),(24 0.5841111),(25 0.5832783),(26 0.5743839),(27 0.56974363),(28 0.57630056),(29 0.57542485),(30 0.5703135),(31 0.59821194),(32 0.6024047),(33 0.60318255),(34 0.59031796),(35 0.5817268),(36 0.59257644),(37 0.5908696),(38 0.5663668),(39 0.57898337),(40 0.5904724),(41 0.589267),(42 0.5799476),(43 0.58559483),(44 0.58487695),(45 0.5847687),(46 0.57550615),(47 0.59195006),(48 0.5943642),(49 0.5945046),(50 0.5944333),
(1 0.00020233166),(2 0.04378008),(3 0.116885595),(4 0.18439437),(5 0.18428303),(6 0.20571148),(7 0.24778403),(8 0.26983076),(9 0.27076718),(10 0.28624547),(11 0.31682694),(12 0.3389654),(13 0.3393563),(14 0.3333232),(15 0.36868897),(16 0.3649428),(17 0.36495543),(18 0.36756513),(19 0.37098134),(20 0.4405251),(21 0.44019476),(22 0.44287926),(23 0.4521492),(24 0.46919295),(25 0.4684227),(26 0.46189606),(27 0.46296304),(28 0.47055963),(29 0.46978328),(30 0.46325916),(31 0.486921),(32 0.49390078),(33 0.49481305),(34 0.48700318),(35 0.47699222),(36 0.48453087),(37 0.48369756),(38 0.45987368),(39 0.46812853),(40 0.47165942),(41 0.47020134),(42 0.46257964),(43 0.47276717),(44 0.4697231),(45 0.4696871),(46 0.46494633),(47 0.47972164),(48 0.48116615),(49 0.48120597),(50 0.4811993),
(1 0.00020263421),(2 0.03813677),(3 0.102775306),(4 0.16279249),(5 0.16271098),(6 0.18088993),(7 0.21828954),(8 0.23360711),(9 0.23423505),(10 0.24301292),(11 0.27327448),(12 0.28559452),(13 0.2859068),(14 0.2802077),(15 0.311376),(16 0.30754614),(17 0.30763307),(18 0.3110696),(19 0.3146767),(20 0.374515),(21 0.37341774),(22 0.3735165),(23 0.38669515),(24 0.40263242),(25 0.40215173),(26 0.3958726),(27 0.39590037),(28 0.40257233),(29 0.40165702),(30 0.39180234),(31 0.41552854),(32 0.41768587),(33 0.4188605),(34 0.41134676),(35 0.399251),(36 0.40789482),(37 0.40706956),(38 0.38774994),(39 0.3992073),(40 0.40382633),(41 0.40235507),(42 0.39262828),(43 0.39712933),(44 0.39633104),(45 0.3965301),(46 0.38819185),(47 0.4036893),(48 0.40299115),(49 0.4028519),(50 0.4030171),
(1 0.00019624141),(2 0.03300574),(3 0.08518968),(4 0.13737072),(5 0.13740014),(6 0.14920427),(7 0.1785165),(8 0.19077371),(9 0.19132331),(10 0.2001066),(11 0.22612356),(12 0.23616917),(13 0.236292),(14 0.23048781),(15 0.25553027),(16 0.25417477),(17 0.25416943),(18 0.2563464),(19 0.25758234),(20 0.31041965),(21 0.30960214),(22 0.3119899),(23 0.3140139),(24 0.32904646),(25 0.32823348),(26 0.3215105),(27 0.31861827),(28 0.3256448),(29 0.3251359),(30 0.32052925),(31 0.34106734),(32 0.34291458),(33 0.34320998),(34 0.33840734),(35 0.32944986),(36 0.33508587),(37 0.3338882),(38 0.321715),(39 0.32848343),(40 0.3304113),(41 0.32925013),(42 0.3214855),(43 0.3297629),(44 0.32671812),(45 0.32667693),(46 0.3247442),(47 0.33609688),(48 0.3335966),(49 0.33340436),(50 0.3335589),
(1 0.00018672057),(2 0.028183455),(3 0.07306103),(4 0.11412533),(5 0.1139574),(6 0.12447815),(7 0.14788641),(8 0.15949468),(9 0.15986909),(10 0.16610387),(11 0.18719392),(12 0.19492568),(13 0.19494945),(14 0.19073404),(15 0.21222933),(16 0.20958048),(17 0.20963894),(18 0.2099134),(19 0.21125951),(20 0.25015584),(21 0.24960722),(22 0.25181264),(23 0.25675175),(24 0.26966044),(25 0.26901844),(26 0.2641659),(27 0.26144597),(28 0.2680094),(29 0.26744512),(30 0.2621091),(31 0.27682102),(32 0.2770762),(33 0.27715334),(34 0.27247357),(35 0.26313493),(36 0.2671955),(37 0.26619267),(38 0.25548425),(39 0.26352894),(40 0.26489368),(41 0.26383528),(42 0.25804654),(43 0.26298872),(44 0.25894186),(45 0.2587276),(46 0.25673652),(47 0.2682825),(48 0.26748925),(49 0.2674238),(50 0.2674629),
(1 0.00017708716),(2 0.023707753),(3 0.060343184),(4 0.09414933),(5 0.09400877),(6 0.1012939),(7 0.12288426),(8 0.13112512),(9 0.13151686),(10 0.13541506),(11 0.15435562),(12 0.1596754),(13 0.15986942),(14 0.1563366),(15 0.17415372),(16 0.17125243),(17 0.17134531),(18 0.17130898),(19 0.17344499),(20 0.20509493),(21 0.20448586),(22 0.20723742),(23 0.21111421),(24 0.21864627),(25 0.21803652),(26 0.21318105),(27 0.21227822),(28 0.21704224),(29 0.21636361),(30 0.21211797),(31 0.22583918),(32 0.22867705),(33 0.22883001),(34 0.22502562),(35 0.2148808),(36 0.21873684),(37 0.21805479),(38 0.20921108),(39 0.2153076),(40 0.21755002),(41 0.21685916),(42 0.21269105),(43 0.21800148),(44 0.21558566),(45 0.21556994),(46 0.21399654),(47 0.22067048),(48 0.22150666),(49 0.22149935),(50 0.2215198),
(1 0.0001856019),(2 0.021994889),(3 0.055853385),(4 0.08763881),(5 0.08736398),(6 0.0952398),(7 0.11375575),(8 0.12136526),(9 0.12160159),(10 0.12597482),(11 0.14211982),(12 0.14630125),(13 0.14640827),(14 0.14323573),(15 0.15870154),(16 0.15653668),(17 0.15661664),(18 0.15695031),(19 0.15716742),(20 0.18666224),(21 0.18605857),(22 0.18953249),(23 0.19106346),(24 0.19762503),(25 0.19715442),(26 0.19264987),(27 0.19316082),(28 0.19724174),(29 0.19682485),(30 0.19101603),(31 0.20567977),(32 0.20718679),(33 0.20675988),(34 0.20591724),(35 0.19571126),(36 0.20086691),(37 0.20009342),(38 0.19129813),(39 0.19529751),(40 0.19705367),(41 0.19620954),(42 0.19110836),(43 0.19578515),(44 0.19364816),(45 0.1935464),(46 0.19166462),(47 0.19943471),(48 0.19785546),(49 0.19788411),(50 0.19785802),
