1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,
(1 0.0007369197),(2 1.2200446),(3 4.413709),(4 6.420941),(5 6.4304094),(6 7.756815),(7 9.673711),(8 11.101182),(9 11.113433),(10 11.800294),(11 12.789769),(12 13.873677),(13 13.881541),(14 14.197202),(15 15.12258),(16 15.32175),(17 15.329332),(18 15.82613),(19 15.698035),(20 17.279919),(21 17.275944),(22 17.506334),(23 17.871925),(24 18.063953),(25 18.061417),(26 18.03532),(27 18.24904),(28 18.240343),(29 18.235558),(30 18.651836),(31 18.783226),(32 19.079376),(33 19.111784),(34 18.905281),(35 18.85965),(36 18.935219),(37 18.946968),(38 18.597498),(39 18.412191),(40 18.534927),(41 18.539473),(42 18.336277),(43 18.196857),(44 18.599176),(45 18.583857),(46 18.704699),(47 19.267408),(48 19.47948),(49 19.469933),(50 19.480703),
(1 0.0006901331),(2 1.0860839),(3 3.8600304),(4 5.4119315),(5 5.413594),(6 6.2908006),(7 7.5787444),(8 8.630797),(9 8.645941),(10 9.337811),(11 10.3034115),(12 11.313537),(13 11.306031),(14 11.438053),(15 12.305709),(16 12.353438),(17 12.359652),(18 12.839254),(19 13.065271),(20 14.329164),(21 14.335589),(22 14.433492),(23 14.720177),(24 15.175438),(25 15.193391),(26 15.310661),(27 15.286871),(28 15.315404),(29 15.316854),(30 15.506274),(31 15.881393),(32 15.945237),(33 15.963603),(34 15.786013),(35 15.926409),(36 15.95217),(37 15.947934),(38 15.663958),(39 15.601274),(40 15.828084),(41 15.819011),(42 15.737392),(43 15.670697),(44 16.05573),(45 16.06066),(46 16.132275),(47 16.553236),(48 16.525997),(49 16.527527),(50 16.52513),
(1 0.0006632721),(2 0.9616453),(3 3.2844462),(4 4.825997),(5 4.8277063),(6 5.757412),(7 7.0117764),(8 7.942009),(9 7.9498343),(10 8.646905),(11 9.515225),(12 10.110831),(13 10.126761),(14 10.081128),(15 10.909813),(16 10.854817),(17 10.855962),(18 11.119269),(19 11.464835),(20 12.7843075),(21 12.783435),(22 12.995461),(23 13.363759),(24 13.784382),(25 13.796088),(26 13.742703),(27 13.510784),(28 13.478074),(29 13.480695),(30 13.795866),(31 13.755093),(32 13.420929),(33 13.433177),(34 13.27071),(35 13.192388),(36 13.198361),(37 13.200314),(38 13.346287),(39 13.597798),(40 13.941212),(41 13.944973),(42 13.965044),(43 14.035533),(44 14.25677),(45 14.268502),(46 14.451099),(47 14.683623),(48 14.686535),(49 14.69598),(50 14.686672),
(1 0.00064474385),(2 0.8723689),(3 2.9442167),(4 4.42532),(5 4.432319),(6 5.155129),(7 6.300889),(8 6.9360847),(9 6.9564657),(10 7.2684007),(11 7.6590943),(12 8.226295),(13 8.237872),(14 8.202017),(15 8.872055),(16 8.900653),(17 8.9047985),(18 9.210833),(19 9.378702),(20 10.398056),(21 10.396873),(22 10.517114),(23 10.81814),(24 11.07735),(25 11.081789),(26 10.861543),(27 11.007861),(28 11.120101),(29 11.111447),(30 11.230568),(31 11.321555),(32 11.269604),(33 11.297414),(34 11.097845),(35 11.105122),(36 11.214596),(37 11.216782),(38 11.173341),(39 11.289758),(40 11.297739),(41 11.305619),(42 11.013324),(43 11.126618),(44 11.361807),(45 11.369554),(46 11.472242),(47 11.80205),(48 11.841454),(49 11.84649),(50 11.842995),
(1 0.00064841594),(2 0.7865511),(3 2.8021126),(4 4.067591),(5 4.0734406),(6 4.7475863),(7 5.687298),(8 6.455365),(9 6.464607),(10 6.678145),(11 7.117585),(12 7.512985),(13 7.5308933),(14 7.6624126),(15 8.496017),(16 8.325271),(17 8.32294),(18 8.709647),(19 9.005145),(20 9.942095),(21 9.949348),(22 9.927145),(23 9.967347),(24 10.205595),(25 10.209783),(26 10.299627),(27 10.363415),(28 10.242494),(29 10.242735),(30 10.237629),(31 10.412695),(32 10.481582),(33 10.495185),(34 10.372571),(35 10.610243),(36 10.638364),(37 10.644385),(38 10.470124),(39 10.5362),(40 10.673267),(41 10.672771),(42 10.569886),(43 10.698083),(44 10.80424),(45 10.802556),(46 10.633769),(47 10.690279),(48 10.818785),(49 10.814281),(50 10.816968),
(1 0.0006394575),(2 0.74705046),(3 2.7021015),(4 3.8926787),(5 3.899338),(6 4.539734),(7 5.331083),(8 6.051367),(9 6.0541034),(10 6.2795544),(11 6.542709),(12 7.051612),(13 7.061757),(14 7.025753),(15 7.622659),(16 7.6131377),(17 7.6108584),(18 7.952057),(19 8.197376),(20 9.127852),(21 9.1269865),(22 9.306818),(23 9.652411),(24 9.876725),(25 9.878678),(26 9.858529),(27 9.78393),(28 9.679206),(29 9.680864),(30 9.728966),(31 10.032665),(32 10.151875),(33 10.177259),(34 10.012845),(35 9.963668),(36 10.010473),(37 10.011039),(38 9.746021),(39 9.869823),(40 9.965671),(41 9.956481),(42 9.869836),(43 9.894171),(44 10.118932),(45 10.1054),(46 10.012924),(47 9.97875),(48 10.061609),(49 10.054555),(50 10.059653),
(1 0.0006011037),(2 0.6823733),(3 2.1927068),(4 3.2241178),(5 3.2306921),(6 3.6748056),(7 4.4696765),(8 5.078865),(9 5.0909905),(10 5.3648925),(11 5.8127217),(12 6.181578),(13 6.1870475),(14 6.211188),(15 6.969862),(16 6.9965796),(17 6.998301),(18 7.291528),(19 7.351785),(20 8.176881),(21 8.176601),(22 8.094162),(23 8.403703),(24 8.529509),(25 8.532179),(26 8.6264715),(27 8.572471),(28 8.624122),(29 8.631383),(30 8.693944),(31 8.895058),(32 8.934377),(33 8.940723),(34 8.797803),(35 8.866848),(36 8.851845),(37 8.849852),(38 8.686281),(39 8.676665),(40 8.922563),(41 8.914425),(42 8.844072),(43 8.837672),(44 8.971202),(45 8.971214),(46 8.83602),(47 8.984401),(48 9.034193),(49 9.033647),(50 9.034497),
(1 0.0005879991),(2 0.614485),(3 1.943678),(4 2.893726),(5 2.89408),(6 3.3716223),(7 4.037463),(8 4.54691),(9 4.564823),(10 4.838152),(11 5.1278887),(12 5.4972467),(13 5.506556),(14 5.5403814),(15 6.1798306),(16 6.2045503),(17 6.20383),(18 6.4406595),(19 6.7192097),(20 7.418278),(21 7.4236565),(22 7.395057),(23 7.5809407),(24 7.7515063),(25 7.749615),(26 7.7255406),(27 7.9030285),(28 7.8914),(29 7.8883305),(30 7.9559155),(31 8.072513),(32 8.061186),(33 8.059576),(34 7.844744),(35 7.9168797),(36 7.8932014),(37 7.8919673),(38 7.6212378),(39 7.6980786),(40 7.934839),(41 7.93822),(42 7.8471627),(43 7.7395997),(44 7.862852),(45 7.853866),(46 7.845392),(47 7.940775),(48 8.029188),(49 8.030124),(50 8.028347),
(1 0.0005426656),(2 0.53278136),(3 1.6599027),(4 2.534163),(5 2.5329611),(6 2.8362677),(7 3.5259104),(8 4.064708),(9 4.0748253),(10 4.2295194),(11 4.4857483),(12 4.8117857),(13 4.8115664),(14 4.7761297),(15 5.293283),(16 5.269944),(17 5.269256),(18 5.4555373),(19 5.5153017),(20 6.315067),(21 6.31345),(22 6.4351554),(23 6.545725),(24 6.647295),(25 6.643936),(26 6.479583),(27 6.6807404),(28 6.63914),(29 6.6360497),(30 6.6890097),(31 6.866961),(32 6.891125),(33 6.9058385),(34 6.819611),(35 6.847931),(36 6.9240594),(37 6.923311),(38 6.762762),(39 6.871622),(40 7.0183163),(41 7.0170946),(42 7.005923),(43 6.931055),(44 7.0640097),(45 7.0659304),(46 7.1079917),(47 7.361294),(48 7.4337883),(49 7.4306026),(50 7.4330544),
(1 0.00058037805),(2 0.56336176),(3 1.644145),(4 2.4590955),(5 2.4589303),(6 2.8391547),(7 3.4558907),(8 3.944926),(9 3.9565651),(10 4.103294),(11 4.4223146),(12 4.7217646),(13 4.7297544),(14 4.735004),(15 5.1668854),(16 5.1720552),(17 5.1731353),(18 5.3471704),(19 5.521922),(20 6.4061794),(21 6.4099555),(22 6.5092516),(23 6.4954066),(24 6.6629004),(25 6.6604958),(26 6.55751),(27 6.6265235),(28 6.637062),(29 6.6346407),(30 6.644098),(31 6.781453),(32 6.7379537),(33 6.7458625),(34 6.5876765),(35 6.707922),(36 6.748718),(37 6.744605),(38 6.536128),(39 6.5846014),(40 6.77123),(41 6.7780967),(42 6.725345),(43 6.799567),(44 6.778432),(45 6.786535),(46 6.7185435),(47 6.7906976),(48 6.7533345),(49 6.7546377),(50 6.752403),
