1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 6975.166),(2 16214.471),(3 24173.164),(4 29221.201),(5 32216.156),(6 34547.496),(7 36102.992),(8 37261.99),(9 38247.98),(10 39369.535),(11 40710.26),(12 41903.63),(13 43239.54),(14 43967.348),(15 44746.9),(16 46236.656),(17 46885.758),(18 47417.3),(19 47542.617),(20 47248.254),(21 47763.67),(22 48331.09),(23 48554.984),(24 48259.84),(25 47996.08),(26 47646.3),(27 47409.39),(28 48129.895),(29 48117.78),(30 48152.523),(31 48633.027),(32 48633.7),(33 48848.004),(34 49607.402),(35 50080.09),(36 50944.406),(37 51445.387),(38 51682.816),(39 52061.176),(40 52520.37),(41 52944.047),(42 53660.93),(43 54124.93),(44 54353.82),(45 54339.465),(46 54288.742),(47 54619.08),(48 54988.9),(49 54392.656),(50 54223.133),(51 54523.117),(52 53858.418),(53 53467.617),(54 52683.523),(55 52261.37),(56 52780.08),(57 52959.133),(58 53148.645),(59 53364.145),(60 53094.375),(61 53272.996),(62 53792.93),(63 53868.594),(64 54098.88),(65 54144.91),(66 53956.4),(67 54254.805),(68 54405.6),(69 54407.97),(70 54559.223),(71 54370.46),(72 54204.074),(73 53844.777),(74 53351.71),(75 53635.047),(76 53693.027),(77 53888.49),(78 53881.926),(79 53620.07),
(1 6760.5083),(2 15764.298),(3 22963.877),(4 27554.314),(5 30205.02),(6 32400.324),(7 34778.434),(8 36230.313),(9 37252.723),(10 38549.695),(11 40231.05),(12 41425.09),(13 42682.555),(14 43691.695),(15 44660.03),(16 45244.918),(17 45184.64),(18 45533.37),(19 45987.688),(20 46305.19),(21 46810.29),(22 46861.85),(23 46741.676),(24 46598.152),(25 46727.465),(26 46358.332),(27 46273.492),(28 46828.94),(29 46745.12),(30 47065.38),(31 47606.754),(32 47649.723),(33 47556.23),(34 48138.824),(35 48415.785),(36 48865.977),(37 49576.34),(38 49868.73),(39 49852.895),(40 50426.99),(41 50212.46),(42 50555.53),(43 50223.324),(44 50401.42),(45 50893.113),(46 50968.863),(47 50894.316),(48 50832.324),(49 50492.813),(50 50250.496),(51 50426.477),(52 50133.703),(53 50233.684),(54 49966.406),(55 49321.105),(56 49166.563),(57 48999.695),(58 48874.18),(59 48449.426),(60 47526.74),(61 46920.574),(62 46946.35),(63 46781.285),(64 47146.914),(65 47675.05),(66 47929.438),(67 48143.043),(68 47749.316),(69 47712.12),(70 47476.098),(71 47623.438),(72 47812.477),(73 48177.668),(74 48220.242),(75 48590.7),(76 48448.824),(77 48204.383),(78 48554.07),(79 48828.082),
(1 6820.068),(2 15642.055),(3 22913.025),(4 27725.068),(5 30587.44),(6 32743.637),(7 34618.984),(8 35614.473),(9 36172.793),(10 37409.617),(11 39019.19),(12 40232.29),(13 41725.273),(14 42455.78),(15 43181.27),(16 43705.92),(17 43853.543),(18 44080.89),(19 44304.54),(20 44657.703),(21 45210.86),(22 45895.33),(23 45889.09),(24 45789.61),(25 45283.555),(26 44756.715),(27 44086.31),(28 44366),(29 44348.95),(30 44915.07),(31 45952.273),(32 45721.664),(33 45810.246),(34 46489.59),(35 46478.637),(36 46404.16),(37 46296.94),(38 45826.496),(39 46252.92),(40 46803.227),(41 47356.06),(42 48515.383),(43 49069.348),(44 49905.67),(45 50385.582),(46 50550.785),(47 50708.652),(48 51108.254),(49 50942.066),(50 51196.746),(51 51874.12),(52 51803.137),(53 51641.957),(54 51690.266),(55 51673.7),(56 51905.395),(57 51345.582),(58 50855.652),(59 50510.133),(60 49916.746),(61 49571.33),(62 49642.59),(63 49546.883),(64 49922.88),(65 50400.59),(66 49969.523),(67 49822.594),(68 49001.2),(69 48540.18),(70 48336.35),(71 48157.266),(72 48151.902),(73 48558.42),(74 48771.77),(75 48756.81),(76 48211.098),(77 47888.727),(78 48496.367),(79 48893.297),
(1 6783.201),(2 15453.014),(3 22925.48),(4 27514.66),(5 30415.822),(6 32946.99),(7 34713.004),(8 35946.785),(9 36871.32),(10 38296.484),(11 39539.813),(12 40994.813),(13 42560.777),(14 43050.4),(15 43676.43),(16 44016.504),(17 43824.906),(18 43642.08),(19 43610.582),(20 43350.33),(21 43537.25),(22 43545.117),(23 43602.66),(24 43967.723),(25 43702.883),(26 43217.863),(27 43031.33),(28 43686.652),(29 43806.34),(30 44251.85),(31 44740.49),(32 44821.742),(33 45106.89),(34 45456.75),(35 45573.746),(36 45333.625),(37 45137.816),(38 44923.523),(39 45413.184),(40 46303.38),(41 46642.902),(42 47286.152),(43 47266.855),(44 47746.59),(45 48259.508),(46 48201.848),(47 47937.44),(48 48458.816),(49 48864.31),(50 49131.24),(51 49901.17),(52 50154.8),(53 50525.777),(54 50147.703),(55 49573.535),(56 49318.363),(57 48856.742),(58 48701.96),(59 49052.89),(60 49097.043),(61 48927.383),(62 48895.383),(63 48381.465),(64 48501.89),(65 48906.258),(66 48640.883),(67 48584.742),(68 48235.47),(69 48511.086),(70 48556.926),(71 48827.1),(72 48819.023),(73 48979.676),(74 49141.566),(75 49192.54),(76 48617.652),(77 48240.94),(78 47890.418),(79 47519.945),
(1 6510.053),(2 14870.16),(3 21266.639),(4 25579.645),(5 28723.885),(6 31649.96),(7 33746.125),(8 34962.48),(9 35925.895),(10 37080.22),(11 38314.38),(12 39408.273),(13 40527.957),(14 40922.766),(15 41434.957),(16 41760.805),(17 41524.293),(18 41290.016),(19 41269.367),(20 41426.848),(21 41616.14),(22 41649.953),(23 41134.215),(24 40752.55),(25 40759.33),(26 41087.04),(27 41368.57),(28 41885.12),(29 42117.21),(30 43190.49),(31 44140.188),(32 44208.313),(33 44161.074),(34 44668.723),(35 45088.83),(36 45302.86),(37 45448.03),(38 45330.71),(39 45839.426),(40 46910.527),(41 47678.168),(42 48408.242),(43 48416.535),(44 48820.543),(45 48986.01),(46 48712.418),(47 48343.43),(48 48455.35),(49 48276.402),(50 48606.566),(51 48602.62),(52 48299.54),(53 48884.336),(54 48697.535),(55 48119.723),(56 48144.23),(57 47686.242),(58 47324.09),(59 47394.965),(60 46929.383),(61 46692.137),(62 47117.895),(63 47168.324),(64 47367.973),(65 47462.105),(66 47050.527),(67 46591.367),(68 46061.164),(69 45978.184),(70 46124.047),(71 46312.355),(72 46582.69),(73 46703.844),(74 46631.54),(75 46857.97),(76 46917.426),(77 46380.805),(78 46277.156),(79 46418.473),
(1 6385.033),(2 14525.844),(3 21387.852),(4 25709.283),(5 28844.31),(6 31414.563),(7 33435.26),(8 34589.215),(9 35113.613),(10 36186.316),(11 37488.145),(12 38553.28),(13 39501.363),(14 39753.76),(15 40273.746),(16 40866.934),(17 40648.965),(18 40525.863),(19 40412.613),(20 40728.43),(21 41014.7),(22 41204.316),(23 40742.54),(24 40431.38),(25 40644.984),(26 40552.758),(27 40599.348),(28 41089.04),(29 41130.363),(30 41370.992),(31 41816.332),(32 42075.754),(33 42453.563),(34 42913.254),(35 43424.715),(36 43712.906),(37 44337.19),(38 44462.33),(39 44881.03),(40 45393.72),(41 46024.598),(42 46553.137),(43 46417.035),(44 46255.406),(45 46341.605),(46 45913.03),(47 45985.875),(48 45858.676),(49 45561.715),(50 45632.926),(51 45360.418),(52 45063.97),(53 45415.402),(54 44813.395),(55 44015.02),(56 43762.516),(57 43297.496),(58 43301.47),(59 43704.16),(60 43797.855),(61 43855.86),(62 44295.918),(63 44142.965),(64 44594.324),(65 45704.766),(66 45839.76),(67 45944.215),(68 45612.723),(69 45751.363),(70 46106.12),(71 46993.656),(72 47789.78),(73 47675.67),(74 47345.797),(75 47544.223),(76 47760.453),(77 47708.793),(78 48417.34),(79 48658.137),
(1 6281.664),(2 14131.161),(3 20759.809),(4 24940.807),(5 27899.336),(6 30008.588),(7 31529.297),(8 32426.428),(9 33396.62),(10 34818.94),(11 35914.496),(12 36991.363),(13 37968.652),(14 38188.055),(15 38342.15),(16 38741.117),(17 38827.66),(18 39064.527),(19 39284.71),(20 39648.832),(21 40221.27),(22 40627.258),(23 40436.254),(24 40661.645),(25 40930.074),(26 40709.777),(27 40532.453),(28 40627.594),(29 40551.953),(30 40615.45),(31 41087.63),(32 41818.46),(33 42259.004),(34 42674.953),(35 42824.18),(36 43108.418),(37 43604.895),(38 43833.258),(39 44400.063),(40 44756.043),(41 45000.01),(42 45122.145),(43 44805.184),(44 45269.535),(45 45539.438),(46 45306.25),(47 45008.836),(48 45389.383),(49 45405.297),(50 45685.652),(51 45889.637),(52 45402.793),(53 45669.652),(54 45535.313),(55 45614.03),(56 45638.25),(57 44976.66),(58 44597.34),(59 44752.1),(60 44372.03),(61 44465.652),(62 44840.594),(63 44851.945),(64 44537.324),(65 44592.848),(66 44408.996),(67 44725.555),(68 44670.9),(69 44812.16),(70 45095.133),(71 45267.89),(72 45428.656),(73 45296.71),(74 44966.273),(75 45034.016),(76 45311.36),(77 45330.92),(78 45475.402),(79 45572.18),
(1 6091.002),(2 13781.797),(3 20060.066),(4 23832.715),(5 26820.086),(6 29230.986),(7 31006.951),(8 32040.256),(9 32634.328),(10 33724.32),(11 34745.42),(12 35595.332),(13 36390.75),(14 36828.785),(15 37211.867),(16 37618.977),(17 37457.938),(18 37314.582),(19 37434.367),(20 37416.547),(21 37690.27),(22 38025.863),(23 37970.555),(24 37949.457),(25 38163.332),(26 37922.957),(27 37689.945),(28 37951.19),(29 37992.09),(30 38129.266),(31 38584.977),(32 39029.64),(33 39395.242),(34 39281.098),(35 39072.758),(36 39430.797),(37 39658.68),(38 40050.98),(39 40960.742),(40 41497.043),(41 41502.695),(42 41548.453),(43 41679.83),(44 41606.81),(45 41753.793),(46 41527.52),(47 41976.453),(48 42782.055),(49 42867.113),(50 43021.39),(51 43325.81),(52 42951.73),(53 43241.12),(54 43004.816),(55 42879.777),(56 43435.695),(57 43136.215),(58 43168.594),(59 43923.54),(60 43821.45),(61 43544.3),(62 43417.242),(63 43072.383),(64 42996.65),(65 43273.793),(66 42926.777),(67 43307.65),(68 42998.81),(69 43213.15),(70 43463.77),(71 43527.57),(72 43343.836),(73 42968.688),(74 42499.887),(75 42770.938),(76 42899.55),(77 43070.402),(78 43328.777),(79 43462.49),
(1 6037.5933),(2 13580.778),(3 19668.594),(4 23343.834),(5 26002.316),(6 28048.168),(7 29312.389),(8 30222.793),(9 30825.764),(10 31787.52),(11 32701.332),(12 33718.727),(13 34656.46),(14 35121.805),(15 36048.004),(16 36835.926),(17 36573.277),(18 36305.57),(19 36670.598),(20 36985.594),(21 37454.6),(22 37870.805),(23 37652.848),(24 37806.22),(25 38083.234),(26 38135.387),(27 38046.19),(28 38428.348),(29 38241.555),(30 38327.07),(31 38839.734),(32 39246.004),(33 39953.76),(34 40074.31),(35 39545.895),(36 39415.926),(37 39332.82),(38 39539.44),(39 40123.9),(40 40646.145),(41 40778.605),(42 41282.906),(43 41231.7),(44 41219.246),(45 41309.22),(46 40840.754),(47 40824.42),(48 41513.766),(49 41705.715),(50 41612.86),(51 41762.203),(52 41780.59),(53 42463.92),(54 42254.996),(55 41836.117),(56 41722.113),(57 41597.656),(58 41653.586),(59 41806.613),(60 41655.91),(61 41369.777),(62 41673.137),(63 41367.867),(64 41522.58),(65 41808.957),(66 41705.867),(67 41945.816),(68 41714.324),(69 41753.156),(70 41505.51),(71 41801.465),(72 42232.207),(73 42051.816),(74 41958.92),(75 42648.992),(76 42962.71),(77 42918.72),(78 43100.254),(79 43114.313),
(1 5995.401),(2 13398.41),(3 19353.38),(4 22804.008),(5 25148.951),(6 26844.44),(7 28170.387),(8 29017.004),(9 30030.426),(10 30968.688),(11 31724.838),(12 32553.936),(13 33149.617),(14 33263.715),(15 33672.535),(16 34476.137),(17 34706.965),(18 34608.742),(19 34880.82),(20 35193.96),(21 35497.41),(22 35956.035),(23 36094.68),(24 36428.008),(25 37054.824),(26 37454.273),(27 37366.71),(28 37436.3),(29 37005.31),(30 37080.918),(31 37373.445),(32 37831.98),(33 37927.38),(34 37910.836),(35 37659.727),(36 37563.477),(37 37638.824),(38 37702.566),(39 37972.027),(40 38521.414),(41 38588.035),(42 38795.84),(43 38414.59),(44 38296.305),(45 38193.906),(46 38047.07),(47 38027.957),(48 38139.176),(49 38403.156),(50 38545.336),(51 38923.93),(52 38929.227),(53 39476.074),(54 39200.25),(55 39205.78),(56 39414.965),(57 38996.992),(58 38616.742),(59 38908.086),(60 38686.18),(61 38547.496),(62 38783.453),(63 38405.68),(64 38047.773),(65 37724.777),(66 37489.508),(67 37545.027),(68 37587.41),(69 37658.535),(70 37553.06),(71 37877.777),(72 38125.4),(73 38246.043),(74 38393.082),(75 38736.934),(76 38815.62),(77 39019.285),(78 39197.76),(79 39353.832),
(1 5882.7344),(2 13022.299),(3 18788.502),(4 22249.861),(5 24716.26),(6 26369.059),(7 27545.86),(8 28563.354),(9 29446.21),(10 30541.86),(11 31285.744),(12 31912.785),(13 32716.412),(14 32802.848),(15 33276.98),(16 33996.66),(17 34246.453),(18 34365.9),(19 35003.242),(20 35823.277),(21 36564.34),(22 36925.57),(23 36827.277),(24 37125.363),(25 37563.02),(26 37872.9),(27 38013.273),(28 38910.34),(29 38983.1),(30 39350.01),(31 39928.117),(32 40431.465),(33 40790.66),(34 40845.07),(35 40557.266),(36 40352.965),(37 39915.367),(38 39640.86),(39 39717.645),(40 40269.754),(41 40209.742),(42 40675.168),(43 40288.38),(44 40123.445),(45 40320.492),(46 40368.785),(47 40209.766),(48 40635.69),(49 40712.61),(50 40836.582),(51 41084.9),(52 40801.605),(53 40932.18),(54 40508.168),(55 40128.945),(56 40226.2),(57 40074.082),(58 39814.883),(59 39796.375),(60 39346.06),(61 39631.848),(62 40047.93),(63 40048.93),(64 40132.72),(65 40792.457),(66 40773.223),(67 40766.97),(68 40444.113),(69 40237.66),(70 39730.863),(71 39296.6),(72 39196.01),(73 39127.754),(74 39138.53),(75 39529.348),(76 39485.734),(77 39021.3),(78 39160.582),(79 39246.035),
(1 5887.576),(2 13066.107),(3 18921.148),(4 22228.008),(5 24466.62),(6 26055.396),(7 27381.406),(8 28073.475),(9 28386.256),(10 29192.086),(11 29894.04),(12 30622.242),(13 31667.02),(14 32229.734),(15 32825.79),(16 33401.824),(17 33662.625),(18 34195.457),(19 34653.383),(20 34863.53),(21 35064.26),(22 35519.51),(23 35388.637),(24 35735.363),(25 35838.87),(26 35785.27),(27 35763.313),(28 36440.484),(29 36387.33),(30 36712.223),(31 37495.023),(32 37718.27),(33 37547.656),(34 37713.395),(35 37575.19),(36 37561.504),(37 37750.855),(38 37843.383),(39 37853.133),(40 37870.02),(41 37522.316),(42 37927.98),(43 38077.06),(44 38165.777),(45 38206.035),(46 38074.32),(47 38209.195),(48 38668.65),(49 38613.082),(50 38624.23),(51 38764.324),(52 38435.37),(53 38778.22),(54 38891.68),(55 38652.313),(56 38551.516),(57 38097.098),(58 37618.55),(59 37385.863),(60 36903.004),(61 37150.25),(62 37569.855),(63 37177.63),(64 36704.004),(65 36740.883),(66 36635.25),(67 36711.793),(68 36488.496),(69 36264.273),(70 36023.57),(71 36040.05),(72 36325.43),(73 36524.508),(74 36725.418),(75 36872.98),(76 36655.984),(77 37011.145),(78 37752.8),(79 37871.438),
(1 5855.0815),(2 12792.819),(3 18138.95),(4 21641.902),(5 24042.35),(6 25621.65),(7 26448.227),(8 27187.543),(9 27910.744),(10 28660.385),(11 29151.076),(12 29938.03),(13 30839.242),(14 31314.56),(15 31740.824),(16 32414.53),(17 32854.906),(18 33153.133),(19 33513.65),(20 33728.504),(21 34264.375),(22 34520.145),(23 34186.69),(24 34055.44),(25 34214.3),(26 34380.207),(27 34211.38),(28 34544.605),(29 34847.73),(30 35458.46),(31 35962.684),(32 36035.89),(33 35935.92),(34 36124.99),(35 36074.09),(36 36109.125),(37 36480.6),(38 36395.625),(39 36242.965),(40 36495.117),(41 36386.344),(42 36686.082),(43 36579.168),(44 36577.277),(45 37184.51),(46 37336.33),(47 37496.85),(48 37967.164),(49 37911.6),(50 37665.6),(51 37788.41),(52 37831.387),(53 38395.297),(54 38488.4),(55 38695.496),(56 38821.035),(57 38160.383),(58 37725.11),(59 37920.563),(60 37653.64),(61 37680.652),(62 37876.727),(63 37594.457),(64 37478.48),(65 37644.92),(66 37091.305),(67 37358.313),(68 37294.566),(69 37437.242),(70 37315.816),(71 37556.156),(72 37726.367),(73 37753.363),(74 37617.805),(75 37725.953),(76 37539.19),(77 37885.633),(78 38490.86),(79 38504.527),
(1 5741.784),(2 12712.798),(3 18166.287),(4 21504.121),(5 23601.148),(6 25088.998),(7 26390.088),(8 27318.912),(9 28241.58),(10 29111.738),(11 29871.951),(12 30550.209),(13 31151.488),(14 31553.596),(15 32161.352),(16 32698.514),(17 32823.15),(18 33129.19),(19 33639.62),(20 33618.996),(21 33868.207),(22 34032.637),(23 34099.2),(24 34162.645),(25 34215.44),(26 34061.773),(27 33904.453),(28 34447.258),(29 34613.62),(30 35180.22),(31 35878.67),(32 35837.62),(33 35775.855),(34 35669.6),(35 35463.105),(36 35416.605),(37 35649.766),(38 35714.023),(39 35788.566),(40 35637.547),(41 34988.3),(42 35028.332),(43 34546.543),(44 34262.69),(45 34458.566),(46 34432.184),(47 34429.695),(48 34726.14),(49 34521.918),(50 34661.79),(51 34885.992),(52 35133.223),(53 35391.24),(54 35289.61),(55 35354.67),(56 35568.457),(57 35342.6),(58 35469.81),(59 35900.363),(60 35627.742),(61 35474.37),(62 35987.754),(63 35711.953),(64 35790.184),(65 36085.586),(66 36119.477),(67 36198.035),(68 36121.613),(69 36297.79),(70 36305.074),(71 36277.484),(72 36106.445),(73 36008.297),(74 36025.68),(75 36035.914),(76 35977.22),(77 36104.355),(78 36242.543),(79 36417.934),
(1 5551.082),(2 12104.378),(3 17186.246),(4 20446.111),(5 22506.008),(6 24191.008),(7 25557.85),(8 26360.518),(9 27205.895),(10 28364.123),(11 28868.06),(12 29297.6),(13 29620.379),(14 30004.227),(15 30514.738),(16 31009.059),(17 31163.227),(18 31447.184),(19 31899.895),(20 32016.58),(21 32214.49),(22 32782.434),(23 32848.016),(24 32576.21),(25 32452.053),(26 32643.67),(27 32826.605),(28 33076.633),(29 32693.588),(30 32561.18),(31 32800.324),(32 32841.44),(33 33044.258),(34 33179.51),(35 33118.746),(36 33275.375),(37 33949.926),(38 34016.176),(39 33896.28),(40 33821.36),(41 33599.527),(42 34053.445),(43 33795.176),(44 34147.59),(45 34813.11),(46 34904.65),(47 35235.754),(48 35315.777),(49 34932.26),(50 34579.016),(51 34966.95),(52 35061.383),(53 35641.66),(54 35515.953),(55 35254.477),(56 35426.227),(57 34976.91),(58 34733.12),(59 34731.773),(60 34727.074),(61 35018.344),(62 35341.777),(63 34892.57),(64 34486.457),(65 34503.945),(66 34339.51),(67 34685.41),(68 34782.395),(69 35071.125),(70 35152.586),(71 35000.758),(72 34768.883),(73 34803.105),(74 34949.5),(75 35413.293),(76 35609.54),(77 35703.387),(78 36255.2),(79 36132.184),
(1 5416.5366),(2 11977.071),(3 17298.092),(4 20460.738),(5 22704.678),(6 24286.8),(7 25301.55),(8 25766.53),(9 26546.012),(10 27661.96),(11 27978.908),(12 28670.668),(13 29153.09),(14 29743.87),(15 30137.938),(16 30348.4),(17 30323.666),(18 30671.99),(19 30893.373),(20 30783.889),(21 31063.73),(22 31375.834),(23 31507.469),(24 31395.207),(25 31608.79),(26 31596.7),(27 31592.238),(28 32099.807),(29 32001.268),(30 32295.77),(31 32373.36),(32 32215.018),(33 31869.418),(34 32003.182),(35 31959.37),(36 32070.86),(37 32190.861),(38 32245.201),(39 32259.209),(40 32526.418),(41 32377.65),(42 32377.822),(43 32464.729),(44 32720.498),(45 33366.094),(46 33780.617),(47 33955.125),(48 33527.277),(49 32834.047),(50 32649.951),(51 32911.813),(52 32389.053),(53 32606.912),(54 32837.703),(55 33078.348),(56 33367.496),(57 33148.332),(58 33297.48),(59 33821.508),(60 33637.69),(61 33507.87),(62 33368.1),(63 32719.748),(64 32308.777),(65 32232.768),(66 32581.178),(67 33276.215),(68 33407.703),(69 33516.6),(70 33515.598),(71 33556.184),(72 33701.273),(73 34005.652),(74 34027.742),(75 34483.543),(76 34416.066),(77 34117.113),(78 34361.277),(79 34660.523),
(1 5310.2827),(2 11839.254),(3 16532.908),(4 19417.43),(5 21474.266),(6 23079.266),(7 24332.037),(8 24888.191),(9 25640.414),(10 26606.02),(11 27021.01),(12 27660.701),(13 28148.543),(14 28418.658),(15 28687.375),(16 29066.09),(17 29076.438),(18 29638.926),(19 30238.367),(20 30122.445),(21 30109.264),(22 30249.818),(23 30203.525),(24 30080.725),(25 30095.49),(26 30116.969),(27 30300.463),(28 30526.725),(29 30374.523),(30 30513.041),(31 30780.223),(32 30328.365),(33 30158.846),(34 30108.123),(35 30098.166),(36 30252.697),(37 30503.623),(38 30530.266),(39 30776.047),(40 30767.842),(41 30554.334),(42 30642.598),(43 30698.865),(44 31036.258),(45 31818.041),(46 32300.713),(47 32455.516),(48 32291.72),(49 31740.963),(50 31466.648),(51 31827.656),(52 32080.822),(53 32378.756),(54 32509.81),(55 32602.424),(56 33057.184),(57 32953.758),(58 33003.836),(59 33102.945),(60 32794.17),(61 32518.098),(62 32417.254),(63 31776.553),(64 31916.402),(65 32391.387),(66 32558.87),(67 33103.535),(68 33210.848),(69 33685.97),(70 33794.152),(71 33808.348),(72 33786.074),(73 33961.61),(74 34279.613),(75 34700.285),(76 34653.758),(77 34340.637),(78 34293.586),(79 33791.984),
(1 5175.283),(2 11455.674),(3 16522.885),(4 19715.951),(5 21621.645),(6 22847.049),(7 23579.914),(8 24223.756),(9 24891.46),(10 25836.37),(11 26481.52),(12 27093.254),(13 27674.03),(14 27402.68),(15 27655.813),(16 27711.746),(17 27765.197),(18 28394.291),(19 28761.85),(20 28784.771),(21 28950.182),(22 29433.469),(23 29699.37),(24 29908.133),(25 30221.613),(26 30221.305),(27 30299.861),(28 30766.422),(29 30721.906),(30 30633.092),(31 30472.678),(32 30108.82),(33 30446.818),(34 30539.719),(35 30348.934),(36 30412.33),(37 30476.654),(38 30218.22),(39 30168.762),(40 29937.508),(41 29777.414),(42 29875.832),(43 29937.035),(44 30167.342),(45 30760.176),(46 30862.322),(47 30963.04),(48 31248.256),(49 31179.592),(50 31321.414),(51 31820.17),(52 31799.395),(53 32114.352),(54 31938.408),(55 32056.66),(56 32055.652),(57 31711.5),(58 31759.006),(59 32023.355),(60 31633.842),(61 31337.45),(62 31388.164),(63 31035.281),(64 31179.832),(65 31789.537),(66 31764.357),(67 32189.516),(68 32068.428),(69 32227.615),(70 32288.5),(71 32455.85),(72 32966.06),(73 33456.59),(74 33652.563),(75 34192.652),(76 34300.875),(77 34425.79),(78 34395.348),(79 33849.285),
