1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11918.233),(2 17971.486),(3 19676.166),(4 20235.012),(5 20447.168),(6 20999.162),(7 21344.354),(8 22331.2),(9 22755.465),(10 23027.967),(11 23004.887),(12 23455.234),(13 23511.965),(14 23494.203),(15 23384.629),(16 23070.137),(17 23407.213),(18 23688.738),(19 23849.555),(20 23975.785),(21 24058.809),(22 24325.555),(23 24779.951),(24 24550.613),(25 25000.943),(26 25472.443),(27 25841.168),(28 25752.775),(29 25818.682),(30 25854.178),(31 25811.748),(32 26335.877),(33 26789.672),(34 27165.97),(35 27284.375),(36 27771.867),(37 28117.514),(38 28193.3),(39 28939.184),(40 29702.674),(41 30344.908),(42 30229.781),(43 30222.854),(44 30840.592),(45 31151.104),(46 31418.256),(47 31492.31),(48 32268.525),(49 32733.871),(50 33301.496),(51 33660.473),(52 33641.56),(53 34041.516),(54 34214.88),(55 34143.594),(56 34461.49),(57 34718.49),(58 35305.12),(59 34869.36),(60 35161.64),(61 35452.008),(62 35439.28),(63 35533.887),(64 35534.617),(65 35776.113),(66 35402.92),(67 35380.34),(68 35460.96),(69 35786.875),(70 35534.086),(71 34789.727),(72 34754.246),(73 34924.14),(74 35141.387),(75 34903.35),(76 34391.996),(77 34345.477),(78 33810.832),(79 34307.598),
(1 12169.264),(2 17623.025),(3 19067.158),(4 19729.625),(5 20026.748),(6 21245.559),(7 21124.018),(8 21871.848),(9 21793.701),(10 22001.457),(11 22443.098),(12 22326.068),(13 22521.178),(14 22793.902),(15 22761.371),(16 22854.102),(17 23129.809),(18 23389.734),(19 23202.771),(20 23554.229),(21 23587.44),(22 23545.768),(23 23594.646),(24 23456.691),(25 23749.98),(26 24000.291),(27 24439.785),(28 24583.672),(29 24641.896),(30 24852.342),(31 24808.412),(32 25183.373),(33 25484.871),(34 25629.643),(35 25784.797),(36 26124.475),(37 26085.975),(38 26572.578),(39 27211.191),(40 27859.174),(41 28426.508),(42 28202.543),(43 28792.102),(44 28868.262),(45 29112.318),(46 29161.021),(47 29574.002),(48 29946.744),(49 30403.295),(50 30451.662),(51 30735.969),(52 31156.896),(53 31252.066),(54 31478.94),(55 31314.469),(56 31366.914),(57 31397.957),(58 31667.342),(59 31648.447),(60 31905.242),(61 31755.016),(62 32093.504),(63 32205.814),(64 32366.516),(65 32010.557),(66 31787.787),(67 31994.967),(68 32364.215),(69 32312.96),(70 32445.38),(71 32221.16),(72 31823.5),(73 31712.506),(74 31642.807),(75 31601.78),(76 31896.486),(77 31928.064),(78 31885.982),(79 31842.432),
(1 11740.264),(2 16969.563),(3 18378.14),(4 19072.861),(5 19568.451),(6 20235.053),(7 20858.443),(8 21269.254),(9 21078.639),(10 21293.291),(11 21459.74),(12 21727.203),(13 21902.023),(14 21703.555),(15 22019.799),(16 21848.531),(17 22107.107),(18 22396.557),(19 22632.361),(20 22594.48),(21 22880.14),(22 22918.803),(23 22673.355),(24 22524.654),(25 22384.496),(26 22984.465),(27 23140.242),(28 23211.238),(29 23895.21),(30 23813.477),(31 23732.357),(32 24025.277),(33 24519.787),(34 24642.086),(35 24960.191),(36 25038.934),(37 25080.8),(38 25184.889),(39 25912.086),(40 26174.707),(41 26383.072),(42 26321.705),(43 26318.281),(44 26814.053),(45 26989.22),(46 27257.291),(47 27626.13),(48 28198.344),(49 28633.863),(50 28551.947),(51 28746.406),(52 29302.34),(53 29146.877),(54 29593.664),(55 29644.557),(56 30018.037),(57 30422.844),(58 30745.342),(59 30192.18),(60 30395.186),(61 30289.463),(62 30498.291),(63 30614.371),(64 30222.658),(65 30274.223),(66 30124.361),(67 30287.605),(68 30868.516),(69 30886.846),(70 30841.176),(71 30876.377),(72 30864.635),(73 30415.576),(74 30765.16),(75 30523.893),(76 30707.62),(77 30923.854),(78 30607.191),(79 30141.297),
(1 11212.371),(2 15829.729),(3 17331.123),(4 18010.555),(5 18393.021),(6 18839.764),(7 19281.791),(8 20037.492),(9 19885.066),(10 20290.898),(11 20630.246),(12 20686.137),(13 20687.326),(14 20894.066),(15 21004.232),(16 21184.332),(17 20946.791),(18 21588.8),(19 21648.309),(20 21390.44),(21 21788.023),(22 21738.16),(23 22290.516),(24 21763.08),(25 22086.225),(26 22303.818),(27 22411.564),(28 22478.596),(29 22591.988),(30 22792.498),(31 22845.957),(32 23129.072),(33 23188.1),(34 23490.273),(35 23763.309),(36 24016.451),(37 24064.17),(38 24756.664),(39 25020.852),(40 25570.547),(41 25768.355),(42 25621.725),(43 25774.463),(44 26439.938),(45 26642.418),(46 27076.47),(47 27148.145),(48 27897.785),(49 28117.438),(50 28422.938),(51 29012.64),(52 28779.625),(53 28813.635),(54 29303.377),(55 29505.145),(56 29561.52),(57 29868.197),(58 30109.912),(59 29772.398),(60 29512.219),(61 29586.285),(62 29472.27),(63 29592.912),(64 29145.775),(65 29280.385),(66 29132.176),(67 29123.238),(68 29389.129),(69 29268.406),(70 29353.57),(71 29128.104),(72 29054.314),(73 28698.613),(74 28716.953),(75 29029.557),(76 29075.443),(77 28995.426),(78 28897.264),(79 29116.984),
(1 10863.691),(2 15308.769),(3 16929.94),(4 17629.477),(5 17619.63),(6 18339.438),(7 18543.672),(8 19048.17),(9 19314.809),(10 19813.24),(11 19992.908),(12 19948.342),(13 20042.676),(14 20047.074),(15 20295.566),(16 20384.408),(17 20394.66),(18 20596.705),(19 21215.26),(20 21222.842),(21 21187.771),(22 21271.309),(23 21831.426),(24 21754.572),(25 21906.02),(26 22265.19),(27 22237.137),(28 22132.746),(29 22343.904),(30 22893.547),(31 22235.357),(32 22888.006),(33 22820.73),(34 23237.836),(35 23900.553),(36 23719.766),(37 23670.082),(38 24387.129),(39 24861.096),(40 25502.941),(41 25235.182),(42 25688.46),(43 26164.844),(44 26472.75),(45 26675.008),(46 27085.72),(47 27093.262),(48 27323.39),(49 27337.303),(50 27178.73),(51 27938.924),(52 27883.75),(53 27863.697),(54 28121.21),(55 28031.035),(56 28169.941),(57 28480.55),(58 29211.873),(59 28612.365),(60 28339.887),(61 28109.156),(62 28266.615),(63 28689.227),(64 28439.314),(65 27955.988),(66 27949.953),(67 28157.104),(68 28108.94),(69 28095.383),(70 28203.521),(71 28194.695),(72 27992.047),(73 28050.365),(74 28210.938),(75 28108.928),(76 28181.473),(77 28155.766),(78 28257.617),(79 28367.639),
(1 10545.324),(2 14957.078),(3 16222.619),(4 16952.367),(5 17623.027),(6 17835.21),(7 18236.701),(8 18678.684),(9 18920.508),(10 19286.86),(11 19624.246),(12 19721.459),(13 19752.344),(14 19907.047),(15 20538.977),(16 20665.793),(17 20791.924),(18 20677.324),(19 20772.902),(20 21082.584),(21 21288.191),(22 21171.691),(23 21553.688),(24 21686.143),(25 21514.307),(26 21765.586),(27 22019.143),(28 22054.813),(29 22204.479),(30 22564.633),(31 22550.389),(32 22872.697),(33 22678.375),(34 22977.06),(35 23273.781),(36 23519.42),(37 23478.855),(38 23849.867),(39 23979.242),(40 24429.813),(41 24893.424),(42 25094.186),(43 25320.346),(44 25773.355),(45 26061.762),(46 26700.883),(47 26852.672),(48 27109.982),(49 27327.592),(50 27324.906),(51 27697.467),(52 27570),(53 27822.271),(54 27954.168),(55 28041.713),(56 28148.826),(57 27979.244),(58 28146.682),(59 28287.02),(60 28291.148),(61 27930.502),(62 28326.547),(63 28067.986),(64 27574.691),(65 27833.025),(66 27959.244),(67 27742.893),(68 27839.656),(69 27935.256),(70 27735.092),(71 27966.346),(72 28021.908),(73 28092.979),(74 27818.732),(75 27688.336),(76 27882.568),(77 28149.375),(78 28177.662),(79 28051.795),
(1 9976.007),(2 14335.338),(3 15760.549),(4 16577.467),(5 16852.625),(6 17133.453),(7 17515.85),(8 17784.33),(9 18081.943),(10 18609.693),(11 18843.781),(12 18375.59),(13 18300.727),(14 18506.28),(15 19328.398),(16 19410.92),(17 19500.865),(18 19453.385),(19 19692.566),(20 19572.498),(21 19516.559),(22 19389.883),(23 19600.004),(24 19944.46),(25 19947.223),(26 20126.4),(27 20403.588),(28 20565.896),(29 20958.482),(30 20839.904),(31 20841.156),(32 21075.39),(33 21730.652),(34 21631.7),(35 21940.596),(36 22216.34),(37 22223.078),(38 22623.742),(39 22761.531),(40 23042.338),(41 23519.348),(42 24120.455),(43 24279.209),(44 24618.318),(45 25075.324),(46 25224.4),(47 25133.133),(48 25507.723),(49 25857.834),(50 25505.045),(51 25975.932),(52 26212.563),(53 26467.111),(54 26320.373),(55 26301.684),(56 26249.621),(57 26423.076),(58 26681.545),(59 26988.717),(60 26919.115),(61 26766.422),(62 26621.03),(63 26469.457),(64 26392.883),(65 26616.5),(66 26448.945),(67 26182.588),(68 26327.99),(69 26210.357),(70 25861.36),(71 26357.873),(72 26216.49),(73 26225.475),(74 26321.63),(75 26377.936),(76 26641.295),(77 27010.875),(78 26979.238),(79 26167.94),
(1 10227.436),(2 14100.475),(3 15311.921),(4 16395.922),(5 16615.16),(6 16922.186),(7 17451.84),(8 18176.584),(9 18165.186),(10 18886.146),(11 18901.76),(12 18798.248),(13 18977.398),(14 18908.799),(15 19668.219),(16 19572.148),(17 19894.338),(18 19791.127),(19 20013.766),(20 19960.814),(21 19661.854),(22 19371.414),(23 19594.16),(24 19795.195),(25 19732.799),(26 20191.047),(27 20339.248),(28 20525.117),(29 20903.639),(30 20998.553),(31 21000.89),(32 21135.074),(33 21873.955),(34 21785.344),(35 21903.523),(36 22249.863),(37 22429.275),(38 22394.27),(39 22894.193),(40 23022.018),(41 23208.164),(42 23568.076),(43 24013.916),(44 24307.666),(45 24783.807),(46 24750.29),(47 24716.133),(48 24779.057),(49 24993.62),(50 25007.27),(51 25250.174),(52 25319.648),(53 26075.092),(54 26082.488),(55 26308.219),(56 26451.23),(57 26523.473),(58 26428.48),(59 26269.11),(60 26696.713),(61 26491.97),(62 26414.74),(63 26516.852),(64 26405.322),(65 26399.912),(66 26521.422),(67 26508.004),(68 26489.262),(69 26394.037),(70 26049.064),(71 25901.297),(72 26015.834),(73 26266.37),(74 25934.975),(75 26243.45),(76 26443.672),(77 26349.922),(78 26571.832),(79 26336.512),
(1 9894.236),(2 13566.194),(3 14847.136),(4 15679.348),(5 16231.801),(6 16705.121),(7 17482.822),(8 17908.906),(9 17776.451),(10 18235.828),(11 18693.633),(12 18537.314),(13 18857.26),(14 19017.553),(15 19316.918),(16 19386.816),(17 19661.523),(18 19569.895),(19 19410.586),(20 19372.256),(21 19505.854),(22 19612.719),(23 19564.4),(24 19581.037),(25 19657.104),(26 19750.14),(27 19664.877),(28 20014.94),(29 20323.354),(30 20487.207),(31 20448.936),(32 20522.924),(33 20792.07),(34 21008.832),(35 21269.268),(36 21395.371),(37 21908.934),(38 22154.537),(39 22465.717),(40 22450.984),(41 22722.45),(42 23010.555),(43 23576.951),(44 23727.406),(45 24129.684),(46 24300.959),(47 24781.297),(48 24718.74),(49 24867.457),(50 24813.242),(51 25082.625),(52 25452.15),(53 25814.629),(54 25735.627),(55 26026.467),(56 25692.299),(57 25892.055),(58 25525.496),(59 25570.354),(60 25630.467),(61 25923.117),(62 25871.383),(63 26156.521),(64 25892.451),(65 25766.834),(66 25662.295),(67 25539.588),(68 25557.049),(69 25428.78),(70 25675.463),(71 25923.045),(72 25959.732),(73 25937.125),(74 25591.102),(75 25603.875),(76 25824.277),(77 25930.357),(78 26008.594),(79 25896.242),
(1 9144.246),(2 12799.173),(3 14160.39),(4 14894.725),(5 15646.576),(6 16168.002),(7 16805.965),(8 17519.744),(9 17534.064),(10 17595.852),(11 17818.621),(12 18047.879),(13 18272.193),(14 18274.207),(15 18519.086),(16 18436.438),(17 18600.824),(18 18726.035),(19 18924.145),(20 18959.912),(21 18739.281),(22 18687.182),(23 18941.121),(24 18761),(25 19064.943),(26 18944.127),(27 18927.793),(28 19281.648),(29 19319.85),(30 19395.602),(31 19633.107),(32 19702.893),(33 20082.768),(34 20252.375),(35 20100.154),(36 20556.605),(37 20972.123),(38 21420.791),(39 21405.168),(40 21509.06),(41 22106.518),(42 22237.082),(43 22635.94),(44 22836.045),(45 23398.639),(46 23640.334),(47 23842.166),(48 24026.086),(49 24398.514),(50 24312.176),(51 24655.115),(52 25040.662),(53 25275.209),(54 25109.736),(55 25009.178),(56 24913.166),(57 24920.219),(58 24982.547),(59 24962.008),(60 25096.99),(61 25284.953),(62 25100.51),(63 25357.008),(64 25252.668),(65 25310.88),(66 25242.666),(67 25145.783),(68 25404.088),(69 25260.223),(70 25110.412),(71 24978.256),(72 25277.797),(73 25231.623),(74 25043.734),(75 25151.406),(76 25342.697),(77 25442.367),(78 25102.287),(79 25194.89),
(1 8924.883),(2 12545.029),(3 13660.507),(4 14626.96),(5 15390.659),(6 15680.893),(7 16306.008),(8 16777.154),(9 16737.764),(10 16892.21),(11 16792.922),(12 17058.373),(13 16979.455),(14 17190.092),(15 17318.053),(16 17295.88),(17 17318.254),(18 17519.893),(19 17625.701),(20 17747.676),(21 17561.023),(22 17871.613),(23 18270.572),(24 17765.637),(25 18063.191),(26 17930.035),(27 17922.74),(28 18022.512),(29 18210.857),(30 18390.049),(31 18414.432),(32 18467.504),(33 18672.559),(34 18694.762),(35 18609.95),(36 18943.83),(37 19392.08),(38 19624.742),(39 19589.256),(40 19865.094),(41 20185.873),(42 20685.357),(43 20719.924),(44 21052.094),(45 21560.72),(46 21949.908),(47 22048.908),(48 21945.697),(49 22138.768),(50 22156.566),(51 22414.17),(52 22520.379),(53 22824.932),(54 23035.314),(55 23160.74),(56 23085.572),(57 23176.475),(58 23288.867),(59 23364.291),(60 23657.023),(61 23523.828),(62 23783.89),(63 23926.39),(64 23709.271),(65 23473.496),(66 23651.521),(67 23759.13),(68 23695.39),(69 23505.227),(70 23407.65),(71 23594.822),(72 23515.373),(73 23497.693),(74 23665.77),(75 23300.34),(76 23585.635),(77 23579.879),(78 23393.125),(79 23649.227),
(1 8937.838),(2 12170.609),(3 13413.083),(4 14182.892),(5 14380.033),(6 14870.323),(7 15217.5),(8 15480.755),(9 15592.817),(10 16079.809),(11 15979.627),(12 16146.051),(13 16295.927),(14 16452.055),(15 16502.594),(16 16350.832),(17 16510.307),(18 16731.332),(19 17138.465),(20 17355.586),(21 17305.93),(22 17558.502),(23 17581.283),(24 17436.877),(25 17537.643),(26 17619.172),(27 17358.81),(28 17287.791),(29 17940.813),(30 17828.287),(31 17941.227),(32 18082.143),(33 18435.191),(34 18480.975),(35 18819.553),(36 18957.207),(37 18982.691),(38 19648.906),(39 20094.963),(40 19907.248),(41 20370.771),(42 20726.748),(43 20951.463),(44 20981.059),(45 21433.107),(46 21611.152),(47 21995.13),(48 22211.07),(49 22017.889),(50 22173.768),(51 22756.238),(52 22864.54),(53 23266.906),(54 23211.5),(55 22933.205),(56 23091.47),(57 23064.768),(58 23248.953),(59 23282.182),(60 23364.602),(61 22999.553),(62 22916.258),(63 23031.357),(64 23028.46),(65 22989.79),(66 22946.805),(67 23511.828),(68 23508.787),(69 23199.086),(70 23055.463),(71 23110.29),(72 22753.31),(73 22549.45),(74 23008.748),(75 23053.66),(76 22917.543),(77 22609.037),(78 22952.576),(79 22733.484),
(1 8838.047),(2 11843.992),(3 13000.534),(4 13423.665),(5 14060.086),(6 14725.615),(7 14953.206),(8 15709.438),(9 15698.009),(10 15955.853),(11 15905.05),(12 15774.056),(13 16128.733),(14 16357.197),(15 16296.764),(16 16467.078),(17 16731.627),(18 16808.88),(19 17049.258),(20 17148.74),(21 17395.717),(22 17141.107),(23 17419.107),(24 17377.037),(25 17458.729),(26 17480.834),(27 17594.766),(28 17783.807),(29 17977.91),(30 17897.078),(31 17868.59),(32 18045.621),(33 18163.78),(34 18104.713),(35 18256.088),(36 18439.955),(37 19039.465),(38 19378.063),(39 19679.19),(40 19711.428),(41 20335.137),(42 20415.76),(43 20442.758),(44 20516.803),(45 20870.61),(46 21223.406),(47 21144.832),(48 21365.654),(49 21379.428),(50 21565.94),(51 21853.54),(52 21851.932),(53 22012.703),(54 21949.836),(55 22132.426),(56 22458.537),(57 22416.828),(58 22352.623),(59 22257.574),(60 22177.39),(61 22113.342),(62 21916.828),(63 21976.223),(64 22030.08),(65 21848.824),(66 21739.668),(67 22036.377),(68 22271.475),(69 22301.428),(70 22139.172),(71 22158.496),(72 21964.18),(73 21706.076),(74 21840.34),(75 22177.127),(76 22072.137),(77 22050.752),(78 22178.203),(79 22118.508),
(1 8442.508),(2 11510.724),(3 12583.031),(4 13330.467),(5 14212.02),(6 14407.479),(7 14583.53),(8 14893.176),(9 15151.36),(10 15508.909),(11 15604.282),(12 15458.711),(13 15481.669),(14 15772.112),(15 15972.524),(16 15832.661),(17 16179.041),(18 16175.8125),(19 16613.533),(20 16623.6),(21 16832.654),(22 16667.658),(23 17173.748),(24 17261.455),(25 16977.883),(26 16957.344),(27 17018.922),(28 17050.633),(29 17164.602),(30 17183.273),(31 17353.412),(32 17490.676),(33 17751.17),(34 17829.094),(35 17696.885),(36 17965.605),(37 18344.705),(38 18567.676),(39 19105.248),(40 19327.89),(41 19685.957),(42 19667.756),(43 20169.52),(44 20133.725),(45 20511.125),(46 20684.596),(47 20943.707),(48 21003.52),(49 21095.758),(50 21198.139),(51 21184.139),(52 21322.223),(53 21544.19),(54 21447.402),(55 21579.428),(56 22015.637),(57 21912.84),(58 21874.262),(59 21883.607),(60 21893.715),(61 21850.977),(62 21835.32),(63 21767.518),(64 21439.578),(65 21642.236),(66 21523.875),(67 21543.688),(68 21579.764),(69 21377.336),(70 21427.791),(71 21472.695),(72 21520.436),(73 21346.217),(74 21215.773),(75 21294.33),(76 21360.523),(77 21590.453),(78 21522.004),(79 21372.225),
(1 8121.9585),(2 10776.297),(3 12048.997),(4 12852.467),(5 13546.551),(6 13780.452),(7 14164.287),(8 14478.884),(9 14849.256),(10 14910.073),(11 15161.443),(12 15067.784),(13 15154.527),(14 15328.877),(15 15303.835),(16 15243.579),(17 15475.917),(18 15664.884),(19 15937.802),(20 15878.722),(21 16077.193),(22 16148.6875),(23 16278.568),(24 16316.262),(25 16108.473),(26 16145.772),(27 16347.8125),(28 16519.365),(29 16624.7),(30 16666.865),(31 16757.758),(32 17111.836),(33 17214.209),(34 17197.47),(35 17302.977),(36 17501.12),(37 17593.205),(38 18150.451),(39 18356.588),(40 18601.61),(41 18909.379),(42 19388.502),(43 19422.793),(44 19713.752),(45 20032.71),(46 20223.783),(47 20091.912),(48 20410.988),(49 20725.947),(50 20826.17),(51 20829.547),(52 21012.277),(53 21104.85),(54 21047.627),(55 21194.586),(56 21136.934),(57 21171.715),(58 21285.475),(59 21278.24),(60 21355.12),(61 21249.512),(62 21405.516),(63 21157.506),(64 20837.643),(65 20939.691),(66 20782.201),(67 21029.451),(68 20941.533),(69 21008.936),(70 21096.756),(71 21105.709),(72 21010.785),(73 20981.441),(74 21233.42),(75 21343.807),(76 21677.95),(77 21817.305),(78 21779.705),(79 21699.77),
(1 7705.1133),(2 10096.689),(3 11368.549),(4 12042.481),(5 12744.84),(6 12923.298),(7 13284.786),(8 13711.646),(9 13889.348),(10 14120.253),(11 14325.288),(12 14230.716),(13 14464.031),(14 14632.67),(15 14645.683),(16 14579.427),(17 14872.883),(18 14967.549),(19 15177.978),(20 15238.135),(21 15448.248),(22 15441.714),(23 15423.566),(24 15212.39),(25 15064.998),(26 15205.491),(27 15117.842),(28 15189.764),(29 15285.861),(30 15326.98),(31 15538.519),(32 15640.64),(33 15615.417),(34 15599.301),(35 16124.538),(36 16100.219),(37 16094.502),(38 16669.416),(39 16909.594),(40 17167.17),(41 17659.926),(42 17818.354),(43 18156.775),(44 18181.363),(45 18773.633),(46 18884.27),(47 18866.543),(48 19183.592),(49 19252.934),(50 19360.049),(51 19492.268),(52 19644.316),(53 19856.97),(54 19939.756),(55 20027.668),(56 19832.904),(57 19955.365),(58 19952.137),(59 19866.438),(60 19873.37),(61 19821.37),(62 19670.395),(63 19510.986),(64 19245.873),(65 19256.863),(66 19255.736),(67 19541.287),(68 19277.615),(69 19216.299),(70 19204.465),(71 19181.055),(72 19426.459),(73 19134.076),(74 18890.395),(75 18905.936),(76 19108.611),(77 19093.604),(78 19171.607),(79 18882.168),
(1 7719.7505),(2 10001.201),(3 11150.837),(4 11764.842),(5 12255.776),(6 12642.55),(7 13210.034),(8 13587.994),(9 13704.324),(10 13633.476),(11 13939.84),(12 13919.523),(13 14128.078),(14 14448.865),(15 14628.333),(16 14227.081),(17 14538.159),(18 14710.842),(19 14582.647),(20 14699.823),(21 14915.163),(22 14994.043),(23 15084.932),(24 15082.068),(25 15039.633),(26 15067.255),(27 15155.611),(28 15224.563),(29 15084.117),(30 15344.369),(31 15192.019),(32 15488.967),(33 15675.761),(34 15805.84),(35 16184.317),(36 16159.199),(37 16041.086),(38 16572.498),(39 16637.902),(40 16755.012),(41 17072.043),(42 17103.727),(43 17297.52),(44 17292.758),(45 17590.066),(46 17721.422),(47 17798.494),(48 18023.38),(49 17789.63),(50 17854.934),(51 18251.21),(52 18487.51),(53 18502.973),(54 18646.727),(55 18704.988),(56 18742.947),(57 18805.898),(58 18816.05),(59 18708.936),(60 18665.506),(61 18729.49),(62 18862.984),(63 18972.705),(64 18777.166),(65 18808.498),(66 18938.99),(67 19009.23),(68 18870.219),(69 18875.873),(70 18812.256),(71 18632.22),(72 18684.012),(73 18721.748),(74 18590.973),(75 18744.424),(76 18851.71),(77 18684.836),(78 18714.379),(79 18806.25),
(1 7622.156),(2 9861.074),(3 11117.768),(4 11736.353),(5 12400.792),(6 12662.393),(7 12795.639),(8 13627.252),(9 13654.157),(10 13898.287),(11 14032.413),(12 14098.582),(13 14162.557),(14 14306.279),(15 14341.924),(16 14195.492),(17 14196.024),(18 14281.228),(19 14395.1875),(20 14620.802),(21 14853.534),(22 15038.71),(23 15024.821),(24 15060.635),(25 14914.726),(26 14873.005),(27 15198.79),(28 15468.378),(29 15334.88),(30 15402.814),(31 15633.08),(32 15838.645),(33 15757.804),(34 15855.612),(35 16063.943),(36 16256.224),(37 16294.289),(38 16589.664),(39 16619.65),(40 16960.842),(41 17112.742),(42 17192.61),(43 17087.203),(44 17355.787),(45 17354.338),(46 17630.506),(47 17535.861),(48 17739.684),(49 17618.068),(50 17521.666),(51 17889.473),(52 18043.918),(53 18422.545),(54 18392.305),(55 18580.6),(56 18144.28),(57 18230.518),(58 18451.781),(59 18140.266),(60 18159.48),(61 18332.742),(62 18272.46),(63 18449.035),(64 18189.406),(65 18100.775),(66 18237.283),(67 18264.473),(68 18290.9),(69 18022.953),(70 18015.504),(71 18073.533),(72 18216.105),(73 18186.568),(74 18032.744),(75 18000.246),(76 18146.768),(77 18027.422),(78 18321.205),(79 18299.488),
