1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7065.1216),(2 22084.885),(3 45255.754),(4 72717.58),(5 101823.88),(6 134012.94),(7 169843.8),(8 205859.7),(9 247560.08),(10 286083.47),(11 329279.22),(12 379617),(13 441835.34),(14 509962.25),(15 595407),(16 684160.2),(17 784655.3),(18 867481.7),(19 957615),(20 1041902.2),(21 1143406.9),(22 1248257.9),(23 1351502.5),(24 1455720.4),(25 1561397.1),(26 1672497.9),(27 1792077),(28 1904089.1),(29 2026804.6),(30 2164749.8),(31 2300668.8),(32 2451257.5),(33 2574277.3),(34 2696809.3),(35 2810270.3),(36 2907731.3),(37 3010913),(38 3097245.3),(39 3197876.3),(40 3286558.8),(41 3392145.3),(42 3494282.3),(43 3570362),(44 3649354),(45 3736597.3),(46 3826248.8),(47 3920686.8),(48 4005194),(49 4117302.3),(50 4227072),(51 4335436.5),(52 4445962.5),(53 4565336.5),(54 4733944.5),(55 4905301),(56 5096550),(57 5326928),(58 5549057.5),(59 5793819.5),(60 5999595.5),(61 6205150.5),(62 6393569.5),(63 6592188),(64 6781639.5),(65 6990073.5),(66 7209573.5),(67 7456848.5),(68 7694792),(69 7966636),(70 8247333.5),(71 8520481),(72 8753403),(73 8974040),(74 9167569),(75 9324865),(76 9432121),(77 9525525),(78 9617779),(79 9712541),
(1 6594.233),(2 22390.277),(3 44148.27),(4 69667),(5 94635.734),(6 121473.08),(7 150399.28),(8 180837.61),(9 216801.66),(10 255456),(11 303366.75),(12 361071.2),(13 426436.84),(14 499110.3),(15 584143.9),(16 670327.1),(17 767070.1),(18 855433),(19 963883.3),(20 1071793.4),(21 1205524.5),(22 1349951.8),(23 1500638),(24 1663506.3),(25 1829240.8),(26 1997558.8),(27 2173185.5),(28 2333438.3),(29 2503643.3),(30 2683633.3),(31 2877140.5),(32 3076208.8),(33 3265991.5),(34 3460821.5),(35 3649548),(36 3837252.8),(37 4023691.3),(38 4202925.5),(39 4391678.5),(40 4550355.5),(41 4730831.5),(42 4904793),(43 5047980.5),(44 5179791),(45 5313914.5),(46 5463583),(47 5621855.5),(48 5780526.5),(49 5972300),(50 6181637),(51 6380798),(52 6567736),(53 6758341),(54 6979929),(55 7207917.5),(56 7445911),(57 7728041.5),(58 7982917),(59 8260717),(60 8529526),(61 8798378),(62 9034699),(63 9257400),(64 9478034),(65 9700396),(66 9922780),(67 10183251),(68 10411866),(69 10678944),(70 10943706),(71 11195697),(72 11415089),(73 11629213),(74 11805271),(75 11941225),(76 12025297),(77 12080859),(78 12132059),(79 12185000),
(1 7034.2524),(2 23830.225),(3 50365.613),(4 79610.9),(5 109694.32),(6 138227.36),(7 169338.48),(8 199471.55),(9 233270.67),(10 268104.34),(11 305495.53),(12 342240.06),(13 383606.03),(14 428435.53),(15 480278.75),(16 533288.44),(17 592422),(18 647059.3),(19 716006.2),(20 786824.2),(21 874765.8),(22 968138.56),(23 1067876.4),(24 1175062.4),(25 1290620),(26 1401248.5),(27 1535338),(28 1680939),(29 1845308.4),(30 2032766),(31 2244943.3),(32 2476642.8),(33 2727565.3),(34 2979437.3),(35 3236868.8),(36 3506622),(37 3792190),(38 4058489.3),(39 4336963),(40 4594862.5),(41 4839291),(42 5088728.5),(43 5334930.5),(44 5569992.5),(45 5824078.5),(46 6089547.5),(47 6342960),(48 6576072),(49 6823926),(50 7053730.5),(51 7270788),(52 7462676),(53 7648088),(54 7833655.5),(55 8011592),(56 8172831.5),(57 8354588),(58 8478872),(59 8613359),(60 8754343),(61 8890623),(62 8996157),(63 9103283),(64 9203750),(65 9323793),(66 9422704),(67 9539068),(68 9639120),(69 9790151),(70 9931951),(71 10089636),(72 10232858),(73 10356799),(74 10438383),(75 10486408),(76 10505536),(77 10493720),(78 10476439),(79 10484009),
(1 8364.768),(2 28419.24),(3 58971.016),(4 94774.61),(5 134824.8),(6 178229.14),(7 224979.98),(8 276013.63),(9 330440.9),(10 390000),(11 456729.1),(12 525253.9),(13 600559.25),(14 681300.3),(15 769806.25),(16 860064),(17 954645.3),(18 1048482.7),(19 1157160.8),(20 1274948.3),(21 1390753.5),(22 1503528.9),(23 1617528.9),(24 1731757.1),(25 1852073.4),(26 1972651.1),(27 2109054.5),(28 2239901.5),(29 2377732),(30 2523547),(31 2670765.3),(32 2821845),(33 2983251.3),(34 3132417.8),(35 3294187.3),(36 3458456),(37 3633008),(38 3805251.5),(39 3982056),(40 4156251.5),(41 4333029.5),(42 4509152),(43 4692086),(44 4885258),(45 5105592),(46 5333976.5),(47 5585875.5),(48 5836477.5),(49 6105387.5),(50 6368541.5),(51 6663844.5),(52 6975687),(53 7300278),(54 7654751),(55 8010622),(56 8383539.5),(57 8757268),(58 9113040),(59 9503474),(60 9902980),(61 10288368),(62 10638118),(63 11002484),(64 11341136),(65 11684034),(66 12021619),(67 12346485),(68 12670464),(69 13032098),(70 13372396),(71 13701383),(72 14004246),(73 14265172),(74 14468569),(75 14646178),(76 14819929),(77 14973191),(78 15161138),(79 15374670),
(1 8739.254),(2 30578.342),(3 63940.39),(4 105221.02),(5 150745.86),(6 201430.5),(7 258283.06),(8 321805.53),(9 388641.6),(10 462419.63),(11 545059.6),(12 635950.7),(13 730037.9),(14 828677.94),(15 941438.8),(16 1057057.1),(17 1181384.5),(18 1304195.3),(19 1440605.1),(20 1592178.5),(21 1751225.9),(22 1913097.1),(23 2083284.4),(24 2255956.3),(25 2437413),(26 2623174.3),(27 2821675.3),(28 3010914.5),(29 3210982.5),(30 3427559),(31 3640661.8),(32 3852771.8),(33 4080650.3),(34 4290233),(35 4523639),(36 4755796.5),(37 4983841),(38 5209537.5),(39 5445153),(40 5676469),(41 5903674),(42 6120570),(43 6346843),(44 6559581),(45 6782598),(46 6997538),(47 7241832),(48 7471844.5),(49 7722429),(50 7950648.5),(51 8202447.5),(52 8446055),(53 8697207),(54 8946731),(55 9190525),(56 9442659),(57 9701761),(58 9933841),(59 10188367),(60 10429284),(61 10669631),(62 10860678),(63 11046730),(64 11205930),(65 11356783),(66 11483981),(67 11616364),(68 11728036),(69 11857021),(70 11972564),(71 12072522),(72 12140460),(73 12183543),(74 12187436),(75 12184586),(76 12170307),(77 12147325),(78 12131604),(79 12142519),
(1 9999.213),(2 36848.77),(3 78340.3),(4 132314.06),(5 196751.84),(6 272908.56),(7 360346.7),(8 460200.8),(9 569259.06),(10 687493.7),(11 817818.75),(12 958507.6),(13 1108390.8),(14 1267134.1),(15 1449825.4),(16 1636433.8),(17 1833518.3),(18 2025352.4),(19 2221525.5),(20 2423635.3),(21 2627161.3),(22 2823063.5),(23 3026556.3),(24 3228857.3),(25 3435961.5),(26 3631948),(27 3823166.5),(28 4000636.8),(29 4171369.5),(30 4337222.5),(31 4495918.5),(32 4639140),(33 4769169.5),(34 4876049),(35 4966411),(36 5038731.5),(37 5097539),(38 5132964),(39 5160180),(40 5176291),(41 5178711),(42 5171922.5),(43 5158619),(44 5131636),(45 5094436.5),(46 5043203),(47 4993394.5),(48 4931493.5),(49 4871312),(50 4802079),(51 4728469),(52 4642833),(53 4555507),(54 4479056.5),(55 4403933),(56 4334993.5),(57 4273179),(58 4217169.5),(59 4181190.5),(60 4139804),(61 4104984.8),(62 4071730.8),(63 4040377.5),(64 4017794.8),(65 4007665.3),(66 4004481.3),(67 4023268.8),(68 4056542.8),(69 4099443.3),(70 4147841.5),(71 4209321),(72 4257870.5),(73 4305132),(74 4363580),(75 4419822.5),(76 4469711),(77 4522993.5),(78 4576344.5),(79 4638069),
(1 8899.905),(2 32791.734),(3 71338.47),(4 120471.63),(5 179023.67),(6 248947.4),(7 330619.63),(8 426361.38),(9 534559.4),(10 654899.4),(11 788543.75),(12 937664.75),(13 1096432.6),(14 1260600.1),(15 1444944),(16 1636928.8),(17 1842746.8),(18 2052013.9),(19 2258841.8),(20 2460462.8),(21 2667255.5),(22 2868215.8),(23 3071058.5),(24 3267228),(25 3467889.3),(26 3664701.3),(27 3865312),(28 4063610.5),(29 4252949),(30 4441129),(31 4618012.5),(32 4781901.5),(33 4921120.5),(34 5033414),(35 5121434),(36 5191508.5),(37 5245409),(38 5271085),(39 5289979.5),(40 5299376.5),(41 5292698),(42 5272658),(43 5234353),(44 5177364.5),(45 5107158),(46 5029355),(47 4937589),(48 4832335),(49 4716883),(50 4595590.5),(51 4474696),(52 4353558),(53 4233859),(54 4123054.5),(55 4024342.3),(56 3940429.5),(57 3870452.3),(58 3806196.5),(59 3761021),(60 3719955),(61 3685370.8),(62 3660705.8),(63 3646070.3),(64 3645704.3),(65 3661566.8),(66 3705096),(67 3769284.5),(68 3855098.5),(69 3955830.3),(70 4067485.5),(71 4195536.5),(72 4321628.5),(73 4441504),(74 4556071.5),(75 4667381.5),(76 4765863),(77 4870775.5),(78 4970990),(79 5071183),
(1 9106.17),(2 33317.21),(3 70762.625),(4 118550.78),(5 176729.86),(6 244863.31),(7 326834.28),(8 421784.84),(9 528610.3),(10 648586.56),(11 782386.25),(12 932354.7),(13 1092145.9),(14 1261509.6),(15 1448926.1),(16 1648795.3),(17 1860791.3),(18 2078843.6),(19 2300328),(20 2521557.8),(21 2758460.3),(22 2994127),(23 3243396),(24 3497828.8),(25 3758968.8),(26 4026559.8),(27 4298281),(28 4564339.5),(29 4830457),(30 5092695.5),(31 5342989.5),(32 5584245.5),(33 5815705.5),(34 6019310),(35 6198726),(36 6361059.5),(37 6514073),(38 6638758.5),(39 6759997.5),(40 6862512.5),(41 6943083.5),(42 7010282.5),(43 7065314),(44 7087986),(45 7095290.5),(46 7081573.5),(47 7052274),(48 7009514),(49 6960090),(50 6882325.5),(51 6803833.5),(52 6719738.5),(53 6629511.5),(54 6524783),(55 6417990),(56 6314221),(57 6224398.5),(58 6115953),(59 6008834),(60 5893652.5),(61 5781037.5),(62 5671351.5),(63 5574403.5),(64 5479953),(65 5401052.5),(66 5329803.5),(67 5273522),(68 5223290),(69 5187930.5),(70 5148304.5),(71 5123466.5),(72 5098830.5),(73 5074711),(74 5046522),(75 5020062.5),(76 4981981.5),(77 4949008),(78 4912777.5),(79 4886776),
(1 10882.516),(2 40602.887),(3 87076.7),(4 146324.19),(5 216310),(6 297236),(7 388070.75),(8 488598.25),(9 595716.3),(10 716769.2),(11 849663.44),(12 993205.6),(13 1140399.5),(14 1290480),(15 1443824),(16 1596135.3),(17 1750306.1),(18 1898516.1),(19 2042638.4),(20 2180354),(21 2310612.5),(22 2440432.3),(23 2573214.3),(24 2711938),(25 2854874.5),(26 2996202),(27 3144689.8),(28 3287490.5),(29 3429547.8),(30 3578880.5),(31 3737793.5),(32 3905862.8),(33 4067724.8),(34 4220048),(35 4358215.5),(36 4487742),(37 4625708),(38 4742597.5),(39 4852454.5),(40 4939452),(41 5020173),(42 5096655),(43 5163917),(44 5216659.5),(45 5267325.5),(46 5309165),(47 5335682.5),(48 5347925.5),(49 5352807.5),(50 5346907.5),(51 5335818),(52 5322430),(53 5293540),(54 5249488.5),(55 5190890.5),(56 5126200),(57 5052822),(58 4963112.5),(59 4876094.5),(60 4786254.5),(61 4702127),(62 4623944.5),(63 4560379.5),(64 4495443),(65 4438050),(66 4375479.5),(67 4310554.5),(68 4246687.5),(69 4191979.8),(70 4137502.5),(71 4083761),(72 4032204.3),(73 3982299.3),(74 3936387.5),(75 3904880),(76 3876278),(77 3860111.3),(78 3846710.3),(79 3848351),
(1 12210.754),(2 45158.64),(3 96030.86),(4 164554.92),(5 250939.97),(6 353550.88),(7 469908.44),(8 600479.75),(9 744826.56),(10 906904.7),(11 1080376.5),(12 1266363.1),(13 1464019.1),(14 1670911.4),(15 1885664),(16 2101954.8),(17 2316293),(18 2519806.5),(19 2722130.3),(20 2917261),(21 3101552.5),(22 3274482.8),(23 3440432.5),(24 3601337.8),(25 3755224),(26 3891445.3),(27 4011219.5),(28 4115320),(29 4207212),(30 4299058.5),(31 4391107),(32 4482050),(33 4570787),(34 4654251.5),(35 4721814),(36 4781223),(37 4846457),(38 4897107),(39 4957704),(40 5013797),(41 5071850.5),(42 5131071),(43 5184551),(44 5229667.5),(45 5279734.5),(46 5321545),(47 5351098.5),(48 5362851.5),(49 5371335),(50 5360206),(51 5334855),(52 5290862),(53 5231091.5),(54 5157076.5),(55 5065258),(56 4959212.5),(57 4850309),(58 4736414),(59 4629455),(60 4517806),(61 4415630),(62 4323152.5),(63 4249619),(64 4190149.3),(65 4148546.8),(66 4110852),(67 4072095),(68 4042989.3),(69 4019762.3),(70 4002284.5),(71 3985372.5),(72 3981021.8),(73 3988149),(74 3997229.3),(75 4017161),(76 4047641.3),(77 4079678.8),(78 4116285.3),(79 4160489.8),
(1 16891.12),(2 64966.15),(3 141811.8),(4 247940.4),(5 380361.66),(6 537753.3),(7 719103.75),(8 919106.4),(9 1138216.9),(10 1374954.1),(11 1624043.5),(12 1886425.1),(13 2160786),(14 2438513.5),(15 2723057.5),(16 3003576.5),(17 3274562.8),(18 3526287),(19 3767800.8),(20 4000302),(21 4220628),(22 4417190.5),(23 4596940),(24 4761675.5),(25 4914473.5),(26 5049396),(27 5161124),(28 5244667.5),(29 5307773),(30 5352889.5),(31 5376630),(32 5384399),(33 5383733.5),(34 5368316.5),(35 5339189.5),(36 5299047.5),(37 5253405),(38 5200189),(39 5143744),(40 5081484.5),(41 5025278),(42 4964888.5),(43 4910259),(44 4859834),(45 4825343),(46 4786804.5),(47 4749649.5),(48 4713351.5),(49 4690480),(50 4669599.5),(51 4652800),(52 4634460),(53 4620888.5),(54 4608747),(55 4579741.5),(56 4535332.5),(57 4478368),(58 4408092),(59 4333004),(60 4254884),(61 4171066.3),(62 4084586.3),(63 4005754.8),(64 3920250),(65 3830602.5),(66 3727945.8),(67 3616878.3),(68 3493044.3),(69 3376303.8),(70 3250926),(71 3128594),(72 3021977),(73 2921862.5),(74 2826088.3),(75 2740353),(76 2667967.5),(77 2609946.8),(78 2564651.3),(79 2538233),
