1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 13912.488),(2 38476.418),(3 80534.33),(4 131528.73),(5 190333.75),(6 251524.05),(7 321239.72),(8 390023.97),(9 458951.63),(10 512203.9),(11 565689),(12 605275.56),(13 655740.75),(14 699691.56),(15 739067.25),(16 776095.25),(17 806072.2),(18 836497.3),(19 876425.5),(20 904392.8),(21 955757),(22 1008479.2),(23 1071150.8),(24 1129289),(25 1201192.5),(26 1283074.9),(27 1361233.1),(28 1454137.6),(29 1541096.5),(30 1626212),(31 1698804.1),(32 1777019.9),(33 1857691.4),(34 1909824.1),(35 1948071),(36 1982477),(37 2018528.9),(38 2070049),(39 2119930),(40 2189180.8),(41 2265143.3),(42 2355994.3),(43 2458635.3),(44 2556811.3),(45 2672496),(46 2778777.5),(47 2887075.3),(48 3004463.8),(49 3110384),(50 3209592.3),(51 3322729.3),(52 3454767.8),(53 3571553.3),(54 3678128.8),(55 3797792),(56 3938688),(57 4107888.3),(58 4262921.5),(59 4421085.5),(60 4565127.5),(61 4694815),(62 4814382.5),(63 4927547),(64 5048199.5),(65 5152193.5),(66 5278110.5),(67 5397560.5),(68 5506882.5),(69 5629526.5),(70 5736057.5),(71 5857501.5),(72 5954063.5),(73 6053629.5),(74 6160818.5),(75 6263424.5),(76 6416907.5),(77 6559513.5),(78 6702068),(79 6874746.5),
(1 13555.023),(2 45393.56),(3 96841.734),(4 159646.63),(5 230118.66),(6 307931.4),(7 390181.16),(8 475424.5),(9 557246.6),(10 634334.6),(11 704478.75),(12 768337.4),(13 837852.9),(14 903863.4),(15 975575.4),(16 1041645.6),(17 1106290),(18 1173444.9),(19 1244526.3),(20 1310662.6),(21 1383670.4),(22 1459691.3),(23 1543864.4),(24 1618057.3),(25 1703193.6),(26 1805548.4),(27 1915445.6),(28 2037555.4),(29 2163636.3),(30 2301509.8),(31 2435296.3),(32 2569111),(33 2692574.5),(34 2813355.5),(35 2921447.8),(36 3025436.5),(37 3128670.5),(38 3243498),(39 3356482.8),(40 3485443.3),(41 3611953.5),(42 3757089.5),(43 3907540.8),(44 4044240.5),(45 4196589),(46 4360074),(47 4526299),(48 4684216),(49 4846067.5),(50 5026778.5),(51 5234387.5),(52 5456784),(53 5672406.5),(54 5887233),(55 6106884.5),(56 6344048),(57 6591085),(58 6834606.5),(59 7084902.5),(60 7318478.5),(61 7516597),(62 7706837.5),(63 7908004),(64 8112661),(65 8315182.5),(66 8543735),(67 8779189),(68 8995767),(69 9218582),(70 9442336),(71 9657471),(72 9853662),(73 10027522),(74 10194949),(75 10360486),(76 10565174),(77 10764230),(78 10977304),(79 11217538),
(1 12877.731),(2 46159.47),(3 101798.4),(4 170479.7),(5 248005.73),(6 333319.66),(7 426115.9),(8 522712.53),(9 618847.56),(10 715387.3),(11 807106.44),(12 895291.3),(13 989603.75),(14 1079777.9),(15 1178172.1),(16 1267977.6),(17 1358401.6),(18 1447284),(19 1540483.6),(20 1625572),(21 1714424),(22 1804372),(23 1902605.4),(24 1993084.9),(25 2095973.6),(26 2212970.5),(27 2356943.3),(28 2514104.3),(29 2677190.5),(30 2841195.3),(31 3017222.3),(32 3193592.3),(33 3370772.8),(34 3532992.8),(35 3698767.3),(36 3855726),(37 4033991.8),(38 4208810),(39 4413126.5),(40 4616077.5),(41 4831765.5),(42 5050251.5),(43 5282928),(44 5487679.5),(45 5693449.5),(46 5900981.5),(47 6102000.5),(48 6281710.5),(49 6439852.5),(50 6587259.5),(51 6772672),(52 6956453.5),(53 7132990),(54 7284440.5),(55 7448552),(56 7606848),(57 7766958),(58 7906950.5),(59 8065372.5),(60 8198862),(61 8319462.5),(62 8433311),(63 8584605),(64 8726269),(65 8898851),(66 9087231),(67 9296621),(68 9477257),(69 9665810),(70 9878490),(71 10119293),(72 10330747),(73 10541945),(74 10734845),(75 10945311),(76 11170113),(77 11401587),(78 11629471),(79 11857872),
(1 11167.621),(2 38747.234),(3 82336.66),(4 135514.97),(5 197027.14),(6 263432.13),(7 336186.53),(8 408450.34),(9 483173.44),(10 553379),(11 621718.4),(12 687146.3),(13 758006.9),(14 822911.1),(15 890929.6),(16 952576),(17 1016548.1),(18 1079280),(19 1150597.5),(20 1224143.8),(21 1305765.6),(22 1393679.5),(23 1493231.1),(24 1578666.6),(25 1670209),(26 1761599.4),(27 1865557.8),(28 1966452.6),(29 2065176),(30 2160706.8),(31 2260204),(32 2359092.5),(33 2446859.5),(34 2522963.5),(35 2599959),(36 2673636),(37 2755617),(38 2839701),(39 2955830.8),(40 3066471.5),(41 3199381.8),(42 3335373.3),(43 3495094.5),(44 3651413),(45 3824778.8),(46 3985632),(47 4154528),(48 4332216),(49 4511147.5),(50 4693459.5),(51 4879018),(52 5092338),(53 5297660.5),(54 5492358),(55 5704127.5),(56 5905493.5),(57 6111914),(58 6302472),(59 6506802.5),(60 6687783),(61 6860201),(62 7029379.5),(63 7208441),(64 7381660.5),(65 7562739.5),(66 7747691.5),(67 7940294),(68 8107443.5),(69 8274294),(70 8418803),(71 8582000),(72 8708942),(73 8844963),(74 8988534),(75 9130130),(76 9273845),(77 9428214),(78 9547512),(79 9658865),
(1 14120.831),(2 49075.875),(3 105312.695),(4 178384.1),(5 264847.94),(6 361364.97),(7 468038),(8 578069.75),(9 694725.4),(10 812750.06),(11 932344.94),(12 1046174.8),(13 1165139.4),(14 1278236.1),(15 1400923.4),(16 1522448.1),(17 1644307.6),(18 1770371.6),(19 1903360.1),(20 2041400),(21 2189892.5),(22 2351555.5),(23 2519827.8),(24 2674613),(25 2819442.5),(26 2965659),(27 3113331.8),(28 3259191),(29 3403517.8),(30 3543714.3),(31 3680664),(32 3814211),(33 3942854.5),(34 4052866.3),(35 4162142.5),(36 4269834),(37 4376755),(38 4483819.5),(39 4620548.5),(40 4751246),(41 4904302.5),(42 5066698.5),(43 5243055.5),(44 5407270),(45 5580707.5),(46 5744614),(47 5918909),(48 6108907.5),(49 6300003.5),(50 6489865.5),(51 6667254),(52 6862039.5),(53 7056471.5),(54 7230855.5),(55 7426513.5),(56 7612240),(57 7800859),(58 7973328),(59 8145313.5),(60 8296664.5),(61 8440865),(62 8558888),(63 8673386),(64 8785457),(65 8898107),(66 9029230),(67 9165828),(68 9270387),(69 9383363),(70 9468938),(71 9544937),(72 9589852),(73 9635708),(74 9671105),(75 9726537),(76 9756828),(77 9790270),(78 9795868),(79 9807802),
(1 15377.278),(2 56239.445),(3 122570.44),(4 208340.3),(5 312686.25),(6 431495.6),(7 563825.1),(8 705437.9),(9 854249.4),(10 1006417.6),(11 1164326.3),(12 1322864.9),(13 1487769),(14 1652721.4),(15 1818881.4),(16 1984264.4),(17 2150006),(18 2316975.8),(19 2483689.3),(20 2646271.5),(21 2803665),(22 2956333.3),(23 3109873.3),(24 3253416.8),(25 3389360.8),(26 3514465.3),(27 3642662),(28 3768387.3),(29 3897081.5),(30 4029595.5),(31 4163174),(32 4287536),(33 4388443),(34 4486245),(35 4574216),(36 4660149),(37 4750023),(38 4837545),(39 4930243),(40 5036527.5),(41 5142441),(42 5257915),(43 5388310.5),(44 5511649),(45 5647379),(46 5772169),(47 5907646.5),(48 6058874),(49 6210081.5),(50 6362796),(51 6503136),(52 6651221),(53 6788165.5),(54 6919048),(55 7049190.5),(56 7195673.5),(57 7342581.5),(58 7482745.5),(59 7634892),(60 7786029),(61 7933366.5),(62 8073568),(63 8215407),(64 8367702.5),(65 8523678),(66 8678650),(67 8825455),(68 8945164),(69 9076182),(70 9202469),(71 9310567),(72 9396307),(73 9478979),(74 9564429),(75 9668314),(76 9758515),(77 9842782),(78 9921850),(79 9983699),
(1 12395.389),(2 45174.5),(3 100897.04),(4 172747.52),(5 260405.89),(6 360927.66),(7 480207.16),(8 609708.75),(9 750367.9),(10 898788.6),(11 1055989.1),(12 1222201.1),(13 1401137.3),(14 1585367.5),(15 1781383.3),(16 1980912),(17 2186483),(18 2402085.5),(19 2626783.5),(20 2846703.8),(21 3070614.3),(22 3298272.5),(23 3526530.5),(24 3751951.8),(25 3963553),(26 4173119.5),(27 4387898),(28 4588177),(29 4781497),(30 4972116),(31 5158674),(32 5329747),(33 5485029),(34 5622362.5),(35 5749555.5),(36 5862827),(37 5970927),(38 6077530),(39 6178266.5),(40 6274372.5),(41 6367857),(42 6454608),(43 6547751.5),(44 6641717.5),(45 6729317.5),(46 6795050.5),(47 6856281),(48 6917135),(49 6979062),(50 7035187.5),(51 7065621),(52 7099832.5),(53 7126450),(54 7138104),(55 7143469.5),(56 7143128),(57 7148562.5),(58 7142522),(59 7147883.5),(60 7146494),(61 7142210),(62 7144002),(63 7144495.5),(64 7152791.5),(65 7152155.5),(66 7144058.5),(67 7132719),(68 7095610.5),(69 7069658),(70 7025511.5),(71 6965757.5),(72 6896183.5),(73 6831705),(74 6776533),(75 6724746.5),(76 6676665),(77 6617476.5),(78 6552621.5),(79 6484805),
(1 11840.424),(2 41609.41),(3 88064.59),(4 146955.47),(5 219615.06),(6 301987),(7 395658.53),(8 496510.8),(9 604212.1),(10 714042),(11 830449.6),(12 947037.6),(13 1069950.8),(14 1191449.5),(15 1315498.4),(16 1431820.4),(17 1546266.3),(18 1658411.8),(19 1769771.1),(20 1874264.3),(21 1980507.8),(22 2080099.6),(23 2176247.3),(24 2266337),(25 2354881.3),(26 2436820),(27 2519450.3),(28 2597157.3),(29 2664592),(30 2720017.8),(31 2774566.5),(32 2818694.3),(33 2859652.3),(34 2896426.5),(35 2922828.3),(36 2954262.5),(37 2989324),(38 3032506.3),(39 3087664.3),(40 3141781.8),(41 3191752),(42 3239226.3),(43 3290957.3),(44 3339571.3),(45 3393410.5),(46 3431140.8),(47 3462617.8),(48 3496571.8),(49 3528312.8),(50 3561624.3),(51 3595541.3),(52 3623587.8),(53 3656290.5),(54 3684769),(55 3709467),(56 3736186.5),(57 3775068.5),(58 3805985),(59 3841616),(60 3869634.3),(61 3887453),(62 3905124),(63 3934042.8),(64 3957323.3),(65 3986667.8),(66 4015056.3),(67 4042148.3),(68 4053149.3),(69 4071453.8),(70 4080588.5),(71 4093665),(72 4102907),(73 4107369.5),(74 4107252.3),(75 4097577.5),(76 4087838.5),(77 4078121),(78 4062954.3),(79 4044441),
(1 11140.089),(2 38851.77),(3 83763.95),(4 142094.88),(5 213193.89),(6 294312.47),(7 385753.22),(8 482924.22),(9 586974.3),(10 695468.7),(11 806226.1),(12 919900.25),(13 1037867.5),(14 1156637.6),(15 1286214.4),(16 1414178.4),(17 1546538.1),(18 1677212.4),(19 1801743.8),(20 1916825),(21 2030792),(22 2139451.8),(23 2241954),(24 2332857),(25 2414305.3),(26 2487800),(27 2560885.8),(28 2623316.5),(29 2680456.5),(30 2729819.8),(31 2774871.5),(32 2812152.3),(33 2842462.5),(34 2868666),(35 2894520),(36 2915178.5),(37 2941401.8),(38 2964817),(39 2989695.3),(40 3013017.5),(41 3047394.8),(42 3084156),(43 3125704.5),(44 3158999.3),(45 3199166.5),(46 3234027.5),(47 3272393.3),(48 3322952.5),(49 3388718.5),(50 3455853.5),(51 3527336.5),(52 3595041.5),(53 3664058.3),(54 3729513.3),(55 3791543.3),(56 3850532),(57 3909234),(58 3960410.3),(59 4018632.5),(60 4071946),(61 4120201),(62 4168780.8),(63 4217300),(64 4257871),(65 4300628),(66 4331008),(67 4350264),(68 4351319.5),(69 4338439.5),(70 4312542),(71 4279100),(72 4241159.5),(73 4199800.5),(74 4155773.3),(75 4103153),(76 4051671),(77 4001945),(78 3951729),(79 3907005.3),
(1 12089.444),(2 43435.945),(3 93661.57),(4 157286.08),(5 234153.25),(6 321438.3),(7 421327.66),(8 529429.25),(9 645191.56),(10 766191.75),(11 892678.44),(12 1025873.3),(13 1161479.6),(14 1299980.8),(15 1448803.3),(16 1592352.1),(17 1732649.8),(18 1867600),(19 1998005.4),(20 2121765),(21 2241951.5),(22 2357958.5),(23 2462800.5),(24 2555234.8),(25 2637757.8),(26 2714507),(27 2786189),(28 2840423.8),(29 2893004),(30 2940415.5),(31 2983152.5),(32 3018164.5),(33 3043975.5),(34 3067044.5),(35 3088916.3),(36 3106661.8),(37 3126040.5),(38 3147865.8),(39 3176551.8),(40 3209132.5),(41 3252614.3),(42 3296048),(43 3344109.3),(44 3387510),(45 3446143),(46 3505831.5),(47 3571704.5),(48 3642044.8),(49 3712756.3),(50 3781118.8),(51 3843468.5),(52 3909433),(53 3968288),(54 4021991),(55 4070587.5),(56 4114003.5),(57 4151193.3),(58 4176945.8),(59 4205695.5),(60 4233863),(61 4259136),(62 4284350.5),(63 4303435.5),(64 4315656),(65 4331291.5),(66 4340057),(67 4346778),(68 4337143),(69 4319927),(70 4296014),(71 4269186),(72 4250252.5),(73 4227919),(74 4202453.5),(75 4176233),(76 4149124.5),(77 4121205.8),(78 4098950.3),(79 4080267.5),
(1 12121.131),(2 43306.77),(3 91692.984),(4 152453.86),(5 225963.83),(6 307031.28),(7 397934.06),(8 491578.7),(9 589327.75),(10 688711.2),(11 789769.06),(12 897544),(13 1013990.4),(14 1127905.4),(15 1246793.4),(16 1359546.9),(17 1466298.9),(18 1568845.9),(19 1672161.9),(20 1769371.8),(21 1862615),(22 1949255.3),(23 2028690.4),(24 2101244.8),(25 2166854),(26 2230230.8),(27 2293338),(28 2350478.8),(29 2401294.3),(30 2448382.8),(31 2498184),(32 2539809.5),(33 2578764.3),(34 2612360),(35 2644261.3),(36 2665393),(37 2683286),(38 2698322.3),(39 2706294),(40 2716608),(41 2728301.5),(42 2735311),(43 2739853.3),(44 2734073.3),(45 2727826),(46 2720298.3),(47 2715051.8),(48 2711301.8),(49 2708326.8),(50 2700246),(51 2688940.5),(52 2684125.8),(53 2673368),(54 2662327.8),(55 2655599.8),(56 2652548.3),(57 2651299.8),(58 2649908.8),(59 2655169.8),(60 2663353),(61 2676596.3),(62 2689734),(63 2707994),(64 2730084.8),(65 2759574.5),(66 2791086.3),(67 2821813),(68 2844283.3),(69 2870100.8),(70 2897239.5),(71 2930305),(72 2964591.5),(73 2994254.8),(74 3021365.3),(75 3048156),(76 3067726.8),(77 3082628.8),(78 3093892.8),(79 3095479.3),
