1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8728.314),(2 25886.223),(3 42079.355),(4 53150.676),(5 58816.77),(6 61470.418),(7 62751.016),(8 63992.805),(9 65755.78),(10 67378.25),(11 68790.18),(12 69361.96),(13 69868.28),(14 70495.79),(15 71726.766),(16 72015.29),(17 72806.64),(18 74447.375),(19 75671.69),(20 76070.43),(21 75842.555),(22 75472.29),(23 74881.77),(24 76032.695),(25 78255.445),(26 80422.695),(27 81776.445),(28 80457.19),(29 78436.8),(30 77347.16),(31 75979.99),(32 75048.8),(33 74228.8),(34 72965.266),(35 72171.7),(36 71816.836),(37 72308.66),(38 73767.09),(39 74714.53),(40 74272.164),(41 73774.04),(42 73090.586),(43 72802.91),(44 73350.19),(45 74418.06),(46 75369.234),(47 75231.234),(48 73081.32),(49 72066.54),(50 71757.63),(51 73028.41),(52 75615.04),(53 76702.79),(54 78379.13),(55 79112.516),(56 78214.56),(57 77195.66),(58 77618.1),(59 78408.484),(60 78916.164),(61 79318.945),(62 79104.945),(63 80075.84),(64 80780.305),(65 81545.91),(66 81297.36),(67 80011.43),(68 79112.055),(69 80961.31),(70 83145.66),(71 82595.15),(72 80296.164),(73 79342.11),(74 78836.74),(75 77788.85),(76 77167.37),(77 77091.734),(78 78252.5),(79 80168.734),
(1 8586.251),(2 25804.777),(3 42367.082),(4 53704.445),(5 59562.582),(6 62579.605),(7 65708.18),(8 68548.555),(9 70364.89),(10 71041.695),(11 71852.555),(12 72236.29),(13 72468.164),(14 71330.93),(15 70264.6),(16 70787.734),(17 72224.945),(18 73328.664),(19 72761.086),(20 71927.54),(21 71302.24),(22 72021.43),(23 72461.76),(24 74367.96),(25 76951.234),(26 78292.336),(27 79630.2),(28 78793.95),(29 76483.35),(30 74726.76),(31 74409.76),(32 75453.16),(33 76399.03),(34 76601.98),(35 76500.72),(36 76373.49),(37 76013.734),(38 74589.086),(39 74001.05),(40 74702.336),(41 75251.195),(42 75834.93),(43 75929.875),(44 76400.375),(45 77296.31),(46 77599.94),(47 77378.16),(48 75591.25),(49 74116.914),(50 73665.42),(51 73671.16),(52 74153.14),(53 73685.6),(54 73860.02),(55 74353.25),(56 74668.375),(57 75193.31),(58 76643.76),(59 77653.24),(60 78051.805),(61 77083.55),(62 75945.055),(63 75605.445),(64 75246.016),(65 75410.336),(66 75469.26),(67 75625.664),(68 75715.01),(69 78340.68),(70 81858.86),(71 82598.234),(72 81619.12),(73 82064.586),(74 82517.66),(75 82679.32),(76 82336.82),(77 81807.555),(78 81395.87),(79 81758.43),
(1 8346.976),(2 24533.438),(3 39383.22),(4 48324.3),(5 52823.94),(6 55541.773),(7 57868.17),(8 59864.605),(9 61377.445),(10 62404.277),(11 63575.24),(12 65365.7),(13 67377.984),(14 67975.914),(15 67539.79),(16 68145.75),(17 68507.21),(18 69723.875),(19 70594.19),(20 70027.22),(21 68027.125),(22 67119.62),(23 67715.266),(24 69962.84),(25 73168.4),(26 74114.34),(27 74362.875),(28 74537.34),(29 74393.43),(30 73207.914),(31 72164.555),(32 72055.44),(33 72027.19),(34 71850.75),(35 71580.7),(36 71252.734),(37 71046.05),(38 70175.81),(39 70691.94),(40 71325.7),(41 71728.414),(42 72482.375),(43 72266.98),(44 71586.84),(45 72493.66),(46 72491.375),(47 71849.11),(48 70595.06),(49 69438.266),(50 69242.33),(51 68597.48),(52 67016.71),(53 66149.04),(54 67180.51),(55 68801.29),(56 69490.91),(57 69701.984),(58 69251.67),(59 68399.48),(60 67831.54),(61 68051.66),(62 69213.18),(63 70708.15),(64 71232.66),(65 71691.54),(66 71636.89),(67 72521.52),(68 71993.06),(69 72290.86),(70 73278.01),(71 73474.51),(72 71512.19),(73 70982.16),(74 71189.24),(75 71765.87),(76 72507.23),(77 74326.42),(78 75292.69),(79 76178.04),
(1 8464.127),(2 24987.578),(3 39855.098),(4 49124.027),(5 53797.277),(6 57364.07),(7 60265.61),(8 61396.645),(9 61544.09),(10 61794.117),(11 62975.645),(12 63637.95),(13 63484.38),(14 62671.59),(15 62271.156),(16 63350.58),(17 65058.72),(18 66418.14),(19 67676.93),(20 68558.73),(21 68817.08),(22 68314.76),(23 68380.02),(24 69313.09),(25 70467.82),(26 69739.33),(27 68233.28),(28 67032.65),(29 66382.01),(30 66321.03),(31 66773.06),(32 66575.3),(33 66443.38),(34 66455.805),(35 66966.45),(36 67449.336),(37 68478.27),(38 68280.7),(39 68233.4),(40 67449.99),(41 66117.5),(42 65857.54),(43 66063.11),(44 65901.53),(45 66534.484),(46 67095.25),(47 67533.72),(48 67453.375),(49 67797.49),(50 67367.43),(51 66774.51),(52 65864.016),(53 65409.074),(54 66512.33),(55 68309.73),(56 69004.3),(57 68790.41),(58 67694.766),(59 66298.445),(60 65754.7),(61 66356.02),(62 66573.28),(63 67067.96),(64 67137.56),(65 66087.91),(66 65521.742),(67 66199.53),(68 67394.74),(69 68658.19),(70 69192.734),(71 70031.445),(72 69289.836),(73 67608.59),(74 67029.02),(75 68673.82),(76 71951.984),(77 73567.37),(78 73821.32),(79 73682.31),
(1 8629.632),(2 25569.898),(3 41197.426),(4 51174.414),(5 55466.066),(6 57115.152),(7 57228.938),(8 57257.113),(9 57729.87),(10 58560.13),(11 59666.797),(12 60544.934),(13 60994.285),(14 61174.066),(15 61567.484),(16 62278.785),(17 64119.508),(18 65341.133),(19 65844.33),(20 65765.74),(21 65614.73),(22 66048.97),(23 67957.88),(24 69738.97),(25 70398.87),(26 69208.6),(27 68269.16),(28 67161.555),(29 65041.535),(30 63840.973),(31 64624.023),(32 66456.234),(33 67960.54),(34 68312.26),(35 68929.92),(36 69803.74),(37 72122.7),(38 74202.35),(39 74824.79),(40 74471.29),(41 72803.195),(42 72443.18),(43 72932.96),(44 73424.22),(45 73581.16),(46 73860.58),(47 73838.58),(48 73424.484),(49 73944.22),(50 74282.734),(51 73935.336),(52 72953.45),(53 72462.62),(54 72568.5),(55 73046.5),(56 73798.86),(57 74483.766),(58 74135.14),(59 72211.73),(60 69925.49),(61 68247.36),(62 68580.12),(63 70370.88),(64 71703.39),(65 71690.89),(66 71005.45),(67 70453.14),(68 69913.2),(69 70263.85),(70 70474.96),(71 71311.72),(72 71175.1),(73 69691.125),(74 67967.25),(75 67463.08),(76 68266.34),(77 68940.32),(78 69526.53),(79 70784.64),
(1 8357.229),(2 24736.408),(3 39463.355),(4 48147.402),(5 51727.695),(6 53036.453),(7 53896.98),(8 54365.266),(9 54808.758),(10 55430.305),(11 56752.637),(12 57501.734),(13 58424.387),(14 57442.297),(15 56703.33),(16 56615.66),(17 57661.6),(18 59046.664),(19 60105.73),(20 61723.52),(21 63477.89),(22 64736.625),(23 66839.914),(24 67960.234),(25 67469.85),(26 66019.85),(27 64743.613),(28 63785.656),(29 63778.742),(30 64136.695),(31 65008.406),(32 66345.3),(33 67526.695),(34 67377.375),(35 66783.47),(36 66853.75),(37 67273.35),(38 67719.69),(39 67805.016),(40 68153.03),(41 68542.1),(42 68880.68),(43 68920.125),(44 69927.53),(45 71045.9),(46 70930.33),(47 69025.35),(48 67305.12),(49 66811.17),(50 67315.305),(51 68974.35),(52 69643.555),(53 70078.15),(54 69109.68),(55 68031.1),(56 67953.8),(57 69471.1),(58 70871.61),(59 69911.04),(60 67362.01),(61 64817.03),(62 64120.434),(63 64989.887),(64 66168.53),(65 66703.99),(66 65571.87),(67 64902.836),(68 65488.023),(69 67639.37),(70 69433.31),(71 69531.8),(72 69040),(73 67827.945),(74 65551.46),(75 64187.59),(76 64008.734),(77 64170.83),(78 65522.76),(79 67471.48),
(1 7778.4185),(2 22399.814),(3 34759.1),(4 42020.566),(5 45879.945),(6 48522.656),(7 51090.14),(8 53044.3),(9 53653.848),(10 53591.33),(11 53896.395),(12 54270.74),(13 54338.625),(14 54116.676),(15 54211.156),(16 55477.08),(17 56906.82),(18 57317.285),(19 57188.67),(20 57335.97),(21 58777.516),(22 59716.37),(23 60602.57),(24 61945.18),(25 62284.48),(26 61956.523),(27 61131.754),(28 60602.45),(29 61183.582),(30 61427.367),(31 61779.996),(32 63049.23),(33 64723.99),(34 66049.95),(35 67130.77),(36 67491.56),(37 67228.31),(38 65710.09),(39 64179.26),(40 63520.832),(41 64426.44),(42 65610.91),(43 66435.305),(44 66978.914),(45 66742.79),(46 65881.21),(47 64797.348),(48 65254.637),(49 66031.32),(50 64791.34),(51 64467.99),(52 64083.52),(53 64081.336),(54 63783.51),(55 63072.38),(56 62714.27),(57 62820.723),(58 63292.086),(59 63144.9),(60 62271.613),(61 61203.465),(62 60497.15),(63 60607.504),(64 61010.867),(65 61121.547),(66 60139.125),(67 59049.39),(68 60262.805),(69 61806.176),(70 62621.97),(71 62331.504),(72 61504.504),(73 62107.426),(74 62182.234),(75 61683.758),(76 61682.914),(77 62442.48),(78 63647.84),(79 64091.375),
(1 7149.167),(2 20515.31),(3 32360.867),(4 39299.918),(5 42258.707),(6 44300.89),(7 46203.688),(8 47375.453),(9 47225.848),(10 47542.51),(11 48658.016),(12 49894.16),(13 51447.44),(14 52688.96),(15 54175.727),(16 55682.39),(17 56283.324),(18 55535.51),(19 54866.695),(20 55509.266),(21 57018.5),(22 57932.7),(23 58075.1),(24 58377.69),(25 57778.7),(26 56440.992),(27 55110.37),(28 54544.96),(29 55419.1),(30 55071.813),(31 54524.86),(32 54425.11),(33 55433.258),(34 57092.098),(35 58518.23),(36 59633.973),(37 60477.918),(38 58832.516),(39 56287.797),(40 54700.875),(41 53931.598),(42 55357.57),(43 57521.945),(44 59282.367),(45 58828.566),(46 57532.926),(47 57023.41),(48 57144.49),(49 58279.555),(50 58438.516),(51 58823.395),(52 58615.76),(53 59239.992),(54 59901.34),(55 59281.484),(56 57975.05),(57 57358.273),(58 57375.586),(59 57920.168),(60 58209.688),(61 57978.633),(62 57945.62),(63 59096.508),(64 59604.215),(65 59396.34),(66 59592.08),(67 58644.414),(68 58330.883),(69 58887.223),(70 58089.89),(71 56994.668),(72 56268.066),(73 56762.85),(74 57425.25),(75 56791.477),(76 56942.855),(77 57556.918),(78 57369.984),(79 57570.133),
(1 7549.771),(2 21922.24),(3 34442.293),(4 41422.67),(5 44091.574),(6 45620.203),(7 47042.906),(8 48683.22),(9 49295.785),(10 49153.45),(11 49309.332),(12 50211.715),(13 51565.63),(14 51541.227),(15 51445.6),(16 52192.684),(17 52900.117),(18 53893.563),(19 54764.715),(20 55952.457),(21 57142.523),(22 57851.1),(23 57664.72),(24 56498.766),(25 54908.836),(26 54388.527),(27 54362.723),(28 54795.29),(29 55921.242),(30 56171.902),(31 56287.543),(32 57006.813),(33 57793.18),(34 58471.363),(35 58212.125),(36 56967.2),(37 56396.844),(38 56371),(39 56117.875),(40 55508.418),(41 54736.758),(42 55316.133),(43 56342.047),(44 56596.79),(45 56694.527),(46 56812.04),(47 57918.875),(48 58498.867),(49 58771.08),(50 58826.582),(51 59073.035),(52 59026.957),(53 59724.176),(54 60500.52),(55 60059.02),(56 59065.742),(57 58393.414),(58 58573.49),(59 59087.402),(60 59038.51),(61 58884.496),(62 58360.992),(63 59376.93),(64 60431.914),(65 60460.95),(66 60664.586),(67 60434.676),(68 60365.46),(69 61486.07),(70 61795.01),(71 61545.188),(72 61502.61),(73 61488.816),(74 60987.77),(75 59608.29),(76 58745.91),(77 59050.145),(78 59596.6),(79 59515.965),
(1 7406.55),(2 21570.008),(3 33726.51),(4 40415.11),(5 42894.418),(6 44062.098),(7 45239.656),(8 46067.21),(9 46521.18),(10 46958.418),(11 47268.33),(12 48448.527),(13 50884.4),(14 51491.91),(15 51555.023),(16 53027.023),(17 54705.477),(18 56162.45),(19 56954.2),(20 57205.88),(21 57433.9),(22 57443.047),(23 57378.5),(24 56487.184),(25 54782.887),(26 54036.305),(27 54077.938),(28 54128.76),(29 54226.543),(30 54744.098),(31 55323.066),(32 55967.434),(33 56389.62),(34 56098.4),(35 55330.184),(36 54284.617),(37 53075.293),(38 52412.465),(39 52442.133),(40 52404.285),(41 52703.734),(42 53498.797),(43 54221.35),(44 53827.668),(45 53502.38),(46 54012.574),(47 55164.38),(48 56051.434),(49 56071.035),(50 55658.863),(51 55897.29),(52 55940.156),(53 56401.2),(54 56671.87),(55 56791.055),(56 56810.16),(57 56767.992),(58 56527.68),(59 56101.543),(60 55558),(61 55133.832),(62 54370.55),(63 54712.527),(64 55492.633),(65 56287.992),(66 57499.496),(67 57806.22),(68 57548.223),(69 58117.145),(70 58863.184),(71 59562.137),(72 59094.832),(73 57244.004),(74 55054.395),(75 54486.65),(76 54593.25),(77 55457.465),(78 56746.59),(79 57598.563),
(1 7156.6694),(2 20491.46),(3 31693.08),(4 38519.125),(5 41974.43),(6 43969.22),(7 45388.48),(8 46295.027),(9 46844.37),(10 47137.1),(11 47650.844),(12 48245.94),(13 49087.723),(14 49723.43),(15 50101.715),(16 50315.145),(17 50298.76),(18 50297.383),(19 50202.1),(20 50325.36),(21 51252.613),(22 52414.047),(23 52843.438),(24 52516.285),(25 51555.42),(26 51246.34),(27 51473.227),(28 51741.453),(29 51829.16),(30 52422.242),(31 53396.508),(32 53832.734),(33 53702.93),(34 53526.656),(35 53157.496),(36 52997.418),(37 53119.87),(38 53771.918),(39 54454.574),(40 55042.547),(41 55586.98),(42 56112.414),(43 55496.633),(44 55115.605),(45 54402.895),(46 53719.684),(47 53754.457),(48 53565.16),(49 53871.16),(50 54417.477),(51 55234.367),(52 55267.797),(53 55172.047),(54 54604.875),(55 54481.844),(56 54216.586),(57 53141.496),(58 52614.98),(59 52634.41),(60 52509.758),(61 52216.066),(62 51450.902),(63 51353.863),(64 51787.688),(65 51966.125),(66 53651.45),(67 54085.41),(68 53965.688),(69 54442.656),(70 54898.91),(71 55737.383),(72 56061.855),(73 55499.105),(74 54865.184),(75 54410.805),(76 55668.36),(77 57480.254),(78 57812.42),(79 58528.79),
(1 6725.691),(2 18894.137),(3 29290.258),(4 36142.95),(5 39586.098),(6 40748.74),(7 41186.605),(8 42218.016),(9 43688.965),(10 45568.35),(11 47475.117),(12 48838.563),(13 50053.156),(14 50741.703),(15 51163.008),(16 51099.55),(17 50057.9),(18 48801.277),(19 47975.406),(20 48311.953),(21 49766.902),(22 51867.54),(23 53250.457),(24 54143.44),(25 53939.703),(26 53432.67),(27 53129.79),(28 53113.79),(29 53137.84),(30 53433.348),(31 53502.31),(32 52623.098),(33 51563.207),(34 50238.18),(35 49441.414),(36 48908.13),(37 48841.844),(38 49843.945),(39 51281.395),(40 53247.56),(41 54205.7),(42 54402.465),(43 53704.17),(44 52500.773),(45 51528.887),(46 51091.35),(47 51775.46),(48 52189.18),(49 52534.074),(50 52826.82),(51 52962.766),(52 53305.19),(53 53455.164),(54 53787.98),(55 53818.613),(56 53036.07),(57 51607.23),(58 51642.156),(59 52581.914),(60 53157.258),(61 52054.676),(62 49600.34),(63 48264.22),(64 48745.22),(65 50093.24),(66 52242.285),(67 52593.266),(68 51294.89),(69 49976.77),(70 50213.105),(71 51041.582),(72 51786.51),(73 51951.688),(74 52553.426),(75 52225.6),(76 51204.246),(77 50961.043),(78 51045.207),(79 51472.797),
(1 7269.487),(2 20519.77),(3 31548.553),(4 38207.38),(5 41301.54),(6 42804.21),(7 43691.336),(8 44557.387),(9 45104.992),(10 45511.063),(11 45861.2),(12 46290.18),(13 47062.676),(14 47988.73),(15 48938.188),(16 49580.063),(17 48546.848),(18 47615.414),(19 47333.35),(20 48641.957),(21 50766.785),(22 52495.32),(23 53528.016),(24 52865.73),(25 52133.094),(26 52181.66),(27 52270.684),(28 52387.035),(29 52620.535),(30 53241.586),(31 53338.26),(32 54254.293),(33 55460.953),(34 55249.957),(35 54318.117),(36 53364.625),(37 52554.26),(38 52872.918),(39 53685.48),(40 55173.094),(41 55973.117),(42 55543.402),(43 55009.2),(44 54391.953),(45 53921.69),(46 53593.793),(47 53478.11),(48 53281.39),(49 53215.535),(50 53072.707),(51 53500.746),(52 54134.363),(53 54802.285),(54 54997.535),(55 54073.453),(56 52747.45),(57 51357.363),(58 50744.32),(59 49913.895),(60 48998.293),(61 47757.58),(62 46282.457),(63 46330.9),(64 47154.41),(65 47955.52),(66 49519.496),(67 50191.06),(68 49836.92),(69 50032.56),(70 51104.652),(71 52747.58),(72 53624.97),(73 53917.293),(74 53240.363),(75 52117.652),(76 51202.49),(77 51834.223),(78 53213.1),(79 54807.457),
(1 7221.0063),(2 20205.686),(3 30963.902),(4 37263.75),(5 40101.445),(6 41390.336),(7 41927.2),(8 42186.55),(9 42712.043),(10 43886.875),(11 45231.664),(12 45927.742),(13 46219.195),(14 46450.023),(15 47311.457),(16 48474.203),(17 48539.66),(18 47728.355),(19 47118.707),(20 47906.008),(21 49230.527),(22 50136.016),(23 50560.176),(24 50238.043),(25 49462.355),(26 49117.117),(27 48726.77),(28 48554.707),(29 48385.49),(30 47955.83),(31 48198.223),(32 49604.727),(33 50514.848),(34 49674.844),(35 48710.984),(36 47641.13),(37 46593.7),(38 46574.117),(39 47307.336),(40 47951.54),(41 48377.582),(42 48555.457),(43 48075.62),(44 48545.39),(45 49488.85),(46 49756.14),(47 49442.887),(48 48854.336),(49 49443.098),(50 50228.035),(51 51153.336),(52 51728.098),(53 51958.516),(54 51376.516),(55 51667.54),(56 53080.508),(57 53635.723),(58 52647.887),(59 50810.75),(60 49122.145),(61 48464.496),(62 48078.715),(63 48396.95),(64 49724.85),(65 50256.574),(66 50587.28),(67 49867.895),(68 49833.07),(69 50233.164),(70 50453.39),(71 51500.85),(72 52194),(73 52332.617),(74 52182.406),(75 52367.64),(76 52106.277),(77 52194.363),(78 52434.64),(79 52283.098),
(1 7214.6484),(2 20210.844),(3 31184.822),(4 37794.06),(5 41542.063),(6 43846.637),(7 44828.914),(8 45210.82),(9 45633.87),(10 46280.008),(11 46413.484),(12 46212.715),(13 46423.82),(14 46794.29),(15 47455.758),(16 47757.91),(17 47265.395),(18 46475.617),(19 46033.363),(20 47445.676),(21 49790.42),(22 50890.46),(23 50871.06),(24 49968.16),(25 49521.39),(26 49251.234),(27 48992.402),(28 49262.777),(29 49226.45),(30 48522.22),(31 47727.164),(32 47705.34),(33 48809.895),(34 50545.984),(35 51543.996),(36 52000.27),(37 51863.47),(38 51874.414),(39 52453.68),(40 52778.133),(41 52380.95),(42 52588.1),(43 52431.71),(44 52565.93),(45 53944.258),(46 54592.867),(47 54177.723),(48 53755.297),(49 53987.81),(50 54202.53),(51 54101.09),(52 53462.984),(53 52917.938),(54 51295.926),(55 50699.414),(56 52013.93),(57 53668.836),(58 53925.957),(59 53236.74),(60 51175.37),(61 49907.313),(62 49102.973),(63 48251.223),(64 48718.23),(65 49517.457),(66 50264.457),(67 49822.586),(68 50083.84),(69 50774.43),(70 50737.074),(71 50981.38),(72 51587.676),(73 52358.535),(74 53386.715),(75 53633.273),(76 53555.95),(77 53272.523),(78 53507.094),(79 54409.98),
(1 6982.4),(2 19570.902),(3 29969.748),(4 36205.555),(5 39361.324),(6 41230.94),(7 41683.973),(8 41740.64),(9 42048.977),(10 42649.684),(11 43603.66),(12 44103.582),(13 44636.496),(14 44974.67),(15 46060.375),(16 46770.25),(17 46327.176),(18 45780.906),(19 45660.82),(20 46454.34),(21 48741.633),(22 51117.4),(23 51904.992),(24 50780.09),(25 50210.297),(26 49864.49),(27 50287.71),(28 51112.465),(29 51318.344),(30 50829.246),(31 50014.543),(32 49328.633),(33 49178.297),(34 49615.074),(35 49976.668),(36 50478.797),(37 51413.945),(38 50663.957),(39 50192.344),(40 48999.8),(41 48226.992),(42 48260.387),(43 48364.816),(44 48935.785),(45 50667.063),(46 51369.086),(47 51389.848),(48 50670.88),(49 50550.668),(50 50350.86),(51 49379.766),(52 49161.02),(53 48615.75),(54 47836.242),(55 47569.3),(56 48121.6),(57 49864.55),(58 50842.38),(59 50336.418),(60 48891.316),(61 47852.08),(62 46897.336),(63 46290.9),(64 47213.34),(65 48534.625),(66 49679.547),(67 49487.273),(68 49041),(69 49757.746),(70 49865.445),(71 49030.65),(72 48615.332),(73 48794.91),(74 49341.434),(75 49877.254),(76 50306.848),(77 50248.582),(78 50530.984),(79 51785.36),
(1 6597.877),(2 18621.244),(3 28246.457),(4 33785.93),(5 36455.51),(6 37643.477),(7 38220.38),(8 38508.594),(9 38974.52),(10 39752.566),(11 40608.395),(12 40441.39),(13 40050.7),(14 40121.12),(15 40961.51),(16 41899.684),(17 41956.25),(18 42022.703),(19 42781.4),(20 43845.95),(21 45001.273),(22 45748.297),(23 45621.348),(24 44668.844),(25 44273.414),(26 44263.24),(27 45087.086),(28 46434.676),(29 47795.848),(30 48651.445),(31 48466.977),(32 47305.367),(33 46451.25),(34 45748.145),(35 45348.113),(36 45220.805),(37 46347.71),(38 46887.36),(39 47154.523),(40 47420.41),(41 47540.496),(42 47358.81),(43 46697.477),(44 46493.383),(45 47597.117),(46 48307.457),(47 48797.25),(48 49223.332),(49 49175.504),(50 49139.22),(51 48736.383),(52 47969.332),(53 46849.02),(54 46097.7),(55 46278.906),(56 46958.266),(57 48170.12),(58 48216.445),(59 47660.81),(60 47094.69),(61 46330.777),(62 45357.023),(63 44656.707),(64 44976.625),(65 44773.703),(66 45051.016),(67 44695.246),(68 44621.758),(69 45929.316),(70 46841.566),(71 46426.65),(72 45050.31),(73 44353.133),(74 44648.617),(75 45238.652),(76 46294.434),(77 47302.31),(78 47630.51),(79 47786.11),
(1 6488.4727),(2 18056.266),(3 27461.291),(4 33159.234),(5 36530),(6 38399.68),(7 39662.496),(8 40516.996),(9 40592.15),(10 40607.71),(11 40449.19),(12 40131.81),(13 40233.605),(14 40940.016),(15 42452.676),(16 44029.98),(17 44425.375),(18 44192.008),(19 44597.707),(20 46217.24),(21 47548.336),(22 47586.29),(23 46845.17),(24 45536.664),(25 44967.36),(26 44655.816),(27 44087.707),(28 43601.785),(29 44015.547),(30 44399.887),(31 44647.656),(32 45466.63),(33 46549.37),(34 47097.79),(35 46824.336),(36 46055.723),(37 45862.05),(38 46070.457),(39 45933.684),(40 45953.383),(41 46362.76),(42 46447.484),(43 46711.74),(44 47002.105),(45 46938.055),(46 46788.55),(47 46672.582),(48 47251.9),(49 48404.395),(50 49045.938),(51 49019.566),(52 48188.703),(53 47052.45),(54 46182.367),(55 46165.895),(56 46012.633),(57 46242.844),(58 45822.65),(59 45737.41),(60 46232.15),(61 46569.484),(62 46255.996),(63 45673.3),(64 46239.625),(65 46416.523),(66 46228.44),(67 46063.434),(68 46237.043),(69 46828.797),(70 46915.04),(71 46553.992),(72 44936.57),(73 44207.895),(74 43815.16),(75 43410.55),(76 43227.195),(77 43868.78),(78 44724.977),(79 45095.957),
