1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 10057.243),(2 19226.768),(3 36731.035),(4 50073.188),(5 65327.375),(6 84493.54),(7 100567.336),(8 119982.85),(9 138023.98),(10 160949.52),(11 179460.3),(12 198856.61),(13 218755.38),(14 244636.55),(15 271690.97),(16 293235.4),(17 324107.66),(18 346225),(19 378570.66),(20 404204.9),(21 437079.5),(22 464450.4),(23 495345.63),(24 533682.1),(25 561207.3),(26 603803.56),(27 648907.56),(28 686301),(29 748626.75),(30 797596.7),(31 853624),(32 895538.2),(33 946687.5),(34 990221.3),(35 1018615.75),(36 1057776.4),(37 1088006.9),(38 1120041.6),(39 1150585.1),(40 1173693),(41 1214951.1),(42 1240152.5),(43 1282165.6),(44 1320941.5),(45 1365828),(46 1401718.9),(47 1441896),(48 1493911.6),(49 1547797),(50 1617400),(51 1665607),(52 1707693.9),(53 1791074.9),(54 1856755.9),(55 1949156.6),(56 2040552.1),(57 2146827.8),(58 2241098.3),(59 2331843.3),(60 2459268.3),(61 2538413.3),(62 2667685),(63 2796381.3),(64 2901588.3),(65 3045084),(66 3178348),(67 3322618),(68 3467919),(69 3652850.8),(70 3792383.3),(71 3983009.3),(72 4199601.5),(73 4366218.5),(74 4551047.5),(75 4728876.5),(76 4878777),(77 5069628),(78 5237187),(79 5393818),
(1 7336.8057),(2 19012.037),(3 34379.47),(4 49793.918),(5 70209.48),(6 92948.75),(7 119250.164),(8 141975.97),(9 166701.1),(10 192365.23),(11 215649.16),(12 240005.88),(13 263268.34),(14 292229.3),(15 321239.44),(16 346626.5),(17 373291.2),(18 397450.5),(19 424896.7),(20 450787.3),(21 477693.34),(22 496784.9),(23 523619.7),(24 553137.6),(25 582177.4),(26 616856.4),(27 655001.5),(28 686561.1),(29 729119.1),(30 767146.9),(31 815107.8),(32 850808.2),(33 891765.2),(34 922767.9),(35 954086.9),(36 990222.4),(37 1030640),(38 1076284.6),(39 1125325.8),(40 1167786.6),(41 1222757.8),(42 1265366.3),(43 1308165.5),(44 1348669.1),(45 1394389.3),(46 1434501.6),(47 1473839.8),(48 1516817),(49 1559401.1),(50 1607853.8),(51 1652184.5),(52 1684999.6),(53 1734154),(54 1782304.6),(55 1840008.8),(56 1901864.8),(57 1972312.6),(58 2029486.6),(59 2090300),(60 2164541.5),(61 2219439.3),(62 2299639.8),(63 2376841.3),(64 2446280),(65 2543961.5),(66 2639191.8),(67 2735493.3),(68 2836748.5),(69 2950384.5),(70 3039976.8),(71 3162238.3),(72 3292380),(73 3416770.5),(74 3557510),(75 3671908.5),(76 3776057.5),(77 3911256),(78 4037580.8),(79 4160482.5),
(1 8915.099),(2 23747.568),(3 43154.535),(4 64345.74),(5 92781.914),(6 122212.28),(7 155347.33),(8 189819.75),(9 226291.7),(10 259790.94),(11 292634.22),(12 325112.84),(13 361174.75),(14 401367.84),(15 440121.47),(16 475019.9),(17 509960.22),(18 544404.4),(19 580950.6),(20 616020.8),(21 649281.75),(22 677139.7),(23 702917.2),(24 726941.5),(25 759852.06),(26 792600.8),(27 827207.94),(28 853342.2),(29 885101.3),(30 914287.5),(31 942252.75),(32 964083),(33 988807.8),(34 1004664),(35 1023981),(36 1045014.8),(37 1067653.5),(38 1091750.9),(39 1120119.9),(40 1144377.5),(41 1170948.6),(42 1200912.4),(43 1232376.3),(44 1268652.1),(45 1308238.6),(46 1341127.6),(47 1371623),(48 1401966.4),(49 1428449.5),(50 1456796.4),(51 1481208.5),(52 1499860),(53 1523133.9),(54 1545568.4),(55 1574871),(56 1605890.6),(57 1643182.4),(58 1669896.4),(59 1702496.4),(60 1737961.4),(61 1762527.9),(62 1800831.6),(63 1845333.6),(64 1885120.4),(65 1941654.4),(66 1998850),(67 2054053.6),(68 2112927.3),(69 2177200),(70 2229287.3),(71 2302202.3),(72 2363892.8),(73 2428196),(74 2491816.8),(75 2544122),(76 2591773.3),(77 2647213.3),(78 2711198),(79 2767509.3),
(1 9141.868),(2 26112.764),(3 47564.605),(4 71087.555),(5 101598.06),(6 134769.42),(7 170993.61),(8 207112.58),(9 247138.78),(10 283665.84),(11 324660.13),(12 364354.63),(13 406825.94),(14 455336.72),(15 504752.44),(16 544623.44),(17 592377.75),(18 635201),(19 679363),(20 727222.8),(21 771175.25),(22 809951.75),(23 848866.94),(24 882776),(25 922859.3),(26 962024.9),(27 1004699.75),(28 1036553.44),(29 1083435.1),(30 1127124),(31 1163351.4),(32 1201395.5),(33 1239606),(34 1269080.9),(35 1303202.4),(36 1338351.8),(37 1373019.8),(38 1407426.5),(39 1434166.6),(40 1458321.8),(41 1491554.6),(42 1529388.5),(43 1560846.1),(44 1586926.9),(45 1616604.3),(46 1641925.4),(47 1667461.5),(48 1696474.4),(49 1726413.1),(50 1763830.1),(51 1794230.4),(52 1823035.6),(53 1858107.8),(54 1882700.9),(55 1906606.5),(56 1932849.4),(57 1957334.9),(58 1977740.5),(59 1993333.5),(60 2011416),(61 2021794.3),(62 2035943.1),(63 2039424),(64 2043884.5),(65 2042580.6),(66 2050221.4),(67 2060897.8),(68 2069776.9),(69 2074380.6),(70 2077525.5),(71 2088700),(72 2088220.6),(73 2082024),(74 2074823.8),(75 2076355.5),(76 2077428.6),(77 2072730.3),(78 2085816),(79 2093662.3),
(1 10014.559),(2 31050.523),(3 60720.902),(4 92360.234),(5 133562.23),(6 178310.4),(7 227749.34),(8 283143.03),(9 344384.28),(10 400450.2),(11 463865.63),(12 530234),(13 600839.8),(14 679859),(15 763002),(16 833168.4),(17 915132.44),(18 995403.06),(19 1074544.1),(20 1165553.3),(21 1252399.9),(22 1325954.5),(23 1406513.1),(24 1485302.9),(25 1570998.9),(26 1661964.8),(27 1757469.9),(28 1836600.8),(29 1936269.9),(30 2034676.8),(31 2135139.8),(32 2230828.3),(33 2331434),(34 2415968.5),(35 2514835),(36 2617490.8),(37 2714464.8),(38 2816546.3),(39 2921699.3),(40 3012866.3),(41 3121620.3),(42 3237645.5),(43 3360569),(44 3470905.8),(45 3585110.5),(46 3684510.3),(47 3789569.5),(48 3897071.8),(49 4004732),(50 4115493.8),(51 4206787),(52 4295811.5),(53 4385752),(54 4451506),(55 4520822.5),(56 4594688),(57 4667783),(58 4723891),(59 4781063),(60 4825205),(61 4864399.5),(62 4903008.5),(63 4903928),(64 4908168.5),(65 4907612.5),(66 4909900.5),(67 4907969.5),(68 4900222),(69 4885154.5),(70 4869337.5),(71 4855784),(72 4835406.5),(73 4814459),(74 4786362),(75 4773088),(76 4759079),(77 4740780.5),(78 4737542),(79 4731447.5),
(1 10305.909),(2 32546.469),(3 64447.613),(4 96640.53),(5 137174.84),(6 180171.56),(7 227890.6),(8 284073.28),(9 347444.25),(10 402174.44),(11 465581.6),(12 535688.6),(13 613855.4),(14 701891.7),(15 795362.2),(16 879139.9),(17 978703.8),(18 1082862.6),(19 1191377.3),(20 1297715.6),(21 1410788.3),(22 1504990),(23 1611407.6),(24 1722173.3),(25 1838808),(26 1963981.8),(27 2087532.6),(28 2193715),(29 2309377.5),(30 2422072.3),(31 2544139.5),(32 2655783.5),(33 2767453.3),(34 2868148),(35 2982959.3),(36 3102632.5),(37 3224697.5),(38 3353500.8),(39 3478635.5),(40 3589821.5),(41 3718879.3),(42 3841787.3),(43 3971858),(44 4089747.5),(45 4207169),(46 4307627),(47 4413898),(48 4518089.5),(49 4608097),(50 4704363),(51 4789770.5),(52 4867405.5),(53 4943179),(54 5005791),(55 5077369.5),(56 5147043.5),(57 5222979),(58 5278795),(59 5330897),(60 5375420),(61 5411873),(62 5444786.5),(63 5464749),(64 5478554.5),(65 5502779),(66 5520183),(67 5534164),(68 5541354.5),(69 5545343.5),(70 5551336),(71 5569129.5),(72 5582635.5),(73 5598117),(74 5612470.5),(75 5619158),(76 5625617),(77 5617085.5),(78 5615578.5),(79 5599183),
(1 10349.296),(2 33485.316),(3 68851.91),(4 106081.3),(5 155640.98),(6 210676.33),(7 272733.97),(8 345803.8),(9 426564.3),(10 498710.94),(11 582089.44),(12 669225.3),(13 764087.4),(14 864743.75),(15 973181.3),(16 1067183.3),(17 1177484.6),(18 1290145.3),(19 1403077.9),(20 1508175.4),(21 1613571.5),(22 1706707.1),(23 1797835.4),(24 1882745.5),(25 1973714.8),(26 2064060),(27 2152435.5),(28 2229387.5),(29 2302874.5),(30 2366986.8),(31 2429116.8),(32 2481228.3),(33 2529791.5),(34 2575573.3),(35 2619666.3),(36 2665072),(37 2711259),(38 2753424.5),(39 2781597.8),(40 2808284.5),(41 2843231.5),(42 2870049),(43 2903344.5),(44 2934157.3),(45 2970989),(46 2994718.5),(47 3027650.5),(48 3057224),(49 3079388.3),(50 3107246.8),(51 3133234.3),(52 3153533.8),(53 3174000.5),(54 3188584),(55 3208773),(56 3227594.5),(57 3248600.3),(58 3259240),(59 3267500),(60 3271030.5),(61 3271387.8),(62 3264028),(63 3241976.3),(64 3225047.8),(65 3201186.5),(66 3175099.8),(67 3141703.5),(68 3102936.3),(69 3067615.5),(70 3034847),(71 3010357),(72 2976075.8),(73 2936114.3),(74 2902736.3),(75 2873982.8),(76 2848382.8),(77 2816211.5),(78 2789197.8),(79 2753853),
(1 10762.394),(2 36534.543),(3 78603.05),(4 122561.24),(5 182740.56),(6 250094.94),(7 324454.06),(8 407604.84),(9 496125.72),(10 579039.6),(11 675718.9),(12 774225.4),(13 874787.8),(14 981708.7),(15 1089245.8),(16 1182230),(17 1284790.4),(18 1383616),(19 1484094.6),(20 1572423.4),(21 1665777.6),(22 1746048.5),(23 1829232.3),(24 1903956.9),(25 1970146.6),(26 2036330.1),(27 2099426.8),(28 2153792.8),(29 2206129),(30 2252794.8),(31 2297996.3),(32 2336374.8),(33 2371466.8),(34 2399600.3),(35 2419940.5),(36 2443477),(37 2465277.3),(38 2478317),(39 2484596),(40 2489278.5),(41 2500355.3),(42 2502102.5),(43 2507496.5),(44 2511308.5),(45 2520458.3),(46 2527416.8),(47 2541764.8),(48 2553195),(49 2565304),(50 2576759.5),(51 2584946.3),(52 2589284),(53 2593648.5),(54 2599313),(55 2603015),(56 2611057.8),(57 2621944),(58 2623102.3),(59 2628099.3),(60 2635510.8),(61 2641888.8),(62 2639929.8),(63 2626799),(64 2619328),(65 2611730.3),(66 2598142.5),(67 2577521.8),(68 2549860.8),(69 2519456.5),(70 2486043),(71 2462471.8),(72 2435799.3),(73 2405843.5),(74 2380291.5),(75 2365083.3),(76 2348463),(77 2332917),(78 2311140.8),(79 2286044.5),
(1 13919.694),(2 46671.6),(3 95714.484),(4 150293.53),(5 220843.61),(6 298397.8),(7 380152.25),(8 468617.56),(9 555151.4),(10 636747.9),(11 721012.7),(12 801187.6),(13 877531.44),(14 950973.9),(15 1013566.8),(16 1062888.5),(17 1111703.4),(18 1156142.8),(19 1198260.1),(20 1233664.5),(21 1276927.4),(22 1313976.8),(23 1365030.4),(24 1422925.9),(25 1479130.4),(26 1536488.8),(27 1597969),(28 1650730.6),(29 1708473.4),(30 1764803.3),(31 1820507.5),(32 1869191),(33 1910789.3),(34 1947818.5),(35 1985561),(36 2025749.4),(37 2063773.9),(38 2101543.5),(39 2125409.5),(40 2147789.8),(41 2172779.8),(42 2196923.5),(43 2226571.8),(44 2252322.3),(45 2276545),(46 2292765),(47 2311547.3),(48 2323494.5),(49 2336657),(50 2351196),(51 2362282.8),(52 2366860.3),(53 2381080.5),(54 2393955.3),(55 2410445.8),(56 2440830.5),(57 2478403),(58 2502877.8),(59 2529468),(60 2562475.3),(61 2593643.3),(62 2622985.5),(63 2650763.8),(64 2676003),(65 2710748.3),(66 2726503),(67 2731976.5),(68 2729376.5),(69 2723539),(70 2713037.3),(71 2695291.8),(72 2666395.5),(73 2625795.8),(74 2587677.5),(75 2550452.5),(76 2509904),(77 2464428.8),(78 2414832.5),(79 2364559.3),
(1 14159.847),(2 49508.18),(3 103583.28),(4 162284.39),(5 242635.81),(6 336893.4),(7 444065.56),(8 565304.7),(9 694336.7),(10 811993.4),(11 943363.44),(12 1078974),(13 1221433.5),(14 1365270.9),(15 1493959.6),(16 1604499.4),(17 1723542.5),(18 1839332.5),(19 1941805.8),(20 2022573.8),(21 2105205.5),(22 2167122),(23 2238501.3),(24 2307400),(25 2370440.5),(26 2412308.8),(27 2443330.8),(28 2457546.5),(29 2464258.3),(30 2452486.3),(31 2429709),(32 2401981),(33 2365019.5),(34 2331819.5),(35 2302977),(36 2271293),(37 2252181),(38 2240965.5),(39 2214711),(40 2194568.8),(41 2170858),(42 2147814.3),(43 2131457.3),(44 2118048.5),(45 2102870.8),(46 2091202.9),(47 2073881.1),(48 2055458.9),(49 2044595.1),(50 2042794.5),(51 2036836.5),(52 2037870.9),(53 2039756.5),(54 2045631.8),(55 2054847.8),(56 2072963.4),(57 2099728.5),(58 2117883.8),(59 2133832.5),(60 2157071.5),(61 2181529),(62 2211040.5),(63 2240713.8),(64 2271030.8),(65 2302959),(66 2327842.8),(67 2355224.8),(68 2383729),(69 2408282.3),(70 2426643.5),(71 2435532.8),(72 2441885),(73 2445685.8),(74 2448142),(75 2455617.3),(76 2454756),(77 2457655.5),(78 2451130.8),(79 2455082.3),
(1 12079.841),(2 40841.676),(3 83953.15),(4 129736.766),(5 191928.86),(6 260124.64),(7 336287.5),(8 425051.47),(9 522029.66),(10 607558.8),(11 704576),(12 800642.1),(13 897832.25),(14 988539.44),(15 1071217),(16 1137055.6),(17 1203636.5),(18 1263546.1),(19 1309481.9),(20 1347796.1),(21 1382124.1),(22 1404122.5),(23 1424612.9),(24 1433945.4),(25 1441999.8),(26 1441162.5),(27 1431532.4),(28 1420847.5),(29 1410623.6),(30 1396016.1),(31 1373154.6),(32 1349281),(33 1326752.5),(34 1306979.9),(35 1288889.4),(36 1273616.5),(37 1264933.5),(38 1259754.6),(39 1252424.5),(40 1249356.5),(41 1242489.4),(42 1236762.1),(43 1235670.6),(44 1235161),(45 1234279),(46 1237498.1),(47 1236623.5),(48 1235447),(49 1240483.9),(50 1247005.9),(51 1253007.1),(52 1253895),(53 1263101.4),(54 1272394.4),(55 1284178.6),(56 1301777),(57 1318264.9),(58 1325490),(59 1338101.4),(60 1358300),(61 1380217.9),(62 1400456.9),(63 1420709.4),(64 1439918),(65 1465496.5),(66 1490077.9),(67 1513265.6),(68 1531859.5),(69 1551618.3),(70 1569895),(71 1582656.5),(72 1598475.5),(73 1615183.5),(74 1634415.5),(75 1655015.3),(76 1672278.4),(77 1691038.9),(78 1706948.5),(79 1726823),
