1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64015.95),(2 223225.33),(3 451331.84),(4 747201.75),(5 1107721),(6 1533543),(7 2092975.9),(8 2674028.3),(9 3222694),(10 3843575.3),(11 4578308.5),(12 5453444.5),(13 6461720.5),(14 7506558.5),(15 8566987),(16 9645912),(17 10810431),(18 11976321),(19 13098881),(20 14290029),(21 15506509),(22 16736989),(23 18222818),(24 19892026),(25 21684882),(26 23623162),(27 25669816),(28 27773214),(29 29981370),(30 32504880),(31 35102180),(32 37713256),(33 40326500),(34 43085856),(35 45917788),(36 48812100),(37 51879852),(38 55181484),(39 58440308),(40 62237660),(41 66226292),(42 70549120),(43 75357570),(44 80476870),(45 85939496),(46 91650090),(47 97501750),(48 103168870),(49 108959130),(50 113971290),(51 118582104),(52 123806456),(53 129421920),(54 134831890),(55 139897380),(56 144967660),(57 149449810),(58 154173900),(59 158719200),(60 162785200),(61 165962610),(62 168683120),(63 171037630),(64 172929400),(65 173988460),(66 174609140),(67 175354240),(68 175454640),(69 175436110),(70 175300050),(71 175693170),(72 176556560),(73 177427090),(74 178479760),(75 179579520),(76 180866990),(77 181967800),(78 183410610),(79 185099120),
(1 61649.05),(2 224936.45),(3 467640.9),(4 780048.9),(5 1152256),(6 1575056.8),(7 2078741.3),(8 2598057.5),(9 3118086.5),(10 3679267.3),(11 4294925),(12 4995705),(13 5787084),(14 6639179.5),(15 7518662.5),(16 8414438),(17 9371226),(18 10336338),(19 11274851),(20 12218554),(21 13175838),(22 14152173),(23 15249170),(24 16421026),(25 17655536),(26 18895868),(27 20158982),(28 21388176),(29 22624122),(30 24025530),(31 25521352),(32 27136412),(33 28816138),(34 30663258),(35 32525018),(36 34519788),(37 36697640),(38 38934690),(39 41260256),(40 43835140),(41 46558330),(42 49502708),(43 52741748),(44 56076710),(45 59575270),(46 63157496),(47 66743720),(48 70433416),(49 74175880),(50 77781976),(51 81334030),(52 85256100),(53 89282670),(54 93312050),(55 97279730),(56 101254520),(57 105016450),(58 108831170),(59 112557820),(60 116068840),(61 119184130),(62 122225580),(63 125094870),(64 127697430),(65 130002830),(66 132027160),(67 133857176),(68 135682940),(69 137446820),(70 139133600),(71 140943060),(72 142940370),(73 144814060),(74 146736780),(75 148695860),(76 150702060),(77 152473650),(78 154318860),(79 156172340),
(1 54910.26),(2 201016.77),(3 426268.75),(4 717893.25),(5 1057322),(6 1443601.9),(7 1907344.4),(8 2406145.3),(9 2918706.8),(10 3444601.8),(11 4010526.3),(12 4622644.5),(13 5281310.5),(14 5974890.5),(15 6672976),(16 7343645.5),(17 8041614),(18 8739047),(19 9439212),(20 10131863),(21 10820701),(22 11505187),(23 12218419),(24 12948495),(25 13665964),(26 14371333),(27 15070253),(28 15742027),(29 16382085),(30 17039482),(31 17717366),(32 18457946),(33 19249586),(34 20152654),(35 21127090),(36 22222088),(37 23466600),(38 24760134),(39 26148834),(40 27599802),(41 29125250),(42 30767968),(43 32555738),(44 34482492),(45 36453788),(46 38446604),(47 40455724),(48 42611720),(49 44921470),(50 47172876),(51 49531810),(52 52091440),(53 54755284),(54 57481410),(55 60304268),(56 63165468),(57 65975532),(58 68850504),(59 71769700),(60 74619144),(61 77297350),(62 80017816),(63 82654840),(64 85272360),(65 87706136),(66 89905880),(67 91968490),(68 94086136),(69 96083200),(70 97934570),(71 99847490),(72 101712650),(73 103456630),(74 105169310),(75 106859416),(76 108497920),(77 109989464),(78 111395624),(79 112731610),
(1 59076.48),(2 215552.69),(3 455803.88),(4 759601.75),(5 1110343.4),(6 1501068),(7 1940593.8),(8 2431050.3),(9 2941241.8),(10 3481356.5),(11 4056141.3),(12 4643781.5),(13 5270939.5),(14 5898140.5),(15 6529136.5),(16 7160386),(17 7797671),(18 8439655),(19 9117675),(20 9772295),(21 10416505),(22 11041118),(23 11658126),(24 12280592),(25 12864696),(26 13423561),(27 13961614),(28 14483150),(29 14976044),(30 15439812),(31 15884818),(32 16297877),(33 16675166),(34 17028284),(35 17358440),(36 17709968),(37 18053390),(38 18389976),(39 18794412),(40 19167790),(41 19541760),(42 19905850),(43 20321366),(44 20802186),(45 21249664),(46 21713916),(47 22224296),(48 22802024),(49 23497402),(50 24183374),(51 24986814),(52 25831306),(53 26655906),(54 27586888),(55 28601478),(56 29662594),(57 30820132),(58 32030798),(59 33367032),(60 34749680),(61 36075010),(62 37494876),(63 38937040),(64 40414908),(65 41802990),(66 43096584),(67 44303452),(68 45562764),(69 46796636),(70 47928890),(71 48983920),(72 49948170),(73 50938160),(74 51995500),(75 53026744),(76 54116460),(77 55171464),(78 56273308),(79 57409490),
(1 72951.92),(2 274624.22),(3 595645.5),(4 1018175.25),(5 1527652),(6 2118004.3),(7 2785048.3),(8 3530093.5),(9 4330034),(10 5201865.5),(11 6127653),(12 7107544),(13 8124533),(14 9176006),(15 10256948),(16 11348078),(17 12433236),(18 13529251),(19 14660423),(20 15805439),(21 16977850),(22 18148666),(23 19358614),(24 20538708),(25 21710438),(26 22870458),(27 23968248),(28 25000866),(29 25967842),(30 26853010),(31 27650142),(32 28332958),(33 28880030),(34 29272174),(35 29543442),(36 29664930),(37 29735974),(38 29712756),(39 29664402),(40 29593394),(41 29460648),(42 29294520),(43 29131828),(44 28990674),(45 28793006),(46 28623870),(47 28471042),(48 28296290),(49 28174434),(50 28061702),(51 28020806),(52 28027156),(53 28065984),(54 28203086),(55 28452084),(56 28780408),(57 29218424),(58 29638388),(59 30087768),(60 30554118),(61 30978424),(62 31457592),(63 31958078),(64 32459200),(65 32931774),(66 33397574),(67 33806484),(68 34300120),(69 34814588),(70 35322084),(71 35818584),(72 36283620),(73 36802384),(74 37415696),(75 38128132),(76 38916530),(77 39694680),(78 40510344),(79 41392940),
(1 94824.18),(2 360010.47),(3 791623.9),(4 1366469.4),(5 2068397.6),(6 2869176.8),(7 3799976.8),(8 4852947),(9 5975063),(10 7229961.5),(11 8575068),(12 10030710),(13 11574019),(14 13177778),(15 14826333),(16 16474304),(17 18201728),(18 20036764),(19 21973382),(20 23992852),(21 26055044),(22 28179402),(23 30373652),(24 32543866),(25 34674708),(26 36750068),(27 38807956),(28 40788544),(29 42761410),(30 44716380),(31 46521576),(32 48185610),(33 49672276),(34 50936172),(35 52062060),(36 52950252),(37 53819436),(38 54673324),(39 55344256),(40 56077350),(41 56779690),(42 57491252),(43 58170668),(44 58830696),(45 59486810),(46 60114840),(47 60700556),(48 61085784),(49 61403770),(50 61466790),(51 61375660),(52 61233228),(53 61063308),(54 60778996),(55 60537900),(56 60250496),(57 59908532),(58 59484490),(59 58976056),(60 58493964),(61 58000276),(62 57393536),(63 56684724),(64 55935296),(65 55208052),(66 54530470),(67 53867764),(68 53331110),(69 52887690),(70 52574204),(71 52388456),(72 52251084),(73 52253100),(74 52451140),(75 52846344),(76 53367956),(77 54098710),(78 54946388),(79 55912280),
(1 74222.85),(2 276509.84),(3 595330.4),(4 1007546.75),(5 1509362),(6 2086365.4),(7 2728550.5),(8 3455351.8),(9 4270337),(10 5191698.5),(11 6167350),(12 7249978.5),(13 8399919),(14 9609929),(15 10880095),(16 12206805),(17 13599886),(18 15077978),(19 16698327),(20 18425582),(21 20238664),(22 22141034),(23 24155236),(24 26220248),(25 28283908),(26 30378646),(27 32490292),(28 34574332),(29 36661310),(30 38779736),(31 40749510),(32 42638120),(33 44484736),(34 46324136),(35 48129212),(36 49793590),(37 51495280),(38 53305540),(39 54978064),(40 56692780),(41 58388480),(42 60055868),(43 61640532),(44 63156744),(45 64641148),(46 66092010),(47 67496250),(48 68735576),(49 69853170),(50 70700610),(51 71348550),(52 72010950),(53 72685450),(54 73128310),(55 73426560),(56 73617890),(57 73757220),(58 73840280),(59 73836180),(60 73823890),(61 73829110),(62 73702640),(63 73523270),(64 73316050),(65 73150936),(66 72975070),(67 72856890),(68 72775576),(69 72740710),(70 72813660),(71 73058760),(72 73496890),(73 74004750),(74 74467380),(75 75016710),(76 75662280),(77 76562960),(78 77461390),(79 78364490),
(1 52507.523),(2 193410.55),(3 416084.7),(4 712699.2),(5 1084056.9),(6 1523448.5),(7 2025059.8),(8 2609539.5),(9 3286157.3),(10 4046719.5),(11 4884309.5),(12 5823149),(13 6827769.5),(14 7908154.5),(15 9057035),(16 10282981),(17 11580084),(18 12927164),(19 14373487),(20 15916496),(21 17506244),(22 19118246),(23 20827214),(24 22573106),(25 24453644),(26 26455970),(27 28467366),(28 30498794),(29 32529288),(30 34534830),(31 36473600),(32 38337700),(33 40076220),(34 41742056),(35 43312980),(36 44723196),(37 46088210),(38 47413804),(39 48616916),(40 49742924),(41 50753548),(42 51733732),(43 52644330),(44 53472376),(45 54250732),(46 54934812),(47 55461744),(48 55907460),(49 56291140),(50 56632180),(51 57027012),(52 57487090),(53 57935948),(54 58391750),(55 58933110),(56 59521176),(57 60230540),(58 61055268),(59 62030380),(60 63025580),(61 64022332),(62 65089910),(63 66167360),(64 67265910),(65 68381850),(66 69489610),(67 70819410),(68 72109016),(69 73351390),(70 74560720),(71 75833930),(72 77134370),(73 78406700),(74 79481330),(75 80485320),(76 81369630),(77 82236136),(78 82966670),(79 83514110),
(1 69417.5),(2 260130.7),(3 562823.3),(4 968650.5),(5 1464690.9),(6 2049926.6),(7 2712391.5),(8 3472511),(9 4302131),(10 5216713.5),(11 6210143),(12 7257591.5),(13 8357610.5),(14 9512151),(15 10687507),(16 11873390),(17 13059761),(18 14253866),(19 15454145),(20 16689828),(21 17930440),(22 19124664),(23 20304042),(24 21442672),(25 22613476),(26 23822402),(27 24982402),(28 26103262),(29 27209190),(30 28282040),(31 29270566),(32 30155322),(33 30969998),(34 31720786),(35 32412382),(36 33005466),(37 33537460),(38 34001100),(39 34374316),(40 34703156),(41 34952732),(42 35090228),(43 35167930),(44 35189110),(45 35191136),(46 35192850),(47 35181570),(48 35169836),(49 35112510),(50 35054336),(51 35036324),(52 35115170),(53 35219012),(54 35377376),(55 35604204),(56 35915804),(57 36319870),(58 36786524),(59 37337440),(60 37927390),(61 38579336),(62 39300030),(63 40054730),(64 40893476),(65 41781336),(66 42684772),(67 43696580),(68 44699996),(69 45678132),(70 46572450),(71 47449796),(72 48235270),(73 48888636),(74 49381852),(75 49658836),(76 49765852),(77 49815492),(78 49753230),(79 49568560),
(1 67963.38),(2 257162.22),(3 557449.4),(4 961510.3),(5 1466837.8),(6 2063427.1),(7 2751494),(8 3496677.8),(9 4295245.5),(10 5166854),(11 6089738.5),(12 7056348),(13 8060730.5),(14 9102935),(15 10162373),(16 11213588),(17 12260044),(18 13342697),(19 14436307),(20 15508489),(21 16564777),(22 17631530),(23 18672326),(24 19662550),(25 20605104),(26 21513660),(27 22407418),(28 23308536),(29 24200002),(30 25095326),(31 25921594),(32 26638472),(33 27280608),(34 27894744),(35 28516124),(36 29116414),(37 29652704),(38 30124394),(39 30508928),(40 30854264),(41 31165354),(42 31388696),(43 31563100),(44 31656632),(45 31787762),(46 31906766),(47 32025962),(48 32075662),(49 32054926),(50 31928886),(51 31690488),(52 31438706),(53 31182616),(54 30937144),(55 30694742),(56 30461518),(57 30255896),(58 30071922),(59 29940120),(60 29883598),(61 29952168),(62 30061028),(63 30189320),(64 30326312),(65 30499850),(66 30741208),(67 31116792),(68 31538090),(69 31979498),(70 32441962),(71 32933028),(72 33494152),(73 34087484),(74 34646290),(75 35185172),(76 35715220),(77 36203704),(78 36649316),(79 37098052),
(1 87678.34),(2 330833.44),(3 713974.2),(4 1205859.3),(5 1800486.9),(6 2480682.3),(7 3242174),(8 4050673.5),(9 4883947.5),(10 5760850),(11 6659899),(12 7584496),(13 8503141),(14 9414592),(15 10315177),(16 11190173),(17 12021736),(18 12785445),(19 13506014),(20 14170903),(21 14805005),(22 15386114),(23 15932162),(24 16422135),(25 16884186),(26 17309120),(27 17711000),(28 18078062),(29 18400402),(30 18712102),(31 18988364),(32 19219082),(33 19405650),(34 19556716),(35 19688482),(36 19812822),(37 19938892),(38 20085044),(39 20211758),(40 20337380),(41 20463748),(42 20615280),(43 20779314),(44 20961818),(45 21205894),(46 21463538),(47 21738816),(48 21975788),(49 22231102),(50 22454736),(51 22630640),(52 22778224),(53 22894156),(54 22984072),(55 23068296),(56 23149402),(57 23232462),(58 23289006),(59 23308510),(60 23335490),(61 23385864),(62 23442316),(63 23466048),(64 23483472),(65 23491984),(66 23521108),(67 23597158),(68 23676834),(69 23687022),(70 23693286),(71 23702224),(72 23744116),(73 23829522),(74 23926224),(75 24043546),(76 24191990),(77 24361072),(78 24540262),(79 24745366),
