1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1389222),(2 5166809.5),(3 11142007),(4 18781910),(5 28379754),(6 37578324),(7 47752930),(8 59082476),(9 72427600),(10 87352740),(11 99904990),(12 110614120),(13 120017860),(14 128760040),(15 135536480),(16 141530160),(17 146858480),(18 150962270),(19 154634860),(20 157624180),(21 160094450),(22 163516980),(23 165571570),(24 167346190),(25 167842560),(26 168485230),(27 167792340),(28 170023500),(29 169630200),(30 168097330),(31 166352380),(32 165246060),(33 164505800),(34 166023890),(35 167902320),(36 170486290),(37 174388400),(38 179602110),(39 184512000),(40 188650100),(41 193648720),(42 198534220),(43 201939260),(44 206071860),(45 210360850),(46 213611400),(47 216297390),(48 218815980),(49 221828670),(50 225425660),(51 229447680),(52 234205440),(53 239852460),(54 246531600),(55 254102700),(56 262446100),(57 271385500),(58 280270820),(59 289769300),(60 299926940),(61 310742880),(62 322561180),(63 335100540),(64 348837730),(65 362965730),(66 377844320),(67 393202340),(68 406518500),(69 418761250),(70 430713300),(71 441894620),(72 452266780),(73 462332640),(74 470778850),(75 478649180),(76 486805380),(77 495295650),(78 503138270),(79 509835420),
(1 1422512.1),(2 5684947.5),(3 12636518),(4 21710828),(5 32662900),(6 43641348),(7 55152696),(8 66376170),(9 77897064),(10 89440870),(11 98528680),(12 105338670),(13 110185540),(14 113139790),(15 114141900),(16 113327570),(17 111385384),(18 108214080),(19 104667860),(20 101002350),(21 97769760),(22 95815144),(23 94621420),(24 93923170),(25 92828710),(26 92237010),(27 91634024),(28 92297320),(29 93190090),(30 94773640),(31 96722440),(32 99273896),(33 102376670),(34 105878610),(35 109687810),(36 113703250),(37 117949650),(38 122078610),(39 126255310),(40 130153810),(41 134093800),(42 137870050),(43 141225500),(44 144923740),(45 148545950),(46 152064130),(47 154901150),(48 157824910),(49 160820510),(50 163952480),(51 166964380),(52 170141780),(53 173568130),(54 176933500),(55 180241180),(56 183098140),(57 186033340),(58 189361000),(59 193778770),(60 197934260),(61 202265730),(62 206790050),(63 210820300),(64 213648860),(65 216390780),(66 218501810),(67 220462430),(68 221551260),(69 222435280),(70 223217330),(71 224494080),(72 226578400),(73 229028050),(74 232002080),(75 236034380),(76 241685840),(77 248358960),(78 254973600),(79 260980430),
(1 1637273.4),(2 6522412),(3 14475364),(4 24964374),(5 37434284),(6 50138036),(7 62812492),(8 73771370),(9 83275080),(10 91626560),(11 97843096),(12 101466344),(13 103328600),(14 103408090),(15 101865150),(16 99201060),(17 96121860),(18 92765290),(19 90101224),(20 88099480),(21 86926920),(22 86992250),(23 88069064),(24 89562616),(25 91135430),(26 92795160),(27 94326696),(28 95645544),(29 96358680),(30 96165370),(31 94670344),(32 92975810),(33 91404220),(34 89722110),(35 88444200),(36 87841660),(37 87754520),(38 88856320),(39 90575830),(40 92473050),(41 94961530),(42 98128580),(43 101385600),(44 105011624),(45 108593020),(46 112083520),(47 115668330),(48 119222340),(49 122572184),(50 125712984),(51 128345540),(52 130470780),(53 132009050),(54 132535320),(55 132478010),(56 131472664),(57 130263840),(58 129323030),(59 129203110),(60 129362936),(61 129905610),(62 130751336),(63 131451096),(64 131156200),(65 130460540),(66 128920970),(67 127340640),(68 126060184),(69 125222104),(70 125042430),(71 125840960),(72 127642424),(73 130486744),(74 134180930),(75 138877810),(76 144424300),(77 150972590),(78 157370460),(79 163811790),
(1 2220450.8),(2 8922024),(3 19508284),(4 32953124),(5 47988572),(6 62697810),(7 76094350),(8 86331820),(9 93898270),(10 99976216),(11 104612550),(12 107031900),(13 108001690),(14 107640930),(15 106295130),(16 104286240),(17 102206424),(18 100765016),(19 100017500),(20 100272130),(21 101656220),(22 103868060),(23 106785464),(24 109954340),(25 112602370),(26 114618400),(27 115586070),(28 115184790),(29 113686630),(30 111346920),(31 107973970),(32 104007880),(33 99830670),(34 95561390),(35 91707500),(36 88525144),(37 85708450),(38 83449180),(39 81616480),(40 80084280),(41 79066080),(42 78537416),(43 78421280),(44 78980290),(45 80204070),(46 82072180),(47 84549030),(48 87433430),(49 90649890),(50 93954410),(51 97313030),(52 100667064),(53 103811130),(54 106611040),(55 109535980),(56 113074520),(57 117088270),(58 121863810),(59 127270230),(60 132829300),(61 138272430),(62 142926700),(63 146017710),(64 146936640),(65 145402800),(66 141564560),(67 136804020),(68 132566770),(69 128927944),(70 126493950),(71 125957260),(72 127582424),(73 131511624),(74 137563460),(75 145279000),(76 154106190),(77 163113180),(78 170481230),(79 176089090),
(1 2146393.8),(2 8514599),(3 17891892),(4 28670370),(5 39098600),(6 47618244),(7 53350204),(8 56237628),(9 57522290),(10 58675396),(11 59332630),(12 59629800),(13 59753810),(14 59558364),(15 58930012),(16 57790052),(17 56211984),(18 54931980),(19 54412348),(20 54635264),(21 55757544),(22 57751704),(23 60501264),(24 63412028),(25 65900520),(26 67958890),(27 69246570),(28 69491224),(29 69270424),(30 68918320),(31 68153670),(32 67572230),(33 67348280),(34 67082532),(35 67232620),(36 67829530),(37 68291280),(38 68879560),(39 69457590),(40 69719690),(41 69989320),(42 70086470),(43 70075100),(44 70102216),(45 70004424),(46 70089890),(47 70633560),(48 71450440),(49 72560400),(50 73787190),(51 75130000),(52 76342776),(53 77259304),(54 77820160),(55 78299750),(56 79086170),(57 80490980),(58 82822560),(59 85919700),(60 89725190),(61 93933000),(62 97917110),(63 100989880),(64 102536610),(65 102284790),(66 100377990),(67 97663950),(68 94531360),(69 91680184),(70 89734620),(71 89151750),(72 90160700),(73 92711100),(74 96635240),(75 101333910),(76 106145480),(77 110185144),(78 113032290),(79 114633450),
(1 2271907.5),(2 8712670),(3 17442772),(4 26032118),(5 32355014),(6 35196660),(7 34908830),(8 33241280),(9 31864250),(10 31579866),(11 31408602),(12 31800708),(13 32704820),(14 33665492),(15 34279756),(16 34135256),(17 33242534),(18 32725162),(19 32475244),(20 32552724),(21 33108780),(22 34490840),(23 36496340),(24 39027120),(25 41559820),(26 43924396),(27 45775532),(28 46714956),(29 46902270),(30 46608184),(31 45922668),(32 45016844),(33 44079340),(34 42965030),(35 42063660),(36 41391412),(37 40739096),(38 40143724),(39 39537736),(40 38896308),(41 38295030),(42 37806988),(43 37382788),(44 37115080),(45 37028052),(46 37375540),(47 38126704),(48 39374650),(49 41040864),(50 42923660),(51 44645890),(52 45908684),(53 46472692),(54 46145060),(55 45212944),(56 44121964),(57 43640396),(58 44266720),(59 46128024),(60 49155424),(61 53048344),(62 57233030),(63 60930604),(64 63362540),(65 64100076),(66 62887030),(67 60515240),(68 57832276),(69 55271040),(70 53419380),(71 52787836),(72 53596610),(73 55710040),(74 58796160),(75 62341530),(76 65721450),(77 68211140),(78 69179220),(79 68956320),
(1 2409620.3),(2 9066248),(3 18008110),(4 26652740),(5 32638796),(6 34982960),(7 34464932),(8 32598752),(9 30898332),(10 29850974),(11 29175748),(12 29294114),(13 30250684),(14 31662216),(15 32853162),(16 33010304),(17 32133938),(18 30986590),(19 29510230),(20 27847080),(21 26487896),(22 25987872),(23 26377308),(24 27330916),(25 28405356),(26 29483980),(27 30272284),(28 30555288),(29 30432804),(30 30040060),(31 29341784),(32 28522700),(33 27749294),(34 27053858),(35 26494326),(36 26114574),(37 25956790),(38 26042980),(39 26284724),(40 26720380),(41 27217590),(42 27718024),(43 28118008),(44 28264516),(45 28077336),(46 27556988),(47 26758548),(48 25925432),(49 25495562),(50 25806216),(51 27013748),(52 29064680),(53 31717874),(54 34350610),(55 36406524),(56 37511864),(57 37958396),(58 38024850),(59 38068564),(60 38327132),(61 38967596),(62 39898576),(63 40788252),(64 41146220),(65 40608388),(66 39029160),(67 36994870),(68 34982536),(69 33519560),(70 33051100),(71 33735900),(72 35345564),(73 37539444),(74 39837170),(75 41885252),(76 43584084),(77 44537800),(78 44612690),(79 44222876),
(1 2281307.3),(2 8494854),(3 16743643),(4 24553848),(5 29616354),(6 31203820),(7 30211512),(8 28127950),(9 26098934),(10 24501610),(11 23599900),(12 23790022),(13 25290292),(14 27555516),(15 29477706),(16 30264984),(17 30136794),(18 29427618),(19 27983496),(20 26037610),(21 24101436),(22 22953336),(23 22596864),(24 22925466),(25 23688448),(26 24529832),(27 24948410),(28 24717852),(29 23930028),(30 22990178),(31 22233020),(32 21578630),(33 21005448),(34 20660596),(35 20452468),(36 20400754),(37 20629044),(38 20935038),(39 21432184),(40 22312800),(41 23521996),(42 24946266),(43 26456696),(44 27935634),(45 29250696),(46 30079296),(47 30349888),(48 30097066),(49 29625236),(50 29179940),(51 29100954),(52 29475288),(53 30330956),(54 31350604),(55 32014026),(56 32045926),(57 31510436),(58 30490390),(59 29304616),(60 28460000),(61 28272470),(62 28751456),(63 29560490),(64 30189782),(65 30135004),(66 29197900),(67 27958104),(68 26859708),(69 26121644),(70 26048760),(71 26691722),(72 27795364),(73 28908134),(74 29728214),(75 29962622),(76 29830870),(77 29695896),(78 29780216),(79 30519626),
(1 1779155),(2 6495230),(3 12657239),(4 18398938),(5 21981486),(6 23016452),(7 21925258),(8 19902826),(9 17926896),(10 16626449),(11 15900992),(12 16172141),(13 17573038),(14 19698218),(15 21726718),(16 22798592),(17 22697506),(18 21745122),(19 20141952),(20 18384818),(21 17079790),(22 16578379),(23 16800018),(24 17499850),(25 18294894),(26 18667034),(27 18449364),(28 17981936),(29 17464108),(30 17048804),(31 16845504),(32 16934590),(33 17324750),(34 17953696),(35 18515654),(36 18908896),(37 19183804),(38 19353932),(39 19403604),(40 19394996),(41 19417974),(42 19608978),(43 20106436),(44 20857296),(45 21769330),(46 22534326),(47 22891800),(48 22667962),(49 22024004),(50 21180272),(51 20493276),(52 20124198),(53 20115284),(54 20299918),(55 20430148),(56 20402000),(57 20171398),(58 19652400),(59 19158418),(60 19040806),(61 19474416),(62 20318448),(63 21173362),(64 21537804),(65 21136912),(66 20232866),(67 19258682),(68 18290954),(69 17826430),(70 18192314),(71 19392384),(72 21114576),(73 22836742),(74 23987334),(75 24143860),(76 23311348),(77 22186552),(78 21593596),(79 21971350),
(1 1267939.3),(2 4578380.5),(3 8740028),(4 12439907),(5 14603297),(6 15092149),(7 14398725),(8 13535775),(9 12946709),(10 12801784),(11 13115724),(12 13965278),(13 15383579),(14 16989450),(15 18076004),(16 18147582),(17 17401014),(18 16267484),(19 14951737),(20 13776368),(21 13065996),(22 12997692),(23 13312379),(24 13778615),(25 14184523),(26 14289436),(27 14099584),(28 13838487),(29 13504366),(30 13164570),(31 12978849),(32 12973596),(33 13074978),(34 13268142),(35 13476991),(36 13778773),(37 14228697),(38 14727261),(39 15124868),(40 15340636),(41 15453860),(42 15582046),(43 15837639),(44 16289904),(45 16864378),(46 17323926),(47 17488084),(48 17249334),(49 16672475),(50 15958580),(51 15382596),(52 15110180),(53 15148430),(54 15355868),(55 15647819),(56 16033812),(57 16327259),(58 16341108),(59 16232713),(60 16352672),(61 16861334),(62 17652708),(63 18368824),(64 18656868),(65 18298914),(66 17585068),(67 17002950),(68 16630098),(69 16732560),(70 17432910),(71 18632424),(72 20018642),(73 21155494),(74 21663558),(75 21221490),(76 19865686),(77 18225698),(78 17365754),(79 17840630),
(1 1020086.5),(2 3464873.3),(3 5902688.5),(4 7583554),(5 8643262),(6 9263328),(7 9489117),(8 9352608),(9 9241788),(10 9841368),(11 10830026),(12 11672453),(13 12196199),(14 12415702),(15 12650926),(16 12842167),(17 12479260),(18 11777350),(19 11369043),(20 11122687),(21 10868075),(22 10755548),(23 10748604),(24 10791564),(25 10801581),(26 10666161),(27 10571620),(28 10618127),(29 10614097),(30 10524684),(31 10526574),(32 10538140),(33 10581355),(34 10659949),(35 10839899),(36 11222136),(37 11833270),(38 12411756),(39 12802689),(40 12926656),(41 12890442),(42 12810877),(43 12859894),(44 13126392),(45 13541107),(46 13931958),(47 14187198),(48 14240740),(49 14098612),(50 13803398),(51 13464491),(52 13170435),(53 13023620),(54 13066435),(55 13246578),(56 13421021),(57 13456539),(58 13337598),(59 13280032),(60 13537143),(61 14120499),(62 14773260),(63 15231917),(64 15473628),(65 15613856),(66 15765335),(67 15912365),(68 15940484),(69 15906374),(70 15985246),(71 16389406),(72 17197472),(73 18206314),(74 19019984),(75 19214892),(76 18663856),(77 17830824),(78 17434616),(79 17724868),
