1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 19013.227),(2 31830.277),(3 33205.53),(4 35467.223),(5 36336.246),(6 35503.027),(7 36620.785),(8 36688.4),(9 37764.01),(10 38826.484),(11 39009.72),(12 40935.36),(13 43192.676),(14 44385.336),(15 45079.566),(16 45892.934),(17 46999.973),(18 46444.12),(19 48065.195),(20 50759.36),(21 51298.8),(22 52316.902),(23 52775.12),(24 52796.426),(25 53900.324),(26 54438.277),(27 56427.742),(28 57209.496),(29 56993.215),(30 57289.664),(31 57371.01),(32 58222.95),(33 58936.953),(34 58681.29),(35 58102.98),(36 58669.484),(37 58334.305),(38 58250.594),(39 59738.305),(40 59482.453),(41 59023.8),(42 58771.484),(43 57932.504),(44 57737.38),(45 57871.406),(46 58811.508),(47 59130.344),(48 59027.496),(49 58404.098),(50 59745.1),(51 59436.375),(52 59211.12),(53 59308.703),(54 60882.723),(55 60643.11),(56 60080.586),(57 60010.15),(58 60605.543),(59 60055.67),(60 61066.76),(61 61845.277),(62 62092.395),(63 61444.09),(64 60203.613),(65 60479.027),(66 61126.527),(67 60460.824),(68 59926.395),(69 59427.277),(70 58276.406),(71 58733.793),(72 58445.613),(73 57127.465),(74 56405.613),(75 56116.86),(76 55573.563),(77 55572.277),(78 55591.098),(79 55173.94),
(1 18771.39),(2 31568.736),(3 34011.02),(4 35921.45),(5 34953.695),(6 34184.793),(7 36004.098),(8 36744.97),(9 38469.152),(10 39063.63),(11 39554.43),(12 41609.145),(13 44566.17),(14 45939.156),(15 45996.29),(16 45678.855),(17 45677.41),(18 47280.867),(19 50565.363),(20 52276.867),(21 51535.863),(22 52636.98),(23 52421.277),(24 52089.543),(25 55492.684),(26 56397.125),(27 56154.26),(28 56373.48),(29 56582.598),(30 57473.875),(31 58929.426),(32 58376.07),(33 58646.48),(34 58113),(35 57401.87),(36 58805.363),(37 59618.344),(38 60731.32),(39 60375.91),(40 59397.863),(41 58916.883),(42 59392.363),(43 59387.348),(44 59083.61),(45 59055.664),(46 59220.68),(47 58906.656),(48 59029.582),(49 60309.72),(50 61431.973),(51 60706.8),(52 60527.7),(53 60793.273),(54 61404.28),(55 61266.754),(56 61639.027),(57 60665.48),(58 60848.137),(59 60060.61),(60 60598.082),(61 61638.31),(62 62433.19),(63 61363.918),(64 60474.83),(65 60888.473),(66 61139.563),(67 59949.31),(68 59332.63),(69 59235.72),(70 58158.637),(71 58164.746),(72 57733.953),(73 55140.926),(74 54510.293),(75 55898.734),(76 56014.04),(77 55064.574),(78 52924.44),(79 52683.086),
(1 19134.775),(2 32142.824),(3 34243.945),(4 35431.074),(5 34131.25),(6 33540.17),(7 35137.87),(8 35803.13),(9 38077.06),(10 38916.832),(11 39973.184),(12 42234.21),(13 45853.883),(14 46518.27),(15 46015.758),(16 45669.496),(17 46702.633),(18 48358.688),(19 50335.137),(20 50890.15),(21 51628.727),(22 52282.734),(23 51745.125),(24 52097.61),(25 53324.027),(26 54804.316),(27 55409.69),(28 55784.89),(29 54791.414),(30 55000.94),(31 56643.11),(32 56890.914),(33 56701.41),(34 56946.242),(35 56636.688),(36 56807.13),(37 57497.125),(38 57538.55),(39 56115.99),(40 55944.19),(41 55998.746),(42 55807.387),(43 55686.555),(44 55142.03),(45 55680.293),(46 55398.844),(47 56233.785),(48 56496.555),(49 57358.797),(50 57253.83),(51 57238.215),(52 57366.418),(53 57381.66),(54 57456.027),(55 57716.75),(56 57480.89),(57 56931.496),(58 57508.3),(59 58231.15),(60 59239.67),(61 59270.33),(62 58548.008),(63 58276.883),(64 58723.32),(65 59212.797),(66 58237.65),(67 57766.105),(68 57567.086),(69 57887.67),(70 57118.98),(71 56245.89),(72 56105.61),(73 55152.555),(74 54310.496),(75 54015.914),(76 53184.73),(77 52913.02),(78 52586.96),(79 52788.258),
(1 18104.766),(2 29388.658),(3 31368.262),(4 32444.787),(5 31948.197),(6 32159.686),(7 33144.88),(8 33207.266),(9 34840.867),(10 35802.59),(11 36632.88),(12 39557.184),(13 42863.81),(14 43264.348),(15 42562.125),(16 43198.035),(17 44291.37),(18 45481.992),(19 47164.625),(20 48193.332),(21 49137.023),(22 49717.03),(23 50041.43),(24 50801.004),(25 50712.246),(26 52102.75),(27 53774.195),(28 52614.6),(29 52329.37),(30 52520.266),(31 52597.47),(32 53499.832),(33 53387.152),(34 53626.24),(35 53923.465),(36 54454.54),(37 54080.055),(38 54242.02),(39 55145.125),(40 54745.527),(41 53707.64),(42 53904.12),(43 53413.414),(44 53693.56),(45 55288.34),(46 55176.383),(47 55263.453),(48 55554.547),(49 55434.785),(50 54734.62),(51 56236.926),(52 56471.684),(53 56618.76),(54 56223.05),(55 56579.227),(56 56632.207),(57 55752.566),(58 56171.62),(59 57562.316),(60 58282.91),(61 58046.992),(62 57134.445),(63 57247.91),(64 57133.586),(65 57443.348),(66 55826.34),(67 55197.297),(68 54605.473),(69 54116.152),(70 53751.734),(71 54474.938),(72 53045.668),(73 51391.1),(74 51622.375),(75 51478.746),(76 50960.297),(77 51029.008),(78 50492.65),(79 49175.78),
(1 18479.086),(2 29384.563),(3 30704.785),(4 32640.414),(5 32613.53),(6 32621.49),(7 33743.07),(8 33023.05),(9 34636.227),(10 35219.26),(11 36437.63),(12 39201.09),(13 41533.89),(14 41985.375),(15 42745.59),(16 43248.43),(17 43598.71),(18 44196),(19 46637.97),(20 47358.465),(21 47884.63),(22 49093.195),(23 49416.688),(24 50170.566),(25 49849.05),(26 50594.133),(27 51424.91),(28 51467.62),(29 51316.027),(30 51211.71),(31 51262.61),(32 51487.39),(33 50650.914),(34 51750.93),(35 52884.35),(36 52122.05),(37 51993.203),(38 52592.61),(39 53171.477),(40 54122.69),(41 52640.53),(42 52582.543),(43 52171.49),(44 51534.258),(45 52206.62),(46 52942.516),(47 53307.91),(48 54046.746),(49 52942.09),(50 53189.38),(51 53430.984),(52 54513.957),(53 54646.766),(54 54630.652),(55 54383.785),(56 53556.44),(57 53099.566),(58 55050.367),(59 54715.87),(60 53959.836),(61 53850.35),(62 53339.97),(63 53991.55),(64 53792.67),(65 53081.49),(66 52258.234),(67 51473.51),(68 51028.19),(69 50472.457),(70 49893.83),(71 48528.37),(72 48312.4),(73 48599.97),(74 48102.484),(75 47175.29),(76 46995.77),(77 46275.797),(78 45169.64),(79 45379.613),
(1 18445.023),(2 29286.063),(3 30550.451),(4 31788.361),(5 30728.477),(6 30573.783),(7 31905.635),(8 31391.922),(9 33424.11),(10 34485.53),(11 35392.125),(12 37660.848),(13 39891.453),(14 40224.07),(15 40263.723),(16 40549.97),(17 41051.066),(18 41815.82),(19 44003.03),(20 44056.973),(21 44699.035),(22 45075.703),(23 46109.12),(24 48391.6),(25 48540.92),(26 48358.844),(27 48564.094),(28 49195.613),(29 50614.78),(30 50350.188),(31 50799.113),(32 50454.39),(33 49864.03),(34 50743.203),(35 51325.098),(36 50850.06),(37 50578.79),(38 50315.176),(39 51479.746),(40 51390.926),(41 50725.746),(42 50074.098),(43 49871.918),(44 50635.926),(45 49968.625),(46 50078.223),(47 49856.44),(48 50735.945),(49 50068.07),(50 50298.234),(51 51193.81),(52 50436.082),(53 50158.965),(54 50437.664),(55 50940.48),(56 50008.08),(57 50174.152),(58 51313.477),(59 50985.03),(60 49717.01),(61 50020.363),(62 50528.875),(63 50676.18),(64 50498.9),(65 50038.984),(66 49852.348),(67 48518.266),(68 48560.234),(69 48102.664),(70 47127.008),(71 46893.32),(72 46983.613),(73 46543.31),(74 45869.81),(75 45017.57),(76 44774.57),(77 45452.54),(78 45380.113),(79 44360.9),
(1 18093.367),(2 28504.95),(3 29622.758),(4 31474.51),(5 30539.559),(6 30168.781),(7 31025.162),(8 31511.338),(9 33353.11),(10 34445.89),(11 35486.184),(12 36968.75),(13 39633.81),(14 39689.492),(15 39746.324),(16 39817.223),(17 39969.07),(18 40546.33),(19 42341.04),(20 43406.285),(21 43692.89),(22 44483.156),(23 44811.523),(24 45623.313),(25 46143.9),(26 46922.227),(27 47051.297),(28 47297.23),(29 47790.242),(30 48515.06),(31 49195.977),(32 48249.824),(33 47136.44),(34 47431.313),(35 47999.586),(36 47920.45),(37 47663.617),(38 47295.91),(39 48082.656),(40 47226.75),(41 46818.664),(42 46846.527),(43 46623.824),(44 47326.703),(45 48353.633),(46 48486.934),(47 48256.215),(48 48314.094),(49 47917.727),(50 48041.27),(51 49144.1),(52 48654.832),(53 47747.477),(54 47329.9),(55 48024.67),(56 48151.508),(57 47409.38),(58 48198.516),(59 48336.547),(60 48109.67),(61 48664.1),(62 48469.836),(63 48638.137),(64 48363.844),(65 48253.168),(66 49067.99),(67 48134.434),(68 47761.832),(69 47583.67),(70 46430.73),(71 46549.324),(72 47175.082),(73 46082.637),(74 44888.94),(75 44046.23),(76 42832.95),(77 42797.113),(78 44609.098),(79 43487.695),
(1 17628.955),(2 27211.826),(3 28719.316),(4 29385.783),(5 28868.586),(6 29034.885),(7 28990.24),(8 28915.137),(9 31090.936),(10 31443.102),(11 32674.303),(12 35749.152),(13 36663.46),(14 36174.48),(15 36331.3),(16 36698.44),(17 36766.32),(18 38041.78),(19 39446.965),(20 40294.27),(21 41103.766),(22 42155.63),(23 43207.977),(24 43176.383),(25 43364.004),(26 44262.152),(27 44255.89),(28 44250.22),(29 44408.625),(30 45761.168),(31 45959.84),(32 45105.227),(33 44397.117),(34 44806.97),(35 45138.652),(36 45719.324),(37 45608.023),(38 46110.402),(39 46450.832),(40 45855.785),(41 44486.895),(42 44236.617),(43 44329.68),(44 44716.254),(45 45643.254),(46 45338.184),(47 45440.695),(48 45224.547),(49 44704.813),(50 44798.52),(51 45398.434),(52 45708.48),(53 45231.59),(54 45196.676),(55 45236.574),(56 45543.92),(57 45688.504),(58 45545.445),(59 45592.99),(60 46064.336),(61 46346.99),(62 46126.348),(63 45462.434),(64 45602.25),(65 45130.7),(66 44601.414),(67 43821.76),(68 43906.813),(69 43965.93),(70 43431.082),(71 43143.86),(72 42358.645),(73 41997.39),(74 41972.113),(75 40951.637),(76 40091.5),(77 39990.863),(78 39772.816),(79 39330.207),
(1 17891.688),(2 27423.271),(3 29093.5),(4 29988.686),(5 28619.313),(6 29221.277),(7 29538.66),(8 29927.617),(9 31295.33),(10 31633.9),(11 32717.287),(12 35295.004),(13 36900.125),(14 36880.26),(15 37349.332),(16 37917.555),(17 38075.69),(18 39637.813),(19 40863.555),(20 41011.375),(21 41912.613),(22 42654.16),(23 43716.258),(24 44195.797),(25 44500.75),(26 45512.906),(27 44733.81),(28 45038.33),(29 46184.227),(30 46579.094),(31 46508.785),(32 45739.625),(33 44919.695),(34 45716.688),(35 46264.61),(36 46255.375),(37 46110.234),(38 46202.582),(39 46847.58),(40 46063.523),(41 45908.656),(42 46450.313),(43 46149.734),(44 46225.406),(45 47254.156),(46 46927.08),(47 47112.19),(48 46595.3),(49 45746.23),(50 46500.402),(51 46460.305),(52 46056.805),(53 46072.33),(54 45657.457),(55 46389.273),(56 47277.2),(57 47596.746),(58 46905.47),(59 46530.36),(60 48045.55),(61 47870.125),(62 47440.61),(63 46487.594),(64 46040.477),(65 46205.313),(66 45992.844),(67 45060.61),(68 45224.285),(69 44709.11),(70 44089.934),(71 44598.414),(72 43697.96),(73 43284.008),(74 42414.52),(75 41777.43),(76 40657.434),(77 40335.9),(78 39838.586),(79 39692.137),
(1 17113.223),(2 26051.254),(3 27729.375),(4 29168.572),(5 27810.908),(6 28038.012),(7 27674.71),(8 28619.686),(9 30250.15),(10 30571.576),(11 31889.79),(12 34476.348),(13 35130.145),(14 35210.605),(15 36010.25),(16 37145.387),(17 37908.26),(18 39214.637),(19 39672.785),(20 40344.125),(21 41282.59),(22 42409.88),(23 43487.156),(24 43210.605),(25 43449.79),(26 43399.95),(27 43278.586),(28 44355.945),(29 45114.74),(30 44538.39),(31 44193.758),(32 43883.137),(33 45290.664),(34 46182.98),(35 44575.137),(36 44499.484),(37 45451.42),(38 46376.72),(39 46222.805),(40 44757.88),(41 43311.137),(42 44010.508),(43 44690.18),(44 45614.758),(45 45166.13),(46 44417.785),(47 43943.42),(48 44704.06),(49 45387.28),(50 44951.508),(51 44366.97),(52 43623.266),(53 44334.766),(54 44695.348),(55 45142.785),(56 45598.152),(57 45522.97),(58 45185.027),(59 44401.51),(60 45148.063),(61 44780.324),(62 44107.34),(63 44434.273),(64 45011.008),(65 44030.42),(66 43280.38),(67 43056.285),(68 43162.074),(69 43126.074),(70 42138.082),(71 40991.53),(72 40147.586),(73 39906.61),(74 40279.04),(75 39538.01),(76 38750),(77 38610.34),(78 38299.855),(79 38264.22),
(1 16831.7),(2 24973.857),(3 26160.813),(4 27892.572),(5 27361.283),(6 28100.1),(7 28217.887),(8 28164.201),(9 30211.666),(10 31527.316),(11 33289.715),(12 36490.332),(13 37214.26),(14 37038.58),(15 37580.098),(16 38678.95),(17 39328.348),(18 40808.586),(19 41250.25),(20 42366.984),(21 44277.62),(22 45026.563),(23 45040.41),(24 44703.258),(25 45130.684),(26 46424.934),(27 46535.12),(28 47116.418),(29 47782.973),(30 47540.23),(31 47192.504),(32 47421.875),(33 48769.992),(34 48594.855),(35 48009.34),(36 47479.05),(37 48752.586),(38 48874.973),(39 48599.215),(40 47719.87),(41 46557.184),(42 46327.18),(43 46957.75),(44 47874.016),(45 48320.813),(46 48034.074),(47 47083.332),(48 47486.098),(49 47756.133),(50 47244.598),(51 47113.375),(52 47160.62),(53 47127.98),(54 46769.496),(55 47357.95),(56 46654.016),(57 46329.656),(58 46038.09),(59 45948.645),(60 46196.453),(61 46813.33),(62 45963.31),(63 46328.047),(64 45737.313),(65 45245.32),(66 44631.668),(67 44167.45),(68 44050.88),(69 43434.39),(70 42714.62),(71 42366.316),(72 41352.727),(73 40739.105),(74 40696.703),(75 40869.895),(76 39900.844),(77 40155.12),(78 40131.35),(79 39050.45),
(1 16130.1875),(2 24307.447),(3 25643.37),(4 27534.898),(5 26625.232),(6 27793.893),(7 27625.107),(8 27868.643),(9 29898.54),(10 30968.756),(11 32858.547),(12 35458.215),(13 36091.375),(14 36144.465),(15 36568.383),(16 37824.105),(17 38664.527),(18 39953.46),(19 40661.758),(20 42186.855),(21 43725.387),(22 43849.055),(23 43597.25),(24 43471.105),(25 44165.066),(26 45055.31),(27 45312.145),(28 45991.688),(29 46653.543),(30 46711.34),(31 46557.22),(32 46453.99),(33 46749.605),(34 46996.582),(35 46308.52),(36 46582.34),(37 47249.73),(38 47056.4),(39 45924.59),(40 45375),(41 44660.69),(42 45405.777),(43 45896.598),(44 46481.25),(45 47245.797),(46 46210.117),(47 45145.168),(48 45366.086),(49 45848.38),(50 45592.85),(51 45426.035),(52 45956.418),(53 45513.605),(54 45298.523),(55 46067.25),(56 46345.797),(57 45342.965),(58 44858.34),(59 45108.594),(60 45903.617),(61 45114.84),(62 44543.74),(63 44995.777),(64 43426.89),(65 43409.223),(66 43693.766),(67 42541.895),(68 42212.73),(69 41654.465),(70 41307.84),(71 40740.62),(72 39582.71),(73 38921.16),(74 39029.145),(75 38325.64),(76 37399.355),(77 36820.68),(78 36499.74),(79 37124.156),
(1 15856.432),(2 23440.477),(3 25104.723),(4 26411.055),(5 25730.217),(6 27158.588),(7 27024.87),(8 27226.285),(9 28715.518),(10 30382.307),(11 32514.88),(12 33894.207),(13 34110.453),(14 34138.387),(15 34980.656),(16 36186.293),(17 37882.75),(18 39149.582),(19 39487.957),(20 41000.035),(21 41916.402),(22 42673.582),(23 42868.652),(24 42830.504),(25 43705.17),(26 43881.06),(27 44348.04),(28 45208.77),(29 45401.9),(30 45244.516),(31 45186.15),(32 44234.42),(33 45415.184),(34 45774.777),(35 44732.316),(36 44504.875),(37 45323.76),(38 45838.23),(39 45332.45),(40 45255.313),(41 44788.766),(42 44153.516),(43 44747.695),(44 44957.75),(45 45233.426),(46 44430.574),(47 43931.332),(48 44703.2),(49 44181.06),(50 44004.227),(51 44221.7),(52 44417.043),(53 44808.54),(54 44995.395),(55 45489.125),(56 45431.324),(57 44846.74),(58 44978.38),(59 45117.92),(60 44736.207),(61 44307.96),(62 44488.445),(63 43342.047),(64 43752.355),(65 43150.703),(66 41725.8),(67 41553.92),(68 41651.953),(69 40987.336),(70 41195.383),(71 40166.703),(72 38815.41),(73 39167.56),(74 39137.605),(75 38144.645),(76 37475.594),(77 36262.973),(78 35740.113),(79 36104.305),
(1 15116.843),(2 22358.396),(3 24163.916),(4 24936.006),(5 24282.88),(6 26239.088),(7 26411.184),(8 27222.965),(9 29129.266),(10 30582.219),(11 31938.754),(12 34310.53),(13 35051.96),(14 35737.51),(15 37281.27),(16 38128.81),(17 39972.566),(18 40686.797),(19 41267.75),(20 42919.227),(21 43145.23),(22 44282.19),(23 44742),(24 45583.703),(25 45520.06),(26 45993.62),(27 46548.285),(28 45891.72),(29 46147.715),(30 46391.03),(31 46013.6),(32 46483.848),(33 46582.113),(34 45773.58),(35 45065.043),(36 46030.4),(37 47472.727),(38 47001.035),(39 45703.22),(40 45329.926),(41 45325.79),(42 46056.145),(43 45870.25),(44 45497.164),(45 45948.242),(46 45748.32),(47 46419.117),(48 46187.188),(49 45551.06),(50 45520.336),(51 45684.44),(52 47084.516),(53 47680.824),(54 47284.664),(55 47151.33),(56 46456.094),(57 46146.508),(58 46406.61),(59 45869.637),(60 45663.617),(61 45439.047),(62 46081.453),(63 44989.344),(64 43914.137),(65 43353.227),(66 42498.13),(67 41773.83),(68 41500.33),(69 40419.03),(70 39409.816),(71 38742.168),(72 37063.434),(73 37180.164),(74 36567.484),(75 35660.13),(76 35467.957),(77 34994.85),(78 34180.246),(79 34064.65),
(1 15355.75),(2 22406.95),(3 23189.908),(4 24027.545),(5 23832.73),(6 25718.334),(7 25527.527),(8 26359.625),(9 27479.217),(10 28319.93),(11 29939.678),(12 32685.645),(13 33319.344),(14 33543.54),(15 34785.883),(16 35451.31),(17 37561.89),(18 38096.23),(19 38853.984),(20 40247.527),(21 41073.797),(22 42111.383),(23 42799.1),(24 42990.508),(25 43215.418),(26 43362.094),(27 43874.92),(28 43628.98),(29 43834.28),(30 43702.043),(31 44229.168),(32 44843.492),(33 44347.957),(34 43712.53),(35 43160.438),(36 44050.652),(37 44751.918),(38 44288.11),(39 43179.19),(40 43063.082),(41 42952.61),(42 43585.82),(43 42976.152),(44 42218.836),(45 42229.47),(46 42042.54),(47 42599.688),(48 42174.668),(49 42394.285),(50 42339.41),(51 42053.117),(52 42444.14),(53 43348.867),(54 43101.32),(55 42487.9),(56 42042.734),(57 42282.58),(58 43107.055),(59 43000.02),(60 42064.2),(61 42145.9),(62 41501.523),(63 41272.5),(64 41573.453),(65 40966.6),(66 40368.836),(67 40087.992),(68 39656.76),(69 39180.71),(70 37775.918),(71 37224.867),(72 36850.09),(73 36138.176),(74 36324.87),(75 36096.957),(76 35459.87),(77 34940.305),(78 34891.37),(79 35240.77),
(1 14487.833),(2 21618.8),(3 22840.654),(4 23378.295),(5 22726.787),(6 24435.654),(7 24366.305),(8 25656.525),(9 27018.66),(10 28088.598),(11 30113.297),(12 31825.846),(13 33188.73),(14 33525.434),(15 34624.03),(16 36248.38),(17 38127.93),(18 38633.56),(19 39016.27),(20 41305.734),(21 41929.785),(22 42180.074),(23 42365.387),(24 43138.496),(25 43319.586),(26 43653.066),(27 44617.535),(28 44355.15),(29 44624.313),(30 44629.234),(31 45546.664),(32 45943.445),(33 45162.754),(34 44249.79),(35 43447.016),(36 44533.426),(37 45015.27),(38 45276.883),(39 44510.52),(40 44111.19),(41 44023.457),(42 43771.863),(43 43269.918),(44 42874.89),(45 42761.64),(46 42892.598),(47 43141.684),(48 41932.43),(49 42998.254),(50 43085.02),(51 42923.85),(52 43078.324),(53 44038.746),(54 44095.344),(55 42597.04),(56 42175.15),(57 43141.566),(58 43619.9),(59 42642.254),(60 42446.7),(61 42534.215),(62 41021.97),(63 41184.438),(64 41050.516),(65 41051),(66 40006.56),(67 39108.184),(68 39690.285),(69 39183.414),(70 38284.406),(71 37591.715),(72 37042.61),(73 36756.777),(74 36598.746),(75 35934.332),(76 35026.54),(77 34306.957),(78 33494.137),(79 33682.44),
(1 13989.484),(2 20697.389),(3 22164.156),(4 22886.46),(5 21693.625),(6 23334.64),(7 23693.447),(8 24981.273),(9 26285.045),(10 27311.709),(11 29507.408),(12 29910.24),(13 31112.742),(14 31676.418),(15 32655.338),(16 34673.51),(17 35078.816),(18 35148.453),(19 36491.527),(20 38129),(21 38633.086),(22 39035.508),(23 38889.688),(24 39464.348),(25 40153.73),(26 40185.793),(27 41366.37),(28 40368.734),(29 40438.355),(30 40921.85),(31 41320.09),(32 42291.824),(33 40707.773),(34 39526.516),(35 39638.43),(36 40061.855),(37 40539.934),(38 40944.613),(39 39987.01),(40 38850.61),(41 38827.29),(42 39329.598),(43 39218.508),(44 38490.805),(45 38009.668),(46 38526.81),(47 38143.152),(48 37374.305),(49 38022.285),(50 38220.555),(51 37640.41),(52 37947.754),(53 38722.25),(54 38419.52),(55 37593.6),(56 37748.19),(57 38615.49),(58 38701.23),(59 37744.297),(60 37467.977),(61 36889.79),(62 37116.03),(63 36792.574),(64 36888.566),(65 36168.973),(66 35553.348),(67 35328.04),(68 35531.566),(69 34581.164),(70 34706.195),(71 33819.94),(72 33494.793),(73 32834.06),(74 32263.826),(75 32471.736),(76 31673.777),(77 30851.035),(78 30308.291),(79 30371.42),
(1 13798.508),(2 20768.975),(3 22262.469),(4 22709.73),(5 21600.895),(6 23089.84),(7 23135.215),(8 24604.094),(9 25766.979),(10 27174.818),(11 28550.74),(12 29749.12),(13 30181.959),(14 31116.748),(15 32693.074),(16 34084.336),(17 34731.68),(18 35406.598),(19 37396.97),(20 38732.33),(21 39108.645),(22 39054.875),(23 39187.875),(24 39456.984),(25 39980.613),(26 40456.7),(27 40879.5),(28 40986.934),(29 41556.563),(30 40898.23),(31 40928.727),(32 41407.41),(33 40279.18),(34 39839.777),(35 40044.188),(36 40762.105),(37 40272.332),(38 39945.156),(39 39490.26),(40 38482.637),(41 38462.332),(42 38382.71),(43 37575.277),(44 37458.82),(45 37717.715),(46 37867.883),(47 37049.836),(48 36979.168),(49 36765.926),(50 37182.324),(51 37244.316),(52 37040.977),(53 37200.49),(54 36873.867),(55 36959.59),(56 37353.563),(57 37379.516),(58 37540.2),(59 36728.586),(60 36424.91),(61 36512.08),(62 36721.71),(63 36823.3),(64 36296.324),(65 36123.207),(66 35373.098),(67 34732.008),(68 34936.215),(69 34647.004),(70 34765.438),(71 34031.215),(72 32619.105),(73 32194.193),(74 32061.36),(75 32151.125),(76 31334.459),(77 30815.729),(78 30924.475),(79 30908.207),
