1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 67054.13),(2 242142.75),(3 534274.25),(4 920765.25),(5 1402150.4),(6 1993154.6),(7 2665695.8),(8 3380945.8),(9 4158662.8),(10 5020264),(11 5924390.5),(12 6900660),(13 7984919.5),(14 9085567),(15 10207738),(16 11334611),(17 12480428),(18 13708348),(19 14975477),(20 16231748),(21 17458606),(22 18715680),(23 19890852),(24 21070002),(25 22138002),(26 23278080),(27 24417458),(28 25510416),(29 26526510),(30 27457922),(31 28339088),(32 29201768),(33 29989722),(34 30554666),(35 31156760),(36 31708352),(37 32301846),(38 32919270),(39 33467110),(40 34005748),(41 34462604),(42 34865228),(43 35201950),(44 35500540),(45 35763816),(46 35992548),(47 36244372),(48 36406180),(49 36412708),(50 36389124),(51 36318224),(52 36224816),(53 36071316),(54 35926596),(55 35881516),(56 35912450),(57 35935200),(58 35901944),(59 35833068),(60 35732624),(61 35641092),(62 35537212),(63 35403420),(64 35259828),(65 35112956),(66 35012820),(67 34928964),(68 34811220),(69 34791108),(70 34866212),(71 34948950),(72 35106196),(73 35293356),(74 35565652),(75 35847228),(76 36245916),(77 36651140),(78 37247604),(79 37893892),
(1 32508.777),(2 121264.625),(3 267144.8),(4 452575.16),(5 672443.5),(6 924920.1),(7 1185956.6),(8 1440748.8),(9 1689395.6),(10 1948260.8),(11 2215380.5),(12 2513223.5),(13 2780947.3),(14 3059191.5),(15 3332708.8),(16 3625046),(17 3917531.3),(18 4224045),(19 4505156),(20 4770797),(21 5016294.5),(22 5240153),(23 5441192.5),(24 5634629),(25 5825237),(26 6062642.5),(27 6354468.5),(28 6677774.5),(29 7038307),(30 7406196),(31 7759621),(32 8120447),(33 8490877),(34 8873222),(35 9270115),(36 9726527),(37 10203805),(38 10728115),(39 11267778),(40 11884074),(41 12527335),(42 13203059),(43 13932104),(44 14653277),(45 15376680),(46 16108490),(47 16775778),(48 17458090),(49 18056426),(50 18640706),(51 19173506),(52 19730392),(53 20322932),(54 20926636),(55 21519162),(56 22160188),(57 22818344),(58 23457910),(59 24031726),(60 24645196),(61 25238534),(62 25817092),(63 26418848),(64 27019978),(65 27669200),(66 28370566),(67 29106368),(68 29888580),(69 30773898),(70 31660116),(71 32518080),(72 33331366),(73 34102028),(74 34866676),(75 35629400),(76 36387950),(77 37110200),(78 37929224),(79 38850720),
(1 41157.098),(2 153261.2),(3 332325.66),(4 558460.2),(5 828781.06),(6 1126319.5),(7 1437287),(8 1764234.6),(9 2098389),(10 2447003),(11 2824704.8),(12 3222998),(13 3626383.8),(14 4039833.3),(15 4478985.5),(16 4924388.5),(17 5377448.5),(18 5834690.5),(19 6309084.5),(20 6805981.5),(21 7331916),(22 7877826.5),(23 8459595),(24 9052328),(25 9694956),(26 10386237),(27 11114523),(28 11896123),(29 12677847),(30 13503723),(31 14338821),(32 15227819),(33 16191804),(34 17139414),(35 18130248),(36 19145808),(37 20205120),(38 21322082),(39 22507858),(40 23769544),(41 25056938),(42 26371392),(43 27668496),(44 28967978),(45 30264064),(46 31535366),(47 32704040),(48 33842316),(49 34918884),(50 35952012),(51 36981040),(52 38025924),(53 39056424),(54 40047560),(55 41067504),(56 42016584),(57 42925044),(58 43792180),(59 44627236),(60 45417852),(61 46161492),(62 46830700),(63 47465300),(64 48073812),(65 48715892),(66 49305520),(67 49946108),(68 50654068),(69 51478004),(70 52351684),(71 53231264),(72 54111580),(73 54910080),(74 55736916),(75 56620976),(76 57399920),(77 58103696),(78 58857250),(79 59537716),
(1 37679.383),(2 137836.44),(3 291825.84),(4 485571.56),(5 712726.75),(6 954222.44),(7 1212159.4),(8 1484580.1),(9 1767650.9),(10 2059124.5),(11 2373239),(12 2716190.5),(13 3070455.5),(14 3463138.3),(15 3899135),(16 4371002.5),(17 4902785),(18 5524472),(19 6227754),(20 7035099.5),(21 7925530.5),(22 8884128),(23 9937337),(24 11066822),(25 12268667),(26 13575326),(27 14959893),(28 16432551),(29 17979656),(30 19622220),(31 21351404),(32 23167054),(33 25129504),(34 27108074),(35 29208298),(36 31311584),(37 33513528),(38 35777132),(39 38096252),(40 40410804),(41 42728110),(42 45026750),(43 47310940),(44 49588544),(45 51861156),(46 54115784),(47 56388216),(48 58577736),(49 60719340),(50 62776916),(51 64719230),(52 66613788),(53 68480900),(54 70301740),(55 72145860),(56 73955736),(57 75685750),(58 77303860),(59 78961170),(60 80540856),(61 82095590),(62 83583720),(63 84951040),(64 86127670),(65 87197770),(66 88262390),(67 89396340),(68 90588820),(69 91958370),(70 93345656),(71 94679130),(72 96016570),(73 97248330),(74 98481020),(75 99755736),(76 100897450),(77 101920880),(78 102964136),(79 103811000),
(1 46805.6),(2 176034.52),(3 377763.88),(4 638881.25),(5 949372.4),(6 1299292.9),(7 1685742),(8 2116062.3),(9 2572445.8),(10 3049533.5),(11 3551456.3),(12 4091184.8),(13 4668117),(14 5270126),(15 5908299),(16 6561959.5),(17 7242501),(18 7981332.5),(19 8770809),(20 9606647),(21 10484331),(22 11384691),(23 12296326),(24 13241142),(25 14193104),(26 15175194),(27 16204017),(28 17274548),(29 18345566),(30 19450828),(31 20569590),(32 21728366),(33 22941048),(34 24131642),(35 25343016),(36 26529262),(37 27740642),(38 28907506),(39 30100360),(40 31281758),(41 32423188),(42 33545518),(43 34665700),(44 35743388),(45 36842900),(46 37903450),(47 38960652),(48 40020400),(49 41064224),(50 42050210),(51 43019812),(52 43974064),(53 44891920),(54 45827356),(55 46716240),(56 47616068),(57 48470880),(58 49276800),(59 50144676),(60 51003800),(61 51865612),(62 52707964),(63 53491696),(64 54215668),(65 54939620),(66 55732970),(67 56633560),(68 57643764),(69 58644700),(70 59622052),(71 60554960),(72 61495692),(73 62446770),(74 63347520),(75 64159836),(76 64944924),(77 65713036),(78 66565336),(79 67315100),
(1 58366.387),(2 223607.16),(3 490796.2),(4 838368.9),(5 1258686.6),(6 1749922.8),(7 2301831.3),(8 2905809.3),(9 3551231.3),(10 4227761),(11 4933814),(12 5667348),(13 6448801),(14 7250246.5),(15 8082355),(16 8922854),(17 9786611),(18 10684986),(19 11601686),(20 12546883),(21 13483886),(22 14434710),(23 15356696),(24 16246950),(25 17061268),(26 17898094),(27 18777884),(28 19594748),(29 20392074),(30 21185272),(31 21984990),(32 22795860),(33 23682892),(34 24499094),(35 25342358),(36 26124000),(37 26874310),(38 27562768),(39 28172060),(40 28761510),(41 29260596),(42 29715328),(43 30159796),(44 30585510),(45 31005414),(46 31363750),(47 31676160),(48 31970810),(49 32172308),(50 32330308),(51 32462364),(52 32537702),(53 32578036),(54 32552140),(55 32503940),(56 32406118),(57 32259172),(58 32073274),(59 31820148),(60 31514636),(61 31192678),(62 30854138),(63 30543606),(64 30208368),(65 29919020),(66 29646084),(67 29403408),(68 29221492),(69 29062676),(70 28926794),(71 28809700),(72 28785626),(73 28870362),(74 29067484),(75 29400652),(76 29815642),(77 30267380),(78 30844170),(79 31472256),
(1 59646.707),(2 226932.31),(3 493861.53),(4 847879.9),(5 1291897.1),(6 1828107.3),(7 2436178.5),(8 3105877),(9 3824070.3),(10 4587715.5),(11 5394313),(12 6238889),(13 7127042.5),(14 8072722),(15 9072950),(16 10126181),(17 11249746),(18 12451495),(19 13683830),(20 14908629),(21 16093927),(22 17244644),(23 18341840),(24 19338968),(25 20239540),(26 21115444),(27 21953824),(28 22725430),(29 23428100),(30 24043122),(31 24616468),(32 25107428),(33 25569620),(34 25991978),(35 26417224),(36 26755682),(37 26991256),(38 27116568),(39 27092228),(40 26931350),(41 26665632),(42 26322510),(43 25939684),(44 25532156),(45 25142468),(46 24748082),(47 24392536),(48 24027816),(49 23676244),(50 23382124),(51 23159938),(52 22969464),(53 22810752),(54 22710338),(55 22662174),(56 22632968),(57 22626706),(58 22669852),(59 22731168),(60 22846198),(61 23030110),(62 23270358),(63 23596892),(64 23990044),(65 24484852),(66 25014628),(67 25603020),(68 26204204),(69 26841592),(70 27481568),(71 28101716),(72 28746550),(73 29405068),(74 30009088),(75 30593426),(76 31124118),(77 31645694),(78 32189226),(79 32732420),
(1 66905.92),(2 256435.23),(3 555544.56),(4 961339.06),(5 1483093.1),(6 2139120.8),(7 2908852.3),(8 3772740.8),(9 4721946.5),(10 5746506.5),(11 6855628.5),(12 8042344.5),(13 9311386),(14 10660785),(15 12080141),(16 13577164),(17 15179325),(18 16862858),(19 18574878),(20 20277918),(21 21939426),(22 23588680),(23 25211742),(24 26760546),(25 28209482),(26 29557446),(27 30812614),(28 31977500),(29 33019306),(30 33929864),(31 34740810),(32 35446360),(33 36045124),(34 36513692),(35 36941530),(36 37248244),(37 37440316),(38 37515144),(39 37472920),(40 37276724),(41 37001840),(42 36630828),(43 36191780),(44 35713440),(45 35220280),(46 34710584),(47 34238668),(48 33809090),(49 33357466),(50 32940498),(51 32583502),(52 32214230),(53 31874502),(54 31584238),(55 31334520),(56 31118972),(57 30928474),(58 30822988),(59 30715768),(60 30634938),(61 30632994),(62 30676632),(63 30794244),(64 30990318),(65 31256238),(66 31598758),(67 31997100),(68 32436718),(69 32834268),(70 33268892),(71 33706130),(72 34116516),(73 34535336),(74 34983988),(75 35453708),(76 35920430),(77 36406080),(78 36944510),(79 37477652),
(1 59664.016),(2 223269.9),(3 481870.1),(4 812631.1),(5 1216449.4),(6 1683453.3),(7 2200244),(8 2748604),(9 3316654.3),(10 3906649.5),(11 4514506),(12 5153377),(13 5785321.5),(14 6410952.5),(15 7059337.5),(16 7717654),(17 8400936),(18 9099841),(19 9785961),(20 10455488),(21 11089800),(22 11703157),(23 12308023),(24 12905044),(25 13492736),(26 14045880),(27 14562005),(28 15062887),(29 15516911),(30 15919048),(31 16284194),(32 16637256),(33 16955964),(34 17223198),(35 17484468),(36 17715096),(37 17897582),(38 18037974),(39 18131960),(40 18225532),(41 18356232),(42 18519440),(43 18711210),(44 18938920),(45 19220144),(46 19556800),(47 19947880),(48 20398832),(49 20876130),(50 21402928),(51 21968528),(52 22540676),(53 23125850),(54 23736068),(55 24395414),(56 25058734),(57 25739242),(58 26495972),(59 27252796),(60 28040458),(61 28838624),(62 29651266),(63 30490410),(64 31279174),(65 32031924),(66 32754582),(67 33465762),(68 34106084),(69 34659280),(70 35167710),(71 35687890),(72 36158730),(73 36644196),(74 37167000),(75 37705224),(76 38285470),(77 38858640),(78 39401630),(79 39914516),
(1 68116.67),(2 263292.63),(3 582031.25),(4 1011393.9),(5 1541841.1),(6 2171886),(7 2879832),(8 3641398.3),(9 4439257.5),(10 5276286),(11 6138978),(12 7009922),(13 7887098.5),(14 8738461),(15 9564500),(16 10383868),(17 11201637),(18 12004740),(19 12813213),(20 13589436),(21 14320821),(22 15015758),(23 15661844),(24 16251456),(25 16837636),(26 17351058),(27 17765000),(28 18109096),(29 18370496),(30 18590610),(31 18745982),(32 18812472),(33 18835544),(34 18800066),(35 18721998),(36 18622398),(37 18480776),(38 18283162),(39 18077098),(40 17861902),(41 17677708),(42 17506574),(43 17363976),(44 17271240),(45 17253732),(46 17298428),(47 17414934),(48 17608326),(49 17853916),(50 18162986),(51 18527446),(52 18964504),(53 19467754),(54 20036694),(55 20662692),(56 21351114),(57 22089706),(58 22873746),(59 23661778),(60 24494440),(61 25370952),(62 26289738),(63 27261988),(64 28185816),(65 29115756),(66 30020530),(67 30856068),(68 31609322),(69 32338122),(70 32980622),(71 33569228),(72 34056304),(73 34503790),(74 34863160),(75 35191572),(76 35453276),(77 35604530),(78 35680560),(79 35651770),
(1 62452.582),(2 236438.81),(3 514264.8),(4 877530.4),(5 1315703.5),(6 1819129.6),(7 2368319.5),(8 2952892.8),(9 3559575.5),(10 4187565.3),(11 4831702),(12 5475808),(13 6092712.5),(14 6675402.5),(15 7233001),(16 7759879.5),(17 8286778.5),(18 8809589),(19 9321824),(20 9818278),(21 10295581),(22 10743066),(23 11170472),(24 11567540),(25 11940016),(26 12254436),(27 12519518),(28 12729587),(29 12924653),(30 13110647),(31 13297182),(32 13465837),(33 13646104),(34 13829254),(35 14033319),(36 14226632),(37 14441131),(38 14680360),(39 14911723),(40 15155774),(41 15407931),(42 15680747),(43 15949496),(44 16248109),(45 16573148),(46 16941320),(47 17345912),(48 17810694),(49 18341584),(50 18934076),(51 19591094),(52 20272772),(53 20984132),(54 21690444),(55 22435284),(56 23171426),(57 23892720),(58 24596020),(59 25240740),(60 25831502),(61 26381330),(62 26884594),(63 27328596),(64 27726126),(65 28078324),(66 28372908),(67 28596868),(68 28765942),(69 28876710),(70 28916040),(71 28890568),(72 28805002),(73 28669416),(74 28483792),(75 28245996),(76 27934188),(77 27572160),(78 27168302),(79 26756134),
