1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 9162.426),(2 27982.928),(3 51148.95),(4 72605.62),(5 94550.71),(6 122397.69),(7 157799.67),(8 200291.31),(9 249958.95),(10 298384.6),(11 341596.56),(12 383380.75),(13 425676.75),(14 471152.97),(15 517336.28),(16 564616.25),(17 607185.44),(18 636152.94),(19 660172.25),(20 683584.3),(21 711160.8),(22 738827.8),(23 763964.3),(24 789056.2),(25 803557.94),(26 824761.3),(27 842565.44),(28 866315.2),(29 900519.06),(30 942934.8),(31 978658.25),(32 1021044.3),(33 1073670.3),(34 1117387.4),(35 1170627.9),(36 1236443.1),(37 1300725),(38 1368150.1),(39 1432720.5),(40 1490921),(41 1538138.6),(42 1582215.6),(43 1611328),(44 1635273.6),(45 1656614.4),(46 1685013),(47 1706678.6),(48 1719748.4),(49 1729941.6),(50 1720537.4),(51 1706274.6),(52 1691997.5),(53 1670694.4),(54 1641009.5),(55 1621778),(56 1606467.4),(57 1608332.4),(58 1613193.4),(59 1608000.5),(60 1601720.4),(61 1617131.6),(62 1637378),(63 1648225.4),(64 1681398),(65 1723407.4),(66 1768138),(67 1823534),(68 1864603.4),(69 1934508.5),(70 2023765),(71 2131750.3),(72 2231996.5),(73 2341089.3),(74 2462001.8),(75 2581470.3),(76 2699679.8),(77 2810109.3),(78 2915578.8),(79 3020146.8),
(1 8076.715),(2 23759.236),(3 42676.418),(4 64267.7),(5 88732.81),(6 118451.016),(7 153865.61),(8 192972.67),(9 235139.3),(10 273728.13),(11 310463.06),(12 342953.56),(13 376436.7),(14 408197.44),(15 441869.4),(16 477182.8),(17 506621.6),(18 527853.94),(19 547385.75),(20 566898.5),(21 587257.4),(22 609051.56),(23 622461.06),(24 634877.75),(25 649069.8),(26 674637),(27 705290.25),(28 738339.8),(29 775694.4),(30 817265.56),(31 854677.1),(32 899947.2),(33 951564.4),(34 987998.4),(35 1019058.6),(36 1059037.3),(37 1104777.9),(38 1152074.1),(39 1199366.8),(40 1241720.8),(41 1281493.3),(42 1314327.6),(43 1331982.9),(44 1349470.6),(45 1362620.8),(46 1370167.8),(47 1371166.1),(48 1368756.6),(49 1371673.3),(50 1368057.1),(51 1360763.8),(52 1348144.8),(53 1329964.8),(54 1302840.5),(55 1278990.6),(56 1255756.3),(57 1242132.9),(58 1237396.9),(59 1231576.9),(60 1220623.3),(61 1223075.5),(62 1229105),(63 1239790),(64 1260822.8),(65 1298008),(66 1345939),(67 1407224.8),(68 1452801.4),(69 1518977.6),(70 1602254.4),(71 1696331.3),(72 1781187.3),(73 1875982.4),(74 1979656.4),(75 2082874.4),(76 2182512.5),(77 2276656.8),(78 2373616.3),(79 2461636.8),
(1 7502.607),(2 21690.107),(3 37058.813),(4 54137.016),(5 73841.516),(6 95784.71),(7 122927.73),(8 150776.13),(9 180140.13),(10 205666.44),(11 231784.11),(12 261380.05),(13 299659.4),(14 339224.78),(15 383190.1),(16 432764),(17 475885.6),(18 519727.5),(19 567095.75),(20 615528.8),(21 661887.8),(22 709280.94),(23 757204.3),(24 801283),(25 837860.56),(26 875317.2),(27 910395.3),(28 943959.06),(29 979398.94),(30 1012924.2),(31 1040940.3),(32 1064950.5),(33 1089137),(34 1112909),(35 1133744.4),(36 1156784.4),(37 1173754.5),(38 1186276.1),(39 1199049.4),(40 1214332.1),(41 1220495.1),(42 1214390.5),(43 1206914.6),(44 1198386.9),(45 1190857.3),(46 1182202),(47 1177227),(48 1172871.6),(49 1174480),(50 1176707.6),(51 1174682.9),(52 1160613.4),(53 1147126.5),(54 1133655),(55 1120375.5),(56 1106807.1),(57 1093700),(58 1099805.4),(59 1101802.6),(60 1101908.9),(61 1116960.6),(62 1142528.9),(63 1172836.9),(64 1204288.4),(65 1248827.1),(66 1310920.6),(67 1366306),(68 1412136.5),(69 1449957.6),(70 1491659.1),(71 1537371),(72 1577213.4),(73 1631271.1),(74 1678100.9),(75 1718965),(76 1763892.4),(77 1801754.4),(78 1867049.1),(79 1907347.4),
(1 6937.6772),(2 21402.611),(3 39050.89),(4 57010.273),(5 79958.55),(6 105633.33),(7 132269.06),(8 158391.47),(9 184772.03),(10 207694.17),(11 228687.69),(12 253357.67),(13 283273.63),(14 319849.28),(15 363780.63),(16 412900.22),(17 466880.88),(18 521052.88),(19 570648.1),(20 623518.5),(21 673622.1),(22 717488.6),(23 767758.7),(24 817755),(25 859300),(26 895394.56),(27 929377.25),(28 964451.9),(29 997590.9),(30 1027094.25),(31 1058437.5),(32 1094486),(33 1138822.6),(34 1178762),(35 1213373.1),(36 1244229),(37 1267623.1),(38 1283543.4),(39 1292926.3),(40 1302309),(41 1311294.5),(42 1318585),(43 1324132.5),(44 1328226),(45 1328710.5),(46 1328051.6),(47 1329257.1),(48 1333001.1),(49 1338609.1),(50 1343037.8),(51 1338051.8),(52 1331555),(53 1328887.8),(54 1323994.3),(55 1320696.3),(56 1315363.5),(57 1310466),(58 1305418.4),(59 1303493.5),(60 1299635.8),(61 1296700.6),(62 1296788.9),(63 1299909.1),(64 1303964.8),(65 1314879.9),(66 1326865.1),(67 1343861.5),(68 1366560.1),(69 1386271.1),(70 1405886.8),(71 1427990.3),(72 1458388.5),(73 1480223),(74 1497951.4),(75 1513441.4),(76 1533993.1),(77 1550922.9),(78 1563801.1),(79 1584823.5),
(1 7422.7734),(2 23003.053),(3 43314.387),(4 65655.92),(5 93192.8),(6 122956.26),(7 155257.44),(8 189959.55),(9 226163.05),(10 259020.31),(11 291199.63),(12 323455.22),(13 361469.03),(14 405965.8),(15 457780.8),(16 511741),(17 567889.4),(18 626086.44),(19 679501.06),(20 733402.1),(21 783507.6),(22 834942.2),(23 896384.75),(24 961879.44),(25 1027125.6),(26 1089314.3),(27 1154262.3),(28 1222537.9),(29 1284809.3),(30 1340865.5),(31 1399838),(32 1465762.9),(33 1532870.1),(34 1594294.9),(35 1648578.1),(36 1695664),(37 1730724.5),(38 1758724.5),(39 1785089.6),(40 1803296.8),(41 1820153.1),(42 1833932),(43 1839099.6),(44 1846390.9),(45 1843429.3),(46 1841096.4),(47 1836100.4),(48 1831834.4),(49 1824947.5),(50 1817770.4),(51 1806126.5),(52 1795996.8),(53 1785860.5),(54 1772530.1),(55 1756690.5),(56 1739954.9),(57 1721836.5),(58 1704281.5),(59 1690894),(60 1676514.1),(61 1658649.5),(62 1645820.4),(63 1641598.5),(64 1641986.1),(65 1651529.9),(66 1653934),(67 1662725.6),(68 1674588.4),(69 1685070.9),(70 1696598.5),(71 1705074.9),(72 1719017.5),(73 1717791.6),(74 1718860.5),(75 1718466.9),(76 1721325.5),(77 1731534.9),(78 1723219.3),(79 1738174.5),
(1 7736.667),(2 24237.55),(3 45646),(4 69167.5),(5 101145.65),(6 136765.72),(7 175180.28),(8 214697.84),(9 253261.05),(10 290019.1),(11 322231.72),(12 354864.8),(13 392186.94),(14 436195.3),(15 488666.9),(16 547534.1),(17 603290.9),(18 660390.75),(19 716939.1),(20 778667.94),(21 832020.5),(22 884953.2),(23 948780.8),(24 1019720.4),(25 1081258.9),(26 1137214.8),(27 1188947.8),(28 1232697.6),(29 1272637),(30 1309964),(31 1344312.5),(32 1387748.4),(33 1429966.3),(34 1468950.8),(35 1503699.3),(36 1527332),(37 1539283),(38 1546190.3),(39 1547766.8),(40 1542900.8),(41 1531596.6),(42 1522461),(43 1506124.4),(44 1483652.6),(45 1460453.8),(46 1439345.3),(47 1419505.6),(48 1406245.8),(49 1392531.4),(50 1384109.6),(51 1378671.4),(52 1376845.3),(53 1376361.6),(54 1374785.6),(55 1370996.3),(56 1367108.6),(57 1365179),(58 1368434.4),(59 1374785.8),(60 1391947.6),(61 1410194.4),(62 1432518.8),(63 1466466.3),(64 1503321.3),(65 1549229.6),(66 1591045.8),(67 1630150.4),(68 1654790.3),(69 1682601.4),(70 1712775),(71 1732873.3),(72 1751997),(73 1759169.8),(74 1768300.3),(75 1770128.8),(76 1771400.8),(77 1778743.3),(78 1776499.3),(79 1785378),
(1 8352.907),(2 26766.129),(3 50968.754),(4 78951.72),(5 114548.375),(6 154021.98),(7 195858.34),(8 241558.33),(9 286707.44),(10 333213),(11 380400),(12 426455.78),(13 476475.03),(14 527702.9),(15 580480.94),(16 632085.06),(17 687259.9),(18 748913.75),(19 809432.7),(20 869811.94),(21 919414.4),(22 971900.9),(23 1036399.4),(24 1102276.8),(25 1164677.3),(26 1227754.6),(27 1297210.8),(28 1354896.5),(29 1409337.4),(30 1460165.3),(31 1507780.3),(32 1559315.1),(33 1613505.3),(34 1659372.9),(35 1697212.3),(36 1728795.1),(37 1753910.6),(38 1780163.5),(39 1800595.3),(40 1823418.1),(41 1845736),(42 1868590.3),(43 1888164.8),(44 1899605.4),(45 1913254.3),(46 1928679.4),(47 1937789.1),(48 1948421.3),(49 1957111.9),(50 1966458),(51 1967185.8),(52 1973159.4),(53 1980148.5),(54 1989355.5),(55 1998347.8),(56 2006108.8),(57 2009671.1),(58 2018534),(59 2028669.3),(60 2043254.5),(61 2056240.8),(62 2071000),(63 2097577),(64 2124478.5),(65 2151871),(66 2182645.3),(67 2213250.3),(68 2246415.5),(69 2273971.8),(70 2290190.3),(71 2306140.5),(72 2325225.5),(73 2338981.5),(74 2349046.3),(75 2348575.8),(76 2352986.5),(77 2358050.3),(78 2373995.5),(79 2380860),
(1 9134.109),(2 29794.43),(3 58698.977),(4 89981.86),(5 127244.555),(6 168563.58),(7 216559.53),(8 268009.9),(9 320185.47),(10 374502.6),(11 428758.06),(12 483532.8),(13 545217.8),(14 607883.94),(15 672144.75),(16 736651.9),(17 800976.56),(18 869383.7),(19 935606.1),(20 997565.6),(21 1043297.6),(22 1082691.3),(23 1119618),(24 1152860.3),(25 1181195.9),(26 1205613.3),(27 1225606.1),(28 1235409.1),(29 1243388.4),(30 1245989.9),(31 1249351.8),(32 1255649.6),(33 1264333.4),(34 1273749.6),(35 1276429.8),(36 1278672.1),(37 1278642.4),(38 1286677.3),(39 1292823.9),(40 1305310),(41 1321085.3),(42 1337294.9),(43 1353884.8),(44 1372919.5),(45 1398462.9),(46 1421294.9),(47 1445448),(48 1477016.5),(49 1510947.5),(50 1550445.6),(51 1586399.3),(52 1624948.1),(53 1671668.6),(54 1715923.9),(55 1757790.3),(56 1797550.8),(57 1832724.8),(58 1876360.3),(59 1919974.4),(60 1970064.8),(61 2011170.9),(62 2049600),(63 2096677.6),(64 2142881.5),(65 2178308.5),(66 2208867.5),(67 2236487),(68 2255572.5),(69 2271848.5),(70 2287183),(71 2294726.3),(72 2300111.5),(73 2297877.8),(74 2287285.5),(75 2277238.5),(76 2267241.5),(77 2256289.5),(78 2251700.8),(79 2235757.5),
(1 9252.354),(2 29632.691),(3 56420.85),(4 87428.87),(5 123661.82),(6 163844.8),(7 208930.83),(8 258300.47),(9 307568.84),(10 357746.53),(11 412549.72),(12 470125.1),(13 534853.44),(14 600458.44),(15 671797.5),(16 745535.3),(17 820996.94),(18 900211.2),(19 979644.5),(20 1056327.5),(21 1125517),(22 1184781.8),(23 1246014.6),(24 1304502),(25 1357599.4),(26 1412724),(27 1466062.8),(28 1512071.9),(29 1557649.5),(30 1600452.9),(31 1637823.8),(32 1674010),(33 1715918.6),(34 1748325.5),(35 1769675),(36 1782188.3),(37 1789520.9),(38 1794563.8),(39 1792965.9),(40 1802690.4),(41 1809999.3),(42 1819137.3),(43 1828713.4),(44 1832489),(45 1843978.4),(46 1853515),(47 1865207.3),(48 1875961.1),(49 1892239),(50 1909708.4),(51 1933797.4),(52 1956439.3),(53 1976772),(54 1990219.3),(55 2014012.3),(56 2028093),(57 2041584.8),(58 2062411.3),(59 2087742.6),(60 2121273.5),(61 2154788),(62 2187218.8),(63 2222767.3),(64 2264721.8),(65 2305752),(66 2342990),(67 2367632.8),(68 2380252.3),(69 2392583.3),(70 2409861.8),(71 2420714.8),(72 2423565.8),(73 2425184),(74 2419855.5),(75 2412402),(76 2404767.8),(77 2395038.5),(78 2394562.3),(79 2383258.5),
(1 9388.987),(2 30503.924),(3 57581.324),(4 87983.93),(5 124742.25),(6 165303.19),(7 211399.56),(8 262638.06),(9 316389.44),(10 375819.78),(11 437151.22),(12 503674.06),(13 577943.75),(14 662836.44),(15 754651.25),(16 845265.06),(17 934486.25),(18 1021854.7),(19 1107230.9),(20 1189344.6),(21 1262324.5),(22 1331914.9),(23 1396354.3),(24 1457617.4),(25 1512355.5),(26 1562448.6),(27 1607342.6),(28 1644103.6),(29 1682540.8),(30 1714800.9),(31 1740216.5),(32 1763918.6),(33 1787730.3),(34 1805439.3),(35 1810728.5),(36 1803794.4),(37 1795411.8),(38 1791776.5),(39 1790010.5),(40 1789166.1),(41 1786911.5),(42 1788442.5),(43 1784117),(44 1784736.3),(45 1788350.1),(46 1799652.6),(47 1811762.3),(48 1829754.9),(49 1847801.6),(50 1863024.5),(51 1884367.1),(52 1911435.8),(53 1941241.4),(54 1972071.1),(55 2004837.5),(56 2034059.1),(57 2064352.9),(58 2095799.1),(59 2136515),(60 2178083),(61 2215261.8),(62 2252490.3),(63 2282672.8),(64 2321191),(65 2359960.8),(66 2385668),(67 2408781),(68 2425447.5),(69 2435943),(70 2447187.5),(71 2458450.3),(72 2464242.3),(73 2463175),(74 2455829.3),(75 2446093),(76 2432051),(77 2420331),(78 2409236),(79 2398790.8),
(1 9062.03),(2 29527.385),(3 56417.74),(4 86781.18),(5 122153.8),(6 160689.36),(7 202432.27),(8 248375.88),(9 293733.75),(10 341644.03),(11 390967.53),(12 440017.8),(13 494038.34),(14 558384.56),(15 629794.56),(16 698702.5),(17 764207.44),(18 824922.25),(19 884110.5),(20 944298.7),(21 997965.6),(22 1054763.6),(23 1106527.6),(24 1150319.3),(25 1189453.1),(26 1228772.5),(27 1269985),(28 1307410.9),(29 1347695.8),(30 1385833),(31 1415166.5),(32 1445464.5),(33 1476601),(34 1497789),(35 1508803.4),(36 1510442.9),(37 1511663.3),(38 1518163.4),(39 1528056),(40 1539404.8),(41 1550974),(42 1559615.8),(43 1564096.6),(44 1573753.1),(45 1586310.9),(46 1604619),(47 1624748.3),(48 1654241.3),(49 1682915.5),(50 1711609.1),(51 1741843),(52 1776503.3),(53 1810434.9),(54 1847128.8),(55 1875395.8),(56 1902177.1),(57 1930816),(58 1963505.5),(59 1994929.4),(60 2022923),(61 2052215.3),(62 2088378.9),(63 2124258),(64 2156471.5),(65 2189624.3),(66 2217998),(67 2244280.5),(68 2261852.3),(69 2270045.8),(70 2274795.8),(71 2278539.5),(72 2281518),(73 2277919),(74 2274554),(75 2266118),(76 2260551),(77 2259291.3),(78 2265294),(79 2266066.8),
