1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 17464.955),(2 30473.53),(3 34611.61),(4 34311.887),(5 33940.95),(6 34301.38),(7 35806.25),(8 35190.23),(9 34990.727),(10 34852.297),(11 35756.195),(12 35679.324),(13 35820.344),(14 35770.656),(15 36321.24),(16 36337.164),(17 36498.574),(18 35997.29),(19 36607.62),(20 36805.652),(21 37006.305),(22 37745.297),(23 38356.54),(24 38167.45),(25 37178.645),(26 37448.293),(27 37229.176),(28 37734.992),(29 37636.645),(30 38017.977),(31 37937.26),(32 38288.625),(33 38295.02),(34 38052.45),(35 37990.152),(36 38341.793),(37 38508.863),(38 38930.44),(39 39643.79),(40 39930.137),(41 39804.22),(42 39547.418),(43 38961.645),(44 37991.793),(45 37893.44),(46 37973.527),(47 38368.313),(48 38316.93),(49 37549.055),(50 37337.418),(51 37124.29),(52 37644.895),(53 38016.695),(54 37754.75),(55 37527.188),(56 37634.59),(57 38151.72),(58 38787.504),(59 39247.832),(60 39665.832),(61 39288.453),(62 38596.83),(63 38071.08),(64 37889.72),(65 38282.305),(66 38593.203),(67 39497.89),(68 39225.45),(69 39243.516),(70 39248.348),(71 39275.688),(72 38714.355),(73 38564.688),(74 39390.92),(75 39918.707),(76 39374.043),(77 38479.887),(78 39068.94),(79 40095.953),
(1 17064.943),(2 28972.29),(3 32886.8),(4 32613.49),(5 33074.594),(6 33248.574),(7 34728.74),(8 34037.973),(9 33960.043),(10 34204.242),(11 34542.76),(12 34713.41),(13 35190.83),(14 35357.395),(15 35050.63),(16 36066.63),(17 36937.02),(18 36954.67),(19 36528.566),(20 36412.426),(21 37170.164),(22 37444.605),(23 37670.63),(24 36936.715),(25 36475.3),(26 37275.15),(27 37067.64),(28 36564.06),(29 36702.02),(30 36919.215),(31 36959.914),(32 36733.066),(33 37132.92),(34 37322.22),(35 37430.53),(36 37857.715),(37 38072.617),(38 38903.19),(39 38955.266),(40 38490.83),(41 38151.695),(42 37886.395),(43 37781.543),(44 37377.49),(45 37310.234),(46 37559.61),(47 38127.313),(48 38352.797),(49 37896.99),(50 37827.582),(51 37382.043),(52 37635.848),(53 38186.086),(54 37995.434),(55 37827.75),(56 37256.766),(57 37678.29),(58 37522.797),(59 38183.703),(60 38402.25),(61 38807.477),(62 39560.664),(63 39001.387),(64 38888.926),(65 39093.457),(66 39498.766),(67 39963.61),(68 39908.742),(69 40232.945),(70 40252.055),(71 40249.77),(72 40324.992),(73 39827.055),(74 40490.44),(75 40847.043),(76 40513.25),(77 39302.293),(78 39171.83),(79 40538.93),
(1 16369.164),(2 27717.563),(3 31078.684),(4 31835.576),(5 32068.924),(6 32165.729),(7 33798.03),(8 33895.87),(9 33235.773),(10 33461.97),(11 33626.85),(12 34015.67),(13 33899.86),(14 33870.992),(15 33777.66),(16 34303.758),(17 34607.773),(18 34947.355),(19 35024.348),(20 34944.543),(21 35492.08),(22 35980.03),(23 36760.92),(24 36537.62),(25 35879.594),(26 36009.59),(27 36063.516),(28 36431.87),(29 35771.4),(30 35783.66),(31 35830.316),(32 35556.01),(33 35952.06),(34 35877.813),(35 36245.98),(36 36643.71),(37 36042.45),(38 36342.508),(39 36880.37),(40 37121.957),(41 36514.992),(42 36140.01),(43 36920.285),(44 36384.566),(45 36392.113),(46 36388.336),(47 36856.29),(48 36691.99),(49 36359.75),(50 36441.766),(51 36665.53),(52 37088.395),(53 37300.66),(54 37456.348),(55 36723.117),(56 36559.965),(57 37009.28),(58 37035.21),(59 37400.64),(60 37126.555),(61 37251.234),(62 37745.355),(63 37408.242),(64 36975.992),(65 36974.48),(66 36844.363),(67 37187.742),(68 37009.84),(69 37184.66),(70 37202.566),(71 37453.105),(72 37287.25),(73 36848.55),(74 36878.25),(75 37074.137),(76 37000.9),(77 36946.902),(78 37443.773),(79 38614.797),
(1 16500.834),(2 27883.676),(3 31125.834),(4 30724.389),(5 31129.998),(6 31139.313),(7 32606.367),(8 32025.627),(9 32162.69),(10 32241.11),(11 32557.998),(12 32914.063),(13 33119.137),(14 33498.27),(15 33288.645),(16 33304.27),(17 33861.887),(18 34415.957),(19 34524.1),(20 34240.707),(21 34905.492),(22 35045.67),(23 35832.3),(24 35579.668),(25 34999.855),(26 35128.805),(27 34843.832),(28 34759.61),(29 34644.117),(30 34689.527),(31 34736.2),(32 34932.93),(33 35170.582),(34 34849.45),(35 35815.15),(36 36531.26),(37 35831.93),(38 35819.395),(39 36368.973),(40 36594.387),(41 35850.25),(42 35202.44),(43 35565.246),(44 35422.313),(45 34875.887),(46 34630.586),(47 35221.305),(48 35718.617),(49 35552.332),(50 35452.367),(51 35536.19),(52 36251.77),(53 36188.82),(54 35904.93),(55 35786.477),(56 35576.72),(57 36138.613),(58 36480.566),(59 36444.688),(60 36534.965),(61 36954.35),(62 38101.44),(63 38297.05),(64 37932.24),(65 38013.8),(66 38225.88),(67 38656.535),(68 38247.457),(69 38370.496),(70 38418.836),(71 38766.645),(72 39155.766),(73 38773.45),(74 38247.332),(75 38212.19),(76 38177.645),(77 37906.246),(78 38220.46),(79 38348.66),
(1 15849.712),(2 26424.19),(3 29932.814),(4 29427.846),(5 29871.277),(6 30138.512),(7 31341.129),(8 30552.03),(9 30782.986),(10 30806.568),(11 31700.424),(12 32096.488),(13 31782.674),(14 32138.48),(15 31750.746),(16 31844.816),(17 31965.146),(18 32973.094),(19 32885.06),(20 32714.203),(21 32947.48),(22 33444.188),(23 34035.56),(24 33926.176),(25 33432.305),(26 33616.035),(27 33806.58),(28 33727.137),(29 33501.254),(30 33614.133),(31 34424.2),(32 33972.023),(33 33863.504),(34 33820.355),(35 34310.457),(36 34952.54),(37 35034.24),(38 34973.895),(39 34593.6),(40 34447.07),(41 34280.484),(42 33977.234),(43 34321.082),(44 34246.633),(45 34379.195),(46 34468.625),(47 35006.707),(48 35315.047),(49 35318.26),(50 35722.72),(51 36024.453),(52 35476.598),(53 35102.453),(54 35059.11),(55 35257),(56 35277.76),(57 35855.746),(58 36212.695),(59 35959.293),(60 36218.145),(61 36429.86),(62 36754.242),(63 36017.24),(64 35953.4),(65 35950.016),(66 36045.723),(67 37141.32),(68 36892.484),(69 36951.12),(70 36330.582),(71 36394.508),(72 36789.1),(73 36582.28),(74 36890.41),(75 36660.473),(76 36188.254),(77 36184.867),(78 36883.1),(79 37120.605),
(1 15370.3545),(2 25523.818),(3 28871.559),(4 28856.121),(5 29290.355),(6 29610.252),(7 31042.926),(8 30422.262),(9 30508.426),(10 30898.473),(11 31156.12),(12 31325.842),(13 31043.809),(14 30894.02),(15 31610.111),(16 32130.855),(17 31720.553),(18 32358.426),(19 33104.344),(20 32952.266),(21 33105.516),(22 33481.08),(23 33592.887),(24 33921.684),(25 33659.07),(26 33615.996),(27 33653.12),(28 33741.617),(29 33617.504),(30 33700.664),(31 34457.805),(32 34163.918),(33 34046.29),(34 33909.527),(35 34141.08),(36 34490.043),(37 34592.426),(38 34533.625),(39 34551.64),(40 34667.223),(41 34801.926),(42 35071.664),(43 34778.367),(44 34618.164),(45 34616.24),(46 34456.87),(47 34745.395),(48 34637.316),(49 34722.73),(50 34971.195),(51 35327.156),(52 35148.375),(53 34799.45),(54 34922.87),(55 35050.29),(56 35068.055),(57 35382.89),(58 35622.582),(59 36029.27),(60 36229.266),(61 35971.32),(62 36483.62),(63 36670.613),(64 37346.855),(65 37004.035),(66 36532.215),(67 37224.97),(68 36912.625),(69 37417.457),(70 37215.805),(71 36988.766),(72 36911.76),(73 36853.695),(74 37457.723),(75 37505.39),(76 37633.684),(77 37683.195),(78 37641.043),(79 37920.586),
(1 15296.111),(2 25552.537),(3 28690.025),(4 28928.693),(5 29652.91),(6 30316.348),(7 30625.531),(8 29990.68),(9 30413.012),(10 30952.135),(11 31001.654),(12 31200.613),(13 30999.578),(14 30826.89),(15 31179.773),(16 31322.803),(17 31456.166),(18 32585.518),(19 33821.32),(20 33188.797),(21 32926),(22 33226.258),(23 33463.97),(24 33697.777),(25 33633.22),(26 34153.63),(27 34462.19),(28 34139.727),(29 33856.957),(30 33845.555),(31 34230.14),(32 34040.08),(33 34289.01),(34 34107.87),(35 33865.086),(36 34417.652),(37 33931.65),(38 33486.285),(39 33602.832),(40 33446.434),(41 33190.883),(42 32824.242),(43 32734.883),(44 33131.387),(45 33253.977),(46 33115.06),(47 33106.176),(48 33491.26),(49 33294.227),(50 33273.1),(51 32974.035),(52 33001.016),(53 33130.26),(54 33498.113),(55 34002.766),(56 33492.535),(57 33858.008),(58 33601.523),(59 34587.94),(60 35160.902),(61 34889.676),(62 35236.156),(63 35129.035),(64 35107.1),(65 34872.16),(66 34392.39),(67 34334.68),(68 34196.49),(69 34590.625),(70 34765.69),(71 34296.645),(72 33741.55),(73 34033.473),(74 35056.74),(75 34926.805),(76 34595.746),(77 34797.906),(78 34689.96),(79 35092.742),
(1 14711.743),(2 23926.48),(3 27020.025),(4 27318.28),(5 27317.67),(6 27480.096),(7 28200.615),(8 27489.441),(9 27965.564),(10 28487.715),(11 28736.143),(12 29204.117),(13 28690.748),(14 28322.313),(15 28769.299),(16 29168.734),(17 29234.875),(18 29818.396),(19 30220.076),(20 29831.148),(21 29763.188),(22 29856.566),(23 30029.059),(24 29955.025),(25 30072.771),(26 30472.584),(27 30488.824),(28 30368.455),(29 30097.066),(30 30428.338),(31 31034.91),(32 30455.26),(33 30018.16),(34 30021.852),(35 30254.02),(36 30618.87),(37 29650.223),(38 29789.67),(39 30131.37),(40 30186.557),(41 30113.55),(42 29372.45),(43 29602.576),(44 29740.096),(45 29958.15),(46 30319.762),(47 30531.395),(48 30441.586),(49 29928.443),(50 30068.332),(51 30618.791),(52 30607.586),(53 30150.459),(54 30289.773),(55 30989.762),(56 30990.791),(57 31329.963),(58 31336.098),(59 31856.488),(60 31899.018),(61 31742.936),(62 32110.072),(63 32566.916),(64 32318.916),(65 31989.307),(66 32494.006),(67 32806.895),(68 32211.04),(69 32144.908),(70 32221.564),(71 32449.12),(72 32305.7),(73 32206.473),(74 33165.023),(75 33589.535),(76 33661.68),(77 33409.32),(78 32948.938),(79 32541.988),
(1 14121.414),(2 22570.83),(3 25443.756),(4 25199.625),(5 25042.082),(6 25785.18),(7 26311.12),(8 25566.174),(9 25853.156),(10 26255.441),(11 26382.855),(12 26738.473),(13 26483.564),(14 26423.313),(15 26860.283),(16 27763.145),(17 28090.59),(18 28727.04),(19 29156.754),(20 29006.277),(21 28929.836),(22 28387.656),(23 28197.1),(24 27961.338),(25 28206.416),(26 28913.73),(27 29201.47),(28 29074.592),(29 28787.88),(30 28890.436),(31 29375.344),(32 28992.209),(33 28925.96),(34 28388.822),(35 28522.17),(36 29206.838),(37 28416.79),(38 28462.6),(39 28765.682),(40 29090.611),(41 29005.709),(42 28352.08),(43 28961.195),(44 29586.371),(45 29491.99),(46 29300.33),(47 29293.826),(48 29236.807),(49 28994.375),(50 28968.055),(51 29235.596),(52 29864.654),(53 29292.145),(54 29277.846),(55 29827.64),(56 29586.531),(57 29609.799),(58 29474.846),(59 29480.719),(60 29614.291),(61 29758.648),(62 30090.74),(63 30118.39),(64 29924.346),(65 29426.754),(66 29392.076),(67 29884.092),(68 29729.09),(69 29892.635),(70 29535.23),(71 29358.291),(72 29349.244),(73 29630.076),(74 30965.031),(75 31188.947),(76 30857.195),(77 30872.46),(78 31125.016),(79 31367.51),
(1 14165.904),(2 22674.457),(3 24773.855),(4 24258.438),(5 24251.055),(6 24739.746),(7 25206.11),(8 24712.049),(9 24980.74),(10 25303.762),(11 25699.807),(12 25935.42),(13 25570.393),(14 25976.889),(15 26453.186),(16 27328.219),(17 27073.334),(18 27613.205),(19 27706.176),(20 27353.06),(21 27462.262),(22 27515.68),(23 27216.67),(24 26905.533),(25 26594.875),(26 26827.379),(27 27193.959),(28 27719.652),(29 27164.15),(30 26959.775),(31 27642.924),(32 27463.475),(33 26952.418),(34 26800.96),(35 27547.85),(36 27561.19),(37 26931.176),(38 27347.205),(39 27822.547),(40 27719.938),(41 26951.855),(42 26522.145),(43 27661.383),(44 28026.902),(45 27808.795),(46 27582.47),(47 28135.252),(48 28394.617),(49 28016.352),(50 27899.934),(51 28094.068),(52 28228.885),(53 28067.027),(54 27946.734),(55 28391.412),(56 28285.82),(57 28230.361),(58 28199.205),(59 28676.645),(60 29067.283),(61 28986.057),(62 28982.541),(63 29209.158),(64 29328.295),(65 29024.96),(66 29015.58),(67 29330.844),(68 29443.973),(69 29211.213),(70 28926.412),(71 29126.197),(72 29348.734),(73 29017.8),(74 29574.443),(75 29904.371),(76 30223.568),(77 29861.57),(78 29979.793),(79 30578.885),
(1 13613.533),(2 22166.775),(3 24499.299),(4 23887.305),(5 23466.377),(6 23703.451),(7 24540.176),(8 24290.066),(9 24293.363),(10 24509.455),(11 24968.047),(12 25327.678),(13 25006.783),(14 25215),(15 25623.576),(16 25926.785),(17 25711.775),(18 25962.154),(19 26208.201),(20 26225.014),(21 26434.25),(22 26353.893),(23 26173.682),(24 26204.766),(25 25856.195),(26 26488.459),(27 26709.074),(28 26420.357),(29 25932.723),(30 26113.637),(31 26631),(32 26544.646),(33 26130.734),(34 25764.516),(35 25967.162),(36 26148.06),(37 25446.182),(38 25921.91),(39 26425.865),(40 26343.736),(41 26178.588),(42 26262.682),(43 26887.64),(44 26805.533),(45 26575.545),(46 26349.354),(47 27108.176),(48 27801.479),(49 27376.748),(50 27129.426),(51 26811.973),(52 27406.676),(53 27406.441),(54 27424.697),(55 27485.967),(56 27664.215),(57 27435.549),(58 27738.604),(59 27854.656),(60 28023.02),(61 27689.303),(62 27819.748),(63 27547.6),(64 27559.582),(65 27537.684),(66 27702.857),(67 28050.648),(68 27776.664),(69 27474.42),(70 27268.559),(71 27111.748),(72 26994.055),(73 26913.664),(74 27752.697),(75 28420.576),(76 28419.648),(77 28027.096),(78 28026.256),(79 28220.893),
(1 12900.731),(2 20869.133),(3 23107.352),(4 22676.33),(5 22727.875),(6 23171.662),(7 23443.521),(8 23136.563),(9 23189.273),(10 23380.77),(11 23968.965),(12 24622.852),(13 24326.459),(14 24733.002),(15 25341.9),(16 25275.19),(17 25140.678),(18 25286.67),(19 25749.727),(20 25691.24),(21 25887.367),(22 26158.664),(23 26553.295),(24 26642.936),(25 26226.346),(26 26425.625),(27 26779.416),(28 26717.865),(29 26212.967),(30 26454.873),(31 27107.014),(32 27317.762),(33 27141.824),(34 26775.795),(35 26638.775),(36 26871.082),(37 26304.256),(38 26759.691),(39 27026.594),(40 26799.443),(41 26468.754),(42 26838.648),(43 27223.78),(44 26787.283),(45 26499.473),(46 26453.57),(47 26873.844),(48 27104.69),(49 26829.2),(50 26230.875),(51 25764.64),(52 26194.895),(53 26019.283),(54 25892.576),(55 26105.826),(56 25953.756),(57 26342.91),(58 26384.957),(59 26658.445),(60 26922.594),(61 27016.781),(62 27564.084),(63 27480.9),(64 27157.494),(65 26970.893),(66 27168.73),(67 27692.992),(68 27477.219),(69 27403.572),(70 27304.695),(71 27559.814),(72 27722.502),(73 27685.965),(74 28625.29),(75 28978.033),(76 28919.232),(77 28517.24),(78 28440.832),(79 28982.133),
(1 12869),(2 20473.822),(3 22526.732),(4 22128.434),(5 21587.207),(6 21539.244),(7 21717.674),(8 21995.34),(9 22596.371),(10 23009.191),(11 22917.906),(12 23080.178),(13 22438.482),(14 22644.879),(15 23294.6),(16 23653.59),(17 23186.7),(18 23200.725),(19 23842.838),(20 23762.844),(21 24389.107),(22 24150.162),(23 24415.016),(24 24418.092),(25 24187.508),(26 24442.78),(27 24368.877),(28 24523.354),(29 24447.346),(30 24524.37),(31 24977.729),(32 24628.945),(33 24468.47),(34 23930.846),(35 23801.025),(36 23881.879),(37 24196.102),(38 24601.877),(39 24535.78),(40 24971.578),(41 24927.156),(42 24920.459),(43 24748.225),(44 24533.879),(45 24647.133),(46 24669.549),(47 25026.414),(48 25439.96),(49 25674.523),(50 25218),(51 25267.445),(52 25368.887),(53 25381.11),(54 25438.553),(55 25209.316),(56 25034.393),(57 24969.586),(58 24901.445),(59 24978.262),(60 25173.125),(61 25103.299),(62 25391.764),(63 25412.402),(64 25300.498),(65 24873.586),(66 24776.16),(67 25028.992),(68 24821.87),(69 24901.275),(70 24395.578),(71 24578.367),(72 24647.605),(73 24680.678),(74 25047.008),(75 25344.943),(76 24998.06),(77 24857.623),(78 24931.078),(79 25493.617),
(1 12829.69),(2 19963.078),(3 22266.936),(4 21561.568),(5 21239.412),(6 21322.322),(7 21811.791),(8 21938.453),(9 22261.146),(10 22461.873),(11 22348.35),(12 22835.828),(13 21796.406),(14 21873.861),(15 22517.07),(16 22948.477),(17 23112.932),(18 23102.658),(19 23379.953),(20 23497.89),(21 23865.643),(22 23965.836),(23 23787.549),(24 23753.225),(25 23593.615),(26 23982.627),(27 23910.518),(28 23602.547),(29 23362.357),(30 23680.703),(31 23908.193),(32 23630.242),(33 23639.342),(34 23415.633),(35 23388.281),(36 23745.43),(37 23846.604),(38 23885.65),(39 23781.588),(40 23671.781),(41 23922.656),(42 24130.658),(43 24278.713),(44 24060.92),(45 23721.846),(46 23631.992),(47 24096.318),(48 24133.275),(49 24036.94),(50 23797.146),(51 23918.748),(52 24352.094),(53 24152.494),(54 24102.252),(55 24558.969),(56 24274.18),(57 24413.729),(58 24205.547),(59 24316.553),(60 24469.393),(61 25083.875),(62 25623.107),(63 25211.086),(64 24939.852),(65 25064.443),(66 24900.37),(67 25269.672),(68 24912.56),(69 24989.29),(70 24912.82),(71 24862.783),(72 25083.023),(73 25108.154),(74 25320.531),(75 25315.19),(76 25430.607),(77 25022.094),(78 24805.795),(79 25257.49),
(1 12638.246),(2 19717.994),(3 21399.564),(4 20808.338),(5 20339.568),(6 20384.164),(7 20800.4),(8 21089.252),(9 21282.814),(10 21084.348),(11 21162.164),(12 21200.04),(13 20622.797),(14 20877.625),(15 21331.404),(16 21693.04),(17 21857.24),(18 21564.096),(19 21734.867),(20 22149.725),(21 22477.852),(22 22646.08),(23 22442.418),(24 22315.912),(25 22224.95),(26 22619.15),(27 22519.97),(28 22369.346),(29 22555.367),(30 23004.963),(31 22643.799),(32 22180.361),(33 22459.121),(34 22177.113),(35 21882.418),(36 22241.867),(37 22361.768),(38 22494.436),(39 22518.844),(40 22534.021),(41 22711.47),(42 22758.574),(43 22714.186),(44 22352.596),(45 21992.613),(46 22001.064),(47 22255.65),(48 22397.682),(49 22764.027),(50 22670.309),(51 22452.24),(52 22450.068),(53 22723.363),(54 22945.293),(55 22769.352),(56 22619.027),(57 22689.01),(58 22843.715),(59 23071.773),(60 23476.514),(61 23476.383),(62 23910.46),(63 23419.408),(64 23437.55),(65 23556.56),(66 23269.06),(67 23582.465),(68 23352.805),(69 23146.178),(70 22838.7),(71 23027.842),(72 23324.127),(73 23473.572),(74 23671.217),(75 23867.592),(76 23885.523),(77 23709.236),(78 24013.125),(79 24623.572),
(1 12018.475),(2 18664.424),(3 20580.031),(4 20066.332),(5 19920.63),(6 20230.916),(7 20668.146),(8 20922.32),(9 20926.375),(10 20749.125),(11 20529.703),(12 20739.512),(13 20584.068),(14 20606.486),(15 21079.393),(16 21171.53),(17 21576.484),(18 21485.87),(19 21701.447),(20 21636.795),(21 22168.273),(22 21730.807),(23 21841.26),(24 21845),(25 21683.49),(26 22158.582),(27 21881.918),(28 21544.945),(29 21809.504),(30 22305.193),(31 22731.646),(32 22029.03),(33 22267.607),(34 22112.592),(35 21847.049),(36 22010.863),(37 21824.3),(38 21692.92),(39 22251.564),(40 22337.469),(41 22108.523),(42 22227.977),(43 22501.848),(44 22126.535),(45 21794.53),(46 21380.28),(47 21455.03),(48 21602.096),(49 21911.516),(50 21948.018),(51 22061.25),(52 21825.852),(53 21488.28),(54 21683.818),(55 22288.732),(56 22310.37),(57 22068.39),(58 22318.78),(59 22690.434),(60 23115.318),(61 23399.01),(62 23577.732),(63 23263.336),(64 23664.168),(65 23764.45),(66 23553.357),(67 23767.85),(68 23524.71),(69 23645.523),(70 23312.762),(71 23402.94),(72 23668.133),(73 23588.543),(74 23669.24),(75 23450.418),(76 23204.252),(77 22959.041),(78 23368.629),(79 23404.588),
(1 11608.753),(2 17716.639),(3 19386.025),(4 18991.49),(5 18990.295),(6 19506.277),(7 19539.19),(8 19488.943),(9 19538.078),(10 19476.37),(11 19363.887),(12 19650.664),(13 19062.232),(14 19406.557),(15 19953.367),(16 20191.064),(17 20229.33),(18 20226.984),(19 20873.748),(20 21011.754),(21 21194.19),(22 21062.904),(23 20969.895),(24 20598.844),(25 20748.328),(26 20896.04),(27 20834.137),(28 20977.727),(29 20742.264),(30 21045.15),(31 21061.049),(32 20705.797),(33 20853.81),(34 20773.693),(35 20572.457),(36 20663.182),(37 20574.14),(38 20508.373),(39 20490.965),(40 20629.01),(41 20772.234),(42 20732.129),(43 20765.248),(44 20308.594),(45 20174.063),(46 19836.963),(47 19894.455),(48 20077.836),(49 20371.59),(50 20431.322),(51 20723.229),(52 20881.223),(53 20852.719),(54 20961.15),(55 21014.924),(56 20822.71),(57 20959.486),(58 20989.309),(59 21173.484),(60 21443.492),(61 21720.482),(62 22199.65),(63 22073.006),(64 22083.953),(65 21997.355),(66 21748.293),(67 22328.623),(68 22233.658),(69 22167.992),(70 21946.617),(71 22037.37),(72 22443.123),(73 22299.342),(74 22565.203),(75 22695.79),(76 22495.01),(77 22395.63),(78 22746.807),(79 23111.943),
(1 11399.107),(2 17577.021),(3 18938.367),(4 18298.494),(5 18281.55),(6 18672.928),(7 18648.693),(8 18739.18),(9 19042.475),(10 19054.512),(11 18803.299),(12 19194.996),(13 18722.457),(14 18956.262),(15 18913.207),(16 19192.945),(17 19422.713),(18 19396.236),(19 20022.027),(20 20180.893),(21 20045.33),(22 20001.967),(23 20174.06),(24 19998.607),(25 19817.77),(26 19794.338),(27 19684.717),(28 19743.32),(29 19791.2),(30 19803.355),(31 19676.113),(32 19589.686),(33 19916.137),(34 19733.596),(35 19416.756),(36 19294.52),(37 19157.346),(38 19283.932),(39 19465.053),(40 19535.672),(41 19496.475),(42 19767.889),(43 19911.691),(44 19474.678),(45 19360.16),(46 19242.885),(47 19454.723),(48 19573.793),(49 19551.105),(50 19671.156),(51 19728.803),(52 19784.018),(53 19556.16),(54 19933.605),(55 20055.107),(56 19938.879),(57 20509.99),(58 20574.387),(59 20962.768),(60 21118.844),(61 21129.072),(62 21836.053),(63 21638.166),(64 21716.51),(65 21766.355),(66 21796.71),(67 22669.734),(68 22386.545),(69 22285.28),(70 21948.193),(71 21892.137),(72 22195.818),(73 21930.54),(74 22365.03),(75 22320.947),(76 22009.496),(77 21716.09),(78 21720.895),(79 22038.105),
