1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 16976.86),(2 48199.426),(3 103301.01),(4 175946.2),(5 263417.66),(6 356685.88),(7 466247.34),(8 578960.3),(9 689817.8),(10 812575.2),(11 945341.8),(12 1072582.5),(13 1210169.3),(14 1345573.4),(15 1475382.6),(16 1618214),(17 1753204.1),(18 1890085.6),(19 2028935.1),(20 2166588.3),(21 2304202.3),(22 2461697.3),(23 2613137.8),(24 2727223.5),(25 2837892.8),(26 2942739),(27 3050944),(28 3165651.3),(29 3319793.8),(30 3496913.8),(31 3699431.3),(32 3898848.8),(33 4113298.8),(34 4364228.5),(35 4577207.5),(36 4809040.5),(37 5025696),(38 5215447.5),(39 5390700),(40 5592340),(41 5805405.5),(42 6038340),(43 6301864.5),(44 6534268),(45 6807960.5),(46 7099018.5),(47 7376568.5),(48 7668364),(49 7925959.5),(50 8152321.5),(51 8344034),(52 8579591),(53 8774004),(54 8956590),(55 9087989),(56 9233059),(57 9400851),(58 9545967),(59 9709696),(60 9954761),(61 10112227),(62 10291274),(63 10478531),(64 10619887),(65 10733151),(66 10906953),(67 11015433),(68 11134681),(69 11265715),(70 11451436),(71 11640116),(72 11894612),(73 12098421),(74 12350259),(75 12563971),(76 12780661),(77 13019492),(78 13367236),(79 13580253),
(1 13729.159),(2 45302.207),(3 100507.54),(4 166330.84),(5 243146.16),(6 326187.94),(7 417821.16),(8 512808.9),(9 618166),(10 730197),(11 846501.1),(12 984459.5),(13 1121629.8),(14 1260177.8),(15 1406391.1),(16 1558986.4),(17 1704583.3),(18 1845126.8),(19 1984098.8),(20 2122235.3),(21 2261093.5),(22 2407705.3),(23 2558503.5),(24 2691470.5),(25 2833039.3),(26 2978858),(27 3131235.5),(28 3290090.5),(29 3452121.5),(30 3623624.5),(31 3812736),(32 3997214.8),(33 4192235.3),(34 4398279),(35 4595749.5),(36 4784493.5),(37 4957745.5),(38 5119574.5),(39 5278851),(40 5461127),(41 5642119.5),(42 5830528.5),(43 6025586.5),(44 6211654.5),(45 6419717),(46 6634042.5),(47 6847013),(48 7039269),(49 7224545),(50 7398536),(51 7570600),(52 7753423),(53 7924847),(54 8075756),(55 8185261),(56 8319581),(57 8460109),(58 8592837),(59 8752028),(60 8927246),(61 9076878),(62 9219335),(63 9364995),(64 9486086),(65 9589096),(66 9709401),(67 9801520),(68 9880965),(69 9988838),(70 10091189),(71 10215738),(72 10343555),(73 10450710),(74 10561559),(75 10653562),(76 10767136),(77 10885794),(78 11079765),(79 11198171),
(1 16964.727),(2 55802.24),(3 125604.664),(4 205720.5),(5 301526.34),(6 410132.16),(7 532911.4),(8 665371.4),(9 813569.2),(10 969576.06),(11 1151441.1),(12 1364702.4),(13 1587235),(14 1826561),(15 2078732),(16 2357528.3),(17 2626542.3),(18 2913812.8),(19 3191648.8),(20 3490770),(21 3814268),(22 4150143),(23 4496550),(24 4824557.5),(25 5175691.5),(26 5528308),(27 5903906.5),(28 6299717.5),(29 6699353.5),(30 7092380.5),(31 7496518.5),(32 7895276),(33 8277264),(34 8668836),(35 9088076),(36 9499521),(37 9876601),(38 10237197),(39 10601769),(40 10997273),(41 11368704),(42 11750109),(43 12134600),(44 12529159),(45 12936533),(46 13324848),(47 13712252),(48 14058685),(49 14396109),(50 14699877),(51 15004688),(52 15292477),(53 15665249),(54 15987609),(55 16293667),(56 16576443),(57 16852822),(58 17132586),(59 17410976),(60 17684924),(61 17896178),(62 18130982),(63 18347266),(64 18549966),(65 18713020),(66 18884704),(67 19057150),(68 19209022),(69 19355002),(70 19487048),(71 19592448),(72 19762952),(73 19957922),(74 20124846),(75 20267894),(76 20404118),(77 20516434),(78 20602382),(79 20656224),
(1 18344.002),(2 63092.516),(3 143897.69),(4 239162.81),(5 353830.13),(6 488660.66),(7 640852.25),(8 811892.1),(9 1000397.1),(10 1207926.5),(11 1443670),(12 1706126.3),(13 1992935.4),(14 2277560.5),(15 2579841.5),(16 2891617.8),(17 3191513.3),(18 3500048.5),(19 3804460),(20 4117288),(21 4439589.5),(22 4776356),(23 5093735),(24 5395167.5),(25 5725672),(26 6047322.5),(27 6385419.5),(28 6721392),(29 7045870.5),(30 7371960),(31 7695571.5),(32 8010149.5),(33 8305164.5),(34 8590230),(35 8888233),(36 9172666),(37 9429392),(38 9704051),(39 9991428),(40 10263886),(41 10537980),(42 10800103),(43 11074034),(44 11356784),(45 11637354),(46 11903452),(47 12186299),(48 12438452),(49 12689684),(50 12935513),(51 13183166),(52 13423394),(53 13746129),(54 13999590),(55 14288340),(56 14555727),(57 14872798),(58 15164572),(59 15467947),(60 15771740),(61 16115684),(62 16457998),(63 16810840),(64 17182304),(65 17562056),(66 17936536),(67 18332412),(68 18689550),(69 19070926),(70 19429766),(71 19771816),(72 20128096),(73 20501000),(74 20815182),(75 21181018),(76 21488394),(77 21809154),(78 22174532),(79 22454844),
(1 18469.063),(2 62908.285),(3 138943.73),(4 233418.56),(5 350068.3),(6 485247.47),(7 640889.75),(8 812496.8),(9 1003430.75),(10 1211228.5),(11 1447447.1),(12 1721165.9),(13 2010494.9),(14 2312268.8),(15 2624617.5),(16 2939267),(17 3240542.5),(18 3557339),(19 3858302.3),(20 4183299),(21 4504076.5),(22 4831562),(23 5154342),(24 5451036.5),(25 5748580.5),(26 6032215.5),(27 6315559.5),(28 6567638.5),(29 6822488),(30 7061012.5),(31 7288710),(32 7506046),(33 7702155.5),(34 7897911.5),(35 8091278.5),(36 8287057.5),(37 8455693),(38 8656089),(39 8875457),(40 9088108),(41 9310479),(42 9512049),(43 9724475),(44 9928513),(45 10139950),(46 10327818),(47 10536822),(48 10723923),(49 10915263),(50 11089594),(51 11255994),(52 11418649),(53 11606575),(54 11776842),(55 11936857),(56 12103892),(57 12270873),(58 12440074),(59 12621664),(60 12794412),(61 12986735),(62 13172375),(63 13350144),(64 13526073),(65 13709187),(66 13906089),(67 14083286),(68 14243060),(69 14410967),(70 14572076),(71 14724831),(72 14901119),(73 15091127),(74 15274975),(75 15480515),(76 15677335),(77 15860641),(78 16075836),(79 16252698),
(1 18364.066),(2 63246.477),(3 131759.48),(4 214371.84),(5 312598.06),(6 417172.47),(7 533658.8),(8 652280.6),(9 775044.1),(10 903533.3),(11 1045891.2),(12 1202081.3),(13 1368926.4),(14 1546115.8),(15 1725400),(16 1919435.6),(17 2095952.8),(18 2285491.5),(19 2463337.8),(20 2641907.3),(21 2817395.5),(22 2995519.3),(23 3162883.3),(24 3311294.3),(25 3444225.5),(26 3564623.3),(27 3686070.5),(28 3785918.5),(29 3891100.5),(30 3985276),(31 4070669.5),(32 4156307.3),(33 4218010),(34 4296358.5),(35 4385450.5),(36 4475537),(37 4553146),(38 4636203.5),(39 4730145.5),(40 4801389.5),(41 4873817),(42 4936259),(43 5001799),(44 5098229),(45 5207809),(46 5302495),(47 5392145),(48 5455003),(49 5524310.5),(50 5595364),(51 5663548),(52 5739069),(53 5839056),(54 5949825),(55 6074702),(56 6211025.5),(57 6342502),(58 6493832.5),(59 6641142),(60 6798209),(61 6943641),(62 7095641),(63 7225985.5),(64 7370037),(65 7508585.5),(66 7653785.5),(67 7791241),(68 7915321),(69 8082309),(70 8235113.5),(71 8390242),(72 8567663),(73 8738979),(74 8928231),(75 9134602),(76 9342013),(77 9580368),(78 9832795),(79 10062674),
(1 15989.03),(2 53742.258),(3 114123.266),(4 185460.02),(5 268367.34),(6 366358),(7 474144.03),(8 591298.75),(9 714916.25),(10 840344.6),(11 982457.1),(12 1143506.5),(13 1316372.6),(14 1495596.6),(15 1683980.3),(16 1874700.1),(17 2056449.4),(18 2241374.5),(19 2423306.5),(20 2612465.5),(21 2801477.8),(22 2982226.3),(23 3155414.3),(24 3299851),(25 3432509.3),(26 3547654.3),(27 3644824.5),(28 3728042.5),(29 3783938.5),(30 3818033.5),(31 3843402.3),(32 3859069),(33 3870228),(34 3877600.5),(35 3900921.8),(36 3923771),(37 3953079.5),(38 3991685),(39 4034841),(40 4077002.5),(41 4124866.3),(42 4178547.8),(43 4219744),(44 4277358),(45 4344886),(46 4407328.5),(47 4475612.5),(48 4540152),(49 4607622),(50 4678961),(51 4751626),(52 4833181),(53 4946901.5),(54 5052537),(55 5171342),(56 5275273),(57 5378114),(58 5481298),(59 5564699.5),(60 5647444.5),(61 5703490.5),(62 5755568),(63 5807141),(64 5836198),(65 5870179),(66 5894328.5),(67 5914201),(68 5940034.5),(69 5970947.5),(70 6000795),(71 6026450.5),(72 6043271.5),(73 6068760.5),(74 6083819.5),(75 6085061),(76 6079424.5),(77 6073920.5),(78 6050299.5),(79 6031148.5),
(1 16549.564),(2 56556.96),(3 122408.414),(4 198099.95),(5 286392.3),(6 384731.44),(7 494568.22),(8 605541.25),(9 720527.7),(10 835851.2),(11 961524.25),(12 1097282.1),(13 1241944.5),(14 1388924.8),(15 1535312.4),(16 1685795.5),(17 1834914.4),(18 1977940.6),(19 2112695.8),(20 2248038.3),(21 2372980.5),(22 2484615.3),(23 2585115),(24 2664021.8),(25 2732629),(26 2789948.8),(27 2841920.5),(28 2887241.3),(29 2915149.3),(30 2937616.5),(31 2951627.3),(32 2963931.5),(33 2973352.3),(34 2985373.5),(35 2993388),(36 3010926.8),(37 3028479.8),(38 3051392.5),(39 3081871.5),(40 3116199.5),(41 3161265.3),(42 3209884.3),(43 3261706.8),(44 3326152.8),(45 3396756.3),(46 3467425.3),(47 3541339),(48 3614905.3),(49 3680179.8),(50 3741586.3),(51 3808031),(52 3875867.3),(53 3946603.3),(54 3997238.3),(55 4055089.8),(56 4114915),(57 4174995.3),(58 4235691.5),(59 4286581.5),(60 4334569),(61 4371861.5),(62 4409426),(63 4450228.5),(64 4484114.5),(65 4522007),(66 4562687),(67 4593378),(68 4629920.5),(69 4665754),(70 4702040),(71 4732023),(72 4755787),(73 4780846.5),(74 4799328.5),(75 4824803.5),(76 4843707.5),(77 4878644.5),(78 4923891),(79 4961175.5),
(1 15324.661),(2 51399.887),(3 107768.4),(4 174755.19),(5 251618.13),(6 337694.66),(7 430679.97),(8 528550),(9 631189.5),(10 738213.9),(11 848556.3),(12 966636.1),(13 1091511),(14 1217551.6),(15 1343032.3),(16 1468103.3),(17 1593355.8),(18 1717019.8),(19 1837278.1),(20 1950873),(21 2058765),(22 2161262),(23 2248998),(24 2315855.5),(25 2361681),(26 2397131.3),(27 2423887.8),(28 2441234.8),(29 2450547.3),(30 2463192.5),(31 2466038),(32 2468916.3),(33 2467615),(34 2477772.3),(35 2487413),(36 2502868.8),(37 2520340.3),(38 2530780.3),(39 2546458.5),(40 2558038.3),(41 2574998.3),(42 2593001),(43 2616868.8),(44 2638103.3),(45 2666195.8),(46 2699531.8),(47 2741537),(48 2778698.8),(49 2821727.8),(50 2858294.8),(51 2890789.5),(52 2917406.3),(53 2933286.8),(54 2947672.5),(55 2957887.8),(56 2966356.5),(57 2972885.3),(58 2966938),(59 2966379.5),(60 2972433),(61 2980238),(62 2993685.3),(63 3008962),(64 3022729),(65 3035037.8),(66 3054630),(67 3073344),(68 3088489.8),(69 3110274),(70 3120608),(71 3132532.8),(72 3142284.8),(73 3144066.3),(74 3161641),(75 3179834.3),(76 3211271.8),(77 3254894.3),(78 3304059.3),(79 3352903),
(1 14306.598),(2 49076.305),(3 105725.58),(4 173121.03),(5 248334.67),(6 331138.4),(7 418539.63),(8 507053),(9 599721.2),(10 694338.75),(11 788195),(12 878178.5),(13 971717.56),(14 1058209.8),(15 1146248.5),(16 1230224.6),(17 1319789.8),(18 1412119.5),(19 1509293.6),(20 1607281.8),(21 1714664.5),(22 1821806),(23 1921762.3),(24 2005120.3),(25 2071380.3),(26 2127937.3),(27 2173139.5),(28 2213709),(29 2243734),(30 2269407),(31 2297471),(32 2327532.5),(33 2356135.5),(34 2389583.3),(35 2424987.8),(36 2466864),(37 2505885),(38 2541333),(39 2573970.8),(40 2611578.5),(41 2647857.8),(42 2682137.8),(43 2717401.8),(44 2751884.5),(45 2793563),(46 2835005),(47 2875720.5),(48 2918033.3),(49 2964523),(50 3019268.5),(51 3077117),(52 3141987),(53 3203811),(54 3276401),(55 3336654),(56 3400831.3),(57 3466682.3),(58 3525888),(59 3577662.3),(60 3634949.5),(61 3683109),(62 3717501.5),(63 3752125.3),(64 3772768),(65 3771646.8),(66 3775479),(67 3768213.3),(68 3755464.5),(69 3748193.8),(70 3731193),(71 3723083.3),(72 3695975.3),(73 3662360.8),(74 3632753.8),(75 3597769),(76 3570641.8),(77 3552176.3),(78 3528473.8),(79 3505078.3),
(1 15877.077),(2 52778.656),(3 112037.62),(4 182236.7),(5 260910.17),(6 346272.6),(7 435568.25),(8 530829.9),(9 626292.7),(10 722614.8),(11 815458),(12 907282.8),(13 995605.2),(14 1071623),(15 1146101.1),(16 1212051.8),(17 1273649.6),(18 1334351.3),(19 1392243.8),(20 1449834.6),(21 1510649.4),(22 1564716.8),(23 1611064.3),(24 1651136.3),(25 1687186.3),(26 1713495.8),(27 1749469.9),(28 1795859.3),(29 1837206.4),(30 1884506.1),(31 1944705),(32 2009411.5),(33 2081266.4),(34 2154768.5),(35 2239656),(36 2322927.8),(37 2402078),(38 2489538),(39 2569642.8),(40 2651802),(41 2731714),(42 2808943.8),(43 2888660.5),(44 2970250.3),(45 3059225.3),(46 3130006.3),(47 3211954),(48 3286842.5),(49 3354254),(50 3420117.8),(51 3487996.5),(52 3557901.3),(53 3646836.3),(54 3717288.5),(55 3791233.8),(56 3865712.8),(57 3942870),(58 4019867.8),(59 4084780.3),(60 4142306.8),(61 4185635.8),(62 4218646),(63 4237684),(64 4247040),(65 4239918),(66 4221717.5),(67 4199994.5),(68 4172660.8),(69 4135051.8),(70 4098403.3),(71 4059328),(72 4006008.5),(73 3948254),(74 3880429.3),(75 3802514.3),(76 3734801.3),(77 3677112.5),(78 3626598),(79 3578014.5),
