1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 270664.03),(2 738242.8),(3 1348532.8),(4 2294563),(5 3278420.3),(6 4309887.5),(7 5579373.5),(8 6827821.5),(9 7984394),(10 9320076),(11 10444145),(12 11336725),(13 12244061),(14 13089096),(15 13683904),(16 14314127),(17 14714225),(18 14896789),(19 15224429),(20 15545944),(21 15754236),(22 16046901),(23 16273661),(24 16409971),(25 16706407),(26 16941894),(27 17074938),(28 17438720),(29 17831010),(30 18172250),(31 18686222),(32 19286886),(33 19913758),(34 20730070),(35 21557910),(36 22188306),(37 22868864),(38 23574586),(39 24290390),(40 25425190),(41 26616478),(42 27746218),(43 29119336),(44 30460842),(45 31700696),(46 33019702),(47 34369468),(48 35708100),(49 37228444),(50 38979690),(51 40810604),(52 42871120),(53 44863060),(54 46628724),(55 48762868),(56 50624516),(57 52090340),(58 53774516),(59 55407600),(60 56912324),(61 58590160),(62 60135164),(63 61526796),(64 63061984),(65 64690324),(66 66261868),(67 68112700),(68 70046000),(69 71907270),(70 73462520),(71 75062184),(72 76322780),(73 77562936),(74 78887270),(75 80488110),(76 82076550),(77 83921450),(78 85797730),(79 87702216),
(1 262478.72),(2 815609.9),(3 1631437.1),(4 2809631.5),(5 4169378.8),(6 5657936),(7 7418925.5),(8 9288477),(9 11182769),(10 13255312),(11 15411322),(12 17556804),(13 19809252),(14 22208378),(15 24661888),(16 27213098),(17 29651280),(18 32088640),(19 34533410),(20 36986320),(21 39500404),(22 42048772),(23 44512990),(24 46964230),(25 49366200),(26 51646184),(27 53862996),(28 55914740),(29 57863060),(30 59710196),(31 61567230),(32 63102036),(33 64541910),(34 66030136),(35 67432536),(36 68498856),(37 69628040),(38 70291864),(39 70690920),(40 71025950),(41 71141780),(42 70907800),(43 70729496),(44 70271590),(45 69664800),(46 69187560),(47 68619240),(48 68072720),(49 67946380),(50 67797910),(51 67853850),(52 68238620),(53 68758050),(54 69452744),(55 70490050),(56 71334340),(57 72633176),(58 73903064),(59 75075390),(60 76416440),(61 78112630),(62 79623180),(63 81326030),(64 83326824),(65 85315930),(66 87522024),(67 90046040),(68 92282270),(69 94527496),(70 96547760),(71 97958350),(72 99144810),(73 100155976),(74 100831680),(75 101222420),(76 101382670),(77 101171440),(78 100695816),(79 100263320),
(1 279075.03),(2 958598.56),(3 2052042.6),(4 3585181.3),(5 5374017.5),(6 7451136),(7 9926418),(8 12599159),(9 15587104),(10 18852382),(11 22306282),(12 26018960),(13 29967094),(14 33922164),(15 37948476),(16 42233772),(17 46641376),(18 51227984),(19 56163104),(20 61112948),(21 66274590),(22 71508184),(23 76662824),(24 81674780),(25 86857640),(26 91806104),(27 96637320),(28 101374570),(29 106069224),(30 110371976),(31 114469890),(32 118095850),(33 121583740),(34 124929240),(35 128394370),(36 131788664),(37 135175920),(38 138255820),(39 141127800),(40 143745380),(41 146096770),(42 148036300),(43 149825360),(44 151367230),(45 152742290),(46 153579260),(47 154036460),(48 154371060),(49 154431820),(50 154273120),(51 154234850),(52 154354930),(53 154880320),(54 155650620),(55 156695440),(56 157819260),(57 159222130),(58 160078930),(59 161060420),(60 161895940),(61 162457150),(62 162595700),(63 162519630),(64 162250050),(65 161550610),(66 160466480),(67 159525630),(68 158279980),(69 157028850),(70 155804500),(71 154066540),(72 152137730),(73 150285380),(74 147904770),(75 145060690),(76 142074640),(77 138576540),(78 134778460),(79 131167784),
(1 212211.97),(2 756648.44),(3 1587131.4),(4 2686680.5),(5 3997665.3),(6 5496814.5),(7 7201988),(8 9055629),(9 11057757),(10 13130852),(11 15290226),(12 17509142),(13 19753784),(14 21981430),(15 24176188),(16 26435868),(17 28770898),(18 31176938),(19 33709584),(20 36277612),(21 38877920),(22 41488556),(23 44095950),(24 46697280),(25 49373156),(26 52056000),(27 54780652),(28 57497130),(29 60264210),(30 63002348),(31 65798500),(32 68535816),(33 71299040),(34 74193540),(35 77472640),(36 80794750),(37 84447656),(38 88259720),(39 92125810),(40 95891720),(41 99467210),(42 102716056),(43 105933340),(44 108981250),(45 111872310),(46 114356696),(47 116362480),(48 117947370),(49 119208376),(50 120033370),(51 120431200),(52 120540510),(53 120543200),(54 120316216),(55 119802750),(56 119145790),(57 118431740),(58 117209240),(59 116014650),(60 114532270),(61 112895304),(62 111204136),(63 109647330),(64 108225280),(65 106834856),(66 105474616),(67 104214650),(68 103124600),(69 102389030),(70 101727020),(71 101175064),(72 100886230),(73 100743380),(74 100751970),(75 100715100),(76 100452936),(77 100091610),(78 99574940),(79 99030750),
(1 275983.88),(2 1024079.6),(3 2180593.5),(4 3779252.8),(5 5732036.5),(6 7992852.5),(7 10628001),(8 13469073),(9 16528163),(10 19809130),(11 23074224),(12 26309794),(13 29548762),(14 32620968),(15 35534980),(16 38354228),(17 40984880),(18 43401304),(19 45718510),(20 47882450),(21 49901884),(22 51778710),(23 53374684),(24 54785816),(25 55953680),(26 56877092),(27 57634228),(28 58400384),(29 59106884),(30 59648176),(31 60232380),(32 60852056),(33 61517990),(34 62176024),(35 62897180),(36 63833444),(37 64979750),(38 66283670),(39 67814584),(40 69544990),(41 71371656),(42 73311430),(43 75345080),(44 77318170),(45 79254140),(46 80977930),(47 82443640),(48 83734600),(49 84915920),(50 85872010),(51 86622024),(52 87202440),(53 87530744),(54 87617540),(55 87550216),(56 87307780),(57 87015656),(58 86503096),(59 85959140),(60 85381760),(61 84800080),(62 84175624),(63 83679816),(64 83422184),(65 83365880),(66 83492960),(67 83902820),(68 84479850),(69 85212936),(70 86015620),(71 86574904),(72 87143544),(73 87715560),(74 88214040),(75 88556984),(76 88690450),(77 88780740),(78 88691470),(79 88563064),
(1 369126),(2 1420546.6),(3 3064823.5),(4 5317232),(5 8062161.5),(6 11165665),(7 14591363),(8 18294436),(9 22193728),(10 26120452),(11 30163110),(12 34308104),(13 38439812),(14 42579220),(15 46647770),(16 50616836),(17 54550790),(18 58241100),(19 61705890),(20 64987736),(21 67902050),(22 70271690),(23 72311680),(24 73899720),(25 75023320),(26 75796760),(27 76235864),(28 76381670),(29 76616850),(30 76464110),(31 76088130),(32 75590664),(33 74898550),(34 73941550),(35 73103220),(36 72244110),(37 71180344),(38 69915730),(39 68606456),(40 67182880),(41 65775130),(42 64395960),(43 63095860),(44 61897216),(45 60967210),(46 60194956),(47 59601804),(48 59291770),(49 59292844),(50 59555284),(51 60085676),(52 60743384),(53 61572950),(54 62556224),(55 63547924),(56 64537304),(57 65587660),(58 66325652),(59 66892340),(60 67182260),(61 67203880),(62 66977292),(63 66567244),(64 66006200),(65 65361960),(66 64624216),(67 63840216),(68 63027264),(69 62175144),(70 61300810),(71 60492748),(72 59736360),(73 59035110),(74 58429300),(75 57861210),(76 57397760),(77 57079604),(78 57052350),(79 57372076),
(1 330524.28),(2 1233180.6),(3 2625059),(4 4488759),(5 6627729),(6 8956898),(7 11477697),(8 14039126),(9 16595088),(10 19127878),(11 21626764),(12 24117346),(13 26581046),(14 28882366),(15 30967602),(16 33022314),(17 34921372),(18 36605304),(19 38156456),(20 39520856),(21 40678550),(22 41649092),(23 42507948),(24 43285830),(25 43964372),(26 44574784),(27 45136316),(28 45555204),(29 45917824),(30 46151176),(31 46283944),(32 46405356),(33 46507036),(34 46541916),(35 46609812),(36 46719384),(37 46802170),(38 46780230),(39 46683064),(40 46551252),(41 46454230),(42 46399064),(43 46301764),(44 46216216),(45 46138344),(46 46016860),(47 45963784),(48 45852680),(49 45822904),(50 45879790),(51 46031050),(52 46223836),(53 46506236),(54 46697300),(55 46882350),(56 47054936),(57 47369210),(58 47560516),(59 47913230),(60 48318224),(61 48738756),(62 49184532),(63 49679212),(64 50257748),(65 50932264),(66 51602650),(67 52249148),(68 52917412),(69 53518356),(70 54196944),(71 54841428),(72 55367016),(73 55858110),(74 56245356),(75 56479560),(76 56605456),(77 56704264),(78 56626908),(79 56444444),
(1 314429.2),(2 1207508),(3 2623796.8),(4 4466001),(5 6640881),(6 9057218),(7 11662319),(8 14390367),(9 17206600),(10 19953276),(11 22684392),(12 25409942),(13 28086726),(14 30648572),(15 32959386),(16 35151836),(17 37163452),(18 38886372),(19 40377548),(20 41616332),(21 42607228),(22 43433508),(23 44113650),(24 44676456),(25 45167564),(26 45618030),(27 45979944),(28 46297160),(29 46586460),(30 46904436),(31 47379196),(32 47970804),(33 48621890),(34 49326090),(35 50008100),(36 50576150),(37 51095492),(38 51393748),(39 51546388),(40 51541904),(41 51500216),(42 51395276),(43 51284884),(44 51232292),(45 51169196),(46 51062492),(47 50976188),(48 50823836),(49 50692710),(50 50585016),(51 50479012),(52 50373380),(53 50305516),(54 50204716),(55 50304476),(56 50450772),(57 50730790),(58 50963730),(59 51220780),(60 51371136),(61 51511900),(62 51605292),(63 51597988),(64 51594308),(65 51642908),(66 51625908),(67 51646336),(68 51697220),(69 51613640),(70 51468716),(71 51338700),(72 51025884),(73 50659830),(74 50317330),(75 49935004),(76 49419388),(77 48924900),(78 48353148),(79 47771110),
(1 294695.47),(2 1163273),(3 2542845),(4 4330945.5),(5 6477981),(6 8902558),(7 11540390),(8 14287944),(9 17022908),(10 19628100),(11 22057552),(12 24255536),(13 26216266),(14 27830698),(15 29069614),(16 30063648),(17 30740040),(18 31050902),(19 31047884),(20 30780838),(21 30284954),(22 29667438),(23 29000828),(24 28278640),(25 27613504),(26 26969720),(27 26380228),(28 25928200),(29 25540676),(30 25283280),(31 25148694),(32 25138570),(33 25226238),(34 25388202),(35 25660016),(36 25965394),(37 26243926),(38 26357000),(39 26452544),(40 26570178),(41 26538826),(42 26381732),(43 26194938),(44 25996784),(45 25770372),(46 25559082),(47 25474444),(48 25456300),(49 25551514),(50 25794658),(51 26171260),(52 26628624),(53 27204028),(54 27833972),(55 28487160),(56 29172304),(57 30001720),(58 30796342),(59 31554022),(60 32220966),(61 32794044),(62 33157598),(63 33426448),(64 33578916),(65 33558004),(66 33507622),(67 33433238),(68 33231992),(69 33008308),(70 32860646),(71 32569962),(72 32292178),(73 32053248),(74 31886994),(75 31796958),(76 31754390),(77 31854712),(78 32069328),(79 32306086),
(1 321117.06),(2 1242698),(3 2678574),(4 4526521.5),(5 6714588.5),(6 9162516),(7 11751425),(8 14462121),(9 17222172),(10 19909736),(11 22552406),(12 25038820),(13 27356658),(14 29476390),(15 31289856),(16 32792974),(17 33973256),(18 34808520),(19 35253536),(20 35376590),(21 35309228),(22 35132260),(23 34914490),(24 34646920),(25 34329172),(26 33890796),(27 33338030),(28 32771256),(29 32115314),(30 31446040),(31 30821006),(32 30196324),(33 29640758),(34 29177720),(35 28853268),(36 28662286),(37 28563588),(38 28485518),(39 28518530),(40 28745386),(41 29163422),(42 29755536),(43 30566524),(44 31614072),(45 32904182),(46 34299220),(47 35896400),(48 37541868),(49 39186050),(50 40741988),(51 42114304),(52 43159780),(53 43936710),(54 44371336),(55 44422010),(56 44062036),(57 43438948),(58 42460868),(59 41210490),(60 39745330),(61 38163520),(62 36535028),(63 35051460),(64 33780950),(65 32654282),(66 31715954),(67 31018472),(68 30433170),(69 30021582),(70 29889344),(71 29839178),(72 29967260),(73 30311054),(74 30695286),(75 31099368),(76 31520086),(77 31917504),(78 32137784),(79 32214702),
(1 252821.6),(2 963594.5),(3 2031777),(4 3415221.8),(5 5008669),(6 6684395.5),(7 8410163),(8 10169702),(9 11917025),(10 13615896),(11 15337867),(12 17073536),(13 18748192),(14 20343996),(15 21843184),(16 23231506),(17 24498906),(18 25671740),(19 26796354),(20 27872358),(21 28959024),(22 29969950),(23 30926776),(24 31773846),(25 32563478),(26 33248076),(27 33766956),(28 34141144),(29 34406356),(30 34590170),(31 34679028),(32 34797628),(33 35013300),(34 35248720),(35 35535828),(36 35928372),(37 36341804),(38 36643344),(39 36990390),(40 37460020),(41 37900570),(42 38287556),(43 38650896),(44 38872176),(45 39021364),(46 39118230),(47 39109444),(48 38936550),(49 38704732),(50 38445290),(51 38070436),(52 37535924),(53 36939276),(54 36120740),(55 35191510),(56 34152456),(57 32973900),(58 31801126),(59 30741704),(60 29873784),(61 29231862),(62 28802960),(63 28534588),(64 28349974),(65 28205632),(66 28043918),(67 27879628),(68 27677836),(69 27477766),(70 27408990),(71 27384708),(72 27435400),(73 27552974),(74 27745228),(75 27933454),(76 28017950),(77 28112424),(78 28267920),(79 28455046),
