1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 414175.28),(2 703427.8),(3 819260.06),(4 1727127.6),(5 2440031.3),(6 3004833.3),(7 4233428),(8 5301897),(9 5947813.5),(10 7328056),(11 8453221),(12 9276847),(13 10827565),(14 11964139),(15 12757559),(16 14185660),(17 15285469),(18 16041823),(19 17484674),(20 18628750),(21 19324370),(22 20625606),(23 21770842),(24 22516566),(25 23831446),(26 25126538),(27 25943944),(28 27014448),(29 27993392),(30 28378536),(31 29238138),(32 30134896),(33 30701386),(34 31713890),(35 32810406),(36 33744684),(37 35102236),(38 36364830),(39 37351360),(40 38665420),(41 39672320),(42 40313396),(43 41391892),(44 42423892),(45 42870190),(46 43694332),(47 44634492),(48 44869412),(49 45514124),(50 46340830),(51 46431276),(52 46945812),(53 47732956),(54 47366016),(55 47520180),(56 47987852),(57 47462812),(58 47581524),(59 48149628),(60 47776896),(61 48176224),(62 49209250),(63 49390996),(64 50471044),(65 52078944),(66 52757120),(67 54296640),(68 56144764),(69 57088864),(70 58756468),(71 60717644),(72 61797740),(73 63418210),(74 65306750),(75 66342108),(76 67943976),(77 69883224),(78 70976220),(79 72441176),
(1 356234.5),(2 684960.94),(3 943786.4),(4 1819848.4),(5 2629622.5),(6 3307621.5),(7 4486640),(8 5669805.5),(9 6433878.5),(10 7712777),(11 8936934),(12 9761597),(13 11096218),(14 12282659),(15 13030888),(16 14266147),(17 15365814),(18 16005606),(19 17313974),(20 18496166),(21 19219696),(22 20572660),(23 21983652),(24 22783826),(25 24285944),(26 25913616),(27 26977754),(28 28388052),(29 29677786),(30 30107046),(31 30949316),(32 31928076),(33 32272064),(34 33037350),(35 33949850),(36 34278644),(37 35059764),(38 36219076),(39 36535830),(40 37263560),(41 38329056),(42 38853216),(43 39823020),(44 41110900),(45 41660384),(46 42746376),(47 43986068),(48 44226724),(49 44956384),(50 45774188),(51 45663484),(52 46111268),(53 47080224),(54 46626616),(55 46882484),(56 47509188),(57 47108428),(58 47301976),(59 47889130),(60 47384800),(61 47814630),(62 48777960),(63 48639210),(64 49275456),(65 50454104),(66 50304464),(67 50786796),(68 51937784),(69 51876870),(70 52489624),(71 53807040),(72 53979770),(73 54621044),(74 55702570),(75 55655590),(76 56227732),(77 57495870),(78 57946624),(79 58962264),
(1 265176),(2 647103.25),(3 1119593.6),(4 2034610.1),(5 2963980),(6 3875270.8),(7 5197092),(8 6521924.5),(9 7704630.5),(10 9286679),(11 10765581),(12 12048856),(13 13781147),(14 15374032),(15 16776136),(16 18538794),(17 20183864),(18 21694798),(19 23605000),(20 25469250),(21 27256656),(22 29515350),(23 31597846),(24 33545694),(25 35913564),(26 38203292),(27 40381444),(28 42813290),(29 45072836),(30 47102080),(31 49466370),(32 51816290),(33 54050628),(34 56501300),(35 58828084),(36 60845324),(37 63050016),(38 65253070),(39 66936416),(40 68741750),(41 70449384),(42 71975336),(43 73664664),(44 75341176),(45 76869530),(46 78657490),(47 80326136),(48 81610616),(49 83005610),(50 84174776),(51 85052616),(52 85998220),(53 86848830),(54 87045060),(55 87333290),(56 87494690),(57 87451380),(58 87608200),(59 87788580),(60 87699720),(61 87889880),(62 88307520),(63 88353170),(64 88587850),(65 89082910),(66 89101850),(67 89298650),(68 89790340),(69 89947070),(70 90507064),(71 91396160),(72 91582270),(73 91870950),(74 92489770),(75 92799490),(76 93447870),(77 94462120),(78 95223850),(79 96297416),
(1 183455),(2 625882.8),(3 1306345.8),(4 2237413),(5 3349850.8),(6 4666036.5),(7 6199952.5),(8 7954133.5),(9 9857337),(10 11915490),(11 14127289),(12 16566542),(13 19271816),(14 22114216),(15 25095228),(16 28237774),(17 31499342),(18 34965510),(19 38679316),(20 42544120),(21 46637630),(22 50888444),(23 55219910),(24 59588336),(25 64254344),(26 69047384),(27 73938350),(28 78799960),(29 83698830),(30 88549960),(31 93456700),(32 98353740),(33 103014240),(34 107606056),(35 112235784),(36 116593580),(37 120823680),(38 125152344),(39 128675360),(40 131929270),(41 135173180),(42 137868320),(43 140301360),(44 142634460),(45 144518400),(46 146293730),(47 148005920),(48 149010240),(49 149735740),(50 150360500),(51 150445520),(52 150412830),(53 150643120),(54 150426080),(55 150001660),(56 149521580),(57 148735360),(58 147773840),(59 146875170),(60 145735540),(61 144539100),(62 143267380),(63 141683420),(64 140098740),(65 138641470),(66 136950860),(67 135290320),(68 133684510),(69 131873590),(70 130190776),(71 128786180),(72 127215460),(73 125595870),(74 123988740),(75 122095016),(76 120228220),(77 118518056),(78 116668940),(79 114891360),
(1 220588.05),(2 788149.8),(3 1637559.9),(4 2803953.8),(5 4203235.5),(6 5764377),(7 7545955.5),(8 9541671),(9 11631451),(10 13943471),(11 16431095),(12 18960696),(13 21629184),(14 24377080),(15 27214568),(16 30215124),(17 33263226),(18 36380076),(19 39701372),(20 42935464),(21 46024816),(22 48912490),(23 51640210),(24 54068852),(25 56522148),(26 58935460),(27 61084612),(28 63102696),(29 65073216),(30 66853056),(31 68459490),(32 69834830),(33 70959530),(34 71818960),(35 72639950),(36 73233290),(37 73695460),(38 74124320),(39 74284170),(40 74293280),(41 74312696),(42 74073310),(43 73857210),(44 73677840),(45 73455960),(46 73432520),(47 73496870),(48 73545930),(49 73782210),(50 74149624),(51 74540830),(52 75178700),(53 76066296),(54 76985050),(55 77966540),(56 79124220),(57 80389240),(58 81740040),(59 83214664),(60 84741280),(61 86228750),(62 87657110),(63 89037620),(64 90357840),(65 91749224),(66 93012536),(67 94310910),(68 95576504),(69 96821680),(70 98174800),(71 99533800),(72 100922880),(73 102259970),(74 103486050),(75 104550860),(76 105530296),(77 106495464),(78 107446550),(79 108236490),
(1 311491.84),(2 1195382.8),(3 2584493.3),(4 4473915.5),(5 6744688),(6 9335723),(7 12218550),(8 15433254),(9 18912384),(10 22724538),(11 26795210),(12 31080070),(13 35492068),(14 40008388),(15 44634840),(16 49084324),(17 53375050),(18 57605716),(19 61599476),(20 64978292),(21 68024400),(22 70421710),(23 72395690),(24 74056690),(25 75166616),(26 75836420),(27 76086790),(28 75880370),(29 75346900),(30 74406570),(31 72964140),(32 71015910),(33 68749710),(34 66033292),(35 63122310),(36 60162036),(37 57090336),(38 53828250),(39 50765416),(40 47808536),(41 44887020),(42 42221740),(43 39791296),(44 37561200),(45 35673720),(46 34151852),(47 32930180),(48 32055514),(49 31565388),(50 31343516),(51 31572096),(52 32289940),(53 33257456),(54 34682196),(55 36305830),(56 38188070),(57 40494790),(58 43086860),(59 45823810),(60 48898132),(61 51945820),(62 54971050),(63 58149270),(64 61165228),(65 64085350),(66 67139200),(67 70028696),(68 72643240),(69 75306940),(70 77629840),(71 79763496),(72 81891480),(73 83588420),(74 84907440),(75 86141900),(76 86959500),(77 87431200),(78 87711390),(79 87658180),
(1 220923.31),(2 834437.06),(3 1807131.3),(4 3122119.5),(5 4766791.5),(6 6663510),(7 8742746),(8 11068383),(9 13581345),(10 16265381),(11 19096518),(12 22024118),(13 24958862),(14 27906108),(15 30863672),(16 33713736),(17 36522990),(18 39183696),(19 41630440),(20 43810570),(21 45702740),(22 47130772),(23 48285292),(24 49148390),(25 49670016),(26 50008750),(27 50151850),(28 50016004),(29 49724544),(30 49189690),(31 48467536),(32 47695616),(33 46962772),(34 46190136),(35 45445210),(36 44772240),(37 44185596),(38 43612756),(39 43179900),(40 42886852),(41 42714524),(42 42571092),(43 42400960),(44 42322810),(45 42392660),(46 42594024),(47 42863076),(48 43351130),(49 43973910),(50 44641492),(51 45535760),(52 46573390),(53 47608770),(54 48640276),(55 49588536),(56 50539536),(57 51588024),(58 52626268),(59 53604444),(60 54622520),(61 55464100),(62 56178108),(63 56732772),(64 57134532),(65 57423984),(66 57507776),(67 57487196),(68 57355150),(69 57108164),(70 56765450),(71 56398830),(72 56026320),(73 55583030),(74 55061820),(75 54363984),(76 53665984),(77 52912660),(78 52178664),(79 51418516),
(1 206701.36),(2 756064.6),(3 1599200.3),(4 2693542.3),(5 3991709.8),(6 5442843.5),(7 7017152),(8 8664078),(9 10353190),(10 12120714),(11 13807884),(12 15459283),(13 17094826),(14 18602572),(15 20056424),(16 21442240),(17 22736172),(18 23905874),(19 24952044),(20 25859134),(21 26676428),(22 27349064),(23 27895940),(24 28260346),(25 28546020),(26 28814516),(27 29157682),(28 29448066),(29 29784760),(30 30134422),(31 30471762),(32 30829736),(33 31303002),(34 31777942),(35 32293064),(36 32862234),(37 33409016),(38 34087120),(39 34751576),(40 35409424),(41 36111336),(42 36807056),(43 37403910),(44 37969348),(45 38597060),(46 39243052),(47 39898810),(48 40578500),(49 41215468),(50 41786428),(51 42388524),(52 43008492),(53 43469372),(54 43822490),(55 44037496),(56 44191616),(57 44371696),(58 44541030),(59 44706644),(60 44910510),(61 45007756),(62 45020656),(63 44988016),(64 44811060),(65 44660656),(66 44374936),(67 43943204),(68 43423370),(69 42796430),(70 42083300),(71 41345680),(72 40575452),(73 39809668),(74 39100940),(75 38565970),(76 38081388),(77 37685236),(78 37454400),(79 37270228),
(1 170008.78),(2 613086.94),(3 1294066.5),(4 2195274),(5 3267718),(6 4451703),(7 5731664.5),(8 7070777.5),(9 8378528),(10 9702941),(11 10974622),(12 12183306),(13 13404183),(14 14545762),(15 15611620),(16 16625320),(17 17552614),(18 18355120),(19 19085628),(20 19704012),(21 20230446),(22 20659850),(23 20965524),(24 21208930),(25 21435098),(26 21628418),(27 21904614),(28 22265486),(29 22688984),(30 23175444),(31 23777756),(32 24404906),(33 25177438),(34 26012450),(35 26895186),(36 27837540),(37 28767888),(38 29750070),(39 30742828),(40 31649434),(41 32395448),(42 32981556),(43 33479372),(44 33874210),(45 34242536),(46 34485110),(47 34628210),(48 34689080),(49 34658050),(50 34445080),(51 34136590),(52 33769416),(53 33247504),(54 32577506),(55 31773372),(56 30890250),(57 30008878),(58 29155106),(59 28285102),(60 27408388),(61 26621630),(62 25903996),(63 25322154),(64 24869526),(65 24540932),(66 24417548),(67 24404368),(68 24482340),(69 24733362),(70 25100864),(71 25554522),(72 26085112),(73 26725648),(74 27407852),(75 28173944),(76 28967736),(77 29826252),(78 30738936),(79 31658444),
(1 140852.61),(2 513912.56),(3 1097968.5),(4 1849374.9),(5 2719187.8),(6 3673664),(7 4734370.5),(8 5903997.5),(9 7072050),(10 8260112),(11 9443312),(12 10553186),(13 11597476),(14 12549252),(15 13392276),(16 14148432),(17 14820438),(18 15446256),(19 15995371),(20 16407372),(21 16778264),(22 17044968),(23 17261532),(24 17450038),(25 17581472),(26 17694328),(27 17867962),(28 18091376),(29 18318584),(30 18635790),(31 19008024),(32 19402948),(33 19842488),(34 20186752),(35 20482104),(36 20761468),(37 20942108),(38 21122660),(39 21291732),(40 21424040),(41 21534056),(42 21601800),(43 21623790),(44 21651328),(45 21721482),(46 21825440),(47 22007296),(48 22202474),(49 22459608),(50 22771656),(51 23213394),(52 23699196),(53 24279484),(54 24908764),(55 25474878),(56 26032202),(57 26642600),(58 27219544),(59 27772630),(60 28336056),(61 28857224),(62 29262350),(63 29616760),(64 29867528),(65 30003172),(66 30072874),(67 29996836),(68 29755820),(69 29434994),(70 28995658),(71 28389642),(72 27685010),(73 26883076),(74 25979420),(75 25082446),(76 24191430),(77 23344290),(78 22592524),(79 21978428),
(1 205373.14),(2 769375.94),(3 1631793.5),(4 2731841),(5 3990956.3),(6 5356720.5),(7 6774663),(8 8209596),(9 9587040),(10 10868544),(11 12077423),(12 13193971),(13 14168183),(14 14989504),(15 15618573),(16 16055127),(17 16282409),(18 16331561),(19 16234852),(20 16075100),(21 15972288),(22 15841841),(23 15720796),(24 15720736),(25 15832640),(26 16131486),(27 16565858),(28 17148592),(29 17978138),(30 19010004),(31 20180554),(32 21434752),(33 22682718),(34 23867976),(35 25026812),(36 26129954),(37 27130662),(38 28025580),(39 28751954),(40 29184854),(41 29446986),(42 29604130),(43 29559808),(44 29345724),(45 29000970),(46 28497644),(47 27933072),(48 27326588),(49 26718480),(50 26109116),(51 25579992),(52 25057404),(53 24496132),(54 24008052),(55 23554108),(56 23152672),(57 22890128),(58 22703918),(59 22580340),(60 22560700),(61 22627962),(62 22733876),(63 22891758),(64 23069584),(65 23280444),(66 23471446),(67 23655920),(68 23772794),(69 23915510),(70 24013576),(71 24122368),(72 24261608),(73 24406766),(74 24527292),(75 24634880),(76 24752012),(77 24921234),(78 25150138),(79 25456200),
