1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 64783.906),(2 215411.36),(3 456039.16),(4 745035.75),(5 1093948.6),(6 1467229.5),(7 1905674.6),(8 2430612.3),(9 2986824.3),(10 3613798.8),(11 4286035.5),(12 4938909),(13 5668640),(14 6409827.5),(15 7203572),(16 8045583.5),(17 8936459),(18 9894411),(19 10879279),(20 11907255),(21 13011416),(22 14184641),(23 15444617),(24 16759985),(25 18163928),(26 19553424),(27 21097930),(28 22632880),(29 24212770),(30 25884426),(31 27619382),(32 29346320),(33 31298298),(34 33053104),(35 34998172),(36 36944270),(37 38995276),(38 40963508),(39 43039736),(40 45085508),(41 47185410),(42 49350220),(43 51495556),(44 53605890),(45 55733410),(46 57828564),(47 59972580),(48 62255890),(49 64274750),(50 66357156),(51 68475464),(52 70533784),(53 72661190),(54 74471220),(55 76425030),(56 78339070),(57 80253656),(58 82079230),(59 84071620),(60 85925000),(61 87883110),(62 89979620),(63 92293150),(64 94122590),(65 96257656),(66 98297960),(67 100342936),(68 102334460),(69 104190550),(70 105979940),(71 107673290),(72 109151610),(73 110601416),(74 111775830),(75 113018904),(76 114020070),(77 115338940),(78 116449224),(79 117625624),
(1 71216.55),(2 263931.56),(3 583628.4),(4 979763.6),(5 1477518.4),(6 2027903.3),(7 2657649.3),(8 3397162.5),(9 4178819.3),(10 5056041.5),(11 6028090.5),(12 7061158.5),(13 8182032),(14 9359587),(15 10633182),(16 11952086),(17 13324864),(18 14792891),(19 16241802),(20 17788058),(21 19408324),(22 21146818),(23 23015648),(24 24938818),(25 26907270),(26 28842566),(27 30859878),(28 32883148),(29 34945930),(30 37093376),(31 39250464),(32 41350936),(33 43437720),(34 45307532),(35 47207456),(36 49035450),(37 50889056),(38 52623108),(39 54414570),(40 56289310),(41 58306840),(42 60286184),(43 62233064),(44 64037656),(45 65740788),(46 67294640),(47 68723740),(48 70060180),(49 71192790),(50 72255740),(51 73321870),(52 74257720),(53 75279760),(54 76198050),(55 77300760),(56 78433520),(57 79729670),(58 81003150),(59 82412190),(60 83794620),(61 85181290),(62 86491416),(63 87889520),(64 89133820),(65 90425340),(66 91753320),(67 93114010),(68 94449300),(69 95872280),(70 97323784),(71 98928260),(72 100553690),(73 102221496),(74 103778190),(75 105440330),(76 106925496),(77 108434290),(78 109975420),(79 111521740),
(1 110792.195),(2 424651.34),(3 928909.8),(4 1582344.6),(5 2407770),(6 3350366),(7 4440926),(8 5673869.5),(9 6988720.5),(10 8416917),(11 10002887),(12 11734101),(13 13598447),(14 15552865),(15 17596328),(16 19729570),(17 21902186),(18 24102094),(19 26331590),(20 28601120),(21 30843638),(22 33143360),(23 35456756),(24 37721324),(25 39987612),(26 42160092),(27 44342210),(28 46438956),(29 48441184),(30 50377484),(31 52269090),(32 54045260),(33 55771508),(34 57270160),(35 58685428),(36 59963060),(37 61059092),(38 61971424),(39 62853588),(40 63616684),(41 64328770),(42 65046900),(43 65658976),(44 66232508),(45 66747660),(46 67199370),(47 67649590),(48 68104890),(49 68417520),(50 68838330),(51 69183810),(52 69461180),(53 69813110),(54 70054424),(55 70361544),(56 70726984),(57 71200010),(58 71690360),(59 72308650),(60 72813350),(61 73413210),(62 74033140),(63 74605440),(64 74944100),(65 75328170),(66 75690810),(67 76064700),(68 76418136),(69 76811680),(70 77218500),(71 77611176),(72 78000520),(73 78377690),(74 78723740),(75 79118184),(76 79354024),(77 79643230),(78 79979130),(79 80359864),
(1 107368.8),(2 406864.97),(3 896363.75),(4 1544803.1),(5 2371612),(6 3330016.3),(7 4450651),(8 5720241),(9 7098886),(10 8585639),(11 10212196),(12 11929138),(13 13747203),(14 15636395),(15 17579912),(16 19616320),(17 21659606),(18 23775876),(19 25926896),(20 28164752),(21 30400632),(22 32621336),(23 34861724),(24 37083556),(25 39331436),(26 41544464),(27 43785360),(28 46011748),(29 48178908),(30 50323620),(31 52428444),(32 54452884),(33 56395490),(34 58039264),(35 59629860),(36 61071836),(37 62444344),(38 63705656),(39 64849730),(40 65933028),(41 66919892),(42 67943336),(43 68947740),(44 69867816),(45 70710710),(46 71324940),(47 71687320),(48 71901250),(49 71812360),(50 71676870),(51 71378980),(52 70887650),(53 70394296),(54 69716810),(55 69069190),(56 68308410),(57 67514510),(58 66649572),(59 65773916),(60 64752400),(61 63705936),(62 62662100),(63 61567068),(64 60357616),(65 59232280),(66 58068332),(67 56999730),(68 55972850),(69 55010576),(70 54147150),(71 53349800),(72 52601770),(73 51883636),(74 51162964),(75 50524716),(76 49926336),(77 49434296),(78 49107372),(79 48779964),
(1 130563.32),(2 508970.38),(3 1129160.5),(4 1977111.3),(5 3056569.5),(6 4321273.5),(7 5764928),(8 7410331.5),(9 9207183),(10 11123873),(11 13175466),(12 15293673),(13 17511614),(14 19789460),(15 22100718),(16 24497530),(17 26887762),(18 29308734),(19 31705246),(20 34137140),(21 36540724),(22 38857796),(23 41113852),(24 43305550),(25 45481244),(26 47643264),(27 49814332),(28 51958350),(29 54053296),(30 56182196),(31 58235010),(32 60162524),(33 61917016),(34 63416956),(35 64859216),(36 66162856),(37 67368456),(38 68415040),(39 69354190),(40 70265370),(41 71098890),(42 71993310),(43 72795490),(44 73487460),(45 74026664),(46 74287370),(47 74252960),(48 73942300),(49 73357260),(50 72577440),(51 71608830),(52 70450210),(53 69181770),(54 67799110),(55 66420784),(56 64887068),(57 63296450),(58 61694450),(59 60065628),(60 58360740),(61 56717860),(62 55051212),(63 53431924),(64 51708924),(65 50112164),(66 48586050),(67 47238576),(68 46040230),(69 44986544),(70 44045796),(71 43195570),(72 42447972),(73 41836348),(74 41339004),(75 40965732),(76 40661180),(77 40498940),(78 40482892),(79 40475412),
(1 85799.305),(2 325919.63),(3 704348),(4 1213317),(5 1834122.4),(6 2537036.8),(7 3326640.5),(8 4191971.3),(9 5096033.5),(10 6051398.5),(11 7048979),(12 8058721.5),(13 9076046),(14 10069365),(15 11019973),(16 11944166),(17 12851548),(18 13712739),(19 14569827),(20 15383408),(21 16129622),(22 16817054),(23 17442234),(24 18012970),(25 18565732),(26 19049148),(27 19530876),(28 19958588),(29 20336572),(30 20745776),(31 21119556),(32 21468454),(33 21730016),(34 21968032),(35 22200198),(36 22432010),(37 22644506),(38 22851306),(39 23065174),(40 23337508),(41 23640848),(42 24027084),(43 24458676),(44 24874248),(45 25279676),(46 25679316),(47 26042904),(48 26437088),(49 26778828),(50 27103372),(51 27431284),(52 27736064),(53 27996474),(54 28274496),(55 28518688),(56 28733196),(57 28895386),(58 29005484),(59 29058612),(60 29004858),(61 29004314),(62 29000390),(63 28958854),(64 28864694),(65 28749516),(66 28613444),(67 28515056),(68 28421396),(69 28314028),(70 28211892),(71 28120844),(72 28046298),(73 28009996),(74 28032276),(75 28085094),(76 28096908),(77 28201868),(78 28350234),(79 28546644),
(1 75435.164),(2 284522.28),(3 616017.9),(4 1037509.7),(5 1547029.5),(6 2109664.8),(7 2726900.3),(8 3389593),(9 4100037.5),(10 4864660),(11 5674867.5),(12 6526728.5),(13 7409293.5),(14 8293579.5),(15 9150462),(16 10001394),(17 10856078),(18 11712162),(19 12556196),(20 13380197),(21 14148217),(22 14856097),(23 15472692),(24 15998540),(25 16486832),(26 16913288),(27 17297436),(28 17614146),(29 17923006),(30 18245622),(31 18530872),(32 18750494),(33 18908010),(34 18970676),(35 19010288),(36 18999276),(37 18975196),(38 18942110),(39 18955032),(40 19001122),(41 19050606),(42 19125020),(43 19177298),(44 19201212),(45 19220962),(46 19248626),(47 19264502),(48 19302022),(49 19324222),(50 19331630),(51 19338164),(52 19323544),(53 19323806),(54 19375170),(55 19486722),(56 19637948),(57 19857732),(58 20121986),(59 20410082),(60 20689460),(61 21060364),(62 21467508),(63 21872898),(64 22250548),(65 22668484),(66 23094908),(67 23590948),(68 24101826),(69 24608054),(70 25134878),(71 25751240),(72 26369056),(73 26990696),(74 27600014),(75 28194660),(76 28749074),(77 29258706),(78 29765048),(79 30211170),
(1 92937.5),(2 346160.88),(3 745109.75),(4 1261409.4),(5 1896993.6),(6 2632759.8),(7 3441148.3),(8 4342881.5),(9 5289766.5),(10 6302007.5),(11 7381714.5),(12 8489074),(13 9636868),(14 10817523),(15 11960343),(16 13134065),(17 14300368),(18 15444366),(19 16540265),(20 17600102),(21 18576020),(22 19463076),(23 20348374),(24 21179606),(25 21974234),(26 22730136),(27 23470408),(28 24136566),(29 24715876),(30 25256210),(31 25692370),(32 26060854),(33 26359736),(34 26617036),(35 26834240),(36 27093992),(37 27384960),(38 27705574),(39 28040872),(40 28383656),(41 28742686),(42 29131328),(43 29517380),(44 29887246),(45 30245310),(46 30605976),(47 30931158),(48 31218574),(49 31462102),(50 31744606),(51 31992946),(52 32280500),(53 32586808),(54 32915070),(55 33244844),(56 33529280),(57 33829250),(58 34126150),(59 34371260),(60 34545892),(61 34693056),(62 34835940),(63 35016060),(64 35192420),(65 35409900),(66 35657690),(67 35877676),(68 36126590),(69 36378108),(70 36667940),(71 37031176),(72 37405108),(73 37787450),(74 38078476),(75 38363484),(76 38539820),(77 38617984),(78 38600944),(79 38537864),
(1 85126.09),(2 320370.3),(3 693616.5),(4 1190276.8),(5 1810277.4),(6 2522458),(7 3323008.3),(8 4225636),(9 5178022),(10 6190875),(11 7245692),(12 8300197.5),(13 9418972),(14 10550996),(15 11662583),(16 12812137),(17 13945074),(18 15039162),(19 16077758),(20 17078548),(21 18013328),(22 18877354),(23 19709658),(24 20474000),(25 21189078),(26 21865354),(27 22554000),(28 23207646),(29 23851452),(30 24480670),(31 25062758),(32 25623864),(33 26156472),(34 26641446),(35 27144080),(36 27594636),(37 27982032),(38 28343470),(39 28669418),(40 29001032),(41 29282966),(42 29586450),(43 29874014),(44 30181264),(45 30480996),(46 30801170),(47 31132228),(48 31456750),(49 31818896),(50 32259212),(51 32635242),(52 33055530),(53 33442440),(54 33868130),(55 34323052),(56 34727870),(57 35066156),(58 35381732),(59 35689884),(60 35986020),(61 36241812),(62 36524430),(63 36759460),(64 36900510),(65 37001120),(66 36989920),(67 36893116),(68 36725464),(69 36487316),(70 36200810),(71 35854164),(72 35426070),(73 34971116),(74 34441830),(75 33875212),(76 33183472),(77 32451734),(78 31636040),(79 30847104),
(1 94181.18),(2 359973.5),(3 783266.9),(4 1349188.3),(5 2050362.6),(6 2845173.8),(7 3726269.3),(8 4693730),(9 5686412.5),(10 6707674.5),(11 7743058.5),(12 8758797),(13 9812218),(14 10888960),(15 11958333),(16 13086163),(17 14204441),(18 15272933),(19 16295685),(20 17267702),(21 18205284),(22 19057920),(23 19871908),(24 20620280),(25 21328878),(26 21970404),(27 22603016),(28 23219530),(29 23814120),(30 24385996),(31 24905578),(32 25369936),(33 25749546),(34 26055530),(35 26315954),(36 26462216),(37 26497442),(38 26512728),(39 26485110),(40 26436696),(41 26347496),(42 26264944),(43 26159928),(44 26044248),(45 25876230),(46 25714318),(47 25561574),(48 25397916),(49 25240932),(50 25115858),(51 24972746),(52 24926668),(53 24876668),(54 24871778),(55 24873038),(56 24823054),(57 24720954),(58 24622460),(59 24421834),(60 24203850),(61 23891992),(62 23539360),(63 23136680),(64 22676892),(65 22200284),(66 21686872),(67 21184650),(68 20679036),(69 20185926),(70 19726358),(71 19326582),(72 18959922),(73 18647870),(74 18368088),(75 18140760),(76 17911960),(77 17724278),(78 17541916),(79 17396098),
(1 90934.34),(2 344077.3),(3 740969.5),(4 1254729),(5 1876029),(6 2564137.3),(7 3312554.3),(8 4115943),(9 4917756),(10 5722416.5),(11 6502734),(12 7259598.5),(13 8009358),(14 8730807),(15 9399691),(16 10067714),(17 10731710),(18 11371889),(19 11940324),(20 12469447),(21 12963110),(22 13429425),(23 13887509),(24 14353289),(25 14838277),(26 15297025),(27 15802304),(28 16332282),(29 16901268),(30 17507188),(31 18104550),(32 18684848),(33 19238640),(34 19795832),(35 20328880),(36 20803220),(37 21234658),(38 21638068),(39 21946274),(40 22284592),(41 22632912),(42 23039696),(43 23477552),(44 23899858),(45 24298752),(46 24701654),(47 25056276),(48 25392684),(49 25656134),(50 25909510),(51 26120294),(52 26283956),(53 26344270),(54 26340210),(55 26223340),(56 25989820),(57 25671944),(58 25278616),(59 24822670),(60 24311168),(61 23752274),(62 23182384),(63 22545024),(64 21811556),(65 21097348),(66 20417638),(67 19796892),(68 19219376),(69 18714484),(70 18270732),(71 17865434),(72 17512432),(73 17201442),(74 16956856),(75 16771426),(76 16610872),(77 16530059),(78 16434167),(79 16381274),
