1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 1125697),(2 3817450),(3 7663674.5),(4 11920112),(5 16318741),(6 20756994),(7 25109938),(8 29556630),(9 34370772),(10 39772800),(11 45989996),(12 52686180),(13 59739428),(14 67397064),(15 75309464),(16 82671864),(17 89538650),(18 96489496),(19 103356800),(20 110853416),(21 119771496),(22 128990490),(23 138502220),(24 148691840),(25 159102640),(26 169226160),(27 179005970),(28 188065200),(29 196128640),(30 203485820),(31 210680750),(32 217497520),(33 224873020),(34 232211380),(35 239254140),(36 246144850),(37 252791420),(38 258821810),(39 264020780),(40 268528400),(41 273483840),(42 278199740),(43 282943780),(44 288446240),(45 294403040),(46 300485700),(47 306739500),(48 312881920),(49 317613860),(50 321445280),(51 324554620),(52 327562240),(53 330385950),(54 333956060),(55 337972200),(56 343027680),(57 348928480),(58 355051360),(59 361424670),(60 368669920),(61 376218100),(62 384352800),(63 393362080),(64 404013060),(65 416013730),(66 429165280),(67 443998200),(68 460373500),(69 475765500),(70 492494560),(71 509473800),(72 526200580),(73 543628600),(74 561110200),(75 579172400),(76 597485630),(77 617432640),(78 637760100),(79 659222460),
(1 171133.7),(2 203026.34),(3 188264.3),(4 188455.73),(5 195997.3),(6 191285.05),(7 194617.64),(8 197640.14),(9 196495.7),(10 195899.47),(11 192049.02),(12 196263.42),(13 196062.98),(14 197279.28),(15 193673.16),(16 194958.98),(17 198376.56),(18 198236.75),(19 194213.13),(20 197383.39),(21 200867.36),(22 196857.31),(23 202501.75),(24 201451.33),(25 206634.05),(26 203881.02),(27 206309.3),(28 205884.56),(29 206863.27),(30 204779.56),(31 202285.8),(32 204864.61),(33 204643.58),(34 208135.42),(35 207526.53),(36 206165.52),(37 208107.56),(38 205354.05),(39 207915.78),(40 212759.86),(41 211708.58),(42 212056.17),(43 214338.31),(44 212006.64),(45 209125.56),(46 207626.44),(47 210949.44),(48 208833.95),(49 208376.81),(50 210716.53),(51 210080.13),(52 206932.08),(53 209461.73),(54 208404.64),(55 206378.05),(56 206009.97),(57 209716.9),(58 210173.97),(59 207958.75),(60 205992.36),(61 206567),(62 207176.48),(63 206997.34),(64 203204.4),(65 205389.66),(66 206662.34),(67 204206.3),(68 203417.47),(69 201981.63),(70 203973.88),(71 202905.97),(72 202848.78),(73 206035),(74 202766.06),(75 201630.08),(76 202964.52),(77 204922.05),(78 203034.69),(79 204641.88),
(1 159700.95),(2 188629.3),(3 173996.11),(4 173969.64),(5 182025.77),(6 182663.48),(7 183860.61),(8 182031.97),(9 181430.23),(10 185716.14),(11 183908.9),(12 181967.67),(13 183896.58),(14 189081.98),(15 182656.58),(16 182952.48),(17 186102.28),(18 185494.06),(19 186187.94),(20 186182.9),(21 185640.28),(22 185183.3),(23 189468.03),(24 189225.17),(25 191259.8),(26 189612.36),(27 191005.45),(28 191521.77),(29 194605.84),(30 192056.44),(31 191520.89),(32 192733.3),(33 192414.7),(34 190568.86),(35 195385.89),(36 194665.33),(37 195969.03),(38 195374.47),(39 194993.52),(40 196191.81),(41 197932.6),(42 195076.98),(43 200427.13),(44 199695.66),(45 197896.25),(46 195625.28),(47 198820.83),(48 198652.5),(49 197688.31),(50 196794.13),(51 196002.33),(52 195066.16),(53 195746.61),(54 197405.98),(55 198467.39),(56 197532.36),(57 197210.02),(58 196338.72),(59 196546.75),(60 193207.64),(61 192887.25),(62 193027.95),(63 192926.03),(64 188405.08),(65 187271.77),(66 190496.42),(67 189917.22),(68 187510.45),(69 187156.4),(70 189849.6),(71 191016.64),(72 186179.42),(73 186894.14),(74 187590.53),(75 186517.89),(76 186869.84),(77 186168.31),(78 187822.77),(79 190946.97),
(1 161320.36),(2 189703.69),(3 176614.47),(4 175934.16),(5 180153.78),(6 178688.95),(7 182165.2),(8 179478.39),(9 179781.14),(10 184660.66),(11 184299.88),(12 183613.84),(13 182959.05),(14 187376.86),(15 184147.94),(16 182735.52),(17 184677.61),(18 186008.47),(19 184057.08),(20 188779.73),(21 189430.36),(22 187937.16),(23 185513.34),(24 188649.78),(25 190611.73),(26 190758.31),(27 190169.95),(28 191173.14),(29 189683.64),(30 191437.05),(31 191746.72),(32 190435.03),(33 192063.92),(34 188657.77),(35 190964.27),(36 196263.47),(37 197678.61),(38 197754.19),(39 197490.66),(40 197231.97),(41 194332.78),(42 193465.69),(43 195988.4),(44 200352.14),(45 197235.8),(46 196680.81),(47 194987.13),(48 191427.25),(49 194560.66),(50 192335.92),(51 194443.58),(52 193384.52),(53 192748.47),(54 192959.44),(55 193861.16),(56 193409.31),(57 196488.48),(58 195799.44),(59 195401.86),(60 196209.44),(61 192787.03),(62 189394.72),(63 190990.03),(64 189583.05),(65 188932.69),(66 188973),(67 188197.48),(68 185467.13),(69 185175.45),(70 186043.83),(71 191020.31),(72 191410.17),(73 190658.25),(74 192043.06),(75 190072.31),(76 190365.45),(77 191082.84),(78 191332.81),(79 187870.69),
(1 150801.25),(2 176389.3),(3 163212.55),(4 161395.95),(5 168245.19),(6 167696.27),(7 167977.23),(8 170219.88),(9 170635.7),(10 172185.44),(11 168035.73),(12 168528.83),(13 171590.31),(14 172898),(15 167510.8),(16 171388.78),(17 170867.48),(18 173552.05),(19 173594.7),(20 173722.55),(21 174536.89),(22 174523.45),(23 175400.19),(24 175253.53),(25 176626.16),(26 177380.17),(27 179274.14),(28 177087.17),(29 178070.8),(30 175473.83),(31 175800.33),(32 179644.8),(33 183635.61),(34 179879.98),(35 179844.8),(36 184974.1),(37 185959.03),(38 186077.5),(39 186413.69),(40 188444.44),(41 184966.08),(42 185210.83),(43 186976.52),(44 189518.55),(45 185941.39),(46 184409.64),(47 185932.42),(48 184059.67),(49 184303.11),(50 182798.53),(51 180424.11),(52 183084.22),(53 182781.03),(54 184170.89),(55 184963.05),(56 181985.64),(57 179528.1),(58 181409.28),(59 183824.05),(60 184004.66),(61 183312.31),(62 183332.33),(63 183303.67),(64 179645.39),(65 180442.16),(66 181478.1),(67 180751.66),(68 178576.03),(69 177854.7),(70 178349.83),(71 177857.48),(72 179017.02),(73 178221.3),(74 177788.86),(75 180903.45),(76 180782.47),(77 182231.53),(78 182853.19),(79 178944.14),
(1 148485.5),(2 172760.23),(3 159181.31),(4 162162.97),(5 166228.7),(6 164328.73),(7 165092.08),(8 168362.52),(9 168366.27),(10 169655.61),(11 164494.8),(12 165139.14),(13 169750.98),(14 167274.94),(15 166408.78),(16 169025.48),(17 170245.7),(18 169821.67),(19 168504.23),(20 169461.14),(21 168522.89),(22 170263.94),(23 171064.2),(24 169042.8),(25 167725.72),(26 170862.67),(27 175469.44),(28 175192.98),(29 176836.98),(30 173057.81),(31 173325.55),(32 175653.02),(33 176674.47),(34 175487.83),(35 175344.45),(36 176438.83),(37 176426.06),(38 179333.45),(39 180140.06),(40 180148.02),(41 179773.98),(42 179225.78),(43 182029.28),(44 179969.6),(45 176790.69),(46 178219.45),(47 180069.36),(48 181027.45),(49 177218.5),(50 177382.31),(51 175809.06),(52 175511.72),(53 177802.3),(54 177523.53),(55 177552.06),(56 176014.06),(57 174570.06),(58 173821.78),(59 174555),(60 173622.38),(61 174410.1),(62 176948.14),(63 180393.34),(64 176424.4),(65 172594.16),(66 172890.58),(67 171744.2),(68 171247.72),(69 169970.16),(70 172012.88),(71 171055.63),(72 167995.3),(73 171400.5),(74 174766.52),(75 175683.56),(76 172642.28),(77 174447.72),(78 171004.23),(79 170532.89),
(1 150472.73),(2 176033.75),(3 158875.61),(4 160114.6),(5 165403.64),(6 163095.6),(7 165928.48),(8 167606.23),(9 164255.84),(10 166772.53),(11 166898.56),(12 165809),(13 165559.98),(14 166774.06),(15 163853.25),(16 167050.89),(17 167337.7),(18 168398.95),(19 167901.53),(20 167398.56),(21 166626.33),(22 172818.66),(23 171289.19),(24 168923.56),(25 170993.39),(26 171669.89),(27 169577.44),(28 173327.81),(29 174793.05),(30 173919.8),(31 175909.81),(32 175262.88),(33 174524.53),(34 172967.31),(35 175171.27),(36 176609.56),(37 174336.05),(38 175520.36),(39 177401.84),(40 177149.56),(41 179008.73),(42 178224.83),(43 179454.94),(44 180552.67),(45 179314.28),(46 176666.77),(47 177861.84),(48 177338.11),(49 176208.36),(50 175383.19),(51 176322.53),(52 176876.47),(53 174067.84),(54 176188.02),(55 177581.73),(56 176686.63),(57 175877.5),(58 175368.05),(59 177164.78),(60 174683.55),(61 175922.06),(62 175800.7),(63 177947.98),(64 174962.31),(65 174981.95),(66 175319.75),(67 172616.11),(68 169645.39),(69 172958.17),(70 172653.06),(71 171201.33),(72 168280),(73 169254.94),(74 171575.81),(75 172749.81),(76 173644.19),(77 175467.4),(78 173102.95),(79 170535),
(1 142496.58),(2 163044.47),(3 147827.22),(4 151919.73),(5 158509.8),(6 153521.88),(7 156004.3),(8 159652.92),(9 157577.66),(10 157734.34),(11 157923.56),(12 158083.19),(13 157460.69),(14 156563.27),(15 157829.03),(16 160380.2),(17 159072.05),(18 157580.84),(19 161066.14),(20 160621.83),(21 157444.81),(22 163483.3),(23 162533),(24 161838.1),(25 160926.38),(26 161890.17),(27 162949.72),(28 164364.92),(29 167825.7),(30 166189.19),(31 165928.3),(32 165701.39),(33 168032.81),(34 165315.64),(35 166609.11),(36 166865.02),(37 166059.53),(38 167650.08),(39 166864.89),(40 167969.3),(41 170418.36),(42 167805.67),(43 168739.98),(44 170150.27),(45 171339.38),(46 170832.67),(47 168966.69),(48 168617.8),(49 167750.47),(50 169666.48),(51 168856.25),(52 167473.36),(53 169632.6),(54 169554.97),(55 170936.78),(56 170907.86),(57 173149.64),(58 170948.92),(59 169701.64),(60 169447.83),(61 169289.31),(62 169136.67),(63 169815.22),(64 170132.22),(65 170164.48),(66 169041.03),(67 166743.84),(68 168375.14),(69 169170.58),(70 164308.44),(71 167615.89),(72 162732.9),(73 162632.81),(74 165007.25),(75 164023.7),(76 164922.66),(77 166480.14),(78 162912.52),(79 162337.27),
(1 139196.61),(2 157841.19),(3 144637.19),(4 149492.75),(5 153615.58),(6 152076.95),(7 153849.22),(8 155966.47),(9 152462.19),(10 150557.34),(11 155294.52),(12 156335.45),(13 156562.9),(14 155270.02),(15 154165.05),(16 156827.33),(17 156264.86),(18 153720.81),(19 156564.63),(20 159561.19),(21 156883.02),(22 160990.88),(23 159882.61),(24 159803.08),(25 160643.84),(26 159487.14),(27 159109.69),(28 160921.66),(29 160611.1),(30 161798.63),(31 163244.81),(32 163098.67),(33 163763.94),(34 160716.36),(35 162540.23),(36 163707.61),(37 163684.73),(38 164611.34),(39 161995.1),(40 166763.78),(41 165991.66),(42 166632.97),(43 169254.17),(44 169264.86),(45 171601.63),(46 173169.1),(47 170440.16),(48 169649.78),(49 167524.53),(50 166509.86),(51 168231.19),(52 168254.56),(53 167426.6),(54 167812.78),(55 168004.58),(56 169009.3),(57 167463.1),(58 168691.52),(59 167876.86),(60 165096.9),(61 167027.98),(62 165141.03),(63 165481.66),(64 163991.78),(65 162346.36),(66 164473.81),(67 162078.05),(68 159750.6),(69 160498.55),(70 161768.89),(71 162248.98),(72 159410.31),(73 159647.16),(74 161276.34),(75 159156.6),(76 158108.69),(77 160311.22),(78 162998.67),(79 159458.5),
(1 136830.22),(2 153125.13),(3 139273.36),(4 145509.31),(5 148680.05),(6 144339.16),(7 145477.73),(8 149300.63),(9 150408.16),(10 150742.48),(11 152074.13),(12 151205),(13 151341.14),(14 153365.8),(15 152770.06),(16 151269.2),(17 151533.81),(18 149919.13),(19 153311.44),(20 152667.39),(21 151711.34),(22 153888.9),(23 151726.97),(24 153032.77),(25 154274.02),(26 156039.58),(27 155873.2),(28 156101.75),(29 154738.95),(30 154368.58),(31 154910.02),(32 155082.02),(33 158433.66),(34 155589.86),(35 152682.28),(36 154351.39),(37 156507.89),(38 157653.58),(39 155679.73),(40 153601.86),(41 157644.77),(42 157593.83),(43 158039.16),(44 161525.36),(45 161794.14),(46 161761.64),(47 163535.2),(48 160814.33),(49 161430.8),(50 162042.73),(51 158719.27),(52 158839.75),(53 159713.11),(54 159243.58),(55 158658.47),(56 158537.05),(57 159984.63),(58 160071.14),(59 160902.38),(60 161922.23),(61 159602.69),(62 158121.58),(63 160729.77),(64 159962.64),(65 156728.45),(66 156725.84),(67 156656.81),(68 155063.17),(69 154186.33),(70 154683.92),(71 153615.67),(72 152741.36),(73 155734.7),(74 155532.3),(75 152769.92),(76 152280.14),(77 152962.2),(78 153958.95),(79 153064.14),
(1 132766.77),(2 150526.06),(3 137113.48),(4 142739.55),(5 141271.4),(6 138209.17),(7 144142.52),(8 146368.58),(9 143192.94),(10 144980.19),(11 144504.02),(12 141648.97),(13 143096.55),(14 141649.66),(15 145292.84),(16 144715.66),(17 144887.16),(18 143315.03),(19 145172.42),(20 146620.38),(21 146352.48),(22 146142.94),(23 146885.1),(24 146242.25),(25 146800.03),(26 149131.27),(27 149851.13),(28 148829.78),(29 149205.36),(30 149575.05),(31 145844.67),(32 147824.38),(33 149977.86),(34 151194.45),(35 150511.69),(36 149512.61),(37 152066.25),(38 152071.1),(39 152305.28),(40 154550.81),(41 154043.28),(42 152491.6),(43 157264.25),(44 154396.44),(45 154491.48),(46 154082.83),(47 156681.6),(48 155211.75),(49 157239.23),(50 155019.33),(51 154192.14),(52 154779.2),(53 156966.17),(54 155536.47),(55 156103.66),(56 154901.16),(57 154559.56),(58 154347.16),(59 155204.02),(60 156601.08),(61 156233.3),(62 153539.78),(63 156096.44),(64 157457.42),(65 155827.58),(66 154639.4),(67 154867.47),(68 152344.11),(69 150466.61),(70 148744.34),(71 149596.64),(72 149394.34),(73 153037.9),(74 149439.23),(75 149787.3),(76 150075.56),(77 150323.88),(78 151601.38),(79 149225.38),
(1 127380.984),(2 144568.77),(3 132129.13),(4 137429.19),(5 137741.3),(6 136731.58),(7 140079.27),(8 140800.31),(9 141179.27),(10 141323.36),(11 140739.56),(12 137696.31),(13 140772.92),(14 140268.2),(15 142159.95),(16 142322.52),(17 143484.05),(18 141498.2),(19 142847.17),(20 144155.4),(21 142503.45),(22 143129.64),(23 143597.89),(24 141494.58),(25 144011.94),(26 145041.63),(27 146198.86),(28 144953.98),(29 147948.67),(30 148752.7),(31 145838.63),(32 143610.36),(33 145333.95),(34 148272.78),(35 149129.92),(36 146763.88),(37 147512.22),(38 150471.98),(39 152303.67),(40 152622.13),(41 150200.52),(42 147236.45),(43 150477.31),(44 151189.97),(45 148153.83),(46 148406.31),(47 149515.34),(48 151304.45),(49 151835.53),(50 151372.22),(51 151216.81),(52 151653.25),(53 151604.94),(54 150541.9),(55 149688.97),(56 151580.67),(57 149486.7),(58 149146.44),(59 147697.66),(60 147617.67),(61 150140.19),(62 149379.3),(63 146160.27),(64 147797.81),(65 146884.53),(66 146826.31),(67 148624.47),(68 146756.27),(69 146080.95),(70 146254.03),(71 146964.42),(72 145588.22),(73 146238.92),(74 144068.13),(75 144078.45),(76 143937.27),(77 144735.53),(78 143797.5),(79 141026.78),
(1 127189.14),(2 140406.98),(3 128460.02),(4 135562.47),(5 133001.48),(6 132990.75),(7 132689.98),(8 136521.78),(9 136514.25),(10 135639.38),(11 136888.44),(12 135277.34),(13 138970.75),(14 138193.25),(15 137705.48),(16 138022.58),(17 138724.53),(18 138811.53),(19 138119.31),(20 139232.78),(21 137955.13),(22 141409.53),(23 140243.03),(24 139159.4),(25 138844.42),(26 139480.75),(27 142941.31),(28 139930.4),(29 142269.45),(30 143268.36),(31 142419.7),(32 142612.72),(33 141664.73),(34 141964.9),(35 144705.84),(36 147232.58),(37 145775.42),(38 146508.05),(39 145990.61),(40 148214.42),(41 144410.86),(42 145778.03),(43 147226.39),(44 149463.72),(45 147926.64),(46 147281.69),(47 146278.61),(48 147342.5),(49 145881.02),(50 148690.66),(51 150813.75),(52 149671.03),(53 148705.98),(54 145277.33),(55 145500.06),(56 148347.9),(57 147569.95),(58 146358.95),(59 145647.89),(60 145261),(61 146573.89),(62 148685.34),(63 146994.94),(64 147103.56),(65 145444.17),(66 143709.61),(67 144056.34),(68 146031.58),(69 144445.11),(70 146200.08),(71 143436.83),(72 143529.53),(73 145759.8),(74 143812.42),(75 143149.73),(76 143075.34),(77 143219.22),(78 143382.2),(79 142456.9),
(1 122375.26),(2 137056.1),(3 127452.836),(4 129262.23),(5 131902.89),(6 130963.24),(7 129899.32),(8 133610.33),(9 133291.69),(10 131583.81),(11 132239.53),(12 132235.22),(13 136621.98),(14 135487.34),(15 133323.95),(16 135126.98),(17 135114.47),(18 135198.34),(19 135206.66),(20 134251.17),(21 135165.53),(22 135516.53),(23 135894.31),(24 135930.48),(25 137439.33),(26 135481),(27 136344.81),(28 137316.8),(29 135413.36),(30 137771.1),(31 137632.94),(32 138778.25),(33 140049.8),(34 138574.36),(35 140782.4),(36 142204.05),(37 142181.5),(38 141878.47),(39 143373.47),(40 143995.78),(41 141023.9),(42 140955.78),(43 141736.83),(44 142923.39),(45 144872.72),(46 144287.45),(47 145270.63),(48 143942.75),(49 143389.25),(50 143958.08),(51 146386.52),(52 146164.52),(53 145151.77),(54 143321.05),(55 143341.33),(56 143154.55),(57 142168.47),(58 144668.72),(59 143865.97),(60 144085.97),(61 143079.89),(62 144007.03),(63 144427.67),(64 143249.28),(65 141368.52),(66 140736.38),(67 140109.48),(68 141110.36),(69 141249.81),(70 140972.83),(71 140848.4),(72 138814.19),(73 138368.16),(74 142076.88),(75 140359.61),(76 137493.83),(77 138364.83),(78 138951.84),(79 138375.64),
(1 116195.24),(2 128645.13),(3 120430.07),(4 122697.66),(5 122788.555),(6 125070.305),(7 125540.96),(8 125538.83),(9 126244.164),(10 125341.11),(11 125852.95),(12 123605.11),(13 127041.66),(14 129939.695),(15 128325.6),(16 128548.56),(17 128721.02),(18 130087.34),(19 128621.875),(20 126760.18),(21 129166.87),(22 127806.195),(23 130067.055),(24 129887.33),(25 131296.77),(26 128385.73),(27 129150.65),(28 129792.46),(29 128979.945),(30 130406.66),(31 129640.52),(32 129794.266),(33 131582.84),(34 130860.8),(35 133059.19),(36 131959.86),(37 131358.13),(38 131858.02),(39 135955.58),(40 133296.06),(41 130819.445),(42 132721.42),(43 133669.22),(44 134062.05),(45 135999.47),(46 136807),(47 136285.64),(48 135291.88),(49 135439.06),(50 136318.11),(51 134761.06),(52 135850.98),(53 135429),(54 136529.7),(55 137789.95),(56 137156.55),(57 137167.67),(58 134376.73),(59 136338.66),(60 137283.52),(61 134532.25),(62 134445.34),(63 134209.28),(64 135067.38),(65 133824.66),(66 133991.47),(67 132859.1),(68 133334.72),(69 132832.17),(70 133462.11),(71 135402.08),(72 131046.87),(73 134385.45),(74 131857.7),(75 132676.08),(76 131410.27),(77 130693.234),(78 130777.836),(79 132121.44),
(1 108860.375),(2 120733.875),(3 115089.51),(4 118963.164),(5 117566.41),(6 119630.53),(7 121187.57),(8 119802.25),(9 121532.21),(10 118535.586),(11 120943.98),(12 119870.59),(13 119559.055),(14 121522.35),(15 121421.32),(16 120821.71),(17 121350.414),(18 121631.914),(19 122131.69),(20 122150.59),(21 121134.68),(22 122381.47),(23 124503.34),(24 125214.28),(25 124770.695),(26 124397.305),(27 126068.01),(28 125955.18),(29 126301.35),(30 124794.81),(31 126227.555),(32 124929.07),(33 125979.15),(34 127049.375),(35 127086.625),(36 127554.54),(37 126327.46),(38 129489.46),(39 130569.91),(40 127190.414),(41 128925.914),(42 128478.78),(43 129871.78),(44 131750.47),(45 129676.164),(46 129541.81),(47 130558.63),(48 129237.26),(49 130413.37),(50 131256.39),(51 131523.3),(52 131423.64),(53 131666.36),(54 131524.83),(55 129864.4),(56 131802.34),(57 132417.31),(58 131712.31),(59 130963.77),(60 131043.88),(61 129693.38),(62 129414.99),(63 130576.62),(64 127831.43),(65 128601.91),(66 127823.69),(67 126211.164),(68 124746.54),(69 126221.57),(70 127279.31),(71 127074.38),(72 125762.03),(73 128490.1),(74 123380.77),(75 124750.59),(76 126788.68),(77 126457.195),(78 124836.695),(79 125284.59),
(1 110103.47),(2 121296.445),(3 114898.6),(4 118027.45),(5 118207.336),(6 119429.375),(7 119345.31),(8 121014.836),(9 119612.4),(10 118880.99),(11 121453.01),(12 121741.09),(13 120949.65),(14 122860.19),(15 120534.42),(16 121388.26),(17 121976.59),(18 120992.99),(19 121283.32),(20 121062.35),(21 121053.84),(22 119597.56),(23 123173.44),(24 122213.34),(25 121760.695),(26 123659.19),(27 123841.91),(28 122365.016),(29 123092.805),(30 123310.35),(31 123901.19),(32 123388.69),(33 124977.35),(34 125309.695),(35 127303.27),(36 125682.58),(37 125246.71),(38 127303.94),(39 128891.664),(40 127045.195),(41 127313.79),(42 125990.16),(43 127916.99),(44 126612.38),(45 127642.86),(46 128291.875),(47 127764.336),(48 130269.695),(49 128240.15),(50 130120.51),(51 130367.82),(52 128656.336),(53 130130.3),(54 130228.055),(55 129965.08),(56 128230.78),(57 129167.125),(58 127695.64),(59 129736),(60 129653.484),(61 129631.58),(62 128795.96),(63 128262.26),(64 129353.42),(65 128228.11),(66 127400.32),(67 128764.5),(68 127276.04),(69 126545.29),(70 126922.6),(71 124798.83),(72 126879.91),(73 124210.6),(74 124328.54),(75 127511.83),(76 125816.36),(77 125842.06),(78 126922.75),(79 126082.98),
(1 112625.54),(2 120714.98),(3 114327.09),(4 118719.97),(5 118051.3),(6 118596.15),(7 117850.734),(8 120071.195),(9 118502.75),(10 117605.164),(11 119272.31),(12 119030.03),(13 121000.15),(14 120751.914),(15 119284.58),(16 119644.34),(17 120035.05),(18 119136.98),(19 120743.98),(20 122844.87),(21 122074.664),(22 120463.08),(23 121450.87),(24 120482.69),(25 121190.04),(26 121658.29),(27 123213.805),(28 122144.6),(29 121991.33),(30 122779.96),(31 123312.664),(32 121488.734),(33 121726.03),(34 123956.875),(35 124198.84),(36 124924.875),(37 124773.33),(38 125766.78),(39 129282.66),(40 127410.84),(41 128256.734),(42 125550.63),(43 126360.94),(44 128543.08),(45 126777.555),(46 129363.19),(47 128142.695),(48 127882.63),(49 128956.98),(50 127629.8),(51 127757.88),(52 128581.484),(53 128634.984),(54 129787.59),(55 129392.664),(56 130849.83),(57 129578.35),(58 126730.66),(59 125874.18),(60 126411.3),(61 128415.88),(62 128901.89),(63 128862.08),(64 126776.664),(65 126776.28),(66 128362.15),(67 125916.41),(68 124783.14),(69 125370.875),(70 124828.91),(71 126530.06),(72 124942.75),(73 124869.77),(74 123848.7),(75 124755.06),(76 124574.75),(77 125647.31),(78 124890.76),(79 124935.31),
(1 108733.46),(2 117800.59),(3 111273.14),(4 116367.54),(5 115495.16),(6 117061.98),(7 114242.9),(8 117291.305),(9 114438),(10 113710.77),(11 116449.055),(12 117494.19),(13 118213.39),(14 117975.125),(15 116024.33),(16 116437.02),(17 115543.164),(18 115934.53),(19 116933.51),(20 115145.3),(21 117903.66),(22 117234.61),(23 117391),(24 118173.24),(25 118627.76),(26 118332.31),(27 118803.34),(28 120896.9),(29 115590.695),(30 118288.99),(31 119708.79),(32 118239.16),(33 119140.695),(34 120894.87),(35 119516.805),(36 120067.08),(37 120837),(38 118801.13),(39 121086.11),(40 123285.2),(41 122493.14),(42 122402.34),(43 121269.89),(44 124194.2),(45 125090.69),(46 125101.1),(47 125799.945),(48 125432.695),(49 122763.336),(50 124030.336),(51 123968.94),(52 123141.13),(53 123803.2),(54 124388.06),(55 125688.51),(56 124697.84),(57 127296.234),(58 125685.02),(59 127235.33),(60 122871.41),(61 125177.84),(62 128451.16),(63 127126.47),(64 126249.34),(65 124842.9),(66 124268.07),(67 124582.91),(68 123840.08),(69 121370.47),(70 123549.74),(71 122783.21),(72 121768.375),(73 122142.26),(74 119992.43),(75 121901.86),(76 121473.52),(77 121570.71),(78 123163.23),(79 121417.74),
