1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 144467.92),(2 262267.1),(3 389384.1),(4 634255.06),(5 885144.8),(6 1110660),(7 1441335.4),(8 1701017.6),(9 1944792.4),(10 2258795.3),(11 2579590.3),(12 2903938.8),(13 3305563.3),(14 3666553.8),(15 4044432.8),(16 4441999.5),(17 4843925.5),(18 5199955.5),(19 5577536.5),(20 5925184),(21 6238060),(22 6529374.5),(23 6877919.5),(24 7133162.5),(25 7434064),(26 7769888),(27 8119432),(28 8487919),(29 9077971),(30 9782325),(31 10433967),(32 11107619),(33 11807659),(34 12430551),(35 13269575),(36 14276347),(37 15039343),(38 16081413),(39 16896878),(40 17668676),(41 18510296),(42 19287518),(43 20140706),(44 21005954),(45 21819378),(46 22447024),(47 23181144),(48 23766830),(49 24172328),(50 24612592),(51 24971258),(52 25123626),(53 25532816),(54 25900022),(55 26199286),(56 26657438),(57 26915722),(58 27311286),(59 27733018),(60 28295222),(61 28784766),(62 29387594),(63 29909440),(64 30179450),(65 30659162),(66 30849870),(67 31219424),(68 31615902),(69 31859904),(70 32165766),(71 32551272),(72 32735638),(73 32877706),(74 33198656),(75 33305734),(76 33420432),(77 33693084),(78 33866780),(79 33928228),
(1 85744.56),(2 234383.66),(3 441412.9),(4 713733.8),(5 1021987.6),(6 1320010),(7 1649911.6),(8 1939711.6),(9 2258489.3),(10 2618785.3),(11 3043102.5),(12 3533560.5),(13 4100351.5),(14 4680723),(15 5312784),(16 6072805),(17 6855913),(18 7658779),(19 8524950),(20 9333597),(21 10080572),(22 10854189),(23 11672835),(24 12439874),(25 13270410),(26 14068739),(27 14884755),(28 15743261),(29 16706096),(30 17674572),(31 18665768),(32 19663418),(33 20724532),(34 21695718),(35 22703588),(36 23770884),(37 24612328),(38 25498298),(39 26188682),(40 26786128),(41 27416884),(42 28000070),(43 28697164),(44 29304364),(45 29959852),(46 30469290),(47 31033004),(48 31459866),(49 31833846),(50 32106892),(51 32279700),(52 32396298),(53 32540794),(54 32693210),(55 32851756),(56 32963162),(57 33032218),(58 33247216),(59 33331526),(60 33450682),(61 33662410),(62 33734004),(63 33778504),(64 33785910),(65 33842292),(66 33727650),(67 33804380),(68 33833240),(69 33811236),(70 33980956),(71 34202456),(72 34421036),(73 34748428),(74 35196744),(75 35483828),(76 35814580),(77 36239880),(78 36663770),(79 37139028),
(1 77375.68),(2 250127),(3 505042.84),(4 832493),(5 1218581.5),(6 1632959.6),(7 2074365),(8 2505090.3),(9 2953700.8),(10 3434731.3),(11 3961279.8),(12 4502644.5),(13 5093759.5),(14 5716936),(15 6332162.5),(16 7055740),(17 7825714.5),(18 8587333),(19 9401579),(20 10212179),(21 10940831),(22 11662872),(23 12410760),(24 13083560),(25 13796128),(26 14540531),(27 15330072),(28 16089867),(29 16964426),(30 17896642),(31 18898552),(32 20030840),(33 21258750),(34 22356028),(35 23453402),(36 24518554),(37 25474410),(38 26478720),(39 27334858),(40 28135402),(41 28970906),(42 29766762),(43 30565494),(44 31323526),(45 32135030),(46 32797526),(47 33460774),(48 33979960),(49 34364460),(50 34679556),(51 34882548),(52 34788770),(53 34815524),(54 34772932),(55 34549252),(56 34216652),(57 33817164),(58 33311606),(59 32790728),(60 32214394),(61 31540078),(62 30708576),(63 29775122),(64 28737184),(65 27717864),(66 26637578),(67 25655114),(68 24696624),(69 23701522),(70 22732656),(71 21809410),(72 20864746),(73 20004774),(74 19181078),(75 18380768),(76 17640302),(77 16977650),(78 16407867),(79 15993419),
(1 134212.95),(2 472264.78),(3 1006194.7),(4 1704618.3),(5 2554821),(6 3516984.3),(7 4550562.5),(8 5618580.5),(9 6750171),(10 7902476.5),(11 9069040),(12 10250000),(13 11428332),(14 12607449),(15 13772015),(16 14942786),(17 16120388),(18 17313868),(19 18521454),(20 19754720),(21 21023624),(22 22301906),(23 23586640),(24 24894336),(25 26276632),(26 27776056),(27 29375400),(28 30912114),(29 32503210),(30 34051344),(31 35569180),(32 37026124),(33 38476870),(34 39856220),(35 41219296),(36 42496332),(37 43678210),(38 44785428),(39 45732880),(40 46516956),(41 47192390),(42 47673630),(43 48067610),(44 48400304),(45 48573796),(46 48540984),(47 48451584),(48 48170760),(49 47720216),(50 47168784),(51 46474856),(52 45585176),(53 44689850),(54 43740350),(55 42623300),(56 41449680),(57 40260624),(58 39029860),(59 37903150),(60 36706604),(61 35564884),(62 34388960),(63 33202378),(64 32003688),(65 30871402),(66 29720198),(67 28635972),(68 27676402),(69 26741942),(70 25860994),(71 25030574),(72 24251432),(73 23561400),(74 22903248),(75 22329000),(76 21801994),(77 21322756),(78 20889674),(79 20605208),
(1 149404.31),(2 531875),(3 1138918.5),(4 1937044.8),(5 2916332.3),(6 4041004.8),(7 5282696.5),(8 6595396.5),(9 7996600),(10 9424204),(11 10882865),(12 12368265),(13 13840777),(14 15295847),(15 16723607),(16 18155020),(17 19547038),(18 20954228),(19 22386296),(20 23783246),(21 25162828),(22 26522240),(23 27769234),(24 28905624),(25 29992890),(26 31009824),(27 32030440),(28 32833112),(29 33563012),(30 34178956),(31 34744764),(32 35210932),(33 35693330),(34 36105660),(35 36522904),(36 36918576),(37 37183108),(38 37380016),(39 37398788),(40 37275090),(41 37134516),(42 36955836),(43 36769844),(44 36550812),(45 36293656),(46 35959892),(47 35610150),(48 35191520),(49 34779136),(50 34286104),(51 33737770),(52 33187458),(53 32578050),(54 31973702),(55 31416448),(56 30887806),(57 30445352),(58 30149164),(59 29925946),(60 29770246),(61 29741754),(62 29703156),(63 29673548),(64 29645004),(65 29669908),(66 29725324),(67 29861144),(68 30024866),(69 30165102),(70 30298124),(71 30416984),(72 30492084),(73 30531998),(74 30550438),(75 30547368),(76 30501312),(77 30494584),(78 30468012),(79 30484440),
(1 127501.52),(2 470444.4),(3 1018803.2),(4 1755280.4),(5 2670036),(6 3738572),(7 4952478),(8 6270121),(9 7693222.5),(10 9181419),(11 10747882),(12 12384149),(13 14075422),(14 15802608),(15 17522768),(16 19228790),(17 20864372),(18 22470252),(19 24025270),(20 25474152),(21 26849622),(22 28136224),(23 29218362),(24 30079820),(25 30788986),(26 31355964),(27 31806228),(28 32017168),(29 32134912),(30 32115366),(31 32127696),(32 32160698),(33 32183302),(34 32152784),(35 32086938),(36 31880762),(37 31616492),(38 31199940),(39 30667270),(40 30066476),(41 29489750),(42 28832348),(43 28173146),(44 27564852),(45 26917766),(46 26341588),(47 25873378),(48 25465796),(49 25178068),(50 24959246),(51 24814666),(52 24740502),(53 24751646),(54 24882208),(55 25162200),(56 25460294),(57 25811066),(58 26213212),(59 26628220),(60 27074624),(61 27528724),(62 27930068),(63 28318368),(64 28667286),(65 28964166),(66 29187180),(67 29356948),(68 29442732),(69 29421828),(70 29361052),(71 29246522),(72 29104848),(73 28960208),(74 28845152),(75 28728474),(76 28620954),(77 28586902),(78 28558276),(79 28580420),
(1 102836.83),(2 359356.34),(3 765791.6),(4 1308780.1),(5 1980876),(6 2759408),(7 3627468.3),(8 4576925),(9 5576955),(10 6615841),(11 7680528),(12 8783043),(13 9899224),(14 11028485),(15 12140769),(16 13266581),(17 14324407),(18 15343375),(19 16340389),(20 17266322),(21 18211164),(22 19056964),(23 19779800),(24 20407854),(25 20951990),(26 21402220),(27 21720758),(28 21861836),(29 21831948),(30 21645226),(31 21356072),(32 20988866),(33 20546320),(34 20004378),(35 19334170),(36 18584522),(37 17795070),(38 16976508),(39 16169602),(40 15407946),(41 14713577),(42 14085089),(43 13593371),(44 13258116),(45 13088514),(46 13082853),(47 13241127),(48 13544524),(49 14031660),(50 14647307),(51 15388055),(52 16116265),(53 16888664),(54 17723006),(55 18566594),(56 19342622),(57 20070298),(58 20738344),(59 21324046),(60 21795644),(61 22205782),(62 22474418),(63 22630230),(64 22673586),(65 22643624),(66 22528574),(67 22332576),(68 22078766),(69 21767644),(70 21441412),(71 21089188),(72 20745774),(73 20444708),(74 20184940),(75 19977356),(76 19819486),(77 19729462),(78 19680216),(79 19683912),
(1 121395.67),(2 433521.4),(3 920498.8),(4 1538563.3),(5 2269165.5),(6 3083788.8),(7 3980277.5),(8 4930116.5),(9 5921469),(10 6910901.5),(11 7888378.5),(12 8868497),(13 9809106),(14 10695460),(15 11551740),(16 12392267),(17 13161244),(18 13902716),(19 14634345),(20 15351465),(21 16040474),(22 16673783),(23 17260070),(24 17799052),(25 18290338),(26 18710410),(27 19016942),(28 19169432),(29 19175300),(30 19055782),(31 18863688),(32 18596830),(33 18269868),(34 17892586),(35 17528424),(36 17190674),(37 16859204),(38 16579296),(39 16314630),(40 16074592),(41 15872770),(42 15713245),(43 15654671),(44 15696800),(45 15819943),(46 15980881),(47 16175217),(48 16365300),(49 16544502),(50 16718346),(51 16872708),(52 16924132),(53 16975304),(54 17009502),(55 16993006),(56 16965576),(57 16942354),(58 16928842),(59 16944026),(60 16961060),(61 17001978),(62 17028954),(63 17033884),(64 16994338),(65 16944188),(66 16852184),(67 16773376),(68 16695710),(69 16613750),(70 16541900),(71 16486794),(72 16426130),(73 16413167),(74 16407839),(75 16392754),(76 16422116),(77 16493154),(78 16634411),(79 16813008),
(1 105573.47),(2 384367.22),(3 822121.2),(4 1391083.5),(5 2071277.6),(6 2843402.5),(7 3697846.8),(8 4607732.5),(9 5545034.5),(10 6483094.5),(11 7387218),(12 8262989),(13 9074676),(14 9775601),(15 10340168),(16 10817442),(17 11206694),(18 11511230),(19 11756568),(20 11949276),(21 12134142),(22 12318123),(23 12537728),(24 12807924),(25 13166136),(26 13586730),(27 14074280),(28 14553086),(29 15018281),(30 15476493),(31 15948348),(32 16404555),(33 16845574),(34 17241496),(35 17564718),(36 17781598),(37 17949096),(38 18027630),(39 18004754),(40 17876080),(41 17666370),(42 17354130),(43 16990814),(44 16614741),(45 16219816),(46 15819836),(47 15414366),(48 15032408),(49 14678221),(50 14393262),(51 14180626),(52 13992512),(53 13873976),(54 13862924),(55 13919577),(56 14044560),(57 14252580),(58 14542620),(59 14883481),(60 15237607),(61 15623686),(62 15963682),(63 16252196),(64 16462050),(65 16599832),(66 16631784),(67 16573233),(68 16450776),(69 16293730),(70 16127134),(71 15908363),(72 15704483),(73 15532137),(74 15362070),(75 15185664),(76 15060785),(77 14987454),(78 14986294),(79 15061029),
(1 148845.83),(2 546316),(3 1168336.5),(4 1960507.1),(5 2898486.3),(6 3924656),(7 4995091),(8 6062362.5),(9 7081804.5),(10 8011072),(11 8855459),(12 9605006),(13 10246336),(14 10761676),(15 11109019),(16 11322071),(17 11400314),(18 11336100),(19 11202866),(20 11042309),(21 10909836),(22 10749251),(23 10634094),(24 10598822),(25 10679703),(26 10903577),(27 11243849),(28 11671178),(29 12182442),(30 12757627),(31 13370002),(32 13979058),(33 14574754),(34 15112667),(35 15558457),(36 15876514),(37 16166304),(38 16306660),(39 16334169),(40 16220508),(41 15994226),(42 15668174),(43 15291929),(44 14909664),(45 14555718),(46 14220402),(47 13894434),(48 13558004),(49 13242734),(50 12943645),(51 12711698),(52 12535623),(53 12477245),(54 12541472),(55 12681561),(56 12879810),(57 13151170),(58 13492944),(59 13876220),(60 14237692),(61 14562997),(62 14828515),(63 15027563),(64 15151506),(65 15194670),(66 15151276),(67 15033124),(68 14811952),(69 14506896),(70 14141313),(71 13747017),(72 13358210),(73 13002213),(74 12661430),(75 12316825),(76 12010158),(77 11786502),(78 11612050),(79 11474004),
(1 157475.13),(2 576224.25),(3 1239852.6),(4 2108095),(5 3144787),(6 4302058),(7 5549100),(8 6831607.5),(9 8129735.5),(10 9393220),(11 10599338),(12 11694696),(13 12670992),(14 13482310),(15 14063027),(16 14432300),(17 14557271),(18 14440723),(19 14163844),(20 13759177),(21 13297631),(22 12747499),(23 12159000),(24 11631117),(25 11158678),(26 10769351),(27 10458340),(28 10253224),(29 10176385),(30 10194028),(31 10270082),(32 10329837),(33 10357621),(34 10363998),(35 10307923),(36 10142110),(37 9952148),(38 9682602),(39 9424920),(40 9147661),(41 8919113),(42 8725054),(43 8629158),(44 8609748),(45 8692171),(46 8889071),(47 9217346),(48 9691369),(49 10297677),(50 11009432),(51 11838313),(52 12707465),(53 13664776),(54 14702014),(55 15644036),(56 16448632),(57 17138192),(58 17720018),(59 18157876),(60 18395974),(61 18428946),(62 18167774),(63 17667406),(64 16984814),(65 16176361),(66 15338340),(67 14489602),(68 13643416),(69 12854478),(70 12177130),(71 11642360),(72 11296606),(73 11128939),(74 11104900),(75 11216812),(76 11494575),(77 11876213),(78 12305053),(79 12721189),
