1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 527619.2),(2 863325.5),(3 889350),(4 1936940),(5 2830121.8),(6 3258826.3),(7 4783889.5),(8 6172854.5),(9 7106000.5),(10 9042185),(11 10757947),(12 11911512),(13 14185948),(14 16063923),(15 17255638),(16 19324354),(17 21461506),(18 22771718),(19 24855846),(20 27027726),(21 28628480),(22 30984984),(23 33063712),(24 33984590),(25 35479230),(26 36947252),(27 37358748),(28 38564268),(29 39405716),(30 39337908),(31 39948140),(32 40527516),(33 40418520),(34 40780572),(35 40901316),(36 40320136),(37 40956436),(38 41799004),(39 42541508),(40 44021836),(41 45063724),(42 45050304),(43 45691732),(44 46369230),(45 46457810),(46 47618268),(47 48951628),(48 49841308),(49 51361700),(50 53340656),(51 54642530),(52 56628160),(53 58737740),(54 59849004),(55 61494812),(56 63421788),(57 64511124),(58 66342796),(59 68257160),(60 68914936),(61 69699016),(62 71082390),(63 71611896),(64 72322250),(65 73533920),(66 74327576),(67 75159710),(68 76430104),(69 76808170),(70 77524900),(71 78497190),(72 78682376),(73 79224310),(74 80409910),(75 80836616),(76 81745990),(77 83356424),(78 84383140),(79 85368930),
(1 385765.06),(2 685130.1),(3 922501.7),(4 1871164),(5 2731239),(6 3520694.5),(7 4945213),(8 6222729.5),(9 7408406.5),(10 9143451),(11 10707676),(12 12259546),(13 14377117),(14 16254296),(15 18072884),(16 20231168),(17 22289814),(18 24235002),(19 26536016),(20 28861180),(21 31015456),(22 33421952),(23 35717384),(24 37705452),(25 39800984),(26 41911140),(27 43737950),(28 45614904),(29 47581736),(30 49320460),(31 51297990),(32 53445388),(33 55284520),(34 57120830),(35 58990196),(36 60688884),(37 62674216),(38 64594410),(39 66600424),(40 68190630),(41 69805720),(42 71365970),(43 72993944),(44 74567590),(45 76087100),(46 77761864),(47 79195330),(48 80580616),(49 81924664),(50 83068180),(51 83866990),(52 84573930),(53 85140880),(54 85424110),(55 85735600),(56 86035150),(57 86207064),(58 86593630),(59 87197170),(60 87741490),(61 88484824),(62 89414580),(63 90063240),(64 90472780),(65 90868930),(66 91204184),(67 91542540),(68 91858616),(69 91981500),(70 92384590),(71 92705384),(72 92758950),(73 92933976),(74 92645630),(75 91949710),(76 91521860),(77 91298740),(78 90915300),(79 90564340),
(1 235602.88),(2 569452.2),(3 998931.94),(4 1851954.6),(5 2726115.5),(6 3670850),(7 4940036),(8 6166768.5),(9 7462058.5),(10 9060688),(11 10570159),(12 12193135),(13 14142136),(14 15971493),(15 17902610),(16 20035714),(17 22129854),(18 24279488),(19 26663328),(20 28976576),(21 31340528),(22 33795876),(23 36118016),(24 38335908),(25 40572580),(26 42741836),(27 44879956),(28 46959460),(29 48940236),(30 50859340),(31 52911044),(32 54937524),(33 56949652),(34 58943490),(35 60686176),(36 62351148),(37 64011908),(38 65324012),(39 66561760),(40 67377230),(41 67862930),(42 68187416),(43 68664610),(44 68852250),(45 68911336),(46 69041540),(47 68999360),(48 68836210),(49 68892810),(50 68963420),(51 68929310),(52 69005030),(53 68888150),(54 68564070),(55 68238264),(56 67736690),(57 67116900),(58 66708320),(59 66394590),(60 66021788),(61 65954850),(62 65975492),(63 65977156),(64 66070050),(65 66191380),(66 66286316),(67 66524948),(68 66653630),(69 66713310),(70 66910140),(71 66893804),(72 66690284),(73 66442496),(74 65693356),(75 64673920),(76 63718720),(77 62806700),(78 62089324),(79 61481440),
(1 180895.22),(2 591043.1),(3 1224362.5),(4 2212990.3),(5 3377947),(6 4709567),(7 6332135.5),(8 8050736),(9 9912799),(10 12056697),(11 14202004),(12 16522610),(13 19118040),(14 21552682),(15 24018226),(16 26630646),(17 29215424),(18 31797718),(19 34479108),(20 37031332),(21 39711812),(22 42542990),(23 45246412),(24 47829290),(25 50447870),(26 52999216),(27 55573412),(28 58149692),(29 60522860),(30 62822864),(31 65170604),(32 67329780),(33 69502320),(34 71730390),(35 73923624),(36 75993310),(37 77844710),(38 79264424),(39 80397970),(40 81294770),(41 81845416),(42 82065190),(43 82379730),(44 82466850),(45 82530290),(46 82682424),(47 82684510),(48 82609260),(49 82688030),(50 82608110),(51 82542610),(52 82589640),(53 82435040),(54 82046070),(55 81640910),(56 80976190),(57 80208500),(58 79676890),(59 79171970),(60 78658660),(61 78376020),(62 78131910),(63 77983070),(64 78013860),(65 78030040),(66 78085980),(67 78268590),(68 78343280),(69 78339850),(70 78512856),(71 78671920),(72 78918470),(73 79333490),(74 79604030),(75 79957280),(76 80469680),(77 81107864),(78 81886376),(79 82448260),
(1 147114.45),(2 518654.38),(3 1082548.9),(4 1881033.6),(5 2856936.3),(6 3980448.8),(7 5260644),(8 6650644.5),(9 8131808),(10 9757841),(11 11422493),(12 13089731),(13 14841393),(14 16574895),(15 18325090),(16 20131168),(17 21967346),(18 23833774),(19 25769644),(20 27645336),(21 29539666),(22 31390120),(23 33043224),(24 34616984),(25 36132540),(26 37457240),(27 38757412),(28 39926556),(29 40989456),(30 41967972),(31 42906500),(32 43792250),(33 44786930),(34 45933736),(35 46962920),(36 47993284),(37 48977456),(38 49796580),(39 50630436),(40 51400932),(41 52038780),(42 52675724),(43 53371060),(44 54064600),(45 54890090),(46 55804840),(47 56718204),(48 57732316),(49 58959612),(50 60177880),(51 61475084),(52 62768790),(53 63875252),(54 64880530),(55 65708370),(56 66338690),(57 66932444),(58 67647950),(59 68279290),(60 68779140),(61 69233570),(62 69559120),(63 69796700),(64 69853304),(65 69803360),(66 69732664),(67 69687330),(68 69506810),(69 69268410),(70 69097010),(71 68801176),(72 68332584),(73 67899656),(74 67420090),(75 66901604),(76 66469656),(77 66124988),(78 65679052),(79 65086988),
(1 132327.28),(2 478074.56),(3 1022999),(4 1782581),(5 2735530),(6 3882760),(7 5182425),(8 6636180.5),(9 8226496),(10 9909009),(11 11692074),(12 13510328),(13 15315696),(14 17182538),(15 19044956),(16 20880624),(17 22806726),(18 24684278),(19 26502620),(20 28285978),(21 29984180),(22 31546982),(23 33032826),(24 34377228),(25 35598836),(26 36717096),(27 37755736),(28 38676144),(29 39650532),(30 40563190),(31 41391770),(32 42269172),(33 43192424),(34 44049612),(35 44898050),(36 45794550),(37 46478560),(38 46879484),(39 47261700),(40 47492610),(41 47565216),(42 47589740),(43 47565896),(44 47565824),(45 47636190),(46 47679610),(47 47784744),(48 47996404),(49 48221824),(50 48523916),(51 48835204),(52 49094630),(53 49252976),(54 49246530),(55 49213988),(56 49188660),(57 49202636),(58 49284896),(59 49490276),(60 49675080),(61 49861610),(62 50136252),(63 50424372),(64 50530584),(65 50722344),(66 51012904),(67 51174160),(68 51209210),(69 51075170),(70 50769628),(71 50358924),(72 49772410),(73 49014828),(74 48209130),(75 47304908),(76 46282880),(77 45315704),(78 44323948),(79 43323330),
(1 168347.33),(2 618508.75),(3 1301771.8),(4 2209809.8),(5 3304909.3),(6 4576461),(7 5981864.5),(8 7493853),(9 9077366),(10 10747559),(11 12449175),(12 14200240),(13 15981024),(14 17792324),(15 19581314),(16 21284994),(17 22985940),(18 24672668),(19 26404650),(20 28188014),(21 29990642),(22 31699870),(23 33296456),(24 34732276),(25 36107020),(26 37415932),(27 38672470),(28 39865852),(29 41079920),(30 42322256),(31 43609020),(32 44949230),(33 46400740),(34 47852736),(35 49252144),(36 50629948),(37 51908932),(38 52925890),(39 53739620),(40 54371580),(41 54702340),(42 54877212),(43 54993170),(44 54981660),(45 54941910),(46 54847256),(47 54670200),(48 54515336),(49 54447160),(50 54292536),(51 54179864),(52 54041748),(53 53662850),(54 53241900),(55 52814484),(56 52344744),(57 51941716),(58 51566804),(59 51174940),(60 50956424),(61 50962820),(62 50947270),(63 51028644),(64 51176924),(65 51304940),(66 51514616),(67 51629520),(68 51581740),(69 51372924),(70 50968548),(71 50346908),(72 49649750),(73 48755190),(74 47810196),(75 46910148),(76 45924500),(77 44904324),(78 43840836),(79 42810020),
(1 157857.19),(2 584433.2),(3 1253801.5),(4 2146856.3),(5 3202587),(6 4402919.5),(7 5719546),(8 7105071.5),(9 8544011),(10 10022047),(11 11466076),(12 12948403),(13 14425420),(14 15906477),(15 17403672),(16 18857578),(17 20244002),(18 21644580),(19 22978340),(20 24268160),(21 25488120),(22 26607608),(23 27694216),(24 28707444),(25 29594218),(26 30397824),(27 31165306),(28 31791492),(29 32346010),(30 32840670),(31 33280160),(32 33675200),(33 34070460),(34 34379496),(35 34596372),(36 34927504),(37 35119540),(38 35173532),(39 35102790),(40 34862276),(41 34464880),(42 34089452),(43 33574800),(44 32995076),(45 32424952),(46 31801216),(47 31111540),(48 30462464),(49 29836544),(50 29129146),(51 28485688),(52 27890996),(53 27236256),(54 26668476),(55 26178656),(56 25717888),(57 25329138),(58 25097544),(59 24937446),(60 24952768),(61 25102148),(62 25239898),(63 25538738),(64 26017804),(65 26560274),(66 27340978),(67 28285400),(68 29155208),(69 30087842),(70 31005636),(71 31973596),(72 33063412),(73 34314044),(74 35558116),(75 36807250),(76 37970220),(77 38904856),(78 39820520),(79 40534348),
(1 154444.67),(2 563792.56),(3 1195234.1),(4 2037990.6),(5 3059370.3),(6 4224925.5),(7 5522001.5),(8 6907707),(9 8346217.5),(10 9847491),(11 11377152),(12 12913092),(13 14428948),(14 15891371),(15 17285866),(16 18606220),(17 19854268),(18 20970164),(19 21987824),(20 22900296),(21 23660196),(22 24259226),(23 24800686),(24 25291716),(25 25658302),(26 25929430),(27 26216324),(28 26459264),(29 26670600),(30 26944556),(31 27249880),(32 27577144),(33 28023992),(34 28452754),(35 28816050),(36 29290326),(37 29698906),(38 30040172),(39 30355746),(40 30630066),(41 30881094),(42 31165654),(43 31345000),(44 31516084),(45 31645680),(46 31723212),(47 31755502),(48 31775710),(49 31736176),(50 31672508),(51 31540636),(52 31374424),(53 31110520),(54 30776356),(55 30405558),(56 30036516),(57 29695600),(58 29377902),(59 29122944),(60 28951028),(61 28796880),(62 28598102),(63 28356650),(64 28115788),(65 27824072),(66 27438116),(67 26910702),(68 26275760),(69 25625272),(70 24935360),(71 24305768),(72 23749902),(73 23273662),(74 22881058),(75 22702346),(76 22700990),(77 22800678),(78 23095338),(79 23348472),
(1 179287.64),(2 669147.8),(3 1416509.4),(4 2415578.5),(5 3607235.5),(6 4934322.5),(7 6427405.5),(8 8029701.5),(9 9696581),(10 11445069),(11 13210532),(12 14952633),(13 16673476),(14 18394494),(15 20124320),(16 21757552),(17 23345284),(18 24843234),(19 26195896),(20 27431646),(21 28572340),(22 29503080),(23 30177696),(24 30773656),(25 31356842),(26 31778386),(27 32184924),(28 32566614),(29 32858184),(30 33153906),(31 33400160),(32 33593948),(33 33853212),(34 34020030),(35 34061416),(36 34117532),(37 34141584),(38 34062000),(39 33963108),(40 33824620),(41 33609870),(42 33393188),(43 33099474),(44 32753308),(45 32389884),(46 31939850),(47 31443946),(48 30903016),(49 30319282),(50 29684262),(51 28984334),(52 28299670),(53 27566930),(54 26779392),(55 26026680),(56 25239866),(57 24513952),(58 23926920),(59 23364268),(60 22927790),(61 22640468),(62 22506980),(63 22560924),(64 22773940),(65 23101450),(66 23572694),(67 24091502),(68 24681444),(69 25330318),(70 25967812),(71 26634852),(72 27302322),(73 27950760),(74 28495820),(75 28973462),(76 29347124),(77 29546006),(78 29721898),(79 29844298),
(1 241707.33),(2 921462.2),(3 1994216.5),(4 3430498),(5 5152441.5),(6 7061275.5),(7 9128217),(8 11308973),(9 13545895),(10 15792772),(11 17947312),(12 19991390),(13 21916702),(14 23736856),(15 25367626),(16 26761102),(17 27884288),(18 28661040),(19 29191268),(20 29476408),(21 29539930),(22 29436352),(23 29183962),(24 28797394),(25 28436374),(26 28005002),(27 27632848),(28 27312132),(29 27016458),(30 26765922),(31 26524014),(32 26324778),(33 26229700),(34 26106080),(35 25983840),(36 25898410),(37 25796558),(38 25693760),(39 25650158),(40 25590694),(41 25583200),(42 25672814),(43 25875780),(44 26227946),(45 26748702),(46 27403994),(47 28179498),(48 29063760),(49 29972048),(50 30761532),(51 31476826),(52 32019600),(53 32370926),(54 32517172),(55 32500412),(56 32238788),(57 31794018),(58 31293886),(59 30628824),(60 29723900),(61 28657284),(62 27468014),(63 26184786),(64 24824532),(65 23502950),(66 22205832),(67 21028310),(68 20012120),(69 19149244),(70 18472632),(71 17973572),(72 17657762),(73 17540432),(74 17633266),(75 17909270),(76 18272630),(77 18693760),(78 19222276),(79 19845352),
