1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 2096.6008),(2 4232.9404),(3 5879.241),(4 7119.276),(5 8052.0225),(6 8928.998),(7 9398.265),(8 9739.798),(9 10065.45),(10 10378.305),(11 10671.351),(12 10924.583),(13 11161.871),(14 11335.173),(15 11413.516),(16 11489.592),(17 11613.406),(18 11902.28),(19 12057.415),(20 12241.118),(21 12367.82),(22 12505.277),(23 12662.623),(24 12766.477),(25 12782.973),(26 12809.498),(27 12801.044),(28 12882.975),(29 12885.844),(30 13048.899),(31 13083.681),(32 13175.368),(33 13326.346),(34 13513.297),(35 13612.434),(36 13696.359),(37 13794.184),(38 13729.358),(39 13716.647),(40 13781.016),(41 13789.712),(42 13901.317),(43 13914.951),(44 13851.408),(45 13826.919),(46 13787.567),(47 13795.793),(48 13800.443),(49 13837.668),(50 13765.013),(51 13737.537),(52 13630.196),(53 13504.732),(54 13579.462),(55 13500.891),(56 13387.545),(57 13338.5),(58 13264.405),(59 13276.5625),(60 13283.441),(61 13392.416),(62 13336.365),(63 13250.129),(64 13160.058),(65 13152.378),(66 13216.374),(67 13261.077),(68 13336.983),(69 13357.67),(70 13341.084),(71 13262.852),(72 13187.377),(73 13131.72),(74 13066.848),(75 13002.578),(76 12993.254),(77 13129.542),(78 13361.148),(79 13455.407),
(1 2004.6748),(2 3990.7312),(3 5459.3804),(4 6653.7085),(5 7446.8936),(6 8289.932),(7 8711.435),(8 9110.311),(9 9498.803),(10 9913.749),(11 10197.146),(12 10435.803),(13 10610.108),(14 10730.002),(15 10807.827),(16 10916.479),(17 11024.89),(18 11408.932),(19 11600.714),(20 11784.447),(21 11928.214),(22 12118.036),(23 12292.768),(24 12421.407),(25 12556.477),(26 12571.138),(27 12590.01),(28 12606.32),(29 12582.725),(30 12726.056),(31 12730.753),(32 12808.78),(33 12992.088),(34 13151.247),(35 13209.918),(36 13258.952),(37 13229.044),(38 13131.125),(39 13043.334),(40 12915.985),(41 12891.726),(42 12910.293),(43 12854.023),(44 12796.622),(45 12774.909),(46 12778.467),(47 12763.898),(48 12757.496),(49 12782.266),(50 12883.315),(51 13054.366),(52 13158.957),(53 13116.8),(54 13222.425),(55 13185.138),(56 13213.432),(57 13219.2295),(58 13202.2705),(59 13379.998),(60 13458.743),(61 13463.862),(62 13479.098),(63 13478.555),(64 13405.452),(65 13399.217),(66 13455.557),(67 13455.888),(68 13355.129),(69 13274.2),(70 13281.322),(71 13288.908),(72 13191.547),(73 13167.036),(74 13069.715),(75 13067.55),(76 13013.325),(77 13047.76),(78 13195.075),(79 13184.556),
(1 2007.6986),(2 3896.203),(3 5350.938),(4 6387.156),(5 7094.0015),(6 7925.0757),(7 8296.794),(8 8703.737),(9 9163.074),(10 9704.688),(11 10085.528),(12 10390.177),(13 10719.783),(14 10826.888),(15 10925.233),(16 11140.841),(17 11256.913),(18 11560.954),(19 11694.776),(20 11753.568),(21 11881.118),(22 11997.374),(23 12108.57),(24 12146.51),(25 12207.917),(26 12209.799),(27 12294.693),(28 12280.762),(29 12278.349),(30 12386.812),(31 12386.132),(32 12386.622),(33 12421.473),(34 12523.401),(35 12684.253),(36 12796.189),(37 12840.724),(38 12815.999),(39 12760.711),(40 12680.802),(41 12656.218),(42 12619.889),(43 12612.579),(44 12506.366),(45 12451.956),(46 12441.321),(47 12498.049),(48 12560.81),(49 12608.156),(50 12649.37),(51 12660.423),(52 12658.072),(53 12566.94),(54 12679.571),(55 12660.5),(56 12729.913),(57 12782.162),(58 12856.974),(59 12954.039),(60 12977.112),(61 12934.121),(62 12986.432),(63 13008.721),(64 12974.661),(65 13027.334),(66 13095.043),(67 13109.641),(68 13105.742),(69 12971.007),(70 12893.298),(71 12819.778),(72 12708.218),(73 12629.239),(74 12664.617),(75 12758.338),(76 12811.664),(77 12775.837),(78 12808.619),(79 12815.21),
(1 1932.113),(2 3785.1985),(3 5214.151),(4 6259.4297),(5 7074.288),(6 7877.254),(7 8244.165),(8 8603.105),(9 8961.758),(10 9394.488),(11 9677.077),(12 9906.831),(13 10148.808),(14 10245.544),(15 10288.1455),(16 10375.382),(17 10489.432),(18 10831.263),(19 10991.389),(20 11147.11),(21 11352.453),(22 11496.6),(23 11649.848),(24 11826.174),(25 11884.774),(26 11980.286),(27 12156.178),(28 12197.765),(29 12272.873),(30 12360.257),(31 12373.768),(32 12403.013),(33 12413.447),(34 12527.827),(35 12639.764),(36 12682.539),(37 12708.4375),(38 12678.261),(39 12617.615),(40 12526.464),(41 12547.008),(42 12582.327),(43 12642.686),(44 12655.343),(45 12553.103),(46 12458.919),(47 12480.783),(48 12522.914),(49 12611.733),(50 12618.038),(51 12668.144),(52 12608.072),(53 12644.426),(54 12814.732),(55 12784.176),(56 12722.114),(57 12714.807),(58 12776.416),(59 12790.078),(60 12721.606),(61 12569.651),(62 12456.328),(63 12322.286),(64 12181.988),(65 12110.55),(66 12251.816),(67 12352.186),(68 12396.8),(69 12413.712),(70 12428.363),(71 12440.29),(72 12439.615),(73 12448.452),(74 12429.285),(75 12372.998),(76 12318.294),(77 12252.757),(78 12357.976),(79 12304.561),
(1 1815.2782),(2 3549.1362),(3 4877.5186),(4 5924.7134),(5 6732.2354),(6 7465.3647),(7 7878.3174),(8 8230.183),(9 8545.852),(10 8772.602),(11 8964.839),(12 9170.5625),(13 9380.661),(14 9471.453),(15 9563.37),(16 9643.624),(17 9696.027),(18 9985.529),(19 10061.3545),(20 10211.248),(21 10396.634),(22 10595.586),(23 10734.55),(24 10888.765),(25 10995.109),(26 11129.017),(27 11247.046),(28 11244.703),(29 11258.43),(30 11306.402),(31 11297.167),(32 11239.364),(33 11297.372),(34 11356.593),(35 11456.877),(36 11421.942),(37 11421.197),(38 11313.307),(39 11252.611),(40 11211.28),(41 11242.15),(42 11441.694),(43 11528.461),(44 11570.427),(45 11497.662),(46 11406.614),(47 11346.274),(48 11253.911),(49 11298.791),(50 11282.288),(51 11375.938),(52 11478.456),(53 11509.113),(54 11615.782),(55 11619.965),(56 11645.114),(57 11676.161),(58 11775.21),(59 11875.181),(60 11904.497),(61 11850.694),(62 11779.964),(63 11690.372),(64 11547.253),(65 11477.8),(66 11576.096),(67 11622.651),(68 11611.083),(69 11603.446),(70 11597.373),(71 11585.389),(72 11545.184),(73 11521.692),(74 11516.632),(75 11475.952),(76 11423.022),(77 11349.77),(78 11498.246),(79 11435.768),
(1 1811.8888),(2 3474.4678),(3 4756.115),(4 5758.4243),(5 6515.772),(6 7265.708),(7 7647.439),(8 7940.4487),(9 8183.915),(10 8471.039),(11 8675.131),(12 8971.312),(13 9221.714),(14 9430.241),(15 9529.42),(16 9582.875),(17 9658.008),(18 9962.017),(19 10080.568),(20 10220.093),(21 10368.781),(22 10474.851),(23 10599.233),(24 10684.455),(25 10822.137),(26 10858.441),(27 10992.867),(28 11024.078),(29 11036.294),(30 11040.502),(31 10944.084),(32 10936.533),(33 11037.891),(34 11035.922),(35 11066.832),(36 11044.351),(37 11110.93),(38 11128.106),(39 11074.987),(40 10985.787),(41 10950.448),(42 11068.303),(43 11073.209),(44 10989.595),(45 10886.403),(46 10798.412),(47 10717.343),(48 10658.456),(49 10656.936),(50 10573.086),(51 10637.059),(52 10777.946),(53 10868.178),(54 11046.776),(55 11046.528),(56 11054.961),(57 11185.265),(58 11259.842),(59 11320.27),(60 11427.857),(61 11491.292),(62 11500.892),(63 11450.354),(64 11344.046),(65 11260.912),(66 11307.482),(67 11329.302),(68 11292.389),(69 11266.509),(70 11213.443),(71 11139.604),(72 11073.315),(73 11017.272),(74 11033.434),(75 10982.571),(76 11033.575),(77 11005.902),(78 11171.392),(79 11119.235),
(1 1739.4155),(2 3384.257),(3 4641.276),(4 5534.3506),(5 6206.992),(6 6985.587),(7 7395.0557),(8 7698.0005),(9 7934.1694),(10 8243.447),(11 8492.312),(12 8761.234),(13 8958.232),(14 9053.834),(15 9177.921),(16 9187.758),(17 9178.696),(18 9462.252),(19 9563.491),(20 9655.69),(21 9817.198),(22 9865.853),(23 9982.661),(24 10058.516),(25 10129.27),(26 10215.072),(27 10362.287),(28 10516.373),(29 10631.392),(30 10765.91),(31 10682.1045),(32 10646.728),(33 10658.16),(34 10628.756),(35 10600.008),(36 10599.226),(37 10626.312),(38 10631.822),(39 10585.893),(40 10502.552),(41 10413.009),(42 10574.711),(43 10608.099),(44 10621.373),(45 10587.353),(46 10554.98),(47 10607.288),(48 10644.49),(49 10656.184),(50 10688.102),(51 10717.476),(52 10788.051),(53 10875.637),(54 10886.331),(55 10949.331),(56 10966.941),(57 10945.239),(58 10943.7),(59 10978.213),(60 10956.338),(61 10948.838),(62 10881.707),(63 10861.034),(64 10813.386),(65 10769.512),(66 10897.853),(67 10910.496),(68 10861.7705),(69 10892.617),(70 10933.133),(71 10795.536),(72 10751.676),(73 10681.381),(74 10625.954),(75 10584.907),(76 10577.54),(77 10576.731),(78 10651.17),(79 10633.428),
(1 1711.4053),(2 3346.7222),(3 4616.09),(4 5439.7656),(5 6047.991),(6 6707.831),(7 7073.052),(8 7400.5386),(9 7683.0083),(10 7898.577),(11 8093.6626),(12 8221.337),(13 8337.6045),(14 8519.668),(15 8663.642),(16 8745.21),(17 8759.457),(18 8999.863),(19 9111.804),(20 9215.05),(21 9316.248),(22 9461.27),(23 9450.464),(24 9465.803),(25 9491.17),(26 9598.905),(27 9722.184),(28 9879.766),(29 9935.737),(30 10075.785),(31 10058.829),(32 10037.721),(33 10033.926),(34 10116.703),(35 10239.996),(36 10277.2705),(37 10309.079),(38 10321.793),(39 10267.565),(40 10109.666),(41 9980.749),(42 10076.54),(43 10135.907),(44 10114.521),(45 10072.044),(46 10050.998),(47 10107.147),(48 10089.426),(49 10067.936),(50 10107.583),(51 10158.504),(52 10186.759),(53 10152.702),(54 10167.093),(55 10164.852),(56 10074.532),(57 10064.164),(58 10072.771),(59 10091.024),(60 10039.2295),(61 10028.686),(62 10053.896),(63 10023.841),(64 10001.058),(65 10024.216),(66 10113.138),(67 10112.168),(68 10078.6875),(69 10051.874),(70 10015.162),(71 9940.325),(72 9862.509),(73 9820.512),(74 9787.415),(75 9834.7705),(76 9836.344),(77 9849.877),(78 9887.3955),(79 9878.503),
(1 1716.5897),(2 3310.1333),(3 4526.939),(4 5376.8916),(5 6004.8745),(6 6718.5684),(7 7096.1167),(8 7425.861),(9 7737.7554),(10 7975.477),(11 8194.936),(12 8365.742),(13 8479.848),(14 8544.74),(15 8573.195),(16 8646.086),(17 8711.221),(18 8980.042),(19 9071.638),(20 9165.943),(21 9242.26),(22 9279.029),(23 9257.567),(24 9411.435),(25 9491.891),(26 9596.464),(27 9683.949),(28 9765.239),(29 9741.592),(30 9900.126),(31 9891.073),(32 9929.157),(33 9950.309),(34 9947.018),(35 9962.099),(36 9944.88),(37 10032.431),(38 10041.831),(39 10060.628),(40 10060.35),(41 10030.106),(42 10180.689),(43 10227.069),(44 10187.957),(45 10136.93),(46 10162.918),(47 10196.932),(48 10165.488),(49 10162.655),(50 10280.288),(51 10308.81),(52 10256.637),(53 10154.999),(54 10208.446),(55 10211.558),(56 10189.292),(57 10177.546),(58 10146.796),(59 10165.402),(60 10107.866),(61 10178.665),(62 10239.363),(63 10301.75),(64 10246.546),(65 10222.394),(66 10248),(67 10246.351),(68 10296.508),(69 10347.69),(70 10280.32),(71 10263.354),(72 10181.206),(73 10177.662),(74 10136.393),(75 10147.383),(76 10104.278),(77 10041.039),(78 10117.356),(79 10046.946),
(1 1613.2982),(2 3128.9749),(3 4292.7896),(4 5090.5156),(5 5731.523),(6 6398.8105),(7 6791.103),(8 7039.016),(9 7276.6826),(10 7558.2056),(11 7825.017),(12 8014.063),(13 8174.3735),(14 8214.406),(15 8230.608),(16 8287.007),(17 8361.887),(18 8524.436),(19 8624.798),(20 8766.102),(21 8842.576),(22 8937.083),(23 8981.712),(24 9081.274),(25 9211.439),(26 9371.152),(27 9556.33),(28 9714.947),(29 9764.01),(30 9928.362),(31 9950.7295),(32 9919.471),(33 9862.936),(34 9837.954),(35 9779.612),(36 9783.975),(37 9807.895),(38 9778.454),(39 9853.192),(40 9834.105),(41 9828.343),(42 9856.832),(43 9897.553),(44 9935.477),(45 9957.602),(46 10048.99),(47 10157.556),(48 10135.068),(49 10110.372),(50 10147.987),(51 10159.565),(52 10135.807),(53 10134.825),(54 10212.738),(55 10212.696),(56 10204.809),(57 10123.478),(58 10065.159),(59 10074.443),(60 9979.149),(61 9934.448),(62 9927.346),(63 9930.095),(64 9904.167),(65 9889.358),(66 9943.789),(67 9902.234),(68 9936.366),(69 9931.342),(70 9897.147),(71 9904.904),(72 9867.128),(73 9899.396),(74 9906.801),(75 9961.836),(76 9922.097),(77 9878.695),(78 9813.078),(79 9807.256),
(1 1545.4886),(2 2994.4055),(3 4078.7358),(4 4906.565),(5 5489.8877),(6 6149.1367),(7 6535.108),(8 6809.047),(9 7024.8813),(10 7241.482),(11 7436.7397),(12 7593.629),(13 7732.225),(14 7790.5728),(15 7861.788),(16 7896.968),(17 7975.69),(18 8265.949),(19 8427.811),(20 8555.045),(21 8619.277),(22 8647.787),(23 8687.385),(24 8743.821),(25 8811.049),(26 8869.661),(27 8988.239),(28 8993.081),(29 8978.623),(30 9159.694),(31 9184.651),(32 9212.812),(33 9246.756),(34 9328.206),(35 9393.284),(36 9442.709),(37 9417.771),(38 9341.39),(39 9336.363),(40 9281.728),(41 9211.692),(42 9277.171),(43 9242.057),(44 9180.116),(45 9111.83),(46 9103.63),(47 9075.988),(48 9056.056),(49 9161.556),(50 9246.213),(51 9306.614),(52 9339.403),(53 9305.511),(54 9457.414),(55 9439.197),(56 9383.261),(57 9402.871),(58 9389.428),(59 9465.935),(60 9458.527),(61 9444.159),(62 9456.297),(63 9411.796),(64 9365.813),(65 9290.011),(66 9339.549),(67 9309.315),(68 9312.506),(69 9317.717),(70 9350.468),(71 9355.816),(72 9277.869),(73 9275.453),(74 9239.239),(75 9193.496),(76 9146.193),(77 9118.92),(78 9204.884),(79 9239.516),
(1 1531.914),(2 2927.3928),(3 3981.6829),(4 4683.8765),(5 5227.4785),(6 5821.739),(7 6099.2666),(8 6257.231),(9 6437.3164),(10 6667.283),(11 6855.798),(12 6981.719),(13 7145.5366),(14 7250.2266),(15 7329.4253),(16 7456.7295),(17 7591.2285),(18 7815.1797),(19 7941.139),(20 8046.2344),(21 8149.384),(22 8244.221),(23 8290.693),(24 8357.508),(25 8438.157),(26 8449.573),(27 8511.495),(28 8525.283),(29 8498.214),(30 8586.233),(31 8622.494),(32 8625.345),(33 8668.474),(34 8762.857),(35 8831.983),(36 8853.771),(37 8919.91),(38 8877.702),(39 8885.911),(40 8813.428),(41 8746.716),(42 8768.932),(43 8690.536),(44 8620.545),(45 8589.979),(46 8563.868),(47 8592.629),(48 8646.673),(49 8701.146),(50 8800.313),(51 8830.891),(52 8831.1),(53 8838.295),(54 8921.892),(55 8961.856),(56 8884.887),(57 8780.259),(58 8767.306),(59 8817.495),(60 8865.6),(61 8929.599),(62 8962.605),(63 8920.722),(64 8875.69),(65 8886.1875),(66 9006.755),(67 8965.445),(68 8911.122),(69 8869.418),(70 8871.816),(71 8807.003),(72 8778.503),(73 8777.088),(74 8706.98),(75 8710.574),(76 8699.539),(77 8664.494),(78 8824.713),(79 8907.318),
(1 1444.5128),(2 2763.954),(3 3750.1255),(4 4435.5356),(5 4958.6484),(6 5508.463),(7 5800.3486),(8 6026.426),(9 6132.3584),(10 6340.553),(11 6500.7524),(12 6712.258),(13 6805.33),(14 6909.1997),(15 6984.8057),(16 7069.4385),(17 7186.472),(18 7375.427),(19 7468.394),(20 7595.717),(21 7761.4775),(22 7860.668),(23 7944.8057),(24 8072.2944),(25 8141.742),(26 8209.455),(27 8253.329),(28 8276.647),(29 8326.35),(30 8438.938),(31 8492.913),(32 8499.906),(33 8480.661),(34 8476.804),(35 8437.838),(36 8470.431),(37 8460.044),(38 8437.642),(39 8419.891),(40 8420.217),(41 8418.976),(42 8500.028),(43 8523.182),(44 8466.186),(45 8410.922),(46 8393.378),(47 8356.279),(48 8374.201),(49 8377.616),(50 8383.734),(51 8422.438),(52 8418.317),(53 8430.479),(54 8449.715),(55 8441.749),(56 8488.377),(57 8462.985),(58 8504.029),(59 8561.48),(60 8609.609),(61 8694.342),(62 8711.277),(63 8701.057),(64 8669.847),(65 8622.838),(66 8672.776),(67 8676.076),(68 8651.604),(69 8591.6),(70 8560.868),(71 8487.76),(72 8415.449),(73 8385.392),(74 8366.858),(75 8340.494),(76 8298.345),(77 8202.895),(78 8237.062),(79 8240.356),
(1 1420.6375),(2 2707.4292),(3 3644.446),(4 4289.6636),(5 4790.5405),(6 5369.3154),(7 5587.991),(8 5768.235),(9 5891.7085),(10 6107.4766),(11 6267.51),(12 6456.1143),(13 6580.088),(14 6679.765),(15 6740.8555),(16 6847.1323),(17 7007.441),(18 7265.096),(19 7320.5903),(20 7316.3325),(21 7305.4214),(22 7338.088),(23 7394.438),(24 7502.048),(25 7587.0244),(26 7694.9116),(27 7819.339),(28 7817.6846),(29 7839.9414),(30 8027.4116),(31 8096.68),(32 8154.0166),(33 8213.128),(34 8272.248),(35 8286.336),(36 8252.809),(37 8242.956),(38 8260.532),(39 8255.706),(40 8229.045),(41 8305.001),(42 8450.728),(43 8553.947),(44 8568.631),(45 8498.484),(46 8451.389),(47 8411.853),(48 8480.867),(49 8558.792),(50 8633.051),(51 8675.522),(52 8641.881),(53 8576.064),(54 8617.07),(55 8610.647),(56 8588.701),(57 8570.822),(58 8581.826),(59 8663.723),(60 8721.7),(61 8800.981),(62 8834.071),(63 8862.75),(64 8835.363),(65 8812.401),(66 8881.199),(67 8851.47),(68 8830.115),(69 8718.43),(70 8670.903),(71 8656.31),(72 8622.601),(73 8675.475),(74 8673.892),(75 8715.804),(76 8711.693),(77 8666.734),(78 8655.653),(79 8622.698),
(1 1412.5381),(2 2681.4302),(3 3644.372),(4 4273.414),(5 4804.145),(6 5355.1807),(7 5610.9746),(8 5779.873),(9 5897.478),(10 6049.1636),(11 6159.2505),(12 6325.3936),(13 6511.883),(14 6675.6724),(15 6739.758),(16 6812.8516),(17 6870.029),(18 7096.3193),(19 7165.6274),(20 7186.6094),(21 7190.0103),(22 7262.775),(23 7312.5347),(24 7345.7856),(25 7448.307),(26 7562.5435),(27 7622.9253),(28 7660.8496),(29 7657.7544),(30 7797.8447),(31 7850.706),(32 7937.155),(33 7981.9854),(34 8037.868),(35 8071.817),(36 8069.6553),(37 8081.917),(38 8085.176),(39 8064.6265),(40 8079.8213),(41 8118.89),(42 8244.187),(43 8272.552),(44 8277.651),(45 8236.178),(46 8161.751),(47 8116.2593),(48 8096.666),(49 8188.2876),(50 8228.5205),(51 8238.111),(52 8314.937),(53 8320.747),(54 8424.027),(55 8426.268),(56 8455.273),(57 8482.22),(58 8490.15),(59 8537.975),(60 8500.172),(61 8524.578),(62 8538.921),(63 8511.78),(64 8418.559),(65 8369.081),(66 8374.494),(67 8402.144),(68 8490.595),(69 8526.614),(70 8484.671),(71 8473.747),(72 8484.921),(73 8505.351),(74 8502.621),(75 8522.196),(76 8514.771),(77 8445.264),(78 8462.429),(79 8432.291),
(1 1357.0093),(2 2575.519),(3 3459.3542),(4 4098.45),(5 4589.491),(6 5166.709),(7 5481.134),(8 5685.049),(9 5853.2837),(10 6096.1353),(11 6226.01),(12 6373.26),(13 6493.151),(14 6636.7153),(15 6690.696),(16 6739.474),(17 6768.1714),(18 7027.8193),(19 7059.3765),(20 7175.7026),(21 7245.42),(22 7335.021),(23 7373.7095),(24 7483.485),(25 7531.7773),(26 7604.9946),(27 7722.643),(28 7761.79),(29 7784.9927),(30 7921.304),(31 7976.588),(32 8039.4995),(33 8038.827),(34 8123.3193),(35 8133.247),(36 8091.506),(37 8028.382),(38 8043.7925),(39 8019.5625),(40 7993.2544),(41 7925.7607),(42 8001.8467),(43 7998.103),(44 7952.2476),(45 7958.9087),(46 7953.2944),(47 7933.44),(48 7990.345),(49 8035.2354),(50 8123.0605),(51 8219.266),(52 8322.453),(53 8331.313),(54 8410.544),(55 8390.452),(56 8421.497),(57 8463.395),(58 8543.049),(59 8533.557),(60 8481.362),(61 8456.93),(62 8477.671),(63 8423.521),(64 8358.522),(65 8301.262),(66 8302.383),(67 8259.413),(68 8283.336),(69 8296.713),(70 8268.203),(71 8291.129),(72 8299.333),(73 8259.275),(74 8203.174),(75 8202.105),(76 8115.5864),(77 8049.2964),(78 8176.051),(79 8172.9165),
(1 1344.9374),(2 2530.4285),(3 3428.1492),(4 4055.867),(5 4541.171),(6 4995.682),(7 5222.8315),(8 5402.2383),(9 5497.503),(10 5644.718),(11 5805.4106),(12 5999.174),(13 6099.888),(14 6214.4663),(15 6276.701),(16 6329.2803),(17 6373.1133),(18 6562.89),(19 6645.6353),(20 6710.8926),(21 6714.0625),(22 6766.9385),(23 6806.1436),(24 6898.407),(25 6933.576),(26 6993.083),(27 7072.61),(28 7055.3203),(29 7123.672),(30 7230.839),(31 7272.66),(32 7225.83),(33 7181.306),(34 7213.504),(35 7208.492),(36 7207.6255),(37 7172.9536),(38 7202.749),(39 7205.2637),(40 7242.809),(41 7284.825),(42 7350.581),(43 7377.494),(44 7411.4634),(45 7390.3193),(46 7358.4775),(47 7351.5415),(48 7403.4097),(49 7391.815),(50 7392.5996),(51 7433.7173),(52 7451.9272),(53 7438.9253),(54 7492.987),(55 7488.176),(56 7533.7246),(57 7576.2397),(58 7559.7764),(59 7559.8145),(60 7560.1875),(61 7577.802),(62 7596.376),(63 7561.659),(64 7576.4946),(65 7592.6294),(66 7591.087),(67 7562.023),(68 7556.8325),(69 7539.5303),(70 7538.8716),(71 7604.3115),(72 7637.705),(73 7654.082),(74 7603.61),(75 7632.2676),(76 7640.0854),(77 7619.7715),(78 7570.037),(79 7564.087),
(1 1305.5779),(2 2376.2593),(3 3183.8108),(4 3718.8958),(5 4168.111),(6 4640.712),(7 4867.694),(8 5053.502),(9 5188.3496),(10 5359.6924),(11 5524.126),(12 5694.96),(13 5832.626),(14 5943.608),(15 6063.1206),(16 6060.793),(17 6111.866),(18 6207.86),(19 6260.12),(20 6331.505),(21 6436.107),(22 6475.3965),(23 6536.0635),(24 6619.3867),(25 6681.4717),(26 6747.0146),(27 6805.7607),(28 6832.2295),(29 6803.3125),(30 7033.0464),(31 7113.237),(32 7114.2856),(33 7111.404),(34 7130.6177),(35 7150.0967),(36 7110.9014),(37 7136.753),(38 7102.741),(39 7090.9946),(40 7143.4946),(41 7173.694),(42 7256.3857),(43 7286.768),(44 7308.7),(45 7333.3433),(46 7278.5728),(47 7303.2275),(48 7333.542),(49 7337.7905),(50 7361.9067),(51 7450.308),(52 7434.687),(53 7445.5225),(54 7570.0693),(55 7620.9834),(56 7579.7656),(57 7628.619),(58 7667.9263),(59 7715.365),(60 7733.002),(61 7718.1914),(62 7721.08),(63 7739.387),(64 7777.8354),(65 7792.166),(66 7811.029),(67 7781.5747),(68 7790.792),(69 7791.119),(70 7789.846),(71 7804.998),(72 7741.9683),(73 7693.6196),(74 7648.26),(75 7690.214),(76 7689.828),(77 7703.0903),(78 7663.8105),(79 7638.7207),
