1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 93100.71),(2 239491.88),(3 513159.6),(4 808813.94),(5 1196806.9),(6 1600223.9),(7 2077498),(8 2598139.8),(9 3087148),(10 3546308.3),(11 3908196.3),(12 4278253.5),(13 4586271.5),(14 4947950.5),(15 5330389),(16 5837382.5),(17 6401086.5),(18 7163907.5),(19 7903154),(20 8717941),(21 9624989),(22 10560451),(23 11686699),(24 12696507),(25 13763163),(26 14831751),(27 15963619),(28 16965888),(29 18094646),(30 19152902),(31 20404094),(32 21679380),(33 22882406),(34 24294370),(35 25770474),(36 27123034),(37 28588186),(38 29923352),(39 31141002),(40 32378766),(41 33694508),(42 34776144),(43 35776732),(44 36741284),(45 37631092),(46 38619620),(47 39605090),(48 40630870),(49 41471540),(50 42492660),(51 43567536),(52 44467420),(53 45436108),(54 46429444),(55 47362690),(56 48194252),(57 49124224),(58 49979772),(59 50993284),(60 52060324),(61 53215540),(62 54242736),(63 55580884),(64 56666884),(65 57786304),(66 58847708),(67 59745996),(68 60600948),(69 61624190),(70 62645580),(71 63612996),(72 64473170),(73 65297940),(74 66051810),(75 66685900),(76 67416700),(77 68168664),(78 69168376),(79 70004290),
(1 71115.805),(2 212109.88),(3 450661.5),(4 723398.2),(5 1043818.5),(6 1399848.4),(7 1801152.3),(8 2197154),(9 2648065.3),(10 3071187.5),(11 3481756.8),(12 3875295.3),(13 4216652.5),(14 4556606.5),(15 4915429),(16 5307474),(17 5712908.5),(18 6172829),(19 6628501),(20 7109205.5),(21 7628109),(22 8184496),(23 8812912),(24 9391798),(25 9983354),(26 10580165),(27 11223889),(28 11811176),(29 12473008),(30 13102268),(31 13828309),(32 14519574),(33 15298251),(34 16211802),(35 17093492),(36 18030326),(37 19021820),(38 20054072),(39 21160924),(40 22178406),(41 23228924),(42 24205052),(43 25181472),(44 26056726),(45 26961356),(46 27852628),(47 28748166),(48 29592006),(49 30501398),(50 31368528),(51 32193734),(52 33045116),(53 33907576),(54 34713704),(55 35389036),(56 35914252),(57 36369716),(58 36705972),(59 36973130),(60 37215190),(61 37461900),(62 37649340),(63 37841110),(64 37907656),(65 37920510),(66 37879816),(67 37802660),(68 37784830),(69 37743130),(70 37621604),(71 37472376),(72 37247828),(73 36952776),(74 36698410),(75 36423624),(76 36219770),(77 35977910),(78 35826700),(79 35822730),
(1 71341.33),(2 220121.45),(3 456868.1),(4 750890.8),(5 1119218.8),(6 1503274),(7 1945347),(8 2355926.8),(9 2858138.8),(10 3315108),(11 3765447),(12 4177942),(13 4545126.5),(14 4893206),(15 5279756.5),(16 5712719.5),(17 6125932),(18 6611460),(19 7068250),(20 7567174),(21 8067864),(22 8577253),(23 9133609),(24 9661452),(25 10211963),(26 10721320),(27 11207928),(28 11641955),(29 12018437),(30 12336475),(31 12712847),(32 13059357),(33 13472957),(34 13990003),(35 14556221),(36 15201288),(37 15844096),(38 16500673),(39 17135014),(40 17659170),(41 18121010),(42 18653472),(43 19239874),(44 19732002),(45 20275474),(46 20818586),(47 21426472),(48 21985362),(49 22651738),(50 23377486),(51 24114198),(52 25017830),(53 25922362),(54 26823424),(55 27691398),(56 28402502),(57 29024330),(58 29542770),(59 30051562),(60 30555760),(61 31126256),(62 31726746),(63 32213200),(64 32570104),(65 32929894),(66 33261294),(67 33630140),(68 34035988),(69 34322676),(70 34541144),(71 34702576),(72 34793330),(73 34745440),(74 34663628),(75 34716444),(76 34762436),(77 34776092),(78 34728420),(79 34731800),
(1 74047.88),(2 211981.31),(3 430020.66),(4 691418.5),(5 991960.7),(6 1307530.5),(7 1666334.4),(8 2008974.3),(9 2400957.8),(10 2753515.8),(11 3096745.8),(12 3439786.3),(13 3788462.3),(14 4145353.8),(15 4472310.5),(16 4866976.5),(17 5260876.5),(18 5741268),(19 6264532.5),(20 6838978.5),(21 7427774),(22 8036543),(23 8688702),(24 9304693),(25 9910978),(26 10445620),(27 10919738),(28 11313052),(29 11666156),(30 11953628),(31 12245481),(32 12496965),(33 12823090),(34 13126457),(35 13427210),(36 13733757),(37 13993571),(38 14208024),(39 14382694),(40 14487784),(41 14551223),(42 14646485),(43 14748226),(44 14807224),(45 14870814),(46 14921412),(47 15010002),(48 15138034),(49 15306978),(50 15525995),(51 15790800),(52 16100028),(53 16418448),(54 16777212),(55 17138254),(56 17500376),(57 17889000),(58 18274250),(59 18693844),(60 19131238),(61 19579688),(62 20054802),(63 20427972),(64 20708234),(65 20917642),(66 21149778),(67 21351234),(68 21487514),(69 21595500),(70 21657256),(71 21771340),(72 21853020),(73 21982434),(74 22171082),(75 22423552),(76 22723100),(77 23043534),(78 23271900),(79 23588196),
(1 90571.35),(2 279405.63),(3 588257.8),(4 955179.56),(5 1392576.6),(6 1865997.6),(7 2391274.8),(8 2925398),(9 3521631.8),(10 4090444.3),(11 4685621),(12 5297055),(13 5953535.5),(14 6641117),(15 7302414.5),(16 7996182),(17 8662028),(18 9434860),(19 10234867),(20 11135037),(21 12028191),(22 12950745),(23 13921175),(24 14862608),(25 15818039),(26 16658512),(27 17446924),(28 18196318),(29 18924654),(30 19571412),(31 20203078),(32 20707210),(33 21187790),(34 21565644),(35 21850824),(36 22062538),(37 22150808),(38 22204186),(39 22225366),(40 22151364),(41 21993634),(42 21840344),(43 21608250),(44 21314308),(45 21004798),(46 20620786),(47 20243170),(48 19929962),(49 19597522),(50 19325550),(51 19105096),(52 18905516),(53 18719030),(54 18568472),(55 18444350),(56 18295130),(57 18155378),(58 18062998),(59 17996588),(60 17955932),(61 17908474),(62 17911642),(63 17893186),(64 17908354),(65 17929890),(66 18004066),(67 18053938),(68 18034774),(69 17996332),(70 17920098),(71 17813038),(72 17687930),(73 17626414),(74 17591500),(75 17560018),(76 17561448),(77 17608466),(78 17689244),(79 17878528),
(1 110140.875),(2 358051.8),(3 768388.9),(4 1267758.3),(5 1895602.6),(6 2571554.5),(7 3336618.8),(8 4069902.5),(9 4922982),(10 5766954.5),(11 6660509),(12 7523966.5),(13 8412749),(14 9323050),(15 10211978),(16 11143446),(17 12022537),(18 13048146),(19 13953734),(20 14930131),(21 15864491),(22 16790850),(23 17722902),(24 18569026),(25 19399120),(26 20156108),(27 20919852),(28 21626348),(29 22335594),(30 22993476),(31 23605034),(32 24103264),(33 24538634),(34 24933148),(35 25111460),(36 25231492),(37 25329482),(38 25347366),(39 25298254),(40 25253884),(41 25094468),(42 24923148),(43 24662122),(44 24323754),(45 23949238),(46 23513428),(47 22982542),(48 22400854),(49 21737066),(50 21136352),(51 20487606),(52 19905488),(53 19234218),(54 18637332),(55 18066756),(56 17516430),(57 17014358),(58 16596213),(59 16215706),(60 15908731),(61 15637464),(62 15402283),(63 15196669),(64 15040333),(65 14901885),(66 14826458),(67 14755750),(68 14717216),(69 14719627),(70 14756518),(71 14776067),(72 14891146),(73 15027427),(74 15220013),(75 15397693),(76 15571408),(77 15786382),(78 16053789),(79 16409267),
(1 99184.766),(2 315782.16),(3 686767.94),(4 1119945.4),(5 1652201.1),(6 2213598),(7 2858389.3),(8 3503342.3),(9 4266053.5),(10 5017179.5),(11 5813562),(12 6596421.5),(13 7418787),(14 8243464),(15 9041359),(16 9894593),(17 10708318),(18 11627803),(19 12458751),(20 13326506),(21 14177878),(22 15014055),(23 15897959),(24 16670524),(25 17454510),(26 18202684),(27 18938274),(28 19610404),(29 20217866),(30 20738888),(31 21244138),(32 21673340),(33 22072056),(34 22457550),(35 22781384),(36 23069058),(37 23258808),(38 23368394),(39 23369162),(40 23282972),(41 23184546),(42 23037578),(43 22818090),(44 22526060),(45 22228872),(46 21906376),(47 21532556),(48 21157928),(49 20766806),(50 20348114),(51 19878158),(52 19420666),(53 18921556),(54 18416428),(55 17919736),(56 17454450),(57 17035860),(58 16690732),(59 16414479),(60 16211070),(61 16053902),(62 15915349),(63 15800593),(64 15723676),(65 15629061),(66 15534773),(67 15474838),(68 15363541),(69 15262800),(70 15181179),(71 15072799),(72 15013038),(73 14947974),(74 14864972),(75 14808454),(76 14766674),(77 14719632),(78 14617925),(79 14513147),
(1 138148.72),(2 465800.4),(3 1010476),(4 1680607.4),(5 2533120.5),(6 3427232.3),(7 4498835),(8 5514140.5),(9 6726661),(10 7848087),(11 9076702),(12 10266297),(13 11510170),(14 12700263),(15 13830948),(16 14960843),(17 15984148),(18 17094616),(19 18033288),(20 18995724),(21 19852270),(22 20687982),(23 21497042),(24 22163382),(25 22784402),(26 23291110),(27 23773312),(28 24116500),(29 24356168),(30 24460672),(31 24459922),(32 24372036),(33 24313442),(34 24224876),(35 24165890),(36 24102820),(37 24020702),(38 23931128),(39 23788066),(40 23537164),(41 23293324),(42 22982662),(43 22607266),(44 22216416),(45 21814366),(46 21370008),(47 20879458),(48 20358496),(49 19829192),(50 19207762),(51 18658070),(52 18061102),(53 17465070),(54 16869426),(55 16322047),(56 15772113),(57 15297104),(58 14890612),(59 14565498),(60 14343927),(61 14212109),(62 14145451),(63 14187303),(64 14290270),(65 14461356),(66 14743577),(67 15050620),(68 15399328),(69 15798629),(70 16221797),(71 16621843),(72 17023234),(73 17390968),(74 17683962),(75 17968238),(76 18200712),(77 18433952),(78 18642570),(79 18843538),
(1 198395.77),(2 682550.2),(3 1484038.6),(4 2486664.5),(5 3774433.5),(6 5137638.5),(7 6741351.5),(8 8268841.5),(9 10062416),(10 11703842),(11 13445168),(12 15019080),(13 16619448),(14 18081748),(15 19424530),(16 20677328),(17 21754220),(18 22819198),(19 23601212),(20 24317418),(21 24821856),(22 25288236),(23 25616810),(24 25793328),(25 25923732),(26 25907764),(27 25861534),(28 25743874),(29 25565148),(30 25249096),(31 24886788),(32 24501124),(33 24194376),(34 23863312),(35 23586944),(36 23269060),(37 22977336),(38 22687876),(39 22416656),(40 22175446),(41 22015692),(42 21854530),(43 21676732),(44 21495600),(45 21337060),(46 21192688),(47 21016334),(48 20822652),(49 20590928),(50 20256028),(51 19989926),(52 19623778),(53 19232144),(54 18785218),(55 18353096),(56 17887234),(57 17458440),(58 17062822),(59 16750389),(60 16517052),(61 16370534),(62 16315607),(63 16324186),(64 16401126),(65 16533316),(66 16767639),(67 17042688),(68 17375688),(69 17745816),(70 18097568),(71 18426032),(72 18761830),(73 19050582),(74 19318974),(75 19579852),(76 19792472),(77 20045890),(78 20334674),(79 20645686),
(1 171851.4),(2 602207.1),(3 1319737.8),(4 2196280.5),(5 3297307),(6 4448954.5),(7 5769365),(8 7023821.5),(9 8475245),(10 9823799),(11 11240442),(12 12518404),(13 13781527),(14 14922775),(15 15928880),(16 16831346),(17 17561634),(18 18230638),(19 18683104),(20 19063506),(21 19267072),(22 19336338),(23 19260408),(24 19015866),(25 18667160),(26 18252526),(27 17760456),(28 17220020),(29 16625115),(30 16021163),(31 15369636),(32 14719250),(33 14075837),(34 13385415),(35 12815295),(36 12277359),(37 11785022),(38 11349828),(39 10974908),(40 10686503),(41 10522120),(42 10429424),(43 10438658),(44 10560053),(45 10758819),(46 11010274),(47 11304101),(48 11612460),(49 11927159),(50 12251579),(51 12573038),(52 12889934),(53 13138394),(54 13320939),(55 13363830),(56 13300784),(57 13133753),(58 12924281),(59 12696565),(60 12452503),(61 12187000),(62 11958053),(63 11705570),(64 11489202),(65 11305342),(66 11176748),(67 11087440),(68 11070702),(69 11127035),(70 11185045),(71 11263494),(72 11369607),(73 11506715),(74 11744818),(75 12032812),(76 12355928),(77 12731470),(78 13125380),(79 13553543),
(1 137648.2),(2 439095),(3 954267.3),(4 1581408),(5 2361212),(6 3183538.3),(7 4081826.3),(8 4975870.5),(9 5928971.5),(10 6868020),(11 7804961),(12 8693659),(13 9517144),(14 10286095),(15 10953393),(16 11599890),(17 12130636),(18 12677000),(19 13138434),(20 13609415),(21 14067714),(22 14475806),(23 14843865),(24 15126616),(25 15371292),(26 15564612),(27 15662641),(28 15672035),(29 15650165),(30 15629376),(31 15523771),(32 15353084),(33 15075720),(34 14819339),(35 14508019),(36 14211302),(37 13909407),(38 13583304),(39 13239527),(40 12891471),(41 12556041),(42 12201987),(43 11862865),(44 11589754),(45 11326264),(46 11071336),(47 10823000),(48 10618817),(49 10467625),(50 10349984),(51 10255902),(52 10270317),(53 10290471),(54 10354195),(55 10422633),(56 10475603),(57 10551176),(58 10627878),(59 10713371),(60 10808286),(61 10902163),(62 11022076),(63 11127330),(64 11203075),(65 11302916),(66 11366600),(67 11404708),(68 11432768),(69 11444099),(70 11434144),(71 11384787),(72 11363090),(73 11339318),(74 11307113),(75 11283610),(76 11297310),(77 11367024),(78 11485713),(79 11631946),
