1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 27178.447),(2 77087.805),(3 155702.8),(4 240417.19),(5 335518.84),(6 433484.34),(7 533731.3),(8 629005.9),(9 748161.8),(10 832713.8),(11 926128.75),(12 1046341.5),(13 1199236.1),(14 1407718.6),(15 1627310.1),(16 1827517.4),(17 2061375.6),(18 2295268),(19 2538536.3),(20 2782503),(21 3004531.8),(22 3216964.3),(23 3434689),(24 3664390.8),(25 3846842.8),(26 4032916),(27 4220288),(28 4416044.5),(29 4593837.5),(30 4754585.5),(31 4929820),(32 5148570.5),(33 5363123),(34 5587149.5),(35 5777378.5),(36 5968406.5),(37 6165910),(38 6358331.5),(39 6550991.5),(40 6742276),(41 6924272),(42 7155160),(43 7364374),(44 7562155.5),(45 7717950.5),(46 7967916.5),(47 8189682),(48 8448540),(49 8663096),(50 8911252),(51 9131247),(52 9331139),(53 9503411),(54 9679625),(55 9789814),(56 9986567),(57 10160844),(58 10386096),(59 10573515),(60 10827394),(61 11068399),(62 11364775),(63 11612208),(64 11902265),(65 12198035),(66 12513912),(67 12801171),(68 13131456),(69 13421689),(70 13673780),(71 13888273),(72 14135208),(73 14321501),(74 14530021),(75 14776053),(76 15028429),(77 15256735),(78 15534968),(79 15789733),
(1 35081.805),(2 119778.414),(3 257308.84),(4 417021.8),(5 606525.25),(6 808218.5),(7 1023691.2),(8 1252957.8),(9 1498686.8),(10 1736335.4),(11 2003272.4),(12 2303139),(13 2674986.8),(14 3138764),(15 3604774.5),(16 4054638),(17 4497013),(18 4942091.5),(19 5374390),(20 5820067),(21 6240038.5),(22 6661917),(23 7104757),(24 7574890.5),(25 7990453),(26 8404589),(27 8804954),(28 9183184),(29 9541244),(30 9869366),(31 10214396),(32 10553277),(33 10902434),(34 11209411),(35 11503670),(36 11715650),(37 11940294),(38 12164767),(39 12334850),(40 12511280),(41 12688100),(42 12866901),(43 13044460),(44 13187145),(45 13334886),(46 13466656),(47 13574806),(48 13692866),(49 13759072),(50 13844158),(51 13907821),(52 13959066),(53 14007693),(54 14053762),(55 14076594),(56 14146586),(57 14255150),(58 14445533),(59 14639546),(60 14878384),(61 15121666),(62 15394469),(63 15737421),(64 16113590),(65 16534254),(66 17020698),(67 17466680),(68 17909740),(69 18397284),(70 18900036),(71 19384736),(72 19781828),(73 20182980),(74 20530982),(75 20861128),(76 21198170),(77 21525300),(78 21819780),(79 22078362),
(1 39015.33),(2 138526.53),(3 292998.72),(4 488917.84),(5 714024.8),(6 948985.5),(7 1212569.9),(8 1498586.4),(9 1802884.1),(10 2126089.8),(11 2443173.8),(12 2771774.8),(13 3143519.3),(14 3543819.3),(15 3935202.8),(16 4330995.5),(17 4694664.5),(18 5057804),(19 5419493),(20 5826723.5),(21 6265772),(22 6727115.5),(23 7184621.5),(24 7681656),(25 8132438.5),(26 8594861),(27 9037845),(28 9434547),(29 9808661),(30 10180232),(31 10533783),(32 10889859),(33 11154431),(34 11426593),(35 11658093),(36 11858565),(37 12037533),(38 12202633),(39 12331660),(40 12523528),(41 12703123),(42 12833440),(43 12967425),(44 13062356),(45 13158904),(46 13275903),(47 13340481),(48 13384816),(49 13433576),(50 13449140),(51 13461601),(52 13409007),(53 13356517),(54 13310915),(55 13268879),(56 13252907),(57 13275339),(58 13375367),(59 13525764),(60 13757512),(61 14017360),(62 14293725),(63 14659159),(64 15017229),(65 15375699),(66 15747189),(67 16040080),(68 16282000),(69 16555771),(70 16775291),(71 16959120),(72 17119262),(73 17276574),(74 17353206),(75 17449730),(76 17484214),(77 17515690),(78 17515320),(79 17447078),
(1 53112.266),(2 199553),(3 424358.38),(4 722559.06),(5 1066864),(6 1450183.5),(7 1854582.5),(8 2295077.3),(9 2781717.8),(10 3273571.5),(11 3760032),(12 4269913),(13 4787844.5),(14 5331844.5),(15 5848369),(16 6372628.5),(17 6878870),(18 7342268.5),(19 7758827.5),(20 8156953),(21 8555952),(22 8886019),(23 9204911),(24 9490610),(25 9704784),(26 9887630),(27 10073227),(28 10214714),(29 10299129),(30 10399927),(31 10484035),(32 10583223),(33 10645787),(34 10680829),(35 10685463),(36 10649493),(37 10609932),(38 10529579),(39 10417868),(40 10335479),(41 10242089),(42 10104171),(43 10000354),(44 9886514),(45 9766212),(46 9666132),(47 9578714),(48 9468351),(49 9392695),(50 9346912),(51 9322121),(52 9280409),(53 9276836),(54 9328077),(55 9404041),(56 9527309),(57 9699330),(58 9931845),(59 10217913),(60 10565608),(61 10926555),(62 11339061),(63 11815509),(64 12264439),(65 12738248),(66 13197832),(67 13642743),(68 14069983),(69 14487856),(70 14843724),(71 15198101),(72 15511826),(73 15803968),(74 16067109),(75 16322126),(76 16537689),(77 16730155),(78 16876856),(79 17034526),
(1 50491.76),(2 188236.39),(3 402281.1),(4 688615.4),(5 1033710.6),(6 1415964.9),(7 1812113.9),(8 2233347),(9 2690804.3),(10 3152932.3),(11 3592339.3),(12 4039978.3),(13 4496291),(14 4952739),(15 5364158.5),(16 5719005.5),(17 6049656.5),(18 6320310.5),(19 6547654),(20 6748179),(21 6958331.5),(22 7099287.5),(23 7236603.5),(24 7351811.5),(25 7415655.5),(26 7462987.5),(27 7490726),(28 7489505.5),(29 7470814.5),(30 7459702.5),(31 7450139.5),(32 7443288),(33 7422152),(34 7386526.5),(35 7336932.5),(36 7307523.5),(37 7282730),(38 7255439.5),(39 7230305.5),(40 7228490),(41 7255253),(42 7266942.5),(43 7296779.5),(44 7342445),(45 7407406.5),(46 7511526.5),(47 7612448),(48 7716303.5),(49 7838757),(50 7969789),(51 8096650),(52 8241755.5),(53 8377289.5),(54 8561369),(55 8714021),(56 8867609),(57 9014636),(58 9184239),(59 9372671),(60 9532272),(61 9700916),(62 9895257),(63 10125329),(64 10354099),(65 10598820),(66 10849359),(67 11110761),(68 11341055),(69 11606310),(70 11844391),(71 12093261),(72 12337152),(73 12562620),(74 12798092),(75 13069670),(76 13355631),(77 13676188),(78 14008625),(79 14390407),
(1 54134.977),(2 200518.17),(3 421140.8),(4 704560.06),(5 1030342.4),(6 1387349.3),(7 1774071.6),(8 2169789.8),(9 2592471.3),(10 3017944.5),(11 3421158.5),(12 3822224.8),(13 4201567),(14 4607089.5),(15 4954227),(16 5269042),(17 5560560.5),(18 5816401),(19 6019603),(20 6193180.5),(21 6382589),(22 6540631.5),(23 6676664),(24 6795818.5),(25 6899465.5),(26 6993912),(27 7101385),(28 7222801.5),(29 7348648),(30 7498229.5),(31 7645145.5),(32 7799615),(33 7963495),(34 8155553.5),(35 8320886.5),(36 8503410),(37 8679162),(38 8867713),(39 9054902),(40 9240413),(41 9441018),(42 9642398),(43 9816340),(44 10005856),(45 10211822),(46 10423344),(47 10645474),(48 10821164),(49 10994874),(50 11150685),(51 11262991),(52 11355527),(53 11401532),(54 11431475),(55 11373327),(56 11322136),(57 11244719),(58 11171259),(59 11108379),(60 11028110),(61 10974026),(62 10926563),(63 10907034),(64 10858285),(65 10818654),(66 10763522),(67 10702586),(68 10640114),(69 10626026),(70 10578851),(71 10556316),(72 10558486),(73 10576534),(74 10611949),(75 10695524),(76 10831158),(77 10992563),(78 11161198),(79 11374143),
(1 51599.832),(2 191752.9),(3 408051.28),(4 672772.44),(5 980038.7),(6 1299835.4),(7 1640420.1),(8 1985759.3),(9 2358316.3),(10 2729341.3),(11 3094660),(12 3437699),(13 3767695.8),(14 4093689.8),(15 4375951.5),(16 4622894),(17 4862981),(18 5081076.5),(19 5277386.5),(20 5461144),(21 5651633),(22 5818670),(23 5975722.5),(24 6124215.5),(25 6244243),(26 6333495.5),(27 6453168.5),(28 6587656.5),(29 6718624),(30 6887567.5),(31 7059302),(32 7255604.5),(33 7441176),(34 7624299.5),(35 7801282),(36 7984599),(37 8171101),(38 8361490),(39 8561943),(40 8762219),(41 8963205),(42 9178188),(43 9401461),(44 9649868),(45 9930148),(46 10230959),(47 10504337),(48 10829813),(49 11141145),(50 11449879),(51 11789925),(52 12137735),(53 12487643),(54 12889264),(55 13298281),(56 13692790),(57 14095998),(58 14530170),(59 14919980),(60 15284380),(61 15576922),(62 15874017),(63 16113487),(64 16311223),(65 16453456),(66 16618106),(67 16821838),(68 17047992),(69 17308260),(70 17585684),(71 17838696),(72 18114724),(73 18376420),(74 18640746),(75 18903844),(76 19202258),(77 19522116),(78 19787740),(79 20139206),
(1 49558.617),(2 187044.16),(3 394433.06),(4 653040.4),(5 948952.1),(6 1260515.3),(7 1601233.4),(8 1936505.9),(9 2283784.5),(10 2622524.3),(11 2925633.5),(12 3225561.8),(13 3519232.5),(14 3814949.8),(15 4077945.3),(16 4315587.5),(17 4515340.5),(18 4684881.5),(19 4823679),(20 4945022),(21 5067511.5),(22 5187248),(23 5296373),(24 5406399.5),(25 5486362.5),(26 5537083),(27 5595118),(28 5661682.5),(29 5704397.5),(30 5753038),(31 5801669),(32 5877555),(33 5930221.5),(34 5996397.5),(35 6092376),(36 6186056.5),(37 6310329),(38 6414723),(39 6533512.5),(40 6671963),(41 6811966),(42 6967845),(43 7140815),(44 7320856),(45 7548954.5),(46 7792740.5),(47 8030368.5),(48 8308869),(49 8570112),(50 8828845),(51 9115060),(52 9416604),(53 9708608),(54 9996401),(55 10282109),(56 10535951),(57 10799633),(58 11035819),(59 11283486),(60 11529534),(61 11747797),(62 11967738),(63 12152589),(64 12305462),(65 12397127),(66 12451179),(67 12483443),(68 12550003),(69 12620293),(70 12644810),(71 12646523),(72 12656838),(73 12658402),(74 12681534),(75 12693530),(76 12711222),(77 12762823),(78 12784661),(79 12841093),
(1 56478.52),(2 215859.56),(3 458746.75),(4 757432.4),(5 1090703),(6 1457522.9),(7 1859923),(8 2264786),(9 2712728.8),(10 3176751),(11 3608570.8),(12 4043674.3),(13 4477380.5),(14 4907755),(15 5323285.5),(16 5697250.5),(17 6022952),(18 6314735.5),(19 6579819.5),(20 6803963),(21 7008291),(22 7196656),(23 7331844.5),(24 7426139.5),(25 7484265.5),(26 7510374),(27 7526379.5),(28 7522678.5),(29 7525422),(30 7534628),(31 7532070.5),(32 7525919),(33 7505142),(34 7505788.5),(35 7513926.5),(36 7532484),(37 7580504.5),(38 7674215.5),(39 7799880),(40 7968443.5),(41 8142788),(42 8334090.5),(43 8560424),(44 8782630),(45 9058260),(46 9353245),(47 9642912),(48 9945729),(49 10266581),(50 10554968),(51 10866378),(52 11185723),(53 11497178),(54 11797330),(55 12079803),(56 12352073),(57 12630767),(58 12918684),(59 13176775),(60 13394687),(61 13557979),(62 13726268),(63 13871960),(64 13978344),(65 14064230),(66 14162957),(67 14277932),(68 14356569),(69 14483265),(70 14493478),(71 14476444),(72 14420754),(73 14349814),(74 14282907),(75 14206077),(76 14124009),(77 14031203),(78 13928696),(79 13837751),
(1 83813.086),(2 319169.13),(3 688516.3),(4 1152276.5),(5 1676272.6),(6 2236615),(7 2824849),(8 3399744.5),(9 3980889.3),(10 4536271.5),(11 5042768),(12 5539770.5),(13 6008542.5),(14 6480396),(15 6911091),(16 7275547.5),(17 7575994.5),(18 7803475.5),(19 7973056),(20 8075386),(21 8116777),(22 8122531.5),(23 8070497),(24 7991090.5),(25 7900452.5),(26 7797125.5),(27 7704902),(28 7601716.5),(29 7509263),(30 7440775),(31 7420229),(32 7407092.5),(33 7417531.5),(34 7444857),(35 7511601),(36 7571537),(37 7661145),(38 7783618),(39 7930460.5),(40 8127449),(41 8315578.5),(42 8511425),(43 8704834),(44 8879522),(45 9048287),(46 9223052),(47 9380792),(48 9488996),(49 9582796),(50 9676313),(51 9753967),(52 9836859),(53 9913225),(54 10010380),(55 10092205),(56 10180048),(57 10253278),(58 10338482),(59 10397906),(60 10437301),(61 10459265),(62 10507615),(63 10546376),(64 10568565),(65 10595836),(66 10633487),(67 10697817),(68 10749221),(69 10858641),(70 10910776),(71 10926740),(72 10919758),(73 10908683),(74 10869639),(75 10817248),(76 10775827),(77 10734251),(78 10698946),(79 10697160),
(1 81859.3),(2 312934.8),(3 674492.7),(4 1117649.3),(5 1614733.8),(6 2129220.3),(7 2652624.8),(8 3163214.5),(9 3680632.5),(10 4174560.5),(11 4625395),(12 5045780.5),(13 5439274.5),(14 5799021),(15 6107532),(16 6378233.5),(17 6589723.5),(18 6715833.5),(19 6752969.5),(20 6764386),(21 6766986.5),(22 6748808.5),(23 6725395),(24 6713354.5),(25 6700080),(26 6690720),(27 6698039.5),(28 6701074.5),(29 6695365.5),(30 6704290),(31 6746894),(32 6797034.5),(33 6868410),(34 6982678.5),(35 7099478.5),(36 7222076),(37 7335524),(38 7494188.5),(39 7665854),(40 7848530),(41 8024708.5),(42 8204679.5),(43 8373064.5),(44 8537481),(45 8688027),(46 8847752),(47 8985792),(48 9086701),(49 9201720),(50 9306295),(51 9427796),(52 9551097),(53 9690801),(54 9854346),(55 10029785),(56 10197271),(57 10350522),(58 10484134),(59 10584221),(60 10623096),(61 10607533),(62 10624196),(63 10605810),(64 10573752),(65 10563239),(66 10584349),(67 10639249),(68 10663848),(69 10733675),(70 10756952),(71 10773745),(72 10793944),(73 10826227),(74 10874201),(75 10902255),(76 10987592),(77 11082425),(78 11210336),(79 11340619),
