1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 25508.4),(2 88635.22),(3 183324.95),(4 289040.88),(5 417810.16),(6 573712.3),(7 736273.2),(8 926013.25),(9 1148374.6),(10 1377051.6),(11 1628283.6),(12 1883438.6),(13 2171513.5),(14 2439987),(15 2732020),(16 3031856.8),(17 3341733.3),(18 3622341.3),(19 3907260.3),(20 4202530.5),(21 4533932),(22 4906197.5),(23 5261417.5),(24 5621038),(25 5942363.5),(26 6254946),(27 6592727.5),(28 6903133.5),(29 7182300),(30 7458656.5),(31 7736928),(32 7997513.5),(33 8261742.5),(34 8483562),(35 8724820),(36 8946337),(37 9133508),(38 9353336),(39 9607279),(40 9905654),(41 10188673),(42 10458898),(43 10723062),(44 10983595),(45 11232515),(46 11468987),(47 11640796),(48 11750620),(49 11765891),(50 11754443),(51 11768171),(52 11771048),(53 11801957),(54 11842521),(55 11894583),(56 11963256),(57 12065645),(58 12244431),(59 12405112),(60 12563981),(61 12722791),(62 12915141),(63 13126200),(64 13345875),(65 13569461),(66 13817587),(67 14087357),(68 14388093),(69 14704513),(70 15048603),(71 15411859),(72 15780415),(73 16238171),(74 16665493),(75 17100800),(76 17577510),(77 18054592),(78 18547234),(79 19068046),
(1 33982.332),(2 121872.9),(3 249744.6),(4 391690.75),(5 553286),(6 737006.4),(7 930582.8),(8 1152798.3),(9 1405485.5),(10 1672237.3),(11 1960865.3),(12 2252576),(13 2565708.8),(14 2860461.5),(15 3156632.5),(16 3461657.3),(17 3776732),(18 4075703.3),(19 4395312),(20 4741972.5),(21 5135709),(22 5546940),(23 5939459),(24 6299003),(25 6637828),(26 6951041.5),(27 7259602.5),(28 7546777),(29 7802447),(30 8038430.5),(31 8275795),(32 8495003),(33 8704130),(34 8878766),(35 9052105),(36 9213054),(37 9345482),(38 9476627),(39 9612838),(40 9752027),(41 9868095),(42 9956247),(43 10022138),(44 10061410),(45 10121440),(46 10180593),(47 10261656),(48 10342770),(49 10472254),(50 10641638),(51 10832809),(52 11017064),(53 11226670),(54 11471336),(55 11723797),(56 12016510),(57 12353798),(58 12783587),(59 13208144),(60 13663578),(61 14157698),(62 14710440),(63 15317952),(64 15922237),(65 16554038),(66 17204220),(67 17852090),(68 18486742),(69 19104404),(70 19675076),(71 20178516),(72 20660746),(73 21208588),(74 21724032),(75 22259924),(76 22800694),(77 23337116),(78 23887676),(79 24435670),
(1 18286.049),(2 66944.27),(3 142843.67),(4 236850.19),(5 345204.66),(6 470088.72),(7 603839.7),(8 754038.06),(9 917860.8),(10 1088623.9),(11 1268199.6),(12 1454325.9),(13 1656887),(14 1850530.6),(15 2049278.6),(16 2264271),(17 2497927),(18 2724824),(19 2972636.8),(20 3232794.8),(21 3513709),(22 3801140.8),(23 4084662),(24 4349120.5),(25 4596210.5),(26 4814859.5),(27 5006525),(28 5180578.5),(29 5328222.5),(30 5451472.5),(31 5557547),(32 5650385.5),(33 5721537.5),(34 5770371.5),(35 5808398.5),(36 5838356),(37 5855689.5),(38 5853530),(39 5859548),(40 5850919.5),(41 5834748),(42 5810673.5),(43 5777173.5),(44 5715156),(45 5658334),(46 5608102.5),(47 5570376.5),(48 5551350.5),(49 5543388.5),(50 5547783),(51 5573082),(52 5607251.5),(53 5661738),(54 5740700.5),(55 5838097.5),(56 5950278.5),(57 6091440),(58 6261323.5),(59 6432713.5),(60 6619886.5),(61 6823706.5),(62 7057704),(63 7287281.5),(64 7517514.5),(65 7747234.5),(66 7969756.5),(67 8200010.5),(68 8414731),(69 8632385),(70 8843069),(71 9058539),(72 9274692),(73 9517580),(74 9753416),(75 9989175),(76 10237836),(77 10486764),(78 10738265),(79 10988053),
(1 19043.678),(2 68153.01),(3 139280.22),(4 226520.83),(5 328491.22),(6 448195.9),(7 582730.9),(8 740081.3),(9 916979.25),(10 1113460.9),(11 1332524.6),(12 1568622.3),(13 1829444.6),(14 2090999.5),(15 2366138),(16 2649880),(17 2956208.3),(18 3260929),(19 3579399.5),(20 3908574.8),(21 4251158),(22 4614646.5),(23 4978853.5),(24 5343290),(25 5701529),(26 6046605.5),(27 6387099.5),(28 6713490.5),(29 7023850.5),(30 7303236),(31 7558226),(32 7779401),(33 7986979.5),(34 8162265),(35 8298819.5),(36 8420988),(37 8511867),(38 8595426),(39 8680083),(40 8778138),(41 8872615),(42 8926940),(43 8978244),(44 9000811),(45 9003305),(46 8989694),(47 8974113),(48 8951998),(49 8911556),(50 8873243),(51 8845931),(52 8830231),(53 8828324),(54 8836338),(55 8855247),(56 8889798),(57 8946091),(58 9017671),(59 9089026),(60 9167832),(61 9238952),(62 9310321),(63 9387230),(64 9473298),(65 9577632),(66 9689811),(67 9812162),(68 9946716),(69 10110140),(70 10270580),(71 10444444),(72 10624272),(73 10805461),(74 10978222),(75 11149116),(76 11323287),(77 11473077),(78 11614787),(79 11740666),
(1 24152.373),(2 88815.445),(3 184585.8),(4 302488.2),(5 440107.2),(6 596201.56),(7 767627.6),(8 958047.8),(9 1168915.5),(10 1390192.8),(11 1625158),(12 1868828.5),(13 2118609.8),(14 2369387.8),(15 2623006.5),(16 2870147.5),(17 3118125.8),(18 3359007),(19 3603371.8),(20 3855751.8),(21 4115883.3),(22 4375685.5),(23 4615880.5),(24 4842558.5),(25 5039540.5),(26 5226001.5),(27 5417531.5),(28 5590819),(29 5757741),(30 5919591),(31 6071449.5),(32 6208588.5),(33 6345712.5),(34 6470340.5),(35 6592203.5),(36 6705857.5),(37 6814984.5),(38 6934286),(39 7070424),(40 7219059),(41 7365368.5),(42 7504919.5),(43 7649638),(44 7788289.5),(45 7917845),(46 8034763.5),(47 8130838),(48 8200778),(49 8257549),(50 8305211),(51 8341819.5),(52 8357896),(53 8355444.5),(54 8343035),(55 8336943.5),(56 8336378),(57 8349153.5),(58 8379544.5),(59 8407579),(60 8432716),(61 8440563),(62 8442726),(63 8457373),(64 8482497),(65 8517103),(66 8559253),(67 8617202),(68 8697047),(69 8797327),(70 8906717),(71 9023506),(72 9139244),(73 9260894),(74 9366995),(75 9470740),(76 9571921),(77 9661712),(78 9735683),(79 9795177),
(1 30926.125),(2 115498.2),(3 245040.83),(4 411738.84),(5 606027.5),(6 826106.4),(7 1062120),(8 1310464.6),(9 1572472.6),(10 1833889.6),(11 2097526.8),(12 2354023),(13 2607516.8),(14 2836120.8),(15 3033527.5),(16 3205952),(17 3352040.5),(18 3467730.5),(19 3562551.3),(20 3644247.3),(21 3715431.3),(22 3763720),(23 3776746.5),(24 3761708),(25 3735996.8),(26 3706333.5),(27 3680082.5),(28 3669443.3),(29 3682298),(30 3725327.3),(31 3811382.5),(32 3931686.8),(33 4087145.5),(34 4280923),(35 4512954),(36 4778353.5),(37 5079596),(38 5427742.5),(39 5819501.5),(40 6241947),(41 6677637),(42 7114766.5),(43 7553108),(44 7972198.5),(45 8356260),(46 8685706),(47 8955475),(48 9143038),(49 9257800),(50 9308585),(51 9320734),(52 9313690),(53 9283172),(54 9239838),(55 9198521),(56 9171050),(57 9158765),(58 9163696),(59 9172546),(60 9190853),(61 9213348),(62 9242987),(63 9277190),(64 9317917),(65 9353998),(66 9381795),(67 9417059),(68 9463551),(69 9511704),(70 9551085),(71 9604970),(72 9660251),(73 9712490),(74 9759662),(75 9796309),(76 9829643),(77 9854418),(78 9875341),(79 9898029),
(1 22675.555),(2 83020.86),(3 172580.64),(4 282555.03),(5 409993.38),(6 554534.2),(7 714185.9),(8 892666.6),(9 1086853.4),(10 1292219.1),(11 1513842.5),(12 1737168),(13 1966044.6),(14 2185030.8),(15 2403330),(16 2616572.3),(17 2830957.5),(18 3031811),(19 3220441),(20 3400189.5),(21 3575375),(22 3730284.5),(23 3867166.5),(24 3972093.5),(25 4065368.5),(26 4136461.8),(27 4194631.5),(28 4239915),(29 4281802.5),(30 4316878.5),(31 4360791),(32 4407885.5),(33 4463269),(34 4528257),(35 4608076.5),(36 4688775.5),(37 4771008.5),(38 4862475.5),(39 4963371.5),(40 5077337.5),(41 5203667.5),(42 5322624),(43 5453984),(44 5597683.5),(45 5743967.5),(46 5888993),(47 6026288.5),(48 6150594),(49 6265564.5),(50 6377786),(51 6498603.5),(52 6627246),(53 6768356.5),(54 6910233),(55 7060168.5),(56 7211959.5),(57 7378356.5),(58 7569065),(59 7767549.5),(60 7964077.5),(61 8160320.5),(62 8356449),(63 8549362),(64 8746497),(65 8941471),(66 9135845),(67 9344049),(68 9567605),(69 9818787),(70 10083566),(71 10353712),(72 10631429),(73 10921872),(74 11208647),(75 11501639),(76 11776991),(77 12043120),(78 12297594),(79 12528966),
(1 33237.227),(2 124362.54),(3 266151.2),(4 447107.47),(5 662266.56),(6 913200.9),(7 1190251.8),(8 1498948.5),(9 1831623.4),(10 2178114),(11 2537810.5),(12 2897175.3),(13 3260282.3),(14 3608729),(15 3952522.5),(16 4290057.5),(17 4626862),(18 4939759.5),(19 5242501.5),(20 5536301),(21 5827355.5),(22 6111001.5),(23 6370822.5),(24 6598369.5),(25 6797263),(26 6967841),(27 7136611.5),(28 7289135),(29 7431619),(30 7571377),(31 7712090.5),(32 7860570),(33 8014284.5),(34 8172481.5),(35 8347233.5),(36 8511726),(37 8671090),(38 8834349),(39 8994670),(40 9149568),(41 9301649),(42 9436460),(43 9562163),(44 9696063),(45 9839671),(46 9987259),(47 10144606),(48 10297743),(49 10448361),(50 10595717),(51 10740787),(52 10879707),(53 11008913),(54 11113839),(55 11210923),(56 11278909),(57 11347689),(58 11405116),(59 11466539),(60 11509721),(61 11541367),(62 11569410),(63 11588117),(64 11606487),(65 11617276),(66 11627900),(67 11649808),(68 11678383),(69 11725018),(70 11778599),(71 11832454),(72 11876114),(73 11923870),(74 11957015),(75 11984113),(76 11987906),(77 11974338),(78 11943947),(79 11895537),
(1 38354.133),(2 144929),(3 313727.13),(4 536665.56),(5 808586.56),(6 1126667.1),(7 1480844),(8 1869111.6),(9 2282864.3),(10 2701878),(11 3116465),(12 3512903.3),(13 3884089.5),(14 4207525),(15 4484915),(16 4704372),(17 4872370.5),(18 5001631),(19 5099097.5),(20 5174228.5),(21 5231306.5),(22 5270201.5),(23 5304911.5),(24 5345036),(25 5391804),(26 5455382),(27 5546983.5),(28 5657926.5),(29 5786007.5),(30 5920041),(31 6053116),(32 6176777.5),(33 6289639.5),(34 6376220),(35 6435649.5),(36 6463287),(37 6466477),(38 6452028),(39 6430183.5),(40 6394066),(41 6355385.5),(42 6330282.5),(43 6323095.5),(44 6339188),(45 6398376.5),(46 6497677.5),(47 6636380),(48 6795774),(49 6951796),(50 7103687.5),(51 7260694.5),(52 7419075),(53 7574846),(54 7713483),(55 7837123.5),(56 7929747),(57 8014991),(58 8088702),(59 8150699.5),(60 8201524.5),(61 8238250.5),(62 8260875.5),(63 8266676),(64 8256136.5),(65 8234168.5),(66 8190879),(67 8136724),(68 8079337.5),(69 8022617.5),(70 7965946.5),(71 7902714.5),(72 7824164.5),(73 7741146.5),(74 7646868),(75 7566645.5),(76 7486876),(77 7417505.5),(78 7353576.5),(79 7295101),
(1 45990.68),(2 177073.22),(3 386990.3),(4 664567.75),(5 1003857.7),(6 1392048.9),(7 1809362.4),(8 2251073.8),(9 2701944.5),(10 3134546.8),(11 3538839),(12 3898101),(13 4204639),(14 4442636.5),(15 4619074.5),(16 4728866),(17 4781148.5),(18 4795865),(19 4791750),(20 4773071.5),(21 4743305),(22 4711711),(23 4687417),(24 4687326),(25 4708330),(26 4749567),(27 4809522.5),(28 4882420.5),(29 4956635.5),(30 5013394),(31 5060812.5),(32 5084396.5),(33 5093593.5),(34 5085907.5),(35 5061444),(36 5031482),(37 5015955.5),(38 5024201),(39 5073944),(40 5169352.5),(41 5310144),(42 5483362),(43 5710063),(44 5970786),(45 6261567),(46 6560911),(47 6850438.5),(48 7106605.5),(49 7343495),(50 7562883.5),(51 7747248),(52 7886222),(53 7982786.5),(54 8031570),(55 8044828.5),(56 8008970),(57 7955359),(58 7881165.5),(59 7798768),(60 7699488),(61 7586021.5),(62 7460172.5),(63 7329789.5),(64 7190029.5),(65 7041684.5),(66 6864480),(67 6673120),(68 6464201),(69 6251934),(70 6026400),(71 5796774.5),(72 5566841),(73 5360218.5),(74 5171514.5),(75 5019731.5),(76 4910770),(77 4838580),(78 4803284.5),(79 4802857),
(1 56433.875),(2 216377.55),(3 474922.6),(4 806802),(5 1197932.5),(6 1629353),(7 2069848),(8 2511555),(9 2932752.3),(10 3313464.5),(11 3654766.3),(12 3952071),(13 4220010.5),(14 4451773.5),(15 4667367.5),(16 4869902.5),(17 5076998.5),(18 5293816),(19 5528982.5),(20 5780612),(21 6045584),(22 6317748),(23 6583103),(24 6840543),(25 7072516),(26 7259259),(27 7399672.5),(28 7474278),(29 7494440.5),(30 7453056),(31 7359743.5),(32 7210333.5),(33 7031910.5),(34 6837256.5),(35 6644166),(36 6471434.5),(37 6340700.5),(38 6258463),(39 6238449.5),(40 6276524),(41 6358846),(42 6471201),(43 6617457.5),(44 6778804),(45 6948238),(46 7107527.5),(47 7254355),(48 7384321.5),(49 7511648.5),(50 7637266),(51 7755287.5),(52 7865480.5),(53 7973069),(54 8068724),(55 8159618),(56 8227740),(57 8302445),(58 8367614),(59 8424950),(60 8458334),(61 8467664),(62 8435613),(63 8376813),(64 8279567),(65 8147178.5),(66 7962964),(67 7742213.5),(68 7498527),(69 7257805),(70 7023691.5),(71 6811415),(72 6618732),(73 6460850.5),(74 6330515.5),(75 6250479.5),(76 6230522),(77 6270916),(78 6375497),(79 6542054.5),
