1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 58123.344),(2 146445.89),(3 274153.16),(4 404293.4),(5 533249.3),(6 680333.7),(7 836077.7),(8 993118.44),(9 1126352.8),(10 1250529),(11 1387976.4),(12 1573934.6),(13 1699190.4),(14 1818317.9),(15 1884619.9),(16 1950274.1),(17 2034867),(18 2135844),(19 2246093),(20 2325991),(21 2440609.8),(22 2548375.3),(23 2652728.3),(24 2697998.3),(25 2805839),(26 2885826),(27 2957437.3),(28 2981222),(29 3040997),(30 3108780.8),(31 3170964.3),(32 3218737.3),(33 3269063.8),(34 3363327.3),(35 3562608.8),(36 3779332),(37 4050014),(38 4174456),(39 4288172.5),(40 4343447.5),(41 4422906.5),(42 4508334.5),(43 4571876.5),(44 4641068),(45 4723424.5),(46 4801856.5),(47 4903936.5),(48 5070524),(49 5325243.5),(50 5525883.5),(51 5730254),(52 5933696),(53 6184009.5),(54 6439396),(55 6679060.5),(56 6856830.5),(57 6999898.5),(58 7111276),(59 7223110.5),(60 7301440),(61 7340429.5),(62 7403741.5),(63 7454746.5),(64 7479135.5),(65 7509594.5),(66 7599425.5),(67 7659522.5),(68 7749192),(69 7741314.5),(70 7651194.5),(71 7536781.5),(72 7393515.5),(73 7276946),(74 7109643.5),(75 6963436.5),(76 6851414),(77 6802775.5),(78 6758657.5),(79 6748279.5),
(1 50520.086),(2 138706.28),(3 258609.58),(4 377248.7),(5 489709.4),(6 607292.1),(7 722564.3),(8 827670.6),(9 923368.9),(10 1039871.4),(11 1152837.6),(12 1284868.3),(13 1398556.3),(14 1505901.5),(15 1591860.3),(16 1675071.8),(17 1766558),(18 1890451.6),(19 2043978.4),(20 2166863.3),(21 2323182.8),(22 2470130.5),(23 2637611.3),(24 2770133),(25 2934607.8),(26 3127079),(27 3337082.5),(28 3536979.5),(29 3786574.5),(30 4070525.3),(31 4366637.5),(32 4644129.5),(33 4941363),(34 5289532),(35 5658785),(36 6041598.5),(37 6387280),(38 6598519),(39 6830241.5),(40 7016544),(41 7201152),(42 7394258.5),(43 7561341),(44 7715017),(45 7894523),(46 8071677),(47 8276379),(48 8434387),(49 8618824),(50 8664222),(51 8757619),(52 8781917),(53 8828094),(54 8877250),(55 8930514),(56 8977184),(57 8979094),(58 8941078),(59 8902768),(60 8865529),(61 8760320),(62 8620062),(63 8454973),(64 8251481.5),(65 8056001.5),(66 7980632),(67 7903728),(68 7873305.5),(69 7756054.5),(70 7581043),(71 7445024),(72 7277785.5),(73 7107753.5),(74 6884648),(75 6730811),(76 6579801.5),(77 6458077),(78 6325641.5),(79 6252809),
(1 43843.063),(2 135282.5),(3 259975.7),(4 398767),(5 537605.56),(6 668298),(7 780577.3),(8 904914),(9 1023298.25),(10 1154883.6),(11 1281322.1),(12 1424701.6),(13 1548692),(14 1663608.5),(15 1802420.4),(16 1955570),(17 2115520.8),(18 2274020.3),(19 2434071.3),(20 2567060.8),(21 2681264.3),(22 2799644.8),(23 2937669.3),(24 3073006),(25 3215228.8),(26 3357968.8),(27 3561926.3),(28 3770537.3),(29 4027461.3),(30 4307011.5),(31 4575571.5),(32 4801152.5),(33 4998430),(34 5188067.5),(35 5351156),(36 5521684.5),(37 5643451.5),(38 5744134),(39 5809596),(40 5839692),(41 5829476),(42 5797981.5),(43 5796425.5),(44 5775078),(45 5772780),(46 5752489.5),(47 5736237.5),(48 5726926.5),(49 5745620),(50 5736534.5),(51 5669593.5),(52 5572737),(53 5465549.5),(54 5371563.5),(55 5271534.5),(56 5175360),(57 5127714),(58 5060256.5),(59 4978734),(60 4890282),(61 4807823.5),(62 4729740.5),(63 4686524.5),(64 4624165.5),(65 4609204),(66 4622207.5),(67 4630363.5),(68 4599470),(69 4536905),(70 4437490),(71 4301913),(72 4180062),(73 4043092.8),(74 3958123.8),(75 3871753.3),(76 3794775.3),(77 3747607.3),(78 3665548.3),(79 3598612.8),
(1 47797.676),(2 147731.19),(3 287285),(4 451167.2),(5 628401.5),(6 806773.56),(7 967745.25),(8 1143456.1),(9 1306792.1),(10 1474336.4),(11 1657820.6),(12 1854659.8),(13 2031804.6),(14 2223261.3),(15 2426846.8),(16 2631929.3),(17 2823633),(18 2992113.3),(19 3163471.5),(20 3303486),(21 3431633.5),(22 3524826.8),(23 3604814.3),(24 3665738.3),(25 3721523.3),(26 3773414.3),(27 3835831.5),(28 3940924),(29 4055285.8),(30 4201467),(31 4347061),(32 4484032),(33 4599943.5),(34 4730359),(35 4835993.5),(36 4959046.5),(37 5064799.5),(38 5116025.5),(39 5171938.5),(40 5198914.5),(41 5211775),(42 5209634),(43 5232645.5),(44 5313749.5),(45 5421843.5),(46 5483139),(47 5589108.5),(48 5701041),(49 5829026.5),(50 5914446),(51 5969769.5),(52 5968023),(53 5966091.5),(54 5939438),(55 5862005.5),(56 5763170.5),(57 5661488),(58 5549328),(59 5413447.5),(60 5255089.5),(61 5085650.5),(62 4923938),(63 4775671.5),(64 4632886),(65 4519045.5),(66 4442256),(67 4390231.5),(68 4319414),(69 4208271),(70 4069319),(71 3933328),(72 3832988.5),(73 3735264),(74 3700729.8),(75 3702548.8),(76 3736605.3),(77 3796657.8),(78 3883190.3),(79 3983462.3),
(1 41863.055),(2 120265.77),(3 233053.34),(4 364667.38),(5 510331.9),(6 644944.44),(7 766563.6),(8 896275.75),(9 1020648.8),(10 1159765.5),(11 1298254),(12 1450666.5),(13 1590116.4),(14 1729506.5),(15 1882626.9),(16 2036964.8),(17 2192786),(18 2353960.3),(19 2514661.8),(20 2648575),(21 2778517.8),(22 2882872.3),(23 2987479.8),(24 3075364.3),(25 3164470.5),(26 3238955),(27 3317454.5),(28 3430624),(29 3577535.3),(30 3732584.8),(31 3887859),(32 4042063),(33 4174660.3),(34 4322285),(35 4499762),(36 4701209.5),(37 4890710),(38 5051253),(39 5217259),(40 5382046.5),(41 5524163.5),(42 5669315),(43 5857369),(44 6034823.5),(45 6220867),(46 6420048),(47 6645129.5),(48 6880826),(49 7124630),(50 7332020.5),(51 7490333),(52 7648638.5),(53 7774792.5),(54 7913544.5),(55 8021641.5),(56 8060523.5),(57 8082090),(58 8092230),(59 8081542),(60 8029314),(61 7963736.5),(62 7901133),(63 7848347.5),(64 7770976.5),(65 7670067),(66 7578227.5),(67 7461814.5),(68 7352160),(69 7233238.5),(70 7128390),(71 7034682),(72 6972884.5),(73 6883613),(74 6831699),(75 6775025.5),(76 6720161.5),(77 6693547),(78 6662734.5),(79 6639298),
(1 38900.082),(2 103960.78),(3 191314.58),(4 294246.03),(5 403417.2),(6 504827.9),(7 614261.1),(8 736800.3),(9 861014.4),(10 991034.7),(11 1114982.6),(12 1243182),(13 1368928),(14 1481310.6),(15 1589447.4),(16 1675377.8),(17 1760800),(18 1856707.6),(19 1939778.6),(20 2019014),(21 2093622.6),(22 2162915.3),(23 2226794),(24 2296010.5),(25 2358632.8),(26 2421216.5),(27 2482425),(28 2543120.5),(29 2613241.5),(30 2677750.8),(31 2733767),(32 2784273.3),(33 2832106.5),(34 2875167.8),(35 2915331.5),(36 2965052.8),(37 3015656.5),(38 3064379.5),(39 3109300),(40 3161923.8),(41 3213835),(42 3261902),(43 3311102.8),(44 3344251.5),(45 3370969.3),(46 3431668.8),(47 3515980.5),(48 3624852.8),(49 3745272.8),(50 3872343.3),(51 3967643.5),(52 4032005.5),(53 4105357.5),(54 4173744.8),(55 4239953),(56 4314952),(57 4387652),(58 4477921),(59 4553878.5),(60 4605433.5),(61 4611308),(62 4629719),(63 4658542.5),(64 4683493.5),(65 4694305),(66 4746509.5),(67 4831439),(68 4918529),(69 4969843),(70 5028239.5),(71 5061966.5),(72 5080632),(73 5082413.5),(74 5089386),(75 5089049),(76 5090311),(77 5180225.5),(78 5197706.5),(79 5226362.5),
(1 47758.516),(2 132833.44),(3 256439),(4 400525.94),(5 553576.9),(6 725419.1),(7 905271.6),(8 1088958.5),(9 1265538.3),(10 1453908.5),(11 1631099.5),(12 1818747.3),(13 1991881.4),(14 2160055.8),(15 2319916),(16 2457112.3),(17 2580180.3),(18 2697254.5),(19 2806477.5),(20 2900229.8),(21 2995240.5),(22 3072014.8),(23 3139891.5),(24 3191671.5),(25 3249345.8),(26 3293918.5),(27 3319288.5),(28 3332037.8),(29 3348879.5),(30 3364816.3),(31 3385963.5),(32 3415561.5),(33 3454193),(34 3493551.8),(35 3535580.5),(36 3596872.3),(37 3681938.8),(38 3764740.5),(39 3846611.5),(40 3936191.5),(41 4025142.8),(42 4117210.8),(43 4212765),(44 4298939.5),(45 4374942),(46 4453879),(47 4517065),(48 4567715),(49 4639280.5),(50 4712355.5),(51 4778779),(52 4844460.5),(53 4911577),(54 5004691),(55 5089824.5),(56 5180425),(57 5253165),(58 5342117),(59 5420978),(60 5469941),(61 5559461),(62 5652891.5),(63 5746197),(64 5848674.5),(65 5929838),(66 6000864.5),(67 6082867),(68 6152609),(69 6204856),(70 6233866),(71 6244885),(72 6222194),(73 6193012.5),(74 6161501),(75 6120306),(76 6048629.5),(77 6013391),(78 5942376.5),(79 5870342),
(1 45166.926),(2 128375.75),(3 244947.97),(4 382663),(5 543869.2),(6 696319.25),(7 845437.44),(8 985789.6),(9 1114254.5),(10 1230440.8),(11 1344743.1),(12 1472458.4),(13 1593309.9),(14 1720406.9),(15 1858077.4),(16 1993426.6),(17 2109648.5),(18 2218745.8),(19 2322617.3),(20 2397707.3),(21 2465596.3),(22 2505023),(23 2523994.8),(24 2525662.5),(25 2540283.3),(26 2566534.8),(27 2613385.8),(28 2662490.3),(29 2727101.3),(30 2802949),(31 2885099),(32 2994565.5),(33 3105202.3),(34 3228717.8),(35 3363604.3),(36 3498006.8),(37 3633852.5),(38 3765955.3),(39 3907335),(40 4045485.8),(41 4179724.3),(42 4330116.5),(43 4478961.5),(44 4624675),(45 4776555),(46 4943897),(47 5082048),(48 5193037),(49 5290965.5),(50 5343415.5),(51 5360343.5),(52 5352971),(53 5334984),(54 5305454),(55 5295470),(56 5303144.5),(57 5301878.5),(58 5297142.5),(59 5295594.5),(60 5283451.5),(61 5263266),(62 5241419.5),(63 5204047),(64 5162404.5),(65 5136057.5),(66 5134461),(67 5181888),(68 5219880.5),(69 5243253.5),(70 5275325),(71 5311300.5),(72 5330767),(73 5342294.5),(74 5353772.5),(75 5375212.5),(76 5389686.5),(77 5409860.5),(78 5414123.5),(79 5436446.5),
(1 54029.594),(2 151884.23),(3 287325.03),(4 448474.72),(5 631803.1),(6 831329.6),(7 1028001.9),(8 1221814.5),(9 1404922.4),(10 1588261.4),(11 1753119.3),(12 1921492),(13 2080684.5),(14 2239940.8),(15 2385952.5),(16 2498840.8),(17 2599599),(18 2694370.8),(19 2775862),(20 2827422.5),(21 2868454.8),(22 2878236.8),(23 2889832.8),(24 2896238),(25 2918824.3),(26 2956585),(27 2992400.5),(28 3024541.3),(29 3072005),(30 3127152),(31 3171653),(32 3247929.5),(33 3348015),(34 3445796.3),(35 3525457.5),(36 3612643.3),(37 3700858.5),(38 3795679),(39 3890837.3),(40 3982843.8),(41 4072982.5),(42 4163103),(43 4255393),(44 4356152.5),(45 4479018.5),(46 4582188.5),(47 4690151),(48 4824723),(49 5004800),(50 5206531),(51 5398268.5),(52 5596276),(53 5772764.5),(54 5959767.5),(55 6143799.5),(56 6305949),(57 6468528.5),(58 6616678.5),(59 6749461.5),(60 6866167),(61 6983394),(62 7109404.5),(63 7226124),(64 7329871.5),(65 7424004),(66 7507427.5),(67 7592237.5),(68 7667823),(69 7709037),(70 7721709),(71 7720905.5),(72 7713634.5),(73 7691853),(74 7664156.5),(75 7606832.5),(76 7554916),(77 7531997),(78 7483829.5),(79 7394708),
(1 44700.09),(2 126161.914),(3 237421.92),(4 364965),(5 502567.78),(6 633269.06),(7 758148.6),(8 886329),(9 1004098.25),(10 1135866),(11 1264376.9),(12 1407847.5),(13 1553362.5),(14 1693343.1),(15 1828987.5),(16 1931380),(17 2026331.8),(18 2110559),(19 2169069.3),(20 2208675.5),(21 2248002.5),(22 2273698.8),(23 2309993.3),(24 2366499.5),(25 2432963.5),(26 2511300),(27 2615101),(28 2723529),(29 2839894.3),(30 2949620.5),(31 3038913.3),(32 3118657),(33 3196355),(34 3261865),(35 3298447.3),(36 3334441.8),(37 3380763),(38 3441443.5),(39 3526244.3),(40 3625499),(41 3732248.5),(42 3851322.8),(43 3979153.3),(44 4102824),(45 4217401),(46 4302940),(47 4370182),(48 4424857.5),(49 4485387),(50 4561250.5),(51 4629346),(52 4688477.5),(53 4735798.5),(54 4789067.5),(55 4826221),(56 4859553),(57 4890811.5),(58 4937385),(59 4992306),(60 5035748.5),(61 5067397.5),(62 5116243.5),(63 5196191),(64 5254997),(65 5301355.5),(66 5341607),(67 5383356.5),(68 5418002.5),(69 5430111),(70 5446446),(71 5439621),(72 5422316.5),(73 5395435.5),(74 5359587),(75 5349556.5),(76 5323754.5),(77 5315867.5),(78 5315453.5),(79 5291881),
(1 52312.926),(2 150252.56),(3 289505.4),(4 451378.88),(5 623591.5),(6 799921.44),(7 983586.8),(8 1162177.4),(9 1333823.5),(10 1511977.1),(11 1670209.6),(12 1833196.4),(13 1983365.1),(14 2143850.3),(15 2298839),(16 2443874),(17 2591917.8),(18 2717867),(19 2795740.8),(20 2838264.5),(21 2883940.3),(22 2906814.8),(23 2925187.8),(24 2955179),(25 3000545.5),(26 3048626.8),(27 3105677.3),(28 3161166),(29 3238160),(30 3310510.3),(31 3363784.3),(32 3415475),(33 3463189.8),(34 3515557.3),(35 3548025.5),(36 3586366),(37 3635905),(38 3676498.8),(39 3738463),(40 3819316.8),(41 3914718),(42 4035347.3),(43 4168737),(44 4287161.5),(45 4411080.5),(46 4517046.5),(47 4601171),(48 4685906),(49 4759696),(50 4827933),(51 4909911.5),(52 4989330),(53 5072060),(54 5154145.5),(55 5236948),(56 5329424),(57 5404301.5),(58 5493471.5),(59 5581041),(60 5639101),(61 5665208.5),(62 5663033),(63 5638196.5),(64 5600173),(65 5561365.5),(66 5520724.5),(67 5484707),(68 5468276.5),(69 5471260.5),(70 5500701),(71 5545518),(72 5595222),(73 5635937),(74 5679668.5),(75 5716725),(76 5742958),(77 5775107),(78 5813278),(79 5805340),
