1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 8069.078),(2 15743.394),(3 33724.938),(4 48224.863),(5 66732.87),(6 84004.01),(7 108834.75),(8 132688.7),(9 157296.08),(10 180410.2),(11 213733.92),(12 244673.75),(13 287808.7),(14 329241.22),(15 389766.25),(16 442588.5),(17 488795.75),(18 544637.8),(19 595536.56),(20 646905.25),(21 701477.3),(22 749255),(23 807309.3),(24 856426),(25 915984),(26 983704.56),(27 1066424.6),(28 1136198.9),(29 1227392.1),(30 1312403.6),(31 1405045.4),(32 1495985.4),(33 1585468.6),(34 1670735.1),(35 1752373.6),(36 1837966.4),(37 1925196.4),(38 2021854),(39 2132487.5),(40 2232837),(41 2339689.8),(42 2441864.8),(43 2561997.8),(44 2682375.3),(45 2802283.8),(46 2927864),(47 3050831.3),(48 3171032),(49 3312994.3),(50 3433774),(51 3580116.8),(52 3738388),(53 3899190.8),(54 4066652),(55 4256671.5),(56 4462364),(57 4646065.5),(58 4843877.5),(59 5049238.5),(60 5246860),(61 5479348.5),(62 5709195.5),(63 5961006.5),(64 6190152.5),(65 6426824),(66 6674690.5),(67 6907172),(68 7184179.5),(69 7456280.5),(70 7722976),(71 8001822.5),(72 8260056.5),(73 8515660),(74 8743591),(75 8988733),(76 9219281),(77 9440768),(78 9668303),(79 9948612),
(1 6845.836),(2 19989.996),(3 42817.03),(4 68367.09),(5 97131.29),(6 128514.414),(7 165248.55),(8 206490.03),(9 253071.28),(10 300202.84),(11 356178.72),(12 412309.5),(13 481536.8),(14 549187),(15 632967.7),(16 711102.9),(17 790916.5),(18 887380),(19 986167.6),(20 1089278.4),(21 1201491.9),(22 1308676.5),(23 1433464),(24 1566261.4),(25 1714554.3),(26 1866252.4),(27 2023629.3),(28 2174597.5),(29 2348267.5),(30 2515292.8),(31 2697436.8),(32 2883564.8),(33 3075929.5),(34 3266576.5),(35 3456645.5),(36 3649604.8),(37 3836929.5),(38 4028530),(39 4239914.5),(40 4438319),(41 4650679),(42 4857886.5),(43 5074241),(44 5286116),(45 5508320),(46 5719918.5),(47 5933709.5),(48 6134705),(49 6361761.5),(50 6578837),(51 6840281.5),(52 7077877),(53 7347588),(54 7608125),(55 7888259),(56 8173670.5),(57 8447148),(58 8723129),(59 9004046),(60 9251906),(61 9507238),(62 9725784),(63 9973851),(64 10191633),(65 10425846),(66 10658797),(67 10892294),(68 11163816),(69 11447867),(70 11709846),(71 11981446),(72 12196366),(73 12411910),(74 12574347),(75 12748754),(76 12879292),(77 13032197),(78 13180925),(79 13376572),
(1 7419.3276),(2 24960.703),(3 49879.72),(4 80562.69),(5 117049.875),(6 159318.25),(7 208449.58),(8 265366.84),(9 328608.28),(10 398110.38),(11 477613.9),(12 559298.8),(13 650057.3),(14 742578.25),(15 839666.94),(16 937857.3),(17 1041205.3),(18 1156770.3),(19 1284269.4),(20 1420927.4),(21 1571435),(22 1731468),(23 1911022.4),(24 2101885.8),(25 2297897.3),(26 2502816.5),(27 2711704.3),(28 2922757.3),(29 3159866),(30 3396750),(31 3667418.3),(32 3931186.8),(33 4205331.5),(34 4473124.5),(35 4748782.5),(36 5026222),(37 5300317.5),(38 5563226),(39 5817456),(40 6060944),(41 6309343.5),(42 6532667.5),(43 6768963.5),(44 6996390.5),(45 7235855.5),(46 7457619.5),(47 7676391.5),(48 7898378.5),(49 8122817.5),(50 8320858.5),(51 8513420),(52 8679632),(53 8858540),(54 9001551),(55 9141687),(56 9279288),(57 9403949),(58 9532836),(59 9661239),(60 9778897),(61 9877171),(62 9953997),(63 10032509),(64 10101901),(65 10172781),(66 10216177),(67 10251013),(68 10310129),(69 10363983),(70 10405900),(71 10452617),(72 10487829),(73 10511280),(74 10534000),(75 10564676),(76 10581142),(77 10607481),(78 10624885),(79 10660301),
(1 6506.3438),(2 22086.11),(3 44622.816),(4 70637.84),(5 100600.53),(6 134598.39),(7 172291.44),(8 214505.19),(9 260811.78),(10 311375.88),(11 372910.84),(12 433271.47),(13 501936.56),(14 575514.75),(15 654639),(16 731580.56),(17 816883.8),(18 910742.06),(19 1017950.7),(20 1128373.4),(21 1253978),(22 1388481.1),(23 1532655),(24 1685627.4),(25 1842292.5),(26 2009494.6),(27 2189108.8),(28 2371044.3),(29 2575891.8),(30 2781465.3),(31 3005741.3),(32 3216517),(33 3436162.8),(34 3643434.5),(35 3872139),(36 4092509.8),(37 4318174),(38 4540670),(39 4762658),(40 4965064.5),(41 5180199),(42 5371960),(43 5584902),(44 5794325.5),(45 6016079),(46 6213685.5),(47 6420957),(48 6631600),(49 6847271),(50 7035227.5),(51 7228697),(52 7410581.5),(53 7622643.5),(54 7812482),(55 8017427.5),(56 8195335),(57 8358851.5),(58 8517294),(59 8686354),(60 8831166),(61 8964286),(62 9091113),(63 9219166),(64 9335262),(65 9457900),(66 9554449),(67 9651671),(68 9767008),(69 9879792),(70 9971854),(71 10077345),(72 10160832),(73 10229059),(74 10262565),(75 10293020),(76 10305238),(77 10325793),(78 10329522),(79 10349628),
(1 8645.543),(2 30631.9),(3 64118.33),(4 104743.74),(5 153833.23),(6 208059.44),(7 267173.88),(8 331347.84),(9 400451.13),(10 474524.63),(11 554923.94),(12 638737.7),(13 733342.06),(14 829567.44),(15 932342.06),(16 1039793.44),(17 1148243.8),(18 1262122),(19 1378882.9),(20 1494676.9),(21 1607903.9),(22 1710240.4),(23 1812972),(24 1913676.9),(25 2015497.3),(26 2115584.8),(27 2219362.5),(28 2318447),(29 2419627.8),(30 2513626),(31 2613167.5),(32 2708747.8),(33 2802422),(34 2887696.3),(35 2982733.8),(36 3074177.5),(37 3161357),(38 3250609.8),(39 3342292.8),(40 3424695.3),(41 3507536),(42 3590560.8),(43 3687107),(44 3784167.8),(45 3891163.3),(46 3996534.3),(47 4106385.8),(48 4208661),(49 4326302),(50 4442880.5),(51 4575321.5),(52 4709828.5),(53 4873308.5),(54 5031525),(55 5203776.5),(56 5365227.5),(57 5522415.5),(58 5683932.5),(59 5854500),(60 6004843.5),(61 6147980.5),(62 6286436.5),(63 6431035),(64 6573094.5),(65 6721818),(66 6868864),(67 7013655.5),(68 7163932.5),(69 7327020.5),(70 7474886),(71 7619105.5),(72 7739716.5),(73 7838922),(74 7915138),(75 7980433.5),(76 8032534.5),(77 8099047.5),(78 8151132.5),(79 8214134),
(1 8376.59),(2 30258.49),(3 64371.71),(4 108250.5),(5 162235.31),(6 225326.3),(7 302355.2),(8 387926.34),(9 483709.94),(10 589144),(11 707839.6),(12 837883.2),(13 983919),(14 1138468),(15 1307715.3),(16 1482446.4),(17 1655574.4),(18 1846576.4),(19 2049831.3),(20 2258358.3),(21 2463098),(22 2669729.3),(23 2880528.5),(24 3094568.5),(25 3306035.8),(26 3518748),(27 3744966.5),(28 3959417.5),(29 4175198.5),(30 4375385),(31 4562197),(32 4742162.5),(33 4915735.5),(34 5075309.5),(35 5231835),(36 5368878.5),(37 5499558.5),(38 5622055),(39 5745776),(40 5858882.5),(41 5957780.5),(42 6057166),(43 6150776),(44 6235422),(45 6320539.5),(46 6398615),(47 6476862),(48 6541112.5),(49 6602119),(50 6660048.5),(51 6716829),(52 6775899),(53 6851998.5),(54 6915352),(55 6988261.5),(56 7049902.5),(57 7112648),(58 7182844),(59 7251869),(60 7304212),(61 7345005.5),(62 7375217.5),(63 7402905),(64 7417992),(65 7444009.5),(66 7473272),(67 7500888),(68 7528798.5),(69 7566247),(70 7587689),(71 7609065.5),(72 7629523),(73 7640249),(74 7648911),(75 7651447),(76 7657870.5),(77 7680445.5),(78 7701354.5),(79 7734197),
(1 8724.017),(2 30247.873),(3 61930.414),(4 101350.734),(5 147925.4),(6 200994.64),(7 261263.58),(8 325926.53),(9 397400.5),(10 474044.22),(11 554506.75),(12 638014.1),(13 726572.94),(14 822134.44),(15 929449.6),(16 1039790.56),(17 1149497.8),(18 1267133.6),(19 1391023.9),(20 1523719.1),(21 1657680.8),(22 1794862.5),(23 1939933.3),(24 2082496.6),(25 2220695.5),(26 2351824.8),(27 2482291.8),(28 2614329.8),(29 2748054.8),(30 2867285.3),(31 2986501.3),(32 3109117.5),(33 3227331),(34 3335064),(35 3437329.5),(36 3527289.8),(37 3612203),(38 3701095.8),(39 3801511.8),(40 3892124),(41 3970748.3),(42 4047505),(43 4123109.5),(44 4186915.8),(45 4248785),(46 4296029),(47 4339521.5),(48 4383599),(49 4422454),(50 4462734.5),(51 4503585),(52 4547440.5),(53 4586295.5),(54 4618176),(55 4660001),(56 4694238.5),(57 4729904.5),(58 4762151.5),(59 4789004.5),(60 4800663),(61 4797207.5),(62 4780111.5),(63 4759374.5),(64 4728498),(65 4694778.5),(66 4657948),(67 4630103.5),(68 4596990),(69 4562137.5),(70 4513466.5),(71 4457653),(72 4398221.5),(73 4338158.5),(74 4279344.5),(75 4230454),(76 4185577.3),(77 4154288.3),(78 4115389.5),(79 4073078.8),
(1 9056.27),(2 32218.568),(3 66761.91),(4 111628.22),(5 167081.78),(6 232349.56),(7 304320.88),(8 386584.2),(9 478197.88),(10 576999.25),(11 684137.1),(12 792689.25),(13 911851.56),(14 1039365.1),(15 1175536),(16 1315048),(17 1458064.3),(18 1600540.3),(19 1748424.5),(20 1892947.9),(21 2037965.6),(22 2174143.5),(23 2314644.3),(24 2451245.8),(25 2583625.5),(26 2717085),(27 2850079),(28 2975410.8),(29 3092836.3),(30 3195772.8),(31 3298612.3),(32 3395980.3),(33 3481091.8),(34 3554172.5),(35 3613270.5),(36 3650232.3),(37 3677204),(38 3700911.5),(39 3718649),(40 3724079.8),(41 3726288.5),(42 3726630.8),(43 3728417.8),(44 3720612.5),(45 3713688.3),(46 3701265),(47 3688315.3),(48 3664569),(49 3640801),(50 3616857.5),(51 3597563.3),(52 3568540.5),(53 3546863),(54 3526125.5),(55 3516248),(56 3518999),(57 3537127.3),(58 3566581),(59 3600085.8),(60 3638197.8),(61 3677948.3),(62 3710041.5),(63 3753629),(64 3792079.3),(65 3836263),(66 3880513),(67 3929892.5),(68 3984128.3),(69 4046880.8),(70 4105968.5),(71 4167593),(72 4224666),(73 4286563.5),(74 4349510),(75 4410024),(76 4457744.5),(77 4507919),(78 4549288.5),(79 4582513),
(1 9055.023),(2 32062.854),(3 67488.43),(4 112364.51),(5 168062.4),(6 232008.64),(7 308147.9),(8 393317.2),(9 487975.53),(10 587722.3),(11 698461.94),(12 813225.9),(13 936366.4),(14 1063556.3),(15 1202261.3),(16 1344947.9),(17 1496139.8),(18 1643968),(19 1793753.4),(20 1940706.9),(21 2082867),(22 2215505),(23 2347047.5),(24 2472981.8),(25 2597576.5),(26 2713453.8),(27 2828616.5),(28 2929617.5),(29 3025810.3),(30 3103847),(31 3181766),(32 3242219.8),(33 3290593.8),(34 3326652.8),(35 3355024),(36 3375295.5),(37 3382962.8),(38 3379212.3),(39 3378282.3),(40 3361908.8),(41 3341258.5),(42 3319299.3),(43 3300086),(44 3276523.8),(45 3257866.5),(46 3228567.8),(47 3202339.5),(48 3173762.8),(49 3146769.5),(50 3116190.8),(51 3087097.5),(52 3058063.3),(53 3037302.5),(54 3015788.8),(55 3004085),(56 3000340.8),(57 2994115.5),(58 2995803.8),(59 3008099.8),(60 3022487),(61 3041006.8),(62 3065205.8),(63 3099624.3),(64 3129116.3),(65 3174377.5),(66 3221023.5),(67 3282725.8),(68 3351417),(69 3425331.8),(70 3502179.8),(71 3574402.3),(72 3642198),(73 3706104.5),(74 3762990.3),(75 3819071),(76 3872297.5),(77 3927256.5),(78 3965842),(79 4010543),
(1 9428.461),(2 34684.625),(3 73790.58),(4 124444.695),(5 185814.5),(6 258632.78),(7 344002.38),(8 437583.5),(9 542050.75),(10 654223.1),(11 776420.1),(12 900854.8),(13 1031338.7),(14 1169481.3),(15 1314309.4),(16 1457939.1),(17 1612894.5),(18 1771539.4),(19 1936431.8),(20 2100272.5),(21 2266817.8),(22 2426629.3),(23 2587530.8),(24 2743838.8),(25 2900611),(26 3053661.8),(27 3207323),(28 3352518.3),(29 3496079.3),(30 3631225.3),(31 3765674.8),(32 3887374.3),(33 3998975.5),(34 4091444),(35 4177446.3),(36 4252872),(37 4320043.5),(38 4375518.5),(39 4432554.5),(40 4464753.5),(41 4500445.5),(42 4526174),(43 4550462),(44 4560314),(45 4567948.5),(46 4563140),(47 4556934),(48 4541694),(49 4522058),(50 4491683.5),(51 4464038.5),(52 4430780.5),(53 4396452.5),(54 4353070.5),(55 4308874),(56 4266298.5),(57 4220939),(58 4176553.8),(59 4134626.3),(60 4093117),(61 4056562.3),(62 4022813.8),(63 3990199),(64 3956641.3),(65 3931566.3),(66 3907634.8),(67 3892103),(68 3879445.8),(69 3873974.3),(70 3874073.8),(71 3881519),(72 3877899),(73 3871613),(74 3856321.8),(75 3841486.8),(76 3830331),(77 3820004),(78 3804743.5),(79 3798478.3),
(1 13034.903),(2 47788.21),(3 102485.4),(4 173457.64),(5 261045),(6 362045.8),(7 475946.28),(8 601264.6),(9 736206.1),(10 881899.94),(11 1036803.06),(12 1193013.1),(13 1354319.4),(14 1520414.1),(15 1690739.3),(16 1860864.6),(17 2029796.3),(18 2186765.8),(19 2344755),(20 2498729),(21 2640704.8),(22 2774720.5),(23 2906161.5),(24 3024908.8),(25 3134391),(26 3236025.5),(27 3334145.3),(28 3417625),(29 3491256.5),(30 3554409.8),(31 3612820.5),(32 3657863),(33 3691444.8),(34 3709138.5),(35 3721294),(36 3721993),(37 3710546.8),(38 3686872),(39 3659601.3),(40 3624014.5),(41 3583030),(42 3541025),(43 3494438.5),(44 3442000),(45 3390888.5),(46 3337284.8),(47 3291928.5),(48 3252119),(49 3211840.5),(50 3176854),(51 3162519),(52 3148891.8),(53 3138697.5),(54 3128979.8),(55 3132951.8),(56 3142377.8),(57 3152895.5),(58 3164169),(59 3188498.8),(60 3215179),(61 3242464),(62 3280398.5),(63 3317453.8),(64 3357687),(65 3404730),(66 3439214.5),(67 3477046),(68 3512127.5),(69 3529370.5),(70 3538718),(71 3545098),(72 3542486.8),(73 3535930.3),(74 3525056.5),(75 3514685.3),(76 3493426.5),(77 3468742.3),(78 3431920.8),(79 3398612.3),
