1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 7443.1626),(2 15333.475),(3 17752.912),(4 17961.55),(5 18928.596),(6 20106.838),(7 20720.846),(8 21142.832),(9 21110.459),(10 21311.434),(11 21902.838),(12 22269.395),(13 21956.041),(14 21374.648),(15 21817.813),(16 22291.252),(17 22546.03),(18 22418.994),(19 22427.277),(20 22463.79),(21 22483.879),(22 22788.31),(23 23112.75),(24 23217.256),(25 23272.365),(26 23340.629),(27 23068.01),(28 22672.738),(29 22545.758),(30 22474.383),(31 22341.635),(32 21898.676),(33 21646.852),(34 21364.99),(35 21227.754),(36 21125.45),(37 20869.996),(38 21123.725),(39 21860.701),(40 22352.96),(41 22353.855),(42 22143.453),(43 21968.158),(44 21939.867),(45 21958.906),(46 21848.594),(47 21625.041),(48 21558.012),(49 21785.434),(50 22517.207),(51 22742.549),(52 22690.963),(53 22535.803),(54 22599.355),(55 22942.832),(56 22896.607),(57 22456.998),(58 22095.902),(59 21871.807),(60 22069.547),(61 22432.898),(62 22351.26),(63 22019.65),(64 21642.17),(65 21353.52),(66 21015.652),(67 20596.096),(68 20420.107),(69 20719.484),(70 20888.963),(71 20778.43),(72 20903.148),(73 21087.842),(74 21014.682),(75 20905.219),(76 20759.28),(77 20658.291),(78 20504.193),(79 20912.438),
(1 7473.136),(2 15333.631),(3 18026.59),(4 18642.293),(5 19291.766),(6 19978.555),(7 20478.71),(8 21101.855),(9 21691.283),(10 22275.098),(11 22835.727),(12 23201.855),(13 22963.88),(14 22371.486),(15 22419.375),(16 22531.484),(17 22604.848),(18 22621.936),(19 22779.795),(20 22831.865),(21 22604.96),(22 23037.857),(23 23833.81),(24 24030.898),(25 24052.771),(26 23863.486),(27 23054.313),(28 22454.123),(29 22022.85),(30 22035.352),(31 22614.371),(32 23177.215),(33 23350.664),(34 23161.613),(35 22910.02),(36 22559.998),(37 22179.516),(38 22315.906),(39 22692.244),(40 23082.94),(41 23345.682),(42 23448.19),(43 23454.69),(44 23435.662),(45 23536.004),(46 23674.813),(47 23781.857),(48 23489.088),(49 23339.75),(50 23933.764),(51 24398.014),(52 24397.113),(53 23925.291),(54 23626.803),(55 23508.68),(56 23342.406),(57 23127.93),(58 22888.672),(59 22588.658),(60 22146.611),(61 21988.287),(62 22124.857),(63 22278.46),(64 22106.645),(65 21993.594),(66 22102.828),(67 22152.486),(68 22115.748),(69 22233.043),(70 22385.053),(71 22353.033),(72 22111.713),(73 21907.332),(74 21790.84),(75 21691.451),(76 21498.367),(77 21270.574),(78 21245.89),(79 21780.135),
(1 7376.7065),(2 15168.685),(3 17503.87),(4 17836.217),(5 18418.492),(6 19108.22),(7 19600.316),(8 20178.691),(9 20534.672),(10 21186.691),(11 21755.633),(12 22031.455),(13 21652.443),(14 21057.326),(15 21089.338),(16 20981.668),(17 20990.68),(18 21198.947),(19 21260.32),(20 21265.213),(21 21477.96),(22 21860.127),(23 22253.377),(24 22257.838),(25 22529.729),(26 22534.893),(27 22236.973),(28 21730.645),(29 21575.54),(30 21123.816),(31 21292.563),(32 21515.465),(33 21694.344),(34 21277.84),(35 20894.984),(36 21071.502),(37 21233.79),(38 21422.115),(39 21642.072),(40 22130.506),(41 22412.633),(42 22476.412),(43 22413.752),(44 22571.324),(45 22776.777),(46 22811.691),(47 22777.338),(48 22422.54),(49 22498.4),(50 22783.717),(51 22980.28),(52 23046.41),(53 22544.455),(54 22155.814),(55 21831.906),(56 21592.764),(57 21704.375),(58 21632.357),(59 21291.145),(60 20980.893),(61 21023.37),(62 21265.346),(63 21673.672),(64 21741.375),(65 21632.102),(66 21496.21),(67 21389.15),(68 21225.13),(69 21167.426),(70 21307.375),(71 21838.227),(72 22040.705),(73 21839.656),(74 21555.172),(75 21606.309),(76 21477.977),(77 21111.05),(78 20683.473),(79 20547.725),
(1 7376.7607),(2 15538.13),(3 18500.834),(4 18935.629),(5 19421.281),(6 20131.986),(7 20239.367),(8 20473.906),(9 20478.361),(10 20782.123),(11 21123.508),(12 21281.787),(13 21089.686),(14 20867.783),(15 20896.576),(16 20891.773),(17 21298.793),(18 21254.463),(19 21172.799),(20 21102.033),(21 21359.496),(22 21902.137),(23 22171.66),(24 22262.658),(25 22639.729),(26 22368.25),(27 21582.951),(28 21359.176),(29 21634.887),(30 21459.752),(31 21574.916),(32 21955.092),(33 22132.266),(34 21682.852),(35 21286.543),(36 21296.395),(37 21403.139),(38 21400.068),(39 21409.67),(40 21584.453),(41 21491.043),(42 21237.053),(43 21253.094),(44 21829.908),(45 22220.184),(46 22136.291),(47 22068.28),(48 22292.9),(49 22174.893),(50 22096.45),(51 21926.563),(52 21757.994),(53 21617.055),(54 21579.912),(55 21603.898),(56 21845.777),(57 21966.879),(58 21744.047),(59 21469.705),(60 21351.387),(61 21169.422),(62 21321.484),(63 21476.473),(64 21455.22),(65 21501.809),(66 21555.004),(67 21825.432),(68 21784.979),(69 21603.996),(70 21233.363),(71 21446.012),(72 21462.893),(73 21421.496),(74 21074.697),(75 21150.723),(76 21523.025),(77 21777.275),(78 21831.37),(79 21678.771),
(1 7204.969),(2 15165.699),(3 18343.424),(4 19247.598),(5 19924.31),(6 20398.295),(7 20596.955),(8 20749.377),(9 20772.75),(10 21051.506),(11 21256.82),(12 21146.125),(13 20776.469),(14 20237.629),(15 19966.701),(16 19893.305),(17 20288.264),(18 20812.076),(19 21086.035),(20 21527.324),(21 22016.855),(22 22400.805),(23 22309.305),(24 21823.563),(25 21999.576),(26 21771.01),(27 21445.676),(28 21566.02),(29 22059.035),(30 22420.262),(31 22751.342),(32 23052.375),(33 22626.973),(34 21843.412),(35 21445.39),(36 21367.482),(37 21140.645),(38 21175.268),(39 21144.15),(40 21110.783),(41 20599.516),(42 20118.775),(43 20075.658),(44 20365.498),(45 20676.324),(46 20865.086),(47 21508.64),(48 21894.537),(49 21906.207),(50 21460.793),(51 21175.166),(52 21270.959),(53 21325.02),(54 21394.553),(55 21599.496),(56 22157.525),(57 22338.375),(58 21930.588),(59 21536.406),(60 20912.795),(61 20292.537),(62 20132.33),(63 20514.568),(64 20627.383),(65 20513.158),(66 20835.832),(67 21250.902),(68 21173.375),(69 20797.846),(70 20306.795),(71 20440.557),(72 20697.988),(73 20933.787),(74 20865.713),(75 20869.459),(76 21151.107),(77 21598.67),(78 21706.342),(79 21147.988),
(1 7138.3276),(2 14912.487),(3 17892.98),(4 18645.809),(5 19205.271),(6 19314.482),(7 19254.26),(8 19111.418),(9 18963.848),(10 19454.957),(11 19520.578),(12 19555.213),(13 19547.555),(14 19544.447),(15 19278.174),(16 18894.277),(17 18987.414),(18 19106.451),(19 19248.982),(20 19708.025),(21 19996.422),(22 20790.607),(23 21162.813),(24 20519.21),(25 19997.648),(26 19741.215),(27 19575.188),(28 19435.805),(29 19581.477),(30 19886.723),(31 20664.17),(32 21474.281),(33 21441.008),(34 20838.354),(35 20580.27),(36 20452.576),(37 20161.299),(38 20080.725),(39 19903.93),(40 19502.684),(41 18807.555),(42 18887.998),(43 18769.178),(44 18963.842),(45 19105.654),(46 19374.264),(47 19986.121),(48 20458.213),(49 20571.361),(50 20271.629),(51 20222.564),(52 20280.213),(53 20122.62),(54 19893.654),(55 19813.299),(56 20195.602),(57 20493.895),(58 20451.602),(59 20080.613),(60 19303.213),(61 18484.783),(62 18077.723),(63 18489.15),(64 18688.258),(65 18512.596),(66 18889.324),(67 19295.111),(68 19513.137),(69 19371.725),(70 19208.182),(71 19346.658),(72 19359.584),(73 19381.74),(74 19043.078),(75 18977.623),(76 19397.564),(77 19876.297),(78 19822.814),(79 19482.334),
(1 7240.39),(2 15153.064),(3 17993.086),(4 18689.74),(5 19064.002),(6 18867.678),(7 18339.068),(8 18070.385),(9 17967.455),(10 18559.455),(11 18720.576),(12 18567.031),(13 18434.566),(14 18756.055),(15 18728.566),(16 18278.027),(17 18381.086),(18 18649.607),(19 18922.178),(20 19273.041),(21 19573.162),(22 19793.5),(23 19692.031),(24 18849.205),(25 18323.813),(26 18244.621),(27 18635.389),(28 18920.227),(29 19248.145),(30 19573.783),(31 19963.916),(32 19918.818),(33 19548.434),(34 18830.139),(35 18791.184),(36 19024.313),(37 19362.795),(38 19343.129),(39 19236.504),(40 18776.396),(41 18469.758),(42 18499.393),(43 18287.021),(44 18699.336),(45 19095.719),(46 19486.018),(47 19675.84),(48 19832.65),(49 19567.17),(50 19433.71),(51 19622.805),(52 19699.123),(53 19615.824),(54 19676.78),(55 19727.68),(56 19815.701),(57 20089.357),(58 20053.996),(59 19612.963),(60 18999.469),(61 18386.984),(62 18024.45),(63 18312.637),(64 18196.293),(65 18218.52),(66 18668.004),(67 19022.742),(68 19304.326),(69 19073.479),(70 18704.795),(71 18356.781),(72 18525.723),(73 18877.541),(74 18740.246),(75 18770.523),(76 19278.559),(77 19621.727),(78 19404.814),(79 18900.38),
(1 7003.529),(2 14289.595),(3 16513.703),(4 16724.664),(5 17187.668),(6 17356.838),(7 17244.18),(8 17438.596),(9 17881.924),(10 18626.059),(11 18782.438),(12 18404.19),(13 18177.6),(14 18281.797),(15 18377.076),(16 18135.238),(17 18026.53),(18 17923.113),(19 17538.336),(20 17467.389),(21 18071.46),(22 18795.646),(23 19140.957),(24 18882.412),(25 18453.46),(26 17979.885),(27 17755.984),(28 17641.67),(29 17577.7),(30 17953.258),(31 18854.059),(32 19198.338),(33 19047.662),(34 18626.305),(35 18756.205),(36 19004.715),(37 18770.346),(38 18258.48),(39 17875.865),(40 18004.576),(41 18166.896),(42 17851),(43 17532.994),(44 17584.037),(45 17911.086),(46 18115.225),(47 17991.055),(48 18044.488),(49 17997.049),(50 18103.002),(51 18429.174),(52 18798.992),(53 18710.95),(54 18536.943),(55 18250.666),(56 18154.012),(57 18149.756),(58 18136.793),(59 17819.611),(60 17304.006),(61 17102.52),(62 17427.719),(63 17620.232),(64 17414.014),(65 17256.662),(66 17293.086),(67 17484.932),(68 17635.81),(69 17658.668),(70 17545.742),(71 17236.545),(72 17407.352),(73 17562.434),(74 17163.314),(75 17226.572),(76 17475.969),(77 18058.563),(78 18166.543),(79 17992.932),
(1 7028.6577),(2 14406.664),(3 16788.363),(4 17158.148),(5 17601.063),(6 17541.309),(7 17180.303),(8 17222.217),(9 17591.266),(10 18188.287),(11 18358.041),(12 17801.148),(13 17445.418),(14 17473.412),(15 17540.201),(16 17424.527),(17 17365.918),(18 17322.125),(19 17188.416),(20 17309.19),(21 17736.375),(22 18059.855),(23 17872.867),(24 17527.564),(25 17392.18),(26 17298.838),(27 17681.568),(28 17874.916),(29 18289.484),(30 18581.824),(31 18728.426),(32 18492.11),(33 17943.87),(34 17560.691),(35 17904.441),(36 18365.121),(37 18002.814),(38 17584.568),(39 17306.654),(40 17443.4),(41 17505.447),(42 17239.21),(43 17218.316),(44 17516.941),(45 17757.633),(46 17978.994),(47 17799.326),(48 17435.309),(49 17539.264),(50 17667.713),(51 17673.715),(52 17847.805),(53 17811.27),(54 17862.732),(55 17645.977),(56 17658.373),(57 18114.545),(58 18178.7),(59 17802.406),(60 17050.215),(61 16809.938),(62 17465.021),(63 17908.96),(64 18011.633),(65 17961.988),(66 17654.031),(67 17680.713),(68 17916.506),(69 18073.754),(70 17934.95),(71 17683.285),(72 17705.58),(73 17853.62),(74 17738.5),(75 17713.523),(76 17872.129),(77 18224.498),(78 18081.516),(79 17910.838),
(1 6562.971),(2 13220.304),(3 15253.135),(4 15657.836),(5 16189.849),(6 16244.775),(7 16001.12),(8 16015.725),(9 16286.216),(10 16733.209),(11 16844.62),(12 16347.4375),(13 16240.639),(14 16743.19),(15 16945.21),(16 16931.504),(17 17083.045),(18 17009.129),(19 16661.51),(20 16743.875),(21 17193.32),(22 17573.941),(23 17547.568),(24 17164.44),(25 16894.088),(26 16856.889),(27 16912.93),(28 16813.588),(29 16992.467),(30 17449.709),(31 17801.67),(32 17938.654),(33 17659.818),(34 17085.809),(35 17031.64),(36 17178.43),(37 16957.19),(38 17048.852),(39 16995.217),(40 17041.387),(41 17272.07),(42 17176.346),(43 17080.32),(44 17075.518),(45 17010.213),(46 17166.54),(47 16556.361),(48 16082.52),(49 16331.618),(50 16577.99),(51 16610.285),(52 16540.3),(53 16690.832),(54 16742.436),(55 16611.396),(56 16708.996),(57 16895.438),(58 17041.76),(59 16755.457),(60 16151.117),(61 16106.959),(62 16222.848),(63 16416.092),(64 16802.021),(65 17057.203),(66 16969.57),(67 16735.07),(68 16922.31),(69 17185.934),(70 16963.994),(71 16536.795),(72 16619.4),(73 16924.326),(74 16726.941),(75 16707.145),(76 16857.535),(77 17179.387),(78 17324.533),(79 17363.02),
(1 6325.3076),(2 12679.441),(3 14304.806),(4 14560.354),(5 14708.872),(6 14768.354),(7 14693.708),(8 15086.317),(9 16038.572),(10 16747.244),(11 16818.826),(12 16081.958),(13 15715.684),(14 16003.222),(15 16037.854),(16 15956.104),(17 16267.743),(18 16448.215),(19 16031.168),(20 15949.536),(21 16233.187),(22 16737.068),(23 16565.197),(24 16107.604),(25 16128.702),(26 16296.912),(27 16278.281),(28 16049.763),(29 16188.65),(30 16447.904),(31 16712.541),(32 17150.418),(33 16833.389),(34 16068.653),(35 15875.826),(36 16040.701),(37 16003.409),(38 15922.692),(39 15670.905),(40 15825.866),(41 16138.51),(42 16459.867),(43 16516.834),(44 16508.186),(45 16391.846),(46 15978.339),(47 15415.1455),(48 14998.692),(49 15209.112),(50 15558.306),(51 15598.244),(52 15626.125),(53 15715.319),(54 15902.629),(55 15792.53),(56 15997.927),(57 16182.213),(58 16215.9),(59 16061.857),(60 15967.662),(61 16087.36),(62 15756.954),(63 15623.634),(64 15662.031),(65 15790.787),(66 15890.499),(67 15964.329),(68 16188.988),(69 16291.563),(70 15923.852),(71 15672.423),(72 15936.05),(73 16151.845),(74 16101.751),(75 16226.299),(76 16017.442),(77 15749.8545),(78 15569.299),(79 15618.567),
(1 6246.1),(2 12213.786),(3 13473.994),(4 13494.231),(5 14069.274),(6 14304.643),(7 14300.019),(8 14625.442),(9 15358.975),(10 15798.874),(11 15757.691),(12 15052.222),(13 14787.629),(14 14983.262),(15 15330.0625),(16 15393.88),(17 15556.28),(18 15518.084),(19 15158.834),(20 15283.574),(21 15867.66),(22 16235.908),(23 16099.025),(24 15644.753),(25 15518.805),(26 15726.1045),(27 15710.357),(28 15164.274),(29 15206.312),(30 15483.249),(31 15575.451),(32 15865.722),(33 15941.615),(34 15484.842),(35 15412.229),(36 15712.797),(37 15966.081),(38 15786.729),(39 15294.257),(40 15133.643),(41 15256.549),(42 15497.323),(43 15551.3545),(44 15427.817),(45 15532.497),(46 15477.136),(47 15169.305),(48 14955.787),(49 15321.723),(50 15569.179),(51 15609.657),(52 15589.506),(53 15390.546),(54 15232),(55 15066.217),(56 15060.592),(57 14817.781),(58 14875.93),(59 15061.37),(60 15138.636),(61 15396.055),(62 15389.113),(63 15246.266),(64 14871.55),(65 14761.363),(66 14923.04),(67 15046.055),(68 15308.589),(69 15388.31),(70 15079.967),(71 14900.06),(72 15064.383),(73 15218.929),(74 15379.355),(75 15724.327),(76 15808.81),(77 15608.15),(78 15422.58),(79 15500.283),
(1 6231.6147),(2 12228.597),(3 13471.371),(4 13320.362),(5 13595.804),(6 13571.597),(7 13458.557),(8 13767.419),(9 14679.453),(10 15326.173),(11 15270.004),(12 14841.326),(13 14482.4375),(14 14264.583),(15 14320.644),(16 14596.902),(17 14682.494),(18 14833.341),(19 15019.107),(20 15214.613),(21 15560.166),(22 15650.218),(23 15534.891),(24 15578.541),(25 15635.449),(26 15680.723),(27 15370.1875),(28 14679),(29 14574.279),(30 14871.16),(31 14988.213),(32 15183.036),(33 15478.001),(34 15182.2295),(35 14933.428),(36 15156.544),(37 15308.083),(38 15406.468),(39 15380.62),(40 15388.768),(41 15506.043),(42 15573.323),(43 15301.453),(44 15015.644),(45 15011.1875),(46 14865.784),(47 14660.803),(48 14528.876),(49 14528.317),(50 14792.77),(51 14852.489),(52 14763.97),(53 14460.737),(54 14522.086),(55 14645.196),(56 14715.503),(57 14403.649),(58 14244.764),(59 14314.743),(60 14321.439),(61 14249.709),(62 14503.7705),(63 14714.624),(64 14300.133),(65 13934.228),(66 13815.253),(67 14054.64),(68 14290.106),(69 14197.093),(70 14130.056),(71 14254.569),(72 14444.023),(73 14660.641),(74 14765.701),(75 14992.4),(76 15109.656),(77 14976.244),(78 14916.514),(79 15082.68),
(1 5931.0366),(2 11579.054),(3 12825.407),(4 13138.205),(5 13460.161),(6 13635.001),(7 13572.309),(8 13488.068),(9 14013.286),(10 14335.949),(11 14271.661),(12 14035.122),(13 13923.171),(14 13875.26),(15 14059.113),(16 14337.833),(17 14426.603),(18 14695.23),(19 15015.564),(20 14931.567),(21 14954.215),(22 14657.914),(23 14428.706),(24 14312.359),(25 14325.638),(26 14513.684),(27 14324.225),(28 13780.58),(29 14029.888),(30 14482.567),(31 14479.004),(32 14297.932),(33 14312.999),(34 14293.738),(35 14337.154),(36 14523.531),(37 14767.216),(38 14892.286),(39 14616.012),(40 14445.458),(41 14647.65),(42 14817.401),(43 14870.08),(44 14922.9),(45 15107.288),(46 15127.949),(47 14856.789),(48 14573.626),(49 14415.391),(50 14557.741),(51 14637.753),(52 14674.852),(53 14642.919),(54 14844.705),(55 14855.954),(56 14711.545),(57 14608.686),(58 14652.59),(59 14771),(60 14768.216),(61 14722.506),(62 14891.754),(63 14981.566),(64 14636.153),(65 14421.01),(66 14419.955),(67 14553.541),(68 14571.644),(69 14555.894),(70 14654.691),(71 14829.754),(72 15002.83),(73 15056.014),(74 15100.541),(75 15252.671),(76 15180.396),(77 14954.829),(78 14639.073),(79 14759.493),
(1 5867.7227),(2 11489.381),(3 12946.292),(4 13451.552),(5 13850.955),(6 14153.317),(7 14066.881),(8 14077.571),(9 14147.828),(10 14364.8545),(11 14263.864),(12 14038.806),(13 13849.685),(14 13743.562),(15 13980.017),(16 14159.306),(17 14295.217),(18 14762.832),(19 14957.043),(20 14880.3),(21 15051.087),(22 14856.577),(23 14441.58),(24 14264.4795),(25 14324.386),(26 14312.204),(27 13910.697),(28 13682.357),(29 13984.782),(30 14515.75),(31 14670.113),(32 14736.24),(33 14704.477),(34 14560.45),(35 14483.18),(36 14425.694),(37 14480.31),(38 14554.429),(39 14548.97),(40 14685.371),(41 14804.36),(42 14729.202),(43 14486.52),(44 14611.601),(45 14863.109),(46 14900.377),(47 14421.009),(48 14112.546),(49 13960.153),(50 14203.107),(51 14457.173),(52 14621.503),(53 14429.379),(54 14364.617),(55 14361.215),(56 14471.009),(57 14523.884),(58 14628.75),(59 14671.55),(60 14501.072),(61 14428.38),(62 14524.767),(63 14518.571),(64 14525.029),(65 14525.328),(66 14646.026),(67 14793.033),(68 14863.694),(69 14916.72),(70 15110.391),(71 15349.3125),(72 15323.35),(73 15058.003),(74 14906.428),(75 14958.848),(76 14819.282),(77 14578.1875),(78 14188.127),(79 14408.889),
(1 5857.5864),(2 11279.108),(3 12698.597),(4 13271.616),(5 13772.608),(6 14084.456),(7 13737.336),(8 13435.071),(9 13539.432),(10 13654.925),(11 13604.567),(12 13624.022),(13 13804.57),(14 13811.152),(15 14076.2),(16 14240.335),(17 14156.02),(18 14337.116),(19 14435.283),(20 14570.597),(21 14988.6),(22 14968.21),(23 14614.511),(24 14292.504),(25 14215.243),(26 14308.809),(27 14159.695),(28 14119.747),(29 14401.549),(30 14576.694),(31 14464.463),(32 14608.042),(33 14511.973),(34 14500.025),(35 14464.041),(36 14362.716),(37 14181.378),(38 14067.298),(39 14059.661),(40 14036.234),(41 14114.846),(42 13979.913),(43 13900.258),(44 14023.82),(45 14271.467),(46 14343.221),(47 13942.007),(48 13575.596),(49 13436.966),(50 13448.619),(51 13602.816),(52 13989.471),(53 14138.9),(54 14087.023),(55 13872.747),(56 13969.418),(57 14028.921),(58 14213.02),(59 14250.488),(60 14181.986),(61 14308.534),(62 14288.067),(63 14077.738),(64 13924.87),(65 13931.298),(66 14133.549),(67 14386.122),(68 14594.15),(69 14683.255),(70 14634.275),(71 14656.327),(72 14629.019),(73 14579.467),(74 14358.69),(75 14316.971),(76 14138.742),(77 14038.956),(78 13974.915),(79 14306.869),
(1 5687.3164),(2 10931.153),(3 12293.2705),(4 12731.499),(5 12940.117),(6 13215.722),(7 13221.602),(8 13270.78),(9 13597.467),(10 13739.426),(11 13774.469),(12 13711.023),(13 13707.696),(14 13649.352),(15 14044.028),(16 14080.88),(17 13849.517),(18 14140.411),(19 14376.972),(20 14463.907),(21 14724.342),(22 14701.042),(23 14405.099),(24 14033.071),(25 13720.137),(26 13718.265),(27 13550.285),(28 13453.486),(29 13618.922),(30 13696.939),(31 13467.865),(32 13553.51),(33 13423.694),(34 13220.853),(35 13254.227),(36 13402.62),(37 13204.579),(38 13244.027),(39 13429.463),(40 13544.722),(41 13465.059),(42 13204.895),(43 13210.343),(44 13346.37),(45 13522.2295),(46 13601.517),(47 13395.328),(48 13344.135),(49 13691.213),(50 13879.885),(51 13822.467),(52 13775.205),(53 13779.586),(54 13721.806),(55 13472.819),(56 13666.699),(57 13873.958),(58 13971.976),(59 13824.682),(60 13584.401),(61 13774.339),(62 13820.12),(63 13504.412),(64 13478.5625),(65 13589.615),(66 13659.417),(67 13690.996),(68 13772.5205),(69 13905.678),(70 13820.52),(71 13852.948),(72 13936.6875),(73 13770.205),(74 13565.749),(75 13427.106),(76 13123.962),(77 13199.7705),(78 13366.751),(79 13725.946),
(1 5528.754),(2 10595.156),(3 11850.992),(4 12497.841),(5 13005.436),(6 13351.658),(7 13247.784),(8 13067.0205),(9 13368.997),(10 13426.432),(11 13416.361),(12 13486.982),(13 13445.591),(14 13398.463),(15 13597.463),(16 13547.061),(17 13368.195),(18 13451.061),(19 13506.209),(20 13615.909),(21 13920.8545),(22 13575.455),(23 13324.608),(24 13091.838),(25 12796.155),(26 12685.77),(27 12566.758),(28 12661.362),(29 12851.107),(30 13083.283),(31 12830.925),(32 12722.571),(33 12738.72),(34 12790.832),(35 13004.638),(36 13135.047),(37 12846.643),(38 12872.716),(39 12969.774),(40 13053.321),(41 13033.537),(42 13041.364),(43 13215.341),(44 13354.033),(45 13499.929),(46 13335.977),(47 13037.879),(48 13066.151),(49 13521.28),(50 13861.872),(51 13642.131),(52 13612.283),(53 13701.7295),(54 13586.23),(55 13258.563),(56 13328.567),(57 13547.482),(58 13481.517),(59 13316.566),(60 13182.209),(61 13322.964),(62 13392.901),(63 13345.46),(64 13372.6455),(65 13473.537),(66 13383.905),(67 13492.638),(68 13815.355),(69 14049.659),(70 13834.737),(71 13652.834),(72 13523.784),(73 13490.418),(74 13309.128),(75 13261.073),(76 13057.23),(77 13068.77),(78 13149.415),(79 13474.626),
