1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 564805.06),(2 468392.84),(3 493321.22),(4 533266.44),(5 482627.13),(6 527338.06),(7 495616.8),(8 485116.3),(9 488597.9),(10 509599.53),(11 521749.28),(12 488919.97),(13 481221.88),(14 512259.34),(15 501756.13),(16 501148.9),(17 510791.1),(18 517708.2),(19 520305.13),(20 524157.97),(21 532294.2),(22 510273.72),(23 499386.94),(24 524425.3),(25 500231.97),(26 513405.03),(27 499696.4),(28 479695.06),(29 501949.9),(30 487498.66),(31 498823.34),(32 489309.34),(33 515311.06),(34 496602.56),(35 495777.06),(36 497645.88),(37 514884.94),(38 506817.22),(39 497411.47),(40 500613.8),(41 507780.72),(42 502898.8),(43 497375.38),(44 500374.53),(45 497159.7),(46 481613.03),(47 526900.56),(48 493181.66),(49 499872.53),(50 505616.97),(51 496962.78),(52 495420.63),(53 503569.66),(54 496385.47),(55 496625.5),(56 503083.2),(57 504314.84),(58 482059.5),(59 493396.28),(60 490271.06),(61 495826.72),(62 498108.3),(63 503108.38),(64 499172.06),(65 489912.6),(66 483071.34),(67 472257.34),(68 500726.3),(69 483530.72),(70 525736.4),(71 493435.88),(72 517006.38),(73 493932.66),(74 494416.6),(75 481956.1),(76 479678.6),(77 484916.16),(78 498672.34),(79 489143.3),
(1 575380.8),(2 444215.7),(3 461005.66),(4 507349.22),(5 490736.97),(6 481490.03),(7 492373.06),(8 497452.53),(9 491115.1),(10 493065.2),(11 490280.16),(12 483007.75),(13 478547.03),(14 521812),(15 479747.1),(16 508696.94),(17 470654.13),(18 476916.53),(19 464664.78),(20 475971.34),(21 493970.94),(22 478885.38),(23 493099.97),(24 485689.22),(25 466519.3),(26 501414.44),(27 465416.06),(28 461814.38),(29 500886.8),(30 492534.44),(31 515299.72),(32 505586.1),(33 513131),(34 494852.34),(35 506929.28),(36 507067.16),(37 512404.47),(38 510302.28),(39 512071.25),(40 500242.63),(41 493954.78),(42 486886.3),(43 472142.3),(44 478901.16),(45 480540.38),(46 483027.6),(47 504663.3),(48 483292.56),(49 486934.16),(50 478453.03),(51 486160.78),(52 490008.2),(53 487648.9),(54 496447.44),(55 500445.3),(56 479910.38),(57 499967.5),(58 477805.4),(59 478814.47),(60 488586.3),(61 484495.9),(62 496303.66),(63 472073.78),(64 489313.7),(65 490143.2),(66 488427.88),(67 483758.28),(68 474317.88),(69 466480.53),(70 499695.53),(71 480221.38),(72 490906.44),(73 469732.47),(74 500015.03),(75 454007.56),(76 473049.13),(77 488627.03),(78 488788.22),(79 478579.88),
(1 554745.6),(2 449262.75),(3 449541.4),(4 511424.16),(5 473181.03),(6 481437.56),(7 496515.5),(8 482805.5),(9 478947.44),(10 486966.1),(11 463257),(12 481721.9),(13 473139.47),(14 481921.72),(15 496218.4),(16 491948.94),(17 473862.6),(18 490368.63),(19 473400.13),(20 465482.28),(21 484849.9),(22 486402.6),(23 500302.47),(24 460836.9),(25 492675.72),(26 492117.4),(27 461702.3),(28 488086.97),(29 476113.9),(30 486629.44),(31 494371.34),(32 488657.97),(33 517465.16),(34 486007.56),(35 515336.44),(36 501211.8),(37 473493.47),(38 518352.97),(39 483931.84),(40 489270.47),(41 489330.38),(42 477202.78),(43 487838.78),(44 471917.03),(45 487280.8),(46 487669.25),(47 464882.75),(48 485616.13),(49 498739.7),(50 483169.97),(51 476441.03),(52 483035.3),(53 472269.3),(54 473565.75),(55 469944.28),(56 477443.63),(57 452235.6),(58 477062.78),(59 452564.03),(60 476521.72),(61 489674.4),(62 470475.06),(63 495543.1),(64 474767.94),(65 478226.06),(66 488731.66),(67 488345.66),(68 463378.8),(69 483538.06),(70 498713.5),(71 477562.88),(72 477511.5),(73 477272.38),(74 470756.3),(75 471120.13),(76 480706.2),(77 450619.47),(78 474402.06),(79 487621.13),
(1 584947.44),(2 468158.47),(3 479599.97),(4 514411.6),(5 484981.16),(6 503293.63),(7 483424.47),(8 481954.1),(9 487528.25),(10 464571.97),(11 485012.66),(12 481080.72),(13 484166.66),(14 487590.03),(15 488382.7),(16 486945.4),(17 483670.16),(18 498283.34),(19 471067.56),(20 488969.1),(21 489888.66),(22 478986.16),(23 476629.56),(24 492765.9),(25 486072.34),(26 491442.03),(27 486045.63),(28 482732.78),(29 471112.34),(30 478966.13),(31 487311.78),(32 471036.75),(33 476288.72),(34 474501.53),(35 480143.8),(36 465981.7),(37 465873.22),(38 465627.97),(39 466866.63),(40 472144.25),(41 467052.72),(42 468405.4),(43 475967.22),(44 464214.03),(45 480495.03),(46 486646.2),(47 471282.6),(48 477596.5),(49 493657.88),(50 479318.16),(51 481703.88),(52 471401.22),(53 491651.1),(54 475242.16),(55 461474),(56 483233.25),(57 483276.66),(58 472111.44),(59 476915.25),(60 480686.53),(61 456017.53),(62 483152.4),(63 462537.5),(64 464125.7),(65 476677.63),(66 483321),(67 465428.03),(68 496918.25),(69 482065.94),(70 465917.16),(71 493674.63),(72 468675.34),(73 470832.22),(74 454552.13),(75 474441.8),(76 477629.6),(77 466818.53),(78 479364.5),(79 476247.4),
(1 520231),(2 412131.56),(3 427025),(4 468543.44),(5 424363.6),(6 445342.2),(7 443004.88),(8 438624.06),(9 421739.3),(10 443033.97),(11 438180.03),(12 425947.53),(13 434819.53),(14 448643.06),(15 441692.44),(16 451064),(17 438982.97),(18 459402.94),(19 452758.8),(20 460749.78),(21 451644.84),(22 436270.28),(23 440709.06),(24 464464.97),(25 445278.44),(26 444755.88),(27 454157.88),(28 427475.16),(29 435608),(30 446287.3),(31 439760.72),(32 460714.34),(33 435273.63),(34 438331.34),(35 466625.94),(36 455720.63),(37 469138.28),(38 458986.6),(39 457835.88),(40 455933.13),(41 449682.44),(42 458454.03),(43 429445.56),(44 474089.53),(45 449887.88),(46 454614.63),(47 440837.13),(48 447107.5),(49 434496.7),(50 444311.94),(51 438201.84),(52 428824.13),(53 452310.3),(54 425905.5),(55 440948.75),(56 438144.28),(57 428186.84),(58 424547.6),(59 419763.06),(60 428500.47),(61 416673.7),(62 412907.84),(63 431585.66),(64 426986.9),(65 433247.72),(66 426004.84),(67 435251.5),(68 434571.78),(69 438093.28),(70 447201.6),(71 444705.3),(72 432091.25),(73 424470.2),(74 430479.1),(75 426969.6),(76 432394.06),(77 431938.4),(78 431733.56),(79 432663),
(1 494835.66),(2 425599.72),(3 423901.9),(4 453712.88),(5 431077.5),(6 440053.6),(7 455481.8),(8 411764.4),(9 443493.66),(10 450278.8),(11 426209.44),(12 448469.78),(13 433056.13),(14 418605.5),(15 437475.38),(16 420862.44),(17 434567.88),(18 440819.16),(19 432876.28),(20 428829.5),(21 441565.78),(22 429750.13),(23 453084.84),(24 436048.9),(25 425658.3),(26 449972.13),(27 449176.28),(28 430368.34),(29 430063.1),(30 454245.7),(31 435949.75),(32 428133.47),(33 437926.34),(34 442440.97),(35 431422.9),(36 440968.06),(37 427540.47),(38 437608.97),(39 431918.75),(40 419930.97),(41 426344.06),(42 425719.7),(43 424693.47),(44 429672.78),(45 449509.9),(46 418065.4),(47 440579.53),(48 446730.72),(49 431089.34),(50 441788.53),(51 439253.78),(52 432740.94),(53 411000),(54 426861.78),(55 431502.25),(56 422649.22),(57 420442.9),(58 411876.84),(59 430199.3),(60 405872.22),(61 405039.94),(62 415441.75),(63 412151.88),(64 438334.7),(65 416670.8),(66 424097.03),(67 413777.06),(68 429829.88),(69 411980.5),(70 425002.9),(71 416193.7),(72 433868.1),(73 417021.8),(74 432131.63),(75 415578.88),(76 423046.53),(77 415528.72),(78 414932.13),(79 413546.66),
(1 474088.22),(2 381204.47),(3 391777.13),(4 410477),(5 413364.9),(6 404483.1),(7 423199.3),(8 397183.5),(9 415931.5),(10 423868.6),(11 406337.63),(12 409573.44),(13 429060.34),(14 405334.97),(15 428800.6),(16 412862.8),(17 434237.53),(18 435702),(19 408221.22),(20 426942.53),(21 420645.94),(22 419739.22),(23 420121.7),(24 436060.7),(25 415268.3),(26 432416.22),(27 414400.47),(28 414260.25),(29 408615.47),(30 415533.13),(31 403828.78),(32 409930.6),(33 425845.5),(34 425882.8),(35 411569.4),(36 421336.3),(37 408867.34),(38 431588.97),(39 423269.7),(40 418968.78),(41 430630),(42 415053.94),(43 400873),(44 416007.38),(45 405920.56),(46 419349.2),(47 442813.66),(48 422036.03),(49 435670.88),(50 409866.13),(51 414504.38),(52 408876.66),(53 396567.47),(54 412449.16),(55 408578.8),(56 411267.06),(57 419328.34),(58 392607.6),(59 409423.28),(60 419685.72),(61 390943.72),(62 412970.16),(63 395701.06),(64 427752.6),(65 388645.44),(66 411507.53),(67 394641.38),(68 419653.06),(69 404792.34),(70 404471.47),(71 392665.9),(72 420212.3),(73 390036.2),(74 392370.7),(75 388930.72),(76 394258.72),(77 408169.56),(78 401179.28),(79 401611.34),
(1 433803.5),(2 375347.94),(3 382422.03),(4 388589.8),(5 404194.22),(6 405166.06),(7 395628.38),(8 401388.6),(9 390588),(10 382006.44),(11 390672.38),(12 390952.56),(13 384176.6),(14 398743.94),(15 418558.3),(16 378223.8),(17 407748),(18 397771.53),(19 382591.47),(20 396300.72),(21 399080.56),(22 397574.1),(23 426105.22),(24 419366.47),(25 408301.84),(26 412395.84),(27 402553.84),(28 407308.06),(29 409413.4),(30 404174.66),(31 399285.6),(32 377006.72),(33 406707),(34 397772.6),(35 383596.63),(36 395066.53),(37 380162.28),(38 377258.78),(39 392684.2),(40 389412.6),(41 404793.75),(42 394821.13),(43 393643.2),(44 403859.44),(45 403136.97),(46 403057.4),(47 420245.56),(48 400925.53),(49 400302.1),(50 404577.56),(51 385014.9),(52 393252.3),(53 384296.38),(54 405682.63),(55 401260.47),(56 390090.9),(57 378639.3),(58 392511.38),(59 392262.56),(60 395156.63),(61 396883.75),(62 405327.22),(63 385325.9),(64 395572.63),(65 384882.6),(66 397037.16),(67 385000.44),(68 385900.22),(69 397581.06),(70 393211),(71 393197.75),(72 394241.63),(73 376092.4),(74 396528.4),(75 382024.9),(76 391357),(77 385041.13),(78 398896.47),(79 383597.06),
(1 452048.94),(2 394727.4),(3 387785.53),(4 403286.03),(5 383576.84),(6 386632.9),(7 397016.47),(8 383042.78),(9 402421.78),(10 386918.1),(11 397901.03),(12 392447.28),(13 388349.4),(14 406517.75),(15 389030.13),(16 382565.6),(17 392307.2),(18 391566.22),(19 372459.44),(20 397792.2),(21 400395.66),(22 381137.6),(23 403090.13),(24 391331.97),(25 384268.53),(26 415294.06),(27 391807.66),(28 417684.2),(29 397086.63),(30 400114.53),(31 394960.2),(32 386905.72),(33 423557.8),(34 396184.03),(35 385412.2),(36 416060.34),(37 395610.8),(38 402037.63),(39 399110.44),(40 380144.03),(41 403686.72),(42 389843.88),(43 390342.28),(44 386160.75),(45 396543.25),(46 381878.06),(47 389772.9),(48 395544.28),(49 398248.9),(50 390155.25),(51 397658.38),(52 383689.13),(53 378464.2),(54 399624.84),(55 396087.8),(56 385816.3),(57 381036.78),(58 379536.53),(59 379543.8),(60 377809.8),(61 400520.6),(62 386212),(63 369215.3),(64 390720.56),(65 390116.53),(66 384152.9),(67 391295.1),(68 404002.25),(69 390833.22),(70 397086.28),(71 381596.06),(72 398246.38),(73 393971.78),(74 389561.66),(75 397915.84),(76 396656.22),(77 386987),(78 378322),(79 378294.5),
(1 424154.66),(2 365619.4),(3 353251.6),(4 393842.4),(5 365504.8),(6 385893.9),(7 373677.78),(8 394751.25),(9 382825.3),(10 379721.9),(11 379597.38),(12 374643.1),(13 383137.78),(14 381920.2),(15 373779.63),(16 389203.22),(17 376409.63),(18 388059.25),(19 375194.72),(20 380233.88),(21 380471.75),(22 385619.25),(23 376271.5),(24 355922.28),(25 385765.97),(26 362997.8),(27 381795.56),(28 386630.34),(29 369700.53),(30 375618.84),(31 393347.3),(32 381259.9),(33 395278.16),(34 392222.7),(35 379085.97),(36 379821),(37 380038.75),(38 369789.56),(39 369972.9),(40 376793),(41 376464.63),(42 386001.03),(43 383264.7),(44 383323.9),(45 383073.16),(46 376239.03),(47 374727.88),(48 380240.2),(49 378906.44),(50 372874.47),(51 388269.1),(52 366227.38),(53 382280.13),(54 379252.38),(55 362379.28),(56 378677.88),(57 356086.5),(58 368318.34),(59 367944.25),(60 369222.28),(61 374051),(62 371517.75),(63 359231.8),(64 373900.44),(65 367011.38),(66 368193.7),(67 368370.8),(68 372786.66),(69 373688.03),(70 382070.9),(71 369882.25),(72 387662.97),(73 378579.7),(74 382023.25),(75 367211),(76 390514),(77 378880),(78 364074.9),(79 381572.1),
(1 379827.88),(2 374274.53),(3 358781.03),(4 369098.9),(5 374213.3),(6 362899),(7 355190.34),(8 356980.7),(9 358763.13),(10 370123.34),(11 364952.06),(12 373052.97),(13 359001.88),(14 372844.56),(15 366901.1),(16 361033.03),(17 362455.22),(18 358442.22),(19 378878.94),(20 365942.8),(21 365642.53),(22 353844.9),(23 361410.9),(24 346597.97),(25 350926.56),(26 358216.16),(27 370073.53),(28 362647.88),(29 373414.94),(30 372841.84),(31 369107.1),(32 363267.13),(33 362414.1),(34 372314.88),(35 350055.06),(36 369412.34),(37 381206.03),(38 350078.8),(39 357426.5),(40 368955.4),(41 359777.8),(42 356747.56),(43 388743.66),(44 372588.4),(45 370485.66),(46 379983.3),(47 378980.88),(48 375661.4),(49 376765),(50 376805.28),(51 373458.56),(52 364491.72),(53 367337.2),(54 364291.8),(55 372229.84),(56 368397.9),(57 357321.97),(58 365854.38),(59 365326.06),(60 353822.63),(61 370144.25),(62 371564.8),(63 360564.7),(64 374188.53),(65 365657.44),(66 372834.3),(67 372554.66),(68 360405.13),(69 367728.34),(70 360292.47),(71 345912.44),(72 354237.03),(73 355698.13),(74 349815.06),(75 336926.38),(76 353865.66),(77 351271.16),(78 342314.47),(79 353648.34),
(1 395252.47),(2 351956.88),(3 335793.03),(4 344289.38),(5 360672.63),(6 341444.38),(7 352016.25),(8 344246.8),(9 340365.2),(10 340984.22),(11 368006.53),(12 352479.22),(13 342581.34),(14 348743.38),(15 345359.9),(16 346155.94),(17 348769.16),(18 343179.75),(19 346329.63),(20 335901.28),(21 340152.9),(22 356771.3),(23 334345.5),(24 342101.5),(25 348910.16),(26 351304.4),(27 351159.6),(28 349494.03),(29 345123.84),(30 345070.16),(31 351389.78),(32 349651.6),(33 348253.88),(34 366664.7),(35 367519.72),(36 364494.2),(37 361687.13),(38 349589.06),(39 353851.5),(40 355399.34),(41 337263.34),(42 364458.9),(43 349215.44),(44 355106.25),(45 348323.03),(46 339933.47),(47 337367.75),(48 342290.97),(49 347742.66),(50 348251.38),(51 342176.7),(52 348395.13),(53 339745.97),(54 342842.4),(55 349833.03),(56 335498.8),(57 330846.03),(58 339397.16),(59 347033.44),(60 325482.53),(61 344574.78),(62 330395.3),(63 333823.84),(64 347116.2),(65 342799.56),(66 339300),(67 341163.22),(68 327095.9),(69 333237.06),(70 324595.28),(71 337987.75),(72 345628.13),(73 334898.3),(74 330676.22),(75 331752.4),(76 344804.88),(77 344217.72),(78 336803.8),(79 343828.4),
(1 370449.3),(2 349221.44),(3 323569.7),(4 338410.53),(5 338292.8),(6 351641.78),(7 342621.03),(8 339822),(9 338421.47),(10 339207.2),(11 344782.22),(12 332856.47),(13 328062.97),(14 336219.7),(15 345664.63),(16 336827.25),(17 343256.75),(18 341802.88),(19 330859.47),(20 338736.63),(21 333175.2),(22 339151.5),(23 339762),(24 328644.03),(25 345405.66),(26 341683.66),(27 340443.75),(28 338283.53),(29 344522.1),(30 340311.5),(31 345939.22),(32 348449.78),(33 347968.9),(34 361255.25),(35 353405.1),(36 349418.84),(37 352794.6),(38 341161.03),(39 341713.38),(40 352850.47),(41 340592.47),(42 340448.97),(43 335418.03),(44 338189.8),(45 342034.1),(46 337181.47),(47 343878.06),(48 326663.53),(49 338832.78),(50 338853.63),(51 334003.4),(52 334908.3),(53 340817.34),(54 345398.78),(55 337470.4),(56 338891.72),(57 340836.28),(58 342418.94),(59 333793.97),(60 331820.9),(61 343022),(62 330964.66),(63 332653.9),(64 336214.1),(65 312809.28),(66 331922.94),(67 332377.63),(68 324668.88),(69 328834.94),(70 317969.56),(71 326679.75),(72 322086.5),(73 340034.2),(74 320641.47),(75 323607.13),(76 327013.97),(77 325391.2),(78 327985.94),(79 323296.47),
(1 354115.63),(2 325705.1),(3 303479.22),(4 319825.28),(5 325100.47),(6 326524.6),(7 323640.38),(8 328085.34),(9 323773.25),(10 331178.6),(11 338243.5),(12 326761.53),(13 324421.94),(14 342083.3),(15 328323.72),(16 326378.66),(17 326068.03),(18 339418.75),(19 324736.4),(20 343036.5),(21 336340.97),(22 331927.53),(23 326671.56),(24 314535.22),(25 319352.28),(26 316804.16),(27 312273.56),(28 322665.78),(29 319797.75),(30 327115.9),(31 326638),(32 321390.72),(33 336302.88),(34 330655.94),(35 328582.4),(36 326725.94),(37 337572.53),(38 324072.6),(39 330801),(40 331308.4),(41 333036.53),(42 322430.75),(43 328888.97),(44 333772.28),(45 333042.13),(46 338541.7),(47 330348.16),(48 323934.4),(49 325770.13),(50 323887.4),(51 322316.8),(52 313447.06),(53 317291.4),(54 310887.78),(55 320251.38),(56 318990.97),(57 313664.3),(58 321952.88),(59 316471.47),(60 329251.4),(61 317293.22),(62 315739.28),(63 312330.72),(64 317026.6),(65 307228.88),(66 309071.72),(67 317478.1),(68 316722.75),(69 310373.88),(70 322190.28),(71 319320.7),(72 313705.4),(73 320524.53),(74 319877.8),(75 322095.2),(76 314701.22),(77 320049.56),(78 305508.1),(79 302853.53),
(1 351726.7),(2 335543.66),(3 322395.75),(4 336354.7),(5 348233.28),(6 320942.75),(7 313807.2),(8 335259.63),(9 322172.1),(10 314818.9),(11 325626.28),(12 338198.9),(13 324803.6),(14 332111.8),(15 339154.25),(16 326841.47),(17 325221.06),(18 313556.22),(19 326027.9),(20 333908.56),(21 328494.03),(22 327979.78),(23 315384.16),(24 315139.16),(25 320676.8),(26 321922.44),(27 321658.03),(28 320492.56),(29 325614.25),(30 312041.5),(31 317466.03),(32 326628.25),(33 334134.63),(34 320516.8),(35 312936.22),(36 319227.2),(37 333101.1),(38 320790.72),(39 317776.1),(40 317629.88),(41 319066.34),(42 325374.78),(43 319233.9),(44 323619.94),(45 333971.75),(46 339176.72),(47 341286.66),(48 334335.06),(49 328577.66),(50 344973.97),(51 341906.78),(52 326326.97),(53 333569.84),(54 333925.6),(55 336226.44),(56 322273),(57 317326.4),(58 324241),(59 326319.34),(60 320700.72),(61 324892.28),(62 324338.75),(63 306655.28),(64 314018.94),(65 312734.47),(66 303902.06),(67 323160.7),(68 313718),(69 321683.88),(70 307780.56),(71 322850.28),(72 312980.25),(73 307336.28),(74 314820.28),(75 309046.56),(76 299999.2),(77 312931.2),(78 297683.97),(79 305108.78),
(1 330681.6),(2 316440.4),(3 306063.1),(4 309826.3),(5 308848.2),(6 299674.03),(7 307403.06),(8 314652.53),(9 310245.28),(10 304374.72),(11 302118.47),(12 300155.97),(13 306299.9),(14 309545.16),(15 300271.25),(16 307878.84),(17 310374.63),(18 295497.72),(19 303985.7),(20 303833.63),(21 309605.6),(22 311378.22),(23 309775.4),(24 303892.28),(25 311021.78),(26 316496.3),(27 310465.97),(28 297870.94),(29 306261.44),(30 305776.25),(31 310725.56),(32 304741.03),(33 302807.7),(34 304465.97),(35 312249.72),(36 312209.38),(37 301234.53),(38 317672.38),(39 322688.44),(40 301471.28),(41 317707.2),(42 304034.22),(43 320100.53),(44 305819.22),(45 308743.75),(46 315095.9),(47 307979.88),(48 307360.9),(49 304257.6),(50 301664.28),(51 312553.25),(52 319303.2),(53 320487.78),(54 311691.9),(55 300085),(56 306302.16),(57 316863.47),(58 297582.9),(59 310399.34),(60 294238.2),(61 295150),(62 297079.63),(63 290378.4),(64 303202.97),(65 292567.94),(66 295327.06),(67 300438.47),(68 292565.38),(69 300122.28),(70 301506.47),(71 306158.22),(72 303763.56),(73 298470.56),(74 293822.16),(75 289998.8),(76 296962.88),(77 289268.2),(78 288423.06),(79 285755.9),
(1 313323.3),(2 300841.8),(3 297200.47),(4 292587.94),(5 295091),(6 295704.5),(7 285687.94),(8 305973.16),(9 296832.56),(10 302546.75),(11 284123.44),(12 280667.88),(13 279252.2),(14 290803.1),(15 289751.03),(16 299615.4),(17 299351.63),(18 288167.75),(19 296868.97),(20 294493.72),(21 298283.28),(22 286859.7),(23 303543.34),(24 303057.13),(25 306938.97),(26 294558.3),(27 297894.06),(28 293790.53),(29 290273.2),(30 303724.4),(31 298229.63),(32 283670.78),(33 295015.38),(34 289701.72),(35 297499.3),(36 289925.1),(37 292330.5),(38 290570.2),(39 300065.1),(40 287270.38),(41 288670.88),(42 297178.44),(43 295483.8),(44 300017.6),(45 290419.9),(46 302918.78),(47 297268.2),(48 294546.63),(49 300413.28),(50 291226.16),(51 280176.3),(52 295723.47),(53 290985.25),(54 283839.2),(55 291800.38),(56 287336.44),(57 281093.94),(58 282053.4),(59 289416.97),(60 265652.38),(61 272776.78),(62 282304.66),(63 273083.4),(64 277238.53),(65 274421.9),(66 271473.4),(67 283100.34),(68 272760),(69 284201),(70 277001.75),(71 282783.88),(72 276875.28),(73 273992.97),(74 290227.84),(75 282618.63),(76 278399.63),(77 284202.16),(78 282929.2),(79 281980.06),
(1 320562.28),(2 313170.56),(3 297032.63),(4 296340),(5 304654.56),(6 293713.3),(7 295729.88),(8 304383.78),(9 293759.84),(10 301506.1),(11 299117.22),(12 286757.88),(13 294548.13),(14 293374.78),(15 289112.66),(16 300506.97),(17 293568.13),(18 295494.88),(19 301363.38),(20 293682.2),(21 304609.8),(22 292694.84),(23 294470.63),(24 281239.22),(25 304988.84),(26 289223.53),(27 290495.97),(28 293494.84),(29 298564.84),(30 293440.16),(31 290836.13),(32 299817.66),(33 306169.6),(34 289964.9),(35 281016.9),(36 285395),(37 287864.06),(38 284193.22),(39 293303.5),(40 290522.84),(41 296479.22),(42 288737.22),(43 297200.63),(44 293882.22),(45 295170.38),(46 306517.22),(47 287766.72),(48 281754.47),(49 304842.63),(50 294023),(51 299902.9),(52 298494.53),(53 288983.88),(54 285926.75),(55 300548.78),(56 284948.3),(57 288842.56),(58 287426.8),(59 284765.84),(60 293224.72),(61 277570.16),(62 292602.03),(63 295574.2),(64 292161.25),(65 284514.03),(66 285227.78),(67 299041.94),(68 286476.7),(69 287723.84),(70 292793.13),(71 296579.6),(72 288750.06),(73 288599.4),(74 299181.6),(75 304460.34),(76 289115.13),(77 284254.2),(78 288505.13),(79 292520.5),
(1 304638.03),(2 301431.7),(3 285352.56),(4 284127.84),(5 289829.38),(6 291313.4),(7 278594.47),(8 276793.13),(9 284746.84),(10 278264.44),(11 272556.5),(12 280840.25),(13 287851.34),(14 284074.97),(15 287280),(16 271540.34),(17 288423.06),(18 296365.06),(19 302909.38),(20 307992.13),(21 295636.88),(22 282810.94),(23 291142.6),(24 293794.8),(25 287306),(26 285122.97),(27 282900.13),(28 291156.72),(29 284826.25),(30 286483.03),(31 274492.66),(32 287236.44),(33 291431.1),(34 286454.7),(35 276268.88),(36 276768.47),(37 282233.2),(38 285798),(39 276605.7),(40 279064.1),(41 286822.97),(42 277418.5),(43 276737.84),(44 277688.25),(45 291504.06),(46 285968.4),(47 289319.53),(48 284280.9),(49 283424.28),(50 273345.97),(51 289477.13),(52 283821.03),(53 279172.13),(54 278616.88),(55 285077.03),(56 279407.6),(57 271375.97),(58 282007.84),(59 274979.4),(60 275999.72),(61 279432.4),(62 286725.7),(63 268763.2),(64 269750.47),(65 279968.9),(66 274738.72),(67 275803.9),(68 277863.53),(69 261119.48),(70 273192.66),(71 280512.16),(72 277583.72),(73 280630.16),(74 274687.9),(75 284615.94),(76 283953.2),(77 270370.78),(78 283349.6),(79 274898.4),
