1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 56175.723),(2 167964.78),(3 352536.16),(4 602044.75),(5 896079),(6 1243462.6),(7 1646730.1),(8 2091150.4),(9 2584868.8),(10 3111169.3),(11 3672009.3),(12 4253942),(13 4862684.5),(14 5463295.5),(15 6090782),(16 6739606.5),(17 7406387.5),(18 8105883.5),(19 8809759),(20 9518332),(21 10262317),(22 11051027),(23 11881463),(24 12679616),(25 13478236),(26 14294865),(27 15191427),(28 16054568),(29 16892810),(30 17714802),(31 18575174),(32 19429270),(33 20295906),(34 21199966),(35 22092904),(36 23005888),(37 23913366),(38 24858128),(39 25810950),(40 26742480),(41 27620038),(42 28399046),(43 29134912),(44 29796512),(45 30435134),(46 31063666),(47 31773562),(48 32469686),(49 33086778),(50 33753612),(51 34326060),(52 34938596),(53 35333916),(54 35547188),(55 35654972),(56 35816724),(57 36019596),(58 36271228),(59 36509988),(60 36746732),(61 36937680),(62 37168756),(63 37479936),(64 37727316),(65 38052388),(66 38434530),(67 38875332),(68 39327284),(69 39757180),(70 40229360),(71 40770428),(72 41318670),(73 41858456),(74 42464344),(75 43137524),(76 43990480),(77 44811012),(78 45761570),(79 46633504),
(1 40152.85),(2 131030.52),(3 279333.4),(4 481794.3),(5 726459.3),(6 1014094),(7 1348911.3),(8 1713744.4),(9 2107800.5),(10 2539521),(11 2971105.3),(12 3441416.5),(13 3909606.8),(14 4380927),(15 4936433),(16 5475409.5),(17 6042134.5),(18 6691900.5),(19 7375349),(20 8052109),(21 8780990),(22 9586191),(23 10391358),(24 11203643),(25 12024694),(26 12851990),(27 13811683),(28 14752656),(29 15682318),(30 16649443),(31 17663396),(32 18678982),(33 19762100),(34 20897068),(35 22006400),(36 23060292),(37 24028172),(38 24996212),(39 25911948),(40 26765352),(41 27538822),(42 28237584),(43 28885548),(44 29475274),(45 30052582),(46 30550288),(47 31095540),(48 31554636),(49 31917034),(50 32300268),(51 32548934),(52 32833056),(53 33004972),(54 33187696),(55 33371204),(56 33565384),(57 33755624),(58 34043064),(59 34367228),(60 34726810),(61 35105576),(62 35560770),(63 36091680),(64 36623916),(65 37211384),(66 37831304),(67 38527370),(68 39243776),(69 39986584),(70 40790456),(71 41595576),(72 42437030),(73 43229716),(74 44045750),(75 44775680),(76 45460184),(77 46019924),(78 46591830),(79 47036304),
(1 37376.656),(2 140624.25),(3 308587.16),(4 535569.25),(5 816596.8),(6 1147508.4),(7 1522854.6),(8 1924423.4),(9 2351502.8),(10 2798523),(11 3264017.3),(12 3744742.8),(13 4244362.5),(14 4729806),(15 5219245.5),(16 5700937.5),(17 6189646.5),(18 6697213.5),(19 7201831.5),(20 7675179.5),(21 8138791.5),(22 8601868),(23 9037508),(24 9451551),(25 9858161),(26 10239689),(27 10652329),(28 11053476),(29 11472428),(30 11955223),(31 12478331),(32 12994461),(33 13590188),(34 14197656),(35 14809160),(36 15417301),(37 15997988),(38 16564501),(39 17104400),(40 17599990),(41 18061794),(42 18477416),(43 18876788),(44 19234024),(45 19593604),(46 19879714),(47 20229506),(48 20529194),(49 20761966),(50 21052382),(51 21246754),(52 21514414),(53 21664510),(54 21837040),(55 21971274),(56 22153432),(57 22313310),(58 22481696),(59 22729120),(60 22962822),(61 23216794),(62 23487830),(63 23775392),(64 24009794),(65 24240520),(66 24473434),(67 24766034),(68 24978834),(69 25099440),(70 25219562),(71 25337910),(72 25414656),(73 25412758),(74 25453232),(75 25398976),(76 25418314),(77 25346258),(78 25330406),(79 25240032),
(1 139363.36),(2 547390.25),(3 1221687.4),(4 2138608),(5 3272902),(6 4584698.5),(7 6054578),(8 7622615),(9 9248026),(10 10918760),(11 12549700),(12 14145476),(13 15652667),(14 17012740),(15 18244072),(16 19272790),(17 20115306),(18 20774860),(19 21290460),(20 21583878),(21 21712420),(22 21696740),(23 21521192),(24 21203204),(25 20773898),(26 20268700),(27 19764416),(28 19243216),(29 18816554),(30 18508370),(31 18263424),(32 18125644),(33 18124238),(34 18257358),(35 18523006),(36 18841656),(37 19247536),(38 19757948),(39 20283306),(40 20840128),(41 21397768),(42 21899968),(43 22461608),(44 22964946),(45 23400488),(46 23742506),(47 24044362),(48 24276330),(49 24401106),(50 24514588),(51 24539788),(52 24552668),(53 24516078),(54 24555642),(55 24670072),(56 24886946),(57 25152030),(58 25483824),(59 25909162),(60 26352906),(61 26848374),(62 27358094),(63 27906606),(64 28406546),(65 28865244),(66 29281302),(67 29669802),(68 29969636),(69 30162888),(70 30286492),(71 30336832),(72 30315250),(73 30204426),(74 30067832),(75 29838208),(76 29641708),(77 29400958),(78 29142748),(79 28843108),
(1 235486.86),(2 926093.25),(3 2052103.1),(4 3576935.3),(5 5439506),(6 7561200.5),(7 9893876),(8 12328548),(9 14775556),(10 17223002),(11 19497856),(12 21613814),(13 23447688),(14 24984692),(15 26240856),(16 27070382),(17 27526170),(18 27608210),(19 27371678),(20 26742924),(21 25828154),(22 24710424),(23 23425224),(24 22014780),(25 20565010),(26 19145062),(27 17849900),(28 16727117),(29 15866633),(30 15278589),(31 14933466),(32 14837344),(33 14981751),(34 15311462),(35 15775959),(36 16308883),(37 16891394),(38 17500128),(39 18038974),(40 18501794),(41 18887930),(42 19116460),(43 19313490),(44 19432224),(45 19525860),(46 19642410),(47 19842920),(48 20131446),(49 20528292),(50 21091148),(51 21788294),(52 22664372),(53 23573574),(54 24492274),(55 25357588),(56 26233826),(57 27144314),(58 28028588),(59 28861378),(60 29582476),(61 30197062),(62 30679168),(63 31060812),(64 31250978),(65 31329362),(66 31272122),(67 31125928),(68 30842554),(69 30419182),(70 29943272),(71 29404722),(72 28790970),(73 28108224),(74 27385164),(75 26585414),(76 25846566),(77 25088960),(78 24378754),(79 23684126),
(1 222989.53),(2 880290.5),(3 1948759.3),(4 3377908.8),(5 5103969),(6 7044217.5),(7 9128221),(8 11260494),(9 13338002),(10 15297122),(11 17056556),(12 18533998),(13 19661956),(14 20415346),(15 20787120),(16 20687932),(17 20197794),(18 19361818),(19 18276758),(20 16957136),(21 15518739),(22 14065992),(23 12683084),(24 11459514),(25 10475819),(26 9768952),(27 9420992),(28 9376402),(29 9642848),(30 10147634),(31 10821190),(32 11590818),(33 12362613),(34 13035212),(35 13527834),(36 13788826),(37 13826010),(38 13653523),(39 13288718),(40 12803285),(41 12262238),(42 11723659),(43 11331411),(44 11148317),(45 11256806),(46 11641603),(47 12391898),(48 13420396),(49 14672976),(50 16097862),(51 17544108),(52 18993908),(53 20291344),(54 21433904),(55 22453346),(56 23339308),(57 24042756),(58 24593018),(59 24998972),(60 25240268),(61 25345568),(62 25355220),(63 25336484),(64 25165354),(65 24932928),(66 24623900),(67 24289316),(68 23826556),(69 23240244),(70 22546774),(71 21783126),(72 20904148),(73 19916004),(74 18902228),(75 17858796),(76 16877596),(77 15912123),(78 15029158),(79 14202352),
(1 119009.164),(2 470123.72),(3 1040790.56),(4 1802656.6),(5 2717634.3),(6 3743780.3),(7 4853714),(8 5995910),(9 7130912),(10 8237562),(11 9255057),(12 10190799),(13 10983186),(14 11621111),(15 12125894),(16 12441722),(17 12612913),(18 12682011),(19 12701940),(20 12644581),(21 12582852),(22 12563449),(23 12576108),(24 12650380),(25 12811759),(26 13045422),(27 13414399),(28 13819104),(29 14218554),(30 14552703),(31 14813132),(32 14967954),(33 14991551),(34 14891253),(35 14612092),(36 14180203),(37 13639132),(38 13028188),(39 12412411),(40 11847817),(41 11375514),(42 10988162),(43 10764336),(44 10695253),(45 10799636),(46 11017871),(47 11343872),(48 11701054),(49 12083396),(50 12467708),(51 12825970),(52 13154204),(53 13402587),(54 13559167),(55 13641941),(56 13688800),(57 13728015),(58 13769515),(59 13822762),(60 13873535),(61 13919558),(62 13951388),(63 13992805),(64 13966993),(65 13879681),(66 13711198),(67 13484807),(68 13178270),(69 12807542),(70 12394353),(71 11974370),(72 11538718),(73 11101207),(74 10694033),(75 10312790),(76 9979753),(77 9673384),(78 9397157),(79 9140114),
(1 116271.2),(2 448584.16),(3 967092),(4 1621331.1),(5 2356009),(6 3114519.5),(7 3852995.3),(8 4525173.5),(9 5108257),(10 5615482.5),(11 6035992.5),(12 6412538.5),(13 6738868.5),(14 7035569),(15 7336962),(16 7605544.5),(17 7891156.5),(18 8194793.5),(19 8521906),(20 8818094),(21 9112081),(22 9408243),(23 9691621),(24 9971861),(25 10240435),(26 10499319),(27 10789265),(28 11069495),(29 11335855),(30 11579228),(31 11774608),(32 11944812),(33 12094419),(34 12210098),(35 12269244),(36 12226850),(37 12118709),(38 11946977),(39 11679429),(40 11373790),(41 11044434),(42 10672753),(43 10346038),(44 10058675),(45 9830478),(46 9676990),(47 9604585),(48 9587082),(49 9600972),(50 9656316),(51 9722852),(52 9799585),(53 9851404),(54 9911007),(55 10026144),(56 10233670),(57 10493517),(58 10813066),(59 11169189),(60 11523715),(61 11867677),(62 12171110),(63 12442739),(64 12647374),(65 12818605),(66 12945910),(67 13076015),(68 13162140),(69 13198311),(70 13208928),(71 13198814),(72 13147632),(73 13052853),(74 12935265),(75 12790735),(76 12647155),(77 12481863),(78 12307881),(79 12123302),
(1 146348.19),(2 563152.25),(3 1198031.4),(4 1970563.3),(5 2782037.8),(6 3532626.8),(7 4176308.8),(8 4657054),(9 4962519.5),(10 5130484),(11 5188233.5),(12 5201492.5),(13 5210760.5),(14 5275773),(15 5437959.5),(16 5707942.5),(17 6103047.5),(18 6602710.5),(19 7194385),(20 7782278),(21 8322733),(22 8777683),(23 9076524),(24 9231371),(25 9260910),(26 9196123),(27 9116461),(28 9052357),(29 9072838),(30 9192051),(31 9405503),(32 9685660),(33 9989882),(34 10245533),(35 10365143),(36 10298121),(37 10072236),(38 9746658),(39 9375629),(40 9061048),(41 8886920),(42 8881297),(43 9061700),(44 9368175),(45 9753903),(46 10114180),(47 10412651),(48 10571268),(49 10578376),(50 10493248),(51 10345419),(52 10219418),(53 10129883),(54 10079696),(55 10032550),(56 10000689),(57 10003147),(58 10005487),(59 9988299),(60 9912216),(61 9771143),(62 9582747),(63 9372583),(64 9149101),(65 8982350),(66 8894238),(67 8910278),(68 8994067),(69 9140144),(70 9345631),(71 9584836),(72 9840085),(73 10100808),(74 10370071),(75 10620480),(76 10850963),(77 11023531),(78 11154876),(79 11195346),
(1 176134.31),(2 674905.7),(3 1427690.3),(4 2327747.5),(5 3249393.8),(6 4076639),(7 4733334),(8 5160156.5),(9 5342352),(10 5325323.5),(11 5161786.5),(12 4931870),(13 4712372.5),(14 4593021.5),(15 4645550),(16 4884271),(17 5325969),(18 5915373),(19 6610356),(20 7265558.5),(21 7826343),(22 8216346.5),(23 8411088),(24 8445636),(25 8385717.5),(26 8281386),(27 8216700.5),(28 8230795.5),(29 8361352),(30 8544185),(31 8711999),(32 8810612),(33 8772912),(34 8588804),(35 8260188.5),(36 7820893.5),(37 7414897.5),(38 7154151),(39 7092460.5),(40 7271667.5),(41 7655397.5),(42 8149181.5),(43 8684940),(44 9127696),(45 9436533),(46 9607661),(47 9683152),(48 9730772),(49 9799403),(50 9965671),(51 10208612),(52 10521788),(53 10795895),(54 10950020),(55 10945239),(56 10832423),(57 10598533),(58 10251579),(59 9844766),(60 9418932),(61 9028694),(62 8717813),(63 8522478),(64 8414133),(65 8399940),(66 8454341),(67 8579057),(68 8730974),(69 8890871),(70 9081970),(71 9290202),(72 9487772),(73 9662367),(74 9797589),(75 9852748),(76 9833493),(77 9702286),(78 9471742),(79 9135889),
(1 175175.39),(2 673674.56),(3 1432422.1),(4 2350737.8),(5 3304515.8),(6 4185591.5),(7 4910948.5),(8 5413086.5),(9 5673140),(10 5721214),(11 5615537),(12 5433718.5),(13 5266142),(14 5201576.5),(15 5294779.5),(16 5525271.5),(17 5874252.5),(18 6275332.5),(19 6632349),(20 6856560),(21 6897349),(22 6771492.5),(23 6510853),(24 6190260.5),(25 5908388.5),(26 5742247.5),(27 5762461),(28 5937984),(29 6226468),(30 6540121),(31 6786332),(32 6873875),(33 6785577.5),(34 6551365.5),(35 6234748),(36 5905752),(37 5667005.5),(38 5563790),(39 5573446.5),(40 5654461),(41 5726820),(42 5706002),(43 5590592),(44 5389383),(45 5209939.5),(46 5142702.5),(47 5281990.5),(48 5598680),(49 6034653),(50 6502474),(51 6859079.5),(52 7065313),(53 7106666.5),(54 7024679.5),(55 6857672),(56 6635501.5),(57 6389877.5),(58 6190996.5),(59 6076515),(60 6015575.5),(61 6001228),(62 6008312.5),(63 6032367),(64 6047220),(65 6091663),(66 6176135.5),(67 6328554.5),(68 6545066.5),(69 6801796),(70 7081460),(71 7324282.5),(72 7491566.5),(73 7545676),(74 7488013),(75 7325970),(76 7087641.5),(77 6784852.5),(78 6461860),(79 6164753),
