1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,500.5,501.5,502.5,503.5,504.5,505.5,506.5,507.5,508.5,509.5,510.5,511.5,
(1 80634),(2 291739.78),(3 600503.7),(4 973405.8),(5 1386308.9),(6 1814792.4),(7 2246928.3),(8 2675826),(9 3106481.3),(10 3539862.8),(11 3975769.8),(12 4416726),(13 4862642),(14 5307584),(15 5747398),(16 6172945.5),(17 6589794.5),(18 6998760),(19 7403672),(20 7801903.5),(21 8201613.5),(22 8597331),(23 8991203),(24 9383097),(25 9773191),(26 10161829),(27 10541743),(28 10913073),(29 11284017),(30 11672811),(31 12075403),(32 12479477),(33 12872133),(34 13248129),(35 13615261),(36 13975571),(37 14335419),(38 14692555),(39 15047595),(40 15408867),(41 15783021),(42 16158541),(43 16549812),(44 16942210),(45 17349448),(46 17770358),(47 18199130),(48 18608378),(49 19010250),(50 19406550),(51 19802566),(52 20186160),(53 20569478),(54 20950128),(55 21332848),(56 21711164),(57 22087888),(58 22459464),(59 22820438),(60 23173928),(61 23510614),(62 23829786),(63 24136234),(64 24430432),(65 24706322),(66 24962910),(67 25207758),(68 25453962),(69 25707678),(70 25981070),(71 26269910),(72 26573992),(73 26890894),(74 27208898),(75 27528200),(76 27838816),(77 28140638),(78 28413400),(79 28662854),
(1 88814.055),(2 325086.63),(3 675946.4),(4 1108222.5),(5 1598008),(6 2124415.3),(7 2676561.5),(8 3245483.8),(9 3829083.3),(10 4427344),(11 5037368.5),(12 5660017),(13 6288009.5),(14 6918078.5),(15 7544006.5),(16 8159816),(17 8766263),(18 9367539),(19 9963875),(20 10558814),(21 11152010),(22 11752259),(23 12352011),(24 12952615),(25 13553824),(26 14164542),(27 14778709),(28 15398541),(29 16018621),(30 16644645),(31 17266844),(32 17881900),(33 18490352),(34 19080176),(35 19663370),(36 20233220),(37 20788208),(38 21330636),(39 21848004),(40 22337268),(41 22806468),(42 23258292),(43 23704064),(44 24141242),(45 24574048),(46 25009124),(47 25441430),(48 25858042),(49 26259876),(50 26651274),(51 27038230),(52 27416026),(53 27787120),(54 28151348),(55 28505376),(56 28841146),(57 29164032),(58 29468198),(59 29758790),(60 30032636),(61 30287626),(62 30524076),(63 30753574),(64 30977028),(65 31199306),(66 31421364),(67 31646614),(68 31871898),(69 32095924),(70 32317388),(71 32530090),(72 32741606),(73 32949388),(74 33152762),(75 33357680),(76 33559836),(77 33762356),(78 33949304),(79 34129100),
(1 96309.63),(2 352936.78),(3 735950.7),(4 1209839.8),(5 1745611.6),(6 2319329),(7 2915454.8),(8 3517927),(9 4120745.8),(10 4722492.5),(11 5318128),(12 5909683.5),(13 6491236),(14 7061996),(15 7610703.5),(16 8137246.5),(17 8637039),(18 9114222),(19 9570614),(20 10012805),(21 10440670),(22 10862339),(23 11272249),(24 11670376),(25 12058591),(26 12442267),(27 12816731),(28 13190649),(29 13560107),(30 13918320),(31 14271961),(32 14621819),(33 14969861),(34 15319093),(35 15665351),(36 15994005),(37 16298239),(38 16584093),(39 16857006),(40 17108102),(41 17335790),(42 17548150),(43 17751018),(44 17932330),(45 18091462),(46 18235506),(47 18372614),(48 18504706),(49 18630190),(50 18753946),(51 18879390),(52 19011412),(53 19152652),(54 19299916),(55 19449834),(56 19605210),(57 19768066),(58 19946362),(59 20143002),(60 20364000),(61 20606382),(62 20874166),(63 21156946),(64 21455468),(65 21765404),(66 22084814),(67 22411450),(68 22742264),(69 23075846),(70 23409382),(71 23751062),(72 24091408),(73 24426794),(74 24760480),(75 25091934),(76 25427226),(77 25771088),(78 26113226),(79 26454862),
(1 104752.195),(2 385492.78),(3 803579.1),(4 1322110.6),(5 1911835.8),(6 2547735.5),(7 3218427.5),(8 3904613.8),(9 4593615),(10 5280030.5),(11 5958194),(12 6630080.5),(13 7288703.5),(14 7931141.5),(15 8551249),(16 9150879),(17 9728125),(18 10285171),(19 10827934),(20 11359646),(21 11874402),(22 12374318),(23 12856062),(24 13317510),(25 13758424),(26 14182643),(27 14590722),(28 14990759),(29 15385572),(30 15776814),(31 16166549),(32 16555991),(33 16942272),(34 17322850),(35 17705608),(36 18088824),(37 18467602),(38 18836690),(39 19201000),(40 19560054),(41 19908566),(42 20245750),(43 20579346),(44 20900352),(45 21217776),(46 21521156),(47 21813624),(48 22091474),(49 22366258),(50 22644226),(51 22928582),(52 23220430),(53 23521106),(54 23826660),(55 24137418),(56 24449592),(57 24762034),(58 25067822),(59 25368804),(60 25667880),(61 25964486),(62 26259146),(63 26549226),(64 26834478),(65 27112004),(66 27385378),(67 27656104),(68 27922020),(69 28190260),(70 28464190),(71 28749430),(72 29045320),(73 29352450),(74 29671314),(75 29998678),(76 30329450),(77 30663580),(78 30999826),(79 31339186),
(1 97048.125),(2 356936),(3 743855.7),(4 1221637.3),(5 1761287.6),(6 2339994),(7 2946758.8),(8 3561152.8),(9 4177156.3),(10 4791419.5),(11 5399201.5),(12 5999723.5),(13 6589813),(14 7169559.5),(15 7736788.5),(16 8290088.5),(17 8828348),(18 9351640),(19 9859875),(20 10355303),(21 10840960),(22 11318433),(23 11787262),(24 12245105),(25 12690199),(26 13126013),(27 13553085),(28 13975034),(29 14387235),(30 14784231),(31 15162228),(32 15522281),(33 15872140),(34 16211748),(35 16547668),(36 16879258),(37 17205536),(38 17516426),(39 17818248),(40 18114158),(41 18399666),(42 18672758),(43 18938796),(44 19199956),(45 19462754),(46 19725328),(47 19986568),(48 20231178),(49 20465896),(50 20694072),(51 20918632),(52 21138526),(53 21354330),(54 21567726),(55 21787748),(56 22005326),(57 22221998),(58 22434298),(59 22639714),(60 22836788),(61 23024420),(62 23206240),(63 23384488),(64 23561914),(65 23739880),(66 23918164),(67 24095780),(68 24281134),(69 24466380),(70 24659232),(71 24858130),(72 25065286),(73 25279442),(74 25508564),(75 25746376),(76 25990752),(77 26240040),(78 26488482),(79 26740884),
(1 108675.25),(2 403029.22),(3 843466.5),(4 1390412.3),(5 2009946.3),(6 2674765.3),(7 3364967.3),(8 4063463.3),(9 4761198),(10 5454410.5),(11 6141836),(12 6822933),(13 7496264),(14 8164477.5),(15 8825038),(16 9476603),(17 10112320),(18 10726830),(19 11322696),(20 11900861),(21 12460400),(22 13000811),(23 13521630),(24 14021277),(25 14502813),(26 14966669),(27 15418570),(28 15855270),(29 16281830),(30 16691997),(31 17093118),(32 17495994),(33 17899504),(34 18301454),(35 18700148),(36 19094204),(37 19487284),(38 19879972),(39 20270108),(40 20658896),(41 21047822),(42 21440124),(43 21829382),(44 22209046),(45 22581912),(46 22949628),(47 23310700),(48 23664508),(49 24015328),(50 24365734),(51 24720148),(52 25083386),(53 25459556),(54 25848900),(55 26249078),(56 26653176),(57 27057654),(58 27460230),(59 27853946),(60 28235398),(61 28597024),(62 28943788),(63 29276052),(64 29591770),(65 29893248),(66 30181780),(67 30461068),(68 30735622),(69 31008550),(70 31282316),(71 31560838),(72 31849644),(73 32151980),(74 32476724),(75 32818042),(76 33174214),(77 33537628),(78 33903704),(79 34276536),
(1 118536.99),(2 440108.44),(3 918039.6),(4 1501990.5),(5 2148811.5),(6 2821685),(7 3496510.3),(8 4154774.3),(9 4791223),(10 5404840),(11 6000714),(12 6586751),(13 7167479),(14 7743426),(15 8309572.5),(16 8863049),(17 9397833),(18 9907580),(19 10383948),(20 10829084),(21 11245895),(22 11642342),(23 12025557),(24 12399609),(25 12775205),(26 13158074),(27 13551546),(28 13951595),(29 14355532),(30 14750501),(31 15134212),(32 15499317),(33 15843334),(34 16153723),(35 16442849),(36 16718288),(37 16991378),(38 17259304),(39 17529112),(40 17803166),(41 18085288),(42 18368366),(43 18648376),(44 18926118),(45 19200768),(46 19473228),(47 19734990),(48 19988266),(49 20236100),(50 20482540),(51 20728648),(52 20982396),(53 21240882),(54 21506730),(55 21774924),(56 22043412),(57 22307340),(58 22555230),(59 22782204),(60 22984342),(61 23165764),(62 23331766),(63 23485076),(64 23631048),(65 23771986),(66 23918294),(67 24074474),(68 24244898),(69 24430248),(70 24632396),(71 24855074),(72 25087752),(73 25324290),(74 25560252),(75 25797110),(76 26032606),(77 26266866),(78 26506956),(79 26754888),
(1 120348.82),(2 446110.7),(3 927741.9),(4 1513731.1),(5 2159026.8),(6 2825281.8),(7 3486927.5),(8 4126585.5),(9 4736425),(10 5315075.5),(11 5866995.5),(12 6400277.5),(13 6921783.5),(14 7438306),(15 7949546.5),(16 8456039),(17 8947442),(18 9417582),(19 9864811),(20 10292098),(21 10701741),(22 11101164),(23 11500267),(24 11912026),(25 12344650),(26 12798938),(27 13273751),(28 13766946),(29 14264606),(30 14751412),(31 15217209),(32 15655586),(33 16058775),(34 16425685),(35 16758001),(36 17066646),(37 17366004),(38 17660768),(39 17947946),(40 18232932),(41 18514436),(42 18783272),(43 19032070),(44 19255484),(45 19455242),(46 19641124),(47 19813982),(48 19986258),(49 20165996),(50 20361366),(51 20576180),(52 20818398),(53 21082228),(54 21368708),(55 21671072),(56 21981930),(57 22291288),(58 22587674),(59 22866306),(60 23119628),(61 23354620),(62 23574980),(63 23789236),(64 24005504),(65 24227788),(66 24457524),(67 24695654),(68 24937418),(69 25170296),(70 25391356),(71 25598156),(72 25790436),(73 25962222),(74 26117666),(75 26262562),(76 26398084),(77 26527904),(78 26660286),(79 26795112),
(1 123629.55),(2 459454.03),(3 956946.3),(4 1563585),(5 2233343.8),(6 2930462),(7 3631462.5),(8 4314740),(9 4969086),(10 5591297),(11 6180220.5),(12 6739085.5),(13 7269789.5),(14 7776846.5),(15 8262630.5),(16 8729150),(17 9177024),(18 9605296),(19 10016370),(20 10410968),(21 10788879),(22 11150555),(23 11495436),(24 11824284),(25 12136279),(26 12431494),(27 12710810),(28 12974121),(29 13226648),(30 13473883),(31 13714302),(32 13947611),(33 14173326),(34 14391322),(35 14606070),(36 14822319),(37 15039765),(38 15258772),(39 15472983),(40 15679069),(41 15870340),(42 16043987),(43 16206408),(44 16352250),(45 16479772),(46 16591808),(47 16691324),(48 16784352),(49 16877966),(50 16972986),(51 17072516),(52 17180542),(53 17297476),(54 17416896),(55 17536782),(56 17655002),(57 17765840),(58 17865354),(59 17953548),(60 18032798),(61 18100250),(62 18159002),(63 18209890),(64 18255436),(65 18297956),(66 18342576),(67 18395368),(68 18457226),(69 18531328),(70 18619138),(71 18721780),(72 18839982),(73 18966320),(74 19100552),(75 19236280),(76 19364624),(77 19484366),(78 19587640),(79 19673920),
(1 128951.805),(2 478625.06),(3 995578.44),(4 1622415.8),(5 2309950.3),(6 3019077),(7 3724744.5),(8 4408411.5),(9 5060752),(10 5679031.5),(11 6262653.5),(12 6813189.5),(13 7328579),(14 7807906),(15 8252611.5),(16 8663934),(17 9043048),(18 9393267),(19 9719619),(20 10024347),(21 10313813),(22 10593215),(23 10866220),(24 11139349),(25 11417573),(26 11698717),(27 11983744),(28 12271265),(29 12563253),(30 12858308),(31 13155525),(32 13449689),(33 13734964),(34 14008809),(35 14277548),(36 14538640),(37 14794526),(38 15050437),(39 15302324),(40 15549404),(41 15786592),(42 16012443),(43 16219879),(44 16404690),(45 16576167),(46 16740277),(47 16899886),(48 17056758),(49 17212988),(50 17374428),(51 17540004),(52 17710624),(53 17883920),(54 18057014),(55 18232676),(56 18413160),(57 18592446),(58 18760514),(59 18917176),(60 19058276),(61 19185600),(62 19307556),(63 19429168),(64 19551296),(65 19677980),(66 19806408),(67 19933380),(68 20057832),(69 20182094),(70 20310256),(71 20441946),(72 20583192),(73 20729156),(74 20881736),(75 21039870),(76 21202952),(77 21364384),(78 21519720),(79 21672208),
(1 119147.516),(2 438088.2),(3 898941.6),(4 1443792.8),(5 2027366.9),(6 2617661.3),(7 3200824.8),(8 3763123.5),(9 4303826.5),(10 4825444),(11 5328089.5),(12 5814180),(13 6281963.5),(14 6729403),(15 7150737),(16 7545048),(17 7916036),(18 8268768),(19 8604317),(20 8925237),(21 9231721),(22 9526210),(23 9810648),(24 10082462),(25 10349048),(26 10611445),(27 10878293),(28 11149400),(29 11428834),(30 11714600),(31 12004489),(32 12298609),(33 12593455),(34 12885513),(35 13176028),(36 13464115),(37 13746535),(38 14019130),(39 14282202),(40 14537018),(41 14783962),(42 15021719),(43 15249352),(44 15461085),(45 15664403),(46 15864343),(47 16057169),(48 16239326),(49 16406306),(50 16559944),(51 16696000),(52 16821560),(53 16936594),(54 17046058),(55 17151962),(56 17254528),(57 17351856),(58 17432828),(59 17501676),(60 17556018),(61 17606522),(62 17665668),(63 17734444),(64 17818882),(65 17915888),(66 18021068),(67 18130650),(68 18234416),(69 18333192),(70 18426234),(71 18514424),(72 18600918),(73 18676304),(74 18743850),(75 18802840),(76 18857122),(77 18906184),(78 18954344),(79 19006764),
