1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 5523.671),(2 13877.663),(3 22073.57),(4 27395.936),(5 31208.582),(6 33671.527),(7 35662.63),(8 37485.688),(9 39377.13),(10 41842.18),(11 44205.883),(12 45748.72),(13 46738.863),(14 47825.215),(15 48298.55),(16 48777.438),(17 49460.207),(18 50439.4),(19 51590.508),(20 52563.137),(21 53154.65),(22 53636.9),(23 53676.676),(24 53546.53),(25 53720.355),(26 54002.996),(27 54038.156),(28 54531.145),(29 55020.34),(30 55869.223),(31 56340.63),(32 55784.047),(33 55890.04),(34 56512.8),(35 56659.51),(36 57055.438),(37 57794.875),(38 58426.395),(39 59352.906),(40 59449.477),(41 59086.914),(42 59017.027),(43 59395.285),(44 59635.8),(45 60071.168),(46 60969.945),(47 61517.07),(48 61918.39),(49 61871.777),(50 62163.37),(51 63179.51),(52 64093.89),(53 64378.723),(54 64429.266),(55 64574.8),(56 64516.93),(57 64390.746),(58 64354.67),(59 63906.742),(60 63598.902),(61 63518.65),(62 63320.41),(63 63328.04),(64 63279.906),(65 62998.9),(66 63063.32),(67 63286.277),(68 63194),(69 62838.836),(70 62634.734),(71 62126.664),(72 61921.816),(73 61520.13),(74 60982.504),(75 60787.094),(76 60792.51),(77 60939.32),(78 61421.574),(79 61657.313),
(1 5255.022),(2 13047.086),(3 20857.684),(4 26038.828),(5 29968.621),(6 32816.99),(7 35278.06),(8 37802.203),(9 40385.535),(10 42793.723),(11 44530.656),(12 45236.848),(13 45902.664),(14 46569.895),(15 47077.402),(16 48071.26),(17 49066.56),(18 50067.55),(19 50979.395),(20 51282.14),(21 51152.98),(22 51293.996),(23 51791.156),(24 51656.434),(25 51765.098),(26 52072.156),(27 52368.227),(28 52963.996),(29 53740.004),(30 54482.555),(31 55024.816),(32 54710.203),(33 55192.656),(34 55898.05),(35 55952.25),(36 55979.92),(37 56486.32),(38 56881.23),(39 57553.098),(40 57846.25),(41 57400.383),(42 57418.098),(43 57874.496),(44 57845.496),(45 58375.69),(46 59367.848),(47 59721.68),(48 59970.344),(49 60200.613),(50 60274.67),(51 60857.766),(52 60993.598),(53 60616.113),(54 60058.402),(55 60122.02),(56 59789.43),(57 59673.72),(58 59463.973),(59 59157.37),(60 59267.664),(61 59434.49),(62 59251.69),(63 58968.734),(64 58685.836),(65 57926.62),(66 57823.895),(67 57875.71),(68 57291.71),(69 56343.188),(70 56057.65),(71 55968.707),(72 55786.465),(73 55774.656),(74 55867.617),(75 55991.836),(76 56262.46),(77 56282.895),(78 56665.703),(79 56844.54),
(1 5183.103),(2 13030.352),(3 20834.82),(4 25973.889),(5 29759.766),(6 32337.611),(7 34659.38),(8 37066.4),(9 39509.613),(10 41892.785),(11 43886.594),(12 45032.574),(13 45999.246),(14 47111.438),(15 47727.574),(16 48406.02),(17 48903.98),(18 49551.535),(19 50202.816),(20 50812.34),(21 51253.89),(22 51458.98),(23 51565.605),(24 51428.25),(25 51649.62),(26 52135.39),(27 52188.734),(28 52672.31),(29 53071.816),(30 53677.75),(31 53968.715),(32 53313.01),(33 53313.063),(34 53535.543),(35 53177.184),(36 53189.363),(37 53352.89),(38 53013.434),(39 53288.293),(40 53740.3),(41 53314.516),(42 52910.902),(43 53124.73),(44 53294.73),(45 53836.652),(46 54827.863),(47 55133.297),(48 55558.2),(49 56075.51),(50 56837.203),(51 57421.285),(52 57829.344),(53 57672.62),(54 57886.313),(55 58385.8),(56 58572.402),(57 58798.887),(58 58695.266),(59 58545.152),(60 58591.637),(61 58613.23),(62 58396.797),(63 58313.844),(64 58429.44),(65 58064.31),(66 58106.715),(67 58280.004),(68 57983.113),(69 57600.723),(70 57162.332),(71 56356.38),(72 56045.91),(73 55834.047),(74 55667.28),(75 55895.293),(76 55867.457),(77 55624.97),(78 55482.36),(79 55328.297),
(1 4975.2725),(2 12601.77),(3 20114.203),(4 25463.482),(5 29420.94),(6 32231.42),(7 34899.297),(8 37627.13),(9 39966.734),(10 41975.76),(11 43603.23),(12 44499.51),(13 45652.52),(14 46929.766),(15 47929.273),(16 48673.69),(17 49238.477),(18 49717.24),(19 50152.82),(20 50469.84),(21 50921.848),(22 51373.98),(23 51763.313),(24 51746.07),(25 51921.152),(26 52372.055),(27 52177.594),(28 52270.34),(29 52396.715),(30 52552.527),(31 52594.16),(32 52083.758),(33 52085.89),(34 52303.4),(35 52059.61),(36 52333.9),(37 52817.406),(38 52915.586),(39 53094.98),(40 53478.75),(41 53563.72),(42 53596.734),(43 54200.39),(44 54454.25),(45 55021.863),(46 55840.207),(47 56487.387),(48 57273.92),(49 58138.78),(50 58493.43),(51 58431.4),(52 58232.39),(53 57634.258),(54 58037.777),(55 58609.465),(56 58887.54),(57 59196.21),(58 59719.78),(59 59605.37),(60 59525.727),(61 59616.777),(62 59585.223),(63 59748.67),(64 60240.39),(65 59900.78),(66 59925.355),(67 60044.76),(68 59583.758),(69 59197.66),(70 58633.176),(71 57898.313),(72 57908.742),(73 57967.836),(74 58014.1),(75 58292.383),(76 58121.152),(77 57629.67),(78 57673.703),(79 57880.355),
(1 5113.0137),(2 13032.778),(3 20906.059),(4 26265.035),(5 30203.904),(6 33015.625),(7 35903.758),(8 38829.246),(9 41465.88),(10 43399.28),(11 44771.793),(12 45361.96),(13 45858.207),(14 46532.74),(15 46505.117),(16 46850.668),(17 47221.695),(18 47951.895),(19 48738.65),(20 49323.113),(21 49440.418),(22 49764.547),(23 50199.45),(24 50238.734),(25 50719.496),(26 51163.844),(27 51373.09),(28 51983.438),(29 52505.74),(30 53027.47),(31 53558.45),(32 53470.582),(33 53572.043),(34 53787.07),(35 53544.707),(36 53781.75),(37 53964.49),(38 53397.105),(39 53373),(40 53501.633),(41 53422.266),(42 53520.277),(43 54109.86),(44 54384.984),(45 54516.78),(46 54805.29),(47 54749.883),(48 54935.625),(49 55082.9),(50 54977.816),(51 54658.78),(52 54508.81),(53 54474.566),(54 54677.816),(55 55306.438),(56 55800.99),(57 56302.316),(58 57087.293),(59 57069.668),(60 57076.395),(61 57287.65),(62 57169.51),(63 56953.98),(64 56736.35),(65 55936.855),(66 55518.83),(67 55311.723),(68 55171.613),(69 55059.332),(70 54930.402),(71 54250.547),(72 54255.785),(73 54252.3),(74 54263.797),(75 54705.387),(76 54914.74),(77 55037.754),(78 55907.566),(79 56420.47),
(1 4953.035),(2 12586.733),(3 20525.469),(4 25937.865),(5 29927.34),(6 32562.803),(7 35190.188),(8 37927.62),(9 39966.17),(10 41776.66),(11 43499.07),(12 44233.066),(13 44778.215),(14 45907.08),(15 46812.656),(16 47594.223),(17 48124.08),(18 48569.336),(19 49300.03),(20 50077.29),(21 50526.656),(22 50595.582),(23 50766.723),(24 50556.688),(25 50640.17),(26 50766.75),(27 51046.45),(28 51738.652),(29 51797.895),(30 51958.7),(31 52111.688),(32 51710.445),(33 51718.902),(34 52116.535),(35 52023.047),(36 52290.29),(37 52615.496),(38 52268.184),(39 52271.22),(40 52396.637),(41 52288.766),(42 52511.71),(43 53041.734),(44 53393.37),(45 53771.105),(46 53865.72),(47 53696.504),(48 53965.49),(49 54829.95),(50 55224.645),(51 55359.035),(52 55452.18),(53 56343.95),(54 56821.74),(55 56959.695),(56 57344.164),(57 57598.48),(58 57548.45),(59 57592.867),(60 57913.383),(61 58207.08),(62 57986.496),(63 58128.53),(64 58099.305),(65 57495.63),(66 57101.297),(67 56942.72),(68 56641.836),(69 56323.887),(70 56240.395),(71 55456.656),(72 55008.73),(73 54874.746),(74 54727.18),(75 54639.813),(76 54751.418),(77 54745.58),(78 55649.96),(79 55680.777),
(1 4712.261),(2 11609.988),(3 18564.12),(4 23424.72),(5 27207.834),(6 29838.135),(7 32351.57),(8 34686.496),(9 36419.867),(10 37948.906),(11 39664.246),(12 40536.27),(13 41545.65),(14 42941.305),(15 43894.883),(16 44723.727),(17 45338.086),(18 45752.43),(19 46439.637),(20 47035.426),(21 47264.844),(22 47367.75),(23 47260.258),(24 46596.965),(25 46457.3),(26 46486.258),(27 46615.293),(28 47356.504),(29 47673.59),(30 47684),(31 48061.844),(32 48133.527),(33 48353.836),(34 48678.613),(35 48715.777),(36 49075.1),(37 49385.895),(38 49063.21),(39 49283.992),(40 49673.65),(41 49861.652),(42 50275.37),(43 50646.047),(44 50783.74),(45 50809.027),(46 51081.168),(47 51291.76),(48 51995.89),(49 52814.547),(50 52990.85),(51 53144.33),(52 53029.164),(53 53267.75),(54 53539.973),(55 53899.08),(56 54084.855),(57 54334.543),(58 54562.176),(59 54461.117),(60 54752.465),(61 54975.227),(62 54791.402),(63 54574.504),(64 54319.082),(65 53643.15),(66 53193.72),(67 53074.727),(68 52465.637),(69 52080.293),(70 51749.527),(71 51154.742),(72 50862.3),(73 50887.72),(74 50604.65),(75 50744.25),(76 51015.34),(77 51262.96),(78 51818.633),(79 52073.004),
(1 4632.8267),(2 11097.201),(3 17350.1),(4 21642.246),(5 24944.852),(6 27489.416),(7 30120.814),(8 32587.885),(9 34473.594),(10 36047.164),(11 37589.883),(12 38500.473),(13 39478.18),(14 40480.293),(15 41066.05),(16 41712.895),(17 42167.242),(18 42457.87),(19 43235.195),(20 44053.758),(21 44644.125),(22 45053.277),(23 45299.863),(24 45197.848),(25 45255.93),(26 45478.465),(27 45353.883),(28 45827.13),(29 46297.258),(30 46572.54),(31 46955.78),(32 46923.734),(33 47298.785),(34 47664.938),(35 47717.934),(36 48101.71),(37 48474.676),(38 48200.137),(39 48131.785),(40 48152.438),(41 48215.816),(42 48439.098),(43 48908.62),(44 48740.13),(45 48357.87),(46 48396.15),(47 48659.027),(48 49347.277),(49 50008.277),(50 49819.98),(51 49653.348),(52 49423.855),(53 49602.043),(54 49871.395),(55 50266.527),(56 50323.3),(57 50559.85),(58 50508.688),(59 50475.11),(60 50514.31),(61 50339.52),(62 50013.996),(63 49992.383),(64 50186.707),(65 49793.887),(66 49545.313),(67 49622.277),(68 49250.08),(69 48952.656),(70 49131.668),(71 49071.836),(72 49167.145),(73 49209.297),(74 48698.1),(75 48426.37),(76 48507.082),(77 48567.496),(78 49094.605),(79 49083.855),
(1 4452.1445),(2 10725.859),(3 16897.307),(4 21436.148),(5 25108.809),(6 27947.992),(7 30620.559),(8 32916.95),(9 34569.45),(10 36065.3),(11 37714.617),(12 38604.11),(13 39553.223),(14 40408.61),(15 40699.176),(16 41212.8),(17 42112.03),(18 42477.1),(19 42744.684),(20 42982.92),(21 43128.92),(22 42911.477),(23 42738.02),(24 42500.977),(25 42649.063),(26 43037.17),(27 43278.645),(28 43672.69),(29 43443.266),(30 43399.793),(31 43924.266),(32 44210.43),(33 44284.23),(34 44230.227),(35 44006.215),(36 44325.74),(37 44773.1),(38 44821.016),(39 45245.63),(40 45464.38),(41 45426.3),(42 45501.152),(43 45967.563),(44 45873.754),(45 45433.41),(46 45449.508),(47 45446.74),(48 45596.95),(49 45494.188),(50 45261.38),(51 45337.836),(52 45338.316),(53 45339),(54 45331.76),(55 45924.938),(56 46180.125),(57 46841.85),(58 47462.355),(59 47863.28),(60 48188.457),(61 48264.285),(62 48125.563),(63 48245.09),(64 48415.133),(65 48352.17),(66 48395.94),(67 48684.7),(68 48729.113),(69 48995.24),(70 49924.188),(71 50208.137),(72 50400.125),(73 50563.277),(74 50385.082),(75 50158.152),(76 50314.29),(77 50303.586),(78 50647.96),(79 50415.035),
(1 4531.79),(2 10959.8955),(3 17458.506),(4 22004.64),(5 25754.842),(6 28478.271),(7 30989.521),(8 33354.777),(9 35335.867),(10 37320.98),(11 39259.773),(12 40366.563),(13 41398.605),(14 42596.652),(15 43030.133),(16 43738.344),(17 44796.996),(18 45436.07),(19 45851.883),(20 46317.574),(21 46362.06),(22 46149.82),(23 46313.535),(24 46169.652),(25 46471.137),(26 46657.074),(27 46249.727),(28 46385.19),(29 46331.543),(30 46739.777),(31 47623.65),(32 48130.246),(33 48311.9),(34 48046.02),(35 47771.848),(36 48045.67),(37 48298.65),(38 48105.035),(39 48442.105),(40 48789.35),(41 48386.82),(42 48199.95),(43 48663.277),(44 48842.543),(45 48783.125),(46 48942.094),(47 48819.82),(48 48933.258),(49 49026.848),(50 48553.742),(51 48444.2),(52 48567.426),(53 48996.094),(54 49052.063),(55 49398.99),(56 49919.473),(57 50347.223),(58 50587.074),(59 50791.926),(60 51247.043),(61 51739.457),(62 51648.406),(63 51468.684),(64 51423.152),(65 50733.625),(66 50389.344),(67 50042.01),(68 49851.504),(69 50029.293),(70 50189.81),(71 50003.14),(72 49864.875),(73 49674.11),(74 49266.17),(75 49080.57),(76 49118.58),(77 49127.336),(78 49526.137),(79 49454.617),
(1 4298.48),(2 10319.534),(3 16038.402),(4 20291.246),(5 24009.488),(6 26623.678),(7 28690.834),(8 30469.092),(9 31888.736),(10 33225.363),(11 34696.914),(12 35720.664),(13 36850.277),(14 37764.484),(15 38407.52),(16 39589.184),(17 40772.164),(18 41186.496),(19 41669.79),(20 42289.418),(21 42552.34),(22 42391.133),(23 42205.195),(24 42012.473),(25 42068.164),(26 42108.57),(27 42047.566),(28 42461.387),(29 42590.273),(30 43130.996),(31 44110.566),(32 44494.742),(33 44855.953),(34 45449.72),(35 45625.69),(36 45605.32),(37 45760.105),(38 45284.145),(39 45431.47),(40 45917.297),(41 45623.375),(42 45538.51),(43 45815.43),(44 45588.203),(45 45298.24),(46 45278.367),(47 45003.426),(48 45158.586),(49 45274.594),(50 45210.945),(51 45453.906),(52 45426.78),(53 45625.38),(54 46026.39),(55 46321.668),(56 46414.28),(57 46653.273),(58 46931.434),(59 46911.035),(60 47089.574),(61 47316.016),(62 47221.438),(63 47363.1),(64 47443.574),(65 46792.426),(66 46640.535),(67 46782.25),(68 46673.105),(69 46712.438),(70 46615.043),(71 46450.242),(72 46553.977),(73 46549.594),(74 46363.668),(75 46154.387),(76 46212.28),(77 46088.184),(78 46385.7),(79 46607.31),
(1 4212.3027),(2 9874.066),(3 15555.864),(4 19638.936),(5 23079.145),(6 25631.693),(7 27886.732),(8 29859.816),(9 31354.049),(10 32787.383),(11 34312.637),(12 35208.168),(13 36316.99),(14 37160.324),(15 37699.61),(16 38534.047),(17 39515.87),(18 39778.035),(19 39987.773),(20 40390.09),(21 40810.477),(22 40776.266),(23 40915.285),(24 40657.203),(25 40483.594),(26 40110.63),(27 39952.54),(28 40232.58),(29 40215.79),(30 40559.203),(31 41123.184),(32 41294.29),(33 41568.06),(34 42216.613),(35 42400.813),(36 42572.984),(37 42952.617),(38 42850.637),(39 42846.813),(40 42974.465),(41 42937.383),(42 43121.477),(43 43350.44),(44 42979.92),(45 42875.125),(46 42823.777),(47 42686.32),(48 42842.88),(49 43038.445),(50 42734.91),(51 42739.613),(52 42861.387),(53 43034.527),(54 43245.504),(55 43612.465),(56 43958.59),(57 44292.598),(58 44687.035),(59 44612.04),(60 44634.92),(61 44681.313),(62 44364.918),(63 44249.74),(64 43986.63),(65 43849.117),(66 43906.64),(67 44095.16),(68 43886.223),(69 43839.063),(70 43686.918),(71 43745.47),(72 43797.824),(73 44169.14),(74 44287.633),(75 44274.375),(76 44163.13),(77 43982.266),(78 44426.676),(79 44698.285),
(1 4122.9165),(2 9725.945),(3 15527.465),(4 19606.594),(5 23093.53),(6 25494.61),(7 27385.004),(8 29305.646),(9 30796.408),(10 32056.004),(11 33120.086),(12 33745.754),(13 34426.883),(14 35175.176),(15 35880.05),(16 36630.848),(17 37546.945),(18 37654.58),(19 37883.445),(20 38190.797),(21 38141.363),(22 37929.043),(23 38099.81),(24 37934.973),(25 37710.438),(26 37575.027),(27 37510.492),(28 38101.797),(29 38290.4),(30 38845.656),(31 39578.98),(32 39872.754),(33 40190.086),(34 40749.832),(35 41131.426),(36 41515.957),(37 42021.266),(38 42138.582),(39 42472),(40 42816.652),(41 42671.305),(42 42630.54),(43 42804.055),(44 42766.88),(45 43149.223),(46 43552.844),(47 43508.84),(48 43569.438),(49 43491.04),(50 43191.207),(51 43054.668),(52 42906.46),(53 43038.363),(54 43342.234),(55 43204.676),(56 43014.84),(57 42878.125),(58 42981.465),(59 43148.82),(60 43519.074),(61 43718.582),(62 43426.594),(63 43165.715),(64 42745.766),(65 42285.805),(66 42042.945),(67 41917.42),(68 41459.914),(69 41263.715),(70 41002.44),(71 40784.137),(72 40934.12),(73 41322.668),(74 41265.613),(75 41217.72),(76 41246.816),(77 40856.4),(78 41114.76),(79 41401.703),
(1 3951.421),(2 9370.089),(3 15146.543),(4 19127.94),(5 22639.63),(6 25165.164),(7 27065.854),(8 28906.955),(9 30255.693),(10 31437.652),(11 32616.43),(12 33176.582),(13 33750.605),(14 34404.29),(15 34904.598),(16 35688.33),(17 36590.242),(18 36848.28),(19 37046.063),(20 37372.395),(21 37366.203),(22 37241.277),(23 37221.73),(24 36986.69),(25 36995.758),(26 36883.75),(27 37139.152),(28 37697.973),(29 37804.324),(30 37999.973),(31 38177.145),(32 38202.965),(33 38473.395),(34 38998.96),(35 39243.367),(36 39513.152),(37 40008.49),(38 39970.48),(39 40112.66),(40 40434.527),(41 40413.72),(42 40359.082),(43 40504.047),(44 40379.074),(45 40505.734),(46 40661.066),(47 40515.074),(48 40329.066),(49 40297.07),(50 40106.355),(51 40205.07),(52 40426.043),(53 40782.484),(54 41318.56),(55 41816.043),(56 41879.04),(57 41996.37),(58 42072.72),(59 42222.64),(60 42593.742),(61 42842.125),(62 42540.875),(63 42320.28),(64 42033.918),(65 41550.87),(66 41236.676),(67 41276.74),(68 40971.836),(69 40934.215),(70 40609.086),(71 40318.586),(72 40366.93),(73 40445.395),(74 39945.625),(75 39782.98),(76 40047.57),(77 39945.89),(78 40528.863),(79 40714.008),
(1 3895.5305),(2 9186.461),(3 14555.193),(4 18534.912),(5 21981.285),(6 24468.857),(7 26332.041),(8 27921.926),(9 29053.582),(10 29909.7),(11 30840.625),(12 31533.018),(13 32232.414),(14 33229.746),(15 33832.15),(16 34634.023),(17 35348.434),(18 35369.164),(19 35443.89),(20 35871.836),(21 36013.754),(22 36028.098),(23 36063.074),(24 35997.92),(25 36080.465),(26 36101.66),(27 36342.055),(28 37090.953),(29 37448.586),(30 37764.89),(31 38348.168),(32 38707.617),(33 38969.285),(34 39336.64),(35 39403.883),(36 39513.875),(37 39764.33),(38 39863.816),(39 40174.656),(40 40632.03),(41 40161.363),(42 40016.78),(43 40251.94),(44 40230.36),(45 40334.7),(46 40514.418),(47 40433.324),(48 40584.465),(49 40635.58),(50 40526.1),(51 40421.71),(52 40406.434),(53 40759.44),(54 41015.63),(55 41329.79),(56 41283.65),(57 41353.223),(58 41435.207),(59 41281.137),(60 41277.336),(61 41340.984),(62 41114.797),(63 41135.01),(64 41026.73),(65 40799.637),(66 40859.24),(67 41008.68),(68 40491.484),(69 40095.06),(70 39685.156),(71 39296.59),(72 39142.207),(73 39059.227),(74 38700.06),(75 38609.266),(76 38617.563),(77 38719.848),(78 39139.492),(79 39268.03),
(1 3689.933),(2 8656.398),(3 13938.995),(4 17822.766),(5 21046.727),(6 23403.348),(7 25340.658),(8 26787.902),(9 27860.633),(10 28685.877),(11 29590.094),(12 30172.795),(13 30755.549),(14 31477.344),(15 31935.625),(16 32445.684),(17 33081.094),(18 33040.727),(19 33273.273),(20 33566.996),(21 33644.1),(22 33700.914),(23 33877.977),(24 33960.395),(25 34159.805),(26 34285.38),(27 34734.63),(28 35565.25),(29 35900.32),(30 36219.473),(31 36791.17),(32 37038.293),(33 37254.8),(34 37664.797),(35 37884.574),(36 38120.11),(37 38486.227),(38 38582.07),(39 38998.746),(40 39615.06),(41 39475.61),(42 39309.426),(43 39367.87),(44 39177.004),(45 39450.36),(46 39767.67),(47 39814.35),(48 40024.227),(49 39964.582),(50 39873.523),(51 40024.125),(52 40141.54),(53 40142.324),(54 39994.176),(55 40379.74),(56 40331.336),(57 40369.363),(58 40309.52),(59 40048.504),(60 39911.125),(61 39836.67),(62 39433.824),(63 39250.164),(64 39308.145),(65 38838.164),(66 38678.656),(67 38661.26),(68 38451.01),(69 38462.79),(70 38417.215),(71 37864.92),(72 37599.066),(73 37432.977),(74 37434.297),(75 37585.168),(76 37785.957),(77 37648.434),(78 37983.695),(79 37946.43),
(1 3584.8826),(2 8301.358),(3 13138.703),(4 16710.924),(5 19729.725),(6 22095.145),(7 24110.871),(8 25678.973),(9 26747.016),(10 27773.484),(11 28917.588),(12 29623.104),(13 30297.838),(14 31015.133),(15 31529.666),(16 32247.754),(17 33093.91),(18 33451),(19 33973.14),(20 34335.86),(21 34711.2),(22 35053.3),(23 35374.867),(24 35237.04),(25 35172.848),(26 35131.906),(27 35052.344),(28 35521.344),(29 35822.953),(30 36186.367),(31 36555.07),(32 36431.305),(33 36647.605),(34 37288.24),(35 37211.465),(36 37506.234),(37 37752.09),(38 37513.23),(39 37514.97),(40 37683.723),(41 37603.156),(42 37333.043),(43 37319.055),(44 36738.97),(45 36394.22),(46 36311.68),(47 36199.18),(48 36186.156),(49 36296.863),(50 36308.676),(51 36337.098),(52 36211.293),(53 36219.914),(54 36457.6),(55 36816.79),(56 36886.656),(57 37059.227),(58 37031.598),(59 37025.12),(60 37117.48),(61 37335.55),(62 37157.56),(63 36967.008),(64 37091.105),(65 36765.29),(66 36547.746),(67 36555.773),(68 36675.938),(69 36808.855),(70 36898.516),(71 36505.406),(72 36409.63),(73 36306.082),(74 35956.26),(75 35842.086),(76 35935.727),(77 35947.08),(78 36503.355),(79 36658.656),
(1 3508.651),(2 8136.4224),(3 12875.126),(4 16166.225),(5 18889.725),(6 20984.082),(7 22979.645),(8 24498.072),(9 25478.889),(10 26303.521),(11 27179.266),(12 27717.875),(13 28315.064),(14 29094.773),(15 29572.953),(16 30053.402),(17 30989.557),(18 31694.943),(19 32252.912),(20 32661.475),(21 32789.23),(22 32892.32),(23 32888.47),(24 32618.188),(25 32477.271),(26 32463.508),(27 32222.32),(28 32485.314),(29 32538.604),(30 33003.152),(31 33893.797),(32 34048.35),(33 34358.117),(34 34876.06),(35 35230.074),(36 35659.164),(37 35967.977),(38 35895.836),(39 36183.363),(40 36388.95),(41 36271.36),(42 36099.676),(43 36285.62),(44 36218.355),(45 36311.152),(46 36502.17),(47 36398.875),(48 36498.7),(49 36538.87),(50 36467.668),(51 36399.4),(52 36304),(53 36305.33),(54 36731.617),(55 37173.723),(56 37041.465),(57 36938.89),(58 36930.72),(59 36922.703),(60 37141.87),(61 37178.44),(62 36749.62),(63 36569.07),(64 36633.83),(65 36408.098),(66 36488.234),(67 36965.645),(68 36880.773),(69 37094.098),(70 37298.633),(71 37094.137),(72 37152.41),(73 37419.465),(74 37436.617),(75 37352.188),(76 37564.11),(77 37664.676),(78 38295.523),(79 38485.848),
