1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 42127.82),(2 138142.3),(3 262767.97),(4 424926.34),(5 625002.3),(6 887200),(7 1159733.3),(8 1432134.9),(9 1710658.1),(10 2011858.9),(11 2318628.8),(12 2693408.8),(13 3067765.3),(14 3522565),(15 4020143.3),(16 4540396.5),(17 5090588.5),(18 5669037.5),(19 6217380.5),(20 6825170.5),(21 7460478.5),(22 8100768.5),(23 8745369),(24 9464528),(25 10233763),(26 11063312),(27 11827844),(28 12631933),(29 13434672),(30 14299615),(31 15052949),(32 15861464),(33 16538693),(34 17280966),(35 17878064),(36 18501940),(37 19014322),(38 19471144),(39 19868350),(40 20241126),(41 20534394),(42 20794674),(43 21028374),(44 21226778),(45 21312134),(46 21403838),(47 21462542),(48 21480562),(49 21419346),(50 21377504),(51 21326422),(52 21317980),(53 21260922),(54 21331184),(55 21260006),(56 21166814),(57 21040010),(58 20919318),(59 20796256),(60 20689460),(61 20686440),(62 20627058),(63 20602992),(64 20633498),(65 20590808),(66 20577774),(67 20482448),(68 20327514),(69 20136382),(70 19980808),(71 19779874),(72 19573072),(73 19360590),(74 19175688),(75 18991756),(76 18880194),(77 18821402),(78 18828346),(79 18892172),
(1 42700.914),(2 140786.45),(3 274790),(4 444905.9),(5 645743.8),(6 892617.7),(7 1148765.6),(8 1409035.8),(9 1677169.4),(10 1963830.6),(11 2268820.8),(12 2639048.5),(13 3023699.3),(14 3475048.8),(15 3972962.5),(16 4520108.5),(17 5089942),(18 5654737),(19 6186330.5),(20 6743520),(21 7296190.5),(22 7857491),(23 8392902),(24 9039205),(25 9736637),(26 10489120),(27 11232482),(28 12081649),(29 12928883),(30 13873371),(31 14709400),(32 15644150),(33 16461526),(34 17313124),(35 17998644),(36 18708768),(37 19350492),(38 19964382),(39 20491124),(40 21065254),(41 21608244),(42 22115462),(43 22677530),(44 23229168),(45 23683110),(46 24154602),(47 24605640),(48 24969512),(49 25296388),(50 25709904),(51 26089124),(52 26528356),(53 26921484),(54 27359942),(55 27719558),(56 28115744),(57 28422202),(58 28679292),(59 28849152),(60 28984548),(61 29133216),(62 29224084),(63 29226700),(64 29309920),(65 29308516),(66 29245510),(67 29173510),(68 28957094),(69 28772272),(70 28584266),(71 28327680),(72 28007860),(73 27620506),(74 27271178),(75 26891040),(76 26546230),(77 26252602),(78 26041894),(79 25842218),
(1 49402.406),(2 173257.3),(3 353042.63),(4 584178.56),(5 866011.56),(6 1185805),(7 1539401.9),(8 1903912.6),(9 2288540.3),(10 2696094.3),(11 3134126),(12 3609800),(13 4118652.8),(14 4687649.5),(15 5269076),(16 5882724),(17 6523852),(18 7161153.5),(19 7783778),(20 8367252),(21 8918395),(22 9450994),(23 9943995),(24 10472405),(25 11008336),(26 11556551),(27 12108261),(28 12677969),(29 13196341),(30 13705203),(31 14164176),(32 14602392),(33 15002563),(34 15366985),(35 15626967),(36 15864168),(37 16094381),(38 16263652),(39 16412971),(40 16548433),(41 16704675),(42 16873626),(43 17096134),(44 17339402),(45 17554866),(46 17771038),(47 17958224),(48 18084760),(49 18221674),(50 18360694),(51 18535606),(52 18745732),(53 18954360),(54 19174984),(55 19380070),(56 19658714),(57 19866104),(58 20037390),(59 20168194),(60 20207808),(61 20262800),(62 20217588),(63 20128466),(64 20035018),(65 19886658),(66 19751800),(67 19645894),(68 19480614),(69 19409574),(70 19316490),(71 19194942),(72 19066102),(73 18980518),(74 18873712),(75 18789826),(76 18762174),(77 18751360),(78 18774462),(79 18848410),
(1 40619.867),(2 135271.42),(3 277929.5),(4 460269.3),(5 680097.9),(6 930253.1),(7 1209879.4),(8 1504550.1),(9 1810428.5),(10 2149849),(11 2506877),(12 2888171),(13 3291625.8),(14 3743632.5),(15 4221650.5),(16 4744632),(17 5288239),(18 5834452),(19 6335058),(20 6818429),(21 7295759),(22 7782004.5),(23 8247407),(24 8733541),(25 9246304),(26 9755515),(27 10297628),(28 10788836),(29 11300255),(30 11823525),(31 12315721),(32 12817950),(33 13259614),(34 13770081),(35 14199038),(36 14596978),(37 14923776),(38 15214160),(39 15439419),(40 15723975),(41 15979127),(42 16288846),(43 16601767),(44 16933568),(45 17240242),(46 17558858),(47 17858806),(48 18107238),(49 18372146),(50 18615320),(51 18798306),(52 18978554),(53 19127848),(54 19295110),(55 19414890),(56 19572848),(57 19659566),(58 19764456),(59 19806440),(60 19895124),(61 19943726),(62 19998074),(63 19982354),(64 19987064),(65 19911182),(66 19803926),(67 19676314),(68 19544798),(69 19425282),(70 19306190),(71 19160102),(72 19016522),(73 18885078),(74 18760518),(75 18639454),(76 18545298),(77 18418184),(78 18316076),(79 18230916),
(1 59635.563),(2 210938.89),(3 435315.2),(4 726092.1),(5 1074044),(6 1477982.1),(7 1916484.1),(8 2392960),(9 2894445),(10 3425504),(11 3965212.3),(12 4526914),(13 5089195),(14 5691833.5),(15 6276612.5),(16 6903088),(17 7535329.5),(18 8155062.5),(19 8725984),(20 9288763),(21 9821965),(22 10362956),(23 10871463),(24 11364140),(25 11855772),(26 12304243),(27 12772817),(28 13188896),(29 13612016),(30 14032713),(31 14423599),(32 14802429),(33 15109830),(34 15456698),(35 15711444),(36 15962071),(37 16182275),(38 16362291),(39 16507895),(40 16728279),(41 16922974),(42 17171604),(43 17421282),(44 17672858),(45 17914178),(46 18101282),(47 18287842),(48 18417228),(49 18505462),(50 18556390),(51 18526828),(52 18466342),(53 18361926),(54 18277416),(55 18146030),(56 18014968),(57 17837332),(58 17642444),(59 17438420),(60 17202984),(61 16940540),(62 16646777),(63 16320079),(64 15985440),(65 15624832),(66 15258348),(67 14950772),(68 14638863),(69 14393299),(70 14197664),(71 14069900),(72 14000797),(73 14003276),(74 14023962),(75 14063289),(76 14141105),(77 14222461),(78 14368052),(79 14550394),
(1 52352.74),(2 180160.48),(3 373433.03),(4 629549.75),(5 933694.7),(6 1285765.4),(7 1663796.5),(8 2054990.3),(9 2458894.5),(10 2876302.8),(11 3291908.8),(12 3744356.8),(13 4203691),(14 4707100),(15 5191657),(16 5702709),(17 6221570.5),(18 6758126.5),(19 7284317),(20 7813489.5),(21 8346597),(22 8891928),(23 9409445),(24 9942882),(25 10492619),(26 11018803),(27 11517167),(28 12001100),(29 12503074),(30 13014598),(31 13550878),(32 14100122),(33 14588146),(34 15094762),(35 15536746),(36 15955677),(37 16347358),(38 16687118),(39 16989080),(40 17264392),(41 17482972),(42 17648658),(43 17805230),(44 17897172),(45 17963146),(46 17980982),(47 17939352),(48 17872556),(49 17740460),(50 17597180),(51 17430288),(52 17220144),(53 17016074),(54 16838804),(55 16650704),(56 16512170),(57 16346464),(58 16215894),(59 16082093),(60 15945421),(61 15814715),(62 15702365),(63 15595170),(64 15544040),(65 15507717),(66 15486456),(67 15509786),(68 15502123),(69 15521738),(70 15563930),(71 15606109),(72 15653002),(73 15676957),(74 15715898),(75 15729048),(76 15757853),(77 15788749),(78 15888720),(79 15984326),
(1 62632.605),(2 220808.4),(3 460575.28),(4 771669.7),(5 1134055.1),(6 1544423.4),(7 1989958),(8 2441277),(9 2906341),(10 3362429),(11 3817161),(12 4290113.5),(13 4749603.5),(14 5253636.5),(15 5772109.5),(16 6323787.5),(17 6897335),(18 7444737),(19 7987178.5),(20 8512610),(21 9011235),(22 9513818),(23 9980234),(24 10439178),(25 10902144),(26 11340112),(27 11759886),(28 12159785),(29 12548850),(30 12990338),(31 13413551),(32 13890868),(33 14350721),(34 14812425),(35 15241392),(36 15660923),(37 16044878),(38 16395526),(39 16754401),(40 17085954),(41 17410042),(42 17685416),(43 17921950),(44 18069602),(45 18175636),(46 18219612),(47 18189566),(48 18122748),(49 17995490),(50 17837748),(51 17675790),(52 17466524),(53 17232440),(54 16995100),(55 16748116),(56 16483269),(57 16157035),(58 15819659),(59 15472506),(60 15129772),(61 14786271),(62 14441172),(63 14135930),(64 13883403),(65 13675963),(66 13555211),(67 13442663),(68 13383031),(69 13326935),(70 13312151),(71 13300665),(72 13294530),(73 13311127),(74 13324372),(75 13295978),(76 13320481),(77 13344004),(78 13429593),(79 13538363),
(1 59868.87),(2 209849.33),(3 427957.06),(4 708454.9),(5 1022898.9),(6 1375180.4),(7 1735298.5),(8 2113164),(9 2486022.5),(10 2851030.5),(11 3206840),(12 3583434.8),(13 3971566.5),(14 4385267.5),(15 4788138),(16 5205118),(17 5630529),(18 6054825.5),(19 6436724.5),(20 6788027.5),(21 7125158.5),(22 7409463),(23 7662489),(24 7880335.5),(25 8112374),(26 8320954),(27 8472177),(28 8603121),(29 8728937),(30 8846501),(31 8989529),(32 9166453),(33 9352923),(34 9570782),(35 9783489),(36 10005214),(37 10249519),(38 10493188),(39 10760309),(40 11043829),(41 11335281),(42 11633204),(43 11936658),(44 12185892),(45 12448481),(46 12683118),(47 12907980),(48 13130189),(49 13307515),(50 13461568),(51 13625038),(52 13778690),(53 13912870),(54 14001925),(55 14094701),(56 14193277),(57 14239895),(58 14255039),(59 14295898),(60 14326070),(61 14361203),(62 14415765),(63 14483930),(64 14614573),(65 14806933),(66 15035350),(67 15255674),(68 15464394),(69 15660900),(70 15853850),(71 16013350),(72 16170929),(73 16317539),(74 16481660),(75 16582558),(76 16679713),(77 16746944),(78 16791138),(79 16823160),
(1 56299.125),(2 200916.58),(3 410203.84),(4 682347.9),(5 993278.56),(6 1350612.6),(7 1726029.6),(8 2116869),(9 2513616.8),(10 2915352.8),(11 3318092.3),(12 3731196.8),(13 4136555.3),(14 4562144),(15 4979627),(16 5403042),(17 5814543.5),(18 6201038.5),(19 6545283),(20 6877898.5),(21 7180345.5),(22 7455780),(23 7717322),(24 8011930.5),(25 8330821.5),(26 8654584),(27 8940352),(28 9229274),(29 9524265),(30 9842936),(31 10170641),(32 10518113),(33 10850288),(34 11201160),(35 11548146),(36 11876961),(37 12193556),(38 12502216),(39 12788631),(40 13076599),(41 13365359),(42 13619446),(43 13853906),(44 14043511),(45 14207495),(46 14318005),(47 14395070),(48 14437636),(49 14427603),(50 14376079),(51 14302573),(52 14195678),(53 14058899),(54 13927450),(55 13734404),(56 13543770),(57 13306244),(58 13062645),(59 12825547),(60 12581992),(61 12349456),(62 12121946),(63 11926888),(64 11756252),(65 11619638),(66 11558136),(67 11491694),(68 11428218),(69 11335720),(70 11268045),(71 11198264),(72 11118812),(73 11045704),(74 10960440),(75 10870592),(76 10814807),(77 10729349),(78 10680760),(79 10652891),
(1 60392.902),(2 213854.81),(3 439563.72),(4 722998.6),(5 1038000.9),(6 1387063.1),(7 1751421.4),(8 2123673.3),(9 2493483),(10 2872933.8),(11 3242981.8),(12 3626719.5),(13 4007457.8),(14 4413477),(15 4797628.5),(16 5197681.5),(17 5595884.5),(18 5969175.5),(19 6331066),(20 6674268.5),(21 7009433.5),(22 7336502),(23 7663018),(24 8018187.5),(25 8411639),(26 8810918),(27 9172662),(28 9507343),(29 9788224),(30 10053627),(31 10279611),(32 10493100),(33 10650137),(34 10782757),(35 10854866),(36 10909934),(37 10929593),(38 10929006),(39 10924332),(40 10908396),(41 10901068),(42 10852518),(43 10815001),(44 10739340),(45 10641161),(46 10516394),(47 10361691),(48 10194058),(49 10000685),(50 9822488),(51 9652126),(52 9491869),(53 9341963),(54 9226638),(55 9097328),(56 9010068),(57 8898698),(58 8823753),(59 8762988),(60 8696994),(61 8638835),(62 8582785),(63 8528936),(64 8496460),(65 8481154),(66 8496921),(67 8507429),(68 8521764),(69 8532405),(70 8527311),(71 8521492),(72 8514894),(73 8509075),(74 8493964),(75 8480692),(76 8485066),(77 8476080),(78 8499484),(79 8539116),
(1 79271.914),(2 290300.47),(3 611967.75),(4 1027726.56),(5 1513540.5),(6 2063127.8),(7 2635604.8),(8 3209095.5),(9 3777938),(10 4331807.5),(11 4868212),(12 5394853),(13 5877705.5),(14 6365283),(15 6818462),(16 7287569.5),(17 7742814),(18 8203770.5),(19 8637646),(20 9049754),(21 9450530),(22 9840270),(23 10224951),(24 10650761),(25 11109668),(26 11580034),(27 12008060),(28 12424059),(29 12812939),(30 13202256),(31 13564995),(32 13898027),(33 14180744),(34 14431959),(35 14633113),(36 14802093),(37 14930532),(38 15047870),(39 15150024),(40 15231873),(41 15290008),(42 15319562),(43 15328893),(44 15296243),(45 15187044),(46 15031697),(47 14796888),(48 14532006),(49 14210259),(50 13871633),(51 13513805),(52 13160937),(53 12817856),(54 12484375),(55 12150419),(56 11836503),(57 11511375),(58 11225210),(59 10932104),(60 10667205),(61 10419240),(62 10175333),(63 9957288),(64 9756925),(65 9570795),(66 9424205),(67 9299161),(68 9195395),(69 9087100),(70 9026794),(71 8977288),(72 8957659),(73 8937021),(74 8914553),(75 8902348),(76 8901540),(77 8881786),(78 8906899),(79 8930872),
