1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 147393.14),(2 520392.38),(3 1124959.9),(4 1913605.6),(5 2867154.8),(6 4019836.3),(7 5321724.5),(8 6768134.5),(9 8334966.5),(10 10032052),(11 11799623),(12 13653328),(13 15674419),(14 17675272),(15 19808634),(16 21999552),(17 24178040),(18 26442354),(19 28571088),(20 30561624),(21 32531080),(22 34522140),(23 36551970),(24 38626212),(25 40873530),(26 43095140),(27 45451676),(28 47963024),(29 50379948),(30 52826260),(31 55373980),(32 57818500),(33 60447540),(34 62959388),(35 65554624),(36 68273624),(37 71094100),(38 73693870),(39 76207210),(40 78723550),(41 81049850),(42 83361870),(43 85801610),(44 88171160),(45 90544424),(46 92720056),(47 94619210),(48 96402620),(49 98009400),(50 99624776),(51 101357210),(52 103302296),(53 105205350),(54 107256456),(55 109586360),(56 111788056),(57 114145096),(58 116714920),(59 119483450),(60 122406664),(61 125508344),(62 128463260),(63 131436584),(64 134092650),(65 136601820),(66 138873490),(67 141120240),(68 143182160),(69 145238380),(70 147535300),(71 149793840),(72 151998580),(73 154666660),(74 157357230),(75 160262700),(76 163094190),(77 165595470),(78 167927860),(79 170400260),
(1 170213.73),(2 643903.1),(3 1463367.8),(4 2515796.5),(5 3793719.5),(6 5350657),(7 7104141),(8 9047517),(9 11218358),(10 13515606),(11 15891896),(12 18356364),(13 20983044),(14 23584484),(15 26149354),(16 28721492),(17 31254118),(18 33885890),(19 36341000),(20 38682548),(21 41091720),(22 43625360),(23 46148330),(24 48851104),(25 51619710),(26 54204350),(27 56705790),(28 59283380),(29 61780084),(30 64348332),(31 67087636),(32 69907630),(33 73046450),(34 76069270),(35 79206760),(36 82298090),(37 85328310),(38 88176880),(39 90706420),(40 93138640),(41 95315870),(42 97225600),(43 99009460),(44 100384200),(45 101526640),(46 102425370),(47 103181420),(48 103944240),(49 104540340),(50 105121310),(51 105652130),(52 106225736),(53 106515050),(54 106664700),(55 106725496),(56 106502990),(57 106361210),(58 106383340),(59 106505704),(60 106786800),(61 107000190),(62 107126410),(63 107306450),(64 107395430),(65 107372370),(66 107206990),(67 107057384),(68 106987500),(69 107002830),(70 106986560),(71 106753940),(72 106317410),(73 105991470),(74 105711260),(75 105289144),(76 104775944),(77 104265870),(78 103924370),(79 103434584),
(1 139510.02),(2 517038.63),(3 1128820.6),(4 1917833.4),(5 2857206),(6 3944048),(7 5126090),(8 6429764.5),(9 7878726.5),(10 9409632),(11 10997005),(12 12592052),(13 14295477),(14 15970180),(15 17682358),(16 19395334),(17 21063786),(18 22728938),(19 24220208),(20 25645040),(21 27083478),(22 28605050),(23 30081502),(24 31711792),(25 33303632),(26 34844924),(27 36319252),(28 37884836),(29 39276420),(30 40698096),(31 42042348),(32 43370820),(33 44881468),(34 46297376),(35 47595010),(36 48595620),(37 49325250),(38 49770220),(39 50013104),(40 50150604),(41 50131652),(42 49997184),(43 49721180),(44 49270350),(45 48639716),(46 47880670),(47 47052430),(48 46181772),(49 45228320),(50 44345156),(51 43430810),(52 42510890),(53 41445812),(54 40331236),(55 39177216),(56 37933812),(57 36823012),(58 35855196),(59 35011616),(60 34393090),(61 33906756),(62 33438400),(63 33097958),(64 32804688),(65 32532206),(66 32335970),(67 32163158),(68 32000944),(69 31942408),(70 31916896),(71 31659104),(72 31225462),(73 30806326),(74 30495696),(75 30141784),(76 29758550),(77 29432954),(78 29134470),(79 28870122),
(1 119348.766),(2 437489.44),(3 909524.3),(4 1511013.4),(5 2207188),(6 2955066.8),(7 3741515.5),(8 4582892),(9 5489124.5),(10 6415829.5),(11 7346964.5),(12 8230434),(13 9091424),(14 9924114),(15 10738773),(16 11522953),(17 12277294),(18 12948866),(19 13496401),(20 14010181),(21 14524066),(22 15150041),(23 15790302),(24 16547868),(25 17321582),(26 18108236),(27 18970268),(28 19995872),(29 21115232),(30 22317412),(31 23597582),(32 25084584),(33 26578988),(34 28016328),(35 29406210),(36 30636430),(37 31757704),(38 32684472),(39 33593572),(40 34615356),(41 35502756),(42 36166150),(43 36612190),(44 36927210),(45 37225096),(46 37434900),(47 37620508),(48 37695388),(49 37659190),(50 37532550),(51 37321910),(52 37080490),(53 36713244),(54 36253708),(55 35683280),(56 35053570),(57 34367108),(58 33683740),(59 33035044),(60 32409066),(61 31725194),(62 31029162),(63 30388138),(64 29873878),(65 29451960),(66 29163992),(67 28930956),(68 28785496),(69 28715832),(70 28739758),(71 28804622),(72 28948176),(73 29212328),(74 29544408),(75 29902440),(76 30162624),(77 30500520),(78 30832534),(79 31220786),
(1 141333.52),(2 531503.06),(3 1122575.5),(4 1876838.1),(5 2754948.3),(6 3687599.3),(7 4641767),(8 5637243),(9 6645312),(10 7586970),(11 8463031),(12 9207055),(13 9859483),(14 10456329),(15 10952285),(16 11373965),(17 11721764),(18 11974238),(19 12161540),(20 12382593),(21 12613690),(22 12939105),(23 13383393),(24 13957891),(25 14586125),(26 15230947),(27 15990340),(28 16927294),(29 17950034),(30 19013074),(31 20185204),(32 21502434),(33 22855140),(34 24207360),(35 25532632),(36 26698304),(37 27693566),(38 28515578),(39 29197986),(40 29818842),(41 30290042),(42 30521350),(43 30569250),(44 30438028),(45 30271032),(46 30072472),(47 29891090),(48 29729228),(49 29555948),(50 29409420),(51 29278696),(52 29169556),(53 28946190),(54 28646100),(55 28297090),(56 27852614),(57 27379892),(58 26905152),(59 26454976),(60 26014328),(61 25451528),(62 24874932),(63 24266450),(64 23763076),(65 23345026),(66 23015242),(67 22756118),(68 22551402),(69 22395036),(70 22272440),(71 22191062),(72 22145968),(73 22177016),(74 22307304),(75 22530360),(76 22794012),(77 23178828),(78 23625890),(79 24092194),
(1 199988.44),(2 758071.2),(3 1623750.1),(4 2705747.3),(5 3943908),(6 5219490.5),(7 6477311),(8 7722749),(9 8876675),(10 9836162),(11 10605034),(12 11133718),(13 11518713),(14 11793378),(15 11902810),(16 11925858),(17 11889112),(18 11893003),(19 11925824),(20 12088494),(21 12355543),(22 12752782),(23 13348862),(24 14059382),(25 14850491),(26 15716525),(27 16619965),(28 17526834),(29 18505852),(30 19530460),(31 20601996),(32 21638244),(33 22649028),(34 23580110),(35 24404590),(36 25090256),(37 25643870),(38 26105162),(39 26437648),(40 26628858),(41 26664452),(42 26585622),(43 26400276),(44 26098444),(45 25792342),(46 25434404),(47 25092058),(48 24777042),(49 24497716),(50 24310086),(51 24172236),(52 24092506),(53 24046068),(54 24083712),(55 24195222),(56 24365314),(57 24579996),(58 24813290),(59 25046278),(60 25254744),(61 25373258),(62 25378972),(63 25326864),(64 25274220),(65 25265384),(66 25273924),(67 25290588),(68 25295542),(69 25273654),(70 25187932),(71 25027460),(72 24802056),(73 24558124),(74 24364326),(75 24168066),(76 23921100),(77 23724910),(78 23530164),(79 23329896),
(1 224713.66),(2 839787.06),(3 1762259.5),(4 2910835.8),(5 4161553.8),(6 5411487.5),(7 6569157),(8 7574021),(9 8369198),(10 8930751),(11 9259721),(12 9397015),(13 9472233),(14 9509720),(15 9521425),(16 9583986),(17 9701787),(18 9949387),(19 10256646),(20 10652745),(21 11132779),(22 11627714),(23 12159519),(24 12720677),(25 13348142),(26 13946863),(27 14486334),(28 15004105),(29 15548012),(30 16144620),(31 16782094),(32 17403724),(33 18112426),(34 18845916),(35 19561580),(36 20233472),(37 20840074),(38 21389964),(39 21893430),(40 22407212),(41 22778210),(42 23092096),(43 23336606),(44 23519894),(45 23713186),(46 23835218),(47 23964842),(48 24125020),(49 24310668),(50 24511094),(51 24645494),(52 24774190),(53 24942634),(54 25099752),(55 25206802),(56 25257236),(57 25297694),(58 25339148),(59 25375254),(60 25450648),(61 25533908),(62 25632054),(63 25776758),(64 25972746),(65 26239554),(66 26565428),(67 26939822),(68 27277096),(69 27604904),(70 27908150),(71 28167276),(72 28396994),(73 28606324),(74 28732046),(75 28757842),(76 28626026),(77 28491950),(78 28297580),(79 28101656),
(1 195007.5),(2 718937.6),(3 1490710.6),(4 2401487),(5 3355357.8),(6 4264809),(7 5089240.5),(8 5770483),(9 6281412.5),(10 6611601),(11 6775739.5),(12 6812845),(13 6814300.5),(14 6815590.5),(15 6845770.5),(16 6944862),(17 7132946.5),(18 7429082),(19 7815304),(20 8289937.5),(21 8781297),(22 9193339),(23 9610393),(24 9991509),(25 10346191),(26 10689681),(27 11124484),(28 11597489),(29 12114121),(30 12623522),(31 13188587),(32 13810891),(33 14529309),(34 15274601),(35 15981858),(36 16614528),(37 17169422),(38 17707078),(39 18158278),(40 18572770),(41 18899694),(42 19187656),(43 19412352),(44 19602556),(45 19792322),(46 19947530),(47 20122632),(48 20305768),(49 20486974),(50 20644882),(51 20790020),(52 20941126),(53 21031218),(54 21061178),(55 21045312),(56 21090478),(57 21182354),(58 21299738),(59 21392850),(60 21469034),(61 21526380),(62 21537516),(63 21527560),(64 21555552),(65 21606330),(66 21696810),(67 21840650),(68 22007314),(69 22188138),(70 22344360),(71 22417418),(72 22440500),(73 22409354),(74 22306614),(75 22161212),(76 21988138),(77 21776724),(78 21542964),(79 21325346),
(1 145941.66),(2 528684.56),(3 1091007.8),(4 1770709.1),(5 2518006.5),(6 3264553.5),(7 3955136.5),(8 4568216.5),(9 5102420.5),(10 5545351.5),(11 5939055),(12 6261484),(13 6522180),(14 6761322),(15 7017176),(16 7305232),(17 7674536.5),(18 8129251),(19 8636652),(20 9204290),(21 9763957),(22 10248557),(23 10723240),(24 11075659),(25 11324871),(26 11480246),(27 11608080),(28 11667849),(29 11760868),(30 11921243),(31 12155879),(32 12475852),(33 12865736),(34 13321222),(35 13807448),(36 14287911),(37 14781885),(38 15269260),(39 15771032),(40 16217197),(41 16572004),(42 16855472),(43 17106670),(44 17349520),(45 17645950),(46 17968908),(47 18334744),(48 18764242),(49 19286182),(50 19848746),(51 20433438),(52 21034646),(53 21554322),(54 22066368),(55 22579940),(56 23000542),(57 23262302),(58 23435334),(59 23465884),(60 23326734),(61 23057562),(62 22736496),(63 22365962),(64 22037240),(65 21672550),(66 21330494),(67 20959886),(68 20586258),(69 20161932),(70 19669628),(71 19152904),(72 18656064),(73 18151688),(74 17659244),(75 17199832),(76 16736316),(77 16346347),(78 16023420),(79 15727972),
(1 134249.84),(2 477100.56),(3 958714.56),(4 1558379.4),(5 2209508),(6 2869957.3),(7 3509355),(8 4109068),(9 4679994),(10 5191288),(11 5661443.5),(12 6070595.5),(13 6428702),(14 6729809),(15 7013457),(16 7279927),(17 7550713),(18 7838517.5),(19 8102756.5),(20 8353136),(21 8582258),(22 8787579),(23 9036613),(24 9250691),(25 9389133),(26 9469627),(27 9545918),(28 9671827),(29 9881660),(30 10172718),(31 10546103),(32 10992336),(33 11538244),(34 12125047),(35 12720717),(36 13243785),(37 13706184),(38 14115839),(39 14500222),(40 14872722),(41 15233465),(42 15604311),(43 15946050),(44 16229252),(45 16515632),(46 16771867),(47 17032088),(48 17324726),(49 17635826),(50 17950672),(51 18251512),(52 18525748),(53 18674114),(54 18720092),(55 18715768),(56 18606724),(57 18417048),(58 18138532),(59 17792324),(60 17374936),(61 16919010),(62 16482926),(63 16059458),(64 15696073),(65 15383380),(66 15117682),(67 14904460),(68 14771378),(69 14674683),(70 14589915),(71 14494014),(72 14397563),(73 14261907),(74 14157812),(75 14110044),(76 14052496),(77 14057361),(78 14075567),(79 14119378),
(1 173331.55),(2 626834.7),(3 1262326.8),(4 2032026.4),(5 2845291.8),(6 3644654),(7 4391252.5),(8 5079649),(9 5702205),(10 6235677),(11 6695117),(12 7047115),(13 7352229.5),(14 7602905.5),(15 7868936),(16 8108019),(17 8328087.5),(18 8538074),(19 8709378),(20 8839208),(21 8954261),(22 9059847),(23 9153728),(24 9241917),(25 9298262),(26 9299441),(27 9298076),(28 9346434),(29 9421114),(30 9541761),(31 9736149),(32 9992461),(33 10326326),(34 10699570),(35 11100249),(36 11505519),(37 11901340),(38 12253647),(39 12558164),(40 12837704),(41 13043853),(42 13184083),(43 13239337),(44 13213729),(45 13128572),(46 13024748),(47 12927448),(48 12848447),(49 12781224),(50 12749760),(51 12760838),(52 12834194),(53 12851998),(54 12865187),(55 12881828),(56 12880847),(57 12831324),(58 12763795),(59 12694848),(60 12612568),(61 12559135),(62 12510571),(63 12438965),(64 12388450),(65 12362355),(66 12360862),(67 12370210),(68 12405212),(69 12440448),(70 12465004),(71 12512610),(72 12553138),(73 12559415),(74 12597355),(75 12643733),(76 12624737),(77 12611842),(78 12595294),(79 12604919),
