1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 215456.95),(2 892612.7),(3 2205253),(4 4329298),(5 7312960.5),(6 10759625),(7 14289437),(8 17911544),(9 23082414),(10 29274294),(11 36763530),(12 45983564),(13 57364590),(14 71172310),(15 85959270),(16 98396520),(17 110806040),(18 123028264),(19 134738030),(20 146493440),(21 158179620),(22 170343890),(23 182004540),(24 192763780),(25 204558770),(26 216761200),(27 230585660),(28 244105550),(29 257173170),(30 270093340),(31 281724500),(32 293276260),(33 305066050),(34 315469340),(35 325220100),(36 333729950),(37 333366700),(38 331269400),(39 329183460),(40 325872000),(41 320820580),(42 316006500),(43 311042080),(44 306272480),(45 302059170),(46 297871650),(47 294105060),(48 289586050),(49 284644830),(50 280668930),(51 276151420),(52 270677400),(53 264694260),(54 257525460),(55 249713940),(56 240565060),(57 230526640),(58 221702000),(59 215012050),(60 209551600),(61 205565040),(62 203057150),(63 200410060),(64 199523260),(65 199631920),(66 199985070),(67 201016450),(68 204209970),(69 205913170),(70 208237810),(71 207276880),(72 202890940),(73 198569780),(74 195779000),(75 193148620),(76 190234670),(77 187129650),(78 183707730),(79 180824380),
(1 323896.06),(2 1332970.4),(3 3092601.3),(4 5735952),(5 9240150),(6 13383074),(7 18103254),(8 23583146),(9 30487898),(10 38467256),(11 47782020),(12 58571896),(13 70949300),(14 84978730),(15 99369816),(16 112537970),(17 125698330),(18 138684880),(19 151266200),(20 163626660),(21 175981010),(22 188563200),(23 200467680),(24 211538640),(25 222487340),(26 234587700),(27 245880580),(28 256172240),(29 264944420),(30 271878940),(31 276828350),(32 280231600),(33 281832400),(34 281809820),(35 279969800),(36 276954560),(37 269748700),(38 261673980),(39 253670320),(40 245405180),(41 237024460),(42 228849250),(43 220735060),(44 212991700),(45 205750430),(46 199228770),(47 193536450),(48 188132060),(49 183557540),(50 179145950),(51 175597820),(52 173069250),(53 171531230),(54 170544100),(55 170281170),(56 170277020),(57 170631250),(58 171922160),(59 173915040),(60 176543490),(61 179446320),(62 182682420),(63 185329620),(64 188215400),(65 191614460),(66 194874670),(67 198289020),(68 201857760),(69 204748980),(70 207380830),(71 208328700),(72 207541230),(73 206158050),(74 205023580),(75 203416350),(76 201560180),(77 199437890),(78 197592420),(79 195833470),
(1 311747.28),(2 1231174.9),(3 2753624),(4 4898243.5),(5 7648089.5),(6 10938304),(7 14880865),(8 19700608),(9 25216834),(10 31299682),(11 37955300),(12 45101356),(13 52627892),(14 60582060),(15 68391224),(16 75813950),(17 83079784),(18 90229080),(19 97119704),(20 103743464),(21 110220100),(22 116481144),(23 122178620),(24 127714650),(25 134148700),(26 142271820),(27 150620340),(28 158196720),(29 164877680),(30 170224590),(31 174550420),(32 177956590),(33 180408020),(34 182443440),(35 183513390),(36 184091700),(37 183536820),(38 183252940),(39 182513810),(40 181572600),(41 180741630),(42 179519950),(43 178081870),(44 176580110),(45 175037070),(46 173023920),(47 170655820),(48 167655650),(49 164885660),(50 162027150),(51 159927140),(52 158572670),(53 158175020),(54 158230600),(55 159046480),(56 160283600),(57 161955300),(58 164526220),(59 167592850),(60 171256340),(61 175102030),(62 178961020),(63 182925740),(64 186447150),(65 190239230),(66 193985150),(67 198043860),(68 201952050),(69 205687570),(70 209017220),(71 211423280),(72 212042610),(73 211323470),(74 208918700),(75 205258860),(76 200379440),(77 194550220),(78 187821120),(79 180249680),
(1 187000.69),(2 733500.9),(3 1638368.5),(4 2899819),(5 4503779.5),(6 6321744.5),(7 8379512),(8 10817673),(9 13423492),(10 16221497),(11 19186314),(12 22317436),(13 25728302),(14 29460924),(15 33294542),(16 36758624),(17 40103696),(18 43407296),(19 46660052),(20 49877764),(21 53108068),(22 56428564),(23 59630080),(24 62593170),(25 65956536),(26 69664550),(27 73520670),(28 77239280),(29 80631200),(30 83785510),(31 86593610),(32 89010150),(33 90975944),(34 92606080),(35 93681240),(36 94441100),(37 94094744),(38 94519736),(39 95701430),(40 97527440),(41 100056376),(42 102786136),(43 105598990),(44 108290990),(45 110963496),(46 113106510),(47 114518584),(48 114981870),(49 114610320),(50 113813736),(51 112663720),(52 111398370),(53 110204200),(54 109147280),(55 108303896),(56 107775944),(57 107418920),(58 107740580),(59 108493144),(60 109624696),(61 110778340),(62 111750824),(63 112717480),(64 113614070),(65 114702340),(66 115554296),(67 116279850),(68 116843200),(69 117130760),(70 117286780),(71 116865020),(72 116169770),(73 116053850),(74 115712290),(75 115344590),(76 114648860),(77 113987070),(78 113256350),(79 112397700),
(1 146068.64),(2 586037.56),(3 1320576.1),(4 2337249.5),(5 3579057.5),(6 4866340.5),(7 6188163),(8 7690512),(9 9251084),(10 10974023),(11 12946973),(12 15108996),(13 17561346),(14 20340286),(15 23294100),(16 26003980),(17 28697350),(18 31419700),(19 34177716),(20 36970980),(21 39833924),(22 42725924),(23 45729500),(24 48719452),(25 52232600),(26 56375108),(27 60790190),(28 64916636),(29 68578070),(30 71743870),(31 74459620),(32 76721610),(33 78680584),(34 80262424),(35 81468970),(36 82294170),(37 82692376),(38 82963550),(39 82922536),(40 82897740),(41 83011064),(42 83192910),(43 83482440),(44 83801030),(45 84170040),(46 84331864),(47 84018400),(48 83227720),(49 81918770),(50 80353896),(51 78684390),(52 76984050),(53 75547310),(54 74323704),(55 73483380),(56 72993840),(57 72791010),(58 72725640),(59 72566940),(60 72777520),(61 73257610),(62 73828830),(63 74397816),(64 74954984),(65 75943200),(66 77242230),(67 78692760),(68 80210320),(69 81502330),(70 82725370),(71 83461270),(72 83456670),(73 83174500),(74 82529864),(75 81958880),(76 81395430),(77 80841016),(78 80084100),(79 79259940),
(1 200541.7),(2 803240.1),(3 1800507.4),(4 3175299),(5 4776163),(6 6293783),(7 7596413.5),(8 8713014),(9 9728555),(10 10714394),(11 11806810),(12 12940528),(13 14211125),(14 15760382),(15 17538298),(16 19373194),(17 21258598),(18 23083764),(19 24800524),(20 26384918),(21 27904474),(22 29288122),(23 30513766),(24 31651786),(25 33178732),(26 34862068),(27 36489064),(28 38143590),(29 39747628),(30 41337824),(31 42873860),(32 44281290),(33 45581480),(34 46792916),(35 47750900),(36 48394764),(37 48634840),(38 49046410),(39 49328276),(40 49472520),(41 49628876),(42 49737410),(43 49947840),(44 50305544),(45 50800504),(46 51254150),(47 51671270),(48 52214420),(49 52807652),(50 53277904),(51 53763372),(52 54094292),(53 54335080),(54 54333364),(55 54273150),(56 54095896),(57 53927720),(58 53896670),(59 53808776),(60 53446744),(61 52865884),(62 52182972),(63 51570376),(64 51101628),(65 50718932),(66 50427584),(67 50240090),(68 50289196),(69 50272772),(70 50318730),(71 50419480),(72 50851308),(73 51521860),(74 51767750),(75 51827816),(76 51585990),(77 51397096),(78 51328724),(79 51515332),
(1 266602.78),(2 1092896.9),(3 2476645.8),(4 4332951.5),(5 6455181.5),(6 8356849),(7 9738835),(8 10512757),(9 11061881),(10 11425809),(11 11762452),(12 12161521),(13 12869062),(14 13970411),(15 15479264),(16 17120732),(17 18804564),(18 20368050),(19 21703900),(20 22833120),(21 23737634),(22 24391508),(23 24787666),(24 24848520),(25 24812094),(26 24510720),(27 24074826),(28 23864440),(29 24155596),(30 25022750),(31 26395392),(32 28110990),(33 29968212),(34 31536588),(35 32607764),(36 33022720),(37 33287486),(38 33545278),(39 33581224),(40 33564704),(41 33430314),(42 33331860),(43 33322528),(44 33389440),(45 33628296),(46 33834460),(47 34006412),(48 34210436),(49 34390456),(50 34562132),(51 34628060),(52 34518304),(53 34255920),(54 33744452),(55 33129874),(56 32523780),(57 32027498),(58 31593316),(59 31431038),(60 31560574),(61 31858520),(62 32194340),(63 32507492),(64 32854716),(65 33511208),(66 34293148),(67 35261150),(68 36443556),(69 37611384),(70 38833410),(71 39919530),(72 40892264),(73 41982296),(74 43158530),(75 44402456),(76 45358300),(77 45775060),(78 45828250),(79 45828796),
(1 442536),(2 1769289.4),(3 3904164.8),(4 6605955),(5 9385509),(6 11549911),(7 12683446),(8 12756573),(9 12515311),(10 11897990),(11 11330743),(12 11186896),(13 11683193),(14 12829372),(15 14336580),(16 15912350),(17 17496750),(18 18885822),(19 20005280),(20 20923436),(21 21644702),(22 22162646),(23 22494148),(24 22597428),(25 22751348),(26 22514922),(27 21917722),(28 21336696),(29 21113866),(30 21402264),(31 22237402),(32 23526246),(33 25022466),(34 26176662),(35 26761694),(36 26681700),(37 25981740),(38 25321342),(39 24866056),(40 24446344),(41 23925512),(42 23541182),(43 23327708),(44 23209608),(45 23175160),(46 23095424),(47 23038750),(48 22982014),(49 22939138),(50 22867390),(51 22737902),(52 22560990),(53 22320948),(54 21908570),(55 21416068),(56 20896888),(57 20363668),(58 19801852),(59 19147766),(60 18582396),(61 18175998),(62 17881314),(63 17592142),(64 17284406),(65 17182530),(66 17260072),(67 17516524),(68 17931770),(69 18539294),(70 19277940),(71 20187080),(72 21266954),(73 22316358),(74 23286824),(75 24326916),(76 25312412),(77 25966604),(78 26306970),(79 26405778),
(1 541748),(2 2114208),(3 4510422),(4 7294612),(5 9835108),(6 11615560),(7 12299522),(8 11965501),(9 11225252),(10 10260419),(11 9567483),(12 9437704),(13 9943336),(14 10900530),(15 12063921),(16 13293092),(17 14403216),(18 15267258),(19 15934985),(20 16547130),(21 17112696),(22 17562252),(23 17942374),(24 18256328),(25 18770762),(26 19075968),(27 18750452),(28 18160074),(29 17713972),(30 17733490),(31 18253100),(32 19147712),(33 20159780),(34 20914908),(35 21253898),(36 21184170),(37 20954320),(38 20519120),(39 20118406),(40 20014470),(41 19953170),(42 19921996),(43 19915146),(44 19951148),(45 20027238),(46 19936586),(47 19717072),(48 19465896),(49 19218712),(50 18978836),(51 18675610),(52 18266658),(53 17804582),(54 17321204),(55 16877868),(56 16498200),(57 16119893),(58 15730671),(59 15362267),(60 15053239),(61 14769988),(62 14522058),(63 14321776),(64 14047840),(65 14002652),(66 14190144),(67 14373013),(68 14515653),(69 14712100),(70 15028260),(71 15579392),(72 16325944),(73 17108032),(74 17929106),(75 18907932),(76 19939162),(77 20687284),(78 20928238),(79 20644168),
(1 660278.75),(2 2529313),(3 5260458.5),(4 8256523.5),(5 10828850),(6 12473920),(7 12923364),(8 12357472),(9 11293932),(10 10043661),(11 9129678),(12 8897350),(13 9356046),(14 10256648),(15 11269280),(16 12144635),(17 12727185),(18 12989432),(19 13075669),(20 13202547),(21 13439838),(22 13777406),(23 14253391),(24 14714363),(25 15120628),(26 15115001),(27 14660683),(28 14106150),(29 13686483),(30 13590569),(31 13827769),(32 14437868),(33 15233086),(34 15842537),(35 16109067),(36 16029442),(37 15792290),(38 15977337),(39 16230167),(40 16369335),(41 16344004),(42 16430235),(43 16694971),(44 17081686),(45 17412612),(46 17521832),(47 17421466),(48 17222482),(49 16963528),(50 16813824),(51 16716334),(52 16603022),(53 16472885),(54 16313556),(55 16112750),(56 15897365),(57 15685851),(58 15518741),(59 15257188),(60 15001899),(61 14795424),(62 14623094),(63 14452634),(64 14266882),(65 14138756),(66 13964958),(67 13654021),(68 13247880),(69 12888152),(70 12618758),(71 12423604),(72 12424864),(73 12823715),(74 13580824),(75 14464180),(76 15325440),(77 16078427),(78 16682516),(79 16998168),
(1 759546.1),(2 2872333.8),(3 5853553.5),(4 8939475),(5 11356151),(6 12709000),(7 12873912),(8 12137546),(9 10852906),(10 9540037),(11 8775935),(12 8882632),(13 9734689),(14 10913510),(15 12032006),(16 12854814),(17 13186449),(18 13061409),(19 12733363),(20 12511179),(21 12594842),(22 13020331),(23 13670477),(24 14471583),(25 15408141),(26 15861252),(27 15588412),(28 15128925),(29 14765860),(30 14645773),(31 14811680),(32 15211862),(33 15809178),(34 16376350),(35 16688759),(36 16731938),(37 16548512),(38 16141920),(39 16039183),(40 16489747),(41 17027136),(42 17155226),(43 17076246),(44 17115516),(45 17316404),(46 17415544),(47 17313180),(48 17096268),(49 16835170),(50 16597862),(51 16398784),(52 16278524),(53 16214336),(54 16137393),(55 16007025),(56 15831642),(57 15670561),(58 15645557),(59 15743535),(60 15849105),(61 15942999),(62 16007381),(63 16133965),(64 16116011),(65 16032026),(66 15997786),(67 15803849),(68 15239572),(69 14498827),(70 13680165),(71 13064668),(72 12656689),(73 12350341),(74 12467796),(75 13256668),(76 14522994),(77 15897446),(78 16943100),(79 17329998),
