1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 1723.7738),(2 3557.0232),(3 4049.8267),(4 4227.417),(5 4604.113),(6 4818.0493),(7 4841.213),(8 4831.7095),(9 4986.693),(10 5177.8164),(11 5375.885),(12 5439.677),(13 5510.7695),(14 5588.154),(15 5598.5264),(16 5606.424),(17 5659.5737),(18 5731.0327),(19 5828.069),(20 5830.2427),(21 5798.1055),(22 5774.5444),(23 5718.435),(24 5762.149),(25 5839.847),(26 5696.1055),(27 5702.7754),(28 5829.3936),(29 5892.548),(30 5854.332),(31 5824.1436),(32 5855.0996),(33 5965.3813),(34 5966.997),(35 5857.545),(36 5839.936),(37 5950.8535),(38 6008.5474),(39 6063.937),(40 6077.438),(41 6123.547),(42 6061.78),(43 6047.215),(44 6046.309),(45 6134.2896),(46 6060.4907),(47 5943.6523),(48 5948.423),(49 6078.148),(50 6047.3467),(51 5952.666),(52 5848.9863),(53 5861.524),(54 5963.436),(55 5932.1646),(56 5925.4194),(57 5938.335),(58 5980.37),(59 6016.0947),(60 6020.81),(61 6102.8657),(62 6194.323),(63 6203.7676),(64 6259.9966),(65 6297.689),(66 6411.063),(67 6474.471),(68 6437.3203),(69 6458.9565),(70 6602.4233),(71 6659.4697),(72 6669.689),(73 6651.825),(74 6663.4316),(75 6634.857),(76 6617.7637),(77 6640.1226),(78 6657.117),(79 6591.66),
(1 1644.9598),(2 3382.4119),(3 3876.96),(4 4069.9573),(5 4421.0986),(6 4666.2324),(7 4724.901),(8 4702.3555),(9 4909.423),(10 5129.6113),(11 5222.941),(12 5229.9355),(13 5225.4917),(14 5289.581),(15 5301.3525),(16 5289.5137),(17 5382.9565),(18 5487.817),(19 5570.865),(20 5554.7593),(21 5629.3584),(22 5585.5933),(23 5433.213),(24 5509.5215),(25 5613.394),(26 5506.997),(27 5470.5996),(28 5529.3286),(29 5540.7427),(30 5402.2104),(31 5433.802),(32 5633.631),(33 5816.6523),(34 5741.785),(35 5632.4077),(36 5680.011),(37 5785.7705),(38 5825.726),(39 5902.0264),(40 5931.8403),(41 5981.4243),(42 5946.515),(43 5892.857),(44 5887.1675),(45 5886.7866),(46 5822.21),(47 5818.338),(48 5853.391),(49 5943.5737),(50 6049.651),(51 6001.542),(52 5964.5415),(53 6035.4277),(54 6065.9424),(55 6001.1836),(56 6011.8867),(57 6084.3257),(58 6146.419),(59 6160.1475),(60 6119.1577),(61 6145.7686),(62 6149.5967),(63 6129.242),(64 6171.1753),(65 6165.4614),(66 6194.5103),(67 6286.2886),(68 6258.9067),(69 6199.223),(70 6155.6196),(71 6155.643),(72 6103.1226),(73 6169.806),(74 6167.4688),(75 6073.8555),(76 6064.4727),(77 6038.5415),(78 6019.251),(79 5993.457),
(1 1676.3088),(2 3474.7983),(3 3975.7256),(4 4126.04),(5 4400.1895),(6 4595.9414),(7 4640.3335),(8 4630.333),(9 4821.064),(10 5039.6846),(11 5109.4004),(12 5126.574),(13 5081.6714),(14 5106.0454),(15 5196.9185),(16 5283.486),(17 5377.318),(18 5447.3975),(19 5579.9),(20 5471.186),(21 5524.0376),(22 5488.0815),(23 5443.005),(24 5515.3296),(25 5625.674),(26 5538.579),(27 5525.121),(28 5551.2847),(29 5611.6704),(30 5560.259),(31 5671.672),(32 5782.9326),(33 5804.928),(34 5672.784),(35 5642.5234),(36 5718.3394),(37 5764.2666),(38 5657.555),(39 5631.2773),(40 5669.687),(41 5717.724),(42 5687.9043),(43 5669.2427),(44 5678.9746),(45 5843.159),(46 5853.481),(47 5854.509),(48 5834.894),(49 5832.393),(50 5886.943),(51 5851.328),(52 5837.078),(53 5940.968),(54 6001.999),(55 5883.04),(56 5875.852),(57 5964.2964),(58 6008.527),(59 6025.181),(60 6001.8877),(61 6049.7837),(62 6088.489),(63 6121.132),(64 6124.1704),(65 6144.4185),(66 6194.5366),(67 6246.1235),(68 6233.378),(69 6279.7275),(70 6261.9634),(71 6273.241),(72 6236.017),(73 6234.9116),(74 6283.8184),(75 6241.2227),(76 6179.1167),(77 6206.4297),(78 6124.9653),(79 6091.6313),
(1 1645.4875),(2 3384.544),(3 3862.1143),(4 4041.479),(5 4338.3003),(6 4549.1655),(7 4551.758),(8 4564.0557),(9 4727.812),(10 4932.59),(11 5031.919),(12 5099.0703),(13 5116.3184),(14 5070.271),(15 5167.0337),(16 5213.67),(17 5305.98),(18 5353.0513),(19 5385.8247),(20 5400.5415),(21 5451.028),(22 5477.25),(23 5537.977),(24 5669.4883),(25 5715.7817),(26 5690.5337),(27 5644.8145),(28 5648.9155),(29 5682.664),(30 5633.466),(31 5656.8506),(32 5821.1553),(33 5815.64),(34 5634.208),(35 5639.8213),(36 5711.8867),(37 5765.054),(38 5696.503),(39 5584.2817),(40 5625.3433),(41 5731.2935),(42 5707.701),(43 5687.4316),(44 5682.236),(45 5706.039),(46 5715.1265),(47 5687.3853),(48 5612.992),(49 5540.891),(50 5576.5),(51 5577.5547),(52 5581.5015),(53 5685.226),(54 5710.2437),(55 5645.0117),(56 5625.6055),(57 5716.8247),(58 5722.8516),(59 5715.053),(60 5742.6655),(61 5833.614),(62 5814.114),(63 5846.258),(64 5855.4556),(65 5974.0107),(66 6041.0366),(67 6098.5845),(68 6075.7813),(69 6115.524),(70 6132.5557),(71 6201.4688),(72 6190.063),(73 6152.6416),(74 6092.139),(75 5998.2217),(76 5987.1387),(77 5989.131),(78 5889.418),(79 5913.0684),
(1 1636.3339),(2 3306.317),(3 3713.2358),(4 3879.0562),(5 4227.0483),(6 4369.4053),(7 4388.606),(8 4431.7573),(9 4626.17),(10 4797.4),(11 4886.041),(12 4822.4277),(13 4786.916),(14 4867.8237),(15 4877.098),(16 4917.9453),(17 5013.162),(18 5062.3354),(19 4979.1743),(20 4939.929),(21 5026.2666),(22 5036.321),(23 5022.2686),(24 5109.9087),(25 5158.172),(26 5129.499),(27 5181.5283),(28 5243.034),(29 5297.672),(30 5283.258),(31 5318.0845),(32 5390.106),(33 5467.957),(34 5403.8774),(35 5340.881),(36 5476.827),(37 5589.899),(38 5542.7886),(39 5465.188),(40 5472.683),(41 5566.454),(42 5574.514),(43 5595.4985),(44 5498.2695),(45 5473.9497),(46 5575.7754),(47 5609.884),(48 5643.238),(49 5623.1074),(50 5647.3877),(51 5648.3687),(52 5679.16),(53 5706.564),(54 5604.5996),(55 5567.2417),(56 5590.5576),(57 5611.0063),(58 5635.02),(59 5709.169),(60 5712.1763),(61 5749.983),(62 5746.11),(63 5765.331),(64 5812.8447),(65 5870.566),(66 5826.824),(67 5846.516),(68 5913.359),(69 5883.9004),(70 5769.7417),(71 5853.3867),(72 5901.2046),(73 5855.7607),(74 5866.82),(75 5819.5547),(76 5714.595),(77 5700.072),(78 5677.6587),(79 5776.7236),
(1 1622.2361),(2 3293.4229),(3 3651.6013),(4 3839.7559),(5 4155.1147),(6 4271.157),(7 4353.07),(8 4523.783),(9 4758.8223),(10 4930.629),(11 5091.703),(12 5096.3394),(13 5096.843),(14 5156.3315),(15 5138.9263),(16 5104.7847),(17 5216.8),(18 5249.5107),(19 5209.624),(20 5162.981),(21 5254.7617),(22 5270.209),(23 5272.815),(24 5444.4946),(25 5459.5854),(26 5387.732),(27 5469.335),(28 5429.044),(29 5430.3696),(30 5429.0366),(31 5399.4717),(32 5405.0776),(33 5456.743),(34 5378.3477),(35 5287.938),(36 5328.4517),(37 5337.8843),(38 5265.1123),(39 5226.9087),(40 5262.6333),(41 5282.8945),(42 5342.998),(43 5353.1465),(44 5316.8003),(45 5351.4146),(46 5454.8916),(47 5549.723),(48 5509.726),(49 5477.29),(50 5504.2383),(51 5526.128),(52 5630.3906),(53 5741.1143),(54 5619.23),(55 5619.75),(56 5674.1255),(57 5641.787),(58 5621.6235),(59 5677.5737),(60 5738.335),(61 5827.612),(62 5877.761),(63 5840.357),(64 5857.72),(65 5955.894),(66 5946.514),(67 5931.635),(68 5953.4473),(69 5960.5776),(70 5947.3193),(71 5933.9873),(72 5903.5107),(73 5922.2627),(74 5854.4067),(75 5809.99),(76 5808.2803),(77 5853.6436),(78 5833.2705),(79 5831.382),
(1 1543.614),(2 3164.617),(3 3571.7217),(4 3786.7742),(5 4037.354),(6 4130.206),(7 4183.6553),(8 4303.4287),(9 4500.3936),(10 4608.2295),(11 4724.657),(12 4728.1587),(13 4743.356),(14 4865.486),(15 4800.2813),(16 4751.657),(17 4913.6143),(18 4935.5874),(19 4964.933),(20 5019.734),(21 5054.223),(22 5070.4883),(23 5141.565),(24 5261.835),(25 5246.298),(26 5188.7656),(27 5146.6177),(28 5132.0254),(29 5202.934),(30 5181.301),(31 5130.603),(32 5184.2324),(33 5345.132),(34 5381.9673),(35 5402.672),(36 5417.027),(37 5374.864),(38 5365.3857),(39 5377.3447),(40 5464.46),(41 5522.06),(42 5500.4683),(43 5506.3),(44 5479.429),(45 5545.0464),(46 5617.0596),(47 5551.963),(48 5485.181),(49 5451.2188),(50 5429.226),(51 5422.3564),(52 5490.727),(53 5530.356),(54 5470.254),(55 5506.508),(56 5525.7334),(57 5542.502),(58 5472.772),(59 5454.7607),(60 5568.067),(61 5580.228),(62 5508.6885),(63 5458.2217),(64 5528.4863),(65 5551.972),(66 5517.233),(67 5568.9097),(68 5612.457),(69 5590.677),(70 5562.8384),(71 5596.1426),(72 5595.3516),(73 5648.2915),(74 5647.9707),(75 5658.3657),(76 5664.713),(77 5772.3604),(78 5709.05),(79 5663.579),
(1 1554.286),(2 3146.214),(3 3594.1924),(4 3751.803),(5 3945.402),(6 4022.329),(7 4076.4226),(8 4240.0557),(9 4432.8677),(10 4609.939),(11 4712.102),(12 4711.0176),(13 4801.2715),(14 4943.9307),(15 4867.7915),(16 4759.9175),(17 4965.8643),(18 4996.3506),(19 4958.9336),(20 5004.2793),(21 5102.357),(22 5045.867),(23 5166.5635),(24 5265.6895),(25 5199.2773),(26 5188.892),(27 5200.538),(28 5230.322),(29 5342.9614),(30 5264.754),(31 5197.3643),(32 5295.3594),(33 5389.356),(34 5313.969),(35 5336.2954),(36 5368.397),(37 5325.034),(38 5264.0522),(39 5289.511),(40 5297.5195),(41 5309.19),(42 5371.576),(43 5357.2026),(44 5259.8325),(45 5353.2),(46 5438.834),(47 5475.429),(48 5452.727),(49 5491.2705),(50 5468.963),(51 5457.858),(52 5464.111),(53 5509.669),(54 5538.358),(55 5622.0444),(56 5585.8516),(57 5606.6665),(58 5574.4893),(59 5514.5073),(60 5602.9546),(61 5606.314),(62 5577.6895),(63 5560.6963),(64 5561.5503),(65 5557.6206),(66 5601.1177),(67 5626.97),(68 5517.016),(69 5484.352),(70 5512.634),(71 5452.386),(72 5409.474),(73 5459.9985),(74 5460.4746),(75 5443.3364),(76 5479.2993),(77 5580.455),(78 5492.675),(79 5514.6577),
(1 1549.1028),(2 3071.5),(3 3455.2407),(4 3741.657),(5 3993.8733),(6 4045.4934),(7 4140.551),(8 4269.264),(9 4350.7217),(10 4445.595),(11 4519.738),(12 4554.36),(13 4671.828),(14 4797.1733),(15 4652.5),(16 4628.403),(17 4817.093),(18 4828.39),(19 4755.609),(20 4818.0103),(21 4907.3335),(22 4875.2363),(23 4995.4756),(24 5072.962),(25 5062.9053),(26 5123.1387),(27 5093.387),(28 5128.087),(29 5261.0728),(30 5151.2925),(31 5095.128),(32 5176.9087),(33 5196.427),(34 5158.822),(35 5148.7383),(36 5096.8643),(37 5051.63),(38 5056.0923),(39 5083.198),(40 5028.339),(41 5021.42),(42 5087.6685),(43 5081.1353),(44 5036.6978),(45 5134.496),(46 5149.573),(47 5160.323),(48 5146.6436),(49 5178.7017),(50 5154.225),(51 5191.997),(52 5167.484),(53 5189.084),(54 5190.9956),(55 5199.942),(56 5138.9937),(57 5225.2637),(58 5216.399),(59 5208.795),(60 5348.4595),(61 5344.7275),(62 5286.129),(63 5418.144),(64 5439.835),(65 5457.6724),(66 5528.4),(67 5594.545),(68 5534.8677),(69 5533.54),(70 5537.862),(71 5501.554),(72 5494.128),(73 5497.8696),(74 5382.055),(75 5359.433),(76 5460.4155),(77 5462.759),(78 5409.0234),(79 5389.402),
(1 1536.763),(2 2980.698),(3 3335.2747),(4 3629.7195),(5 3906.7412),(6 3942.5928),(7 3987.4211),(8 4104.084),(9 4248.9937),(10 4377.323),(11 4494.371),(12 4493.68),(13 4513.3364),(14 4620.502),(15 4539.784),(16 4534.12),(17 4693.8257),(18 4704.0615),(19 4677.6104),(20 4756.2485),(21 4796.779),(22 4736.0376),(23 4863.7915),(24 4998.196),(25 5022.662),(26 5018.468),(27 4961.4683),(28 4925.344),(29 5012.8457),(30 4931.089),(31 4972.493),(32 5073.9536),(33 5072.4443),(34 5022.824),(35 4966.518),(36 4899.065),(37 4889.4854),(38 4931.0557),(39 5039.471),(40 5054.4385),(41 5124.7524),(42 5134.3267),(43 5121.0723),(44 5065.9873),(45 5084.5166),(46 5033.3574),(47 5102.3423),(48 5149.7876),(49 5135.2705),(50 5139.216),(51 5149),(52 5040.565),(53 5042.8184),(54 5047.2144),(55 5055.066),(56 5018.781),(57 5066.5967),(58 5037.9355),(59 5060.8203),(60 5159.0854),(61 5155.701),(62 5152.1567),(63 5181.854),(64 5178.13),(65 5194.6714),(66 5213.748),(67 5207.2783),(68 5179.5107),(69 5192.2593),(70 5169.7134),(71 5229.514),(72 5244.1387),(73 5217.1826),(74 5198.175),(75 5285.922),(76 5335.274),(77 5367.207),(78 5369.6895),(79 5375.6733),
(1 1502.7384),(2 2876.3079),(3 3233.6152),(4 3436.3513),(5 3740.4814),(6 3773.624),(7 3798.6147),(8 3897.793),(9 4060.143),(10 4162.75),(11 4272.6274),(12 4281.9404),(13 4353.8784),(14 4459.2305),(15 4437.972),(16 4494.951),(17 4609.6616),(18 4661.5244),(19 4708.956),(20 4727.788),(21 4734.8486),(22 4693.7334),(23 4747.036),(24 4771.5415),(25 4797.3877),(26 4837.469),(27 4826.994),(28 4875.779),(29 4914.539),(30 4817.275),(31 4829.3115),(32 4835.4175),(33 4781.5557),(34 4770.659),(35 4754.083),(36 4799.172),(37 4818.741),(38 4851.1416),(39 4915.0483),(40 4869.0576),(41 4938.342),(42 4865.68),(43 4902.0107),(44 4925.6724),(45 4993.687),(46 4940.363),(47 4861.969),(48 4884.867),(49 4906.8228),(50 4959.1074),(51 4970.907),(52 4938.033),(53 4956.8403),(54 4979.2813),(55 5008.1284),(56 4989.407),(57 5035.732),(58 5066.98),(59 5109.542),(60 5131.1226),(61 5123.936),(62 5123.7954),(63 5185.1978),(64 5209.975),(65 5204.1772),(66 5232.2026),(67 5242.6245),(68 5226.5938),(69 5231.5425),(70 5229.0293),(71 5281.747),(72 5244.8013),(73 5189.6826),(74 5148.8955),(75 5264.6455),(76 5284.9043),(77 5263.3086),(78 5234.3936),(79 5262.108),
(1 1462.7949),(2 2797.4937),(3 3156.5808),(4 3412.4534),(5 3718.0115),(6 3778.6157),(7 3809.0083),(8 3925.0498),(9 4074.3513),(10 4169.544),(11 4294.1895),(12 4347.5464),(13 4416.439),(14 4418.5757),(15 4327.741),(16 4370.0986),(17 4492.0127),(18 4471.8174),(19 4521.2896),(20 4491.2813),(21 4487.9185),(22 4510.011),(23 4559.9014),(24 4537.165),(25 4586.7813),(26 4655.4683),(27 4680.9966),(28 4727.7314),(29 4792.8354),(30 4760.318),(31 4790.824),(32 4810.014),(33 4782.721),(34 4760.7954),(35 4793.531),(36 4858.6465),(37 4821.6035),(38 4847.324),(39 4882.3687),(40 4880.2153),(41 4915.223),(42 4905.9365),(43 4859.688),(44 4792.7397),(45 4778.0728),(46 4833.9976),(47 4833.719),(48 4862.6416),(49 4840.0693),(50 4865.088),(51 4852.2383),(52 4776.975),(53 4838.6763),(54 4861.227),(55 4827.4834),(56 4753.288),(57 4788.336),(58 4827.8794),(59 4872.997),(60 4887.3687),(61 4885.608),(62 4975.777),(63 5006.655),(64 5023.1797),(65 5041.925),(66 5099.4517),(67 5118.3726),(68 5097.134),(69 5061.1055),(70 5043.728),(71 5061.2896),(72 5025.9214),(73 5009.668),(74 4923.6406),(75 4955.947),(76 5003.6494),(77 4973.3667),(78 4988.398),(79 5024.743),
(1 1447.0166),(2 2796.76),(3 3122.2217),(4 3359.895),(5 3639.6597),(6 3653.0837),(7 3618.966),(8 3750.252),(9 3919.7883),(10 4029.4885),(11 4119.784),(12 4165.2856),(13 4245.9683),(14 4261.366),(15 4126.82),(16 4178.465),(17 4297.626),(18 4333.3784),(19 4413.266),(20 4465.8833),(21 4386.6265),(22 4279.627),(23 4351.391),(24 4456.9575),(25 4523.0244),(26 4580.6743),(27 4646.611),(28 4656.4897),(29 4623.8564),(30 4625.391),(31 4665.7764),(32 4697.126),(33 4745.6216),(34 4778.2866),(35 4733.255),(36 4699.379),(37 4732.819),(38 4758.854),(39 4785.8696),(40 4808.3086),(41 4865.3506),(42 4799.482),(43 4766.3726),(44 4750.7173),(45 4765.941),(46 4752.9185),(47 4724.98),(48 4730.8037),(49 4701.242),(50 4727.7207),(51 4695.583),(52 4682.7197),(53 4669.1455),(54 4689.9863),(55 4733.3247),(56 4717.976),(57 4766.908),(58 4810.9893),(59 4898.701),(60 4889.038),(61 4916.393),(62 5016.779),(63 5047.9297),(64 5028.3193),(65 5039.5034),(66 5044.129),(67 4971.2886),(68 4979.0884),(69 5016.196),(70 5019.8584),(71 5079.48),(72 5071.9966),(73 5039.9404),(74 5097.3525),(75 5176.202),(76 5147.5527),(77 5098.8525),(78 5069.375),(79 5116.752),
(1 1371.7218),(2 2655.3584),(3 2952.984),(4 3168.5896),(5 3456.0647),(6 3519.4084),(7 3569.6597),(8 3703.6438),(9 3885.5867),(10 4016.5278),(11 4173.777),(12 4247.2715),(13 4282.0083),(14 4307.3213),(15 4249.865),(16 4318.0835),(17 4429.5146),(18 4460.0254),(19 4521.3115),(20 4514.8657),(21 4530.31),(22 4452.1177),(23 4481.686),(24 4531.504),(25 4563.0527),(26 4593.424),(27 4626.3613),(28 4643.0947),(29 4596.031),(30 4601.6924),(31 4704.915),(32 4643.098),(33 4630.264),(34 4700.209),(35 4671.895),(36 4588.222),(37 4578.835),(38 4574.9126),(39 4541.432),(40 4537.3984),(41 4543.322),(42 4446.994),(43 4446.968),(44 4425.7554),(45 4414.68),(46 4425.7153),(47 4441.5557),(48 4420.529),(49 4343.6265),(50 4388.072),(51 4383.7446),(52 4349.738),(53 4433.02),(54 4450.8936),(55 4424.0566),(56 4396.5493),(57 4468.789),(58 4523.7427),(59 4528.729),(60 4544.626),(61 4630.06),(62 4702.1367),(63 4725.937),(64 4704.0923),(65 4737.928),(66 4769.7266),(67 4733.1113),(68 4713.698),(69 4778.3564),(70 4849.4946),(71 4837.0894),(72 4818.4272),(73 4758.2036),(74 4808.835),(75 4897.162),(76 4848.1025),(77 4765.4023),(78 4723.161),(79 4736.506),
(1 1377.3843),(2 2637.977),(3 2956.8413),(4 3171.1484),(5 3418.549),(6 3463.9736),(7 3542.1711),(8 3698.3574),(9 3842.7664),(10 3921.321),(11 4029.4438),(12 4047.3948),(13 4137.354),(14 4136.978),(15 4111.055),(16 4209.96),(17 4315.2607),(18 4284.7363),(19 4319.554),(20 4379.636),(21 4418.369),(22 4347.432),(23 4368.858),(24 4407.5845),(25 4433.278),(26 4457.8867),(27 4428.9473),(28 4470.517),(29 4481.804),(30 4463.4355),(31 4535.419),(32 4461.899),(33 4442.607),(34 4509.6943),(35 4539.749),(36 4454.658),(37 4408.7417),(38 4419.2656),(39 4384.2744),(40 4330.1777),(41 4304.8735),(42 4258.215),(43 4242.347),(44 4231.569),(45 4233.0293),(46 4220.0215),(47 4246.385),(48 4238.361),(49 4180.0464),(50 4198.3228),(51 4243.294),(52 4270.256),(53 4336.678),(54 4347.6084),(55 4339.849),(56 4358.2437),(57 4402.8096),(58 4426.7173),(59 4363.8105),(60 4426.497),(61 4567.172),(62 4646.3965),(63 4658.495),(64 4660.4863),(65 4676.448),(66 4686.996),(67 4738.853),(68 4754.1885),(69 4811.055),(70 4804.5635),(71 4784.728),(72 4758.8706),(73 4777.145),(74 4821.63),(75 4809.0537),(76 4771.0703),(77 4781.3696),(78 4800.309),(79 4893.9556),
(1 1351.3595),(2 2607.038),(3 2980.8035),(4 3235.324),(5 3452.503),(6 3397.8552),(7 3405.9663),(8 3564.7473),(9 3709.9316),(10 3815.766),(11 3841.5215),(12 3873.3325),(13 3985.7122),(14 3949.2449),(15 3915.9807),(16 3979.7566),(17 4097.9165),(18 4067.8877),(19 4108.737),(20 4147.8667),(21 4110.1924),(22 4076.713),(23 4119.161),(24 4143.425),(25 4130.359),(26 4177.444),(27 4246.84),(28 4246.1274),(29 4176.2095),(30 4181.3857),(31 4285.93),(32 4246.2944),(33 4193.262),(34 4181.6157),(35 4153.144),(36 4090.44),(37 4076.6926),(38 4108.3286),(39 4171.444),(40 4152.0386),(41 4093.5193),(42 4020.972),(43 4067.195),(44 4082.6487),(45 4064.3818),(46 4074.6775),(47 4121.4106),(48 4126.461),(49 4152.959),(50 4183.6875),(51 4101.6904),(52 4154.6187),(53 4209.7124),(54 4205.793),(55 4250.027),(56 4263.905),(57 4334.217),(58 4367.7334),(59 4284.814),(60 4311.301),(61 4348.1855),(62 4379.3438),(63 4425.5864),(64 4472.416),(65 4448.4277),(66 4387.6387),(67 4463.7695),(68 4519.746),(69 4527.7783),(70 4510.925),(71 4457.9063),(72 4477.873),(73 4426.851),(74 4376.17),(75 4370.2397),(76 4351.814),(77 4369.125),(78 4423.8047),(79 4461.0415),
(1 1281.9412),(2 2463.5562),(3 2778.083),(4 2971.0906),(5 3174.2988),(6 3224.7002),(7 3240.4758),(8 3328.2107),(9 3448.9456),(10 3556.9688),(11 3602.4197),(12 3646.9087),(13 3770.5757),(14 3733.7058),(15 3655.9302),(16 3757.1968),(17 3848.252),(18 3847.9866),(19 3857.5254),(20 3942.5552),(21 3967.9297),(22 3982.9473),(23 4052.8875),(24 4134.3115),(25 4211.884),(26 4277.8906),(27 4292.506),(28 4273.9805),(29 4214.6875),(30 4253.081),(31 4368.2646),(32 4334.9224),(33 4284.3486),(34 4314.526),(35 4312.4893),(36 4257.6313),(37 4196.3726),(38 4173.8916),(39 4213.0044),(40 4227.715),(41 4188.277),(42 4120.612),(43 4131.627),(44 4081.1416),(45 4046.1948),(46 4025.6821),(47 4052.2334),(48 4090.4866),(49 4044.7566),(50 4011.2163),(51 4029.754),(52 4055.2917),(53 4106.38),(54 4153.7153),(55 4156.0337),(56 4113.067),(57 4173.7754),(58 4155.131),(59 4115.8916),(60 4170.6553),(61 4210.388),(62 4202.353),(63 4240.397),(64 4278.7485),(65 4248.8315),(66 4191.9463),(67 4240.2173),(68 4305.578),(69 4278.1255),(70 4209.9697),(71 4173.788),(72 4243.1987),(73 4245.0996),(74 4230.008),(75 4267.991),(76 4194.7153),(77 4188.6875),(78 4229.3423),(79 4212.6074),
