1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5,24.5,25.5,26.5,27.5,28.5,29.5,30.5,31.5,32.5,33.5,34.5,35.5,36.5,37.5,38.5,39.5,40.5,41.5,42.5,43.5,44.5,45.5,46.5,47.5,48.5,49.5,50.5,51.5,52.5,53.5,54.5,55.5,56.5,57.5,58.5,59.5,60.5,61.5,62.5,63.5,64.5,65.5,66.5,67.5,68.5,69.5,70.5,71.5,72.5,73.5,74.5,75.5,76.5,77.5,78.5,79.5,80.5,81.5,82.5,83.5,84.5,85.5,86.5,87.5,88.5,89.5,90.5,91.5,92.5,93.5,94.5,95.5,96.5,97.5,98.5,99.5,100.5,101.5,102.5,103.5,104.5,105.5,106.5,107.5,108.5,109.5,110.5,111.5,112.5,113.5,114.5,115.5,116.5,117.5,118.5,119.5,120.5,121.5,122.5,123.5,124.5,125.5,126.5,127.5,128.5,129.5,130.5,131.5,132.5,133.5,134.5,135.5,136.5,137.5,138.5,139.5,140.5,141.5,142.5,143.5,144.5,145.5,146.5,147.5,148.5,149.5,150.5,151.5,152.5,153.5,154.5,155.5,156.5,157.5,158.5,159.5,160.5,161.5,162.5,163.5,164.5,165.5,166.5,167.5,168.5,169.5,170.5,171.5,172.5,173.5,174.5,175.5,176.5,177.5,178.5,179.5,180.5,181.5,182.5,183.5,184.5,185.5,186.5,187.5,188.5,189.5,190.5,191.5,192.5,193.5,194.5,195.5,196.5,197.5,198.5,199.5,200.5,201.5,202.5,203.5,204.5,205.5,206.5,207.5,208.5,209.5,210.5,211.5,212.5,213.5,214.5,215.5,216.5,217.5,218.5,219.5,220.5,221.5,222.5,223.5,224.5,225.5,226.5,227.5,228.5,229.5,230.5,231.5,232.5,233.5,234.5,235.5,236.5,237.5,238.5,239.5,240.5,241.5,242.5,243.5,244.5,245.5,246.5,247.5,248.5,249.5,250.5,251.5,252.5,253.5,254.5,255.5,256.5,257.5,258.5,259.5,260.5,261.5,262.5,263.5,264.5,265.5,266.5,267.5,268.5,269.5,270.5,271.5,272.5,273.5,274.5,275.5,276.5,277.5,278.5,279.5,280.5,281.5,282.5,283.5,284.5,285.5,286.5,287.5,288.5,289.5,290.5,291.5,292.5,293.5,294.5,295.5,296.5,297.5,298.5,299.5,300.5,301.5,302.5,303.5,304.5,305.5,306.5,307.5,308.5,309.5,310.5,311.5,312.5,313.5,314.5,315.5,316.5,317.5,318.5,319.5,320.5,321.5,322.5,323.5,324.5,325.5,326.5,327.5,328.5,329.5,330.5,331.5,332.5,333.5,334.5,335.5,336.5,337.5,338.5,339.5,340.5,341.5,342.5,343.5,344.5,345.5,346.5,347.5,348.5,349.5,350.5,351.5,352.5,353.5,354.5,355.5,356.5,357.5,358.5,359.5,360.5,361.5,362.5,363.5,364.5,365.5,366.5,367.5,368.5,369.5,370.5,371.5,372.5,373.5,374.5,375.5,376.5,377.5,378.5,379.5,380.5,381.5,382.5,383.5,384.5,385.5,386.5,387.5,388.5,389.5,390.5,391.5,392.5,393.5,394.5,395.5,396.5,397.5,398.5,399.5,400.5,401.5,402.5,403.5,404.5,405.5,406.5,407.5,408.5,409.5,410.5,411.5,412.5,413.5,414.5,415.5,416.5,417.5,418.5,419.5,420.5,421.5,422.5,423.5,424.5,425.5,426.5,427.5,428.5,429.5,430.5,431.5,432.5,433.5,434.5,435.5,436.5,437.5,438.5,439.5,440.5,441.5,442.5,443.5,444.5,445.5,446.5,447.5,448.5,449.5,450.5,451.5,452.5,453.5,454.5,455.5,456.5,457.5,458.5,459.5,460.5,461.5,462.5,463.5,464.5,465.5,466.5,467.5,468.5,469.5,470.5,471.5,472.5,473.5,474.5,475.5,476.5,477.5,478.5,479.5,480.5,481.5,482.5,483.5,484.5,485.5,486.5,487.5,488.5,489.5,490.5,491.5,492.5,493.5,494.5,495.5,496.5,497.5,498.5,499.5,
(1 11036.266),(2 36136.652),(3 77316.72),(4 127593.76),(5 192680.8),(6 266789.5),(7 349307),(8 430155.63),(9 515065.6),(10 589056),(11 655283.9),(12 710235.3),(13 763706.25),(14 808962.56),(15 853818.06),(16 895451.56),(17 938403.25),(18 984072.2),(19 1042561.7),(20 1108854),(21 1189857.3),(22 1268866.5),(23 1358259.8),(24 1433454),(25 1516410),(26 1589751.1),(27 1666491.5),(28 1737150.1),(29 1813571.5),(30 1884820.6),(31 1967668.1),(32 2056104.9),(33 2155283.8),(34 2243609.3),(35 2342917.3),(36 2422283.5),(37 2505541.3),(38 2566771.5),(39 2631656.3),(40 2682776.8),(41 2735065.3),(42 2777416.3),(43 2835858.3),(44 2882200.3),(45 2950844),(46 3028523.3),(47 3132148),(48 3246466),(49 3353998.8),(50 3438397),(51 3549063.3),(52 3649086.8),(53 3749476),(54 3832175.3),(55 3938483.3),(56 4034913.3),(57 4151791.3),(58 4271864.5),(59 4429579),(60 4565272.5),(61 4716944.5),(62 4849614),(63 5007711),(64 5158895),(65 5315942.5),(66 5445516),(67 5584268),(68 5706507.5),(69 5842112),(70 5981513.5),(71 6165212.5),(72 6356221.5),(73 6571168),(74 6770270.5),(75 6951952.5),(76 7122384),(77 7314500),(78 7488188),(79 7684722.5),
(1 8490.661),(2 28268.953),(3 58367.117),(4 93652.98),(5 136396.6),(6 183027.22),(7 232328.45),(8 282717.66),(9 332092.94),(10 377242.38),(11 421697.7),(12 463098),(13 501721.1),(14 538233.9),(15 571784.7),(16 605084.4),(17 634636.3),(18 664904.1),(19 700479.75),(20 741117.44),(21 787966.9),(22 835121.6),(23 884651.3),(24 936201),(25 994025),(26 1054685.8),(27 1118342.3),(28 1186424.3),(29 1259005),(30 1338364.6),(31 1423636.8),(32 1522298.8),(33 1625457.3),(34 1729919.8),(35 1836040.4),(36 1939581.8),(37 2046934.8),(38 2146160),(39 2251419.3),(40 2353901.5),(41 2453140.5),(42 2549833.5),(43 2653494.5),(44 2753058.5),(45 2857250),(46 2970522.8),(47 3099396.8),(48 3230965.3),(49 3358291.3),(50 3478242.5),(51 3610632),(52 3726363.3),(53 3839254),(54 3946752.8),(55 4067293.5),(56 4192122.5),(57 4319542.5),(58 4439899.5),(59 4578825),(60 4714904),(61 4860641),(62 5012429.5),(63 5155240),(64 5299363),(65 5445856),(66 5588411),(67 5730522),(68 5843642),(69 5959501.5),(70 6094969),(71 6247466),(72 6396994.5),(73 6553729.5),(74 6698206.5),(75 6830227),(76 6938073.5),(77 7044426.5),(78 7139183),(79 7250926.5),
(1 11829.872),(2 42086.184),(3 88756.78),(4 148744.69),(5 215674.89),(6 287481.25),(7 363626.84),(8 438988.5),(9 503531.6),(10 561931.2),(11 617250.3),(12 668666),(13 718225.56),(14 772457.3),(15 831111.56),(16 900953.8),(17 973964.56),(18 1053088.4),(19 1138802.4),(20 1229356.6),(21 1326857.1),(22 1422803.9),(23 1517079.9),(24 1614582),(25 1706304.6),(26 1794390.1),(27 1881623.1),(28 1968473.4),(29 2060366),(30 2163537),(31 2266949.5),(32 2370506.8),(33 2481086.3),(34 2600216.3),(35 2709575.3),(36 2815134.8),(37 2917453.8),(38 3013281.8),(39 3114683.3),(40 3212767.8),(41 3315577.3),(42 3424237.3),(43 3545154),(44 3668494.8),(45 3788416.8),(46 3913391.8),(47 4062424.8),(48 4218055.5),(49 4390330),(50 4564648.5),(51 4736081.5),(52 4901255.5),(53 5065257.5),(54 5213404.5),(55 5382621.5),(56 5561733.5),(57 5743457.5),(58 5930112.5),(59 6118384),(60 6301400),(61 6480973.5),(62 6646080),(63 6805263.5),(64 6950324),(65 7098770.5),(66 7256923.5),(67 7431326.5),(68 7576993.5),(69 7703170.5),(70 7840760),(71 7967246),(72 8091550),(73 8221764.5),(74 8359540),(75 8510381),(76 8624005),(77 8730025),(78 8810723),(79 8874905),
(1 14185.257),(2 52196.016),(3 111046.086),(4 190013.89),(5 280532.1),(6 383970.63),(7 496160.38),(8 613801.06),(9 730338.7),(10 843727.1),(11 959537.44),(12 1072398.5),(13 1185996.9),(14 1307001.1),(15 1438784.5),(16 1575580.9),(17 1717968.3),(18 1864956.9),(19 2027633.1),(20 2194535),(21 2373994),(22 2559173.3),(23 2746636.5),(24 2938134.8),(25 3126600.3),(26 3298831.5),(27 3466975.3),(28 3625199.5),(29 3785552),(30 3950169),(31 4113706.8),(32 4278063),(33 4441101.5),(34 4603124),(35 4755142),(36 4891991),(37 5016524),(38 5109103),(39 5192770),(40 5266026),(41 5328951),(42 5386677.5),(43 5445198),(44 5499990),(45 5550554.5),(46 5599509),(47 5661057),(48 5720886),(49 5781586.5),(50 5837022.5),(51 5880963.5),(52 5909101.5),(53 5928837.5),(54 5931413.5),(55 5940313),(56 5945972),(57 5940434),(58 5933082),(59 5942280.5),(60 5950970.5),(61 5972082),(62 5995779),(63 6026902),(64 6050945),(65 6079155.5),(66 6097346.5),(67 6123415),(68 6144513),(69 6166347.5),(70 6194151.5),(71 6211994),(72 6225086),(73 6250477.5),(74 6284392.5),(75 6348962.5),(76 6393191),(77 6439728.5),(78 6471943),(79 6510444.5),
(1 14014.762),(2 51319.55),(3 108329.88),(4 182522.42),(5 269951.5),(6 374806.03),(7 491846.88),(8 623822.6),(9 767316.06),(10 916477.44),(11 1073280.1),(12 1238934.8),(13 1415932.9),(14 1604787.5),(15 1814725.9),(16 2035161.1),(17 2265301.3),(18 2503867),(19 2754373.8),(20 3010995),(21 3283304.8),(22 3574007.3),(23 3882100.3),(24 4191321.5),(25 4522658),(26 4851457.5),(27 5183232.5),(28 5512513),(29 5850504),(30 6184794),(31 6527015.5),(32 6871536),(33 7216491.5),(34 7555402),(35 7880307.5),(36 8178846.5),(37 8469791),(38 8717288),(39 8956390),(40 9160711),(41 9348507),(42 9515820),(43 9675311),(44 9806381),(45 9911966),(46 9996528),(47 10090472),(48 10162785),(49 10224141),(50 10269196),(51 10303007),(52 10301215),(53 10284166),(54 10244393),(55 10212813),(56 10176179),(57 10124097),(58 10063241),(59 10019439),(60 9966410),(61 9942390),(62 9917774),(63 9900825),(64 9870448),(65 9848890),(66 9817389),(67 9791991),(68 9751019),(69 9721029),(70 9682327),(71 9636635),(72 9578135),(73 9523427),(74 9471495),(75 9435988),(76 9377038),(77 9315133),(78 9250956),(79 9193229),
(1 13177.666),(2 47790.03),(3 102100.08),(4 174894.66),(5 263807.56),(6 368582.06),(7 484196.06),(8 606523.8),(9 738055.56),(10 872751.4),(11 1010828),(12 1151508.3),(13 1293827.6),(14 1437122),(15 1588459),(16 1739115.8),(17 1885453.6),(18 2034207.4),(19 2176154.5),(20 2312394.5),(21 2445816.8),(22 2582954),(23 2730332.8),(24 2874255.3),(25 3028293.5),(26 3183500),(27 3337809.3),(28 3491053.5),(29 3653603.3),(30 3816201.5),(31 3986686),(32 4150522),(33 4310807),(34 4466877),(35 4605438),(36 4727225.5),(37 4841069),(38 4925070.5),(39 4998284),(40 5054314),(41 5099810.5),(42 5132886.5),(43 5163269.5),(44 5171946.5),(45 5172366.5),(46 5162901.5),(47 5144626.5),(48 5115401),(49 5082079),(50 5038515),(51 4987407),(52 4922181.5),(53 4856357),(54 4786456),(55 4716190),(56 4644579),(57 4564123),(58 4481658.5),(59 4408497),(60 4340267.5),(61 4283122.5),(62 4228205),(63 4175680),(64 4123946.8),(65 4076246),(66 4033516.8),(67 4004584.8),(68 3983990),(69 3975559.3),(70 3984067.3),(71 4004583.5),(72 4020540),(73 4049549.3),(74 4088550),(75 4141518.5),(76 4193077.5),(77 4250692),(78 4321279),(79 4398342.5),
(1 12763.658),(2 46706.48),(3 99158.305),(4 166351.98),(5 247024.52),(6 340716.16),(7 446665.88),(8 562509.56),(9 687501.75),(10 817449.7),(11 950886.75),(12 1094225.9),(13 1244020.5),(14 1406861.4),(15 1583497.8),(16 1770170),(17 1964647.5),(18 2166759),(19 2369411),(20 2572687.5),(21 2775633.3),(22 2981637.8),(23 3195165.5),(24 3406617.5),(25 3621855),(26 3830786.3),(27 4045459.5),(28 4258120.5),(29 4472737),(30 4688825.5),(31 4917742.5),(32 5141525),(33 5364655),(34 5568600),(35 5765698),(36 5939840.5),(37 6099306),(38 6219963),(39 6331809),(40 6420160),(41 6496213),(42 6563155),(43 6634167),(44 6681042.5),(45 6715107.5),(46 6735478),(47 6747890.5),(48 6747724.5),(49 6745025),(50 6730720),(51 6704547.5),(52 6663195.5),(53 6607949.5),(54 6536741),(55 6469765.5),(56 6391256.5),(57 6291482),(58 6179099.5),(59 6066624),(60 5942735.5),(61 5819509.5),(62 5693298),(63 5574403.5),(64 5441960.5),(65 5320970),(66 5201105),(67 5088993),(68 4979436.5),(69 4873699.5),(70 4775599.5),(71 4682963),(72 4576329.5),(73 4480950.5),(74 4385651.5),(75 4301200),(76 4221717.5),(77 4143525.5),(78 4078294.8),(79 4024441.5),
(1 13829.715),(2 50753.133),(3 107633.78),(4 181650.14),(5 269070.22),(6 368479.78),(7 478737.6),(8 596964.9),(9 720955.2),(10 846843.94),(11 978806.4),(12 1115027),(13 1253909.6),(14 1397581.4),(15 1545765.9),(16 1693220.4),(17 1840010.5),(18 1980951.8),(19 2124019.8),(20 2266261.8),(21 2405522.3),(22 2539015.5),(23 2670540.5),(24 2801581.3),(25 2930524.5),(26 3039792),(27 3142595.3),(28 3241027.3),(29 3337380),(30 3431855),(31 3523625),(32 3614111),(33 3711179.8),(34 3801159.3),(35 3885345),(36 3965131.8),(37 4037066.3),(38 4093137),(39 4135947.5),(40 4171108.8),(41 4198235.5),(42 4215060.5),(43 4232446.5),(44 4237162.5),(45 4232119.5),(46 4224832),(47 4225315),(48 4231838),(49 4236662),(50 4237203.5),(51 4235862),(52 4226466.5),(53 4213452.5),(54 4192000),(55 4163615),(56 4124950.5),(57 4070013.3),(58 4009281.5),(59 3949394.8),(60 3879764),(61 3810323),(62 3742621.3),(63 3686032.3),(64 3633430.3),(65 3589059.8),(66 3550849.5),(67 3525089),(68 3500616.8),(69 3484029.5),(70 3477729.3),(71 3480582.3),(72 3479661.5),(73 3480161.5),(74 3486224.5),(75 3509462.3),(76 3534287.8),(77 3559774.3),(78 3587528.5),(79 3622554.8),
(1 10513.323),(2 37748.21),(3 78738.805),(4 131929.56),(5 194422.84),(6 265512.97),(7 345283.75),(8 430842.47),(9 521957.06),(10 618931.94),(11 723357.5),(12 834821.94),(13 949981.44),(14 1070439),(15 1199532.8),(16 1331865.6),(17 1467815),(18 1599216),(19 1738836),(20 1876808.6),(21 2010328.5),(22 2137977.5),(23 2265375.3),(24 2379252),(25 2489450),(26 2585493.5),(27 2673990),(28 2752433.5),(29 2823615.3),(30 2889179.5),(31 2951168.3),(32 3002244.3),(33 3052038),(34 3095250.3),(35 3133978.8),(36 3168314.3),(37 3193439.3),(38 3202601.8),(39 3206485.8),(40 3199068.3),(41 3187478.8),(42 3165661.8),(43 3140275.3),(44 3106795.8),(45 3071752.8),(46 3036059.8),(47 2999050.3),(48 2971730.5),(49 2948247.5),(50 2931747.5),(51 2916487.3),(52 2903262),(53 2891222),(54 2871817.5),(55 2851005.3),(56 2824804),(57 2791095),(58 2758103.5),(59 2726842),(60 2694334.5),(61 2669206),(62 2648476),(63 2642206.5),(64 2631607.5),(65 2626036),(66 2625534.5),(67 2625575.3),(68 2622962),(69 2620331.8),(70 2621415.8),(71 2624512),(72 2619334),(73 2619463.5),(74 2613600),(75 2610081.3),(76 2603444.3),(77 2594006.8),(78 2583762.8),(79 2574746.3),
(1 15127.714),(2 56270.11),(3 119989.57),(4 205515.36),(5 307144.28),(6 421944.22),(7 549611.7),(8 686524.25),(9 830423.7),(10 980170.7),(11 1138397.4),(12 1300669.8),(13 1466636.3),(14 1635419.1),(15 1806841.3),(16 1975264.3),(17 2142574.3),(18 2297716.5),(19 2442807.3),(20 2574089),(21 2690778.3),(22 2797398.8),(23 2891335.3),(24 2962536.8),(25 3017699),(26 3052796.8),(27 3078548.3),(28 3092374),(29 3101117.8),(30 3105979.5),(31 3120278.3),(32 3134921.8),(33 3160354.5),(34 3186705),(35 3221548),(36 3250506),(37 3281673.3),(38 3306679),(39 3342622.8),(40 3379360.3),(41 3414466.5),(42 3440723),(43 3472418.3),(44 3500077.5),(45 3537547),(46 3586022.5),(47 3642094.3),(48 3698650.5),(49 3753287),(50 3811849.3),(51 3877463.5),(52 3930261),(53 3985116),(54 4020433),(55 4042260),(56 4047875.5),(57 4037135),(58 4014371.5),(59 3987902.3),(60 3947054.8),(61 3904599),(62 3855857.3),(63 3812500.5),(64 3765526.3),(65 3719262),(66 3676585.8),(67 3638479),(68 3596593.3),(69 3551576),(70 3510094.8),(71 3470124),(72 3424609.8),(73 3386628.5),(74 3347616.5),(75 3314401.8),(76 3286636),(77 3261708),(78 3247679.5),(79 3247190.3),
(1 15960.36),(2 60356.348),(3 131814.97),(4 229676.72),(5 348953.8),(6 486824.75),(7 645938.1),(8 819128.8),(9 1006526.7),(10 1201489),(11 1403600),(12 1611858.3),(13 1834707.3),(14 2072026.9),(15 2318716.8),(16 2566485.8),(17 2816782),(18 3051734.5),(19 3278014.5),(20 3484451),(21 3671796.8),(22 3844205.3),(23 3996597.8),(24 4121398.5),(25 4226876),(26 4314791.5),(27 4389434.5),(28 4449862.5),(29 4504276.5),(30 4545234),(31 4583892),(32 4614119.5),(33 4653168),(34 4686605),(35 4715535),(36 4736939.5),(37 4758002),(38 4779404),(39 4809775.5),(40 4843878.5),(41 4883374),(42 4928059.5),(43 4981613),(44 5038532.5),(45 5100408.5),(46 5179217),(47 5269151),(48 5359064.5),(49 5443013.5),(50 5520958),(51 5599596),(52 5662057.5),(53 5718076.5),(54 5759586),(55 5791013),(56 5806597),(57 5807156.5),(58 5794401),(59 5773044.5),(60 5739951),(61 5705734.5),(62 5665929.5),(63 5616396),(64 5556489),(65 5495239),(66 5439989.5),(67 5389135.5),(68 5340225),(69 5292419.5),(70 5245694.5),(71 5203268),(72 5165759),(73 5141200),(74 5123854),(75 5116214.5),(76 5115345.5),(77 5118482),(78 5125412),(79 5139265),
